[00:00:30.960] う。
[00:34:34.079] ね。火力高いよ、これ。それでこれはいいっすね。これ配信で使える。あなたの自信分かりました。それでも量増えちゃって大変なんです。
[00:34:37.028] [笑い]
[00:34:44.000] あなたの自信は分かりました。
[00:34:45.119] それでいるんだよ。本当ね。そういうね。
[00:34:49.000] プリンちょいちょい怖い。
[00:34:50.399] プリンなかなか火力高いっすよね。いるんだよ。最近精神家に通ってて。やべ、いいね。ちょ、大変だと思う。でも大変だと思うけどエンディングのムービー中で言うことじゃない。
[00:35:02.574] [笑い]
[00:35:03.359] 今日は12時で配信終わります。それで
[00:35:06.440] うん。うち俺の事情分かってくれた。俺の事情。石を持ってる奴らのところであの男を案内したらいいきなり奪い取って逃げ出したんですよ。
[00:35:15.040] もちろん追いかけられて私流れで私も一緒
[00:35:17.320] にこの盗賊のアジトに逃げ込んだんですが
[00:35:19.040] 追いつかれ。そしたら石を奪われた連中が
[00:35:21.800] 突然魔物に変身したんです。えーそこで皆
[00:35:24.640] さんが来てくれて
[00:35:30.160] それは物に変信したんじゃなくて正体を
[00:35:31.920] 表したの。人間のふりをしていたんだよ
[00:35:35.520] な。なんとはあ。とんでもないことに
[00:35:37.400] 巻き込まれてしまった。石を持って逃げた
[00:35:39.960] 人どこに行ったか心辺りありますか?
[00:35:44.680] 私は一流の情報や。彼はスを隠していまし
[00:35:47.760] たが表の顔はムーンペタの運び屋。表の顔
[00:35:50.800] が運び屋なの?運び屋っていうのがまず裏
[00:35:54.520] の顔なんじゃねえの?表の顔で運び屋し
[00:35:57.760] てんの?
[00:36:00.440] ありがとう。本当に情報屋さんとしては1
[00:36:02.599] で読みたいですね。
[00:36:09.240] なぜひ魔物も薬気になって探してるんです
[00:36:11.240] か?その情報だけは一流私でもつめないん
[00:36:13.920] ですよ。教えても嫌じゃ。内緒です。
[00:36:18.680] 可愛い。内緒です。
[00:36:21.720] ぐぬん情報で我が子供にん私が子供に
[00:36:25.640] 負けるとは。
[00:36:28.880] じゃあムンペタにさっきの彼を探しに
[00:36:30.440] 行こう。
[00:36:33.599] なんやねん。しつこいの。あ、ちょっとお
[00:36:35.599] 待ちよ。待てと。私、石の有川まで案内し
[00:36:40.079] た情報量をいいてないんですか?なんや
[00:36:41.560] こいつ?え、さっきの男の行くところなら
[00:36:44.240] ん、行く。さっきの男のとこ行くならその
[00:36:46.400] お金回収してこいって言ってるの。
[00:36:50.319] お金を取り立てる勇者は嫌だな。すいませ
[00:36:53.760] ん。お金のことに関しては私たちではお脱
[00:36:55.640] できないです。
[00:36:58.160] ああ、やっぱりダめですよね。宿屋に
[00:37:00.160] 止まるお金もなくなりそうでどうしたもの
[00:37:01.760] か。
[00:37:04.760] 本当に情報屋として一流だとおっしゃる
[00:37:06.400] ならデリコンダで行くことをお勧めし
[00:37:07.800] ましょう。しますよ。え、デルコンだろう
[00:37:10.319] は情報を集めることにとても重きを置いて
[00:37:12.760] いる方です。情報屋さんの活躍の場にが
[00:37:15.319] あるかと。うん。
[00:37:18.920] 王様はめっちゃ実力周期だからその辺は気
[00:37:20.920] にしないと思うよ。でも多分あれだぞ。変
[00:37:23.960] な虎みたいのと戦わされて勝たないと多分
[00:37:26.960] ダメだぞ。
[00:37:32.079] 待て。絶対ここ何かあるからな。言っと
[00:37:34.520] 言っておく。ちな。ほら
[00:37:37.800] ちな。
[00:37:40.319] 絶対あるねん。こんなとこ宝が
[00:37:44.599] 匂うね。
[00:37:45.359] 匂うねん。臭いねん。おしじゃん。しかも巻き物がある。お
[00:37:50.160] か。
[00:37:51.160] 巻き物がある。忍び押しだって。別忍び足いらねっちゃいらねえけどな。忍び足な。俺は敵から逃げることない。隠れる必要なんかないさ。
[00:38:11.760] いや、いらねえな。大したもんねえな。
[00:38:15.839] これでしょう。
[00:38:18.240] 盗っとガり。盗っと狩りって何?そんな技
[00:38:22.599] 初めて知ったんだけど。何?盗っとが
[00:38:25.160] りって
[00:38:26.720] 特技盗っとりの極意があのさ、毎回こう
[00:38:29.560] ゲームでさ、あの技マシンとかもそうだ
[00:38:33.640] けどさ、この覚えさせれることがある道具
[00:38:37.880] の説明欄に書いて欲しいですよね。その
[00:38:40.480] 盗っとりがどういう技なのかを。これも
[00:38:42.839] ずっとどんなゲームにも言えるわ。いや、
[00:38:45.160] そこそれ
[00:38:47.400] かけやっていう。え、
[00:38:57.640] 説明性、
[00:38:59.400] 説明回忍び足覚えました。ありがとうございます。じゃ、盗りもそのまま覚えさせてもらう。覚えさせちゃおっか。あ、マカロンしか覚えれないんだ。
[00:39:19.640] なんかこれあれかな?攻撃して何か盗むみたいな感じかな?攻撃して
[00:39:26.880] そやね。
[00:39:27.440] 多分そうだよね。ぶドリアタックみたいな感じだ。ぶドルみたいな感じね。ぶドルみたいな。
[00:39:35.079] FF
[00:39:35.400] で言う。そしたら何?ムーンペタの運びやって言ってたから。
[00:39:41.800] またムーンペタに戻ればいいんかな。
[00:40:08.880] てりゃは
[00:40:12.040] あ、ワープすればよかった。ルーラしてよかったな。ルーラしてよかった。このクソ弱ええもんね、この辺の敵。まあ、いいや。歩こう。ルラ。どこ?あっちか。
[00:40:28.960] 底王11ウベ汗
[00:40:32.000] 歩いてる。ま、たまには歩くのも悪くねえよ。
[00:40:36.040] たまにはない。
[00:40:39.440] このBGM聞きたいしね。
[00:40:43.200] ドラクエ2はさ、あの、あれもいいんだよ
[00:40:45.760] ね。エンディングの曲もいいんだよね。
[00:40:47.760] エンディングの曲もいいんだよね。
[00:40:50.480] えっと、ムーンペタの運び屋って言ってた
[00:40:54.280] けどそこかな?
[00:40:57.000] ああ、ここくせえな。ここくせえな。
[00:41:02.760] 違う。あ、ここでしょ、絶対。え、違うの
[00:41:05.400] ?何こ
[00:41:08.760] ねえ、この先扉の先怪しくない?レが空っ
[00:41:11.079] て拾った鍵で開けられない。あ、どこかの
[00:41:13.359] 鍵ってこれなのか。
[00:41:16.800] おお、
[00:41:22.280] 1回回復した方がいいか?あ、行ける、
[00:41:24.599] いける、いける。え、行けるよな?
[00:41:30.640] え、
[00:41:32.520] どういうあれやねん、これ。
[00:41:35.880] え、戦うの?これ。うわ、早。もう、もう先見せてくれねえんだ。ここからムービーが始まっちゃう。あ、始まっちゃった。
[00:41:40.163] [笑い]
[00:41:47.720] し、
[00:41:48.240] あ、フルボイス。
[00:41:55.800] これだろ。欲しいって言ってた不思議な恋石ってのは。
[00:42:00.200] おお。
[00:42:01.640] それこそ探していた紋章に間違いない。さあ、お渡しなさい。
[00:42:08.240] またボスやん。絶対戦うやん、これ。
[00:42:11.200] どういうつもりです?
[00:42:13.240] これを渡せば本当に。ハーゴン教団は俺を認めて妹の病気を直してくれるんだよな。
[00:42:20.160] ラプソンで。
[00:42:21.000] ほらこら。そう安と我が教団の名を口にしてはなりませんよ。
[00:42:22.084] [笑い]
[00:42:27.640] 話をそらさないでくれ。
[00:42:29.200] なんかめっちゃこんなモブの癖に声かっこよくね。
[00:42:32.119] もう1度ちゃんと約束してくれ。
[00:42:34.200] なんかあの
[00:42:34.920] めんどくさいですね。
[00:42:37.000] エレンの声じゃないの?これ。
[00:42:38.200] あなたゴン様に対する経緯も感じられませんし、茶番もここまでにしましょうか。
[00:42:45.720] 自分で口にしてますやん、ハーゴンて。
[00:42:51.359] はい、こんばんは。
[00:42:52.720] はい、こんばんは。ランディさん、どうもこんばだったのか。
[00:42:56.880] 邪魔ゲームと
[00:42:58.240] 魔物でも何でもいい。
[00:42:59.960] 声だけ今日キャラ。
[00:43:01.000] 妹を直してくれるなら俺との約束はどこまでも
[00:43:11.119] 妹だの約束だの馬鹿らしい。
[00:43:15.040] エレンイガーの声じゃないの?この男
[00:43:18.720] あなたは[笑い]
[00:43:25.880] おやめなさい。
[00:43:29.119] 誰です?いや、誰だっていい?ハードン教団のおいて。
[00:43:38.119] お前なんかその教団の名前を口に出すなとか言ってたけど、めっちゃもう
[00:43:43.280] 3
[00:43:43.480] 回ぐらいお前声出してたで、今。えー、はい。命令していきます。今回もよろしくお願いします。
[00:43:51.319] 笑笑。
[00:43:51.920] さてどうします。さてさてさてこれもう周りからやっちゃった方がいいよね。あ、ま、違う。もうちゃうねん。ちゃうねん。ちゃうねん。ちゃうねん。
[00:44:02.400] ミルドラースの横におるやつ。ミルドラースの横にこんなやついたっけ?
[00:44:09.280] 爆裂剣。ああ。いや。うん。うん。わかんないから。飛び膝蹴り。これさ、空飛んでる判定だよな。
[00:44:18.280] さすがにからのバイキからのえ、ルカニからのと
[00:44:27.040] スカルト[笑い]
[00:44:29.319] あれな、チャーレムな。
[00:44:31.359] チャーレムの鳴き声な。クドクドクトクってやつね。
[00:44:36.359] ミルド第1の左右に呼ばれる。
[00:44:39.200] ああ、そんなんだったかも。強いって。
[00:44:45.200] はい。434。はい。434。
[00:44:52.079] これマジックバリア入れた方がいいよな。多分な。どうなんだろう。ルカな。ルカに
[00:44:56.520] 負けそう。
[00:44:57.280] いや、負けない。負けない、負けない、負げない、負げない、負けない。えー、マジックバリア入れとこっか。
[00:45:04.680] パチンコでよく見る数字だ。
[00:45:07.640] 何が何が何がパチンコでよく見る数字。あ、
[00:45:13.240] 444
[00:45:14.839] なんちゃら。4なんちゃら。
[00:45:17.480] 作るともう1回入れちゃおうかな。
[00:45:20.920] 434
[00:45:22.280] なんでそれ?434
[00:45:24.319] って何?俺パチンコパチンコやんねえからわかんねえんだよ。
[00:45:28.760] いや、もう強いって。いや、強いな。
[00:45:35.520] ごめん。
[00:45:37.800] はい。おつ。
[00:45:43.680] 周りからじわじわと
[00:45:46.400] 周りからじわじわと早めに回復入れたら
[00:45:49.400] ええねんな。こういう時は早めに回復。
[00:45:52.996] [笑い]
[00:45:54.000] CRチャマな出してくんねえかな。
[00:46:01.280] 俺がそこ、俺がそこであのここであの寝袋出して寝始まったらもう確園演出俺のケツが出るか出ないかで
[00:46:10.400] 7
[00:46:10.599] が揃うかどうか俺のケツが出ないか出るか出ないかスクルトは入れたっしょ。クバーハ別にいらないもんね。ルカニ入れよっか。ルカニを愛も変わらずルカニを入れて。
[00:46:11.991] [音楽]
[00:46:23.680] えー、スカラ、スカラ、スクルト、もう、もうワンスクルトぐらい。いや、いい。違うな。違う。
[00:46:33.680] テのケだし。
[00:46:35.572] [笑い]
[00:46:38.440] に
[00:46:39.480] ナイス。はい、の回復った。よいしょ。
[00:46:44.240] よいしょ。
[00:46:46.200] 大丈夫、大丈夫、大丈夫。いいよ、いいよ。い、おい、ナイス。いいじゃない。いいじゃない。
[00:46:53.240] やっぱもうここまで来たら賞味もう勝ちな
[00:46:57.040] んすよ。でも1匹しかないからもう爆裂剣
[00:47:00.119] 連打で。爆裂剣連打で爆裂連打
[00:47:08.079] でルカも入れちゃ
[00:47:11.000] あを回復しとくと隠しと呼んでなんやねん
[00:47:14.880] 。
[00:47:18.520] よし。
[00:47:22.480] へへ。
[00:47:25.000] それは聞いてないよ。
[00:47:33.760] あ、本当そういうことやってくる。
[00:47:40.760] あ、そうですか。ま、まあでも
[00:47:43.640] まあまあまあでもね。
[00:47:45.359] でもね、別に別にでもね、
[00:47:56.440] 強いってもうなんでクッキーバカ狙うか。よしよしよしよしよし。オ全然オッケー。全然オッケー。全然オッケー。えー、どうすっかな?さんやってましたよ。
[00:48:11.880] あ、プラさん、こんばんは。プラさん、こんばんは。やってます、今日も。
[00:48:15.880] 爆裂やばすぎるな。爆裂やばすぎる。えー
[00:48:18.839] 、これマジックバリアが切れそうになっ
[00:48:20.920] てる。ぶっちゃけマジックバリア別にって
[00:48:23.440] 感じだよね。ぶっちゃけ
[00:48:26.440] ぶっちゃけマジックバリアいらない。
[00:48:29.880] ビスも入れとく。ビスモ。
[00:48:34.079] あ、あとなんか俺されてるけどさ、忘れ
[00:48:37.240] てるけどさ、あれだよな。あの必殺技
[00:48:40.240] 使えるよな。必殺技。
[00:48:45.263] [音楽]
[00:48:47.559] 別にやることねえな。
[00:48:51.680] 攻撃入れとくか。
[00:48:54.079] 攻撃入れとこうかな。
[00:48:58.920] うーん螺旋打ちぬ盗狩りぬすっがりやっとくホマ使えんのがクッキーしかいないのが若干めんどくさい
[00:49:10.680] それ畳み込ん持たないとか
[00:49:19.079] いいぞいいぞいいぞ
[00:49:28.520] 一旦これさ、でもビーストモードさ、あれ
[00:49:31.000] なんだよね。ビーストモードってさ、選べ
[00:49:33.559] ないんですよね。選べないんですよ。あの
[00:49:37.000] 、2回行動できるんだけど、例えば
[00:49:42.040] なんかバギクロスやったらバギクロス2発
[00:49:44.200] になっちゃうんだよね。
[00:49:47.160] いや、ま、いいんだけどね。あれ、さっきさ、キャ覚えなかった。あれ、キャ覚えなかった。犬こと聞かない。
[00:49:56.599] 犬は言うこと聞かねえからな。どうしよっかな。ビスも
[00:50:04.480] 2
[00:50:04.680] 回やったはいいけど、大きなヒップで大きなダメージ。うーん。こうかな。
[00:50:15.799] よし。マなかった。
[00:50:17.680] え、あった。マヨあった。
[00:50:25.440] ジん。まあ、もうまあいいわ。まあ、もう勝てるわ。もう勝てますわ。負ドあるないよ。ほら、キャド、キャダルコダインになっちゃうもん。あれ、マヒャド覚えたよね。
[00:50:46.000] ない。マの覚えたと思ったんだけど覚えてないの?データ飛んでた。
[00:50:51.240] マカロンじゃない?
[00:50:52.480] え?マカロンが覚えたの?マカロンってそんなすごいの?あの人マカロンってマキャ使えんの?え、絶対高卒じゃんだって。マカロンって無理でしょ。高卒には無理よ。嘘やん。
[00:51:12.160] ほら、覚えてない。おえ、覚えてる。すごいじゃん。なんてこと言うの?
[00:51:21.810] [笑い]
[00:51:22.319] 無理しないで。
[00:51:23.079] いや、わかるねん。俺も高卒だから。
[00:51:24.760] 助かった。
[00:51:25.640] ベホマラ
[00:51:26.839] 大卒。
[00:51:27.839] 助かったよ。食らっちゃっ。
[00:51:29.440] これは大卒。あんま強くねえ。せい。
[00:51:35.359] はい。お疲れちゃん。
[00:51:39.839] 今ダメージ666だったね。6の6の6の
[00:51:43.280] 6の6の666
[00:51:48.480] やっぱあれなんだよな。命令しなければ
[00:51:50.359] 余裕。あ、命令しちゃったらもう正直
[00:51:52.200] 塗るゲーなんすよ、このゲーム。
[00:51:56.160] チまぷンツめ
[00:52:01.000] リッキーやめてぬる[笑い]
[00:52:03.040] いいね。さすがさすが拾えるような
[00:52:05.359] 。よなず
[00:52:08.280] よなずはでな
[00:52:12.359] ずん来ちゃ
[00:52:13.559] なん来ましたかバズず様お許し
[00:52:18.880] こいつら本当に雑魚的ムーブしてくれるな黒幕の名前全部言ってくれるじゃん
[00:52:25.799] ワズアトラスベリアルミリエラと同じくハーゴンチ直の魔物でしょうか
[00:52:32.920] ミリエラもその中に入ってるん
[00:52:35.880] 君大丈夫?今度は逃げないでくださいよ。
[00:52:41.599] ネタバレ中じゃん。
[00:52:42.839] ねえ。
[00:52:44.000] 鉄オか。
[00:52:45.000] ありがとう。あんたたちには
[00:52:49.079] 2度も助け
[00:52:49.839] ね。これザエレンガーの声じゃない?
[00:52:52.040] 私たちはハーゴンを倒すために旅をしているの。あなたはハーゴン教団なの?
[00:52:59.079] 違う。違うんだ。俺はただ妹を直して欲しくって。
[00:53:04.000] こんなモブキャラに使っていいせ声優じゃねえだろ。やっぱドラクエ金あるな。妹が病気になって良くならなくて困り果ててる時にあいつが現れたんだ。
[00:53:21.480] 魔物駆逐しそう。
[00:53:22.799] 教団に入って毒を詰めた。[笑い]
[00:53:24.640] 思い出しそう。
[00:53:25.400] バズという教団の偉いやつが
[00:53:28.160] その日思い出しそうだね。人類は
[00:53:31.760] けどその特を積むっていうのは悪いことをしたり周りの人間をその抜かして悪児をさせたりすることだった。
[00:53:41.440] もうなんかこんなセリフあったよな。進撃の巨人に
[00:53:46.119] 言われた通りに
[00:53:47.000] こんなセリフはなかった。もうなんか進撃の巨人みたいと思ってきた。
[00:53:50.200] なんか
[00:53:50.920] 分からなくて
[00:53:55.280] で、ちょっと前にバズずズずってやに会うための最後の試練としてあの不思議な石を手に入れろって言われたんだ。
[00:54:08.599] ゴール教
[00:54:10.147] [笑い]
[00:54:11.559] なちまだ1から見てえな。
[00:54:13.240] 情報屋さんに石を探させたのね。
[00:54:15.520] 1
[00:54:15.680] から見てえな。
[00:54:17.359] 人に悪いことをするようかすのってあのルプガナのことと似てるよね。
[00:54:21.720] なんだっけ?ルプガナのことって。
[00:54:23.680] あの時の魔物たちもハーゴン教団の一員だったの?
[00:54:27.280] 何でしたっけ?ルプガナのことって?
[00:54:29.520] つまりカーゴンの手下のバズの手下の魔物たちが人間に悪いことをさせようとしてるってこと?
[00:54:39.559] そうみたいだね。
[00:54:41.119] ちょっと整理したいんだけど。
[00:54:43.480] そもそも紋章を持ってた魔物たちはアトラスの手下っぽかったよね。
[00:54:48.160] うん。それバズっては人間に悪さを手下がアトラスの手下から紋章を奪おうとしたってことだよね。
[00:54:56.160] 確かにその
[00:54:58.240] アトラスはもう力技なや。
[00:55:00.400] こいつ言ってました。
[00:55:02.160] アトラスって魔物にだけは霊の石を絶対に渡すなって。
[00:55:07.720] 手柄が奪われるとか。
[00:55:11.839] 相変わらず腐ってるわね。本当にしょうもないわ。
[00:55:16.319] 同じハーゴンの陣営だとしても考えるのは自分の利益や成功だけ。
[00:55:22.160] 力のアトラス。
[00:55:23.160] 味方同士で争うこと何のためもないのよ。の
[00:55:27.000] しょうもな。
[00:55:27.799] 信じられない。お前ら
[00:55:29.319] そんなのもはや味方でもなんでもないじゃん。え、トンニー。それとんにおんな。
[00:55:38.359] 利用されるだけ利用されてあんたたちがいなかったら殺されてるところだった。
[00:55:45.480] 良かったですよ。君が無事で
[00:55:47.599] かな。
[00:55:49.280] あ、で、
[00:55:50.520] その石僕たちがもらってもいい?[音楽]
[00:55:53.000] とても大切なものなんです
[00:55:56.079] だろうな。魔物たちが必死に探してたくらいだ。あいつらの手に渡らなくてよかったよ。
[00:56:10.668] [音楽]
[00:56:13.319] 俺があいつに殺されてたとしてもそれは自業自得だった。
[00:56:17.839] なんか本当にもうキャラ設定ってキャラのなんか
[00:56:22.319] エレンがすぎんこいつ。なんか声が一緒っていうか、もうなんか性格も一緒やん。なんかエレンガーすぎるだろ。
[00:56:24.423] [笑い]
[00:56:32.400] この後闇落ちする
[00:56:33.559] ねえ。
[00:56:34.520] あいつラスボスになって出てこねえよな。大丈夫だよな。やべ、ネタバりちった。ごめん。やべ、測らずもネタバり言ってしまったかもしれない。今
[00:56:38.179] [笑い]
[00:56:41.480] あ、味が強すぎ。あ、
[00:56:43.920] え、こうやって出てこない。こうやって。
[00:56:45.359] あ、
[00:56:45.799] こうやって。あいつラスボスになって出てこねえか。大丈夫か?
[00:56:54.839] チャラまるネタバレはダめ。[音楽]
[00:56:56.519] [笑い]
[00:57:00.240] ぜ非面白いんで見てください。たのに。
[00:57:03.079] そんなやつおるかい。そんなやつおるかい。もう
[00:57:05.960] みんなに相談し
[00:57:06.960] 今日もう読まないやつは読まないよ。死ぬまで。
[00:57:10.440] あの時ペラヌールでね。
[00:57:18.520] あ、
[00:57:19.319] ちょっと先に行っててくれる?追いかけるて。
[00:57:24.029] [笑い]
[00:57:24.680] もう測ってるんだよな。
[00:57:34.920] 神父様にお渡ししたいものが
[00:57:39.359] 何渡したんだよ。え、なんかこれタイマ
[00:57:46.520] 少しではありますが
[00:57:48.400] 世界の歯を刻んだものが
[00:57:50.240] 穴がち間違いでもなかったな。[笑い]
[00:57:51.880] これで分かりませんが
[00:57:57.720] どうぞ。使ってください。
[00:58:02.000] ありがとう。その気持ちだけ受け取っておくよ。
[00:58:05.295] [音楽]
[00:58:07.440] の合法成分
[00:58:08.799] 前にも
[00:58:11.319] 私の
[00:58:11.839] 水タバコに入ってるというね。意
[00:58:14.400] もういて。もういいて。水タバコは
[00:58:15.120] [笑い]
[00:58:17.720] もう水タバコにつげないでくれよ。水タバコ好きちゃうねん。わし。
[00:58:23.480] 世界の歯はたえどんなにわずかな量であっても私なんかの命のために使うべきではない。
[00:58:34.960] こいつさ、めっちゃ自分のこと髭するや。雲に使って良いものではないことをあなたはよく理解しています。そんなあなただからこそこれを持つ資格があります。
[00:58:47.870] [音楽]
[00:58:49.319] あの、ほんまにね、行きすぎた謙。
[00:58:53.200] 使うべきなのか。それはあなたが決めてください。な
[00:58:59.160] んやねん、こいつ悪いの。行きすぎた謙遜は嫌われますよ。
[00:59:04.880] じゃあ今がその時だよね。そしたらあの人の妹さんの病気が治るかもしれないもん。
[00:59:10.960] お兄ちゃん、ちょっと待って。
[00:59:13.200] そんな簡単に考えていいのかな?
[00:59:15.920] ええ、そもそもこの量では足りなくてぬか喜びさせてしまうかもしれないわ。
[00:59:23.240] それに
[00:59:23.960] なんだよ
[00:59:24.359] 妹さん以外に他の人が同じ病気になった時またお願いされてももう渡すこともできない。世界中樹の派はそういう重みのあるものよ。
[00:59:24.551] [笑い]
[00:59:36.760] 考えすぎだって。
[00:59:37.839] 本当に彼にあげていいと思う?
[00:59:42.720] ええ、だってあげないと後で地らしされるでしょ。これあげないと絶対自習らしされるもん。これあげた方がいいって。絶対ひらべたくされるぜ。世界
[00:59:46.821] [笑い]
[01:00:01.440] 世界がひべったくなるぞ。これやげろ。あげるよ。あげよ。
[01:00:06.280] 怖いから。
[01:00:07.000] うん。僕もそう思う。
[01:00:09.240] 2
[01:00:09.359] 人の心配も分かるけど、ほんのちょっとでも助けられる可能性があるならあげようよ。もしそれで何か良くないことが起きたらちゃんと最後まで向き合うから。
[01:00:18.916] [笑い]
[01:00:20.240] うん。分かった。私もそれでいいと思う。よかった。よかった。
[01:00:29.200] さん、
[01:00:31.280] あの、これ
[01:00:32.039] 何?何?何?
[01:00:33.119] 聞くとは限らないのだけれど。
[01:00:35.200] フッキー覚悟してて良いじゃん。
[01:00:37.160] えっと、偶然手に入れたとっても高級な薬草なの。
[01:00:40.960] 薬草聞いてて草。
[01:00:42.520] 妹さんにどうぞ。あんたって人は魔物の言いなりになってた俺にどうしてそこまで妹が病気だったらすごい悲しいって僕分かるからさ。
[01:00:58.559] ああ、なるほどな。
[01:01:00.280] 愛とか病気とかで心配させるのはいつもお兄ちゃんのくせに。
[01:01:06.160] まあそうなんだけど。あんたたちみたいに俺もまた妹と笑える日が来るって信じてるよ。
[01:01:15.960] うん。
[01:01:16.680] 本当にありがとう。すぐに試してみる。
[01:01:20.359] お頑張れよ。
[01:01:21.240] 聞かなかったらごめんなさい。
[01:01:22.920] お言わなくてええねんな。こ
[01:01:24.119] 何言ってるんだ。可能性をもらえただけでもこんなに嬉しいことはないよ。
[01:01:29.400] そうだぞ。
[01:01:30.280] ありがとう。
[01:01:35.640] よしよし。またなんかこれ地下室ってとこもなんかね、ちょっとなんか地下室の鍵開けてきたところもなんかお前はもうあんまりもう外の世界を夢見るんじゃないぞ。なみにここはあ、宝のね。オッケー。よし。
[01:01:56.279] 紋章あと1個じゃん。紋章あと
[01:01:59.720] 1個だで。紋章あ、あと
[01:02:02.400] 1個だ。で、
[01:02:05.760] ついにやったわね
[01:02:07.920] え。まだ揃ってないっしょ。
[01:02:09.240] 全ての紋章がったわ。
[01:02:10.960] あれった。あれ紋章?あれ?揃った。
[01:02:14.279] 僕たち頑張ったよね。
[01:02:15.960] あ、揃ったっけ?
[01:02:17.160] じゃ、
[01:02:17.680] 妖精さんに報告ないと。あれ?あ、今日あれ?
[01:02:21.559] え、
[01:02:21.799] まあいっか。妖精の城に
[01:02:23.839] 揃ったんか。え、もうなんかクリアじゃね?じゃあ
[01:02:31.000] まあいいか。
[01:02:31.880] まあいいか。で、妖精の白行っちゃおうか。
[01:02:43.319] さん、こんばんは。む、
[01:02:44.680] むいちゃん、こんばんは。ドラグニティークエスト今日もやっています。
[01:02:51.920] やっと紋章が集まったねん。長かったなあ
[01:02:55.760] 。
[01:02:59.319] ドラクエ2だったらもうこれラスボスだ
[01:03:01.760] からな。紋章集めたら
[01:03:05.079] 確か違ったっけ?
[01:03:08.563] [音楽]
[01:03:09.720] すげえなんか白治んじゃん。
[01:03:13.640] ほんまかいな。ドラクエ2だったらね。
[01:03:16.799] そのファミコン版だったら。そうだよね。
[01:03:19.319] ファミコン版って紋章集めたらもうほとんどボスだよね。ついに紋章を言いつつ全て集めたのですね。よく頑張りました。
[01:03:34.839] あざす。
[01:03:35.559] 若き勇者の血を継ぐ者たち。ここに至るので
[01:03:40.680] のか
[01:03:41.640] 険しいでしょ。
[01:03:50.520] ですが、あなたが
[01:03:53.640] 誰もかけることなく今ここにいます。
[01:03:58.520] それこそがあなた方[音楽]の成長の証、
[01:04:02.640] 必ずルビス様を目覚めさせ、ハーゴンを
[01:04:06.200] 打ち倒す日が来ると信じております。
[01:04:10.480] でもルビス様を目覚めさせるのに必要なものがまだまだたくさんあるんでしょう。
[01:04:15.720] あ、なんか言ってたな。
[01:04:17.720] たくさんではありません。次にあなた方が手に入れるべきは古来より伝わる妖精の
[01:04:25.559] あれ妖精の風ってワンの時のやつだよな。
[01:04:28.880] この世界で唯一ルビス様を目覚めさせる聖なる調べを奏でることができる楽器です。
[01:04:36.480] 妖精の笛
[01:04:38.520] あなたの先祖にあたるロトの勇者もまた様に会うために奏でました。その後メルキドという町にめたと言われた。
[01:04:51.720] そうか。
[01:04:53.319] へえ。ご先祖様も
[01:04:55.839] そこでメルキドなんだ。
[01:04:57.160] メルキドだね。そこで妖精の笛を手に入れたらついにお目覚めってこと。
[01:05:02.359] メルキド市面中ね。
[01:05:05.319] まだルビス様の眠りを強庫に守るための光の結がありますが、その話は後ほど。
[01:05:14.760] え、なんでですか?
[01:05:18.400] それ以前に
[01:05:19.799] 仮面
[01:05:20.279] 解決しなくてはならないメル仮面獣ですが闇の神殿に
[01:05:25.460] [笑い]
[01:05:28.599] どうやってけ
[01:05:29.559] マスクドヘルレイザーね
[01:05:30.880] ということです。
[01:05:33.599] 確かに
[01:05:38.560] [笑い]
[01:05:39.799] ハーゴンはかつての
[01:05:42.119] 誰もわかんないからごめんな。ランディもなんか言ってくれたのにごめん。そっちじゃなかった。脈で囲まれた地域に斧が神殿を構え君臨し続けています。そしてハーゴンは
[01:05:55.200] 用人深い。[笑い]
[01:05:56.440] ありがとう。優しいな。
[01:05:57.960] 自らが神殿でこを測り、
[01:06:01.000] 手下の魔物たちを世界中に差し向けて悪業をなしてきました。本人は安全な場所から出てこないのです。
[01:06:10.400] 汚ねえ野郎だ。
[01:06:12.160] ハーゴンを倒すにはどうにかしてあの山脈を超える術を探さねばなりません。なるほど。
[01:06:15.895] [音楽]
[01:06:21.480] ですが人が生きできない場所のことをどうやって調べればそうだ。だったら生きできる魔物に聞けばいいんだ。
[01:06:35.520] 何言ってんのお兄ちゃん?魔物が教えてくれるわけないじゃん。いえ、
[01:06:42.200] 1人だけます。教えてくれそうな魔物。
[01:06:45.319] あ、やつだ。
[01:06:47.000] ペルポイです。ペルポイへ行きましょう。
[01:06:52.880] あの黒い毛もんだろ。
[01:06:54.960] 皆さんお気をつけて。
[01:06:56.839] 出た。やっぱりな。
[01:06:58.559] この先の旅の無事を祈って。
[01:07:00.400] 絶対出てくると思った。
[01:07:01.680] これをお渡しましょう。重要アイテムじゃなくてなんか本当に物資援物資なんだ。そこはありがとうございます。ま、
[01:07:10.261] [笑い]
[01:07:17.720] 1番助かるからな。
[01:07:21.760] 絶対あれだろう。
[01:07:24.599] 妖精の腕は
[01:07:27.079] これにしよう。
[01:07:29.319] 絶対あの黒い盲が出てくるよな。ペルポイ
[01:07:33.559] のあの魔モさん。そうだよね。絶対そうだ
[01:07:35.720] よ。
[01:07:37.880] メルキドね。
[01:07:40.391] [音楽]メルキドね。黒いも
[01:07:46.240] ベリアルにアトラスにミリエラにバズ
[01:07:48.319] ミリエラはもうそのそんもう視点の見たく
[01:07:51.400] なったんやな多分あのあれなんだ3原神
