[00:00:08.800] よし。うわー。
[00:42:57.480] 耐久とかつってよ、
[00:43:00.040] 言っちまったけどよ。それ相当難しいんじゃねえのか。
[00:43:18.040] 本当だ。お尻出さないようにしねえとな。
[00:43:19.880] あんな誕生日つってあんな感動的な
[00:43:22.839] に元気ならね。
[00:43:24.079] あんな感動的なあの
[00:43:26.280] 寝るの?Kチャンネルはねないのに。
[00:43:30.040] あのね、本当ね、K
[00:43:30.920] チャンネルはね、本当にね、あいつはね、罪深いよ。うん。あいつは罪深い。あいつのせいでね、あれなんだから俺たちみたいなね、レトロゲーム配信者のね、あの、レトロゲーム配信者のね、あのね、あの耐久配信というハードルがね、バり上がってんだよ。
[00:43:46.580] [笑い]
[00:43:46.640] チャンネル見ながらする昼寝が
[00:43:48.520] 1番気持ちいい。
[00:43:50.240] ほんまに。あら、積み深いよ。ルゴヤッホー。
[00:44:03.240] もう
[00:44:04.440] 確かに笑笑
[00:44:07.079] ちゃまく倒めもらってみたい。
[00:44:11.079] クリアするまで耐久してるもんな。
[00:44:13.359] さんこんばんは。
[00:44:16.760] とりあえず90
[00:44:17.880] 枚スター目指そう。残りは後で考えよう。
[00:44:21.160] 残りは後で考える。やるんだよ。
[00:44:23.240] 120やるって決めたの?
[00:44:26.920] 120
[00:44:27.400] やるのと言っては見たものの。と言っては見たものの。
[00:44:36.440] 野菜は美味しいから食べてる。
[00:44:38.040] 野菜は美味しいから食べてんの。マニオは
[00:44:39.920] 120枚集めるためにやってんの
[00:44:48.920] かっけよ。ヤッホー。
[00:44:56.440] オケ。本当やめて。
[00:45:01.680] あ、
[00:45:06.040] 頑張る太郎さんがサブしました。
[00:45:08.520] アルガンさんじゃないですか。ありがとう。うお。うお。
[00:45:13.680] ありがとう。
[00:45:15.119] わお。太郎だ。
[00:45:19.559] じゃ、
[00:45:22.160] どうもこんばんは。
[00:45:23.480] ガンバーさん涙。
[00:45:24.800] ガンバーさん涙にお誕生日コメントもいただきましてありがとうね。
[00:45:30.680] さん
[00:45:31.559] ガンバドのレ太郎。
[00:45:40.839] なんか俺これ
[00:45:43.359] 間違ってる気がする。今ここをやるべきじゃない気がする。じゃも赤コインにシフトしようか。ここは赤コイン集めようか。ここはじゃあどうせ先々やることになるんだから。
[00:46:02.520] ほうやほややほや。
[00:46:26.079] それ、それやめて。急になんか弾になる。そのガガガみたいなやつ。
[00:46:36.359] カタカタ怖い。
[00:46:37.880] 怖いねん。急になるから。あれ
[00:46:43.720] 稀れに頻す
[00:46:46.160] 稀にたまになるんだよね。
[00:47:01.800] もうやだ。
[00:47:06.960] ちょ、ま、ほんま、ほんまにやめて。ほ
[00:47:26.280] や。
[00:47:35.200] あ、ああ、
[00:47:39.119] あ、あん、
[00:47:43.240] あん、あん、あん。オッケー。
[00:47:52.240] あん。
[00:47:53.800] あん。あん。
[00:47:54.559] 審議はいますと。
[00:47:56.200] あん、あん、あん、あん、あん。おい、こら。
[00:48:02.680] エロ売り、
[00:48:03.720] エロ売り。マゲームをもうね、[笑い]
[00:48:08.640] 30代はもうエロ売りですよ。
[00:48:11.319] かいいね。
[00:48:12.240] エロ売りです。がいい。
[00:48:13.760] うん。
[00:48:15.040] 演技がいいぞ。
[00:48:17.920] 30
[00:48:18.319] 代はもうチマゲームもエロ売りでやっていきますから。
[00:48:21.440] 大人の色ケオな。
[00:48:23.079] そうだよ。めんなよ。
[00:48:25.160] や、ヤホ。
[00:48:26.440] いた。よし、行った。よした。ヤッホー。
[00:48:32.280] ママ募集。
[00:48:33.720] ママ募集中。
[00:48:35.480] よろしく。
[00:48:36.359] キャなめて。
[00:48:39.119] ふざけて言ってると本当にban
[00:48:40.160] されそうだからやめとこう。これどうとんね。来た来たきた来たな。
[00:48:49.960] やっと行けたぜ。
[00:48:52.200] 来た。
[00:48:53.760] あ、まピー。
[00:48:55.480] ありがとうございます。
[00:48:58.240] 80枚。
[00:49:01.280] 残り40
[00:49:02.000] 枚でございます。なんかでも終わり見えてきてはいるような気がするけどね。終わり見えてきてるような感じするけどな。
[00:49:11.799] 40枚でしょ。あと
[00:49:13.880] 案外余裕そう。パチパチパチパチ。
[00:49:16.920] 40枚でしょ。
[00:49:19.680] 5
[00:49:19.839] つ1つの積み重ねだよ。
[00:49:21.720] うん。
[00:49:22.040] そんななんかまあ難しいのはたくさん残ってるんかもしんないけどまそこまで悲観するあれじゃないよね。だてかそのそ今さっき聞いたなんか
[00:49:33.160] 100枚コインとか
[00:49:34.400] 俺は24枚で配送します。[笑い]
[00:49:38.000] ふざけんな。ふざけんなよ。なんだ
[00:49:41.280] 24枚って。おい
[00:49:44.079] 笑笑笑笑
[00:49:46.880] 俺の1時間じゃねえかよ。それ
[00:49:49.240] 1時間持ったかもしんない。
[00:49:51.920] ヤッホー。
[00:49:57.680] 24
[00:49:58.559] 枚。あ、高きこんばんは。たけこんばんは。お疲れちゃん。高き俺も
[00:50:09.880] 30
[00:50:10.240] 歳になっちゃったよ。おじさんになっちゃったよ。
[00:50:14.720] どおめでとう。
[00:50:16.480] ありがとう。ありがとうな。
[00:50:19.839] 大人の階段登っちまったぜ。
[00:50:28.000] 何それ?なんで?え?何が?何が?
[00:50:39.599] いや、俺100枚コイン、
[00:50:42.119] 100
[00:50:42.480] 枚コイン効いてからすっごいあの重い指が。
[00:50:45.785] [笑い]
[00:50:48.400] 嘘。各コースで全部やるの俺。
[00:50:51.520] 100枚コイン。これから
[00:50:55.480] 結構な、結構なだよね。
[00:51:01.319] 100
[00:51:01.680] 枚を聞いてから見るからに顔色が悪い。
[00:51:04.125] [笑い]
[00:51:05.920] え、それはさ、各コースでコインを
[00:51:09.160] 100枚集めればいいってことでしょ。
[00:51:15.720] せっかくマップ作ったから全部遊んで欲しいからね。そういうことなんだろうな。多分多分
[00:51:37.480] ねえ。お前のそのさ、このこういう動きやめてよ。
[00:51:41.880] その中途半端な動き
[00:51:45.119] ままみやべえぞ、これ。
[00:51:54.240] 気合入れろ。
[00:51:56.160] ちゃんと気合入れろ。
[00:52:10.599] 1
[00:52:10.720] 回寝るのもあり。
[00:52:13.760] 1
[00:52:13.960] 回寝る。確かも眠たくなってきちゃったけどさ。でもやっぱな。
[00:52:21.720] でもやっぱ耐久なのに寝るなんてよく言うじゃないですか。
[00:52:30.480] でもなんか別にそんななんかそこまで心折れてるわけじゃないんだよ。だってもう
[00:52:33.520] 80枚集まってんだからだってもう
[00:52:35.520] 80
[00:52:35.920] 枚集まってんだもん。割とこれもすごいと思いませんかね?
[00:52:45.119] 12時間やって80
[00:52:46.400] 枚集めてるっていう事実。
[00:52:47.760] まずそこを皆さんにはね、褒めていただきたい。足
[00:52:53.799] だね。
[00:52:54.119] すごい寝たいか寝たくないかって言ったら寝たいでしょ。着実に進んでますもの。
[00:52:59.599] そう、着実進んでる。足ツぼナー飛びはマジであれは昔ぐい。
[00:53:07.160] あれねえ消えちゃうじゃん君消えちゃうじゃん君だめじゃん。
[00:53:15.760] 寝ていいと思う。
[00:53:16.799] 寝ないよ。うるせえ。寝ない。俺は寝ないって。
[00:53:21.040] あの隙間もワンタッチ
[00:53:22.599] 決またんだ。あの隙間もワンダッチね。うん。あのあれが消えないようにね。そこでもモコら君からもらった僕はラムネです。もうこれが脳みそに
[00:53:37.079] 1番効くんだからすぐ
[00:53:39.319] 30
[00:53:39.799] 分後に同じことが言えるかな。
[00:53:41.880] ラムネが1
[00:53:42.680] 番脳みそに聞くってよく言われてる。
[00:53:45.839] 多分寝ろっていう人たちは寝たいと思う。
[00:53:49.920] お前らが寝たいだけだろ。
[00:53:51.807] [笑い]
[00:53:52.960] 武道
[00:53:54.280] 武ド島が一番
[00:53:55.520] が足りなくなってきてるんやな。笑笑
[00:54:02.960] ブド刀が1
[00:54:03.799] 番脳みそにガツンときます。うめえんだよな。
[00:54:10.760] そんでこれこのラムでグレープフルーツ味なんだよ。これうまい。
[00:54:17.040] ガつり
[00:54:18.200] ガつり。
[00:54:27.160] 夏にいね
[00:54:28.920] な。夏に夏に夏にいね。もうコメント返してももうこの辺から雑になってくるからね。
[00:54:33.727] [笑い]
[00:54:37.040] ゲームは言われたことを繰り返すだけ。うん。夏にい。夏にいい。夏にいい。
[00:54:38.312] [笑い]
[00:54:49.040] 懐かしさすら感じ。
[00:54:50.757] [笑い]
[00:54:53.839] こんなら長時間やってないもんね。
[00:54:56.280] よまでよく持った方えよな。ここもじゃあワンタッチ入れとくのね。ワンタッチ。エッチケッチ。ワンタッチね。
[00:55:09.040] エッチスケッチワンタッチねえ。
[00:55:12.880] これどっち行くの?これどっち行くの?これどっち行くの?これこっち?こっちどっち行けばったんだ?これ
[00:55:19.720] ほんま久しぶりの長時間だね。
[00:55:21.960] そうだね。10
[00:55:22.720] 時間超越超えはマジで久しぶり。
[00:55:24.039] エッチスケッチワンタッチ。
[00:55:25.000] エッチスケッチワンタッチ。あなたのなんちゃら何セン
[00:55:29.200] Mみたいなあったよね
[00:55:30.760] え。12分で80枚。え、
[00:55:34.119] 昔めちゃくちゃ遊んだわけでもないのに。
[00:55:37.720] そうだよ。昔めちゃめちゃDS
[00:55:39.039] 版をちょろってやったことあるんだけど、その闇の炎みたいなの何?その闇の炎みたいななんか出てるけど。ま、その辺は俺のゲームセンスだろうな。あ、やっと見えてきました。
[00:55:50.363] [大歓声]
[00:55:59.599] やっと見えて。いや、まだあと40
[00:56:01.520] 枚あるからね。
[00:56:06.839] 一旦
[00:56:11.323] [笑い]
[00:56:13.280] 助けてください。
[00:56:15.253] [叫び声]
[00:56:16.563] [笑い]
[00:56:17.079] 助けてください。
[00:56:18.839] これが天たの奇妙なを超えた感の顔か。
[00:56:22.039] よしよし。なんか、なんか行けた。
[00:56:24.559] ここから入れる保険。
[00:56:26.720] なんか行けました。危ねえ。
[00:56:37.520] 今なんか今一瞬マリオ潰れたな。ペにゃってなったけど大丈夫だ、今の。
[00:56:38.179] [笑い]
[00:56:55.559] 触り続けてないと消えちゃうってのがまた味噌ですよ、これ。で、たる。ほ、ほ、ほ、ほ。これさ、ほうってやめて。ほうってやめて。ほうってやめて。ほうって。
[00:57:18.640] 笑笑。
[00:57:20.520] ほう。やだなあ。ほう。やだ。
[00:57:28.119] このせいでさ。あ、終わった。だめだ。だめだ。だめ。だめ。ああ。
[00:57:31.234] [笑い]
[00:57:39.799] まんまミや。
[00:57:40.799] 本当だよ。本当に。そう。本当にまんまミやです。
[00:57:47.440] いやあ、ラムネチャージ。ラムネチャージ。ちょっともう大量に行かせてもらいます。大量に。
[00:57:58.599] 残念。
[00:57:59.359] 大量に行かせてもらう。大量に行かせてもらう。オーバードズで。これ本当になんか
[00:58:03.985] [笑い]
[00:58:04.839] Twitch
[00:58:05.160] がなんか勘違いして俺のことしない?これラムネです。これラムネですからね。
[00:58:12.720] それマ字か。
[00:58:18.319] ラムね。
[00:58:20.799] うま。
[00:58:25.359] 脳に脳に特欲しいんだよ。今
[00:58:34.880] うまい。
[00:58:49.599] こ張る食べ物じゃないのに
[00:58:53.520] いいじゃねえかよ。夢だったんだよ。ガキの頃からの夢。いつかラムネを口いっぱい放りたい。うまい。
[00:59:08.079] うまいしなんか本当にちょっとなんか本当になんか聞くのよね、これ。
[00:59:13.680] 夢かし者。
[00:59:15.200] 夢叶えしも。
[00:59:18.880] 笑笑
[00:59:20.039] ラムネ食べし物。このあの龍ガとのサブタイトルシリーズ好きなんだよな。夢叶えしもラムネ食べし物。
[00:59:33.640] 笑笑。
[00:59:42.559] こっち行ってみる。こっち行ってみるか。え、何それは?あ、え、何それは?え、これは目的地は一緒?え、違うじゃん。
[00:59:59.559] 目的地どこ行くの?これなんか赤いよ。何あれ?一
[01:00:05.920] 発マジか。
[01:00:08.839] あっちだったんですけど。俺が行きたいの。
[01:00:17.559] オンリーウップの時と同じ顔してる。
[01:00:20.226] [笑い]
[01:00:23.000] オンリーアップもやりましたからね。
[01:00:25.119] あれんけんけんカンカンカンカンカンカンカンカ
[01:00:52.200] でかでかい。な
[01:00:58.480] んでこんな周りくどい生き方するのよ。直通だよ。直通危ね危ねえ。
[01:01:20.240] どこ行くの?これ
[01:01:22.920] 丸の内線ってこんな感じ。あ、あ、ああ、ああ。
[01:01:29.440] 多分でも違うスターだけど。でもどうせどうせ取ることになるからね。どうせ取ることになるからね。どうせ取ることになるから。
[01:01:44.440] そのどんだけ二重バタル船やらないんだよ。いや、でもこれさっきのあのなんだっけ?高い高いマウンタン。
[01:01:59.920] 高い高いマウンテンはね、あのこっちの方がいいね。高い高いマウンテなんかすごくしんどかった。あそこ。
[01:02:11.680] 全身全身アと全身前か見てます。取れて
[01:02:17.039] 砂漠はもう終わってるんです。砂漠はもう終わってるんです。
[01:02:26.160] なんやかんやで行けてます。前だけ見てろ。てレだからそこってやめろ。
[01:02:37.400] テレステレステリりライトにゴと雨神だったね、今。ライトにも
[01:02:48.839] ダブル
[01:02:50.720] もう雨神の息に行きましたよ。雨神の息に疲
[01:02:54.680] 彼が
[01:02:56.680] 雨神しになった。
[01:02:58.559] ア神しの重力を操しなる女騎士。
[01:03:09.000] え、ライトニング?ライトニングって重力操んの?前だけ見てろ。テレステレステレてレ。ま、俺やったことないんだけどね。
[01:03:20.279] FF13
[01:03:20.880] やったことないんだけど。これしか知らないんだけど。
[01:03:32.359] なんかまたFFもやりたいね。面白い
[01:03:34.440] FF。
[01:03:36.559] そう。FF。FF
[01:03:40.440] もまたやりたいっすよね。天みたいなやつ。
[01:03:46.160] 5
[01:03:46.359] は5
[01:03:48.119] やったことない。
[01:03:50.200] 5
[01:03:50.440] やったことない。
[01:03:52.279] 面白い。ファイナルファンタジー
[01:03:54.839] 何?何?何?何?変なこと言いました。俺変なこと言いました俺。
[01:04:00.279] 9
[01:04:00.559] 点てまるで面白くないものがあるみたいな。面白くないファイナルファンタジーがある。
[01:04:04.894] [笑い]
[01:04:08.599] あの本当にナは本当にね、
[01:04:11.599] 9
[01:04:11.880] はあの本当にね、あのと本当に最後の最後までめちゃくちゃ面白かったじゃない。最後の最後までめちゃくちゃ面白かった。
[01:04:20.119] もうBB
[01:04:20.599] も可愛いし他のキャラクターも全部良かった。ただラスボス誰なん?あれな何?なんボス?誰?あれ?あのなんだっけ?あの
[01:04:25.199] [笑い]
[01:04:32.480] だ
[01:04:33.279] あの故郷に帰ったあたりから何言ってくか全然わかんなかったんだね。なんか日本語なのに。日本語なのになんか何言ってなかった?縁が切れた。
[01:04:42.160] 9[笑い]
[01:04:45.319] あのね、9
[01:04:47.079] 俺が配信やってるっていうのを知った友達がさ、リア友がね、リア友というか、あの、ま、言ったらあの、スケアクローマンのベースの彼女ね。
[01:04:56.559] 永遠の闇がわけわかんねんだよ。誰だよね。
[01:04:59.160] 急に出てきてで、え、ちゃま、チマって
[01:05:04.160] ゲーム配信やってんだつってドラクエ9と
[01:05:06.559] かやってほしいななんて言われて、あ、
[01:05:08.279] そんなの言われたかなと思ってドラクエ9
[01:05:10.039] やってて、コメントしてないけど見てるよ
[01:05:12.079] なんて言われてて、で、俺が最後の方
[01:05:13.760] めちゃくちゃつまんなそうにやってて、
[01:05:15.160] なんかすごくすごくだったって言われた。
[01:05:18.255] [笑い]
[01:05:19.920] すごく残念だった。つまんなそうにやって
[01:05:22.640] て[笑い]
[01:05:25.400] だってわけわかんだもん。なんか
[01:05:27.279] 顔に出ちゃった。笑笑。
[01:05:29.520] だってわけわかんなかったんだもん。なんか何言ってかわかんない。
[01:05:33.160] ね。
[01:05:33.960] 何やってかわかんない。あ、俺ドラクやってた。今
[01:05:36.520] FF
[01:05:36.839] ね。ただキャラクターめっちゃいい。スタイナーとかも好きだし。ベアトリックスも好きだしめっちゃ好き。めっちゃ好き。曲もいいしね。
[01:05:55.319] パンパンパンパンテルルルルタた好きよ好き好き待ってこ何大空のアスレチックはどこっちですか
[01:05:59.520] [歌声]
[01:06:16.880] もう少しゆっくりやった方が良
[01:06:18.960] かったね。
[01:06:19.599] あれかな?
[01:06:21.240] ない。なんかあれだと思うんだけど。あれだと思うんだけど。どうやって行くの?あそこまで。え、あれだよね。多分ねえ。あれ?何?どうやって行くの?あそこに。
[01:06:52.400] ドラクエX面白かったよね。あ、
[01:06:58.319] 5
[01:06:58.640] とかもやってみたい。やったことないから。
[01:07:00.720] 5やったことない。バッツでしょ。
[01:07:03.279] 5って
[01:07:08.119] 6
[01:07:08.319] もいいよ。
[01:07:08.960] いや、6はやったことあんねん。
[01:07:10.200] 6やったんだよ。えって言ってら。
[01:07:12.039] あ、待た。わざとじゃないんです。許してください。
[01:07:12.881] [笑い]
[01:07:20.319] 疲れてるのよ
[01:07:23.240] ね。あれどうやってさ、行くの?あそこ何?あれ、どうやって行くの?
[01:07:28.319] ドラクエは銃やってないからわかる。
[01:07:30.920] ドラクエやってないね。
[01:07:32.440] オフライン買おうかな?ドラクエオフライン。大空のアソレチックたれ。どうやって行くねん?あそこに。まさかお前に乗ってくとかじゃねえだろうな。
[01:07:45.079] おもろいらしいね。
[01:07:46.520] けておもろいっていいよね。ヤッホー。ホ。うわー。
[01:08:03.317] [笑い]
[01:08:05.880] もうな、何なんだよ俺はよ。レッツゴー。
[01:08:15.920] 大空のアソレチックって何?どうやって行くの?あれやんな。え?あれ?何?どうやって行くの?あそこに。
[01:08:27.400] おい、どうやって行くんだよ。うわ、いいや。
[01:08:58.279] 冷たいね。
[01:09:00.719] 冷たい水をください。うま。
[01:09:09.640] 頑張れ、頑張れ、
[01:09:10.920] 頑張ります。頑張りますと。
[01:09:14.319] 愛してください。
[01:09:16.040] できたら愛してください。
[01:09:20.359] 僕の方で跳ねよ。レッツゴー。うま。
[01:09:31.799] あれ?どうやって行くか教えたよ。
[01:09:33.000] 抱してください。
[01:09:36.440] うん。抱っこされたいね。
[01:09:38.520] 茶げの方休みやすそう。
[01:09:41.040] 俺デブなのに方だからね。休みづらいよ。多分デブなのにな方。
[01:09:55.159] デブってみんな撫で型じゃないのか?
[01:09:58.360] え、デブ別に撫で型じゃないでしょ。
[01:10:02.520] ママみや。
[01:10:05.520] あの、
[01:10:08.120] ちょっともうわからないんです。
[01:10:09.880] どんどん球体の近づくだろ。
[01:10:13.800] ま、ま、確かに。ま、言われてみればそう。
[01:10:16.719] どうやって行くんですか?そこに。
[01:10:21.920] え、ここ羽飛びで行ける距離じゃないよね
[01:10:23.920] 、それね。
[01:10:26.560] え、幅飛びで行くのかそこ
[01:10:39.000] 試して合展、
[01:10:40.600] 試して合点してみるか、じゃあ。
[01:10:49.480] 危ない。
[01:11:04.960] ギリギリ行けるかもと思わせる距離ではある。
[01:11:10.840] そこから行ってみるか。ギリ確かギリギリ行け行けそうな感もある。
[01:11:19.679] 明らか無理でしょう。ではない。行けんのかっていうや。
[01:11:51.880] 本当にこのゲームできるのすごい。
[01:11:55.189] [笑い]
[01:11:58.239] あ、待って。これが映ってないだけだ。おい、これ、これ映ってないだけじゃねえかよ。遠くで
[01:12:07.120] すぐポイしたから[音楽]
[01:12:09.760] 遠くで映ってないだけじゃねえかよ。あのちクワブロックが普通に行けるじゃねえかよ。
[01:12:13.840] なんか通りであそこなんかどうやって行くんかなと思ったら
[01:12:18.679] 描画処理省略されつだけだったよ。
[01:12:22.760] 描画距離短[笑い]
[01:12:24.360] 描画距離が短すぎる。いや、太郎やるんだよ、これ配信で。ちゃんとこれやるんだよ。
[01:12:37.440] ネトロの伊藤しい衣緒出た。
[01:12:39.880] 伊島と出てたね、今ね。太郎もやるんだよ、俺が。
[01:12:43.440] クリアしたらこれ研究所は一旦お休みして
[01:12:52.360] 今日からマリオ64研究所になります。
[01:12:57.719] サンシャインもウーリモコン壊れたことにしてやめてさ。
[01:13:01.000] うわ、嘘つくなよ。
[01:13:03.560] 研究所だ。笑笑
[01:13:05.639] やれよ。
[01:13:06.920] 笑笑。
[01:13:07.400] ショート動画出してくれよなあ。
[01:13:09.840] ショート動画のよくよくなんかよくよくショート動画の人が使う
[01:13:14.360] BGM使っよう。
[01:13:21.000] あのなんかあの変な機械変な機械音声使ってやれよなあ。あの辺よく聞くあの変ななんかスーパーマリオ
[01:13:29.320] 64
[01:13:30.000] はなんとかんとかアーダコーダで実はアーダコーダみたいなあの
[01:13:35.679] ちょっとバカにしてるだろ。
[01:13:37.520] 結構バ鹿にしてた。いや、本当にすごいと思います。マジですごいと思う。もう登録者
[01:13:39.336] [笑い]
[01:13:52.239] 1
[01:13:52.440] 万人行ったんでしょ。だって行ってるよね。登録者
[01:13:55.159] 1
[01:13:55.320] 万人行ってるよね。やめてやめて。は、もうねえ。やだ。俺は嫌だんだ。
[01:14:06.320] 俺は嫌だ。マミや。
[01:14:33.880] サンシャインどこでやめたか知ってる?
[01:14:36.159] え、知らね。どこでやめたの?ちなみに俺はクリアやしたよ。ちなみに僕はクリアしました。
[01:14:41.719] は
[01:14:51.600] ボスパッ君行く前の塔。それマジで冗談じゃなく開始
[01:14:54.007] [笑い]
[01:14:57.440] 5
[01:14:57.560] 分のとこじゃないですか?マジで冗談じゃなく開始
[01:14:59.246] [笑い]
[01:15:01.719] 5
[01:15:01.880] 分のところじゃん。ボスパッ君の前って嘘でしょ?
[01:15:09.440] いや、ヨッシーは乗った。
[01:15:11.692] [笑い]
[01:15:13.080] え、ヨッシー乗ったってことはそっか。
[01:15:15.679] 結構やってるな。え、結構やってるな。
[01:15:20.199] 結構でもないけど。ま、中盤手前ぐらいか
[01:15:23.199] 。
[01:15:26.440] なんでそこまで行ってあれ楽しいやん。
[01:15:28.639] あのゲーム俺好きだけどな。まず
[01:15:35.000] までもあれは難しいけどね。めちゃくちゃ
[01:15:36.960] あのゲーム。うん。
[01:15:39.520] マリオ三はめちゃめちゃ難しいって言われてるね。
[01:15:44.120] 確かにキャラコンとかむずいんだよね、あれね。ねえ、これさ、どうやってやったらいいんですか?僕には分かりません。僕には分からないんだ。
[01:15:50.992] [叫び声]
[01:15:58.239] 30
[01:15:58.679] 歳にもなって、まだこのク、このゲームのクリアの仕方が分からない。
[01:16:16.719] 30か。30
[01:16:18.760] だよ。もうじじ手前だよ。じじ
[01:16:20.800] 1歩手前だ。
[01:16:27.400] いや、もう本当に若いのにレトルゲームに詳しいという、若いのにレトルゲームが好きという俺のブランディングプランにも亀裂が入った。
[01:16:44.703] [笑い]
[01:16:47.880] 若いのにレトロゲームをたくさん持っていてたくさんあの詳しく詳しいという
[01:16:55.199] 82
[01:16:57.239] まだ82
[01:16:58.120] ってごめん。これ結構すごいからね。
[01:17:02.679] こんちゃまさん誕生日。
[01:17:04.440] あさんこんばんは。お疲れちゃん。お疲れちゃん。ありがとう。
[01:17:06.360] タ12kg来ちゃった。
[01:17:07.480] お疲れちゃん。誕生日でございます。
[01:17:09.800] 30歳になっちゃいましたよ。もう
[01:17:14.840] 若者ブランディングができなくなっちまっ
[01:17:16.600] た。もう俺は
[01:17:33.080] テリワンはずっとそこら辺のゲーム触るわ
[01:17:36.600] 。いいね。いいね。いいね
[01:17:42.040] え。テリワン何のやつやってんの?ゲームボーイ。
[01:17:48.360] なんか気持ち悪いな。
[01:17:54.040] うまい。うめえ。一発でいい。一発でい
[01:17:58.239] ドスだね。
[01:17:59.320] あ、3DSのやつね。いいね。3DS
[01:18:01.560] のやつもいいよね。ヤッホー。
[01:18:03.120] いるルかもやれよ。いいルカも。
[01:18:05.320] さちゃま
[01:18:06.560] うますぎでしょ。あ。
[01:18:11.360] セーブして終わっちゃった。
[01:18:13.360] セーブして終わっちゃった。みんな今日はここまでかも。今日はここまでか。あ
[01:18:20.120] ととと。お疲れ様でした。
[01:18:31.920] 可愛い。寝るやつは耐久じゃないからな。
[01:18:46.239] きほすに[ため息][息をのむ音]
[01:18:53.960] 13
[01:18:54.440] 時間連続でこのこんなもんをやらされてたらね、
[01:18:58.979] [笑い]
[01:19:00.040] 13
[01:19:00.560] 時間連続でね、こんな素晴らしいゲームをね、
[01:19:05.440] でも83個すご
[01:19:06.920] すごいでしょ。の時間だったんですか?もきとしてやりなね。こんなもん。
[01:19:12.320] こんなもん。こんな素晴らしいもきた。
[01:19:15.400] こんな素晴らしいもんをね、
[01:19:17.639] 13時間もやってたらね、そら疲れるわ。
[01:19:20.440] ステージも時刻も虹を回ってますが、それでも少しか。
[01:19:24.600] お、なるほど。お、うまいね。レインボークローズだけにじってか。
[01:19:30.600] レインボークローズだけにってか
[01:19:33.719] おい
[01:19:34.560] おい。それってよ。
[01:19:38.040] まあまあま、ゆっくりやっていきましょうや。うん。ガ
[01:19:41.360] がガがあ。スト
[01:19:52.400] のびハザ。
[01:19:53.920] おい、それってよの伸びハザのネタじゃんか。
[01:20:03.480] 女がなんとかなんとかそれなんだけど。え、何それ?え、それ声優さんのやつ?もうやめなよ。それもうそのネタ引っ張ってくんの?え、ここな何て言ってた?虹の彼の島。え、どこ?
[01:20:05.790] [笑い]
[01:20:24.000] あれ大好き。
[01:20:25.440] [笑い]
[01:20:27.199] あれ怖いから。あれ怖いけばよかった。笑笑
[01:20:31.335] [笑い]
[01:20:32.840] あれマジでどうしたの?本当にこんな普段温厚な
[01:20:37.880] 温厚な声優さんから出たコメントとは思えなかったよね。あれね、
[01:20:41.480] 急に海分やめたシー。
[01:20:43.120] そう。海分から海分になったシーン。
[01:20:48.120] 世界の桃を送りました。またなんか出現したのか
[01:20:49.676] [叫び声]
[01:20:50.986] [笑い]
[01:20:53.400] ボじゃん。うお、ボじゃさんが
[01:20:57.800] 5
[01:20:57.920] ドルで送りました。久しぶりボチパチパチパチ。うお。
[01:21:03.360] ありがとう。え、てかさ、
[01:21:05.120] 世界のもこさんが5
[01:21:06.520] ドルでサブスクを送、あのさ、ありがとね。コメント書いてくれて。
[01:21:11.800] 世界のもこでサブスクをサブギありがとう。あり
[01:21:19.080] ありがとね。コメントくれて。
[01:21:22.199] のギフトが送られてて当たらないんだね。世界のもこさんが
[01:21:26.199] 5
[01:21:26.440] ルでサブスクを送りました。ありがとう。
[01:21:28.960] 普に嬉しかった。普にしかかったわ。その世界のさんがあうたん世界のさんがあ、そうそうそうもちルさんもありがとう。そうそうそう。みんなありがとうね。そう。これすごくないすか?サブスク
[01:21:45.560] 10件もありがとうね。サブスク10
[01:21:47.280] 件もありがとうね。
[01:21:48.639] すごないすか?これありがとう。サブスクみんなのコメントのもこさんが
[01:21:54.400] 5
[01:21:54.560] ドルでサブスクを送りました。みんなのコメントがあの
[01:21:58.520] 30
[01:21:58.960] 歳になっちゃったよ。おじちゃんだよ。
[01:22:01.199] 世界のももこさんが送りました。パチパチパチパチ。
[01:22:06.520] やべえ。サブスクライバー120
[01:22:08.280] 人行ったんだけどすご。初めてこんな多いの。こいつらが全員こいつらこいつらって言ちゃった。
[01:22:15.360] パチパ。
[01:22:15.800] こいつらが全員毎月更新してくれれば俺は俺は結構な収益を得られるのにな。
[01:22:23.199] こいつらこいつら笑笑[笑い]
[01:22:26.480] こいつらが全員が全員ボありがとね。
[01:22:36.960] 俺たちのことなんだ?
[01:22:38.120] 元気でよかったよ。ん、文字だとしか思ってません。え、君たちは文字だよ。
[01:22:43.040] いいよ。
[01:22:44.320] ありがとう。
[01:22:48.800] ちょっと待って。虹の彼の島って結局どこなん?結局どこなん?結局どこのこと言ってんの?これ
[01:22:52.162] [笑い]
[01:22:57.440] 愛されてますわね。
[01:22:58.600] ありがとうございます。ちょうどガンバルトロも来てたし、今な。うん。ちょうどうんちゃんがいなかった。
[01:23:07.320] 私たち文字から文字をプレゼント。
[01:23:09.199] 文字から文字をプレゼント。
[01:23:15.000] 虹の彼との島ってどこ?
[01:23:18.520] わかんない。あれか?あれ?あれじゃない?あれだな。あれ絶対あれだね。絶対あれだ。うん。絶対これ違う。こっちじゃない。
[01:23:27.719] 助かれ助かれ助かれ。よし。俺の仲間になれ。
[01:23:41.600] どん。
