[00:00:17.840] ケムっす。
[00:42:25.960] 懐かしい。やべえ。めっちゃやりたい。これ
[00:42:29.920] めっちゃやりてえ。久々に。へえ。うわ。パス。
[00:42:37.200] これ暑いね。うわ、すごい。これ面白そう。
[00:42:40.640] うわ、マルチやりたいね。うわあ、面白そうやな。メタルギアにやりたくなったな。ええ、
[00:42:54.119] 8月なんだ。
[00:42:55.079] は、死んじまっただ。
[00:42:56.680] ああ、そう歌うんだね。ゴーストバベルも入んのやば。
[00:43:01.359] ゴーストバベル入るんかい?え、
[00:43:04.240] メタルギアシリーズ制作プロデューサーの村の
[00:43:08.119] メタルギア
[00:43:08.760] ゴーストバベルあのゲームボーイで出ためっちゃマイナーのやつね。
[00:43:12.119] Play3
[00:43:15.839] 4トリオがPlayStation
[00:43:18.079] 3つに遊べるようになります。
[00:43:20.720] 加えてまっ
[00:43:25.359] メタルギアソリッドピースウォーカーを含むメタルギ
[00:43:28.960] ゲームボーイのゲームなのにオープニングのムービーが
[00:43:31.960] 15分なんだ。
[00:43:34.720] え、知らない。くらすんだろうね。俺昔買った時は
[00:43:37.240] 3000円ぐらいだったけど。
[00:43:39.040] そして、え、現在発売中のメタルギアソリッドマスターコレクションボリム
[00:43:43.720] 1
[00:43:43.880] につきましても最後のアップデートを実施いたします。
[00:43:46.599] ね、これsイチでないのかな?
[00:43:48.839] 初代PlayStation
[00:43:49.800] 向けたメタルギアソリッドidには公開ゾード設定を追加し、
[00:43:54.960] ご覧のように映像が美しくみやすくなりました。
[00:43:58.880] すげえ。うわ、またやりたいな。久々に。
[00:44:01.839] またメタルギアソリッド3
[00:44:03.599] スネークイーターについてもさらなる公開増加を実
[00:44:07.000] 全然違いわかんない。ああ、違うか。
[00:44:10.160] 本日よりアップデート配信開始となりますので、この機会に是非タルギアソリッドidコレクションボリム
[00:44:16.839] 1も体験してみてください。
[00:44:18.559] へえ。
[00:44:19.040] さらに、え、今回の発表を記念たしまして、メタルギアシリーズの始まりの物語、メタルギアソリッドデルタ、スネークイーターも特別なセールを実施してます。
[00:44:29.599] 50%オフていう
[00:44:31.319] 俺社から100%
[00:44:32.520] オフでもらったけど楽しみ
[00:44:34.720] ピスダンボール。
[00:44:36.960] これからもメタルギャ。
[00:44:40.440] そして
[00:44:41.720] 最後にこちらの映像をご覧ください。
[00:44:43.640] あれ開けられることあるの?
[00:44:45.119] あるよ。
[00:44:45.440] デルタ配信ダメなの?
[00:44:46.720] いや、いいんじゃない?
[00:44:50.359] こ、
[00:44:51.599] 新作はまあ新作は出ないか。え、新作何?何?何?え、キモ。
[00:45:01.480] 何?え?何?
[00:45:04.400] 開けてみよ。
[00:45:07.760] え、何?え、何?何?何?何?だ
[00:45:16.319] んですか?な、
[00:45:31.319] 何こいつ
[00:45:36.720] これはこれは僕は別にいいと思うんですけど、世界のメタルギアファンがこれ黙っちゃないんじゃないですか、これ。
[00:45:50.520] 1スクイッド3スクイッ
[00:45:52.720] え、これなんなんこれ?
[00:45:54.240] 笑笑ならな。
[00:46:01.319] 何これ?え、なんなん?でこいパスってこと?説明してよ。
[00:46:12.280] やりたい放題かもな。
[00:46:16.280] 何これ?
[00:46:18.440] チど何
[00:46:19.920] な?なんな?なん?あ、ああ。
[00:46:26.319] コラボってやの皆において
[00:46:30.359] ちょっと黙れを飛ばして
[00:46:38.119] ちょっとごめん。え、
[00:46:40.760] 待って。これ主人公もしかしてあれ主人公もしかしてあれかベリークテファせ。
[00:46:45.839] え、主人公もしかしてなんとかベルモンドかこれあのゲームボーイのさ、ゲームボーイのほらな何だっけ?
[00:46:52.400] バインの女じゃないの?バインの女。あのなくないなかったことにされた黒歴史の女じゃないの?え、ぽくない?
[00:47:02.839] え、これあの同じ女のやつじゃないの?これ。ええ。
[00:47:19.319] かも探索型の方。
[00:47:25.119] え、これ探索か?探索か。ま、ま、おえ。おあ。
[00:47:36.200] 神、もはやに望みを託すより他にないのです。トレバーベルモンドと
[00:47:50.240] あ、トレバーベルモンドなんだ。1
[00:47:51.760] 人のベルモンドの政党なる光景者よ。
[00:47:54.960] 誰?
[00:47:58.240] キャッスルバニアベルモンドカー。えへえ。
[00:48:06.520] ご覧いただきありがとうございます。キャッスルバニアベルモンドカースプロデューサーの谷口です。ぽい。デッセルのぽいも
[00:48:14.599] ルバニアシリーズ40周年記念第1
[00:48:17.119] 弾となるキャスルバニアベルモンドカースのアナウンス映像です。
[00:48:20.440] これまで我々のチームは多くの方にジャッスルバニアに触れていただきたいという思いでこんばんは作を最新オブプレ見てます。また多くの素晴らしいパートナーとコラボレーションにも取り組んでまいりました。そしてやっと本日新しいゲームについて皆様に報告できるところまできます。そのことがすごく嬉しいです。
[00:48:44.720] 今回のタイトルではイビルエンパイアモーションツインという才能と情熱に溢れるシリーズへの愛を持ったスタジオと共にプロジェクトに取り組んでいます。
[00:48:53.640] でもねえ、
[00:48:54.200] これまでのシリーズらしさを大切にしながらも新しいアイデアと現代的なゲームプレイを取り入れることでキャラクターのアクションをよりダイナミックで爽快に仕上がっています。
[00:49:04.599] シリーズファの方はもちろんあの是非あの遊んでくださいと思っておりますがまだキャッスルバニアに触れたことがないっていう方にも是非楽しんで欲しいです。
[00:49:14.119] 発売は2026
[00:49:15.799] 年を予定しておりますので、続報を楽しみにお待ちください。
[00:49:19.440] でも
[00:49:20.119] あの多いね。
[00:49:22.359] 重要なのはBGMですよ。過去作のBGM
[00:49:24.960] は流れるのか?
[00:49:35.880] そうか。出るんだな。
[00:49:39.520] もう違うの言った?
[00:49:40.960] なんかもう違うのった。
[00:49:44.280] もっと見せろ。
[00:49:47.520] 俺は悪魔城ドラキュラじゃないだろうな。もう終わったんだ。え、もうあ、もうじゃあもう見る見る。もうもうナイス。見る見るの?もういいよ。もう、もうじゃあ行くか。じゃあもうシャドゲ行くか。
[00:50:07.559] 賢者タイム。さてと。こやぞ。
[00:50:10.920] あ、ウォークアップ。
[00:50:12.319] え、これもコなミ?これもコなミ。
[00:50:23.920] 静岡。
[00:50:25.640] ああ、サイレントヒルか。こないだもでも出てたやな。新しいやつ。
[00:50:38.359] Tryfんな
[00:51:02.160] コミネジェルエンターテイ
[00:51:08.680] え、なんかサイレントヒルっぽくね。あ、
[00:51:13.200] ラジオ持ってるみたいな感じで。
[00:51:19.040] ええ。
[00:51:26.480] え、
[00:51:29.760] サイレントヒルか。
[00:51:35.280] ええな。
[00:51:38.280] サイレントヒール。
[00:51:39.440] サイレントヒルって静岡のゲームだ。
[00:51:43.040] より長くね。ワトアハみみちゃんこんばんは。もぐらもこんばんは。
[00:51:52.160] タウンホールタウン。
[00:51:56.920] この世界には光の雨が降る。
[00:51:59.760] もうちょっとキャッスルバニア見せて欲しかったわ。
[00:52:03.000] くれれば立ち死に至る雨。
[00:52:12.240] 興味持ってまだできてないんだよ、きっと。
[00:52:15.359] も、第1弾って言ってたからな。
[00:52:28.960] いいよ。ゆっくりで
[00:52:41.079] 作ってくれてありがとうなこなみ。
[00:52:44.040] まあまあ、それはそう。
[00:52:55.400] ねえ、行こう。アッシュ
[00:53:03.119] 配信やってくれてありがとうな。ちゃまげ。
[00:53:05.880] それもそう。
[00:53:06.599] ダブルはい。
[00:53:13.000] ということでね、ブノワールは完全新作の
[00:53:18.599] JRPGです。私自身を含め
[00:53:21.760] JRPG
[00:53:22.520] を愛し続けてきたメンバーが情熱を持って開発したタイトルとなります。仲間との出会いと映像
[00:53:31.359] 今笑ったね。
[00:53:32.839] 笑ってないけど。
[00:53:37.680] わあ、キャッスルバニアの確かに新作は出るらしい。確かに新作は出るらしい。確かにな。
[00:53:49.200] 茶げも同じポーズでゲームについて語る動画作ろ。なんかコミの人こんな体型かメガネ多いね。
[00:53:56.680] コなミアプグの代表作って何?
[00:53:59.319] コミのRPGのえ、幻水電とか幻水電
[00:54:06.920] 猛機まだ
[00:54:08.720] 1
[00:54:08.880] 番気になる。
[00:54:10.319] これ何?痛そう。
[00:54:24.920] そうか。水古か。
[00:54:26.920] そう、そう、そう。
[00:54:27.720] メタルギアに見えた。
[00:54:29.760] これ
[00:54:30.440] 来た。
[00:54:31.880] 何何何これ?何これ?みたい。ごっぽい。うお。何?こいつ
[00:54:45.520] キぬやん。
[00:54:50.119] そうだよ。
[00:54:51.960] え、何なん?え、今、今ここで銃弾不だけど、これは無理があるだろ。
[00:55:02.680] ウックイ
[00:55:21.200] かっこいバヤが
[00:55:22.920] ジョンウィック
[00:55:26.839] ゲームになるんだ。これ映画だよ。
[00:55:29.319] へえ。
[00:55:30.799] いや、
[00:55:32.559] 映画見ろ。
[00:55:34.440] へえ。も聞いたことある。ジョンウィックって。
[00:55:43.319] アクションめちゃかっこいいよ。
[00:55:44.960] へえ。
[00:55:57.280] 叔父がめっちゃ眠くなってんじゃん。
[00:56:16.520] いつもあの眠くなっちゃった。
[00:56:19.839] 眠くなっちゃった。もう
[00:56:24.000] 笑笑
[00:56:24.799] 悪魔城ドラキュラでそっから
[00:56:28.160] やろか。
[00:56:36.960] ちょっとあとは気になるやつだけ見るわ。
[00:56:44.960] みたいなだった。
[00:56:48.640] これは気になる。
[00:56:51.119] 鉄拳も出んの?
[00:56:57.079] もう正味ね、新規IPの3Dアクションの
[00:57:00.079] 映像見せられてもね、何も時もいかん。
[00:57:02.880] 賞味申し訳ないけど。IP
[00:57:05.680] のく知らない外人が主人公のなんかやられてもね困るんだよね。そっか。で終わっちゃうんだよ。タイムクライスつあれじゃん。
[00:57:20.280] 全部一
[00:57:21.280] あれにあるやつやん。こうやってリロードするやつ。こうやって銃。こうやってリロードするやつね。こうやってゲにあるやつやん、こういうの。
[00:57:31.200] 笑笑。
[00:57:33.720] やったよ。昔タイムクライスゲームボーイで。ゲームボーイゲで
[00:57:38.280] ゲ戦でようやった。
[00:57:40.319] まだ全然こういうの方が興味持てるわ。
[00:57:45.599] 夏みじゃないけど。もっとガキの頃みたい。
[00:57:52.839] な、
[00:57:52.960] 何なんこれ?なんかあの、あ、のさ、あらのあのベッドのシーンでさ、あのくまさんがブーンって大きくなってくる時の
[00:58:05.039] BGM見たくない?
[00:58:06.960] いや、これ通じるかわかんないけど。通じるかわかんないけど。
[00:58:20.359] もうもう新規IPの3し
[00:58:26.760] 名前だけちょっとディラーお
[00:58:36.680] 人え人々に嫌われていても私は世界を守る本物のチームとはこ
[00:58:46.839] 天空の力には抗えないわ。
[00:58:51.359] これが母なる自然の力よ。
[00:58:54.160] 沢しろ。
[00:58:55.240] 私にやらせろ。ストム。
[00:59:00.280] こっからが地獄だ。こっのに逆の遊儀ってやつを教えて。俺のします。
[00:59:11.039] 私はとがしています。
[00:59:14.599] します。エの抵抗はいです。
[00:59:15.880] ちゃか私たち負けて負けます。
[00:59:24.400] 終わったわ。
[00:59:25.760] まあかてのは分かるな。
[00:59:27.880] マーベルトコンファイティングソウルズ最新のトレーラーお楽しみただけましたでしょう。
[00:59:33.240] でなんかな、やっぱな。
[00:59:39.079] ゴッドオブウォーか。これこうだろ。ゴッドオブウォーね。
[00:59:48.880] 自信に満ちた顔しとるわ。
[00:59:54.280] かっこいい。
[01:00:02.280] いや、すごくない?この人。え、ウィルスミスかと思ったわ。
[01:00:07.039] こいつ好き。
[01:00:20.119] この人が面白い。
[01:00:21.880] この人面白いんだ。
[01:00:23.680] 2
[01:00:23.799] 人で盛り上がれるか。配信者に向いてるわ。配信者に向いてる。
[01:00:29.520] 1
[01:00:29.640] 人で盛り上げられるタイプね。いえとか言いたいもん、俺も。
[01:00:37.079] 皆さん今日の配信はイエシャドウゲート
[01:00:41.039] 64
[01:00:44.440] とか言いたいもん。俺誰も盛り上がってないのに。
[01:00:55.640] すごいね、この人ね。
[01:00:59.640] これ
[01:01:04.880] AI
[01:01:05.359] 嘘でしょ?お、いいですね。ゲーム感がっていいわ、これ。これよな、ゲームって。
[01:01:29.960] ゴッドオブウォール。これもゴッド。あ、終わった。
[01:01:36.480] そう思うとよく津島はまったね。
[01:01:38.599] いや、津島めっちゃおれえ
[01:01:41.200] と。
[01:01:41.680] フロムゲーの進化はどうでもいいんだよね。
[01:01:43.680] というわけで、というわけで、え、ありました。
[01:01:51.720] というわけで、はい、やっていきます。というわけでやっていきます。
[01:01:58.720] SG64
[01:01:59.920] やっていきますか。じゃ、今日はハ荒らした。
[01:02:02.799] 荒らした。ああ、悪くマジとけ確か新作出るけど。
[01:02:07.079] 本編だ。
[01:02:08.200] 新作出るけどさ、なんかなんかさ、ドットエでやって欲しかったな。
[01:02:15.079] ああいう最近のゲームによくあるさ、
[01:02:19.000] ベタ塗りの絵が動くま、いいんだけどさ。
[01:02:24.720] トライアゲインや。しきんちゃん
[01:02:26.880] こんばんは。映るなんか
[01:02:30.079] 違うやな。ま、でも出てくれるだけで
[01:02:32.440] 大変やろな。そうかける人ないんだろうね
[01:02:34.920] 。もうねまでもしょうがないね。ドット
[01:02:37.400] かけるやついらおらんのやろうな。そして
[01:02:39.359] 前回ですね。え、前回あのこのクソ、クソ
[01:02:43.279] 隠し。クソ隠し、クソでクソ隠しの、
[01:02:47.720] え、水路のレバーをゲットしましたね。もうこれの隠しどろと言ったらまあ地獄でしたわな。ということで今回は、え、水路からお届けしていきたいと思います。もうクリアしようぜ。もうクリアしようぜ。
[01:03:05.480] ちなみに今日12時で終わりだからあと1
[01:03:07.039] 時間しかやらないからもう、もう今日全然進めないから水路のレバー
[01:03:15.799] レバーな。なんで分割されてんねんけど。あ、でも今日ちょっと長くやってもいいんだけどね。明日休みだし。ま、ちょっと今日の進み具合いによるわ。じゃ、水路行くぞ。水路どこだっけ?水路って忘れたわ。
[01:03:30.400] 3
[01:03:30.480] 時間じゃ進捗がない可能。
[01:03:32.200] 本当だよ。だって前回3
[01:03:33.559] 時間身長なかったんだから
[01:03:36.359] 長くやろう。
[01:03:39.240] 長くやるべきかな。わしたいよね。あ、これ別にこのゲームが嫌いって言ってるわけじゃないねんで。別好きとも言ってないけど。嫌いって言っじゃない。嫌いって言ってるわけじゃない。好きでもない。好きでもないけど。ま、明日休みだしな。明日休みだしな。うん。
[01:04:01.279] BGMいいな。BGM
[01:04:02.680] は好きになりました。
[01:04:03.760] うん。このBGM
[01:04:04.359] いいよね。わかる。落ち着くよね。ルルンルルル。ちょっと悪魔場ドラキュラや新作しもちろん買うし配信でやるかわかんないけど好き。
[01:04:17.799] 確かに曜日休みな
[01:04:19.520] 珍しく。いや、これが普通やねんね。本当は配信でやるかわかんねえな、あれな。買うけど。買うけど配信ではやるかわかんねえな。
[01:04:31.200] でもな、40周年第1弾って言ってたから
[01:04:33.440] な。なんか本当しっかりした。がっつり
[01:04:35.760] がっつりしっかりしたさ。昔路線のやつ出
[01:04:38.440] てくんねえかな。
[01:04:49.640] まあでもまだ任天堂ダイレクトのさ、ほ、
[01:04:52.000] そんなんところあったっけ
[01:04:55.000] どれどこのこと?これあったよ、昔から。
[01:04:59.319] 昔からあるよ。
[01:05:02.720] 顎
[01:05:04.520] 顎あるよ。昔から。昔からあるわ。え、これなの?あるあるある。ちゃんと俺のこと見てよ。ちゃんと俺のこと見ててよ。
[01:05:18.760] 笑笑。
[01:05:22.119] しげるの見て。
[01:05:27.240] 29年発売時の雰囲気出てる
[01:05:29.880] BGM好き。
[01:05:31.000] このBGMいいよね。
[01:05:34.520] めんどくさい彼女みたい。
[01:05:40.640] えっと、何だっけ?あ、これ、これ、これね。でもさ、俺ぶっち全然分かってないんだよな。あの、この、このレバーを持ってきたのはいいんだけどレバーを取り付けた。
[01:05:56.720] あ、え、何?誰だお前?
[01:06:01.440] あ、えーえ
[01:06:03.880] 、名前出てこ。なんだっけこいつの名前?
[01:06:05.480] ええ
[01:06:07.319] 、
[01:06:08.920] ん、名前忘れた。え、ようやくここまで
[01:06:12.079] たどり着いたが道のりは長かったの。
[01:06:15.480] ハーフリングよ。モーガン
[01:06:18.680] 見た目で判断してるでしょ。この水路管理
[01:06:21.920] 室の制御卓は水合をはめとする水路を管理
[01:06:26.400] してお操作により水合の水は低の楽ミール
[01:06:32.760] 定められた位置にハンドルを合わせよし
[01:06:36.319] レバーを動かせ
[01:06:39.599] これが正しき首合わせであったならば水合
[01:06:42.880] のウはみるみる引いていくであろう道が
[01:06:47.599] 開けるのだ。これは試練の塔への塔に扉に
[01:06:52.640] 続く道。さあ、ハンドルを捜作レバーを
[01:06:55.440] 動かせ、そして試練の塔へ向かうのだ。
[01:07:01.279] なんやねん。
[01:07:04.279] でさ、なんかここのね、レバーを
[01:07:06.559] ガチャガチャする、レバガチャするんだ
[01:07:08.440] けどなんか、なんかこれらしいんよね。で
[01:07:12.079] もこれわけわかんないんだよね。これ全部
[01:07:15.400] やってやればいいのかな?確かこれし写
[01:07:18.279] メってやつがあるんだよな。
[01:07:19.640] うちいち開くのめんどくせえからこれを見ながらちゃうちゃうちゃうちゃうちゃうどうすればいいんだ?左あ、でもなんかこれあれだな。
[01:07:35.079] 3
[01:07:35.359] パターンどれか試せばいいのでは?
[01:07:39.760] 何もこらない。ああ、
[01:07:41.480] 3パターンじゃ1回ずつやってみる。
[01:07:43.960] 1回ずつやってみる。
[01:07:46.400] えっと、左、右、右、左、
[01:07:57.079] 右。
[01:08:01.520] ただこのレバーがさ、初期地に戻ってるか
[01:08:03.960] もよく分かってないんだよね。まず左、右
[01:08:06.000] 、右ね。
[01:08:14.799] 回イが手前なのが初期地じゃない。
[01:08:17.120] え、でもさっき初期地になってなかったってことはリセットされてねえってことなんかな。じゃあ
[01:08:21.279] 1
[01:08:21.480] 回リセットするか。じゃあ全部左向いてたから。そう。前回最後全部左向いて終わったんだよ。だから記録されてるってことはなんかワンチャンなんか正解なのかなと思ったけどそんなことなかったね。
[01:08:42.719] ん、じゃあ左右ってもう1回やってみる。
[01:08:45.400] 左
[01:08:50.960] 違う。間違えた。ごめん。間違えた。右
[01:08:52.440] じゃない。え、右、
[01:08:57.759] 右、
[01:09:02.759] 右。
[01:09:07.359] はい。
[01:09:11.239] え、いきなり当たんやが。いきなり当たんだが。え、お、あ、お、あ、え、え、これ正解なの?
[01:09:21.759] びっくり。はい。
[01:09:23.279] え、これが正解なの?
[01:09:25.199] おお、水門が開かれる。水門試練の塔が数百年の時を経て挑戦者を受け入れようとしている。見るがいい。
[01:09:36.560] 今試練の東の道が開かれる。え、何これ?
[01:09:40.640] 1番最初のやつが正解だったってこと?え
[01:09:43.560] 、
[01:09:52.120] ペガサス
[01:09:54.480] ペガサスJ
[01:09:55.360] クロフォードみたいな。今の勝ちです。ほん田かませったな。
[01:10:10.880] 心よ、ハーフリング。試練の塔をひれひせるには相当の覚悟と勇気、そして知恵が必要。引っかかるら足が。ここまで味わったことのない恐怖がそなたを待ち受けあ。はい。夢油断するではないぞ。
[01:10:35.360] 夢は見るもんじゃなくそう叶えるもんでしょう。ワンオクロワロックの夢ね。
[01:10:45.920] ブーブぐブー
[01:10:49.360] ね。このじゃ判定が甘い。はい。行きまじゃあ水路の抜けみたいなんで、え、試練の塔に行きます。まず試練の塔。
[01:11:04.400] あのさ、このゲームのさ、サブタイトル何
[01:11:07.080] だっけ?テールズオブフォタワーズ
[01:11:11.000] みたいな。俺さ、フタワーズって大体、ま
[01:11:13.360] 、4つの塔って意味なんだろうけどさ、俺
[01:11:15.199] 頭いいからわかんないけど。次の塔って何
[01:11:18.040] 個目?試練の塔って何個目でしたっけ?
[01:11:21.120] 大体それエンディングに、あ、
[01:11:22.560] エンディング4つの塔でしょ、多分。
[01:11:27.120] え、なんかまだ3つ目とかじゃない?え、
[01:11:29.000] まだ最後じゃないの?まだ最後じゃないっ
[01:11:32.320] てこと。もう良くねえか。最後
[01:11:40.880] 最初のとこから楽ミールのとこ来たから
[01:11:43.440] 3つ目じゃない?
[01:11:44.560] あ、うん。だよね。で、
[01:11:45.679] 新作情報で楽しかったのにね。
[01:11:48.880] 本当だよな。世の中はさ、プレステ
[01:11:51.960] 4
[01:11:52.320] がうん。プレステの新作だ。あのなんだのな、ドラクエ
[01:11:58.360] 7がなんだか噛んだ言ってるのに俺
[01:12:00.400] 64ですよ。
[01:12:03.159] 俺64だよ。64
[01:12:05.400] のこのなんだっけ?このゲーム。シャドウゲートね。そうか。
[01:12:18.679] 逆にな水抜け
[01:12:32.199] とあ、ここが入り口なんだ。
[01:12:38.840] なんかでもありそうじゃない?こっちもさ
[01:12:41.600] にないか。ドラ7
[01:12:43.920] は見れる配信いっぱいあるけどシャドウゲートの世界でもここだけですから。
[01:12:49.960] そうだね。マジでマジで自信持って言えるんだけど、全世界でもこのゲームを今ネットで配信してんのは俺だけかもしれない。
[01:12:59.080] 全世界で見ても世界中見ても多分俺しかいないだろう。
[01:13:03.000] 今この瞬間にシャドウゲートやってるやつ
[01:13:07.560] なんに与える王家の試練我試すなりが中性
[01:13:13.520] の心我恐れるなれ何じ恐れるなれ何時
[01:13:18.280] を求める決意が
[01:13:20.639] 何時に耐えうる心なくば帰るわよ
[01:13:23.480] ランドストーカーでさえ1人の
[01:13:26.440] ランドカー行ったんだっけち
[01:13:29.400] に今年ランドストーカーも35周年です。
[01:13:32.880] え、我何時に約束せん?偽りなく全ての
[01:13:36.480] 試練に耐え抜いた時、王の指輪を何時に
[01:13:39.480] 授けん。なんかさ、またさ、ちょっとさ、
[01:13:42.400] 暇な時さ、このゲーム終わったでもいいん
[01:13:44.080] だけどさ、なんか俺がまだ半年ゲーム、
[01:13:47.920] あの、配信休んでる間にいろんなゲーム
[01:13:49.560] 買ってたからさ、溜まってるんすよ、変な
[01:13:52.239] ゲームが。なんか配信でやるわけじゃない
[01:13:55.719] んだけど、ちょっと触り大会したくない。
[01:13:57.840] あの、なんかトムアールみたいな、
[01:14:00.639] いろんなゲームをちょっとずつやる。
[01:14:03.280] これ買ったけどまだやってないみたいな。そん中から次のを決めるのもありだ。
[01:14:10.040] いいね。
[01:14:11.000] トジャムアRがあったからな。
[01:14:14.040] シダやれ。
[01:14:15.600] シャダもあった。確かにシャダもシャもあれちょっとちょっと流行ったからな。
[01:14:20.800] 笑笑な
[01:14:21.520] んだっけ?ま発見でだ。このとこの管理していたものは、え、試験官に認られたドレスリ。
[01:14:31.679] この
[01:14:32.679] 王家に対する恨みを抱いているんだ。なんかさ、ドレスリンってなんかちょく出てきてるよね、名前ね。ドレスリンは王朝における名門のデジャ。そのためウエストランドより超なんとかされたロードジェールに不満を頂いておる。
[01:14:45.440] トムは外人がやってて見てたらサブスク。
[01:14:49.320] あ、そうなんだ。クソ思んなかったけどね。あれクソ思んなかってなんかこうやってなんかずっとこうやってこうやって歩いてるだ。マジで面白くなかったね。いや、わかんない。
[01:15:00.159] 俺がまだ気づいてないだっけかもしんないけど、なんか俺には俺にはまだ早かった。あれは
[01:15:10.000] 俺には早かったな。まだよ。試練のと。あ、セーブしとこうぜ。セーブ。いつ死んでもおかしくねえからな。
[01:15:27.199] 最も偉大な敬え。これ扉じゃないよね、まさか。あ、扉じゃないよかった。これで全部行けってしんどいなと思って。あ、何?あ、何?最も何も何の王様に最も偉大なを敬まえってことは多分どれかを選べってことなんだろうな。どれかを選べってことなんだろう。
[01:15:50.800] え、どれ?画質が荒くてわかんねえよがもうこれ絵が荒くてさ、どれが偉大なのかわかんねえ。どれかなあ。最も偉大な王ってどれ?なんかヒントあったか?これ
[01:16:09.040] 初代とか?
[01:16:11.320] え、でもわかんね。でもしかもさ、絵もさ
[01:16:13.320] 、なんか一緒じゃない?これなんか
[01:16:14.679] 使い回してない
[01:16:18.080] だって。この剣持ったナイトみたいなやつ
[01:16:20.120] いるよね。こっちにもね。
[01:16:23.040] あ、いない。あ、いないな。でもこの変な
[01:16:26.280] さ、この剣持った王様みたい
[01:16:30.920] 。あな、ちょっと違うな、映画。え、調べ
[01:16:33.719] たら説明出るんじゃね。
[01:16:37.520] 英雄ロードジェイブわかんないわかんないわかんないあ
[01:16:45.880] あれってこと
[01:16:49.159] 違う違う外れ外れってことかこれは分かんのロードチェールのことを恨んでるって言ってたから多分これは外れなんじゃない
[01:17:08.239] こんばんは。
[01:17:09.600] お猫まこさんこんばんは。彼は王でないはず。え、
[01:17:15.560] 64のシャドウゲート64
[01:17:17.480] っていうゲームやってます。面白いか面白くないかは自分の目で確かめてください。
[01:17:27.520] こんばんは。
[01:17:28.719] なあなさん、こんばんは。やっと進んだよ。
[01:17:32.679] ドレスリンの肖像型。彼は王ではないはずだけど。え、え、何?どうすればいい?ひっそりちょこちょこ。あ、そうなんだ。変なゲームやなって。ま、
[01:17:46.000] 64
[01:17:46.440] だからな。しょうがないよね。ここは入れるんだねえ。どういうことなんだろ?これどういうこと?これ何されてる方?これ何待ちの時間なの?これ。
[01:18:03.080] ここに入れるのはなんか
[01:18:04.360] こちは分かります。1
[01:18:05.800] 回座って落ち着。あさん、こんばんは。笑。
[01:18:08.719] これちょっとどういうこと?これ
[01:18:10.360] もうすぐバレンタインなのにこんなゲームやってたらません。笑
[01:18:15.920] 本当にな。要はバレンタインだっていうのに俺はさ、シャドウゲート
[01:18:23.360] 64
[01:18:24.040] だよ。マジで全世界で今これ配信してんの俺だけだから。
[01:18:30.080] マジでな。これ何すればいいんだよ、これ。わかんねえよ。な
[01:18:36.080] んでバレンタインデーにこれなの?
[01:18:40.600] 本当にね。
[01:18:42.679] なんて得な人。笑。
[01:18:44.280] 本当だよな。え、マジで?何これ?どうすればいい?
[01:18:51.400] なってみている。29人。
[01:18:55.760] ああ。ええ。
[01:18:57.360] なんか、え、なんか隠し見つけた?これ
[01:19:02.280] 絶対これだ。これ
[01:19:04.760] なんか隠し見つけた?これ
[01:19:08.120] ナルト兄ちゃん
[01:19:11.719] 正しき紋章を作れ。え、
[01:19:16.800] 何?正しき紋章?配信苦通じゃないよ、
[01:19:20.679] 全然。
[01:19:27.080] の。え、何?ああ
[01:19:32.199] 、これか。え、紋章を完成させよ。
[01:19:38.679] 何この文字の出方?え、どういうこと?は何?何?何?何?何?何?何?これどういうこと?は
[01:19:54.159] パズル来ちゃ
[01:19:56.679] 全然。あ、ああ。あ、ああ。あ、え、あ、違うん。
[01:20:07.480] え、どういうこと?意味がわからん。
[01:20:12.400] 修学旅行のお土産みたい。
[01:20:16.440] あの金のドラゴンのあれね。金のドラゴンの剣何これ?どっかにこれヒントあった?わかんないんだけど。
[01:20:27.719] どっかにヒントあったか、これ。え、あ、ブ、すっげえちっちゃい声でブーって言われてるわ。すげえちっちゃい音で
[01:20:44.080] の旗とかどっかにあったんやない?
[01:20:46.480] ああ、そういうこと。
[01:20:47.560] 笑笑
[01:20:50.159] そういうこと。
[01:20:51.600] でもさ、これさ、なんかパターンでさ、なんとかなりそうじゃない?
[01:21:00.800] ローラー、
[01:21:02.000] ローラーで行けるんじゃない?ローラーで
[01:21:03.840] もしくは大家のものしか入れないって言われた最初。
[01:21:07.159] ああ、なんかこの確かにこえんなあったかも。いや、もうそこまで見に行くの無理よ。そこまで見に行くの無理だけど。え、なんだろうこれ。どっかにあったかこれ。
[01:21:24.960] あれかな?なんか
[01:21:27.480] なんかあれか。
[01:21:34.320] え、これさ、ぶっちゃけローラーでなんと
[01:21:35.960] かなるかな?ローラーでなんとかなる。
[01:21:40.400] ローラーでなんとかなるか。
[01:21:43.639] で、まずこの穴が1個のやつで、
[01:21:48.280] 穴が1個のやつで口からの口地ドラゴン
[01:21:53.560] 口明けドラゴン
[01:21:57.480] これがわかんないんだよね。これ何が違う
[01:21:59.600] の?あ、どっちが上になってるかってこと
[01:22:01.360] か。でもさ、普通にさ、右の首がさ、上に
[01:22:05.000] なってるってことは今度右は下になるはず
[01:22:06.719] じゃない?だってじゃないと絡まないもん
[01:22:08.360] ね。
[01:22:12.000] あ、ちっちゃい音。
[01:22:13.440] ブーブーってちっちゃい音でブー。え、何これ?これどっかにヒントあったんか?これさすがにこれわかんねえぞ。
[01:22:27.880] 13
