[00:00:07.919] ロブロクスチェアウトダウンっけえ
[00:29:57.880] 遠隔のボタンを作動させたり
[00:30:00.240] うん。1人でやりたい。
[00:30:01.080] 熱された地面を冷やすことができる。
[00:30:03.480] お、1人でやりたいな。俺ゲームは
[00:30:05.640] 高熱を放つビームキャノンは障害物を破壊したり
[00:30:10.640] 熱をドアを開けるなど
[00:30:13.640] 使い方は様々。
[00:30:16.600] ツールを組み合わせることで思いがけない解決方法が見つかることも。
[00:30:23.080] 探索中はいろんな生き物との出会いやちょっと寄り道して塚の間の生き抜きも
[00:30:34.320] ポリポリ
[00:30:35.120] ソフトが1本あれば
[00:30:37.000] ローカルでも
[00:30:38.440] オンラインでもプレイが可能
[00:30:40.360] へえ
[00:30:41.320] 果たして2
[00:30:41.919] 人は故郷を守ることができるのか
[00:30:50.039] ビタルズお、
[00:30:51.200] この配信お
[00:30:52.399] いいね。
[00:30:56.120] 2
[00:30:56.279] 人で宇宙の冒険をお楽しみに。続いてはヘッドラインをご覧ください。
[00:31:03.320] ちょっともでももうちょっと欲しいな。
[00:31:05.720] ボードを巡りメイクとかなんかさリメイクとかさ、
[00:31:10.519] ボード上の土地を開拓し、資産をカルドセプトの完全新作が登場。
[00:31:16.120] あ、カルドセプトね。これも昔からあるよね。
[00:31:19.000] ダイスを振り
[00:31:20.679] 止まったまで
[00:31:22.320] カードからクリーチャーを召喚すればそこはプレイヤーの両地。他のプレイヤーが止まれば通行量を得られる。
[00:31:32.519] 痛そじゃねえかよ。痛ストじゃねえか。
[00:31:34.720] 一方バトルを挑まれば両地は勝者のものに。暴巡り地を育て
[00:31:36.246] [音楽]
[00:31:43.639] イタスト返して
[00:31:44.639] 目標の資産にたどり着いたプレイヤーが勝利。
[00:31:46.071] [笑い]
[00:31:47.240] なんで今イタストって何もう新作出てないの?大好きだな、俺イタスト。
[00:31:51.360] 登場するカードは400種類以上。
[00:31:54.919] セブンFF7の
[00:31:57.320] 父親を探すのでカルドセプトはプレステ
[00:32:02.159] 2のプレイヤーと対戦できる。他
[00:32:05.067] [音楽]
[00:32:06.799] NintendoSチ2
[00:32:07.960] エディションは通信にも対応。
[00:32:11.240] すごいじゃない?おけ流行ってんな。
[00:32:13.279] 運戦略のカードゲーム。カルドセプトビギンズは
[00:32:17.399] 7月16日発売。
[00:32:22.919] アーケードアーカイブス2
[00:32:24.279] に新たなタイトルを追加。
[00:32:26.240] あ、
[00:32:28.679] 1レーサーなんだこれ。
[00:32:32.559] 1995
[00:32:33.519] 年にナム子が発表したレイブレーサーがアーカイブス
[00:32:37.639] 2にラインナップ。
[00:32:38.840] へえ。
[00:32:39.600] お分けか。
[00:32:40.519] 高速で展開される。
[00:32:42.519] 勝利を目指せ。
[00:32:44.519] 明かはな。
[00:32:46.000] そしてアーカイブスに年の家庭用ゲームを復刻する新シリーズ。
[00:32:51.000] 確かに
[00:32:52.000] コンソールアーカイブスが誕生。
[00:32:53.639] え、何それ?
[00:32:55.240] ええ、
[00:32:56.812] [笑い]
[00:32:57.039] ドラえもん。
[00:32:58.600] 嘘。うん。デダダダダインザライフなど
[00:33:06.637] [笑い]
[00:33:09.240] やったよ。様なタイトルを配信用。
[00:33:11.639] ええ、
[00:33:13.559] そしてコンソールアーカイブス第
[00:33:15.600] 1弾としてクールボーダーズと
[00:33:18.919] へえ
[00:33:21.080] 2暗黒。
[00:33:22.080] え、でもこれさ、任オンラインにあるよね。
[00:33:25.720] レクト終了後配信開始。
[00:33:27.720] 白ドラ夏ミこんばんは。やったよで。
[00:33:31.440] 堂イッチ2ピックアップタイトルその
[00:33:34.159] 2
[00:33:36.159] タイムトラベルナザーエレンビギンズが登場。妹をさわれた主人公アルドは過去や未来を巡りやがて時空を揺がす事件に巻き込まれていく。
[00:33:52.159] 歴史の変で失われた未来と妹を取り戻すため種族や時代が異なる仲間たちと
[00:34:00.000] あ、なるほど。
[00:34:00.399] 時間を超えたに移動。
[00:34:02.679] もうなんか俺もうクロノトリガーのリメイクが来んじゃねえかなっていう脳みそがあるからなんかもうモンスター
[00:34:10.839] もうクノトリガー要素が出るだけでビグっとしま
[00:34:14.103] [笑い]
[00:34:15.320] 仲間にできるモンスターおは伝承の義によって通常では得られない技を習得できる
[00:34:21.800] お
[00:34:22.960] 自分だけのおを育成して冒険に挑めちゃん曰モハストら
[00:34:32.240] モンスター生体系を取り戻そうとするライダーたちの前に
[00:34:37.599] 古龍が立ちかる
[00:34:40.040] らしいね。
[00:34:40.919] あざ遊べ継ぎ可能な体験版を
[00:34:46.079] このダイレクト終了後配信開始。さらに前作モンスターハンターストーリーズ
[00:34:52.560] 2破滅の翼が一斉トライアルに登場。
[00:34:57.680] 普通に順おもろいっすたも。
[00:35:00.760] 冒険家は4つの時代をかけ巡る
[00:35:03.640] F
[00:35:05.480] モンハンの魅力ねえよ。あったらクリア
[00:35:08.160] 主人エリオットは
[00:35:09.920] この世界をとするため
[00:35:12.960] 1000年に及ぶ4
[00:35:14.480] つの時代を駆け巡る冒険に挑む。
[00:35:16.329] [音楽]
[00:35:16.880] あれなんかまたあれっぽく
[00:35:18.760] HDだね
[00:35:19.680] の力を主だなんて思
[00:35:21.440] まずはエリオットが生きるの時代
[00:35:25.359] 力だけじゃなく気力まで失
[00:35:27.240] 人間たちが滅びかけた債権の時代
[00:35:28.774] [音楽]
[00:35:31.280] 魔法の研究は国の発展を反映を
[00:35:36.079] 魔法の時代
[00:35:37.520] 私の望みは人間との恐怖
[00:35:40.564] [笑い]
[00:35:41.280] 始まりの種族たちがリメイク
[00:35:43.760] の時代
[00:35:45.720] ドラゴンクエ
[00:35:47.800] 4
[00:35:47.920] つの時代を生きし、
[00:35:50.160] それぞれの時代に眠る強力な武器や魔法を入手。
[00:35:51.699] [音楽]
[00:35:55.200] あ、なんかこれさ、前回のさ、あれでも見たかもないが運命を変える鍵となる。
[00:36:01.800] これ何なんだっけ?これ
[00:36:03.440] 先行体験版のアンケートを元にはより快適になりました。
[00:36:04.144] [音楽]
[00:36:08.280] じゃなくてこれ何なんだっけ?
[00:36:09.800] 製品版を楽しみ。
[00:36:13.280] 冒険エリオットの専物語は
[00:36:15.920] これは買わないかな?
[00:36:17.040] 18日発売。
[00:36:22.800] もうすぐ発売。ソフトラインナップその
[00:36:25.480] 2
[00:36:27.119] イース感ある。[音楽]
[00:36:28.200] 好奇心は海を超越え時を超える。
[00:36:31.200] う、
[00:36:31.560] ドラゴンクエストリイマジン。
[00:36:33.839] 俺つやろうかな?おもろそう。
[00:36:36.079] の物語が1
[00:36:37.280] つのゲームとなって登場。龍雅がごとく極み
[00:36:40.400] 3。龍がごと3外伝。
[00:36:44.880] 友人を救うため兄弟で協力し恐怖の島を生き延びろ。リアニマル。
[00:36:51.839] ねえねえ。
[00:36:53.160] 怪しく羽化する美しき恐怖。
[00:36:55.640] 何?
[00:36:56.240] ゼロ赤い蝶メイク。ダークな絵本の世界を大冒険。
[00:37:03.880] 死神姫と書館の怪物
[00:37:08.680] 滅びゆく王国で感染に抗が
[00:37:11.480] 最後に多分あるナイト
[00:37:14.240] 2エディションはこのダイレクト終了後配
[00:37:18.520] 2エディションてあれが違うん
[00:37:21.720] 大名宮ザナドゥーへの挑戦が始まる
[00:37:24.440] えザナドゥって新作出るんだ
[00:37:26.640] うんかったよ首が京都となった日本の世と折り重なるようにして存
[00:37:34.319] が現実世界をし始めていた
[00:37:39.480] で戦う力に目覚めたそんな
[00:37:42.880] 能力者たちがう坂学園へと天入する
[00:37:46.520] 白坂学園
[00:37:48.040] 学園の目的はの大元と噂される大名宮ザラドゥーの攻略
[00:37:54.839] ザドゥってゲームあるよね。
[00:37:56.520] では自らの能力を高めっぽい
[00:37:59.480] 地形を変化させながら探索エリアを広げていく。
[00:38:02.720] アクションなペルソナ
[00:38:05.119] その先に待ち受ける強敵との戦いは
[00:38:07.760] 3D
[00:38:08.240] アクションで展開。カウンター攻撃など持てる力を生かし挑む。学園生活ではステータスの強化や仲間との交流などザナ攻略の準備を行う。
[00:38:11.216] [音楽]
[00:38:26.400] 首都京都にと人間との戦いが始まる。
[00:38:34.440] 京都ザナドゥ王部は
[00:38:37.040] 本当にそういう名前な。
[00:38:38.560] 京都ザナ
[00:38:39.880] 興味持ってもろて。[笑い]
[00:38:44.280] 別なソフトワークシゲームとは全くあれだね。
[00:39:05.079] 仕事本語喋ってくれ。
[00:39:06.891] [笑い]
[00:39:11.040] 仕事できそうだな。
[00:39:12.079] は1937
[00:39:14.000] 年。この世の秩序を変えることができる古代の力を狙う邪悪な。
[00:39:22.599] 阻止できるものはただ
[00:39:24.520] 1人。
[00:39:25.440] 見てろ。
[00:39:26.960] 高校学者。
[00:39:29.280] インディジョーンズか。おもろいな、これは。
[00:39:31.720] 俺なんだかんだインディジョーンズ結構配信でやってるからね。
[00:39:34.760] 危険に満ちた世界を探索し、
[00:39:37.319] 謎と試練を乗り越えろ。
[00:39:39.079] これベセスだなんや。
[00:39:41.599] 果たしてインディージョーンズに待ち受けるものと。
[00:39:44.760] あれ?俺がやってあれ?俺何だっけ?インディーンズじゃなくて俺がやったやつなんか似たようなやつ。
[00:39:50.359] 戦争後のいやを戦いが
[00:39:53.599] フールアウトはごめんなさい。
[00:39:54.800] あんちゃ。
[00:39:55.760] アンチか。ごめん。勘違いした。
[00:39:57.400] アンチ。
[00:39:58.119] うん。でもアンチもおもろかったよ。
[00:39:59.480] を広げていく。
[00:40:00.400] なんかでもインディ上手おもろそうだね。
[00:40:02.040] 様々な出会いの中で誰と行動を共にするのか。勢力争いに巻き込まれながら自らの選択で未来を切り開く。
[00:40:12.000] ああ、もうこのガキ見たくない。
[00:40:18.160] エルダースクロールズオブリビオンリマスター版が登場。
[00:40:18.942] [音楽]
[00:40:22.079] ああ、オブリビオンね。
[00:40:24.040] この広大なフィールドには
[00:40:25.880] ちょっとやったわ。プレステ3
[00:40:27.240] 買った頃にし
[00:40:28.720] 獲物を待つモンスターなどこの世界の時間が流れている。
[00:40:34.680] ここで何をするのかは自由。
[00:40:37.119] えぐい。
[00:40:38.079] この世界を救う英雄となるもよし。
[00:40:41.160] 1
[00:40:41.280] 人の住人として暮らすもよし。
[00:40:44.280] ひたすら強い敵を追い求めるもよし。さあ、この世界をどのように生き抜きますか?
[00:40:55.640] 容量えぐいんちゃう?これ。
[00:40:58.160] NENDsイッチ2
[00:40:59.319] にやってくるベスダソフトワークスのタイトルをお楽しみに。次が最後のタイト。
[00:41:06.880] え、早いって。え、なんかまだあんま、ええ、なんかあんまだよ。
[00:41:14.160] 新たな死体が出た。君の目で。
[00:41:17.079] もうバイオハザードやん。もう知ってるよ、これ。アメリカ各地で発生する連続編集。
[00:41:23.680] これ映像出てるやん。ずっと。
[00:41:26.200] FBI
[00:41:26.760] 分析官のグレースは操作中事件の容疑者に拘速されてしま
[00:41:31.880] す。可愛いけど。
[00:41:33.400] あ、私は何をされたの?あ、
[00:41:45.520] 脱出を試みる彼女に襲いかかるのはこいの?
[00:41:52.839] 所持品は限られた回復で心配されまくってるレ
[00:41:58.040] 怖い家族の
[00:41:59.720] 怖いはじゃないの
[00:42:02.880] それとも弾薬を温存しに備えるのか。
[00:42:07.160] ほ知らんな。
[00:42:07.839] 死と隣合わせの極限だからね。
[00:42:10.680] を待ち受ける。
[00:42:14.000] 6
[00:42:14.240] 人目だ。
[00:42:16.240] 一方同じ変事件を追う対バイオテロ組織のエージェント
[00:42:20.760] リオンじゃん。リオン
[00:42:22.359] ラクシティの生存者が
[00:42:24.119] 6人も同じ症状と死んだ。
[00:42:25.920] 負けるぜ。
[00:42:28.000] 高い身体に
[00:42:28.880] ハニガンは出てくんのかよ、今日。
[00:42:30.400] 今回はハニガンはよく弾き。
[00:42:33.520] それによっては神ゲを崩すや。
[00:42:38.359] 銃やライフルによる遠距離攻撃。
[00:42:41.040] 下手やったな。今
[00:42:43.044] [笑い]
[00:42:43.520] 相手の武器など
[00:42:46.040] 様々な攻撃手段でクリーチャーに立ちくエすぎだろ。そ
[00:42:50.839] 笑。
[00:42:51.520] 本作では[笑い]
[00:42:52.480] 2つのカメラ視点が選択可能。
[00:42:54.440] 下手やったね。
[00:42:55.359] ゲーム中つでも切り替えることができる。
[00:42:58.800] うん。
[00:42:59.160] 何人もいるんだよ。いっぱいいるんだよ。バイオって複数から選択でき
[00:43:03.559] あ、なるほどね。銃
[00:43:04.400] の準をアシストしてくれる。
[00:43:06.040] あ、そういうこと。あ、確だから撃ってないのかも。とかが出ないように。
[00:43:10.200] そういうこと。
[00:43:11.440] 窮地から脱出を試みるグレース。
[00:43:15.240] かもね。
[00:43:16.119] 自らの力で道を切り開くレオン。
[00:43:19.599] 2人の運命が工作したどり着く真実とは。
[00:43:25.400] バイオハザードレクイエムは
[00:43:27.400] 2月27日発売。
[00:43:29.319] レクイエムの9が9
[00:43:30.880] になってバイオハザード
[00:43:32.400] レジントイビルとバイオハザードビレッジが同日に発売。
[00:43:34.135] [笑い]
[00:43:37.760] これら2タイトルとバイオハザードレクイ
[00:43:40.280] M
[00:43:40.400] のどちらを先にプレイしてもお楽しみいただけます。
[00:43:45.040] さらにオリジナルデザインの
[00:43:47.200] NendoSッ2
[00:43:48.440] プロコントローラーも同日に発売。
[00:43:51.839] この夏にはグレースと
[00:43:54.079] レオンのアミーボの登場予定。
[00:43:56.079] もう終わりやん。
[00:43:57.040] ゲーム中に読み確な武器スキンが入手でき、
[00:44:00.559] もうちょっとなんか来るかと思ったな。
[00:44:04.520] アンコール
[00:44:05.040] シリーズ最新作バイオハザードレクイエムは間もなく発売です。
[00:44:09.359] もうちょっとなんかあのスイッチ
[00:44:11.440] 2だな。
[00:44:12.359] ゲームチャット。
[00:44:12.920] その開発チームが本作の魅力を語るクリエイターズボイスを近日公開しますので、こちらも是非ご覧ください。今回の
[00:44:23.280] NEND
[00:44:23.640] 堂メーカーラインナップは以上になります。
[00:44:27.559] ま、ソフトメーカーラインナップだ。
[00:44:29.319] ありがとうございました。
[00:44:31.400] ま、ソフトメーカーラインナップちゅうことやね。私はあの本配信楽しみにしてますから。
[00:44:39.640] 五衛門のコレクションはちょっと魅力的だな。
[00:44:44.520] 終わりかい。今回はご衛門だけ暑かった。そのまま新作出してくれよな。こあるんだ
[00:44:52.319] ね。いや、わかんない。いや、でもあるでしょ。これだってソフトルメーカーラインナップだから、あの、任天堂の主力ソフトは出してないじゃん。任天堂のソフトは出てないんだよ。あ、だからもうちょっとしたら任天堂のさ、本配信あると思う。
[00:45:05.599] しか熱くなれなかった。
[00:45:07.280] パワープロか。まあまあまあまあまあまあまあま終わっちゃった。来る。
[00:45:15.200] 終わっちゃった。え、この後ねえよ。もう寝るよ。はい。
[00:45:20.079] 発表だけだった。
[00:45:21.319] はい、終わりです。
[00:45:22.119] なんで誰も忍者流電の話をしない。
[00:45:24.839] 忍者流剣殿はだって俺もやったもん。ワツ全部。うわ、ごめん。映ってねえや。ごめん。映ってねえ。
[00:45:33.079] お疲れ様。
[00:45:35.400] お疲れちゃん。
[00:45:36.319] どうでしたか皆さん?どうでした?うーん。まあまあまあまあまあまあまあ
[00:45:43.640] まあまあまあ五衛門あれ通信できんのかな?
[00:45:46.079] ね。
[00:45:46.920] まあまあまあでもな
[00:45:48.359] 五衛えもんやな。
[00:45:49.640] 五衛えもんやな。でまだあれダウンロード版しか発表されてないじゃん。物理版で出ねえからな。物理版で結構コなミはね最近その昔の
[00:46:00.520] にあるのな。
[00:46:01.920] 昔のさ、あのコナミのゲームはあのドラキュラとかもそうだけどドラキュラと
[00:46:09.480] 1980年代中頃に子供たちの間で巻き
[00:46:12.880] はいお4スター流れちゃった。[笑い]4
[00:46:15.160] スが流れちゃった。ごめん。4
[00:46:16.559] スが消しこう。あの結構コレクションソフト出してんだよね、最近ね。あのドラキュラコレクションとかあとあのグラディウスコレクションとか出してるから多分それの流れなんだろう。
[00:46:28.280] IP掘てくれるの嬉しい。
[00:46:30.200] コントラのさ、コントラのコレクション
[00:46:33.800] 出したりとかさ、ま、でもそれなんか
[00:46:35.480] ダウンロード版なんだよな。物理版が
[00:46:38.400] 欲しいんだよ。でも、ちょ、1年ぐらい
[00:46:40.520] 経つと物理版出すんだよね。だから最初は
[00:46:42.319] 買わないかも。俺物理版出したら物理版で
[00:46:45.359] 買うかも。なんかね、ボックスで出すんだ
[00:46:47.079] よ、毎回。そこにあるんだけどさ、
[00:46:49.720] ボックスでどうせまた出すからサントラ
[00:46:52.160] 付きとかがそういうの買いたいから。ま、
[00:46:54.920] そんくらいかな。そんくらいですかね。
[00:46:58.280] いかがでしたですか?がでしたぐらいでね。
[00:47:01.240] そう、そう、そう。がでしたでしょうか?今回の任天堂
[00:47:05.640] ダイレクトはまあまあまあまあまあちょっとまあちょっと年少不足
[00:47:07.012] [笑い]
[00:47:12.880] ドラクエ来るかと思ったのに。
[00:47:15.000] まあ、まだワンツ出したばっかだからね。そ
[00:47:17.520] うそう。
[00:47:18.520] あれだよね。ドラゴン
[00:47:19.559] 白ドラが嬉しい。
[00:47:20.960] 白ドラ。まさかのな。まさかの白ドラだる。出るんだな。
[00:47:22.732] [笑い]
[00:47:26.520] やっぱあいうのって多分任天堂ンラインじゃ配信できないんだよね。あいうキャラモンはね、そういうので配信するんだろうな。まあまあまあまあまあまあでもまあでも今回のはなんかこれ配信でやりたいってのは
[00:47:43.160] みんなで見れてよかったですね。そうですね。みんなで見れてよかったということでもう寝ていい?もう寝ようか。もう
[00:47:48.277] [笑い]
[00:47:50.160] 12時半だよ。もう夜中の12
[00:47:52.200] 時半ね。ま、おもれったわ。
[00:47:56.400] いやあ、なんかでも今年はね、皆さん今年はクエが土地で出ていでも絶対出ると思う。今年は
[00:48:05.440] はまだまだこれからだよ。
[00:48:06.839] 今年はね、ドラゴンクエスト
[00:48:08.880] 40周年、えー、ゼルダの伝説
[00:48:12.240] 40周年、メトロイド40
[00:48:14.200] 周年、悪魔城ドラキュラ40
[00:48:16.079] 周年、えー、もうほ、やばいんすよ。ポケモン
[00:48:20.000] 30周年。いや、もうだから多分ね、
[00:48:24.119] 年前何があったんや?
[00:48:25.880] あのね、あのね、1986年、
[00:48:29.480] 1986
[00:48:30.520] 年っていうのはマジでやばいのよ。
[00:48:33.520] 1986年は配信やるべ。
[00:48:36.000] プラマ配信やりたい。プラム配信やりたい。やりたいんだけどさ、あの、高くて買えない。お金がないから高くて買えないんですよ。
[00:48:44.608] [笑い]
[00:48:46.119] あのね、10、1986年初のゲームが
[00:48:50.319] たくさんもうレジェンドゲームが出すぎ
[00:48:53.760] てるから今年やばいんですよ。だから今回
[00:48:56.920] のさっきのあのソフトメーカー
[00:48:59.640] ラインナップはね、多分ね、隠してるね。
[00:49:02.319] 隠してると思うわ。なんかそのもっと動い
[00:49:05.079] てるぜ。多分み、絶対どんなゲームもだ
[00:49:07.680] から多分もっと発表されると思うんだよな
[00:49:10.799] 。
[00:49:12.160] 今回な、ちょっとす、ちょっとあれしてきてるんだよ。ちょっとあの
[00:49:16.359] 嵐の前のしさ、
[00:49:17.799] そういうことなんすよ。だからまあまあまあそこを期待して今回は今回僕は眠りに着こうかなと思いますけどもね。思いますけども。はい。てことでもう寝ますわ。まあもうちょっとなんかあるかと思ったけどな。
[00:49:34.599] はや
[00:49:35.960] だってもう12
[00:49:36.760] 時半やもん。もう今日特別やねんで。こんな配信忍代だからですよ。
[00:49:41.760] こんなに時間から配信してんの?
[00:49:43.640] そう、
[00:49:44.280] これからやばい。で、今年マジで今年これからやばしやばしだから。ま、ついことで
[00:49:47.489] [音楽]
[00:49:49.839] ップできるとこなかった。
[00:49:51.419] [笑い]
[00:49:52.079] いいよ、別に。ごめん。俺ももうちょっとってやれるかなと思ったんだけど、なんかき生きんなかったわ。なんか生きんなかった。うん。なんで、ま、ちょっとすいませんで。まだまた次回の配信はシャドウゲートということの続きになりますけどもね。皆さんお付き合いだけますように。
[00:50:10.720] ま、ちょっと次、今もうごめ、日曜かもしんね。次は日曜かな。次は日曜。ちょっと土曜日予定やるし。日曜かもできる。うん。多分日曜です。はい。こんな感じで
[00:50:21.799] 前回寝落ちしちゃったんだけど進捗。
[00:50:24.599] ああ、前回の進捗。前回のシャドウゲートの進捗は
[00:50:29.400] 2時間やって、あの、ドア1枚、ドア
[00:50:32.029] [笑い]
[00:50:32.960] 1
[00:50:33.160] 枚しか開けられませんでした。あ、ほぼ見る価値ないわ。
[00:50:37.924] [笑い]
[00:50:38.559] 2時間やってドア1
[00:50:39.960] 枚だけ進んだ。地獄やったぜ。
[00:50:42.400] 大きな一歩。
[00:50:43.599] 大きまあね、大きな一歩。人類にとっては大きな一歩だよね。そんな感じで。ま、そんなペースでやってるんでまだかかりそうですな、あれ。ま、つうことで、えー、今日は配信し終わりにしますわね。
[00:50:57.319] 最後の30分だけ見ればよい。[音楽]
[00:50:59.440] 最後の30
[00:50:59.920] 分だけ見ればいい。うん。そう。それまでの
[00:51:01.760] 1
[00:51:01.920] 時間半何もないから文句言ってるだけ俺が。
[00:51:06.160] じゃあ今日は摩擦に強してるからお猫にレしよう。おい、見てくれよ。あのさっき言った感じになってるからめっちゃ似てるやん。めっちゃ似てるで。さっき言った感じのあのさっき言ったあの変ななんかのなんかの
[00:51:13.295] [笑い]
[00:51:27.480] クソパークソパーマ。うん。[笑い]
[00:51:32.160] マジでさ、さっきのなんかのゲームの
[00:51:34.040] キャラクターにクソ似てるからさ。
[00:51:39.200] もう女抱きまくってんだろうな、
[00:51:43.599] こいつ。女抱きまくってんだろうな、もう
[00:51:45.240] 。ということで、はい、じゃあお猫に冷凍
[00:51:49.520] します。はい、さよなら。また明日。また
[00:51:51.359] 明日じゃねえや。はい。ネタミレートし
[00:51:53.319] ます。ほんちゃまたね。おやすみ。お前ら
[00:51:54.880] も早く寝ろよ。じゃなく
[00:51:58.319] てやんやねん。の今日のから今日のその
[00:52:01.440] みんな使ってる
