[00:00:33.760] 待ってたんだよ。黄色やな。
[00:38:21.000] 貧乏だからうち俺と俺とニちみたいな貧乏貧乏人の家は知らないけどの実家貧乏かどうか知らないけどあの白見捨てるなんてぶん殴られるからね。ぶん殴られるよ。うちのばあちゃんみかの川食ってたからな。うちのばあちゃんみか皮ごと食うからな。
[00:38:47.000] 笑笑。
[00:38:47.520] 苦くて美味しいんだよって。
[00:38:52.319] ツ物
[00:38:53.079] なめんなよ。なめんなだよ。これこそ。これこそなめんなだよ。みかん買うごと食ってたで。
[00:39:04.880] 茶窓舐めてて。
[00:39:06.160] うん。うちのじいちゃん。
[00:39:07.599] うちうちのじいちゃんあのブどでご飯食ってたべ。貧乏なんだか金持ちなんだかわかんね。全然クソ貧乏だけど。
[00:39:22.079] もちろん無ドは買うごとね。
[00:39:24.240] 美味しそうですね。のばあちゃんみかの皮き出してた。
[00:39:29.680] 1
[00:39:29.880] 回口に入れるんだ。大人になって白見捨てるようになっちまったよな。大人になって白見捨てるようになっちまったよ。変わっちまったよ、俺も。
[00:39:46.480] 俺なんかもう白みも捨てるどころかあのなんて言うんだっけ?あの白いのちょろちょろってやつ。白いちょろちょろって
[00:39:55.000] 2
[00:39:55.119] 個ついてるやん君に。あれも取るもんな。
[00:39:58.119] ちゃまさん今日は晩御飯何食べました?
[00:40:02.000] 今日はえ、今日はね、あれあ、体。そう、体。体も取るよ。あれ気持ち悪いもんな。あれ気持ち悪いもんな。
[00:40:15.359] 今日の夜ご飯あれ丸タイラーメンですな。
[00:40:18.400] 丸タマジいらねえよな。丸ラーメンマジ神だから。
[00:40:24.920] はい。
[00:40:25.680] マルタイラーメンにネギと乾燥若めぶち込んで
[00:40:31.680] 某。
[00:40:32.920] そうそうそう。あれね、ダイエット中最高やで。ダイエット中最高やで。
[00:40:39.000] の食材マジでスープまで飲んでも
[00:40:41.720] 250kCしかねえからな。どうなってん
[00:40:44.359] だよ。ラーメンだぞ。
[00:40:49.079] あれええよ。あれええよ。ま、こんな太っ
[00:40:51.880] た俺が言っても何の何のあれにもなって
[00:40:54.839] ないと思うけど。でもあれを食って俺は
[00:40:57.079] 半年で11km痩せてるからな。まだまだ
[00:40:59.720] 太いけど。
[00:41:02.560] まだまだ太
[00:41:04.040] おいお疲れ。
[00:41:05.359] 分を回収。ミラエネルギー保朝
[00:41:09.599] 3
[00:41:10.119] 食っちゃってるから夜ご飯あんまり派手に行けねんだよ。
[00:41:12.920] がるばかりです。ダイエットの話やめてね。
[00:41:17.240] 朝3
[00:41:18.079] 食っちまってっからよ。夜派手に行けなかったんだよ。だって丸タイラーメン
[00:41:26.599] 2杯食っても3味と同じぐらいだからね。
[00:41:35.240] あと乾燥若めぶち込んでね、大量に乾燥若めっちゃ食うともうんちがめっちゃ出るで。
[00:41:44.319] このラーメンかな?
[00:41:46.800] うんちがめっちゃ出てえド。あれは腸内環境もグー。うわあ。あ、おい、やっぱ風の精霊ちょっとエッチじゃん。あ、うんちするから
[00:42:00.720] ぶリブリやで。
[00:42:02.200] まあ、マシュマロだけどね。ほゆゆゆっつって
[00:42:04.319] 女パターンか。
[00:42:06.040] いいね。
[00:42:07.880] ほゆゆゆ
[00:42:08.720] ホゆゆっつゆ
[00:42:10.240] マシま、マシュマロゆゆゆっつってチョコマシュマロなわあわあ。うん。なんだかまだちょっとちょの音保ゆめっちゃ嫌だ。
[00:42:19.760] ちょっちっち眠いかも。愚士権じゃん。
[00:42:23.640] 風の精霊。
[00:42:25.160] おいおいおい。風の精霊エッチで燃え。
[00:42:28.920] あの、
[00:42:30.200] 平成を感じる。
[00:42:32.760] 確かに平成平成
[00:42:34.720] 不験
[00:42:36.200] 平成のデザインだな。
[00:42:37.839] おじさんの作ったギャウって感じで
[00:42:40.559] ふう
[00:42:40.960] ね。
[00:42:44.160] 最近なんかTwitter
[00:42:45.160] にやけにエロい絵が流れてくんだよな。あのなんな、なんかわかんない。俺よく詳しくわかんないんだけどなんかあのなんだっけ?あの教科の女の子のエッチ内めっちゃ流れてこない?割と好きなんだけどあれ。
[00:42:58.240] あ、出るわ。
[00:42:59.800] 割と
[00:43:00.160] エロい絵を見ているからだよ。そんなんばっそば。あ、そんなんばっやろ。え、
[00:43:05.079] Twitter
[00:43:05.640] でエッチな絵が流れてきて見ない男はいません。
[00:43:09.640] いません。別にエロい気分じゃなくても見るね。しか流れてこない。
[00:43:15.160] パンチ君って誰?パンチ君って何?風の精霊様。今この地のに生きる人々の小ざる。
[00:43:24.359] ナイトレインの物騒な話ばかり。
[00:43:27.680] 僕はエロケミやんのに出てくる。ポケモンのとかマとぶっちゃってさ。
[00:43:33.520] カマトとぶっちゃってさ。
[00:43:35.880] 笑笑
[00:43:37.280] いやなんか超シリアスな感じ。これで断ったりなんかしたら私っていえばひょっとしてはあるもの。
[00:43:44.720] ギャウ
[00:43:45.680] ギャウだね。聞き入れてはいただけないのでしょうか?別にそんなこと言ってないし。そうね。じゃあ
[00:43:55.000] 1つだけ条件があるわ。
[00:43:56.280] これを引き受けてくれたら力を貸してくれてもいいんだけど、じゃあね、いい男を
[00:44:01.880] 5
[00:44:02.040] 年分、おい、おい、おい。この見た目で、この見た目でクソビッチと来た。
[00:44:07.440] これは、これはあれですよ。ある一定の層には、
[00:44:11.520] え、5
[00:44:12.119] 年分ってどういう単位なん?
[00:44:13.640] おですな。
[00:44:15.240] 5
[00:44:15.440] 年、あの、いい男
[00:44:17.599] 5
[00:44:17.800] 年分ってどういうた、どういうあれなん?よくあるやん。なんか
[00:44:21.319] するダンスを毎日見るんだよ。
[00:44:23.280] よくさ、商品はまるまる
[00:44:25.599] 1
[00:44:25.800] 年分ですって言うけどさ、誰の尺度で言ってるんですか?ていう。
[00:44:30.559] あ、1日1人なんだ。
[00:44:34.079] グッドルッキング。何人分は
[00:44:37.599] 1
[00:44:37.720] 人でもいいよね。グッド可能しまい。可能姉妹もいます。グッドルッキング。場合によっては
[00:44:46.079] 1人もいいよな。カレも誰もんだよ。
[00:44:50.280] 5年間絞り取れる男性。
[00:44:52.280] いいですね。いいね。価値観が価値観がいいですね。その
[00:44:59.520] 8
[00:44:59.760] 皿よくあるよな。ルールーね。あのバーモンとカレーのルー
[00:45:03.520] 8
[00:45:03.760] 皿分って言うけどや皿ってそれ誰の尺度で言う?俺の
[00:45:07.960] 8
[00:45:08.160] 皿も当てはまんのかと言いたいですよね。
[00:45:10.760] MD
[00:45:11.119] さんこんばんは。のんびルさんもこんばんは。
[00:45:13.359] 5
[00:45:13.559] 年間絞り取られるいいですな。って言ったのよ。
[00:45:17.119] それが無理なら残念だけど力を勝なりだよ。
[00:45:22.040] そうそうそうよな。だってまずお代わりしちゃうしカレーなんかえ、炎の精霊からみんな起こせって言われてきたってた。
[00:45:35.040] 普通の1
[00:45:35.640] 人前にも一を通じちゃ。本当だよな。いや、今このようにあり
[00:45:40.040] 焼肉の1人前とか舐めてるよな。
[00:45:42.400] あのさ、焼肉ランチ、焼肉食べ放題じゃないさ、焼肉ランチなんてもう不安で頼めなくない?不安で頼めなくない?焼肉ランチ。
[00:45:54.920] こんなに食べないの?
[00:45:56.119] 焼肉ランチなんてだってお前
[00:45:58.119] て不安にしてカルビ
[00:46:00.119] 4枚とかでさ。いや、ランチ
[00:46:03.960] いや、それもう不安で不安で頼めないよな。
[00:46:07.160] なんかもうあれで
[00:46:09.400] 1500円とかランチ焼肉ランチ
[00:46:12.000] 1500円から
[00:46:13.040] めよ。焼肉ランチご飯お代わり自由安心。
[00:46:17.160] いや、肉が少なすぎるてやれやれ。分かったわよ。それじゃあ私の力はあんたらに貸すってことでこれで今のうちにあんたらにこれを渡しておくわ。おですか?おですか?オパンティですか?
[00:46:30.079] オパンティですか?
[00:46:33.200] 違った。風のアミュレットです。
[00:46:35.040] ご飯食べるしかない。最もでご飯食うか高くて
[00:46:41.880] いやだ。最近さ、最近だってしゃぶしゃぶ行くやん。しゃぶしゃぶ行ってすき焼き行くじゃん。卵
[00:46:50.839] 1個1個お代わり50
[00:46:53.359] 円とか行かね。卵も卵
[00:46:58.800] 50。
[00:46:59.359] ええなめてる。ビブレジュムプ。ビブレジムプ。
[00:47:03.240] もう自賛しとろかなと思うもんな。卵自賛してこうかなと思うよね。
[00:47:07.920] え、
[00:47:09.599] いや、ほん当ほん当そうよ。しかね卵うちのおかしました。笑笑
[00:47:16.880] さすがにさすがに感じでお母さんちげえな。やっぱな。白そら見捨てたら怒るわ。
[00:47:23.079] 発想。笑笑
[00:47:27.280] やっぱりそうよね。いや、そうよ。持ち持ち。
[00:47:30.760] いや、俺、俺は持ち込もうかなって言っただけで本当に持ち込んでないから。中のおかおもろいな。中のおか持ち込んだんだ。本当に
[00:47:40.040] から卵出てきたらやばいな。
[00:47:42.240] そのまんまね。そのままね。何にもあの包まれてない状態でこれで私はいつでもあなたのそばになんちて。それで私はとりあえず始まりのシに行ってればいいのね。
[00:47:54.520] 心から取りだりしてスタックの目をしんで割り入れるのおもろすぎる。
[00:48:04.520] うん。
[00:48:05.640] なんか竜巻きみたいな人だったね。やっぱ風の精霊はさ、やっぱ女じゃなきゃだめよな。あの
[00:48:13.960] FF4よろしく。FF4のあの
[00:48:16.440] あのから用の袋も持ってって泣きそうに。
[00:48:22.359] いやでもしっかりしてるやん。ちゃんと持ちえやん。バルバリシアみたいなな。
[00:48:26.800] えいやん。
[00:48:27.280] ちゃんと店に置いてこないで持ち帰ってんだから。
[00:48:29.359] え
[00:48:30.599] な。わかんなんとなくわかんないけど。いや、俺これ聞いてないし。簡単完全に想像なんだけど。お前、あの、あの、その袋多分あのロンのあの薄い、薄いさ、あの、あの野菜、野菜売り場とかにあるあの薄い袋ちゃうん。
[00:48:47.599] ビニールのな、
[00:48:48.599] ビニールの。あ、あれ持ってって。そうじゃない?あの薄い袋。
[00:48:52.640] あのじゃがいもとか入れるナロンのあの袋じゃないの?
[00:48:59.079] シャカシャカのシャな普通にレジ袋そのも上に置いて栄養になるとなんでそこは違う?
[00:49:07.559] 笑笑
[00:49:10.079] 80点だよった母ちゃん
[00:49:13.440] 80
[00:49:13.799] 点。そのからも八上に置いて栄養になるとか言ってそう。
[00:49:21.599] うーん。うん。
[00:49:23.000] 大地の精霊な。次は第一地の精霊。いいよ。幸先いいよ。幸先いいよ。今日サクサク行ってるよ。自然に優しい女じゃん
[00:49:32.359] なあ。ディファー族の塔誤解にある謎。あはいはいはい。ここな。ここで戻りますよと。はい。
[00:49:45.760] 今日もう1匹精霊目指す目覚めさせられる
[00:49:48.440] かな?今日もう1匹精霊目覚めさせられる
[00:49:51.440] かな?
[00:49:57.040] 卵お代わり1個50円は高いよね。
[00:50:00.160] もしもそれいつから貯めてたんだ?今も
[00:50:04.079] こ疲れ。
[00:50:05.599] いつから貯めてた?怖。
[00:50:08.319] 笑笑。
[00:50:08.760] それつから貯めてたの?それ
[00:50:11.920] 1週間ぐらい貯めてない?
[00:50:16.000] 配信始まった時からか。
[00:50:18.040] 前回の配信でコメントしなかったのってもしかして貯めてた?
[00:50:22.880] もしかして貯めてた?昨日の配信ロムってたのってマジかよ。全盛紀やん。もう全盛紀レトルトやん。
[00:50:34.119] 貯めてたんだ。ばっちり頑張れていっちゃう。今週でクリアすんねん。これ
[00:50:41.559] ありがとう。な
[00:50:43.760] げえの
[00:50:46.079] くらえ。
[00:50:47.839] いつになったらこれさ、スライムエンペラーなんてさ、スライムエンペラーなんてあれじゃないの?
[00:50:56.559] 経験値5万ぐらい、5
[00:50:58.880] 万ぐらいもらえないとこれ割に合わないんだけど。
[00:51:00.880] スライムエンペラーの造形す
[00:51:03.160] ま、分かるけど。あれ、スライムエンペラーさ、本当あれだよな。
[00:51:08.440] めっちゃきれ
[00:51:09.880] さあ、
[00:51:11.000] 経験値もらえなきゃ割に合わないんじゃない?
[00:51:14.559] 感いいね。
[00:51:16.359] そんなもらえねえんだよな。だけメタルドラゴとか出てきたけどさ、全然もらえなかったわ。ん、違う。リファちゃう。なんで俺ここまで来てん?ちゃうちゃうちゃうちゃうちゃうちゃうちゃうちゃう。
[00:51:29.359] リファ族のあるよ。キラキラのスライムエンペ。
[00:51:32.079] へえ。スライム
[00:51:33.119] 不ケーキだからね。ケーキ悲しいなあ。不ケーキだからもらえてないんだ。これやっぱケーキないと見
[00:51:41.680] てほしい。
[00:51:43.280] 何見して貸して触らしてほしい。え、スライムなんだっけ?メタリックドラゴンクエストメタリックモンスターズメタリックモンスターズギャラリー。
[00:51:53.880] それもうドラクエは殺急球にスアクリルみたいなので光入れるとキラキラする。
[00:52:04.240] へえ、めっちゃいいじゃん。それくれくれくれ。ドラクエもフィギュアを出してほしいわ。
[00:52:15.640] どうしてすぐくれとか言うの?タンブラーと交換。
[00:52:18.640] あ、俺のタンブラーと交換してあげようか。
[00:52:21.319] 種キーホルダーとはLH
[00:52:22.960] ゲのクオリティなんやろな。
[00:52:24.599] ひどい。
[00:52:25.200] 笑笑。
[00:52:26.119] 種キーホルダーと交換しねえから。種キーホルダーと
[00:52:29.680] あら。
[00:52:33.160] えー、どこに行くんだ?
[00:52:36.200] 1個800円。
[00:52:37.400] ゴミと交換しないだろ。山。
[00:52:40.200] おい、ゴミとか言うなよ。ゴミとか言うなよ。
[00:52:44.200] 1600
[00:52:44.680] 円かかってんだぞ。ム君そもそもえ、フィギュアめっちゃめっちゃ飾ってあるやん。
[00:52:49.799] 今めっちゃってことでもないけど置く場所ないねんだ。まさかお主魔物ではないだろうな。よくその顔見せてみろ。
[00:52:56.839] 円のゴミ。
[00:53:00.240] これはもしや砂漠の救世主様でもありません。救いの主様でありませんか?はいはいはいはいはいはい。俺の顔覚えてるよな。お前ら前に助けたよな。歌詞を返してもらいに来たぜ。返してもらいに来た。
[00:53:20.160] 悪人じゃん。
[00:53:23.400] 悪人じゃないだろ。権利があるだろ。えー、ちょ、装備とか久しぶりに覗いてみるか。
[00:53:33.119] お仕掛け勇者。
[00:53:36.040] お仕掛けに応房みたいな弱。
[00:53:46.559] 大地の精霊に関する大いなる女王の魂よ。我ら王女ネフティスたと我らをお守りください。
[00:53:54.720] はい。
[00:53:55.760] 女王様がいらっしゃるのです。おっしゃるのです。神祈るよりは我らが先祖に祈れと。だからこうして陰の王城にフェデル様に祈りを捧げております。ネフティスってなんか聞くとなんか遊戯を思い出すな。ネフティスのなんちゃらってあったよね。
[00:54:13.599] あ、た。
[00:54:17.920] え
[00:54:18.559] え、これは救世様よくぞお戻りになられました。女王様は
[00:54:24.799] 机主はずっともうずっとお待ちでした。なんちゃらネフティスの王心当たった当たった当たった当たった。
[00:54:37.559] 笑笑
[00:54:39.280] 女王様は救い主様と直にお話しされたいとおっしゃっておいでです。
[00:54:42.839] ただいま人払人払いをいたし人払いおまりの皆様
[00:54:52.559] 失礼
[00:54:53.720] 申し訳ございませんが本日女王様ご気分が優れない様子
[00:54:57.119] この左の男好き
[00:54:58.839] なんでなんでなんで左の男
[00:55:07.119] はい
[00:55:09.359] ネフティスのガチ恋勢で可愛い
[00:55:11.440] へ
[00:55:12.280] ちょっと後で話聞いてみるか。スクイ主様
[00:55:15.359] お待ちしておりました。さあ、どうぞ。
[00:55:17.200] もっと近くへ。
[00:55:20.599] お待しておりました。砂漠の救い主様。皆
[00:55:23.280] 様もご存知の通り神がこの世に蘇れ平和に
[00:55:26.559] 訪れまし。世界に平和が訪れました。神は
[00:55:28.920] 我らにもう苦しむことはないのだとそう
[00:55:31.079] おっしゃった。ところが突然砂漠は闇の
[00:55:33.559] 世界に変わってしまった。魔物の気合いと
[00:55:36.480] 暗い空に怯えるために私は焦りました。
[00:55:39.480] そして1つのことに思い当たったのです。
[00:55:41.559] この城の地下深く神殿に封印してあった闇
[00:55:44.359] のルビーの方いはいはいはいはいはいはい
[00:55:46.880] 。もしあれがまた災わいをもたらしたら
[00:55:49.039] あれ俺闇のルビー上げちゃったんですけど
[00:55:51.000] 神様に私は神にお伺いを立てようと神殿で
[00:55:55.000] 祈りました
[00:55:57.200] んもしかしてそれが引き金なのか
[00:56:00.599] もしかして闇のルビーへ渡しちゃったこと
[00:56:03.160] が引きですかん
[00:56:06.880] やっちゃいました。
[00:56:07.839] またなんかやっちゃいました。やっちゃいました。
[00:56:11.160] 僕またなんかやっちゃいました。
[00:56:17.039] やっちゃったぜ。
[00:56:18.039] やっちゃったんだ。やったぜ。声がったな、今。神は私にお答えになりました。恐ろしく禍々しい声で。
[00:56:26.440] 7
[00:56:26.680] 時
[00:56:27.119] そこにあったの?
[00:56:29.119] 7時7時14分20何秒みたいなやつな。
[00:56:32.839] 7
[00:56:33.119] 時中から現れた魔物は魔物に神殿は追われ闇のルビーは奪われた。我が民には口が避けても言えませぬ。皆が信じる神がよもやせい主様皆様も闇もルビーを神にお預けになっああはいはいはい。あ、あげちゃいました。やはりそうでしたか。
[00:57:01.039] もう声戻していいぞ。ごめん。
[00:57:05.359] 砂漠を救うための方法に1つ心当たりが
[00:57:08.079] あります。イニシエよりこの砂漠を守りに
[00:57:10.400] 我らと共にある大いなる力。この砂漠の
[00:57:12.960] どっかに眠める大地の精霊ならばきっと魔
[00:57:15.480] を追い払ってくれるはず。どうか救い主様
[00:57:18.160] 大地の精霊を目覚めさせこの土
[00:57:22.480] 大地の精霊を目覚めさせる術はイリシより
[00:57:24.799] 砂漠の村のシャーマンに伝えられており
[00:57:26.799] ます。お願いいたします。大地の精霊を
[00:57:28.760] 目覚まさせ砂漠をお救いくださいませ。
[00:57:33.599] お待ちくださいませ。
[00:57:36.359] 救い主様のお力は十分に存じておりますか
[00:57:38.440] ?我らの砂漠の民の危機を何もせずにはい
[00:57:41.119] られません。砂漠の民の1人皆様の案内役
[00:57:44.079] としてお連れいただけませんか?砂漠の村
[00:57:47.000] の村長には4人の息子がいると聞きます。
[00:57:49.280] どうか彼らのうちの1人を皆様のになんあ
[00:57:51.400] 、そうなんだ。彼らのうちの1
[00:57:53.200] 人なんだそれ?
[00:57:55.520] 4
[00:57:55.680] 人のうちから選ぶってこと?おばちゃまひ
[00:58:02.440] おばちゃまどうもこんばんは。お疲れちゃん。みーちゃんこんばんは。今日もやっていく。
[00:58:07.799] ちょっとちょっと見てから決めよう。見てから決めよう。
[00:58:12.119] あれだからし死んだらまたなんかあのマザー
[00:58:16.799] 2
[00:58:17.000] のあのなんだっけ?あれみたいなフライングマン的なマザー
[00:58:22.720] 2
[00:58:22.920] のフライングマンみたいな感じ。村に行って村長あのあんまり
[00:58:36.359] そうになるからやめて。
[00:58:38.599] スマブラでうざい。あいつか
[00:58:40.960] 確かにスマ村でうざいやつね。泣きそうになるからとか言いながらあれじゃねえかけ
[00:58:47.640] 8なんかあんまりあんまりマザー
[00:58:49.920] 2面白くなかったって言ってたよ。
[00:58:53.520] 俺が俺があんなに言ったのにあまりマザー
[00:58:57.119] 2面白くなかったって言っせよ。
[00:59:00.880] なんならアンチだよね。
[00:59:02.160] なんならアンチだよね。なんか泣けって共容されてる気がするとかって。
[00:59:07.319] 悲しいから嫌なんだよ。
[00:59:10.240] 泣けって共容されてる気がするとかって言ってたよ。言った言ってた。でもそうしたら後の
[00:59:17.880] 2人がじめじゃないか。ほら俺は1
[00:59:19.319] 番優しいからな。なんだ
[00:59:21.440] ブラックジョークが笑えないのが
[00:59:23.200] 1番嫌。
[00:59:25.559] 1
[00:59:25.720] 番上の息子よ。お前の言分かった。真ん中の息子よ。お前はどうなんだ?
[00:59:30.200] 父上から見ても一番強いのは俺だけどさ。でもさ、その後の
[00:59:33.240] 2
[00:59:33.359] 人で今回は譲るよ。救い主様に鍛えてもらえれば俺と同じぐらい強くなれるかもしれないだろ。
[00:59:39.480] はい。1
[00:59:40.400] 番賢くて1
[00:59:41.119] 番強いこの俺が花をあ、村を貼られるわけにはいきません。これ全員行きたくねえな。これ村にもしものことがあったら俺を村を守らなきゃ。だから他の役目。あ、だから役目は他の
[00:59:51.119] 2人にお前ら行きたくねえんだろ。うん。
[00:59:58.319] つまりお前たちは救い主様のお供をするのは嫌だというのだな。
[01:00:02.319] いえ、その別にその嫌だなんてその嫌なんだな。
[01:00:12.160] ええ、
[01:00:12.839] ふむふむきゃ。何かご用ですか?私は決して盗みがけしてませんよ。どうもこどうもこんにちはす。
[01:00:22.280] この悲しいBGM
[01:00:23.680] ちゃゲームとこらこ救い主様女王様からのお使いから話は伺っておりますぞ。私の息子たちの中から誰でも連れください。
[01:00:36.880] まった言わんのかい
[01:00:39.920] と言いたいところですが私の息子たちはとんでもない臆病者ばかり申し訳ございませんか?救い主様のお力にはどうやらならないような。
[01:00:47.880] まだ貯めてる。
[01:00:49.960] あいたたたたた。
[01:00:50.760] 急にお腹が痛い。こんな救い主様のお役に立ちたいというのにお腹が痛くて動けない。いててて。頭が痛い。頭さくなければ机主様のお供には俺が言ったのに。
[01:01:03.039] いちじち。急に体中が痛い。こんな体でついてきてもついて行ってもつく主に様の足を引っ張ってしまう。誠情なです。申し訳ございませんがこれではとても
[01:01:18.880] 本。本み
[01:01:21.599] どうでしょう?父上兄者たちの代わりに俺が申してはフィッシュ
[01:01:26.760] 4
[01:01:26.920] 人いるたからな。
[01:01:28.599] 4
[01:01:28.760] 人いるって言ってたからな。サイドア者たちが病気となれば仕方ないでしょう。部屋に戻って出かける支度をしてきます。救い主ご一また後で。
[01:01:42.039] サイト
[01:01:43.240] サイト下の息子サイドはあれはあれでなかなか頭が回ります。
[01:01:48.880] きっと皆様のお役に立つかって。サイドの
[01:01:50.920] 部屋はこの部屋の裏にあります。どうぞ共
[01:01:52.680] に連れて行ってください。
[01:01:56.559] 恥を知れよ、てめえら。おい、やれやれ。
[01:01:59.839] 助かった。なんて思っちゃいませんってば
[01:02:01.520] 。おや、不思議なことにお腹が痛くなって
[01:02:04.240] きた。うん。不思議。不思議。うう。体が
[01:02:07.000] 痛くなければ俺が言ったのに。ああ、残念
[01:02:08.520] だぞ。お前らマジで恥をしれよ。
[01:02:13.119] 恥をしれだな。
[01:02:18.000] ね、これどんだね、俺さ、俺どっかでさ、鍵取り漏らしてる。こんなに取れないことある?
[01:02:25.799] 猫も喋りますと。はい。こんなに鳥もなんか開かないか。ひ、来ないでおれ。へえ。しんちゃんやめて。
[01:02:39.160] 裏切りおにぎりもいます。
[01:02:43.240] まさお君ほんま好き。裏切りおにぎり。
[01:02:46.279] 最後の鍵まだ
[01:02:47.319] え、最後の鍵持ってないんですけど。え、最後の鍵って?え、
[01:02:51.640] ぶっ飛ばすぜベイベ。
[01:02:54.520] ハンドル握った時な。大人帝国の逆襲のぶっ飛ばすぜベイベ。あえ、最後の鍵ってもうあるの?
[01:03:02.400] 笑笑。
[01:03:03.200] 嘘やん。夢やんな。え、め、
[01:03:08.079] それは言えない。こんな親設システムで見逃すことある?
[01:03:12.160] 全然見逃してるけど俺。
[01:03:13.920] え、最後の鍵
[01:03:14.760] 思えばあるしないと思えばない。
[01:03:16.599] なんだ?真剣やめて。
[01:03:24.400] 哲学。
[01:03:25.760] 哲学だな。お。うん。
[01:03:32.079] よしよし。お前たち、俺が戻ってくれまでこの部屋から出るんじゃないぞ。ちょっと、ちょっとじゃなく、結構似てるだろ。外は魔物が出るんだ。
[01:03:42.880] おしく待ってるんだぞ。
[01:03:45.960] では救い主ご1個といちいち呼びにくいな
[01:03:48.440] 。さえなければ名前を教えてくれないか。
[01:03:54.440] うん。
[01:03:56.520] シャーマンなら村の中央にある大きな巨大
[01:03:59.240] なの中にいるはずだ。砂漠の旅度この命の
[01:04:02.599] 限りお前たちの力なろう。だな貴様はいい
[01:04:06.599] ぞ。様をつけろよ。
[01:04:11.160] このドラクエのこのさ、猫の声さ、
[01:04:15.400] 猫ミームから取ってないか。これ猫ミーム
[01:04:18.720] の音源使ってない?この猫の
[01:04:23.440] あの悲しい顔してる猫の声がする。
[01:04:29.760] 困った猫のやつ
[01:04:30.880] 困っ
[01:04:31.160] た猫のやつの声だよな。どんなんやねんこ。あ、この人なんか前もいたぞ。
[01:04:37.680] されてる猫。
[01:04:38.760] そうそうそうね。
[01:04:41.880] この人前もいたね。わしにながありそうな切発まった顔をしておる。どうしたね。焦らずゆっくり話してみるとエの姉たちはシャーマンに大地の精霊のことを尋ねた。ほう。大地の精霊をなれろれろ。
[01:04:59.520] 大地の精霊が眠る場所なら確かに知っておるぞ。
[01:05:03.680] なら早く教えてくれ。精霊はどこにいる?どうすれば目を覚すんだ?焦るな。焦るな。精霊。
[01:05:09.240] 精霊はどこにでもいる。この砂漠のどこにでもな。お、なんかこいつもこいつもなんか哲学行ってんじゃねえか。最後の鍵と同じ概念なのかもしれない。
[01:05:18.400] くそ。
[01:05:19.079] いい加減なこと。
[01:05:21.119] 笑笑。
[01:05:22.559] もう怒るな。わしは真実しか語らんよ。第一の精霊はどこにでもいる。この砂漠全てが精霊そのもの。
[01:05:31.279] 砂漠のつ粒1粒1粒が全てが第一の精霊を
[01:05:35.559] 宿す何そのお米1粒に7福人があのあれし
[01:05:40.079] てるみたいなある昔から言われてるやつ
[01:05:43.000] みたいな
[01:05:44.799] 目の前の砂の中にも村の広場にも白の庭に
[01:05:50.359] もどこにでも精霊はいる精霊とはそういう
[01:05:54.760] ものだの精霊に会いたいねみなか
[01:05:57.799] 懐かしいなトイレの神
[01:06:00.920] ふむ。そうじゃな。ここではちょっと場所が狭い。わしについてくるといい。
[01:06:08.880] 死ぬほど好きだった。
[01:06:12.520] ええ、
[01:06:13.599] それはそれは
[01:06:14.599] そんなに
[01:06:16.039] そんなに好きだったか。ま、流行ったけど流行ったけど死ぬほど好きだったの。
[01:06:23.119] トイレにはそれはそれは綺麗な女神様が
[01:06:31.079] いるんやで。
[01:06:35.640] だから毎日なんちゃらかんちゃら
[01:06:41.920] おばあちゃんの歌なんだよな、あれな。
[01:06:45.520] 我らシャーマンたちはその大事な儀式を
[01:06:47.880] 語り継いてきた。
[01:06:51.000] 手首だ。
[01:06:58.520] 大地の精霊の姿を汚れなく大地に描く。その時の精霊は長い眠りから目覚めるであろうよ。
[01:07:17.359] この場所は聖なる力に守られておる。
[01:07:19.920] 精霊を呼び出すには打ってつけかもしねん
[01:07:22.319] 。大なしくそこで見て俺。じっと黙ってな
[01:07:26.000] 。
[01:07:29.119] 聞け。眠りの中の精霊よ。何時の歌を見よ
[01:07:33.960] 夢のうちにイニシエよりし伝えられし何時
[01:07:37.640] の姿が描かれるの。砂漠に眠る大地の精霊
[01:07:42.279] をいかなる
[01:07:44.279] 獣う獣よりも強くいかなる王よりも賢い。
[01:07:49.039] もえわ、意外となんなのこれ。
[01:07:59.039] 手書き、
[01:07:59.880] 手書きなんだ。動きおもれえな。
[01:08:17.000] シュール。
[01:08:20.159] バックで隠れねんな。
[01:08:31.679] なん?何時か顔を大地に囲う。
[01:08:37.000] うむ。困ったなあ。わしも年のようだ。
[01:08:39.839] 続きを忘れてしんやねん。
[01:08:42.279] 大事の顔がどんなものだったか分かればすぐにでも精霊を呼べるのだか。
[01:08:47.520] レジギがすんのこれ。
[01:08:48.560] うん。
[01:08:51.000] え、続きを思い出せないと精霊を復活させられないとは全く困ったもんだな。顔分からんのやろ。顔分からんよって。
[01:09:15.359] 写真でも残っとんかな?あ、
[01:09:29.560] これは救いの主様。なんと大地の精霊様を呼せるとおっしゃるのか。そうですな。
[01:09:33.839] 大地の精霊様のお、え、お顔については
[01:09:35.799] わちもよく知らないのです。確か城の地下
[01:09:38.279] の神殿に手掛かりになるようなものがお城
[01:09:41.640] の急神殿は確か魔物に襲われてからという
[01:09:44.040] ものの方あ、出た。これダンジョンやな。
[01:09:46.400] 多分これダンジョンやな。次のオ分かっ
[01:09:51.080] た。次のダンジョンに行ってみようか。
[01:09:53.960] あと30分しかないよ、今日。あ、今日
[01:09:56.840] あと30分しかねえからな。
[01:09:59.800] もう今日はもう
