[00:00:11.559] Да
[01:48:52.159] フレイヤー
[01:48:52.840] サイト昨日どこ行ったん?やめたら
[01:48:54.719] おドん。あ、本部帰れる。嬉しい。本部帰れるのめっちゃ嬉しい。よし、ロケラン買ってくるぞ、おめら。あ、ジョイディションもあるやんけ。ええやん。
[01:49:16.679] フレーヤーって何?このライト機能どこ
[01:49:18.639] やった?メタルドン
[01:49:25.119] 。この曲好き。ドル
[01:49:28.040] フレーヤ売ってるやん。何?フレーやって
[01:49:32.159] 。
[01:49:33.760] あに切らしてる。なんやそれ?
[01:49:39.719] あ、待って。え、本編にもちょっと本部に
[01:49:42.639] 戻れんだったら本部に行こうぜ。
[01:49:44.760] よし、ロケラン買って速攻でクリアしたんで。ロケランは正義や。うわ、おしっこしたい。ごめん。ちょ、おしっこしていからおしっこしていい?おしっこがしたいからおしっこしていいですか?おしっこしてえんな、今日。
[01:50:05.080] だめ。
[01:50:05.639] ええ、
[01:50:06.679] 接ちン。
[01:50:08.639] あ、出た。また出なくなったよ。また出なくなったよ。
[01:50:14.679] チャマドロケラン。これタマピロケランな
[01:50:17.239] んすわ。これがまた出なくなった。こいつ
[01:50:20.400] どうした?落っこしたからかさっき俺が。
[01:50:23.239] 俺がさっき落っこしたからまたなんか
[01:50:24.679] 曲がっちゃった。曲がってんの?これなん
[01:50:27.480] ?なんでこのリスクだけ出ないんや?お前
[01:50:30.760] ら分かるかな?もうここガチャガチャなん
[01:50:33.119] だよね。
[01:50:34.960] めっちゃ傷ついてる。最悪や1枚で3
[01:50:39.239] 万ぐらいのガチャ
[01:50:41.119] ガチャバ
[01:50:42.040] ガチャバになっちゃった。ガチャバ。
[01:50:45.000] ガチャバってひどくない?
[01:50:47.800] 何だっけ?ガチャバってな。な、俺なんか
[01:50:50.280] のモンスターになんかつけたんだよな。
[01:50:51.760] 確か
[01:50:53.320] ガチャ。
[01:51:02.119] あ、惜しくしたい。おしこしたけど1回1
[01:51:04.920] 回しよう。
[01:51:08.520] ドラゴンクエスト5の敵。
[01:51:11.040] あの、あれだ。あの、あれね、あの、なんだっけ?あの盾と盾と剣持ってるやつね。名前出ちゃったけど。シールドヒッホじゃなくて
[01:51:19.800] ソルジャーブル。そう。
[01:51:21.440] あ、ソルジャーブルだっけ?やめの民の教会を潰しそうね。本当に素晴らしい成績よ。なんかもっとミカも絡んで欲しいんだけどな。あんまり絡んでこないよね。あ、で、お前ジャンカーだろ。ジャンカーじゃない。ツナッチャーだろ、お前。そうか。クイーン病院が見つかったか。
[01:51:38.360] しかし無理はいかんぞ。休みなってくなっ
[01:51:40.400] たらいつでも言いたまえなんそれ休みたく
[01:51:42.800] なったらって
[01:51:44.800] 休むか。
[01:51:54.239] 大変だったでしょ。本当に頑張ったわね。
[01:51:56.400] 本当によく頑張ったな。お前の頑張りを見
[01:51:59.159] ていたぞ。
[01:52:07.840] ちょっと買ってく。
[01:52:14.880] やっぱロケラン買いますわ。ロケラン買い
[01:52:17.119] ますわ。
[01:52:25.880] たまけ活躍しとるそうでのお前さんが
[01:52:27.920] 頑張ってるならわせにゃの
[01:52:32.199] ロケランは本来1万ぐらいしない。ま、
[01:52:35.440] あれ使い捨てだからね。たらさ、みんな
[01:52:37.199] 待って。どうするこれ買う?俺もう武器
[01:52:40.639] いらねえ気がすんだけど。なんかこんな
[01:52:42.199] ことのもあれなんだけど武器いらねえよな
[01:52:44.880] 、これ。これ買ったって。いやだって。
[01:52:47.480] これ買ったってしゃあなでこれ。もう買っ
[01:52:50.960] た方がいい。これ
[01:52:54.239] いやだってかこれ1万000で買うんだっ
[01:52:56.679] たら
[01:52:58.800] こっち行きますわ。1万5000で
[01:53:01.239] 買うんだったら20発買うべ
[01:53:02.880] なあ。
[01:53:04.960] さあ、ま、とりあえず10発持っとこう。
[01:53:07.480] 10発。そんで何?フレイヤーって何?
[01:53:09.560] これか?
[01:53:11.760] フレーヤー買っとかなあがんねんな。
[01:53:15.159] 10個くらいあれば十分。10個ぐらい
[01:53:16.960] あればいいんか?
[01:53:18.960] 10個ぐらいあればいいんか?これ持っ
[01:53:20.040] てかなきゃいけねえんだな。
[01:53:29.360] これはこれでいい。
[01:53:32.079] これいらなくて。これフレーヤー持ってか
[01:53:34.679] なきゃいかない。照明団な。
[01:53:38.520] もうちょっとどうなんだ?フレイヤーって
[01:53:40.040] どういう?いっぱい持ってなきゃダめかな
[01:53:42.639] ?持っとくか?一応もうちょっと持っとく
[01:53:44.599] か。もうちょっと持っとくか。あと
[01:53:46.159] おしっこしてえな。
[01:53:50.040] もうちょっと買っとこう。なんか足りなく
[01:53:51.760] なって戻ってくの地獄じゃん。足りなく
[01:53:53.920] なって戻ってくの。
[01:53:57.400] セッて何?セッチンって何?
[01:54:01.639] まあ20こん25あったらいける。25
[01:54:05.320] あったら大丈夫。さすがに。で、あと残り
[01:54:07.639] 残りロケランか。
[01:54:10.520] よし。ロケラン15発も十分やろ。こん
[01:54:14.560] だけいけるよ。
[01:54:18.199] ただちょっとバンバン使っちゃうと
[01:54:20.599] もったいないんで。バンバン使うと
[01:54:22.520] もったいないんでちょっと使いとこ考えて
[01:54:24.079] いくぞ。使いとこ考えていく。あ、おしこ
[01:54:27.079] したい。ああ、おしこしたい。おし越して
[01:54:29.000] きていい?
[01:54:34.480] 先生トイレ。
[01:54:43.800] よし。
[01:54:50.440] ああ。
[01:54:52.159] あ、一旦セーブしてもいいかもな。この
[01:54:53.760] 状態で。この状態で一旦セーブしてもいい
[01:54:56.679] かもな。
[01:55:05.560] やっとクイーン病院やん。
[01:55:12.960] え、じゃあさ、あの、シーンとかあるのか
[01:55:14.920] な?あの、死体アンチ室とかこれどうなる
[01:55:18.560] んやろね?SD、SDガスであの、
[01:55:20.960] めちゃくちゃ黒いさ、あのなんかうじムシ
[01:55:23.679] 湧きまくってるあの画像とか出んのかな?
[01:55:28.239] ちょっと楽しくなってきたぜ。ちょっと
[01:55:30.520] 楽しくなってきたぜ。一旦セーブしるわ。
[01:55:38.040] 出ねえんだよ。なんで出なくなんね、お前
[01:55:40.400] 。
[01:55:44.280] お前ないんやねん。
[01:56:02.040] ぜ、おしこしたいね。
[01:56:07.840] ディスク2だけ吐き出さねえんだよな。
[01:56:12.719] よし。ごめん。トイレ行ってくるわ。
[01:56:15.599] ちょい待ち。ちょい待ち。
[01:56:26.239] ちょっとトイレ行ってくわ。あとタバコ1
[01:56:28.159] 本吸ってきて。ごめん。トイレ行くと言い
[01:56:30.320] つつタバコも吸ってくるわ。うん。休憩あ
[01:56:37.360] 。
[02:00:19.840] ああ、
[02:00:23.119] じゃあ続きやってきますかね。続きやって
[02:00:25.760] きますかね。
[02:00:30.000] そういやあれだよ。スナッチャーが好き
[02:00:32.920] すぎてさ。見てこれ。
[02:00:36.840] スナッチャーのTシャツ買ったん。超良く
[02:00:38.599] ね。超良くない?これめっちゃいいよね。
[02:00:46.400] おお。
[02:00:50.040] 何年か前の
[02:00:51.239] あれ橋本君
[02:00:52.760] 何年か前のね、なんかあの特別なんかポップアップみたいなコナミのポップアップで
[02:01:00.159] 発売されてたやつ。これなんかね、ミ使用で出てたから買ったんだよ。で、
[02:01:05.760] Lサイズなのね。俺もうさ、156kg
[02:01:08.599] 痩せてたから切れるかなと思ったら全然切なかった。全然パツパツで切れなかった。なんか飾ってあります。
[02:01:18.360] 笑笑
[02:01:19.679] いや、これ配信でさ、前さ、あのハガがさ、
[02:01:22.719] てことだわ。
[02:01:23.400] ハガが来てて配信でめっちゃいいと思って色々探し調べてさ、売っててさ、買ったんだけど切れなかった。切れなかった。
[02:01:35.880] あれめっちゃかっこいいよね。あれね。いや、あれつか切れるのを目標にして
[02:01:41.119] 公式なんや。
[02:01:41.960] そう、公式、公式。そう。なんかね、あの非公式のやつはなんかあのなんだっけ?アリエクとか調べると出てくんだよ。なんかでも絶対ゴミだからそういうのやだなと思った。あれ普通に公式のやつ。
[02:01:54.760] いや、そんなことないよ。
[02:01:56.719] 3000円ちょい3000
[02:01:57.719] 円ぐらいだった。35600
[02:01:59.280] 円ぐらいかな。
[02:01:59.960] で、あの、新品のその当時お店で売ってた値段もそんくらいだから、あ、いいじゃんと思って買ったんだけど、そう、切れなかったっていう。
[02:02:06.920] こんばんは。
[02:02:07.599] いつか聞いたいすね。こちゃん、こんばんは。こめちゃんこんばんは。いつか来たいっすね。ちゃんとね、あれね、ということでやってきますか。続きやってきますかね。続きね。あの、今ね、あの、新橋、大阪だよね。新橋って大阪で今日からかな、昨日からかなのアップストアってんだよ。めっちゃ羨ましいぜ。ぜ、非ってみて欲しいわ。
[02:02:29.560] 行って俺になんかグッズ買ってくれよ。コなミのポップアップストアやってんだって。
[02:02:36.719] へ、コナミの
[02:02:37.760] そう。ま、多分すナっちゃんのグズとかないだろうけど。なんかドラキュラのグズとかあんのかな?わかんないけどね。なんかあったらグラディウスとか。俺コナミ大好きだから羨ましいんだよな。大阪に。東京でもやんねんのかな?よし、じゃ使ってみる。さっきの。
[02:02:55.679] なんだこれか。ボン
[02:02:59.119] 古いゲームはありませんとかだったら悲しい。
[02:03:01.880] なんかでもそんな感じするけどな。え、何これ?何?使えないんや。なんなんこれ?なんなんこれ?え、照明ってこれやんな。え、使えないんだけど。どういうこと?もしかしてあれ戦闘中しか使えないのか?ああ、敵。
[02:03:25.639] あ、なる。ああ、なる。
[02:03:29.840] メタルギアのTシャツはあるね。
[02:03:32.320] メタルギアソリッド。メタルギアソリッドの、ま、ソリッドの
[02:03:36.920] T
[02:03:37.119] シャツはそんな欲しくないんですよね。あのメタルギアの
[02:03:41.239] Tシャツは欲しい。あの
[02:03:42.920] MSXの頃の。
[02:03:44.639] あ、本当にいいなあ。敵の出た。んうん。ここで使うのか、これ。あ、なるほど。
[02:03:53.599] ああ、なる。ええ、何こちょっと可愛い。ちょっと可愛いの出てきた。なんだこれ?え、可愛くない?なんかちょっとくまさんみたいでちょっと可愛いの出てきたで。どこ攻撃すればええねん、これ。遊戯王
[02:04:10.280] Tシャツ。
[02:04:11.040] ああ、遊戯は興味だな。どこ攻撃すればええ。
[02:04:28.679] なんかこんだけでかかったらなんか暗くて
[02:04:30.679] も当たりそうじゃね?弾適当に打っても
[02:04:33.280] 戦えそうじゃない?なんか
[02:04:42.520] うわあ。でもHP多すぎやろ。148も
[02:04:45.679] あんのかよ、お前。
[02:04:50.480] いや、コナミのポップアップ行きたい。
[02:04:59.920] ちょっとぜ非なんか行ってきて欲しいわ。
[02:05:02.000] 行ってきて。あ、弾買ってくんの忘れた。
[02:05:04.960] 弾買ってくんの忘れたんだけど。え、買い
[02:05:08.119] に戻る。
[02:05:10.320] 買えに戻らなきゃだめかな、これ。
[02:05:14.079] はい。どう
[02:05:18.199] かな。段買ってこないと
[02:05:20.000] 弾買ってくるの出だなあ。なんだこれ?フィールドは明るくならないん?あ、ナイス、ナイス、ナイス、ナイス。ありがたい。フィールド明るくならないんや。いや、もうこれさよ。うわ、だるいな。これだるくない?敵けることもできないってこと?じゃあ俺はまたお前かい。
[02:05:47.440] して
[02:05:57.400] 握手会
[02:05:59.400] 握手会手会やな寒い
[02:06:03.119] 新演化がどんどん見える
[02:06:06.480] 本当だよねシンボル演会にすんでよかっちゃうかなこれただなんかちょっと可愛くないかこい
[02:06:16.960] なんか俺こいつ好きだわ。
[02:06:26.880] 対して攻撃力もないしね。
[02:06:38.880] なんだね。コナミはね、コメゲームもそう
[02:06:41.920] だけどね。コナミってRPG下手くそなの
[02:06:45.559] よね。
[02:06:47.520] RPGコなミってRPGそんな強くない
[02:06:49.719] からね。あとアクションゲームとかさ、
[02:06:52.760] やらせたらめちゃめちゃおもろいんだけど
[02:06:54.280] 。
[02:06:55.880] RPGはあんまノーハウがないんすよね。
[02:06:59.679] 結構言われてんだよね。レトロゲー。
[02:07:01.480] コナミのレトロゲーはRPGはね、微妙な
[02:07:05.000] のが多いんでわ、もうだるい。
[02:07:08.880] このペースで、このペースでおるんか、
[02:07:11.840] こいつら。
[02:07:15.520] の悪口やめて。
[02:07:17.199] う、知らやつ出てきた。でも好きなの
[02:07:23.520] なん、なんだっけ?えっと、なんちゃらまだダね。持ってるよ。ファミコンのやつ。なんだっけ?ちも量マダみたいなやつでしょ?なんかタイトル忘れたけど。ちも量まだラみたいななんかなんだっけな?タイトル忘せた。
[02:07:41.719] 猛量戦期まだかあれも極いんだよな。なんかスーファミ
[02:07:51.520] 2
[02:07:51.719] で出るんだっけ?なんか姿形違うけど、このなんか尻尾みていの横に伸ばしてるのなんか
[02:07:59.719] そうだね。
[02:08:00.280] 一緒だな。あ、そうなんかあれでもあれってなんかさ、元々なんか漫画が原作原作あるよね。
[02:08:05.960] なんかね、猛量戦機まだなって漫画なんか
[02:08:09.079] な。あんま俺もわかんねえけど。なんか
[02:08:10.840] 原作あった気がすんだよな。これどこが
[02:08:13.400] これスイート。あ、そうなんだ。
[02:08:20.320] え、これどこか?あれなんか全然ダメージ
[02:08:23.079] 入んないんだけど。
[02:08:25.239] 漫画
[02:08:27.119] サイコ
[02:08:29.599] 何?最コわかんねえ。どこがこれ弱点だ、
[02:08:32.920] これ?
[02:08:36.679] うわ、なんかライフ全然減らねえな。
[02:08:44.599] わあ、こいつ買った。
[02:08:47.520] どこが弱点だかわかんない。足か
[02:08:54.040] 違うな。
[02:08:56.599] いや、こい探偵。
[02:08:58.639] 知らねえ。やっぱ古い。古いんだろうな、それ漫画。多分古いでしょ。リビーさんから出てくるアニメはやっぱ古いか。漫画とかアニメはやっぱタイムボ感見てただけあるよな。やっぱな。うん。やっぱタイムボ感世代はやっぱやっぱタイムボカ世代だもん。やっぱいつやねん。
[02:09:25.960] わかんない。実際タイム
[02:09:31.119] ガレリアンズとか。
[02:09:32.480] ああ、あんま美味しくねえな。知らない。え、ジャンプ。こいつだ。こいつ家庭だけで超だり。体うまくねえし。うわ、弾買ってこなきゃダめかね、これね。
[02:09:53.280] ま、最悪違う銃で攻撃すればいいや。てか最悪ぶ破すればいいや。
[02:09:57.920] 田島がキャラ出したくすげえ。笑笑。
[02:10:00.760] 知らねえ。タ島って誰?まずあとこれ。うわ、もう。あ、レドありがとう。たつんレードありがとう。お疲れちゃんお疲れ。つんレドありがとう。
[02:10:16.480] お疲れ。
[02:10:17.360] もう俺こいつ逃げるわ。
[02:10:20.960] だ、だるいねん、こいつ。
[02:10:25.159] だるいっす。これ扉ってどこにあ、扉?
[02:10:28.639] これ扉い
[02:10:31.800] てももうもん
[02:10:40.040] なちゃだい。こんなこと言っちゃ悪
[02:10:44.280] めっちゃだるいっす。
[02:10:48.280] あ、っちゃってありがとう。
[02:10:49.119] 山田美おさんどうもこんばんは。
[02:10:50.520] 笑笑。
[02:10:51.000] でも好きなの?
[02:10:51.840] でも好きなの
[02:10:55.679] だって敵が多すぎるよ。これ敵多いし。雑魚戦
[02:11:01.440] 1個に23分かかるんだよ。じゃ
[02:11:03.119] えか
[02:11:05.520] 言えたじゃねえか。やっぱつれえわ。表わかんねえけど。
[02:11:09.880] FF
[02:11:10.159] やんねえから。今日はね、あの山田みさんありがとうね。レドから初チャットどうもこんばんは。
[02:11:17.960] ちゃゲームと言います。タッツンとは、え
[02:11:20.360] 、バンドマン時代からの友達で、あの、
[02:11:22.480] リア友ですね。
[02:11:27.679] 今日はね、MSXっていう
[02:11:30.960] 昔のホビーパソコンの
[02:11:34.360] SDスナッチャーってゲームやってんだ
[02:11:35.920] けど、まあ、やっぱ古いからね。古いから
[02:11:39.639] あれなんだけど、あの、まあ、不親切な
[02:11:43.000] ゲーム。
[02:11:45.159] まあ、不親切なゲームですわ。おい、もうこいつもう戦うのやだ。もう逃げ。ああ、腹立ったからやっちゃおう。はい。ドーン。
[02:11:54.920] ゲーム画面
[02:11:56.440] 重向きあるでしょ。
[02:11:57.440] うえ。
[02:11:58.320] 重向きある。MDXさん、こんばんは。
[02:12:01.840] こ、こ、これなんですけど、これなんですけど、これあの、あの、中古で
[02:12:07.320] 9万しました。これ
[02:12:10.000] 9万して買いました。9
[02:12:11.239] 万円で買ったゲームね、これだ。意地でも意地でもやってんねん。もうこれつ
[02:12:17.199] 25さんの
[02:12:18.199] ああ、エギさん、こんばいいぞさん、こんにちはっす。いぞさんこんにちはっす。もう敵多いってひ、
[02:12:26.760] もう逃げ。
[02:12:28.840] 9万。
[02:12:29.559] 9万。うん。このゲーム9
[02:12:30.880] 万した。だから意地でもクリアまでやんねえとさすがにこの現物はマジで高いですからの。
[02:12:39.599] マジでね。うん。これ9万した。
[02:12:43.119] 笑笑。
[02:12:43.520] だから自分に言い聞かせてる今。いや、面白いんだ、このゲーム。
[02:12:48.280] 面白いんだ。そう。MSX2。
[02:12:49.840] そうだねえ。あのフロッピーのゲーム。あのスナッチャー、小島監督のスナッチャーの
[02:12:56.599] SD版。SDスナッチャー。
[02:12:58.440] 毎回えぐいて。
[02:13:01.520] だからもうた。それだけあの本当にもう自分に言い聞かせてる。いや、お前はこのゲーム
[02:13:07.760] 9万で買ったんだから。
[02:13:08.880] 楽しい楽しい。このゲームは面白いんだ。決してクソゲーではない。頑張って言かせて。
[02:13:16.199] 笑笑。
[02:13:18.559] いや、もうこれブラ何これ?
[02:13:21.000] HP高。もうや。抜かせてる。笑笑。
[02:13:25.119] もうしんどいねん。シールさんこんばんは。え、
[02:13:30.800] 248。
[02:13:32.000] え、ランダムや。何それ?なんやねんそれ。
[02:13:37.360] お値段以上。
[02:13:38.520] お値段以上やろ。そうやねん。
[02:13:40.800] 9万したぞなのによ。なんか開始
[02:13:43.840] 5
[02:13:44.000] 分誰も来ねえしよ。ふざけんじゃねえぞ。マジで
[02:13:47.119] ブラック企業の社員が仕事楽しいって。そう。言い聞かてます。さ、こ
[02:13:51.639] れ売ってたらどうなったんや。
[02:13:53.400] 本当だよ。売ってたらゲームオーバーだったんちゃう?お互い気をつけようやじゃない。なんか役に
[02:13:59.679] HP
[02:14:00.079] 高いから何かなと思ったんだよ。ちなみにこのフロッピーのゲームなんでロードめっちゃ長いんすよ。
[02:14:06.880] あ、明るいやん。フロッピーのゲームなんすよ。え、もうじゃあ照明団らないってこと?お、おい、待て。手術室や。
[02:14:20.639] ブラック企業の精神も脆ろい顔。
[02:14:25.000] ブラック企業の精神。うわあ、駐車張りやん。血ついてますよ。
[02:14:31.840] 手術室。
[02:14:33.119] 手術室。手術室。
[02:14:40.840] いや、おもろいよ。おもろい、おもろい。
[02:14:42.800] おもろい、おもろい。最高のゲーム。うん
[02:14:44.320] 。おもろい、おもろい。
[02:14:48.079] 強いね、敵。どんくらい食らう。
[02:15:01.840] ま、こんくらいだったら平気だな。
[02:15:07.400] 避けるなや。
[02:15:12.760] HP高いよ、これ。
[02:15:18.239] 150一発ロケランじゃないけど爆弾使い
[02:15:22.760] ますわ。なんかね、このゲームね、ま、
[02:15:26.440] シンボルエンカウント
[02:15:29.800] ですね。うわ、全然効かないんですけど。
[02:15:36.679] やばい。弾なくなる。53
[02:15:38.440] 発しかないぞ。あとこのゲームね、あの
[02:15:47.040] HP削りきらなくてもV
[02:15:48.840] 破壊しまくれば死ぬんだよ。なんとなくそれは分かる。
[02:15:54.840] V破壊しればこいつを
[02:15:56.719] HP
[02:15:57.199] 削り切らくても壊せんの。おらほらほらほらほらほら。
[02:16:04.400] HP残ったけどね。
[02:16:06.880] 経験値うま。マジか。
[02:16:11.719] 経験値がうまい敵が出てくるってことは
[02:16:13.599] この後強いボスが出てくる。俺はそう感じ
[02:16:15.840] て。うおい。ちょっと
[02:16:21.159] さすがに回復入れるわ。
[02:16:37.120] よし。
[02:16:39.519] MDXさ、このゲームさ、クリアしたこと
[02:16:41.679] ある?
[02:16:43.599] 経験者クリアしたことはある?このゲーム
[02:16:46.439] 。
[02:16:50.800] このゲームさ、ネットに情報があまりにも
[02:16:52.880] なさすぎてあとどんくらいでクリアなのか
[02:16:55.679] 全然わかんないんだよね。よ
[02:16:57.040] おさすが。
[02:16:58.679] これさ、ごどんどんくらいっすか?今俺新度どんくらいなんだ?
[02:17:06.160] 笑しやもうこれちょっと情報くれよ。なんか欲有欲な情報。あまりにもネットに情報がなさすぎて。別にそんな別に早くクリアしたいとかじゃないんだけど。早くクリアしたいとかじゃないんだけど。
[02:17:25.639] あとどんくらいかかんのかなっていうのはちょっと気になるとこですよね。戦闘に時間かかるんだな。での動先なので半分。
[02:17:45.240] 半分過ぎてますか?半分すか?
[02:17:51.040] 半分すか?
[02:17:54.880] ま、でもスナッチャーやからな。あの、
[02:17:57.280] 本編の
[02:17:59.559] 感じでいけば、ま、クイーン病院て、ま、
[02:18:02.639] 後半ちゃ、後半だもんね。これ経験値
[02:18:06.399] うめえな、こいつ。経験値はめっちゃ
[02:18:08.200] うまい。ただめっちゃ強い。硬すぎる。
[02:18:14.359] こんなうじゃうじゃおられても困るぜ。
[02:18:16.880] まるで早くクリアしてしま。笑。
[02:18:21.760] あのね、俺も悪いんだけどみんなもね、このゲームないコメントしづらいよね。たまに本当に
[02:18:34.359] 10
[02:18:34.599] 分間ぐらい虚みたいな時間があるからまに誰も俺も喋んしみたいな。
[02:18:41.880] 俺も喋らないし、みんなもコメントしないしみたいな、そういう時間があるんで、このゲーム。だいぶしんどいとこもあんのかなと思いながら。まあ、でも
[02:18:57.359] 長いんですよ。リスク
[02:18:59.160] 3枚だけではないです。当時の本編で。
[02:19:02.280] え、ちょっと待って、待って、待って、おい、おい、おい、おい、おい、おい。ディスク
[02:19:06.880] 3に入る前に言うなよ。俺まだディスク
[02:19:09.960] 2だぞ。
[02:19:10.519] え、ディスクさん、そんな長いの?おい、まだまだかかるやん。嘘やろ。ディスク
[02:19:18.399] 3まだまだ長いの?
[02:19:21.800] 俺まだディスク2なんですけど。ディスク
[02:19:25.359] 3
[02:19:25.719] 長いんや。ええ。いや、ま、いいんだけどね。いや、いいんだけどね。いいんだけどね。好きなゲームスナッチャー好きやし。ディスクさん。
[02:19:41.240] や、
[02:19:46.920] めっちゃ長いんだ。いや、ま、いいんだ
[02:19:49.160] けど。いや、いいんだけど。うん。いや、
[02:19:51.080] いいんだけど。うん。いいんだけどね。
[02:19:53.640] 好きやし、このゲームスナっちゃ好きやし
[02:19:56.600] 。いいんやけど。
[02:20:01.920] ああ。いや、長いかどうかではなく、それ
[02:20:04.520] だけの内容を3万にして
[02:20:08.359] あ、なるほど。ね。あ、そういうことね。
[02:20:11.359] なるほどね。あ、ディスク3枚は伊達じゃ
[02:20:13.520] ないってことね。ごめん、ごめん。俺が
[02:20:14.680] 読み間違えてた。ディスク3は伊達じゃ
[02:20:16.359] ないかと思った。ディスク3バカ長いんか
[02:20:17.920] と思った。そういうことじゃなくてね。3
[02:20:19.760] 枚ってのはやっぱ長いんだ。当時のRPG
[02:20:21.960] にしてもね。
[02:20:24.560] まあ9万したからね。やっぱまあね、長く
[02:20:27.560] 楽しめるってのはまあ
[02:20:29.600] まあまあいいことですよ。ほら、手術室だ
[02:20:31.760] よ、これ。え、これもうスナッチャーの
[02:20:33.680] 本拠地やん。もうちょっとやめて。これは
[02:20:37.120] これ調べなくていいの?これなんかもう
[02:20:39.200] 完全になんか人いるやん。人が人が
[02:20:42.200] ホルマリン付けされてますやん。
[02:20:45.399] やばい。エクスプレスの弾がなくなる。
[02:20:49.280] エクスプレスの弾がなくなる。32発しか
[02:20:52.319] ないぞ。
[02:21:06.280] てかディスク2長いよね。ディスク
[02:21:09.680] 2めっちゃ長いな。もうそろそろディスク
[02:21:12.439] 2
[02:21:12.680] 終わってもいいんじゃねえのかな?にゃあ、もう硬いよ敵が。
[02:21:21.160] それだけできること室とかもディスク
[02:21:24.240] 3
[02:21:24.439] 枚を使って表現を広げてるんです。そういう意味で
[02:21:28.040] 3枚組の共
[02:21:29.840] なるほどね。なるほどね。
[02:21:31.960] 3
[02:21:32.200] 枚組の脅威ですね、これが。いや、でもいい。俺はこのゲーム
[02:21:42.040] 1
[02:21:42.240] 回はクリアしておかないと。スナッチャー好きを名乗るためにはこのゲームクリアしとかんとやっぱり。
[02:22:06.040] よしよしよしよしよしよしよしよしよし。
[02:22:10.399] ただ本当経験値うめえ。
[02:22:17.080] これとか調べなくていいの?この明らかに
[02:22:20.120] 人間みたいなのいるけど何もないんだ。
[02:22:26.319] いや、弾がなくなきちゃったな。でもこれ
[02:22:30.200] ダンジョン抜けて買いに行って戻ってき
[02:22:31.840] たらこれ全員まだ戦わきゃいけないでしょ
[02:22:33.399] 、これ。ちょさすがにちょっと自分も説明
[02:22:36.439] も3枚だから長い方向に振ってしまったの
[02:22:40.080] で勘違いさせてす。いやいやいやい。
[02:22:42.960] あのね、本当にね、このゲームの、このゲームのなんていうの、その経験者がいるのは本当に心強い。このゲーム経験者いるの心強えな。
[02:22:59.880] 貴重な有識。
[02:23:00.920] 本当だよ。
[02:23:12.520] もう地味に動くのやめて。
[02:23:23.840] お、あ、山田みよさんありがとう。
[02:23:27.760] やった。フォローされた。おい、しかも
[02:23:30.240] 名前からしてた女の子だ。やったぜ。
[02:23:34.279] 弾ゲームチャンネルには女がなさ、いなすぎるで有名だからな。とにかく正はこのマーは本当に熱中して
[02:23:42.760] へえ。熱中してやったんな。エンカウント辛いよな。これ必死すぎて辛い。俺が高校生の時に好きな女の子に告って振られた時のあれな。橋本君必死すぎてきつい。
[02:24:01.080] 何?必死すぎてきついっては?
[02:24:04.439] 好きな女に必死になれねえ女。男はカすだ
[02:24:07.000] よ。
[02:24:12.160] よし
[02:24:14.760] 。いいね。結構レベル上がるぜ。なんで
[02:24:17.120] ディフェンスだけ俺こんなレベル低いん
[02:24:18.560] だろう?いや、もうそれはそうだな。そう
[02:24:21.319] だろ?そうだよな。
[02:24:24.000] やだ。ああ。
[02:24:28.279] ただ当時は先が見たくて止め時きが分からなくなるくらい熱中してました。
[02:24:33.640] いいっすな。ちょっと武器変えます。もう弾がねえから。
[02:24:36.520] ステータスにレベルがある。
[02:24:38.399] そう、そう、そうなんよ。そうなんよ。この
[02:24:41.080] 1
[02:24:41.240] 番下の列のさ、プレイヤーライフのところにさ、スト、ストロング、ストレングス。これが攻撃力
[02:24:47.359] 69。DEFがディフェンスの37
[02:24:50.600] でスピードが71
[02:24:51.800] とあるんすよ。なんかディフェンスだけめっちゃ低いんよね。
[02:24:57.040] なんだ?俺の行動によって変わるのかね、これ。あの、あれみたいなでも好きなの?なんで?お疲れ。
[02:25:03.720] 今日も文句言いながらやってますよ。このゲーム。
[02:25:06.880] 彼氏が長文でお気持ちしてくるから仕方なく長分で返したら長分でたと思い出した。いとりかね。
[02:25:17.240] 彼氏側が長文してるのにな。あ、防御行動。
[02:25:24.760] 防御行動とかないねん、このゲーム防御と
[02:25:27.279] かないねん。
[02:25:29.399] ま、FF2みたいな感じでなんか熟連動
[02:25:32.200] みたいな感じなのかな。ようわかんねえん
[02:25:34.080] だよな。よくわかんねえんだよな。あと敵
[02:25:36.600] を攻撃する場所によってなんかこうV破壊
[02:25:39.160] みたいなのがあってさ、武器を攻撃すれば
[02:25:41.720] 攻撃してこななくなるし、
[02:25:44.880] 仲間を呼ぶやつはアンテナを壊せば仲間
[02:25:47.479] 呼ばなくなるしみたいな。ま、そういうの
[02:25:48.920] 結構おもろいんだけどね。システムは。
[02:25:52.240] システムは面白いんですけどね。
[02:25:53.880] ではスナっちゃーとの戦いは限定的だったじゃないですか。
[02:25:58.000] アプグになって様々な戦いをジャンカートし、もう読むの疲れた。尻尾切って
[02:26:04.279] V破壊はおもろいね。
[02:26:05.600] 役目でしょ。尻尾切って役目でしょ。がお疲れ。
[02:26:09.120] V破壊おもろい。だからV
[02:26:10.240] 破壊おもろいんだけど正味もうここまで来ちゃったら
[02:26:13.319] V
[02:26:13.479] 破壊やる前にもう本体ぶっ壊して倒した方が早いっていうそういうこうになっちゃうんだよな。
