[00:00:55.520] おはちゃまちゃまドンちゃに
[00:34:59.480] ペンペンもいますと。このスペースは待ち合いしてるようですね。正面が受付です。みんな
[00:35:08.599] ID
[00:35:08.800] を持っています。正義のネオ神戸市民のようです。怪しい人物はいません。
[00:35:12.280] の癖が強い。
[00:35:14.240] ま、あのネオ神戸ですからここは人種のサラダボール人がいますわな。
[00:35:19.760] こんばんは。
[00:35:20.760] みさんこんばんは。やってますよ。
[00:35:22.800] え、スナッチャー2日目でございます。
[00:35:25.880] 大好きなゲームを2周目。えー、凶暴性の
[00:35:30.079] あるペットは必ず首輪をはめるか、かに
[00:35:32.760] 入れて連れてきてくださいと書かれてい
[00:35:34.320] ます。うーん。
[00:35:37.200] スナっちゃんについてギリ。この辺りで
[00:35:38.680] すナっちゃんの噂を聞いたことは心配ない
[00:35:40.920] わ。我が家は犬を勝ってるから大丈夫。
[00:35:42.839] この病院もそうでしょ。スナッチちゃって
[00:35:44.560] 犬を嫌うんでしょ。確証はありませんが
[00:35:47.000] 匂いに敏感な動物には見分けられるそう
[00:35:48.800] です。ほんだからペットを買う家が増えて
[00:35:51.520] るって話よ。
[00:35:52.520] へえ、ちょっとすいません。オりン病院について心辺たりはありませんか?えさんもこんばんは。
[00:36:00.440] こ、今日もやってます。オりン。ここはオりン病院ですが違いますか?ここは何の病院ですか?
[00:36:07.440] PCエンジンだったっけ?サターンじゃ。
[00:36:10.000] いや、前もPCエンジン。前もPC
[00:36:11.440] エンジンだよ。サターンやってたのはマーブルだね。マーブルにはサターン版貸化した。でもやっぱり
[00:36:15.800] PC
[00:36:16.200] エンジン版が思考ですわな、やっぱり。
[00:36:19.359] へえ。
[00:36:21.280] やっぱあの、あの乳首がナフされたりするんだよ。あの
[00:36:23.960] PC
[00:36:24.160] エンジン版はじゃない。あの、セガサタン版は乳首がフされたりしてるんだよ。やっぱり全く脳規制でやりたいじゃないですか。ん、くせえ。
[00:36:35.640] それはきついな。
[00:36:36.760] なあ。くんくん。ひゃあ。臭い。動物病院に入ってそんなこと言うなよ。
[00:36:48.960] みんな小動物を抱えてますね。
[00:36:52.839] 受付のお姉さんがいます。診察の続くをし
[00:36:54.920] ています。保険が聞くみたいだな。闇病院
[00:36:57.800] ではないようですね。
[00:37:02.880] オム
[00:37:06.040] カチここでいいんだよね。私は死に
[00:37:08.560] ませーん。本当にうるさいやつですね。
[00:37:15.560] アンティークトレンディドラマ。
[00:37:18.240] ATD
[00:37:22.520] ペンギ動物はダメなんです。
[00:37:29.079] 90
[00:37:29.520] 年大ドラマのセリフ。
[00:37:31.560] あ、そうなんだ。僕は死にませんて。あれだよな。あのなんだっけ?武田。ここの先生腕の方の評判がいいのよ。
[00:37:45.680] 最近優秀な順位さんって少ないから。
[00:37:50.720] この病院の先生はどんな?遺伝子操作免許
[00:37:53.440] を持ってる公認師よ。こっくらいよね。
[00:37:55.599] 予約なしてこの子たちを見てくれるのは
[00:37:57.960] 免許を持ってる公認意師か。じゃあ違うん
[00:38:00.839] じゃない?じゃあもう違うんじゃない?
[00:38:08.079] 違うよこれ。
[00:38:17.599] うん。
[00:38:22.560] ペットに関する保険や予防接置の張り紙が
[00:38:24.920] あります。全然違うって。ここ
[00:38:31.240] 一応動物も調べてみる。だめだ。調べらん
[00:38:34.680] ない。
[00:38:42.359] メタルギアは動物が苦手なんだな。
[00:38:47.359] なるほど。この匂いだったのか。一種のこなんてこと言うんだお前。いくら動物が嫌いだからってひどいこと言うね。一種の公外ですね。これは動物愛護団体ももう大激怒のもない。
[00:39:07.200] このネオンサインの病院を探してるんだか。俺はここのネオンサインではないですね。よく似てるけど。
[00:39:13.839] 今は公害。へ、そうやって言うの?公害外って言うの?良くないよな。
[00:39:19.680] 公外っていうの?その、もう外って書いてあったらさ、いくら前の字で作ろってもあれだと思うけどね。じゃあもうここ何もないのかな?何もないでオッケー。何もない。違うねえ。リアン、ここまで来て帰ることがないです。
[00:39:39.119] メ犬子供を無機会になってたという意味では公外だよ。
[00:39:43.520] メ犬が子供を向き何何何なんなんか倫理感がすごいなんか今日あれだなんかペットショップに対するあれかブリーダーに対するアンチ何どうすればいいの?もう全部調べたで。全部調べたよ。
[00:40:02.440] ここ違うんでしょ?うん。なんか全部違うと思うよ。え、覚えられる?え?
[00:40:14.079] スライムの幽霊みたい。
[00:40:16.000] なんだ?スライムの幽霊。うんポムじゃなくてごめんな。うんポチムじゃなくてごめん。コトぶり。ごめんは覚えられる言語容量を拡張した大容量オブですよ。
[00:40:24.640] A
[00:40:24.839] 界隈や何かを記憶する時に再生用としてよく使われたです。ひどいんじゃねえかよ。こっちの方がずっとひどいじゃねえか。
[00:40:34.160] マゼランティック神戸ペンギンです。33
[00:40:36.280] 年にアイボリッツ者が、え、中継度用に
[00:40:40.000] 禁種改良した合成。はあ。
[00:40:45.800] え、生体改造済みのハミングドッグ。この
[00:40:48.480] 生体改造によって犬の騒音が解消されたの
[00:40:51.560] は有名な話です。うわ、倫理感ねえな。
[00:40:54.880] ネオ神べシティマジで倫理感ねえな。
[00:40:59.119] いいんだ。
[00:40:59.839] もう生体取っちゃうんだ。ま、金玉取んのって一緒だよな。金玉取んのと一緒だよな。子供作れねえようにしちゃうんだから。そ、変わんねえよな。ポシェットペットです。え、女性のバッグ剣ベッドとして昨年に大流行した幽体性の合成生物。
[00:41:16.920] 倫理派は忘れてきた。
[00:41:18.359] 倫理感なさすぎるでしょ。それはそのシリの猫家でしょ。
[00:41:23.000] スナッチャーは犬を嫌います。
[00:41:25.240] 何も入らない。スナッチャーのメンテナンス病院とは思えません。
[00:41:31.160] ここは間違ったようだな。操作は振り出しに戻ったというわけか。
[00:41:36.119] あ、裁パンてそんな感じな。
[00:41:38.200] 操作はこれからですよ。
[00:41:40.040] トライサイクルに戻りましょう。
[00:41:43.000] え、サイバーパンク
[00:41:45.000] 202077
[00:41:46.680] だっけ?それとてでもこのゲームめっちゃ参考にしてるっていいよね。
[00:41:51.640] 残念ながら検討だったようですね。
[00:41:53.960] 違いましたな。
[00:41:54.839] な行くぞ、メタル。
[00:42:05.400] え、どこ行こっか?じゃあ、
[00:42:07.359] あ、ジャンルとしてのサイバーパンクです。
[00:42:09.839] ああ、そういうことね。ゲームじゃなくてね。ま、サイバーパンクっぽくなってきたよな。
[00:42:28.559] ちょっと嫁に電話してみようや。じゃあちょっと病院わかんねえから嫁に電話してみようか。番号は全く覚えてません。サンク殺しよ。
[00:42:48.319] 結婚おめでとうございます。
[00:42:49.760] 何が何があ、嫁。あ、嫁って言ったからね。嫁。あのゲームの中だな。
[00:42:57.200] ちゃまさんの嫁じゃないのか。
[00:42:58.520] あ、俺の嫁じゃない。俺の嫁は、え、あれだよ。あの配信配信が俺の嫁だからつってな。おい。あ、
[00:43:08.240] 39344です。
[00:43:11.640] は
[00:43:12.359] は。
[00:43:14.559] そっか。
[00:43:18.319] 嬉しいだろうが。
[00:43:27.000] はは。
[00:43:28.839] 出ないやん。
[00:43:34.160] 今は同性パートあります。
[00:43:38.079] あ、すナちゃん
[00:43:40.359] 驚いたでしょう。
[00:43:41.480] 全然。
[00:43:42.359] これはビデオテープです。
[00:43:43.839] え、
[00:43:44.920] 私今は外出中です。
[00:43:47.720] ご用の方はネオ神戸薬下研究所
[00:43:51.400] サンキの1
[00:43:52.400] ちょっと美人だよな。マジでな。
[00:43:55.520] どうも驚かしてごめんなさい。バイ。
[00:43:59.359] うわあきなんかバーイの言い方もなんかバーイの言い方もなんか綺麗な人特有の言い方だったよね、今ね。バイ。ああ、びっくりした。
[00:44:12.520] ジェミーメ、どこでこんな冗談を覚えたんだ?ギリアンがいつもすごく電話するからじゃないですか?どういう意味だ?メタルいいんですよ。照れなくてもギリアンの気持ちはすっかりジェミーにスナッチされてますからね。なんやね、それ。え、何?今ダメなん?
[00:44:26.480] 自分が綺麗なの分かってやばい。
[00:44:28.400] いや、それはマジでそうだよ。絶対そうよ。ランダムハジの切りビる。バウンティハンター消計なんてかっこいいけど反面怖いわ。
[00:44:39.319] どんな人なんでしょう?ちょっとオリン
[00:44:41.920] 病院知らない。この東内であることは
[00:44:44.119] 間違いないんでしょ。うん。
[00:44:49.599] ギリアン私疑ってるのね。残念だわ。
[00:44:51.720] 悪かった。言いすぎたよ。
[00:44:54.800] ネオ神戸って意外といいところだな。
[00:44:56.520] みんな必死に生きてる。そうね。世間は
[00:44:59.079] ゴミダメって言うけどなんていうか人の他
[00:45:01.280] の年と違って人の行き遣いが感じられる
[00:45:03.760] もの。うん。
[00:45:06.520] か、記憶がない男ってどう思う?
[00:45:09.280] ミステリアスで素敵。でも思い出がないの
[00:45:11.480] は辛いことだわ。人間にとって。うん。
[00:45:18.319] え、どちらいいんだろう?
[00:45:23.000] 嫁さん電話出なかったもんな。
[00:45:31.240] もう1回電話してみていい?もう1回電話
[00:45:33.440] していい?
[00:45:39.280] 39の344よ。
[00:45:51.839] 出投げだな。
[00:45:56.000] あ、もういい。驚いたでしょ。もういって
[00:45:57.880] 。これはビデオテープです。
[00:46:00.960] 私今は外出中です。ご用の方はネオ神戸薬下研究所
[00:46:06.520] だめか。
[00:46:07.400] 39の1009までご連絡ください。
[00:46:09.960] あ、39の1009ね。あ、
[00:46:11.680] どうしてごめんなさい。
[00:46:12.880] あ、すいません。39の1009
[00:46:14.640] 言ってたわ。39の1009ね。
[00:46:23.800] 39の19
[00:46:28.599] オッケー。
[00:46:37.160] あ、わおだ。髪あげても美人ですな。
[00:46:41.599] ネオ神戸見け。あら、ギリアンどうしたの?
[00:46:46.720] 悪いな。仕事中に元気そうだね、とても。
[00:46:52.960] え、なんとか
[00:46:58.880] 短い時間だったが君との生活楽しかったよ
[00:47:01.520] 。こんな前仕事中にこんな電話してんじゃ
[00:47:04.720] ねえよ。仕事中にこんな電話してくんじゃ
[00:47:07.400] ねえよ。喧嘩ばかりしてたけどね。ああ、
[00:47:11.240] でもあの頃懐かしいよ。き姉さん
[00:47:15.400] 私たちの唯一の思い出ね。
[00:47:19.480] 実はスナッチャーが党内のどっかの病院を選拠してるらしいんだが、そのことで君の力が借りたい。つでもいいわ。私のできることなら。え、主人公から死ぬの?
[00:47:30.920] 本当だよな。仕事中にこんな電話してきやがって。ちょっとメモリー見てもらおうか。おり効かないわね。この党内の病院なのかしら。東内のほとんどの医療、え、医薬開発管理はここで行ってるんだけど。
[00:47:51.720] うーん。
[00:47:54.040] 留守伝のこと聞い。ジェミ、あの留守伝
[00:47:56.760] 冗談きついぞ。びっくりした。ああ、
[00:47:59.240] びっくりした。
[00:48:03.720] おい、今はああ、ちょっと待って。また
[00:48:07.680] コントローラー効かなるんやけど。なんや
[00:48:10.000] ねんこれ。
[00:48:12.520] ちょ待ってね。コントローラーが定期的に
[00:48:15.400] 効かなくなんだよ。
[00:48:16.480] なんかせ接触りんかな?
[00:48:19.040] 731フりフり。
[00:48:28.880] どれくらいってすごくさ?もうあんな冗談やめてくれ。君がスナっちゃんに冗談でも考えてないんだ。分かったわ。りや。わかんねえけどな。こいつもスナっちゃんの可能性あるけどな。わかんねえけどな。
[00:48:45.319] 紫街線療方の病院。スナッチーには紫外線
[00:48:48.800] 両方の設備のある病院が必要なんだから。
[00:48:50.440] なんか知らないか?紫外線の設備のある
[00:48:53.319] 病院は少なくないわ。でも当内の病院と
[00:48:56.319] 帳簿があるから調べとく。でもあんまり
[00:48:58.559] 期待をしないでね。どこで薬剤速をしてる
[00:49:00.920] 闇病院ならお手上げだから。なるほどな。
[00:49:03.760] まあでもそういう闇病院だろうからな。
[00:49:05.839] 貼ってもいあい全然貼っていいよ。大丈夫
[00:49:08.119] 大丈夫全然貼っていいよ。
[00:49:12.760] えっと、あとなんだ?デート誘ってみる。こないだ動物園に誘ってくれてありがとう。行けなかったけど気持ちだけで嬉しいわ。会えないかな?どっかで?
[00:49:25.240] そういえばこんな約束してたよね。
[00:49:27.599] あ、それちょっと待って。あ、それちょっと待ってね。
[00:49:32.400] と
[00:49:46.880] ちょっと待って。今配信映すからね。
[00:49:49.640] えっと、
[00:49:59.200] ちょっと待ってね。
[00:50:10.559] これな、
[00:50:21.480] こっちの音。ちょ、ちょっと待って
[00:50:30.960] これ。
[00:50:31.200] わざわざ今作ってきたの俺が忘れてるからごめんね。
[00:50:38.160] ま、やっぱ男たるもの負けたら罰ゲーム必要だよね。
[00:50:42.119] うわ、もう出た。そういうの。
[00:50:44.760] あ、もう俺こんな
[00:50:45.920] マジで
[00:50:46.880] リーダーだけね。リーダーだけ。
[00:50:48.760] あ、まあまあ、別にま、ま、ていうか負けないけどね。
[00:50:51.880] ま、負けましたけどね。
[00:50:53.319] ま、負けないけどね。ま、全然負けましたけど。負けないけどね。
[00:50:56.799] 負けないんだからゲーム余裕でしょ。
[00:50:59.400] そうです。
[00:50:59.720] 全然いいけど。
[00:51:01.400] あの
[00:51:03.040] Yahooでさ
[00:51:04.040] 何や入り何それまやマトをコスプレってちょっとググってもらってこんな話したような気もするわ。
[00:51:16.839] なんだよそれ。
[00:51:17.520] クリーパークリーパーのかぶり物して次回配信お願いします。
[00:51:22.799] 絶対揃まよかった。丸ボード確かに別に
[00:51:28.000] Yahooじゃなくていいよね。
[00:51:29.640] もそれぞれちょっと
[00:51:31.440] Minecraftコスプレってグったらクリーパーのコスプレ出てくる。
[00:51:37.000] ああ、そんな
[00:51:38.000] こんだけ話して記憶にないとは。
[00:51:40.079] 全然話記憶ないよ。えー、これ今更やるか。もういいでしょ。もういいでしょ。もうええでしょ。今更やる。これええ。
[00:52:01.640] そんな話してたね。でも多分ね、多分これ
[00:52:05.280] は多分ね、俺も忘れてるけどね、あのK
[00:52:09.200] チャンネルも多分忘れてるよ。
[00:52:12.640] 多分Kチャンネルも忘れてるだろ、これ。
[00:52:19.280] まあ緊張して飛んでたよね。あ、もう最後
[00:52:23.240] 結構さ、なんか切まっていや、もうなんか
[00:52:30.160] 全然覚えてなかったね。全然覚えてなんか
[00:52:33.160] もうね、勝ちとか負けとかじゃない。
[00:52:39.119] 勝ちとか負けとかじゃなくなったから
[00:52:42.599] て言って俺は今やらないやらない方向に
[00:52:45.119] 家事を取る取ってるけど
[00:52:48.559] やらない方向に家事を取ってます。
[00:52:56.960] 物はいよ。おかじいっぱい。
[00:52:59.920] おかじいっぱいです。
[00:53:01.680] 邪魔の決定に従うよ。
[00:53:08.200] え、結局なん?結局これ結局これあれじゃねえかよ。結局何も進まないじゃん。これ会えないかな?どっかで会うと辛いから。
[00:53:21.119] この方がいいのよ。もうめっちゃもう全然相手にされてないですやん。もう全部聞いたか?全部聞いたかな?
[00:53:33.079] そっちの合うね。なんとなくカスクに見える時があるの。でも思い出そうすると消えちゃうの。
[00:53:53.799] うーん。ジェミビデオ本切るよ。例の病院
[00:53:57.200] のこと何か分かったら連絡するわ。頼んだ
[00:53:59.319] よ、ジェミ。ギリアン、それじゃバイ。
[00:54:03.400] えー、じゃどうすりゃいいのよ。じゃあ
[00:54:05.680] どうすりゃいいんですか?
[00:54:10.160] 間違えた。間違えた。
[00:54:14.640] 分かった。分かった。分かった。適当に
[00:54:15.839] かけた。
[00:54:18.640] ビフ君って何?ビーフ君って誰?誰だ?ビーフ君って。はい、カチン。はい、カチン。あれです。あの、また、あの、これ使えなくなったんで、もうちょっともう、もう切れたわ。新しいちょっとコントローラー探してくん。
[00:54:38.520] 笑笑。
[00:54:40.319] 新しいコントローラーもう探してくるわ。むかつくわ。
[00:54:55.920] さすがにプレステ4のコントローラー
[00:54:58.119] なら行けんちゃうの?
[00:55:00.960] プレステ4のコントローラーならいけん
[00:55:02.640] じゃね?たださ、このマイク流力がつい
[00:55:05.559] てるさ、コントローラー使おうとすると
[00:55:07.760] なんかさ、勝手に切り替わっちゃうんだよ
[00:55:09.559] 。なんか色々マイク入力がさ、
[00:55:12.480] OBS
[00:55:12.920] のマイク入力がこのコントローラーになったりしてさ、声乗んなくなったり。それがやなんだよね。プレステ
[00:55:18.599] 4コ好き。
[00:55:20.799] プレステ4
[00:55:21.200] のコント好き。ま、俺も嫌いではない。なかなか嫌い。ただ端子があの
[00:55:26.319] microUSB
[00:55:27.160] なのがほんまにゴミだと思う。そこだけは
[00:55:33.559] 5のより持ちやすい。
[00:55:36.359] 確かに俺5は全然使ってないから。ステ4
[00:55:38.640] も接続部分マイクロだよね。
[00:55:40.799] そうなんだよ。そうなんだよ。おい、しかもなん、ちょっと待って。何のおい、これなねえ、もうめんどくさいな。なんなのよ。何も聞かなくなっちゃったんだけど。今度ちょっともう勘弁して。ちょっともう今日ちょっと
[00:56:03.839] やっぱマイクロはあかんわ。
[00:56:08.119] いや、なんかこのアプリが動かなくなった
[00:56:10.839] んだけど。おい、ちょっと待ってくれよ。
[00:56:14.440] え、なんで?
[00:56:17.599] なんで動かないの?これ。
[00:56:24.039] え、
[00:56:26.200] 何の操作も受け付けなくなってしまった。
[00:56:32.119] なんもう。
[00:56:39.720] ちょっと待って。何これ?どうすんの?え
[00:56:42.000] 、落とさなきゃだめこれ。
[00:56:46.680] え、なんで?
[00:56:53.160] おい、おい、勘弁してよ、これ。
[00:56:57.480] いやでもアプリ落としたらデータ消え
[00:56:58.920] ちゃうもんな。
[00:57:08.079] 夜によって何にも音がないとこで止まり
[00:57:10.440] やがった。
[00:57:16.160] えへ、ちょっとこれどうすればいいの?
[00:57:18.319] これ
[00:57:19.839] どうすればいいすか?これ
[00:57:24.200] 勘弁してよ、これ。
[00:57:34.160] え、
[00:57:35.359] うわ、待って。ちょっとこれまたやり直すのだいぶしんどいぞ。なんでこれキーボードも効かないんだろう?これアプリ側の問題だよね、絶対。でももうこうなっちゃったらどうしようもないな。うわあ、これウンドウ閉じたら絶対データ
[00:57:53.599] 消えるよな。
[00:58:02.599] ちょ、
[00:58:04.880] え、もう勘弁してよ。これ動かなくなっ
[00:58:08.520] ちゃった。なんか
[00:58:12.280] 動かねえ。
[00:58:20.200] 邪魔だりえん。
[00:58:24.359] え、何?マジで
[00:58:26.240] 前のコントローラーに戻してもあかんの?
[00:58:29.599] うん。だめだね。今戻したんだよ。動かねえわ。おい、もうマジで勘弁してよ。これ
[00:58:45.359] 見ならご屋ビり。
[00:58:50.440] おつやで。
[00:59:02.039] あ、今こ疲れちゃん
[00:59:04.240] なんか動かなくなっちゃった。
[00:59:08.119] えー、1回消すしかないな、これ。
[00:59:12.319] ああ、だり。
[00:59:13.760] マジでダめだ。動かねえ。別パソコンはフリーズしてねえんだよな。なんでこれだけ引かないんだろうね。
[00:59:31.559] 行き
[00:59:38.880] だめだ。だる。マジで。
[00:59:45.720] あ、もうエラー落ちしたわ。なんとかなんちゃらアップなんて
[00:59:57.079] ビグサッドユンリー
[01:00:00.880] haveブワインスタンスオブディスアオープンアタイム。
[01:00:08.200] これどういう意味?
[01:00:10.200] これどういう意味ですか?なんかなんか
[01:00:13.720] なんかアプリ立ち上がんないんですけど。
[01:00:21.079] アプリ立ち上がんないよ。
[01:00:25.520] はあ。なんですけどこれ。
[01:00:37.359] ちょっとアプリ立ち上がんないんだけど。ポリメガのアプリが立ち上がんなくなった。もなんなの?マジでもうできないやん。できないやんけ。
[01:00:49.640] ちょ、もうダめだ。なんか今日ダめや。もう今日や。もう今日ダメかも。アプリが立ち上がんねえ。じゃあもうできねえよ、これ。
[01:01:06.559] なんこれ?ユオンリー
[01:01:13.400] haveone
[01:01:15.160] instスタンスオブディスアップオープンア
[01:01:20.559] タイムって言われてるな。何?
[01:01:24.079] 何?もうめんどくさいわ。
[01:01:28.160] やっぱ実機が1番なのかもな。
[01:01:33.400] これ翻訳しよ。何言っていかわかんね。
[01:01:44.640] 敵正言語やめろ
[01:01:46.640] ね。
[01:02:11.319] アプリはすでに起動してます。だってアプリ起動してないって落としてるやん。え、もう
[01:02:20.920] 君ならできるって言ってる。
[01:02:24.079] タスクマネージャーからさ、強制的に
[01:02:27.520] 落とせばいいんかな?て言ってもタスク
[01:02:30.039] マネージャーにも入ってねえんだよな。
[01:02:35.520] うん。タスクマネーダーにも入ってないね
[01:02:37.200] 。
[01:02:47.960] ダめだ。すいません。ダメっすね。
[01:02:51.319] ホリメカのアプリがあの立ち上がんないんで今日できないっす。なんだよ、もう、もう多分これパソコン
[01:03:02.119] 1
[01:03:02.279] 回再起しないとダメかもな。うん。なんかもうめんどくせえから。めんどくせえからいいや。
[01:03:08.079] あら、
[01:03:09.480] 多分ダメだと思う。これなんかパソコンを
[01:03:12.160] 1
[01:03:12.319] 回待機しないとダメなんだけど配信切れちゃうからな。
[01:03:17.400] じゃあ
[01:03:20.559] どうしよっかな。どうしよっかな。
[01:03:28.079] ルイルピエンカに
[01:03:35.319] まだダめ。いや、ダめだね、これ。多分時間とかの問題でもないな、これ。なんだよ、これ。
[01:03:46.400] ちょっとネットで調
[01:03:48.160] やだやだ。731やだやだ。731
[01:03:51.839] やだやだ。
[01:03:55.240] えっと、
[01:04:05.880] これってどうす?どういう状況なの?これ
[01:04:15.200] なわかんねえな。
[01:04:18.200] ああ、
[01:04:21.680] ま、今日はこの辺にしとくか。
[01:04:26.000] 今日はこの辺にしとくか。だって立ち
[01:04:28.799] だって立ち上がってももう1
[01:04:29.880] 回やり直しだもん。今日の分
[01:04:31.880] ちょ仕切り直してもう1回
[01:04:33.359] サッド
[01:04:34.079] もう1
[01:04:34.359] 回やろうよ。もうこれ無理や。無理や。これもうアプリが立ち上がんないことには何もできねえからな。
[01:04:45.279] これ
[01:04:48.000] 解消する方法ある?これ
[01:04:51.279] タスクマネージャーに
[01:04:55.279] 入ってないんだよ。タスクマネージャーで
[01:04:57.960] 残なんかさ、アプリ消してもなんかあの
[01:05:01.799] 立ち上がってるよってなっちゃってんの。
[01:05:03.720] なんかどっかになんか残っちゃってん
[01:05:05.079] だろうなと思うんだけど、タスク
[01:05:05.920] マネージャー見ても残ってないんだよね。
[01:05:27.640] うわいった。出た。出できた。できた。できた。できた。できた。できた。できた。きた。できたんだけど。ちょっと待って。できたんだけど。ちょっと待って。いや、できたんだけど。できた。できた。できた。できた。できた。できたけど。
[01:05:38.680] しちゃ窓びっくり。
[01:05:47.400] ちゃまぷんちゃめあ
[01:05:59.799] よう
[01:06:01.559] こん
[01:06:01.880] まさか
[01:06:03.559] あのまあデータは消えたよね多分これ多分データ消えましたよねも
[01:06:12.680] もうやる気なくすわ。マジで
[01:06:16.720] チまドベリーベリーくてファせ。
[01:06:20.079] しかもまた効かねえし。あたこんばんは。アプリがぶっ壊れて今日やった分のデータが消えたと思います。多分。やってセーブしてないもんだって。
[01:06:49.480] いい音。いい音だけど。
[01:06:58.960] ま、オープニングもかっこいいけど。ああ
[01:07:01.319] 、
[01:07:02.960] やっぱりな。
[01:07:05.760] やっぱりなあ。もうあ
[01:07:11.680] 。最初からな、
[01:07:16.160] もう
[01:07:18.119] 現代になってもこういうなんかゲーム機の
[01:07:20.799] そのフリーズとかと戦わなきゃいけないの
[01:07:22.960] ?俺は
[01:07:24.760] こんなに近未来のポリメガを使ってるのに
[01:07:28.000] 。
[01:07:31.640] それでは君の報告をもう1度復みか。
[01:07:35.400] しかもこれ止まってる。メタルギア
[01:07:38.039] レトロの最。それでは私が記録した映像を流します。
[01:07:46.520] ギブスンからの連絡を受けた君たちは
[01:07:49.960] M
[01:07:50.160] 地区の場跡へと直行した。ギブスンはその工場後地内で何者かに殺害されていた。
[01:07:59.279] 死体から検出した猛発皮膚組織により男女
[01:08:03.960] 2
[01:08:04.119] 名のスナッチャーによる反抗と推定された。一方ギブスンの調査内容を記録したロッピーディスクよりスナッチャーの重大な弱点が分かった。
[01:08:16.400] ギブスンはそれを知ったに逆にスナッチャーに殺されたらしい。
[01:08:23.400] スナッチャー
[01:08:24.040] 飛ばせへんの?これ
[01:08:25.600] つまりそれは人間とのそいと何?え?なんで?なんでよ?あのそれも再現されてんのか?これ。あ、間違って。リセットコマンド押しちゃった。違う。リセットコマンド押しちゃった。
[01:08:47.759] これあの
[01:08:49.600] PCエンジンCD
[01:08:50.560] ロムロムってスタートとセレクト同場しでリセットなんすよ。だコマンドが簡単すぎるでしょ。スタートとセレクト同時押して間違えて押すやん。これはまた始めからだ。
[01:09:04.759] いや、なんか飛ばせねえかなと思って。これ見たからもう見たからまあでもまあでもいいか。もう
[01:09:10.600] 1回見るか。
[01:09:21.080] それでは君の報告をもう
[01:09:22.960] 1度復してみようか。3
[01:09:24.679] 回目だけどな。
[01:09:25.400] ではメタルギア頼むよ。
[01:09:27.719] はい。それでは私が記録した映像を流します。
[01:09:34.600] ま、あれかもな。これで
[01:09:36.159] ギブスンからの連絡を受けた君たちはのでもみも頭に入るでしょ。
[01:09:42.719] ギブスンはその向上後内で何者かに殺害さ
[01:09:46.719] れていた。
[01:09:48.799] 死体から検出した猛発皮膚組織により男女
[01:09:53.440] 2名のスナッチャーによる反抗と推定され
[01:09:56.360] た。一方ギブスンの調査内容を記録した
[01:10:01.239] フロッピーディスクよりスナッチャーの
[01:10:03.440] 重大な弱点が分かった。
[01:10:05.960] ユスはそれを知っためにスナッチャーの逆だっけ?
[01:10:15.080] つまりそれね人間とのそい
[01:10:19.320] もう見たやん。これは見たやろ。これ
[01:10:23.400] 長時間が当たると眼化する。
[01:10:25.560] うわ、しかも
[01:10:26.199] 一種の惑星黒色種のようになるのだ。
[01:10:29.280] しかもさ、またこれさ、コントローラー効かないんだけどちょっともういい加減だめだこれ。
[01:10:35.280] コントローラー変えるね。さすがにさすがにコントローラー変えますみた見てて。
[01:10:40.159] そのために彼らの行動か時間が制約される。
[01:10:44.920] つまり日勝時間の回冬のしかも夜に限られた。
[01:10:51.760] 少なくとも彼らの人工費が定着するまで半年はかかる。彼らの弱点なんだよね。
[01:11:02.120] この半年間紫外線から見す必要がある。
[01:11:07.239] ちょっとね、先は許してくれ。
[01:11:09.320] その事実を元サイエンスコップとしての才能を生かして使えるよな。
[01:11:16.560] そのために真冬のこの時期でさえも日焼け止めサンスクリーンを塗っていたの。以上のことにより彼らの存続には欠かせない
[01:11:26.400] 1つの条件が必要となる。
[01:11:30.840] それは彼らの願化した人工メンテナンスできる季節病院である。
[01:11:37.719] そしてギブスにはそのメンテナンスを行っている病院を見つけた可能性がある。ギブスンの足取りを追うべく彼の胃袋内に残っていたクジの肉からクジラ料理を唯一
[01:11:52.360] 食べさせる店
[01:11:54.080] アウターヘブンへと調査はしみたいした。
[01:12:04.400] ちょっと待ってね。
[01:12:07.800] 店の
[01:12:08.880] ごめん。ちょっと待ってね。
[01:12:26.639] なんでこれはね、これなんでプロコンはこれ使えないの?なんでプロコン使えねえんだよ。プロコンは反応しねえわ。なんだよ。
[01:12:37.719] やだ、やだ、やだ、やだ。
[01:12:41.719] え、どうすればいいんだろ、これ。あ、めんどくせえな。どうしよう。
[01:12:47.840] プレステ5のコントローラーさ、マイクと
[01:12:50.639] か全部吸い取られちゃうんだよね。
[01:12:56.880] くそ
[01:13:12.719] え、なんか2個出たよ。
[01:13:16.080] Windows
[01:13:17.800] コンこコンなんかエレメントもなんか
[01:13:21.960] 2個出たよ。プレステ
[01:13:24.040] 4のコントローラーにしたら2個出たよ。
[01:13:27.080] あ、
[01:13:27.639] ドリコ
[01:13:28.199] あ、使えそう。使えそう。
[01:13:29.360] ベルベットの証言により
[01:13:31.239] ギブスが追っていたという男のモンジュ写真を作成。これでいっか。
[01:13:37.440] なんか2個出たけど
[01:13:38.560] 出来上がったモンタージュ写真を本部のマザーコンピューターガウディと称号
[01:13:46.199] モンタージュ該当にそのうのにこれ見たから
[01:14:02.360] その後ニールのにより大のを発見
[01:14:06.120] リザニール戦が閉まっちゃうと判明処理。
[01:14:08.719] ああ、おっぱいがうわ、おっぱいがブルン。
[01:14:11.840] レディニール同じくシスナッチャーと判明処理。
[01:14:14.080] ギブスンの手に逃げられていた猛発はフレディのギリギルスンはとフレディの
