[00:00:31.199] おしゃ、毒。
[00:42:45.240] ありがと思間ぐらいのありがよ。
[00:42:49.480] いや、わかんないよ。何時間とか結局前だってハンバーグ作るだけで
[00:42:52.839] 6時間買かってんだから。
[00:42:54.119] ありがたいです。5
[00:42:55.160] 時間ぐらいやってんだからま、めっちゃかかるよ、ちゃまく。うん。
[00:42:58.800] 多分俺かかるよ。うん。ハンバーグだけで
[00:43:00.760] 5時間ぐらいやってたもんな。
[00:43:03.200] 昼ご飯が夜ご飯になるんだから。
[00:43:11.520] 料理配信何がめんどくせえって片付けなんだよ。
[00:43:14.000] めどくさいの片付
[00:43:15.319] グラタンとか
[00:43:16.800] ああ、いいね。でもグラタンはなんか割と簡単にできそうじゃない?だってグラタンの元買ってきちゃうよ、俺。だって俺グラタンの元買ってきちゃう。
[00:43:25.760] 買ってこようね。片付けるまでが料理。笑笑作ろう。台無しやんけ。笑。ホワイトソース作れ。
[00:43:38.040] なんかだ、あ、あれも、あれも使いたいなと思ってんだね。え、あ、そっか。
[00:43:42.720] 木じゃないんだ、今。
[00:43:43.880] 木じゃないんだ。今だる。あのさ、お前がマジでゴミ。
[00:43:55.920] ピンマイクあるんやからを片付けも雑談配信やん。
[00:43:59.760] え、やだ。
[00:44:01.359] ああ、
[00:44:12.440] 断られること考えてなかった。
[00:44:15.720] やだ。
[00:44:16.920] 笑笑。
[00:44:22.000] なあ。ああ。あ、今、あえ。今なんかあ、コインゲームみたくなった。今なら洗えで勝たさせよう。
[00:44:30.559] 下手くそ。
[00:44:31.319] 今コインゲーム見たくなった。あの
[00:44:35.359] やだやだやだやだ。
[00:44:41.040] 料理配信の助手にじんちゃんつけて。
[00:44:43.839] ああ、
[00:44:46.359] 下打ちやめてね。
[00:44:47.839] あ、それもありなんだろうな。あの
[00:44:50.760] DSのお料理ビもう1
[00:44:52.240] 回作りたいんだよね。使いたいんだよね。
[00:44:54.319] DSお料理ビ
[00:44:59.160] いいね。ね、あれいいよね。
[00:45:01.880] 潰されて2200g飛びそう。
[00:45:04.000] やだ。え、怖いこと言わないでミさん。それ怖いこと言わないで。確かに。
[00:45:08.960] あれがちやしな。
[00:45:10.240] 確かに。怖いこと言うのやめて。潰されたら終わりなんだ。
[00:45:19.000] DS
[00:45:19.400] お料理使ってやったんだよ、前。大喧嘩しながら。
[00:45:26.200] たまヒ。
[00:45:27.880] たまヒュンやな。
[00:45:29.359] 相でボス行くんマッシュポ
[00:45:32.599] ロールキャベツ作るところみたい。
[00:45:37.079] オ、こいつは弱いっていうか、このクレス青いクレスがね、めっちゃ強いんで攻撃力オめっちゃ金溜またで。めっちゃ金たまたで。よし、ここで爆
[00:45:55.800] バ。
[00:45:59.079] ば、
[00:46:02.520] 爆入はい。これどうする?もう、もう
[00:46:12.280] ほ
[00:46:14.839] ポー
[00:46:15.680] バン。
[00:46:16.559] これはいいんじゃないですか?もうジャンプは
[00:46:20.880] ねう。ポ化けもんなった。
[00:46:23.920] 化けもんなった。行くで。
[00:46:25.520] マこ
[00:46:26.559] は早や。
[00:46:31.200] あ、
[00:46:31.640] はや
[00:46:32.319] マコで思い出したわ。あのマイケルジャクソンムーンウォーカーもだいぶきつかったあれ。マイケルジャクソンのムーンウォーカーもだいぶきつかったな、あれ。
[00:46:41.160] 笑笑
[00:46:43.280] 最初おもろかったんだけど。
[00:46:44.480] これ好きだった。
[00:46:45.599] 最初おもろかったんだけどさ。
[00:46:48.119] 最初おもろかったんだけどだんだんきつくなってきたしい。
[00:46:52.440] あれめっちゃむずいよ。
[00:46:54.760] 出落ちすぎる。
[00:46:55.720] 出落ちすぎたね、あれね。
[00:46:59.200] BGMめっちゃいいんだけどね。BGM
[00:47:01.079] めっちゃいいんだけど。
[00:47:04.200] レア番だったって分かった時が
[00:47:06.280] 1番暑かった。
[00:47:07.119] そう。しかもさ、俺のそのやつめっちゃレアなんだよ。あのスリラーが流れるバージョンなんだよ。
[00:47:12.960] あ、補のやつもおもろいよ。おもろかったよ、あれ。ま、もうクリアまではやらない。あれ、あれも確かリクエストだよな、あれ。確かさんのリクエストじゃなかった?マ
[00:47:21.880] さんのリクエストだったよ。あれバージョンで曲変わるんだ。
[00:47:25.559] そう、初期のバージョンにしかあのスリラーは流れないんだよ。
[00:47:32.680] シャカチか
[00:47:35.040] しちゃ。あ、
[00:47:38.119] ちゃまくんの陸あれ好きだった。アンチャーテッド
[00:47:40.880] アンチャはなんだかんだ文句言いながら最後までやんだ。いつもおもろいから。
[00:47:48.000] あれ見たい。
[00:47:51.559] まだリクエストまリクエリクエスト来ないとやらないだろうな。
[00:47:58.559] お前な、お前なんなんだよ。
[00:48:01.520] プレイしたことあります。
[00:48:02.640] いや、どうしよう。これ楽トリ行く。
[00:48:05.480] SM
[00:48:05.800] 長教師瞳やったことがない。やったことがない。
[00:48:10.839] やったことはないけど存在は知ってるよ。え、どうするこれ?楽行く?いや、行けるな。ここのボス弱かったよね。確かね。
[00:48:18.480] テトリスみたいなボスだよね。あのいや、ちょっとやめて、やめてね。ちょ、だから今やられてもだから今やられてもやらないって。
[00:48:32.000] 笑。あ、
[00:48:34.760] こういうことになりますから。
[00:48:37.720] 死ぬまでにしてね。
[00:48:39.040] 死ぬまでにします。ありがとう。死ぬまでにします。ありがとう。
[00:48:44.240] 20万パッと使える男かっ。
[00:48:47.960] 20万パッと使える男かっけえ。
[00:49:04.240] 嫁の斧
[00:49:05.839] の覚悟は違うな。こんばんは。お店のマク
[00:49:09.960] こんばんは。
[00:49:13.960] いやだるい。
[00:49:16.160] も弾は込めてあります。セームスゴッド。
[00:49:21.599] いや、やっぱ攻撃力が弱ええからよ。攻撃力が弱ええからよ。
[00:49:27.760] ならリすでにあるっぽいけど。
[00:49:32.160] よし。いいぜいぜ。やっぱ金貯めたら余裕なんよな。
[00:49:45.640] まあまあ、そのうちやるよ。そのうち。今、今別、今別にそんなあのアンチやりたい気分じゃ
[00:49:53.319] ね。
[00:49:54.520] 今そんなアンチの気分じゃない。
[00:49:55.880] アンチャならプームレイダーも好きそう。レダ
[00:49:58.960] でいい。マジで。そのうちね。
[00:50:01.599] そのうちね。トムレイダーね。
[00:50:04.160] 3
[00:50:04.400] 年後ぐらいでいいよ。
[00:50:05.640] ありがとう。そうやって言ってくれると俺も気が楽だぜ。
[00:50:08.119] 鬼太郎やん。
[00:50:09.240] よくわかった。よく太郎じゃなくて金太郎な。
[00:50:13.160] き太郎、北太郎、北太郎じゃないだろ。北太郎は北太郎、北太郎さんでしょ。何気にき太郎さん俺の配信見てくれてる時ある。
[00:50:25.520] かった太郎。
[00:50:29.040] き太郎。多分北太郎さんみたいな人がリクエストめっちゃやってくれるんで。リクエストやってもさ、
[00:50:36.400] 文句も言わずに、え、まるまるさんの思い出のゲーム面白いね。なんて言いながらやってくれるんだろうな。多分な。
[00:50:46.640] これさ、行けないんだっけ?あ、行けねえんだ。
[00:50:49.720] やってくれそう。
[00:50:52.799] しまっちゃうやつだよね。ゲーム
[00:50:56.359] するほど何でもうまいよね。
[00:50:57.920] いや、あの人うますぎるんだよゲーム。マジでな。マジでゲームうますぎる。はあ。
[00:51:03.760] ゲームうまいとるから辛くないんかな?
[00:51:07.280] Twitch会の両親。笑。
[00:51:09.440] いや、行けないんですけど。
[00:51:14.680] え、なんでこれ?
[00:51:15.400] けそうなのに。肩もっと入れて。
[00:51:19.400] もっと肩入れるか。もっと野球部みてな。もっと肩入れろ。だめだ。行けねえ。笑。
[00:51:30.599] あれ前行けなかったっけ?
[00:51:33.319] 惜しい。
[00:51:34.359] 行けねえ。
[00:51:34.960] に甘い。
[00:51:35.760] あれ?前も前行けたよな。前行けたよね。これね。
[00:51:43.680] い火ね。いや、石動かすとさ、あ、動かせるん?これ愛じゃなくても動かせるんだ。
[00:51:55.079] 石が1個右に移動できてればおい、
[00:51:58.079] 言えよな。
[00:51:59.200] 笑笑。
[00:52:01.079] え、ちょ、それでも届きません。それでも届かないから。お、
[00:52:04.160] たよ、
[00:52:05.240] それ。こいも言ってた。
[00:52:06.839] レレレ。何も覚えてない。ルルルレ。何も覚えてない。ラよし。痛い。
[00:52:24.720] あとこないだも入れて届かなかった。
[00:52:27.319] 嘘。届いてた記憶が俺の記憶では届いての人みたいになってきた。
[00:52:33.119] あの、あれ、昨日のな、あ、ここね。はい。はい。ここ、ここ、ここ。
[00:52:38.839] 笑笑。
[00:52:39.559] ここです。ここ。ここ。
[00:52:48.680] 妹もいますと。妹じゃん。
[00:52:50.640] さす。さすが。お、いいね。分かってるね。お前らいいぞ。
[00:52:56.880] やっぱあの
[00:52:59.359] 配信でちょっとボケて想定通りのツッコミ
[00:53:02.720] が来た時が1番嬉しいのよ。
[00:53:07.040] 俺の想定してる突っコみが来た来たら
[00:53:10.160] 嬉しいよね。やっぱねポイント上げたい。
[00:53:13.960] それができた人にはポイント上げたい。
[00:53:18.880] わし
[00:53:20.880] わちょっと違うけど。
[00:53:23.839] わしはちょっと違うけどね。
[00:53:28.240] ボケム視されたら悲しいもんな。がっくりした。
[00:53:31.480] がっくりした。がっくりした。
[00:53:35.200] 逆にコメントでボケて何それ?言われた時泣きたくなる。
[00:53:40.119] あ、俺に。あ、逆もしかりなんだ。ごめんな。俺も拾えてない時やるから。
[00:53:46.760] によくある。
[00:53:48.119] 稀れによくあるよね。
[00:53:49.720] 俺に何それ?さっきまで楽しそうに話してたのにコメント乗ってきたら何それ?何それ?いもこいもこ何言わからん?
[00:54:01.440] チまく0時すぎると基本何それだよ。
[00:54:06.359] 難しいこあえんルレルんぐんぐんぐん
[00:54:14.160] ゴロり。
[00:54:15.559] ちなみにここさ、この
[00:54:18.799] 20
[00:54:19.160] 円ってさ、ゴロリ何それ?何それ?ね、ゴロリのね。
[00:54:27.000] 何それ?
[00:54:27.680] 何それ?何それ?
[00:54:29.720] お、笑笑。
[00:54:32.319] 分かるでしょ?何それ?で、どうすんだっけ?石落とすんか?これ。
[00:54:38.280] そんなの面白くないようだ。笑笑。
[00:54:42.880] いいね。いモこは1
[00:54:43.680] つ上を行ってくるからな。こういうとこやっぱレベルがね。
[00:54:46.280] 同じコメントしようと思った。笑笑
[00:54:50.319] こんなの面白くないよ。だ
[00:54:53.200] 笑笑
[00:55:00.319] 重なって出てこないで。重なって出てこないで。重なって出てこないでね。
[00:55:05.000] かデドん
[00:55:14.400] レトロゲー配信で見てるとキャラが消えるのだけ辛い。
[00:55:17.760] まあね、あのスプライト上限がありますからね。スプライト上限がお前には分かんないだろ。ジュースじゃないよ。スプライトっていうのは横に並べるキャラの数っていうのが決まってるんですよ。
[00:55:29.119] スプライト飲みたい。
[00:55:30.480] 分かる。美味しいよね。ええ。
[00:55:38.119] なんでなんですか?コナミって言われないと気づかないかも。な
[00:55:42.000] んでって言われてもそういうもんなんだよ。コナミって言われても気づかない。
[00:55:51.000] でもやっぱコらしさあるんだよ。コなみらしさは。これまんまグーニーズをそのまま進化させましたみたいな感じ。ぬもうポーズとか
[00:56:01.839] こみか。
[00:56:04.160] 結構粉みっぽく感じる。ルルんルン曲がいいからな。
[00:56:12.000] どマジで弱いな。
[00:56:13.680] どマジ弱いんだよ。こんな強そうなさ、技なのに。この白いの倒すのに
[00:56:18.839] 4発も使うんだぜ。
[00:56:23.599] これ感情でBGMの音定が変わんのもゲマ
[00:56:26.359] によってそんなに違うの?
[00:56:33.000] 何?うーん。ま、これはだいぶあのゲームやってないとわかんないよね。ああ、回復する。一応回復しとこう。回復しとくわ。で、ここのボス何だっけ?ここも接近戦だよね。確か
[00:56:48.440] Dコングみたいな鳴き声した。
[00:56:50.640] おなんかわかんない。のりはよく落ちるしな。
[00:56:56.720] オ、
[00:56:57.960] 笑笑。てんてんててんてんててんてんてんてんてんてん。
[00:57:05.880] あのDコングあのドンキーコング2
[00:57:08.640] ディシコングアンディコングであの
[00:57:11.440] D
[00:57:11.760] コングがクリアした時ててんててんてんててんてんてんてんててんてんちゃめ
[00:57:16.559] あれむかつくからぶん殴りたくなるよな。
[00:57:18.359] 調子乗って猿のくにダンス
[00:57:20.039] スのとこ。
[00:57:20.680] そう、ダンスのとこ。
[00:57:22.119] ゲ、あのコースクリアした時にラジカ持っててんてんててんてんててんてんてんてんてててんてん殴りたくなんだよ。猿ルのくせにあまり人間をなめるなよ。
[00:57:32.880] ディクシー派は
[00:57:33.960] ディクシーはわかんない。ごめん。た
[00:57:37.200] ディクシーは俺あのあのゲームやったことないから。ただ友達が子供の頃横でやたっちゃんが横でやってるのずっと見てたから。たっちゃんが横でやってんの横ずっと見てたからね。そのそこだけ。
[00:57:48.839] え、ボスでこっちの方がいいんね。怖いなあ。
[00:57:52.359] やったことないんだっけ?
[00:57:53.599] やったことない。やったことない。こいつも強化しとこう。こいつも強化しとくわ。こまあまあまあこんまあまあまあまあまこまあまあまこんなもんにしにしとこう。
[00:58:11.359] 確かこいつはと相互なの?
[00:58:18.079] あれなんだっけ?あの
[00:58:21.960] メガポリゴンショックなる。むず
[00:58:28.079] なんとかワイズ
[00:58:29.480] デイビッドワイズな。ちょ待って。むずくね。待って待って待って待って待って。
[00:58:35.760] 死ぬぞ。
[00:58:38.640] 待って。
[00:58:41.440] いや、こんなん、こんなん、こんば。え、
[00:58:45.000] むずいよ。
[00:58:51.920] これさ、各ステージでさ、最初1時間、1
[00:58:54.960] 時間貯金だな、これ。各ステージで
[00:58:59.000] これ避けようがないもんだって。こんな
[00:59:04.079] いや、当たんね。
[00:59:09.359] やだ、やだ。ねえ、やだ。
[00:59:11.680] あと600。
[00:59:13.359] やだ。お金ないなった。
[00:59:19.480] 2000あったのに。
[00:59:22.319] お金ってすぐなくなっちゃうよね。
[00:59:25.200] 可愛くない顔やめて。
[00:59:26.680] お金ってすぐなくなっちゃうよな。ぐーぐ使うの一瞬。リアルだね。
[00:59:41.440] それ誰のダンスだっけ?静か。誰のダンスとかわかんない。てんてんててんてんててんてんてんてんてゆきしか名前出てこなかった。
[00:59:53.960] い美ゆなんかな、これ。このこの
[01:00:01.000] だよ。
[01:00:01.599] 可愛くない?このムービーシーンだって。
[01:00:04.319] ほら、まだあとよ、あと4つもあるよ。
[01:00:07.079] みんなあと4つもあるよ。
[01:00:12.280] えー、
[01:00:14.799] ちょっと待ってね。違うな。う、やった。
[01:00:16.799] うちゃの秘宝を手に入れたぞ。でもっと、
[01:00:19.839] これは4個なければダメなんだよ。ダメな
[01:00:22.640] んだろ?え、あと3個もあるのかよ。
[01:00:27.200] さマべした出すです。何が何マスベって
[01:00:32.520] もうなんかそなんかそれはそういうのは
[01:00:35.119] なんか良くないわ。そういうのはなんか
[01:00:37.400] 良くないわ。そういうのは良くない。
[01:00:41.680] そういうのは良くないな。そういうのは
[01:00:43.119] 良くないと思うわ。なんかそういうの良く
[01:00:45.119] ないわ。ほら。ああ
[01:00:49.559] 。でもこれでチャビがマスの意味を知って
[01:00:51.839] いるという。ああ、ボケツ掘っちゃったね
[01:00:54.480] 。
[01:00:56.400] はい、やきます。よろしくお願いします。
[01:00:58.520] 笑笑うほ。た、
[01:01:02.520] うほ。むほ。はい、やってきます。よろします。もうこ、これもうあれだな。コインにさ、コインにさ、あのもの言わせてさ、クリアしちゃうのがいいよね。
[01:01:20.280] ありがとう。ありがとうございます。
[01:01:23.520] 見えたくなるな、ここ。青くて
[01:01:25.319] でもここでもね。おな、でもね、あれだよな。
[01:01:27.799] あの、目慣れてくるから1
[01:01:29.160] 時間もしてれば、またここの
[01:01:31.119] BGM
[01:01:31.440] いいんだよね。トゥルルルン。あ、間違って取っちゃった。間違って取っちまった。
[01:01:41.440] さっきのとことどっちが好き?
[01:01:43.799] え、こっちのB
[01:01:44.480] でもいいよ。めっちゃドゥドンドゥドンドゥルドン。
[01:01:53.680] このプリルリの音どっかで聞いたことあんだよな。
[01:01:57.920] てわ、ここ絶対木の状態で来るべきだったでしょう。ま、ドアあるけどドアいらんな。ドアいらんな。
[01:02:08.079] 水ステージみたいな。
[01:02:10.279] 水ステージなんじゃない?水流れてるもんね。いや、むずい。これ潰されんよ、絶対。あ、マジ?リフトで死ぬのだけはマジでやめよう。
[01:02:20.839] 水流れてるの?
[01:02:22.480] うん。水流れるとこある。
[01:02:26.240] ドゥルルルデクデクデクデクティリルり
[01:02:35.279] えー、
[01:02:39.160] 足が早えからいいけどさ。
[01:02:43.200] 水ステージBGMがいか難しいのどっちか
[01:02:46.839] ああ。ドンキーコングのドンキーコングの
[01:02:50.400] 水ステージの曲もめっちゃいいもんね。
[01:02:55.279] あとトゲトゲタルメロな。どうせどうせこの話題出すと絶対言うんだよ。トゲトゲタルメロが神。分かったか?それはそんなの分かった。上で話してんだよ。こっちは
[01:03:08.799] 怖い。
[01:03:09.599] すいません。ごめん。ごめん。
[01:03:12.079] トゲトゲたる迷路が。もういい。て分かってるって。それはそれは分かってる。それは分かった上で言ってる。
[01:03:26.520] もう下手なのか。ルルリル
[01:03:31.839] タルタル鉱山もいい。鉱山いった。これはタル水の曲だったてんね。あの、あの、あの、あの最初、あの、カンカンカンカンのやつでしょ?あれもいいよな。やったことないけど。うん。
[01:03:48.799] 曲しか知らない。デイビッドワイズと相互フォローだからな、俺。なぜか
[01:03:55.319] やれ。
[01:03:56.799] ドンキーコング。ま、ありだよね。確かにありだよね。そういうのやるのも。でもチまゲーってさ、チまゲーってなんかさ、なんかあの、やっぱレトロゲーム詳しいって思われたいからさ、そういうメジャーなゲームやらないじゃん。こういうなんか全然誰も知らないゲームやるじゃん。リオとかキーとかは。
[01:04:19.039] なんかそんなり
[01:04:22.200] そんなん別にみんなやってるじゃんって思っちゃうんだよね。うスだっておめらうシャスの配信なんか見れねえからな。見れねえからな。こんなもん。
[01:04:35.559] 誰がTwitch
[01:04:36.240] でうシャスやってんの?ちょっとどうしよう。ここまた
[01:04:41.880] 1000円ぐらい食らなかった
[01:04:43.440] なあ。
[01:04:43.760] そうでしょ?どうしよっかな。ジャンプ、ジャンプ上がんないんだよね。
[01:04:48.200] バニーガーデンおじさんこんばんは。
[01:04:50.480] バニーがか疎ぜやぞ。じんちゃんなんかさ、なんかさ、じんちゃんがさ、バニがプレゼントしてきたんだけどなんなん?なんか朝見たらんか知来ててさ、バニがプレゼントしてくれてた。ありがてえ。
[01:05:05.480] ありがてえ。
[01:05:06.200] ありがてえ。やるよ、じゃあ。あれ?あれやるかな。
[01:05:08.839] お風が代わり。スケベ。
[01:05:10.760] バニガニ。
[01:05:12.079] バニガニ。うん。
[01:05:13.359] バーニンガがうん。ウバウンバーニンガが
[01:05:16.160] 10
[01:05:16.400] マジか10
[01:05:17.440] がねしてくれたんだよ。岩おたんこんばんはね。岩おたんこんばんは。ね岩さんこんばんの始まりさ。
[01:05:23.480] またちょっとこれさ1000
[01:05:24.559] 円貯めさせて。ここで1000
[01:05:26.000] 円貯めさせて。
[01:05:26.720] バーニングナウマンダー。
[01:05:29.960] 新しい子気にな。
[01:05:31.000] レシラム今もう芋はすごいわ。バーニンガってもう拾えるんだ。
[01:05:41.359] バーニンガがあって、バーニンガってあのレスラムに話しかけた時のあの鳴き声ね。
[01:05:48.359] キラがでるねん。バーニンガかってカタカナか。誰も気づかないだろうなと思って今言ったんだよ。気づくな。セガがやったよな。セガが。でもセガもあれさ、セガも結構しんどかったね。
[01:06:01.319] 最初おもろかったんだけどさ、なんかあの
[01:06:04.520] 虚ム
[01:06:05.160] なんかそのそうなんかね、途中からねなんてうの俺のキャパを超えたメタ発言というかちょっとしんどなってきてたね。あれクリアしたけど。あれクリアできなかったんだっけ?なんかバッドエンドだったんだっけな。なんかあのエンディングが何個かあったんだよね、確か。あれただなんかエンドだったな。エンドだった。
[01:06:35.319] これもっといい稼ぎの場所ねえのかな?ま
[01:06:37.640] 、1000円溜まったらもういいでしょ。
[01:06:39.200] さすがに1000円貯まったら
[01:06:44.119] これだってさ、1112円でさ、スピード
[01:06:47.680] 上げれるけどこれ上げた方がいいの?これ
[01:06:50.160] 上げた方がいいんかな?これ以上スピード
[01:06:51.920] 必要か?
[01:06:58.920] 1215円だけ?1120円なりそう
[01:07:03.240] 確かになさっきリーさんが言ってたけど、
[01:07:05.559] あのグラディウス状態になっっちゃう?
[01:07:07.079] グラディウス状態
[01:07:13.279] や、ここBGMマジいいわ。レレレ
[01:07:24.520] 。ここのBGM、ここ、この、この
[01:07:27.760] 、ここめっちゃいい
[01:07:31.119] なあ。ここめっちゃいいよな。おめえらに
[01:07:34.960] 行ってんだけど。おめえらに行ってんだ
[01:07:37.000] けど。
[01:07:39.319] 急に黙りやがって。さっきまですごい。さっきまですっごいみんな喋ってたのに。ベリーベリーク。
[01:07:47.000] あの1
[01:07:47.240] 人がなんか急にパタッとなくなるよね。うちって。うちのコメントってなんかあの急にパって
[01:07:56.760] なくなるねん。結構なんかわかんない。
[01:08:01.079] 別にどっちがいい悪いとかじゃないけど配信しててさ、やっぱ構わず
[01:08:06.920] 1
[01:08:07.079] 人でずっとブーって喋るやつもいるじゃん。いや、いいんだけど。別にいいんだよ。いいんだけどね。いいんだけど。うちうちってさ、そういうそのそういう人いないよな。パンって切れるね。なんかマジでだから死んだんかなって思うんだよね。なんか急に全員死んだって。
[01:08:28.719] これがマリス。
[01:08:31.960] 賢者タイムは突然に配信切れたか不安にな表明していい?
[01:08:37.839] お気持明していいよ。いいよ。いいよ。一瞬何?お気持ち表明していいよ。おきお気持ち表明して。お気持ち表明川で遊んでたら一瞬みんなでも一緒にな。リルりンティク。
[01:08:57.440] いや、今日はさ、クリアはできないかも
[01:08:59.400] しんないけど、ちょっとこの次のステージ
[01:09:00.920] ぐらいは見てえよな。この次のステージ
[01:09:03.839] ぐらいは見てえよな。
[01:09:06.440] こう貯めて体力を常に回復できるようにし
[01:09:09.480] ながら行かなきゃだめよ。
[01:09:16.719] セーブポイントが欲しい
[01:09:18.279] なあ。これセーブねえんだもん。で行く
[01:09:20.560] 言ってたのに。
[01:09:22.719] クリアだからクリアするためなんてうの?多分クリアするにはもう多分ね、時間めっちゃかかるんだよ、これ。これやんなきゃいけないから。だ、今日この回ではクリア無理だけど、そのクリアを想定したプレイっていうの、このちゃんと貯めて前に進むプレイをしていきます。そう。いや、ハッチあれね、
[01:09:41.440] PSPありがとね。
[01:09:42.679] なし。来週の土曜日にさ、じんちゃんとさ
[01:09:45.000] 、あの、モンハンやるんだけど、PSP
[01:09:48.400] 買わなきゃいけねえって言ったらなんか8
[01:09:50.159] が貸してくれて送ってくれたんだけど。
[01:09:53.040] そう。めっちゃあの、ありがてえ。8に1
[01:09:55.360] 個借りて、で、俺は元々持ってるやつある
[01:09:57.040] から。それでできるようになりましたわ。
[01:09:59.000] ありがとうございます。んでさ、そん中に
[01:10:00.400] さ、なんかしんねえけどさ、あの、
[01:10:01.800] エグゾディアのフィギュアが入ってて、
[01:10:04.800] なん、叔父が俺につってくれたらしいんだ
[01:10:06.920] けど、マジでありがとね。なんか
[01:10:09.880] お父が俺にプレゼントっつって
[01:10:12.960] 笑笑
[01:10:13.480] エグゾディアのフィギュアくれたんだけど
[01:10:15.280] いいな。
[01:10:16.280] なんかそれエグゾディアのフィギュアさ、ただのエグゾディアのフィギュアじゃなくてなんか箱見たら横になんか
[01:10:24.040] なんかあの腕に腕に充電のコードを負けるぞみたいな書いてあっていや別にそれどんなんでもできますやんていう別になんかその
[01:10:34.080] サボサモ画期的なみたいな感じで書いてあったけどいや別にそれどんなんでもできるよなと思って
[01:10:41.159] 腕にコ度が負けるみたいな書いてあっていや別にそれどれで
[01:10:45.480] でき別にエグディアじゃなくてもできますけどみたいな。あ、これ以上がんない。あ、これ以上がんねえんだ。オッケー。じゃあこれで行こう。じゃあクリアしていくよ。やっぱ
[01:10:58.159] 1200貯めていい。キリ悪いから
[01:10:59.760] 1200貯めていい。どうせHP
[01:11:02.080] 回復するから。
[01:11:02.600] 干渉剤のエグゾディア。
[01:11:04.080] 干賞剤。そうそう。でかい箱にさ、
[01:11:06.719] PSP
[01:11:07.199] が動かないようにピチッと入ってた。ありがとうございます。飾るわ、後で。
[01:11:14.199] いや、あのさ、あれもやりてんだよな。あのなんだっけ?プラモもやりたいんだよね。プラモもはやりたいんだよ。でもさ、プラモも高いんだよ。
[01:11:28.800] 不なモンハンやり当なる。
[01:11:30.800] そうなんだよ。今の便利すぎるモンハンはちょっと俺たちのモンハンじゃねえよな。楽しいけどね。楽しいけどね。
[01:11:42.639] オ、
[01:11:45.560] ここって何の遺跡だったっけ?ああ、木。
[01:11:49.040] あ、木か。じゃ、木取らなきゃいけないん
[01:11:50.840] だ。
[01:11:55.480] あれ取んなきゃいけないんだ。またじゃあ
[01:11:56.960] あれ取ってやり直しな。だリーな。ちょ、
[01:11:59.360] ちょっとちょっとお前らいや、どけ、どけ
[01:12:02.920] 。クそルルル。
[01:12:06.560] お前がで結局お気持ち表明って何だったん
[01:12:09.239] だ?結局お気持ち表明って何だったんだ?
[01:12:20.080] あ、ダメなんだ。
[01:12:24.600] よしよし。ここクリアしちゃおうぜ。ここ
[01:12:27.639] クリアしちゃおうぜ。
[01:12:36.840] ここさ、楽取っちゃだめだよね。間違って
[01:12:39.320] も取るなよ。オ
[01:12:47.120] いや、ここも意外とむずいんだよね。
[01:12:52.840] ね、これ2段ジャンプで行けない?
[01:13:03.000] いや、行けない、行けない。ちょっと
[01:13:04.440] ギリギリ行けないんか?
[01:13:07.080] え、ギリギリ行けない。
[01:13:11.280] 行った。
[01:13:13.600] オー。鼻かい。
[01:13:17.159] ここな何だっけ?このボス木。木のボスっ
[01:13:19.000] て何だっけ?炎だ。炎炎炎。あいつは
[01:13:26.840] もうこんなダメージ覚悟なんだよ、ボスは
[01:13:28.520] 。
[01:13:34.880] オケー。いいよ、いいよ、いいよ、いいよ。オ、さて、次は、次はどこ行こっかな?
[01:13:46.520] 柵の柵。
[01:13:47.480] 柵の柵だね。
[01:13:48.280] パチパチパチ。
[01:13:49.480] もう、もう分かってきましたから。もう分かってきましたからね。行ってくるぜ。頑張れよ。頑張れ。やっていきます。
[01:14:02.960] さあ、ここはどんなとこですか?マジリフトで死ぬのだけはマジでやめよう。リフトで死ぬのだけはマジでマジでダめ。それか
[01:14:09.960] 1
[01:14:10.080] 番やっちゃだめ。今までの努力が全部消えるからな。
[01:14:18.080] カパンとラーメン食べながら見るちゃま
[01:14:21.159] ジャンクやな。いいな。痩せてる人ってそういうことやっても太んないんでしょ?俺がそれやったら多分ね、それ
[01:14:28.520] 1回やるだけで1kg太るからね。
[01:14:32.280] おかしいんだから。食べた量より太るんだから。いや、嘘。食べてない気になってるだけで食べてるんだけどね。ええ。何?カジパンとラーメン食べるってこの時間になんでそれで太らねえんだよ。
[01:14:48.880] 失業保存の放送。
[01:14:50.800] いや、そうよ。そうよ。壊れるからね。マジで
[01:14:54.120] めっちゃりやすいよ。だから運動してる。
[01:14:57.360] あ、えらい。そ結局運動なんだよね。
[01:15:00.679] 結局ちなみに今日はもう仕事遅かったから俺はウォーキングできてないから若干萎えてる。やっぱ消費しないと
[01:15:10.360] そうなんだよな。結局ね、食事制限だけで痩せるなんて無理よ。食っちゃうもんだって人間お腹空いたら明日早く起きてさ、俺はさ、あの運動しに行くから
[01:15:24.880] こんだけ喋ったら消費してる。
[01:15:26.920] いや、それもそうだよね。いや、多分ね、
[01:15:29.199] あのね、配信も多分ね、2、3時間やれば
[01:15:32.120] 100kカロリーぐらいは消費してると
[01:15:34.440] 思うんだよね。
[01:15:37.920] あ、ここなんだ。楽きゃダメこ。
[01:15:43.280] あんま強ないね、これな。お、お見んばう
[01:15:46.920] 。クーキス
[01:15:48.600] 今日もうすれ
[01:15:51.440] は無理だな。さすがに
[01:15:54.840] こいつうぜえ。
[01:16:05.000] いや、このさ、青鬼がさ、
[01:16:06.760] 神ゲに神配信者。
