[00:00:36.280] うい。お疲れ
[00:38:32.960] 国ご国単純なゲームなんだがなんだがそれもね、めちゃくちゃ難しいんですよ。あ、壁を掘るんだ。ハンマーも壁を掘るんだ。
[00:38:45.119] もう2
[00:38:46.240] からいいんじゃない?金玉を集めるんですか?説明書俺たちにも見せて。
[00:38:51.800] なんか主人公めっちゃかっこいいわ。主人公意外とイケメンでした。ビッグ
[00:38:57.400] 13世誰だ?ビッグ
[00:39:00.960] 13世らしいよ。
[00:39:03.960] 確かに意外と
[00:39:05.079] 意外といや、意外と意外といけてる。あ、ワルお疲れ。
[00:39:08.680] 名前ダサ。
[00:39:09.640] わろお疲れ。レートありがとう。
[00:39:12.280] ワルお疲れちゃん。どうもチまゲーム。今日から新しいゲームやっていく。こな間だ。お疲れ様ね。こないだ。お疲れさん。えー、ハンマーは壁壊すらしいよ。じゃ、別にいらなくない?じゃあ別にいらなくない?
[00:39:28.760] わざわざうこんばんは。
[00:39:30.720] まさん、お疲れ。お疲れさん山です。どうもこんばんは。
[00:39:37.200] 今日はMSXの、え、MSXのLの封印と
[00:39:42.240] いうゲームをやっています。MSX実機で
[00:39:44.880] やってます。よろしくお願いいたします。
[00:39:51.079] シクシとな。
[00:39:53.760] で、これ取る。これ取るだ。今日丁寧だ。
[00:39:59.640] やっぱ丁寧さ大事。うん。丁寧大事だなと
[00:40:02.040] 思って。
[00:40:04.640] ムスックス実機でやってます。らしげであった。とったら
[00:40:09.280] その顔はあのどこがほらしげであった?
[00:40:11.839] 良いじゃん。
[00:40:15.480] その顔はどこか誇らしげであった。オ、なんで危ね。バラバンバブ。よし。なんてったってコミだからな。なんて言ったってコミ。あ、めろ。
[00:40:29.839] ハンマー使ってよ。
[00:40:31.160] ハンマーだから壁壊すだけだから別にいらないんだよ。
[00:40:34.200] いらないんだよ、別に。よし、ステージ
[00:40:39.319] 5。
[00:40:40.839] あと55ステージ。お、
[00:40:43.440] BGM変わった。
[00:40:45.960] BGM変わったよ。あ、
[00:40:48.280] うん。不けは不け派。
[00:40:51.520] 良き。BGM良きだよ。BGM良きぞ。
[00:40:56.680] いいね。神BGM
[00:40:58.599] ねえ。あれ、スコップもあるよ。スコップも出てきたの
[00:41:01.760] の。ゲムのBGM期待できるのが強い。ぐ
[00:41:06.920] うわ、お前何?お前だ。こっち来んのかい?こっち来んなや。
[00:41:11.760] MSX
[00:41:12.440] の確かにめっちゃ曲全部いいよな。今んところレイド多くね?今日レイド多くね?なんだ今日珍しい珍しいレイド多いな、今日。しかも囚人さんからのレイドだ。だろ?
[00:41:27.839] いや、嬉しい。嬉しい。ありがとう。ありがとうね。囚人さん、こんばんは。
[00:41:31.319] ありがとう。ありがとう。
[00:41:32.839] 声優さんリスペクトして自分も頑張って作りました。明日死なない。
[00:41:37.599] 何が何が何が
[00:41:39.319] みんなかす豚作りもりもリ食ったブスか。
[00:41:42.680] 何何何何何なんてなってんのそれなってんのそれなってんのそれ今俺ハンマー持っちゃってんだよな。俺ハンマー持っちゃってんだよね。ハンマーてさブルついに場だ。
[00:42:01.040] 笑笑。
[00:42:01.599] あ、だめだ、これ。違うな。
[00:42:07.599] 名前しか知らないゲームですが見に来ました。
[00:42:10.800] ありがとう。お、なんだ。あ、もういい。そういうのは、そういうのはいいよ。シドラさん、そういうのはいい。そういうのはいいから。
[00:42:21.359] ごめん。そういうのいいから。
[00:42:22.520] 笑笑。
[00:42:25.040] ごめん、そういうのいいから。
[00:42:26.400] ちゃまベリーベリーくてファせ。
[00:42:31.400] ごめん、ごめん。そういうのいいかな。ごめん。
[00:42:35.720] 期待させちゃったね。
[00:42:37.000] うん。ごめん、ごめん、ごめん。意外と簡単じゃねえか、これ。ちょっと待、
[00:42:53.160] 才能あるのかも
[00:42:54.839] なあ。意外と簡単だぜ。
[00:42:58.880] あ、違うな。あれ?これこ、これはここどうやって取るんだ?これ
[00:43:06.839] エルギーザま。
[00:43:08.440] これどうやって取るんだろう?これ。え、もうないよな。あまり
[00:43:16.880] セネッガーはいつ出てくるの?な
[00:43:19.800] んだっけそれ?アーノルドチェネッガーとさ、つチエネッガーみたいなやつね。
[00:43:25.640] あのこザネッガーとツネッガーとツネッガーね。あの弾どうやっとんだよ。セネガー
[00:43:35.839] アードルドシュワールネガ。これ取る。
[00:43:47.960] 弾の上に歩いたら取れるよ。行った後疲れないと。
[00:43:52.520] 何それ?行った後何?何?行った後疲れ
[00:43:55.720] るって
[00:43:57.640] 何それ?
[00:44:01.720] いや、ジャンプできないもんね、これね。
[00:44:06.280] あ。
[00:44:08.640] ああ、分かった。分かった。分かった。
[00:44:10.680] 分かった。こういうことだ。ここだ。ここ
[00:44:11.960] 。ここ
[00:44:15.520] です。ここ
[00:44:18.559] でこうしてこうして。
[00:44:20.720] ま、お前らにはどうせ分かってないだろうけど、貴様らには分かってないだろうが、俺にはもう勝ち筋が見えた。お前らには見えてないだろ。
[00:44:29.359] も
[00:44:30.920] ああ、ここに入っちゃらだ。ここに入ったらダめだよ。ここに入ったらダめだよ。ジャンプできないもん。ここに入ったらジャンプできない。終わった。だめだ。積んだ。はい、積んだ。終わり。だめ、だめだ。おい、な、何なんだよこれ。行ってミスるだけで終わりじゃねえかよ。
[00:44:48.520] これが勝ちか。
[00:44:49.680] さすがにこれは見えなかった。
[00:44:51.640] 殺してくれ。俺を。
[00:44:56.559] お前には分からないと。笑い
[00:44:59.280] で分かってない。だ、俺
[00:45:00.400] いいよ。
[00:45:01.079] 俺にはわか、俺には今次で行くから見てろよ。見とけよ。見とけよ。見とけよ。
[00:45:07.599] ふ
[00:45:08.400] 見とけよ。見とけよ。はい。まずここで
[00:45:12.880] 1
[00:45:13.000] 個取る。で、こいつを取ります。で、あいつがどっか行くの?待つ。
[00:45:17.680] ごごみ
[00:45:20.960] ゴミゴミ
[00:45:21.920] 見ろよ。見ろよ。
[00:45:23.000] ゴミゴゴゴミ。ほんだらほんだらま、ここまでは合ってますと。ここまでは良き。ここまではなほんでほんでよ。もう
[00:45:41.480] 1
[00:45:41.640] 回上に行って。う、このハンマーを取るねん。マー取る。
[00:45:46.680] そして、こっち行く。はい。ここで、ここでこれ壊す。こうじゃろがいい。こうじゃろかい。え、
[00:46:03.520] やろがい。
[00:46:05.000] せやろがい。雑魚が。
[00:46:16.880] なめんな。
[00:46:18.319] で、ここ大事だよ。ここ大事だよ。ここ大事だよ。ここ大事だよ。ま、ここなんですけどね。ま、ここなんですけどね。初見さん。ほい。オー。危ないよ、お前。よしよしよしよしよしよしよしよし。おい、取れてよ。のびハのネタじゃんか。
[00:46:41.440] ス
[00:46:42.440] よー。
[00:46:44.559] うましい。いいじゃん。サクサクじゃん。
[00:46:47.599] センスある。
[00:46:48.839] センスあるよな。はい。しめろ。写め。おじさんしかおじさんしか言わない単語。写メ。
[00:46:57.240] 上がってきた。
[00:46:58.079] 写メ。写メっといた。写メ。うーん。ここもまたなんか考える余地のあるいいステージだよね。ここね。
[00:47:12.559] あそこの弾2
[00:47:13.319] 個が気になるところだが。なんだあの石は?なんだあの石は?
[00:47:19.040] 誰?目線。
[00:47:19.960] この石は何?え?え?え?何?こいつ
[00:47:24.400] クリアやん。
[00:47:25.280] 何君は?何?あいつは?
[00:47:31.119] え、
[00:47:33.200] なんやねん。あいつ。ま、とりマ。これはオッケーでしょ。
[00:47:41.559] とりこれオッケー。え、降りてくんのお前
[00:47:43.960] ?あ、だる。あ、降りてこないです。
[00:47:48.800] ここに1個あるな。ドリルが1個あるな。
[00:47:53.800] あいつやなんですけど。
[00:47:58.640] え、でも待って。
[00:47:59.559] でもこれさ、あれ、あれ、あれ、あれ、あれ、あれ
[00:48:11.559] ぜ、
[00:48:12.480] あれ
[00:48:13.599] つ罪。あれ?あれ?あれ?あれ?あれ?
[00:48:17.520] あれ?あれ?あれ?あれ?あれ?あれ?
[00:48:19.520] あれ?あれ?あれ?あれ?え?
[00:48:27.800] いやいやいやいやいやいやいやいやいやいやいやいやいやいやいやいやいやいやいやいやいや
[00:48:33.240] もう何これ?どうすりゃいいのこれ?
[00:48:36.440] どうすりゃいいんだよこれ?
[00:48:41.680] ま、1回冷静になてわざとやらなく
[00:48:44.160] いや、わざとちゃうって。わざとじゃないよ。
[00:48:48.880] 弾をうといい。
[00:48:52.200] あ、あれどう取るねんっていう話じゃない。まずあれどう取んのって話じゃない。動かせんのか、これ動かせる。あ、
[00:49:03.599] 本気?
[00:49:05.119] あっち行け。あっち行け。あっち行け。あっち行けよ。よしよしよしよし。
[00:49:13.680] ほんでここ崩すんじゃん。ここ崩すん
[00:49:17.960] じゃん。絶対そうじゃん。
[00:49:21.200] あ、ああ、
[00:49:23.599] 危ねえ。
[00:49:38.960] あれ
[00:49:39.240] で
[00:49:44.920] 足場にできる敵はこの先うまく利用することになりそう。
[00:49:48.960] え、足場にできるのこいつって?え、こいつって足場になるのか?あ、お、なるほどね。あいつは岩の状態ならオッケーなんだ。踏んでも。
[00:50:11.160] なほね。はい、オッケーですと。うい。お疲れ。
[00:50:17.240] 岩だしな。
[00:50:18.079] ほんでよ。ほんでよ。こうだべ。うら。あれ?どうやって行くの?あそこは。あれ?あそこはどうやって行くの?この上にはどうやって行くの?これやべなさん。よし。
[00:50:39.599] 笑笑。
[00:50:41.200] あ、分かった。分かった。分かった。分かった。分かった。分かった。分かった。分かった。分かった。わかった。こうじゃん。こうじゃん。絶対こうでしょ。あ、違うな。え、あれ?
[00:50:55.280] 笑う。
[00:51:00.359] あ、あいつ消えるんや。
[00:51:03.799] ってことはいや、分かった、分かった、分かった。もうえ、えーえー、だるいな。
[00:51:17.960] 汚い音した。
[00:51:19.440] 汚い、汚い音した。何汚い音って何汚い音って?
[00:51:27.000] えっと、笑えばいいと思うよ。
[00:51:29.520] ダブル家の谷エルギーザの封印スックスに
[00:51:34.200] SバッレイB
[00:51:36.200] ミングレイ叫んでなかったら飛べなかったね。
[00:51:40.520] 1えちゃAI
[00:51:44.400] bi
[00:51:46.559] 叫び声とくしゃみの声が一緒なんよな。
[00:51:49.640] GO
[00:51:52.599] IO
[00:51:53.359] 準ベアストな入ってないやん。パスワードなってないやんけ。
[00:51:57.599] AIBI
[00:52:03.160] goOIOオ
[00:52:07.599] BOBGOBGOなななど
[00:52:17.720] どうやってやってたっけさっき
[00:52:18.680] 懐かしいんごは可愛いねどうした
[00:52:24.240] えBを知らねえのお前
[00:52:27.319] 嘘だろ?ビンゴ知ってるよね?え?
[00:52:30.520] B。
[00:52:32.400] B
[00:52:33.799] 知ってるかい?
[00:52:34.920] あちけ。あっちに行け。お前は
[00:52:37.359] なっつ。
[00:52:38.640] いや、知ってるやろ普通に。おい。あ、なんやねんこいつ。こうやろ。よしよしよしよしよし。
[00:53:01.079] あれ?なんか違う。なんかなんか違うな。
[00:53:05.359] あれ?
[00:53:07.520] なんか違う。なんか違う。俺が、俺が
[00:53:09.319] 思い描いたことと違う。
[00:53:13.839] あれ、さっきどうやってやったっけ?どう
[00:53:16.359] やってやってたっけな?
[00:53:27.440] あれどうやってやってました?さっき俺。
[00:53:37.559] こうで
[00:53:39.720] あっちから降りるのか。こっちから降りる
[00:53:41.319] んか。分かったようだね。
[00:53:43.079] 笑いの取り方を出す。
[00:53:48.440] キングSバッデE
[00:53:54.040] であの扉に行く方法をよく考えなきゃいけないんだよ。ま、多分こいつ使うんだろうな。こいつ使うんやろうな。多分な。
[00:54:14.640] あれ?なんか違う。
[00:54:23.240] あ、違うな。え、あれ?なん俺?どうやっ
[00:54:26.240] て取った?さっきどうやって取ったんだ?
[00:54:28.119] 上のやつ。あいつ無理やんな。
[00:54:33.280] いや、いや、待って。え、むず。ちょっと
[00:54:37.319] 待って。
[00:54:42.440] だなんこれ。ちゃっちゃ。
[00:54:52.520] AIBI
[00:54:57.200] GO
[00:54:59.520] I
[00:55:01.440] JMGAP
[00:55:05.000] もうこれ毎回毎回思うんだけどさ。
[00:55:08.200] 毎回思うんだけどさ、パスワード間違った
[00:55:10.240] 時になんでバックスペースで消えないの?
[00:55:12.240] これコ波のこのコンティニューの時毎回
[00:55:15.119] 思うんだけど。
[00:55:24.400] AI
[00:55:26.079] 贅沢でね。笑なんでやろうな。わがまない
[00:55:30.920] よ。
[00:55:33.200] オよし。
[00:55:38.720] スタート画面頑張って作ったからいっぱい見て欲しくて顔。
[00:55:42.880] そういうことなんだ。小やつがだからどう行くかやねんの。めっちゃむずくない?でもこれめっちゃむずくない?これ。
[00:56:04.839] そうでもないけど
[00:56:06.200] 嘘つけよ。分かってんの?答え分かってんのか?
[00:56:13.119] はい。
[00:56:14.400] 嘘をつくてないよ。で、まずこれはもうここはもう絶対こう。絶対ここはここまでは絶対こう。ここまでは絶対こうなのよ。
[00:56:27.920] そっち側に持ってってこう。これを一応この辺に持ってきとこう。だってあの弾どうとんねん。
[00:56:41.640] ゲームオーバーの死神頑張って作ったからいっぱい見て欲しくって顔と同じ匂いがする。笑
[00:56:49.400] どんなあったっけ?あ、シャ、あのシャドゲのな、あのゲームオーバーの死神な。
[00:56:57.599] 残念。でもこうするしかないよね。ここ開けなきゃいけないんだもん。だって俺ここ開けなきゃいけないんだもんな。あ、あれでもこれダメなんだよな。こいつか時間で消えね。さっきちょっと消えたような気がしたんだけど。
[00:57:43.760] 消えないね。
[00:57:46.240] 消えないね。うん。消えないよね、これね
[00:57:48.280] 。消え。あ、消えた。消えた。消えた。
[00:57:51.079] 消えた。消えたやん。ほら、消えましたや
[00:57:54.480] ん。消えますやん。あ、これ1個法則だな
[00:57:58.839] 。1個法則だな。
[00:58:02.319] あの、時間で消えると敵は敵は時間で
[00:58:07.760] 消えると。これは
[00:58:13.599] ほんじゃあちゃんとここゆっくり考えれる
[00:58:15.200] よ。ゆっくり考えれるぞ。ここ
[00:58:19.640] あそこどう行くんですかって話だよな。
[00:58:22.400] うん。あそこどう行くんですかって話だよね。
[00:58:24.680] それは前も消えたしな。
[00:58:27.200] これどう行くや。やっぱこいつやんな、多分。
[00:58:30.640] 多分こいつだよな。多分な。これさ、そっち行ってくんなくない?これそっち行ってくれんの?これ。
[00:58:53.000] いや、行ってくれませんやん。いやいやいや、行ってくれませんやん。え、ダメやんけ。え、
[00:59:06.559] そのためのものが、
[00:59:09.280] え、何?そのための右手?これ?え、でもこれ、
[00:59:19.240] そのための拳。そのための拳。
[00:59:25.440] はあ。突っ、つっ
[00:59:27.720] ええ。あれ?これなんか積んだかな?
[00:59:33.079] 簡単やな。
[00:59:34.039] これ積んだかな、これ。あいつちょっと消えんの待つか。もう
[00:59:38.559] 1回。もう1
[00:59:39.119] 回ちょっと消えんの待つわ。で、倒せばいいんか?あ、倒せんのかな?あれ?
[00:59:46.480] 検査行こか。
[00:59:48.280] え、何の何の検査?
[00:59:53.839] あ、消えない。ああ、消たけた。よし。
[00:59:57.079] よしよしよしよしよし。ああ、
[01:00:00.640] 危ねえ。
[01:00:05.640] 本いならほんなほならね。ほならね。
[01:00:09.160] こっち来てみろと。ほならね。
[01:00:14.480] おい。
[01:00:20.720] オ、いいよ、いいよ、いいよ、いいよ。こっち、こっち来い、こっち来い。こナで、こでリロ。ああ、ばあ、早い、早いな。思ったより
[01:00:36.039] 今からでも自分を知って受け入れることは遅くないよ。
[01:00:39.640] 早かったな、今。
[01:00:40.960] 来ましたね。
[01:00:42.000] 来たね、今ね。すっごい早さてきた。
[01:00:54.240] ただもう分かったから。もう分かったから
[01:00:55.760] 大丈夫。もう分かったから。うん。もう、
[01:00:57.839] もう、もう、もう、もう全然全然余裕の
[01:01:00.480] よっちゃんですわ、こんなん。
[01:01:09.160] どけ。
[01:01:11.440] あっち行け。
[01:01:24.240] これが時間でき、これ、これはもうでもさ、時間であ、やべ。あれ?これまずいんじゃない?これ。これまずいのでは?これ。
[01:01:37.160] もう分かったんだよね。
[01:01:39.079] あれ?
[01:01:42.880] これま、
[01:01:46.440] あ、
[01:01:50.880] いやあ、もう
[01:01:53.279] むずいよ。
[01:01:57.920] もう惜しいとこまで行ってんだよな。
[01:02:00.000] 惜しいとこまで行ってんだよな。惜しい
[01:02:02.760] とこまで行ってんだよな。
[01:02:20.720] うい。
[01:02:23.480] あびごいよ。
[01:02:25.200] あびごいよ。ちょっとこれ覚えとこう。あびごいよ。でんでんでんでん。これこっちまで持ってこう。こっちまで持ってく。
[01:02:37.920] いいよ。来いよ。
[01:02:39.279] あび来いよ。んで、
[01:02:56.440] そろそろドラクエ7
[01:02:57.640] のアーカイブ消えるからよつべに移しといて。
[01:03:02.440] 分かりました。
[01:03:03.880] ぶっさ痩せたらアーシ取り直す。
[01:03:06.200] あ、じゃ、取り直すかも。
[01:03:06.960] ダブル
[01:03:12.240] 森テ大からの久々にコメントじゃねえかよ。
[01:03:23.039] ほんまやも理由や
[01:03:26.000] なあ。えー、ちょっと待って。
[01:03:31.960] ワイプ。
[01:03:34.839] あ、大きくね。画面ちっちゃ。
[01:03:47.119] 画面ちっちゃ。
[01:03:54.520] ちっさ。
[01:03:55.680] 画面ちっさ。よした。
[01:04:11.599] よしよしよしよしよしよし。ほんでここハンブロックで止めるんだよ。ここはな。ハンブロックで止めなあかんね。ほんでよ。
[01:04:20.400] 次どんな髪型にすんの?
[01:04:22.240] いや、別に別にどんなとかないけどどうしようかな。
[01:04:28.559] いや、もうなんかもう普通にやっぱもう戻すわ。やっぱ邪魔やな。髪の毛めっちゃ短くするわ。めっちゃ短くしてくる。
[01:04:38.720] あとはまさるだけ。
[01:04:40.880] あとはまさるだけ。うん。ほんでこっちに呼べばいいんだよ。もうあいつが解除したらすぐすсноすぐ右に行くよ。
[01:04:54.640] すぐ来るよ。
[01:04:56.960] 解除してすぐ。あ、でもでもあよほん
[01:05:01.720] でこいつ乗り越える。こいつ乗り越える。
[01:05:03.680] 俺は
[01:05:09.720] てよし。
[01:05:12.559] ナイス。えーなんでなんでだよ。何か?
[01:05:17.960] ええ、笑笑ダブル何が
[01:05:29.000] せっかち
[01:05:30.279] 何が何が
[01:05:37.319] 持ってるね
[01:05:39.720] え。何てだ?何が
[01:05:41.240] のは自分も納得いた
[01:05:42.760] だよね。今の正解じゃんね。どう考えても。
[01:05:48.319] 今の正解やろ。どう考えても。
[01:05:56.039] え、何な?
[01:05:58.599] 早すぎた。降りんの?早すぎたかな?
[01:06:02.119] ドスーンの判定がまだ残ってた。ドスーン
[01:06:05.960] の判定まだ残ってたか?
[01:06:10.000] またあかんのかと思った。笑
[01:06:13.440] あ、これはいけるんや。今の行け。あ、
[01:06:16.400] やばあ。もうアホ。アホアホ
[01:06:21.160] もうアホや。これ
[01:06:27.279] 難しいよ。
[01:06:39.640] デカワイプでこの遅いタイピング見られる
[01:06:41.880] の恥ずかしいんだけど。
[01:06:56.720] 笑笑可愛いね。
[01:07:01.359] 営業、営業で俺メール打つ時もこれだから。もう遅い。遅い。ターンポチポチ。
[01:07:17.559] え、これむずないかタイミング。
[01:07:25.000] あ、
[01:07:26.640] こいつそこにやっちゃうとそこっちにしか
[01:07:28.760] 来れなくなっちゃうからダメなのか。って
[01:07:31.000] いうことか。こいつ一旦こっちまで
[01:07:33.160] おびき寄せなあかんのや。多分ここも含ま
[01:07:36.720] れてます。パズルに。
[01:07:37.799] こいつ一旦お引き寄せなきゃだめね。こっちにね。何が?大家の谷エルギーザの封印スックスにキング
[01:07:51.480] Sバッレイ。
[01:07:55.599] こういうことやんな。こういうことやんな。こいつやす。オ、こういうことな。
[01:08:17.719] でもそもそもさ、こっから一バスあったら
[01:08:19.799] あいける。さすがに行けるか。で、あいつ
[01:08:22.480] が消えるのを待つと、あいつが一旦消える
[01:08:24.920] のを待つと。
[01:08:33.239] これ成功法なんかね、これね。
[01:08:36.400] これが
[01:08:36.799] 待って。どうなる?
[01:08:38.199] ちょね。こいただ消えるんだって。うるせえ。うるせえ。
[01:08:46.679] ダブル。
[01:08:54.239] あ、もう時間終わり。消えへんやん、こいつ。
[01:09:15.199] なんだこいつ。消えねえよ。
[01:09:16.400] たら消える。
[01:09:17.000] ほとら消えるよ。音えたら消える。ほら。やべ。あいつもうここまで来てる。あいつもうここまで来ちまってる。
[01:09:50.000] ほんであそこに落とさなきゃいけないんだよな、あいつをな。ああ。いや、いいとこに、いいとこに来たけど。お前いいとこに来たけどなあ。早いな。ええな。
[01:10:00.320] 早いな。来んのがちょっとな。
[01:10:07.800] これをさ、こっちに落とせばいいんだけど落とせないんだよ。うまいこと。うまいこと落とせなってんねんな。だめだ。一旦こいつらが消えんのまた待なきゃだめだ。
[01:10:19.679] こんばんは。
[01:10:20.480] 2さんこんばんは。2
[01:10:21.719] さんこんばんは。エルギーザの封印というゲームをやっています。
[01:10:25.280] MSX実機で
[01:10:29.640] MSSMSX
[01:10:31.320] 実機であることが誇らしげなチャマゲーム。
[01:10:43.000] 本当かな?笑
[01:10:44.679] 本当やって。本当やん。本当やん。ここにあるやん。
[01:10:56.000] あの岩野郎が消えるの一旦待つぞ。よしよし。
[01:11:14.000] エルギーザとは何ですか?
[01:11:16.080] 草ハムさんどうもこんばんは。エルギーザって何なんだろうな。何なのかは知らんけど。
[01:11:22.080] ワンピース的なあれじゃない?多分なんかワンピース的な
[01:11:25.800] てる時間より待ってる時間の方が長い。
[01:11:29.920] それマジであるな。ワンピース的な。それが何なのかは分かりませんが。すぐ来るよ。すぐ来るよ。すぐ来るよ。こっち。よしよしよしよしよしよし。で、こいつ乗り越えるで。
[01:11:50.840] ちょっと待ってから降りる。
[01:11:53.920] 来い来い来い。
[01:11:58.040] 危ねえ。で
[01:12:01.280] 1番
[01:12:04.080] よしよしよしよしよしよしよし。
[01:12:10.639] 気持ちいい。お
[01:12:13.199] やっぱね、こういうもこれな。やっぱこれ
[01:12:16.040] なんよね。パチパチパチ
[01:12:17.679] 気持ちい。
[01:12:19.320] パチパチパチパチ。これはナイス。
[01:12:22.280] おもろっす。おもろす。
[01:12:23.600] 右で待ってたら簡単な気がするけど。
[01:12:27.000] ぺって。今日お前なんだ?今日なんかなんだお前?今日なんだ?今日今日なんか
[01:12:37.320] いらやめられんなれ。
[01:12:40.760] お前今日噛みついてくるね。うるせえ。
[01:12:48.600] A曲やな。A曲やな。
[01:12:51.320] 嬉しそう。な
[01:12:53.480] んだこの曲?曲良くない?え?弾お
[01:12:58.639] 負けじとふわふわコメントしよう。
[01:13:00.480] そうだよ。チクチクコメントやめてね。チクチクコメントやめてね。いや、積んで待つや。
[01:13:18.400] え、え、え、え、え、何?え、ミュージックステージは?え、何これは?え、何これは?
[01:13:29.400] 笑笑。
[01:13:30.679] 笑笑え。
[01:13:31.800] 笑笑。
[01:13:32.440] え、え、
[01:13:37.000] ピアニスと茶まどびっくり。
[01:13:41.960] どういうことなのこれ?
[01:13:46.920] ミュージックステージ。え、なんか待って。なんか俺聞きたくない。先のステージ。
[01:13:59.199] これ何なのこれ?な、どういうあれなの
[01:14:01.840] これ?
[01:14:03.600] え?何?
[01:14:07.920] あ、え、ななななん、なんだったの?何
[01:14:11.480] だったの?あれ?何だったんだあれ?
[01:14:16.320] あ、うわ、うわ、うえええええええ、
[01:14:24.639] 何だったんだ、今の。ミュージック
[01:14:26.440] ステージもそうだけど。
[01:14:40.840] ちょっと考えて落ちなきゃだめだね。積むねえ。ちょっと待って。
[01:14:49.360] 下くぐれそうではあった。
[01:14:52.080] くぐれそうであったけどこれ相当むずいよね。
[01:14:59.760] え、これむずくね?だってあっち側行っ
[01:15:01.360] ちゃったら結局ダめだもんな。
[01:15:07.880] して。
[01:15:11.679] あ、分かった。
[01:15:17.719] あ、違う違う違う違う違う。んーん。
[01:15:23.760] あそこのツルハ1個取るか。
[01:15:29.400] うい。お疲れ。
[01:15:32.440] MDXさん。お疲れちゃん。ほい。こうな
[01:15:36.239] 。
[01:15:42.639] 下が1回掘れるようになりました。
[01:15:47.040] 掘りたいのはどこ?
[01:16:00.239] いや、違うなあ。
[01:16:13.639] ええ、むずくねえか。
[01:16:28.760] うん。しくったな、俺も。ああ、もうアホ
[01:16:30.600] や。
[01:16:32.800] もうアホや、これ。ああ、もうな、何なん
[01:16:36.280] だよこれ。
[01:16:38.480] ああ、もうまたやっちゃったよ。
[01:16:42.040] これこの状態になったらちょっとさ、なん
[01:16:44.440] かさ、リセットコマンドないの?これ
[01:16:45.880] なんかもう1回やり直しコマンド。
[01:16:48.159] やり直しコマンドねえのか、これ。めんど
[01:16:50.239] くせえんだけど。いちいちまた
[01:16:58.600] やり直しコマンドねえのか。
[01:17:25.960] うん。ないね。ないかな?ないですね。ないでございます。ないでございます。
[01:17:37.239] ポーズしてF5。
[01:17:39.480] え、ポーズしてF5
[01:17:40.560] だった。そうなの?嘘。リセットしちゃった。
[01:17:43.400] パズルには結構実装さ
[01:17:45.159] いや、こういうのあるよね。あのなんだっけ?あれみたいなやつ。あの倉行版とかにもあるもんね。ま、別に、ま、別にいいんだけどさ。ま、パスワードあるから。パスワードあるからいいんだけどさ。
[01:18:01.040] え、
[01:18:03.840] ID
[01:18:08.760] A
[01:18:10.679] BAF
[01:18:18.040] これ60ステージも俺これ60ステージま
[01:18:22.080] いっか頑張ろう。ま、頑張るか。
[01:18:27.400] 分かった。ここの取り方も分かった。こう
[01:18:29.199] やってこうやってやれば取れるね。まだな
[01:18:31.880] 。でもこれ横、横掘り、これ大事にしたい
[01:18:34.639] んだよ。横掘り大事にしたいんだよ。これ
[01:18:37.520] あんまあん直にそこで使うべきじゃないと
[01:18:39.440] 思うんだよね。
[01:18:45.600] え、これここで横掘りも上持ってくべきだ
[01:18:48.440] と思うんだ。俺は上持ってくべきだと思う
[01:18:50.960] 。これ
[01:18:54.280] 横掘はここ持ってきて。
[01:18:57.880] ああ、でもあそこに使うべきなんかな?
[01:19:03.239] ここに使う。
[01:19:06.239] ここじゃない気もするけどな。ここかな?
[01:19:14.800] あ、ま、ここ使ってみるか。
[01:19:18.239] ま、やってみなきゃわかんねえからな。こ
[01:19:20.159] 使う。
[01:19:24.080] これもこれああ、もうアホ。
[01:19:25.960] もう、アホ、アホ、アホ、もうアホ。なんでそれ?もう
[01:19:38.639] アホ好き。
[01:19:39.679] もうこれアホや、これ。え、ダめじゃん、これじゃあ。いや、だめだ、これ。積んでるわ。
[01:20:12.719] いや、積んでるね、これ。いや、なんだ
[01:20:15.440] これ。むずいなあ。
[01:20:34.159] これじゃダメなんだよね。
[01:20:37.080] これじゃダメやねんな。
[01:20:40.320] もう1回、もう1回ここ入ろう。もう1回
[01:20:42.320] ここ入ろうぜ。もう1回ここ入ろう。
[01:20:47.400] なんでそしたらまたリセットされる
[01:20:49.719] るっしょ。多分
[01:20:51.520] もういい。
[01:20:59.320] よく考えろよ。よく考えろよ。
[01:21:13.199] これ通る。
[01:21:25.440] うーん。
[01:21:52.920] ああ。
[01:21:55.320] あのキ邪魔やね。
[01:22:13.880] あ、混った。これダめか、これ。あそこ
[01:22:18.199] ジャンプできねえんか。あー
[01:22:22.679] あ。したらこれ使えばいいか。
[01:22:39.199] いや、違うね。
[01:22:46.840] あ、全然ダめだ。
[01:22:50.000] あ、全然ダめだな。
[01:22:54.320] あ、ワップかもですが、
[01:22:56.159] F1
[01:22:56.600] を押した後コナミコマンド実行したら自爆と愛検索で出てきたです。
[01:23:05.639] いや、ザップだね。ップだねえ。え、なんかマップ、マップ、マップはあるな。マップはあるけど。
[01:23:21.000] え、これ自爆コマンドねえのかい?ん?
[01:23:28.000] 何こ?ミュージックスタートと
[01:23:30.360] ミュージック停止ボタンもあるけど、これ
[01:23:33.560] 必要なのか、これ?ああ
[01:23:36.679] 、F5。あ、普通にごめん。F5であった
[01:23:39.040] わ。F5で普通にこれできるんだ。でき
[01:23:42.639] ました。ごめんなさい。
[01:23:48.040] ちょっとさ、ちょっとよ、よ、よく考えさせて。これめっちゃむずいぞ、ここ。ここめっちゃむずい。で、
