[00:00:06.319] 最終回来ちゃー。ちゃまぷんちゃにめ。
[00:39:27.200] なんでMPいっぱいあんだもん。だって
[00:39:28.760] 声出して。こ
[00:39:30.560] トラック。これは勝つだろ。さすがにね。
[00:39:34.200] あ、オートダメなの?
[00:39:35.280] で、僕たちを水着なのか大?
[00:39:38.640] え、それやっぱりやめた方がいいかな?それやめた方がいいかな?プリン水着だめかな?もう渾心切り一択なんよね。
[00:39:50.280] たかなんか女にまさか女には負けねえべ。
[00:39:56.800] 水着は重要だ。
[00:39:57.839] い、わかんないよ。男どっちらがどっちらが上とか下とかないからね。
[00:40:03.000] 先先に言うけど、そういうのないからね。ないからそういうのごめんけど。がいかな。
[00:40:09.599] 頑張ろう。
[00:40:10.400] 性別とか関係ないから。
[00:40:12.280] オートは映画なんよ。
[00:40:15.079] オートはなしな。オッケー。オッケー。確か味けねえよな。
[00:40:23.480] こいつ、こいつ仲間呼ぶヒ度えぐない?しょっちオ会してるやつみたいな。
[00:40:26.802] [音楽]
[00:40:33.319] オタ沢の姫がええ、
[00:40:35.880] おタの姫
[00:40:37.400] なあ。オタ沢の姫だよ、これ。ルカなん。いや、え、バイキルは入れたいかな。でもバイキルは入れていいはず。
[00:40:46.400] いつかな?
[00:40:48.418] [笑い]
[00:40:48.880] アッシーとメッシだっけ?アッシーとメッシでしょ、これ。えー、もうギ、いいやいや、ギガでいいんじゃないな、ここは。
[00:40:59.920] ギスラ連続視長200超のやつら。
[00:41:03.160] 連続視長200超え。これ連続視長
[00:41:05.448] [笑い]
[00:41:07.680] 200
[00:41:08.079] 超のやつだからこいつら。お前ら仲間呼びすぎやって。せい
[00:41:24.200] の姫ならナイト様だよ、きっと。
[00:41:27.640] あれ?これ何?こえ、あのさ、あ、そうか
[00:41:31.319] 。呪文じゃないと2階になんねえのか。
[00:41:33.319] ああ、そっか、そっか、そっか。呪文じゃ
[00:41:35.720] ないとダめだよな。呪文じゃないと。
[00:41:39.359] そうだ。呪文じゃないとダめだ。
[00:41:42.720] えー、そっか。ベホマラ覚えたんか。
[00:41:45.319] 助かるな。でも応援してもらおっか。応援
[00:41:49.240] 。応援がめちゃめちゃ強いから。
[00:41:52.079] で、君は義でもう耐えられるはずないやん。けるわけ。
[00:42:10.119] いいよ。
[00:42:13.160] え、えー、まだとかやってくんのかよ、こいつ。やばい、やばい、やばい、やばい、やばい、やばい。
[00:42:21.839] いた。いや、まずいな。大丈夫?あるも
[00:42:25.680] 勝てる。でも勝てそう。
[00:42:28.280] えー、
[00:42:31.000] ここちょっと、ま、ベホマラ入れちゃおう
[00:42:32.839] か。
[00:42:35.720] まだやってくんだね。
[00:42:42.389] [音楽]
[00:42:43.079] よし。
[00:42:46.200] あ、だから魔法来てやってんのか、こいつ
[00:42:48.599] 。
[00:42:54.800] 声出してこう。
[00:42:55.720] 回復が間に合うかな、これ。
[00:42:57.800] 心配したわ。
[00:43:00.000] ああ、ちょっと心もないな。もうベホイン、ベホマラぐらいじゃちょっとしんどってきたね。はい、お疲れちゃん。はい、雑魚。はい、雑魚。余裕でしたな。余裕でした。
[00:43:26.640] 逃がさないよ。
[00:43:28.240] よし。オッケー。やはり強くなりすぎてしまったか。まったか。
[00:43:33.400] そんな気がする。うん。そんな気がするね。
[00:43:37.359] はい。雑魚。
[00:43:39.400] はい。雑魚。はい。おつ。
[00:43:42.440] 朝飯し前。グーぐ。グーぐ。
[00:43:45.240] ピースオブケイク。
[00:43:54.720] 私の
[00:43:55.839] おお
[00:43:58.400] 乾杯ね。分かってる。ハーゴン様が私を見ていた。
[00:44:10.599] 俺の女になれ。
[00:44:12.780] [笑い]
[00:44:13.079] ないでも
[00:44:15.599] ドン
[00:44:16.680] 行きたいと言え。
[00:44:20.480] 拾ってもらったあの時私がまだ人間だった頃
[00:44:30.839] ね。これさ、ファミ、スーファミ版にいたってマジ?この人スーファミ版にいたらしいじゃん。
[00:44:41.880] かわいそう。
[00:44:42.720] ああ、まだハーゴンも人間だった時だ。
[00:44:45.800] その
[00:44:46.400] 残酷だ。マジな?こんなん?
[00:44:49.119] 大切なものも失えばそれで終わりだ。一緒に私と変えよう。失うばかりのこの世界を共に奪う側に回るのだ。
[00:45:14.040] 今度は私が奪う側に
[00:45:17.720] 早ない。その悪に回るの早くない?
[00:45:21.240] 約束忘れたことはなかったわ。ずっと
[00:45:28.400] 物りが良すぎるだろ。
[00:45:31.119] ちょろすぎ
[00:45:31.960] なあ。
[00:45:33.000] ニち。
[00:45:33.520] 子供の幻だったみたいね。[笑い]
[00:45:36.280] ニコまちだよな。
[00:45:43.040] ハゴ音って人間だったの?
[00:45:44.880] そうだよ。そうだよ。
[00:45:47.800] あの3の
[00:45:50.319] 3
[00:45:50.640] のあのなんだっけ?あ、ごめん。消えちゃった。
[00:45:54.640] 3に出てきたんだよ。3のね。
[00:45:56.760] リエラは元は人間だったってこと。
[00:46:00.440] せやで。
[00:46:01.319] ま、
[00:46:03.280] おいおい。わしの3
[00:46:04.400] の配信見てないのかよ。
[00:46:06.280] だから、ま、これま、
[00:46:07.680] 他の悪の神々と違って
[00:46:10.319] 1
[00:46:10.480] 人だけ本当にハーゴンをしっていたんだね。
[00:46:12.920] 3のね。
[00:46:13.720] え、てことは、
[00:46:15.079] え、どういこと?何?
[00:46:17.800] 3
[00:46:18.040] のあの竜の魔王竜の魔王じゃない。竜の、龍のなんだっけ?龍の女王の側近みたいな感じやってん。あんまり言うとあれかもしんないけど。
[00:46:38.160] ま、HD2D
[00:46:40.119] でしかそこは描かれてないけど、その原作にはいないけど。
[00:46:44.160] あ、あ、言ってたな、そういえば。
[00:46:46.000] そう、そう、そう、そう。ま、
[00:46:50.319] HD2D
[00:46:50.880] やってない人はね、是非その辺も含めて是非やってくださいと。これ減ってんの?え、あれ?トヘロスは?あ、違う。
[00:47:04.480] こ、トヘロスじゃねえよな。間違った。
[00:47:06.280] トヘロスじゃねえや。
[00:47:09.280] トヘロスじゃなくてあれだ。あれがし
[00:47:11.040] たかった。トラマナがやりたいんだ。これ
[00:47:13.240] は
[00:47:16.079] トラマナ。トラマナ。
[00:47:22.599] いや、こういうのいらんねんな。
[00:47:29.880] うん。ばパガバガバ
[00:47:33.680] 。
[00:47:40.160] ハーゴンはレイアムランドを支配してたんだよ。
[00:47:42.760] レイアムランド。肉さんこんばんは。なんだっけ?レイアムランドってなんか聞いたことあるよ。なんだっけ?レアムランドってなんか聞いたことある?全然覚えてません。なんだっけそれ?え、レイアムランドってなんか聞いたことあるよ。全然覚えてない。ごめんね。
[00:47:54.173] [笑い]
[00:48:03.280] なんかさ、こういうの多分でもイライラす
[00:48:07.000] んだろうな。せ、ずっと見てた人からし
[00:48:09.319] たらさ。はい。
[00:48:12.480] なんで覚えてねえんだよみたいなことある
[00:48:14.880] だろうな。全然覚えてない。ごめん。
[00:48:18.559] 全然覚えてない。
[00:48:21.599] お、強い。
[00:48:23.760] デーモンスピア。これ呪われてる。あ、
[00:48:26.440] オッケー。呪われてない。
[00:48:33.720] 母天。
[00:48:35.200] え、レアムランドってなんかでもの誕生日くらいは
[00:48:40.023] [笑い]
[00:48:41.839] ま、もし俺にいるとしたら、まあ知ってるわな。さすがにそんくらいは覚えてますがな。さすがに昔元ガの誕生日がなんだっけな。
[00:48:55.680] 12
[00:48:56.079] 月なな、もういいや。忘れた。もう忘れた。
[00:48:59.673] [笑い]
[00:49:02.720] 前髪のチョロゲ可愛いね。
[00:49:04.440] これやろ、これ。これやろ。これが
[00:49:06.920] 忘れちまえ。
[00:49:07.960] これやろ。これ髪がさ、伸びてきてさ、ここも伸びてきたんだよ。なんか生ハ際の気になってしゃあない。これ僕にやらせて欲しかったんですけど。どうだって。うんちゃんこんばんは。最終回やぜ。
[00:49:29.480] トレードマークにしてこ。
[00:49:31.240] これ、これな。でもこれもでも後になくなる運命だから。ありがとう。本当ね。とんでもない幻を見せられて強敵だらけの中。よくいつものにられるわね。おかげでリラックスできたわよ。ならよかった。一方その頃。あ、違った。一方のカメラの動き方だったの今。
[00:50:03.319] あれ?ここでさ、女神の像みたいの使うん
[00:50:05.680] じゃ?邪真の像みたいの使うんじゃなかっ
[00:50:07.319] たっけ?違ったっけ?
[00:50:23.000] あ、結構未だここまで来てもチーメダが
[00:50:25.599] 結構あるね。
[00:50:28.880] 理性のリングなんか敵全然出てこないんだけど。
[00:50:34.200] こんばんは。
[00:50:34.720] ルミさんこんばんは。ルミさんこんばんは。なんか敵全然出てこなくね?あ、違う。俺トヘロスやってる。もしかしてトヘロスやるともうここの敵も出てこなくなっちゃうんだ。間違って。さっきトラマのやる前に
[00:50:54.760] 1回トヘロでやっちゃったんだよね。
[00:50:56.599] レベル上げすぎちゃったか。
[00:50:58.240] 上げすぎたな、これな。だってここの敵も
[00:51:00.559] もう俺に恐れて出てこななくなっちゃった
[00:51:03.280] んだけど。いや、ちょっとさすがに敵戦い
[00:51:05.960] たいな。トヘロやっちゃった。
[00:51:11.119] こ、もうしかもこんなんだったらすぐ
[00:51:13.119] クリアしちゃうぜ、これ。あ、トロスの
[00:51:14.960] 効果なかった。よしよしよし。ここて出
[00:51:18.079] てきましたっけ
[00:51:18.799] ええ
[00:51:19.480] るの?ここ
[00:51:21.880] 出てくるでしょ、さすがに。
[00:51:25.680] え、出なあ、出るやん。
[00:51:28.200] おら、めっちゃでか。え、こいつでかかったの?あ、間違った。こいつってこんなにでかかったんだ。
[00:51:37.599] 強そう。
[00:51:39.280] 気が出
[00:51:40.000] どうかな?
[00:51:45.160] いや、強すぎ。強すぎんねん。わし。強すぎるねん。わしが。それは敵も出なくなりますわ。
[00:51:57.720] これ1
[00:51:58.119] にもいたか、あいつあんなで今なんか今なんかいたぞ。
[00:52:04.200] 行け。
[00:52:06.000] 今何かな。もっとでかいやついたな、今。あ、強いこいつ。
[00:52:17.040] ハグレメタルですね。
[00:52:18.839] 俺1
[00:52:19.160] 回も出てないんだけど。はぐれメタル。
[00:52:25.000] たださ、はぐれメタル中の宝箱してて嘘。え、てか何こいつら強くね?大魔人強すぎ。
[00:52:35.280] リストラされたか。
[00:52:37.920] レベル50。
[00:52:40.200] え、本当にはぐれメダルなんているの?あ、本当だ。宝箱
[00:52:45.440] 1個取ってねえや。
[00:52:46.000] レベルカンストしたか?
[00:52:48.040] え、50カストなの?違うっしょ。
[00:52:52.680] 呪いのベルトいや、いらないらない。いや、なんかでけえのいるなあ。
[00:53:01.200] だ、
[00:53:03.400] 気がイン。
[00:53:09.799] いや、待って待って。これ、このペースだとめっちゃ早くクリアしちゃいそうなんだけど。わしあまりにも強くなりすぎた。
[00:53:23.641] [音楽]
[00:53:25.280] ま、いけるだろ、多分。
[00:53:27.599] でかいな。
[00:53:28.440] それはファミコン版やないかいっていうところ。ここまで来たか。
[00:53:33.400] あ、そういうとこだった。ごめん。
[00:53:34.440] 我に粉砕されるはできている。
[00:53:37.760] レベルカストル知識なかった。ファミコン版って
[00:53:39.839] 50なんだ。
[00:53:41.000] あ、前に幸運なちびに負けて逃げ出したことすっかり忘れたってわけ。
[00:53:46.400] いや、もうチャーはピロトークしないで有名だから。それでこそ踏むがある。
[00:53:55.799] いる。
[00:53:56.880] 今回はハれメタルにめちゃくちゃ強い。
[00:54:01.040] こんなにでかかったらパンツの中見えそう。まだいんの?
[00:54:07.240] 卵吸って。え、まだいの?
[00:54:08.680] けなお前たちのポケな努力な。
[00:54:12.720] 今ここで組み尽くし無してくれるわ。
[00:54:18.200] なんか言ってますわ。
[00:54:20.240] 今まで僕たちが歩んできたこと全てお前なんかに消せやしない。
[00:54:27.720] 2
[00:54:27.960] 本目のコン棒を隠してるってわけ。
[00:54:30.452] [笑い]
[00:54:32.160] あれ、こっちのコン棒はあまり強くなさそうですね。あ、間違ってオやっちゃった。ごめん。次作戦変えるわ。ごめん。次作戦変えるね。ごめん、ごめん。間違えた。
[00:54:41.319] 頑張れそう。
[00:54:43.480] ま、作戦変えなくても大体やること一緒なんだけどね。うわ、強い時間あって。
[00:54:50.079] ま、この3
[00:54:50.760] 匹。そり、そりはそう。え、やべ、つよ。プリン死ぬやん。待て。えー、メ令。えー、ま、俺はもう渾心切りでこれさ、思ったんだけどさ、ベホマって覚えてないよね。
[00:55:12.160] ベホマって覚えてなくない?ルカに入れとくか。ベホマって覚えてないんだなあ。
[00:55:26.599] ベホマズンがあるじゃない?[音楽]
[00:55:28.039] ま、ベホマズンがあるけどもったいなくねえか。
[00:55:36.200] クッキーやりに合うな。
[00:55:38.400] だってさ、
[00:55:39.200] があるじゃない
[00:55:40.319] かと言ってさ、ベホマでさ、ま、クッキーは絶対槍りだよな。クッキーは槍。
[00:55:46.520] ベホマの巻き物が多分どっかにあんだろうね。でもこれだってさ、あれでしょ?山びで
[00:55:53.160] 2
[00:55:53.319] 回でしょ。どうせもったいない気がすんだよね。まいっか
[00:55:53.638] [音楽]
[00:55:59.200] もう1回やんて。ちょっとぜ、
[00:56:02.319] あれしないわ。あれしなかったね、今。
[00:56:10.520] いや、強いって。お前マターンそんなことやってくんのかよ。いや、どうしようかな。ま、ベホマラーでま大丈夫でしょ。でも、でも大丈夫でしょ。多分応援入れていいっしょね。応援入れていいよね。枠かな。
[00:56:38.559] バラモスゾンビ枠か、こいつ。いやあ、ベホマやっとくか。
[00:56:44.720] 危ないよ。
[00:56:46.000] 危ね。
[00:56:47.559] 頑張れそう。
[00:56:50.400] ベホマラ。
[00:56:52.119] オオ。せい。
[00:56:55.119] 3100。
[00:56:56.920] いや、もう待て待。や、待て待て待て待。めちゃめた。これ強ない?強ない。さすがに。
[00:57:05.689] [音楽]
[00:57:09.559] まあでもまあでもま、多分次で死ぬか。
[00:57:14.204] [笑い]
[00:57:14.480] 怒った。笑
[00:57:16.119] いやでも多分次で次で勝てるわ。ごめん。
[00:57:20.559] ダブル
[00:57:21.319] ごめん。お、俺、俺強くなりすぎった。
[00:57:25.039] 俺強くなりすぎたのかもしれない。
[00:57:29.400] だってこれど3000
[00:57:30.240] ぐらい食らうしょ。また
[00:57:33.000] 3600。
[00:57:34.160] ちょっと待って。俺待って。こんなに
[00:57:36.599] 俺今日こんなに
[00:57:38.799] 俺今日こんなにサクサク
[00:57:41.799] サクサク進むと思わんかったやん。もっとなんかじっくりやりたいけどでももうでももう止まらない。ゴン秒殺しそう。
[00:57:52.119] でももう止まらない。
[00:57:53.440] こんばんは。寄り道し、
[00:57:55.200] 寄り道すぎたね。わさん、こんばんは。我だ
[00:57:59.640] だってもうみたいに死んでくやん、みんな。
[00:58:02.839] 小さな人間にありえる、ありえる。我が皇鉄の体が小さないことにあり
[00:58:16.839] 見せかけの風体すぎて戦いにくかったんじゃない?
[00:58:22.520] あるある。
[00:58:30.680] 行きましょう。特にコメントなし。あんまり絡みなかったしな。あいつ俺あんまり絡みなかったしな。ぶっちゃけ。あいつ
[00:58:34.115] [笑い]
[00:58:39.880] なんかアトラスだけ扱いがな。
[00:58:41.920] あんまないねん。ぶっちゃけアトラスってそんな絡みないねん。
[00:58:51.039] えっと、なんか覚えたよね、今ね。
[00:58:59.640] 旅の心へだっけ?あ、来た、来た、来た、
[00:59:03.520] た、来た。
[00:59:05.599] キャドをYボタンチャージで爆冷却
[00:59:12.039] で送流を
[00:59:15.799] ええ、雷電流打ちなんて
[00:59:19.200] 読むのこれ?神秘の悟り。へえ。
[00:59:23.839] これさ覚えてらんねえんだよな。あ、
[00:59:26.920] ビッグバーンをチャージするとあじゃない
[00:59:29.280] 。イナズンチャージでビッグバン
[00:59:31.799] いや、使った。使った。なん、あの、あれ
[00:59:33.680] ん時に使った。
[00:59:34.520] あの勇者が単で変ななんかボスと戦う時だけ使ったわ。他正直さオリク
[00:59:41.720] ザリーマ
[00:59:42.640] ザオリーマかなんか聞いたことあるわ。仲間全員を生き返らせるんだ。あるあるある。なんかなんかあるよね。ザオリーマ出てくる作品あるよね。なんか聞いたことあるわ。ビッグバンでダンテね。ゴパーク。
[01:00:03.240] あ、ジゴスパーク。ギガデインチャージで
[01:00:06.119] ジゴスパークになるんだ。めっちゃいいな
[01:00:08.000] 。サマルがしかもやるんだ。
[01:00:10.400] マダンテゴスパークめっちゃもう
[01:00:12.599] サマルトリア本当優遇されすぎだ。
[01:00:15.400] サマルトリアされすぎだ。本当に強すぎる
[01:00:19.319] んだよ。
[01:00:21.680] 全身前切り
[01:00:24.760] 分身もするね。だって分身して
[01:00:28.480] パークのネーミング好き
[01:00:29.960] 分身して山びの心えでどうなっちゃうのそれ?分身して山びの心えで山びの帽子で自ゴスパークのネーミングめっちゃいい。中二病すぎて好き。へえ。オッケー。
[01:00:56.640] わ、宝あるね。さすがにでもクッキーもあい。もうちょっと待って。止まれなかった。止まれなかった。もう早ない?ここで
[01:00:59.527] [音楽]
[01:01:10.720] 止まらんねん。
[01:01:12.680] もうね、不
[01:01:14.079] 注意です。
[01:01:14.640] 止まらんねん。車は急。ほらほらほらほらほらほら。
[01:01:21.920] 車は急には止まれません。不い打ちもダメとなると厄介だな。
[01:01:32.839] 厄介だなあ。どうもこんばんは。
[01:01:37.039] バズ。
[01:01:44.119] お前らの何かにこのキャラ好き。
[01:01:47.799] うまくいかなくなっちゃったよ。
[01:01:49.839] こ、こういうちょっとニルな
[01:01:52.079] 冗談でコき使われてきたよ。
[01:01:55.839] お前くチラじゃねえかよ。ちょっと勘弁してくれよ。
[01:02:01.039] くチラおつ。
[01:02:03.400] 聞きた。
[01:02:03.839] やけ持てんと思う。
[01:02:06.000] どうして人の心を悪に染めようとしていたの?
[01:02:08.880] ずのキャラ付けした人まる好きそう。
[01:02:11.559] 俺らみたいな行為の力を持つ存在を呼び出すが必要なのさ。
[01:02:11.579] [笑い]
[01:02:18.559] 邪悪な魂がな。
[01:02:25.200] 頭もいいしね。1番
[01:02:26.880] カーゴン様は俺ら以上のや、俺らなんぞ比べ物にならねえやべえ神を呼び出したいんだと。
[01:02:35.599] やべえ神。
[01:02:37.000] 指導じゃないのか。
[01:02:37.920] る整備をらす最も邪悪な破壊心らしいぜ。怖いっちゃ。
[01:02:45.400] ドレミファソラ指導ね。
[01:02:47.480] その破壊心とやらを呼び出しハーゴンは何をする気なのですか?よくは知らねえが世界を作り直すって言ってたな。
[01:03:00.440] 壊れてるやつが言うことはよくわかんねえや。
[01:03:03.279] ほぼほぼエヴァンゲリオンですわな。人類保管計画ですわな。
[01:03:09.960] でもバズも神
[01:03:17.200] うまくいかなかったのは私たちのせいじゃないよ。
[01:03:20.640] 人の心はあんたが思っているほど簡単に悪には染まらないの。
[01:03:25.520] あんたたち優しい心や誰を信じる心がないからそれがわからないんだよ。
[01:03:33.520] こういう状況になっちゃ反論の仕様がねえか。
[01:03:39.640] いや、
[01:03:43.760] け
[01:03:45.200] 戦うのか
[01:03:47.079] けどよ。
[01:03:49.960] なん、こいつワンチャン戦わなくて済みそうじゃね。やるんだね。
[01:03:57.559] うわ、
[01:04:01.599] お前らがここで死んで勇者つしょうもない希望が失わればみんなくロっとアり傾くさ。
[01:04:10.240] またちょっとMP
[01:04:11.359] がな。やもうそんなすっと戦うな。すっとちょい
[01:04:16.920] MPが、え、枯渇してきてます。
[01:04:20.079] ということで、まずは、えー、魔法の先生
[01:04:24.000] 飲みますと。[音楽]
[01:04:27.839] いや、ここはね、いや、絶対マジック
[01:04:31.279] バリアは入れた方がいいで、フバーも入れ
[01:04:34.319] た方がいいと思うんです、僕は。
[01:04:38.240] で、スクルトも入れた方がいいと思います
[01:04:40.960] 。大丈夫
[01:04:44.119] な大丈夫大丈夫大丈夫大丈夫。
[01:04:47.039] 声出してこう。力をかめ。う
[01:04:52.720] オオオ
[01:04:55.480] オですよな。ですよな。
[01:04:57.799] ごめる
[01:04:59.920] からのもうもうもうもうこっからもうつもと同じよ。渾心切りよ。
[01:05:04.880] で、バイキルを入れて、
[01:05:08.440] ルカにも入れて入るかな?ルカに入るかな
[01:05:10.680] 、これ。
[01:05:13.520] あとはクッキーさんはもうね、1番入るの
[01:05:17.640] 何なんだろ?剣のマあ、まあでもまあでも
[01:05:22.160] ギガでいいんだよな。
[01:05:24.799] ここで
[01:05:27.039] ほら315だから
[01:05:32.160] ね
[01:05:34.200] ほらほら
[01:05:35.520] ほらほらほらほらちょっと回復がやばい。もうこれが強すぎんねん。ぶっちゃけこれがもうこれが強すぎるんだよな。
[01:05:37.905] [音楽]
[01:05:49.279] ぶっちゃけこれが強い。
[01:05:51.079] ほら[音楽]
[01:05:52.520] ほらほらほらほら。え、このね、本当に渾心切りがちょっと強すぎてごめんなさい。強すぎてごめんなさい。
[01:06:06.079] オ、
[01:06:06.480] ごめん。声出してこう。力を
[01:06:14.160] やめ。それやめて。それやめて。それやめて。危ねえ。危ね。
[01:06:18.960] これがちや。
[01:06:21.400] おお。クッキーが呪文。う、
[01:06:23.160] 2300。[笑い]
[01:06:26.480] ちょいと強すぎや。しないかい。ごめんな。えー、あとなんだろうな。
[01:06:32.960] ま、ルカにもう1
[01:06:33.680] 回入れよ。で、ま、回復ちょっとクッキーさんが団もできなくなっちゃったからもう剣の前でオ
[01:06:42.520] 見ててよ。
[01:06:44.359] 苦わせだぜ。
[01:06:46.760] ありがとう。どうかしら。
[01:06:49.799] 契約。
[01:06:50.559] おお、なるほど。そういうことやってくる。
[01:06:54.000] せ
[01:06:55.200] あ、今当たってたら多分勝ってましたね。こんなこと言いたくないんだけど多分今当たってたら勝ってたよね。ごめん。
[01:07:01.091] [笑い]
[01:07:14.191] [音楽]
[01:07:21.880] あ、ごめん。プリン死んじゃった。プリン死んじゃった。ないよ。
[01:07:25.279] プリン死んじゃったけど。プリン死んじゃったけど。多分これで
[01:07:28.119] 多分これ終わっちゃう。あ、やべ。あ、あ、
[01:07:32.200] 足りなかった。
[01:07:34.039] ちょっと強い。雑魚的やん。もうちょっと強い。雑魚的やん。
[01:07:36.461] [笑い]
[01:07:40.400] 今のシルバーデビルちょっと強かった。
[01:07:42.359] 今のシルバーデビルちょっと強かったな。レベルじゃん。なんか赤いシルバーデビル出たけど。
[01:07:47.920] トチュニティ。
[01:07:49.920] 赤い、赤いの出たけど、今。いや、これちょっと寄り道しすぎたよ、これ。これだってこんな弱ないって。絶対
[01:08:00.696] [笑い]
[01:08:05.680] あんなに同中苦戦してたのにな。
[01:08:08.119] うん。ちょ、最終的にちょっと強くなりすぎてしまった。
[01:08:11.720] いや、強。
[01:08:14.319] 動出てこがいいで。
[01:08:16.417] [笑い]
[01:08:17.440] これレベル10ぐらい高けえな。
[01:08:19.199] 高いね。40
[01:08:20.120] ぐらいでもちょうどいいぐらいだよな。
[01:08:23.799] あんたこの後に及んでまだ
[01:08:27.000] 違う違う。見りゃ分かるだろ。もう今は最後の時ってやつだ。
[01:08:38.080] でもこいつ最後の最後に最
[01:08:39.520] 後は
[01:08:41.679] こいつ
[01:08:43.000] 好きなマンク。
[01:08:45.799] これ最後の最後にメガメガンテとかやるなよお前。まさか。いや、こいつこいつやるからな。こいつやるとやるからね。こいつあ、やらないんだ。よかった。びっくりした。
[01:08:54.960] キプレイ。
[01:08:56.199] あれ?そ気プレイだよ。ファミコン版はやられたからね。俺
[01:09:03.080] バナナ食う力も
[01:09:05.719] ファミコン版はやられましたから私。
[01:09:07.520] それ
[01:09:07.920] つか何も見えなくなって茶まげは橋ぬ前に何食いたいよ。なんかバズ強いな。
[01:09:21.080] え、最後に何食べたいか俺が死刑囚だったら最後に
[01:09:27.839] ああ、
[01:09:31.120] もぐもぐって言え。
[01:09:40.040] 板チョコアイスしぼいやでもさわかんない。思いつかなくね?て
[01:09:41.567] [笑い]
[01:09:52.159] いたチョコアイスが食いてつって死んでくのか俺。
[01:10:00.800] 笑笑。
[01:10:02.280] あ、
[01:10:02.920] 今回よりも敵キャラの心情分かってる。
[01:10:06.159] いいだって昔なんだよ。イベント
[01:10:08.040] 1
[01:10:08.199] 個もなかったからね。このバズとかアトラスとか。こいつら急に出てきてなんやこいつっていうあれだったからね。
[01:10:14.400] これで残すはベリアル。そして
[01:10:20.239] メガンてやんねえんだ。最後まやって欲しかったけどね。こいつらならやつならやりかねないと思ったけどな。
[01:10:27.760] これキャラ的に1番最後にメガンて
[01:10:31.159] ドーンってやって
[01:10:39.719] モハの剣
[01:10:46.560] いやあ満タのまま行きてえけど
[01:10:48.400] まあ戦おうま戦う
[01:10:49.920] か
[01:10:50.159] 来いパンドラボックス
[01:10:52.280] いやでも正味もうボックス出てきても
[01:10:54.679] 勝てるって
[01:10:55.640] 呪いやめ
[01:10:57.880] ねのこなせっかくなんかこれさ、そうやら呪いの装備出てくんだよ。なんでだって結構だって使わないじゃん。なんかせっかくさあ装備拾なんか宝箱開けても全部呪いなんだけど意味あんの?なんかピサロでもない早いな。もう出てくんのかよ。早えなく
[01:11:21.880] 魔王だもんよ。
[01:11:23.600] 意味あるんだ。はっき
[01:11:25.760] ニコニコきコあれあれ
[01:11:30.640] ひどいわ
[01:11:32.640] 元は同じ人間なのに私まで殺すなんて
[01:11:38.199] あれ
[01:11:44.320] 本当ひどいじゃな
[01:11:55.239] え、何?何?何?何?何?何してんの?何してんの?おお。おいおいおいおい。何?何?お前らそんなことできた?
[01:12:10.600] 演出えぐい。ただすごい。
[01:12:14.120] ただすごい。
[01:12:16.400] 飛んでる姿初めて見た。飛べたんだお前。その、そのしょぼい羽であ、
[01:12:23.360] こいつ飛べたんだ。
[01:12:24.320] いているよ。お前のやり方は
[01:12:27.159] 魔法切れるならいつもの島で利用しようとするなんて
[01:12:31.239] どこまでも下げすね。
[01:12:32.560] 飾りだと思ってた。あの羽絶対無理やん。その失量的に
[01:12:38.600] 互いにこれ以上話すこともなさそうだな。
[01:12:42.960] あの洞窟で交渉も決裂したこと。
[01:12:45.760] こいつ飛べたんや。そのあれで
[01:12:49.800] 羽も重そうに飛んでる。伝説で飛んでた。
[01:12:53.800] 読んでねえよ。アベル伝説飛んでたんだ。これ
[01:12:56.440] かってる。
[01:12:57.239] あ、アベル伝説で飛ぶんだ。こいつ
[01:12:59.880] 知らなかった。
[01:13:03.800] さすがにこいつは強いだろうな。
[01:13:07.280] 確かビルダーズにでも飛んでたと思います。
[01:13:09.679] へえ。あ、そうなんだ。
[01:13:13.790] [音楽]
[01:13:14.120] ちゃんと飛ぶ演出あるんだ。こいつにしてくれ。
[01:13:18.320] お前は俺を満足させてくれるよな。お前は俺を満足させてくれるんだよな。
[01:13:26.000] ネタバレの3回目。
[01:13:28.800] ネタバレの3回目。こいつはこいつは
[01:13:34.719] 33
[01:13:35.440] 回戦うって聞いてるから。今んとこ俺はネタバレの
[01:13:39.800] 3回目です、これ。
[01:13:41.301] [音楽]
[01:13:44.520] ま、スクルト入れとく方がいいよね。スク
[01:13:52.960] 声出してこう。
[01:13:56.000] 今日の始まりだ。
[01:13:57.440] なるほどな。
[01:13:59.120] いやだよね。ああ、やっぱ最初歩するべきだったか。
[01:14:05.159] はい。1700。
[01:14:07.440] はい。1700。えー。え、
[01:14:11.440] なんか跳ねくなった気がしたけど、こんなことはなかったぜ。まずい。
[01:14:15.361] [音楽]
[01:14:16.960] 確かになんか大きくなったようには見え。ド、
[01:14:20.760] 1700。
[01:14:23.159] 笑笑。
[01:14:23.800] へえ。ああ、どうしよっかな。いや、まあいっか。まだ回復いいでしょ。最悪ベホマゾン入れればいいから。
[01:14:40.000] 最悪ベマズに入れればいいから
[01:14:43.120] スクルトをもう1回入れとく。いやあ、
[01:14:45.719] 迷うね。
[01:14:50.280] いや、フバーハも入れなきゃいけないけど
[01:14:51.600] 、ま、うん。マジックバリアも入れなきゃ
[01:14:54.040] いけないから。
[01:14:56.320] ここちょっとうん。あ、間違った。間違っ
[01:14:59.440] た。攻撃した。間違えた。ごめん。間違え
[01:15:00.760] た。
[01:15:03.080] まあまあ
[01:15:04.920] 危ねえ。
