[00:00:15.719] ポコっす。
[00:47:49.880] そういう事情もあって、今まで大切に保管されていたのだけど
[00:47:54.880] 頼りがいあるしな。
[00:47:56.000] 思っていくことにするわ。
[00:47:58.160] おい、どういうことだよ。俺とランディが俺の俺とランディがよ。倒りで見てじゃねえけど。顔でかい。ま、顔でかいの俺もだよ。ちゃたまさんありがとう。
[00:48:08.680] とても大事なよ。
[00:48:10.319] フあり。
[00:48:11.160] みんなも許してくれるでしょ。
[00:48:13.119] 笑笑。
[00:48:13.640] それから
[00:48:14.440] 残してよな。俺らも
[00:48:15.319] 俺も伝説の守り手が残した宝箱を
[00:48:18.119] 行けかないよな。死ん
[00:48:19.319] だけど開け方が分から
[00:48:21.520] 職業イケメンだぞ。こっちたら
[00:48:23.119] ねえ。
[00:48:23.480] あなたところを旅してきたんでしょ。
[00:48:27.640] この箱の開け方分かったりしない?
[00:48:30.480] 何?何?何?分かるんか?
[00:48:33.000] ちゃま何?うお。
[00:48:34.480] あ、
[00:48:36.359] フォローコメントしたのでいいつものにお願いします。
[00:48:40.480] え、それよりも中身は
[00:48:42.599] 1
[00:48:42.680] 回300円。
[00:48:44.880] えっと、いくつかの種とそれからこれは
[00:48:50.960] 何?何?何?
[00:48:51.440] 指だ。の種
[00:48:53.119] 綺麗ね。まるで太陽みたい。
[00:48:55.799] 何の箱?これ何の箱?
[00:48:57.440] ここで使った種が帰ってくる。
[00:48:59.240] 宝箱のことなの?
[00:49:02.520] 開けたのはあなたなんだから。
[00:49:03.839] え、そうなの?これ何?キーファの何?
[00:49:07.480] そういうことなの?
[00:49:08.760] え、キーファの胃袋ってこと?種入りのでも俺あ、
[00:49:14.000] と種泥棒と呼ぶなよってこと。こ
[00:49:17.920] へえ。
[00:49:18.799] ええ、でも俺あいつに
[00:49:21.440] 1個も種使ってないけど
[00:49:24.680] ねえ。私ずっと気になってたんだけど。
[00:49:28.319] そういうこと?
[00:49:29.400] アイラってやっぱり
[00:49:31.280] だよね。そういうことだよね。
[00:49:33.799] あなたたちは時々とても懐かしそうに私を見るのね。まるで他の誰かを見ている。一
[00:49:42.319] 番くじで当たった種のお金はないの
[00:49:45.760] なあ。キーファは返してくれたけど。おい、机に。おい、机に
[00:49:50.920] 1600ゴールド返せよ。1600
[00:49:53.520] ゴールド。キーファは返してくれたけど。
[00:49:57.000] 笑笑。
[00:49:57.680] おい、キーファは返してくれましたけど。
[00:50:01.520] 1600ゴールド。を1
[00:50:03.480] 番くじは返しません。
[00:50:05.760] 1600円返してくださいよ。
[00:50:07.839] ねえ、1つ聞かせて。
[00:50:11.240] 私
[00:50:11.640] 携帯綺麗にしてあげね。
[00:50:13.119] あなたの大済の
[00:50:15.880] こんなんじゃ。
[00:50:19.040] だから仲間にしてく。
[00:50:21.079] だからってわけじゃねえけど、お前が勝手に仲間になっただろ。それ怖。そ、いや、そういうわけじゃない。別にいや、ま、似てるのはどっちが正解だこれ。はいって言った方がいい。
[00:50:29.280] 家って言った方がいいの。似てるから仲間になったていうか、お前がすごい巻き込巻き込んできたんだけど。
[00:50:34.280] 違うだろ。
[00:50:36.760] でもなんかでもでもこのいい家っていうのがどっちのいい家なのか。
[00:50:41.079] キーファならねえだろ。
[00:50:42.880] でもどっちの家なのかお前をにでも大切の仲間に似てるって言いたい俺もいる。わさんこんばんは。ういでもそういう意味でもそういうことじゃない。別だから仲間にしてくれたのでチソはキーファンチなんだよ。
[00:51:00.839] チぞチャゾビはなんでか知んないけどキーファアンチになっちゃったな。
[00:51:04.359] 笑笑
[00:51:05.839] はいにしとくか。
[00:51:09.000] 笑笑
[00:51:09.680] そっかじゃない。
[00:51:11.319] でもそんなの関係ないわ。
[00:51:12.599] そうよ。そう。そういうこと。そう。俺が言いたいな。俺は言いたいな。そういうこと。そう、そういうこと。そういうこと。それはそういうこと。
[00:51:17.559] これからは私と一緒に楽した旅の続きをしましょう。
[00:51:22.640] みさんみたいじゃん。帰ったら続きをしましょう。
[00:51:25.480] 大人の奇スよ。
[00:51:26.839] でも
[00:51:27.440] 帰ったら続けしましょう。
[00:51:28.359] いつかきっとあなたたちに本当の仲間だって認めてもら。
[00:51:32.040] 仲間だよ。えっと、
[00:51:34.520] え、シ君シてけ。死になさい。
[00:51:44.000] みんな
[00:51:44.559] 言ってない定期。
[00:51:45.319] これからよろしくね。
[00:51:46.920] そんなこと1回も言ってない定期。
[00:51:49.520] あ、
[00:51:49.920] それ言ってないらしいぞ。言ってない。笑。
[00:51:52.839] まだ中学生の新宿のセリフじゃない
[00:51:55.839] な。中学生にさ、大人のキスしていいんか?みさんされてる。
[00:52:02.000] ネットに毒されてる。そんな、そんなセリフないの?
[00:52:06.079] CDけ、あれだ。
[00:52:07.480] ねえ、
[00:52:08.040] 死なさい。
[00:52:09.359] 今日はもうここで過ごしていかない?今夜はきっと突き明かりが綺麗だわ。
[00:52:15.640] お色け単いが
[00:52:17.240] は知らんから信じてる。も好きじゃない。
[00:52:20.839] え、言うよ。
[00:52:21.960] 言うよ。マジで言うからね。騙されないでね。他の人たちにランディ言うから信じて。俺、俺を信じて。
[00:52:30.000] みさんはそういう表現しかできないから悲しみと気持ち悪さがね。
[00:52:34.559] そう。さんはない。
[00:52:36.760] みさんはね、あの割とマジでなんエロいことでしかこう愛情を表現できないんですよ。
[00:52:44.440] さんが太鼓叩いたの。はち
[00:52:47.240] リツ子さんが最後たあのさらしまいってなんかあのあれもねえけどな。セクシーさはライラりなんだ。オッケー。じゃああのあれ枠ね。
[00:52:59.960] ねえなんだっけ?
[00:53:00.839] こっちに来ない?
[00:53:01.720] 何?
[00:53:02.680] せっかく仲間になったんだから今までの冒険の話を聞かせてよ。
[00:53:07.000] 言ったればええやん。別にお前のお前のひひひひひじいちゃん俺の仲間だよって。
[00:53:19.359] レが変わっちゃうかもしれないだろ。
[00:53:22.520] え、ダメなん?変わんないやろ。だって過去の過去でやったらあれかもしんないけど、もう未来にいるんだから。
[00:53:29.799] わかんない。
[00:53:30.520] わかんないね。難しいよね。こうしてエレンたちは新しい仲間アイラとよし語り合い波の音を枕にして眠った。枕がでかすぎる。
[00:53:38.839] も仲間も捨てたよ。てな、言っても冗談だと思うよ。
[00:53:43.680] いや、信じくれそうじゃない?
[00:53:44.760] タイムパラドックス知らない。
[00:53:47.400] 温かい塩数が辺りを撫でてき、レには故郷の村や白を思い起こさせるそんな一屋だった。そして次の朝
[00:54:02.480] 町育ち
[00:54:05.200] 悪そなやつは大体友達。
[00:54:07.319] あら、
[00:54:10.359] 大切なものを渡すのは忘れるとこだった。
[00:54:12.680] これはご様からずっと私の一族に伝わって
[00:54:14.880] きたものなの。この石板は袋に入れてこう
[00:54:16.640] か。おいおいおい。え、じゃあなんで
[00:54:19.000] キーファを持ってたってこと?まだ石板を
[00:54:21.359] 。
[00:54:25.599] うわ、レベル低。あ、レベル低。ユバール
[00:54:29.680] の剣。おり踊り子の服。
[00:54:33.799] これが普通。
[00:54:36.119] これが普通が上げすぎただけ。俺が上げ
[00:54:38.839] すぎた。
[00:54:42.160] これが上げすぎたのか。
[00:54:51.920] ま、こんなもんかな。装備品は。装備品は
[00:54:54.839] こんなもんかな。
[00:54:59.640] ガボって今何やってんだっけ?これ盗賊。
[00:55:01.640] あ、羊使いか。
[00:55:04.359] お、踊り手。踊り手。マスターね。
[00:55:07.880] これさ、転職した方が良くね?どう?これ転職した方が良くない?まだいい?転職
[00:55:18.119] はーい。
[00:55:20.599] 俺はとりあえず転職しよう。武ドになろうと思います。え、これなんか転職が代わりなのに
[00:55:29.400] なんかもう結構結構あれしてんじゃん。結構あれしてんじゃん。
[00:55:34.160] 戦士も半分行ってるし踊り子もかなりやってる。え、どうしよう。ゆば上級色行きたくね。
[00:55:50.960] 好きな時にコロコロ帰れるの今風だよな。
[00:55:53.799] 今風だよね。今風。あの今の転職風だよね。もうちょっとでも合わなかったらすぐやめていいんだから。
[00:56:01.760] 1週間でやめるからね。
[00:56:03.799] 今の子たちは1週間でやめるから。
[00:56:06.799] そうよ。もう無理。ちゃま君は将来何になりたいの?
[00:56:14.520] 将来何になろうかな。ちょっとでもさ、戦士と武踏化マスターしてバトルマスター行きたいよね。マスター、バトルマスター行きたね。で、ソウルといやでもタやねんな。
[00:56:32.640] 正味な、これ。べ、べたやねんな。駄菓し
[00:56:35.799] 屋さん
[00:56:38.240] ベタやねんな。
[00:56:41.160] 盗賊と羊使いでなんかなれるんでしょう。
[00:56:43.520] 確か
[00:56:45.200] なんかなれるんでしょう。え、ちょっと
[00:56:48.280] ちょっとさ、ちょっとさ、
[00:56:52.520] ユバ、これどうしよっかな。マジで何に
[00:56:55.160] なろっかな。スーパースター目指す。
[00:56:57.960] でも笑わせとかいけんの?ツっコミとか欲しいよね。踊り子でも踊り子はマスターしなきゃいけないんだよな。そう考えると
[00:57:12.960] 全員賢者とか全員スーパースターとか全然あり。
[00:57:16.680] いや、まあね。でもその効率をさ、考えたらそれはさ、効率を考えたらさ、ちょ、踊り子マスターするわ。どっちしろマスターしなきゃいけないしょ。
[00:57:26.000] これユバールの踊り手っていうのは
[00:57:28.559] 踊り踊り違う。また違うんだもんね。これ
[00:57:30.839] ちょっとこれで行こう。
[00:57:35.359] 効率を考えたらそれでもいいかもしんない
[00:57:36.960] けどやっぱみんな違う違くしたいやっぱ
[00:57:40.960] 違くしたいじゃん。やっぱり
[00:57:42.359] ねえなんだとか言っちゃうか。
[00:57:48.200] 伝説をツトゥーラの引き手を探すも増えた
[00:57:51.079] わけしてる時間はないわ。次の場所へ
[00:57:53.039] レッツゴーよ。
[00:57:55.760] あ、くめてるよ。ヤッホー。動画は悪。
[00:58:03.160] ショート動画は悪。
[00:58:05.520] 2倍速で見るやつも悪。
[00:58:08.880] 100個。
[00:58:10.599] ゲームのムービーシーン飛ばすやつが
[00:58:12.880] もう悪。
[00:58:15.119] ゲームのムービーシーン飛ばすやつも悪く。
[00:58:28.960] いいね。ここでね。くしゃび出るで。待って。
[00:58:34.039] 短い動画ばっか見てるとバカにな。
[00:58:36.280] そうだよ。バカになるぞ。あんなもんばっか見てると
[00:58:38.880] こと分かるもん。
[00:58:40.240] そういうことちゃうねん。
[00:58:41.400] 映画館の2
[00:58:42.280] 時間くらい耐えられないとか言ってるやつも悪。すぎる。
[00:58:46.400] ゲームやったことある。判定するやつも悪。あ、悪く。
[00:58:50.039] もう悪ばっかりや、みんな。もうドーパミン中毒になってな。あいつら頭バカになってるで。あれドパガきが。
[00:58:57.520] どうも。
[00:58:58.359] あ、何ですか?急でごめんだけど、今すぐマシに来てほしいんだ。わけはあってから話すからさ。勝手ながらみんなのお時間ちょっとかしもらってもいい?しょうがないの。声があの、声が星の愛だからあの、言ってやるよ。俺推しの子好きだから。
[00:59:19.920] ミレッカタンはフルボイスにしろ。
[00:59:21.880] 本当だよな。あ、来た。
[00:59:29.280] やあ。
[00:59:31.000] いらっしゃい。姉さんたち。元気そで安心したよ。実は転職のことでみんなに言わなきゃいけないことがあるんだ。なんですか?つまり私の修行終わりました。ダーマシンからあなたたら転職の方法を聞いちゃいました。なんですか?これか。なんとすでについてる職のにもう
[00:59:46.520] 1つ別の職業。
[00:59:47.720] ええ、何それ?え、セブンってそうなの?どういうこと?ついてる職業のもう
[00:59:54.240] 1
[00:59:54.400] つ別の職業につけるようになる。はなんやねん、それ。
[00:59:59.319] 副業タイミ。
[01:00:00.760] 嘘。
[01:00:07.760] 戦士しながら踊っちゃったり、盗賊しながら羊も勝っちゃったり、みんなの可能ですごく広がりまくりだね。
[01:00:12.240] 新様素だよ。
[01:00:13.559] あ、そうなんだ。
[01:00:15.920] さすがにこれ、これはさすがに
[01:00:19.680] Z世代仕用と言い技終えませんな。うん。
[01:00:25.039] え、じゃあ何?マリベルにじゃあ何?
[01:00:28.799] OL、OL昼はOL
[01:00:30.799] やらせて夜は何?夜はあのキャバクラで働かせることもできるってこと?
[01:00:35.640] で不動産経営とかもできる。
[01:00:37.480] そういうことね。
[01:00:39.119] 上げも加速感出していく。
[01:00:41.119] そういうことなの?キャバ嬢がさ、
[01:00:46.119] させられるってこと?
[01:00:47.200] キャバ嬢がさ、私昼は
[01:00:49.720] OL
[01:00:50.039] やってるのって聞くとさ、関心が勝つけどさ、
[01:00:53.240] 食堂どうなるんや?や、
[01:00:54.880] OL
[01:00:55.200] がさ、私夜キャバ嬢やってるのって言うとちょっと絵って思うのってさ、ゲームじゃね
[01:01:00.200] すごいよな。何が違う?同じはずなのに。
[01:01:05.039] はーい。
[01:01:06.039] なんだろうな。
[01:01:07.119] 何なんだろうな。娘育てるゲームあれな。
[01:01:09.280] あの、なんだっけ?
[01:01:09.960] パチンコの駆け持ちしよ。
[01:01:11.960] バイナリーオプションとパ競馬の何?何?何?え、そうなん?駆け持ちができんの?時代でさね。時代だね。
[01:01:25.200] を死体にしているのかわからなくなるからかな。
[01:01:28.640] 時代でさね。
[01:01:30.000] キャバ嬢を彼女にするのと彼女がキャバ嬢になのに。
[01:01:35.880] 確かにな。確かにな。違うよな。
[01:01:39.799] あのマインド何なんだろうな。あの
[01:01:42.400] マインドキャバ嬢の女落とそうとするのに
[01:01:46.119] キャバ嬢の女は口説き落として落とそうと
[01:01:48.839] するのに彼女がキャバ嬢やろうとし
[01:01:51.319] たら怒るの何なんだろうな。
[01:01:55.039] はーい
[01:01:58.559] 今日は色々と考えさせられますね。カール
[01:02:02.799] 同じじゃないだろ。笑つう
[01:02:05.839] ことはそういうことか。から今まで戦って
[01:02:08.599] きた強い技を持ったまんま強い技を持った
[01:02:13.440] まんまあれができるってことね。はあ。
[01:02:17.440] なるほどね。え、じゃあそんなんさ、もう
[01:02:20.839] いいじゃない。これで戦士の技も使い
[01:02:22.760] ながら武踏もマスターしていくということ
[01:02:25.400] でいいんじゃないでしょうか。ということ
[01:02:27.160] でいいんじゃないでしょうかと思います
[01:02:28.920] けどもね。思いますけどもね。
[01:02:33.520] はもできちゃう。複合色ダブル何それ?何
[01:02:39.760] ?複合ダブルって。あ、こっちもね、
[01:02:43.960] こっちもなんかしらあればダブル出てき
[01:02:45.839] ちゃうよってことね。
[01:02:51.760] だから
[01:02:54.000] じゃあ待って。なんか
[01:02:56.240] じゃあなんかせっかくだからもっと新しい
[01:02:57.920] のなんかるね。
[01:02:59.400] 新しいのなんか行こうよ。新しいのなんか
[01:03:01.880] 行こうよね。
[01:03:10.960] え、何しようかな。銀勇主人とかやって
[01:03:12.960] みる。
[01:03:17.200] せっかくだったらやってもいいよな。
[01:03:25.760] ああ、まずもう上級色が解放されないと何
[01:03:28.920] をやいかが
[01:03:29.920] 迷え
[01:03:31.000] 何をやいかわかんねえよ。
[01:03:35.440] せっかくだからさ、まだ魔法さえもうだからええ、どうすればいいかわかんなくなってきちゃった。銀勇詩人かな。とりあえずやってみよっか。
[01:03:51.559] 永遠にジョブ上げしてストーリー進めるのちょっとだるくなれ。
[01:03:57.480] いや、そうなりかねんよ。なりかねんよ。これはこの子将来何になりたいのよ。
[01:04:08.599] お子原船のりやむじいなあ。盗賊でも盗賊持っとこっかな。で踊り子とじゃあ笑わせ行っちゃっていいっすか?
[01:04:21.520] じゃあ笑わせ行っちゃっていいっすか?笑わせ行っちゃっていいっすか?あ、違う。間違えた。こうのわせし行っちゃおう。もうこいつスーパースター目立すわ。
[01:04:34.520] あらちゃんスーパースター
[01:04:37.760] ダメです。
[01:04:38.760] 何がダメなの?いいべ。えー、職業の駆け持ちだよ。はあ。時代やね。
[01:04:58.200] 時代やね。
[01:05:03.799] こいら次の町行こうか。
[01:05:16.079] どっち行くんだ?こっちか?まだダめだ。
[01:05:19.000] まだダめです。こっちはまだ完成してい
[01:05:21.400] ません。おあ、行ける。行く。
[01:05:35.640] こちとら来年度ベースアップなしって言われかけてるってのによ。
[01:05:40.160] 何こんな簡単に転職できていいよな。
[01:05:44.440] ガモ
[01:05:45.559] くんくん。なんかこの風は海の匂いがするぞ。エスタート島みたいな風だ。おロルやん。
[01:05:52.960] せ、
[01:05:53.400] おいおいおいおいおいおいおい。
[01:05:55.680] くんくんまずい。
[01:05:57.319] くんくんはまずいって。もう新しいとこに来た敵も全部一発で倒せちゃうのダめだって。新しいとこ来たんだからダめだよ。だめ。もうもうあのやめよ。あれやるとあまりにもぬるくなりすぎる。
[01:06:10.839] 初見ワンパンやめてね。
[01:06:12.160] 初見ワンパンやめてね。さすがにちょっとちょっとさすがにちょっとぬるくなるからのをさせない。こ
[01:06:20.119] れ良くないよね。
[01:06:22.680] なんならキラーパンサーも俺初めて戦ったもかもしれん。へ。え、
[01:06:30.480] ええ。
[01:06:33.839] お色け担当やん。やっぱりね。
[01:06:38.960] あ、待って。なんかん、これさ、職業駆け持ちしてるとなんか熟連度が少なくなるのか。
[01:06:48.240] そりゃあち光を
[01:06:59.480] 楽勝。
[01:07:01.799] あ、そんなことなかった。職業をマスターした。職業をマスターしたキャラクターはさらに
[01:07:07.680] 3
[01:07:07.920] の熟連動を確こどう?どういこと?どういこと?これこれこね。え、ちょっとようわからん。どういこと?職業をマスターした。
[01:07:15.079] 職業をマスターしたキャラクターには
[01:07:16.680] さらに3の熟連動。
[01:07:20.000] え、さらにいっぱいもらえてるってこと?
[01:07:21.520] 今俺はめっちゃ早い。めっちゃ早い。まだ
[01:07:24.680] 2回しか戦ってないのに。まだ2回しか
[01:07:27.920] 戦ってないで。
[01:07:33.760] おいおいおい。
[01:07:35.480] ドラクエはどこまでで時短ゲームになっていってしまうんだ。そうね。
[01:07:46.000] まあでもしょうがないよね。霊和ってそういうことだもんね。霊和ってそうだもんね。
[01:07:57.279] マスターしてたらもう1
[01:07:58.680] つの食業に少しつくからもったいなくなる。
[01:08:01.400] なるほど。なるほど。なるほど。片っぽ片っぽスターしてたら
[01:08:07.880] いやでもドラクエ中にはこんな簡単にして欲しくないな。正味。
[01:08:13.880] ドラクエ中にはカスター。ドラクエ中にはなんかこんな簡単にして欲しくはない。死ぬ前に出てくれ。限界リスナーもいますと。
[01:08:33.120] 限界リスナーも
[01:08:34.560] 片っぽマスターカスター
[01:08:36.520] 片っぽマスター略してカスターカスターしてたらオッケーね。
[01:08:47.880] いや、これは早いわ。これはなんならあの殴って倒すよりあれだな。ちゃんと戦った方が早いな。
[01:08:54.719] 8もらえんだもん。だって
[01:08:57.640] なんだか小さな村ね。もう日がくれてるし。
[01:08:59.600] どっからで休ませてもらいましょう。
[01:09:01.759] おや、飛びの方ですか?昨日といといこんな田舎に珍しいここはアボンの村。え、何もないところでゆっくりしていってください。うん。
[01:09:12.359] はい。
[01:09:13.199] 昨日この村にいらっしゃった年お年寄りの学師さん素敵なネ色素敵なネ色を聞かせてくれたのよ。結早く立たれたみたいだけどつかまた来てもらえないかしら。はあ。
[01:09:24.960] おお。村の端っこにある階段は岩山を
[01:09:28.199] 抜けるトンネルの入り口だべよ。トンネル
[01:09:30.480] を抜けて南に行くとフズの村。こっから
[01:09:32.960] 北東へ向かえばハーメリアの村だべ。
[01:09:36.040] ハーメリアなんかいいね。
[01:09:46.799] え、学詞って何?湯バールのあれじゃねえ
[01:09:49.199] の?俺は今まで音楽になんて何の興味も
[01:09:51.920] なかったんだけどな。あの学士見てく
[01:09:54.120] サびれたじいさんだったか。
[01:09:55.239] あいつがすごいのは分かる。あ、くそ。もう
[01:09:57.239] 1
[01:09:57.320] 度聞きてえな。え、あれなんじゃないの?ユバールの
[01:10:00.440] 頭いい人。
[01:10:01.640] ユバールのあれじゃないの?おいら腹よ。ジョナさん。
[01:10:07.719] え、腹っちまって。早く目にしよう。
[01:10:13.000] 全然あら喋らないじゃ。
[01:10:14.520] あれね。な
[01:10:16.400] んだっけ?なんだっけ?あの
[01:10:18.159] U
[01:10:18.280] バールのあの変な変な意味わかんねえやつがギターみたいなも。もう名前忘れたわ。もう名前忘れた。
[01:10:24.600] はい。や、
[01:10:29.640] 今朝村を出て行った学がえ、今度は南のフの村へ行くって言ってたぜ。もし会いたけりゃ明日早く出りゃ追いつけるんじゃねえのか。
[01:10:39.679] 第一のトゥーラ。
[01:10:40.960] トーラ。トゥーラ。そう、トゥーラ。
[01:10:42.280] トーラの引き手なんじゃないの?違うの?
[01:11:01.520] ああ、嫌だ。あんたいつの間に?いや、何
[01:11:04.760] ね?昨日この村に来た学さんが離れた
[01:11:06.840] メドリーが妙に心に残ってね。そい口だよ
[01:11:10.080] 。言いとして恥ずかしいんだけどね。
[01:11:21.560] どこで休むんすか?これ。ここ
[01:11:24.480] 宿屋やなくない?ここ。
[01:11:39.239] ああ。はこの村の村長じゃ。こんなばあ
[01:11:43.159] さんが村長ってのおかしいから別に
[01:11:44.480] おかしくないし。なんでそんなこと聞くの
[01:11:45.679] ?別に女性が村長をやったって別にいい
[01:11:48.239] だろう。なんでそんなこと聞くの?そんな
[01:11:49.840] ことないと思いますよ。そんなことないと
[01:11:51.920] 思います。女性が村長やってもおかしく
[01:11:54.520] ない
[01:11:57.120] ところでお前さん民の人とお見けするが
[01:11:59.080] もう村の連中は十分見ったかん村の中ま
[01:12:02.719] 大体みたい
[01:12:04.280] ね下構ないよね。
[01:12:08.440] こは山奥宿屋1
[01:12:09.880] つもありやせん。困ったらうちに泊まっていあ、いいんすか?ちょっと止まらせてもらおうかな。ん?何ですか?すいません。寝坊しました。あ、すいません。
[01:12:27.800] なんだか村の中の様子が変なのよ。調べに行くんだからさっさと起きてちょうだい。おい、おい。普通に置いて。
[01:12:36.199] おい、こういうさ、もう大事に扱ってくださいよ、これ。こういうのなんでここにあるねんっていう。まず説明もなし。
[01:12:50.159] ねえねえ。な
[01:12:54.520] んな
[01:12:58.120] ベッド6つもある。
[01:13:03.159] もう仲間も増えてきたしな。
[01:13:05.520] え、あれ?誰もいないよ。誰もいなってますけど。
[01:13:10.239] うん。
[01:13:11.120] 私たち狐かぬきに馬鹿されたのかしら。でも家はちゃんとあるし。確かに昨日まではここに暮らしてる人がいたはずよね。おらんの?
[01:13:20.199] え?
[01:13:20.880] ちょ、ちょっとこれどういうこと?どうして誰もいないのよ。昨日は夜でもあんなに村人がいたのに。
[01:13:25.520] おにゃ
[01:13:26.560] なあねん。このね、村人の気配全然しねえんぞ。おらんね。おらんね。
[01:13:35.760] こっちか
[01:13:42.280] ですよね。
[01:13:45.760] こっち行っちゃっていいんかな?あわあ
[01:13:49.159] なんか今でかいのいた。
[01:13:54.520] ドロヌーバ
[01:13:55.639] そりゃ
[01:13:58.080] はあよ
[01:14:04.280] 楽勝
[01:14:06.880] これ8
[01:14:07.639] もらえるってえぐいよな今まで何やってんというちょっとあのさすがに剣でさ
[01:14:16.080] 1
[01:14:16.199] 発で倒しちゃうのはちょっとさすがに味けないんで
[01:14:19.159] ちょっと戦い目で行きましょう。戦い目で
[01:14:21.639] あ、熱いわよ。
[01:14:25.440] それせア。
[01:14:31.040] ま、ざっとこんなもんね。よりレベル上がんねえか。あ、片っぽ。いや、でもそんなことないよね。かなり上がってるよね。やっぱ早いよね。
[01:14:49.600] ま、ちょっと待、ちょ、待って、ちょ、待って、待って、待って、待って。魔物ストーンマンですな。でかき
[01:15:03.560] 行け。
[01:15:06.760] えい。は、は、は、強い。せ、
[01:15:11.400] うん、強い。
[01:15:15.480] それはオケ。いいよ。
[01:15:24.840] やったわね。
[01:15:29.199] よしよしよしよしよし。早いね。
[01:15:43.320] なんですか?どこですか?これどこ行きゃいいんだ?下か
[01:15:55.199] り。
[01:15:57.360] えー、ドラクエ12
[01:15:59.159] はどうなんだろうな。なんかあんまり簡単にしないと欲しいな。い
[01:16:03.840] や、この今のこのセブンが悪いわけじゃないんだけど。
[01:16:08.639] えい。
[01:16:11.760] これもいいけどね。サクサク遊べて。にな。
[01:16:14.920] これちょっとサクサクすぎよね。あ、マスターした。メラゾーマ来たよ。マスターしました。マスターしたけどメラゾーマせっかく覚えたけどメラゾーマを使うことなく。え、これも上級色行けんの?ああ、行けるやん。
[01:16:36.719] 行けるやん。上級色強いがちょうどいいんだけどな。
[01:16:40.679] 強。11
[01:16:41.560] ぐらいがちょうどいい。ほんまにそれ
[01:16:44.199] もう
[01:16:45.360] もうね、正味ね、正味ね、ドラクエのシステムはもうね、完成されてしまってる。あれそこあれが限界よ。ドラク
[01:16:52.840] 11
[01:16:53.120] がちょうどいいのよ。いやいやいや強すぎ。ワロタ
[01:16:58.280] バギム
[01:16:59.199] まんテラ。はい。強すぎ。マロタ。
[01:17:05.159] どのゲームもサクサクになりやがって。
[01:17:07.560] もうサクサクやかな。ちょっといいっすか?これで行かせてもらっちゃって。これで行かせてもらっちゃっていいすか?銀勇主人
[01:17:16.159] パンパンだ。
[01:17:17.880] 昨パンなんやが何これ?賢者とはてな。本当は戦いのことを優先するんだったら片っぽ使いにして。
[01:17:33.960] あ、片っぽ使いにしよっかな。どうなんだろう。銀勇主人ってマスターする意味あんのか俺。いや、でもうん。どっちのがいいと思う?みんなどっちのがいいと思う?これ戦いのこと言う説だったら
[01:17:49.239] と7やったやつは64シャド。
[01:17:52.600] 本当だよな。この快適差味わったやつはさ、シャドウゲート
[01:17:56.320] 64
[01:17:56.760] クリアしないて誰だよな。音楽、音楽が思い出せねえけど、もう。
[01:18:04.080] てててレルテレルレてレルテててルルルンルルルルルルんルルルン
[01:18:13.719] きつい
[01:18:17.120] 何がきついんや
[01:18:18.239] 難易度で風引くやめてレルレルルルルルルルンルルル
[01:18:32.719] てんてんてルんルんルんルンいいゲームだろうがよ、あれもよ。
[01:18:43.120] お、社員スコール
[01:18:45.360] 行け。
[01:18:48.760] それあ。
[01:18:51.520] おい、アイラ、もうキップアタックしかしないんだけど
[01:18:57.719] エロ売りすんなよ。
[01:18:59.440] や、
[01:19:00.480] あらさん、その年でエロ売りやめてね。
[01:19:04.040] やったわね。
[01:19:08.159] ああ、どうなんだろうな。これ銀勇指示に外してもいいかな。マリベルの魔法使えなかったら勝ただの女の子になっちゃうんですよね。
[01:19:16.679] 今年でいくつだと思ってんだ。
[01:19:19.520] わかんない。
[01:19:20.560] いくつなんですかね?いくつですか?アイラさんって何歳ですか?週の無罪になっそれ今、
[01:19:33.600] それ今
[01:19:35.560] 機種のドンファン無罪にったの?嫁
[01:19:40.760] どんなもんだ?
[01:19:41.880] のドンファンなんだよ。
[01:19:47.360] 全然ガキなんかフの村ハーメリアフの村行けって言われたやな。フズの村行けって言われてやな。ルルルルルルル。あ、ツボ魔人。え、お前ってそうやって歩くの?え、お前ってそういうシステムだったの?
[01:20:09.520] 笑笑。
[01:20:10.040] こいつって何?こういうシステムなん?
[01:20:13.320] え、これあれやん。あの彦のさ、あの芸人
[01:20:16.320] と一緒マジであれじゃん。いいなんかとか
[01:20:19.280] じゃなくての人じゃん、これ。え、あれ原
[01:20:22.159] に忠実だったんだ。
[01:20:24.679] 移動自体が俺の人のこれシステムだったん
[01:20:29.760] だ本当に
[01:20:31.719] りた
[01:20:34.639] なそんなん笑。え、あれ原作にあ、結構
[01:20:40.000] 普通に中身出てくるんだ。
[01:20:42.960] テステだったんだの曲やけど。
[01:20:45.840] え、これロマサガの曲だのこれ?
[01:20:49.320] え、これロマサガの曲だろ?やた
[01:20:53.560] ててレてレてレてレててレてレてレてレてレてだよ。
[01:21:00.440] そうだよ。笑
[01:21:01.520] よ。え、もう俺ロマサがやんなきゃなんねえじゃねえかよ。この曲もそうだしさ。
[01:21:05.480] あの、総加学会のマットのさ、あの、こんなにもねねねとかさ、ロマサがやんなきゃいけねえじゃねえか。こんなに俺配信で歌ってたら
[01:21:21.280] せい
[01:21:25.120] ヨガフライム魔法だ。魔ハローだ。魔法ロマサガ
[01:21:28.960] 2。あ、無理だじゃ。ロマサガ
[01:21:31.880] 2じゃ無理だわ。
[01:21:36.199] これちょっとさすがにこれはちょっと命令してもらおうか。
[01:21:38.679] 先生。
[01:21:41.080] え、せ、魔法。あ、
