[00:01:40.439] エボ
[00:43:54.720] これじゃよ。
[00:43:56.599] わしじゃよ。くばれ。おろ。よしよしよしよし。
[00:44:01.359] ほほ。2
[00:44:02.359] 段ジャンプできちゃうからね。ほ。ああ、ちょっとちょっとちょっとちょっと
[00:44:12.760] 笑笑
[00:44:13.680] ちょっとちょ、
[00:44:14.119] 笑笑。
[00:44:16.319] これじゃなちょ。
[00:44:17.559] 笑笑。
[00:44:18.200] ちょ、ちょ、ちょ、ちょ、ちょい。ちょ、ちょいのちょいのちょいで漏れとるよ、これは。ちょいのちょいのちょいだね。いやあ、ちょっと勘弁してください。
[00:44:29.440] これちょっとちょっとちょ
[00:44:33.079] ちょっと待って。ちょっと待って。
[00:44:33.920] ここここから。ここからここからだからもうもうもうもうもうこれもうラストコンティニュー。
[00:44:44.240] ちょっと待て。ちょっと待て。おにちゃ。
[00:44:47.720] いや頼むで。ずこんばんは。やってますよ。今日クリアしますわ。やあ、もう頼むよ。
[00:44:59.920] ただもうちょっと分かった。
[00:45:00.880] これじゃな、
[00:45:01.839] もう分かった。もう分かった。もう分かった。あの木をここで取ればいい。木をここで取ればいいじゃないという。そういうこと。
[00:45:32.319] オでここで木取るじゃん。木取って木を
[00:45:36.960] 取って戻る。戻るじゃん。
[00:45:42.520] ああ。
[00:45:50.440] 笑笑。
[00:45:53.319] ほんでほんでこいつも木を取りに行く。こいつも木を取りに行く。あれ潰されたら終わりだからな。あの変なリフトに潰されても終わりだから。木
[00:46:04.079] からの木。
[00:46:05.359] 木からの木よ。よしよしよしよしよしよしよしよしよし。
[00:46:17.359] これでもうこれ勝つるでしょ。これは勝つ
[00:46:21.920] わ。
[00:46:27.359] 毎回びっくりする。あそこ。
[00:46:32.920] そんでさ、そんでだよ。
[00:46:36.480] そんでこここの第1の遺跡もクレス君で
[00:46:39.079] 行った方がいいと思うんですよね。僕第1
[00:46:41.599] の遺跡はクレス君で行くべきだと僕は思う
[00:46:45.240] んです。
[00:46:53.480] ワクワク。
[00:46:59.359] これ横長のダンジョンの時はやっぱクれす
[00:47:01.240] よ。
[00:47:09.000] こういうことができるからね、こいつは。
[00:47:12.160] こいつはこういうことができるから。
[00:47:16.640] こいつめちゃめちゃやばいから。ふーふー。あの木状態の木状態のね、クレス君はこれができるから。ああ、もうえ笑べ。もう
[00:47:37.359] もできますと。
[00:47:40.440] もうええ。もう
[00:47:44.200] そうだね。なるほどね。
[00:47:46.440] もうえって。なんやねん。ま、僕も
[00:47:54.079] 2
[00:47:54.200] 段ジャンプできますから大丈夫です。助けりゃいいだけの話。助ければいいだけの話だからな。よし。
[00:48:14.200] なんでさっき落ちた?なんかね、たまに失敗する時あるんだよね。たまに失敗する時あるんよね。
[00:48:27.520] たまに
[00:48:29.119] たまにたまにたまに
[00:48:30.200] 運が悪い時。
[00:48:31.680] そうそうそう。なんかたまに失敗する時ある。
[00:48:58.640] あ、いや、いい、いい、いい。これ、これ
[00:49:01.520] いい。これいい。これいい。これはもう
[00:49:03.160] こうだから。
[00:49:11.599] ここあのあそこにがあることによって俺をね、俺に銅を取らせようとしてくるんだけどその手には乗らない。その手には乗らんよ。
[00:49:24.480] さすがやね。
[00:49:26.240] もうこれこれ行っちゃうぜ、これもう。あ、え、
[00:49:29.280] これ吐きで聞く。
[00:49:33.920] あ。
[00:49:39.839] ここ気をつけてよ。ここ気をつけてよ。
[00:49:41.920] キー取らないよ。キー取らないよ。
[00:49:47.040] よしよしよしよし。
[00:49:54.280] うまいことここ取れないになってんねんな
[00:49:56.200] 。おお。怖いな、お前。
[00:50:04.559] ちょ、あいつ邪魔やな。
[00:50:08.440] やめて。おわ、危ねえ。
[00:50:18.839] あいつ先に倒していいか?
[00:50:27.000] ちょっと待。下手くそ。もう下手くそ。
[00:50:29.640] ああ、な、なんな、なん、
[00:50:41.400] 痩せる。
[00:50:43.680] ついなんか手元がふ。よし。オ、オ、オ、オッケー。ふう。
[00:50:59.040] よしよしよしよしよし。まずはオッケー。
[00:51:01.079] まずはオッケー。
[00:51:03.839] いや、こっから取り戻すぞ。
[00:51:10.839] これでも資金距離。資金距離。
[00:51:26.119] オケー。
[00:51:27.319] よしよしよしよしよしよし。いいですよ。いいよ。
[00:51:31.720] おお、
[00:51:33.200] いいよ。いいよ。オ、オッケー。
[00:51:40.599] 即しないボスは癒し。ええやんや。ええ。
[00:51:44.400] ええやんや。ええやんや。え。よしよしよしよしよしよし。次行くよ。で、ごめん。ここあえて。あ、このまま行っちゃおっかな。
[00:51:57.240] いや、でもどのとこドアもうちょっと
[00:51:59.480] クレスじゃ死ぬから。ドアちょっとクレス
[00:52:02.319] じゃ無理だから。
[00:52:05.359] ここね、ちょっとね、この子を次の
[00:52:07.960] ダンジョンのために木にさせておきたい。
[00:52:11.920] もうそういうそういう戦術が必要になって
[00:52:14.040] くる。
[00:52:16.119] よし、
[00:52:19.599] これで戻っとく。次。お前ほんまええな、
[00:52:25.160] お前。
[00:52:26.720] すごいな。証人サッカーにいたよな。空歩くやつ。ちょ、空歩くデブいたよな。ここはもうウィットさんで行くしかないな。ウィットさんで行くしかないよ、ここ。
[00:52:41.799] 笑笑。
[00:52:43.760] ここはもうやっぱ、あの、どのボスはやっぱ遠距離持ってないと無理よね。
[00:52:53.520] 商輪サッカーってコミカルでおもろかった。
[00:52:56.319] よね、あれね。ま、俺はあのデブに似てるって言われていじめられましたが、体育でサッカーの時おい、空飛べよって言われてさ。
[00:53:10.559] 笑笑
[00:53:11.160] できないよって言ってた。できないよ。
[00:53:30.520] なんやこれ?
[00:53:31.799] 人生ずっとデブなの?
[00:53:36.760] あ、そうだけど何か小学
[00:53:40.359] 2
[00:53:40.559] 年生ぐらいまでは痩せてたな。痩せてた。うん。親が離婚するまでは痩せてた。
[00:53:51.839] いや、別にいや、別に関係ない。別に関係ないよ。別に関係ないよ。別に関係ないからね。別に何も関係ない。
[00:54:01.839] 姉ちゃんは痩せてるの?
[00:54:03.119] あ、姉ちゃんバカ痩せてる。バカ痩せてるし。バカちっちえ。
[00:54:21.720] け子さんは?
[00:54:23.240] けこは子供の頃太ってたみたいだね。今全然太ってないけど。だ、やっぱね、橋本はね、りしてる。
[00:54:32.319] 橋本はやっぱ太るDNA
[00:54:34.079] 持ってるんすよ、みんな。
[00:54:51.960] やはり才能か。
[00:54:53.599] そうかも。
[00:54:57.079] 自然なら有能。
[00:54:59.119] あれ、どう思ってねえ俺。ああ、こめんどくせえ。どうなんだよこ自然界なら有。
[00:55:16.640] 冬近くにいるとあったかそう。
[00:55:20.880] ああ、車乗ってると俺の方の窓だけ曇もるわ。俺の方の窓だけ曇もるわ。なぜか?
[00:55:27.400] 笑笑もう。
[00:55:36.559] むしいよ。これ
[00:55:48.240] 天使
[00:55:51.200] これ無って結局こいつで行かなきゃなんねんか。
[00:56:19.839] いや、この
[00:56:21.799] ドいや、どの敵は倒せないと思う。
[00:56:28.839] どいてどけ。
[00:56:55.079] これさ、ちょっとボス、ボスの扉開けたら
[00:56:57.480] さ、
[00:56:59.760] 木を取りに戻った方がいいかもね。
[00:57:02.280] これ多分どうじゃ勝てないよ。さっきと同じことになるよね。遠距離じゃないと無理だよ。
[00:57:10.480] せやな。
[00:57:11.319] ねえ。ただ戻るのも大変だ。間違えた。ここじゃねえ。
[00:57:47.839] あ、これどうなきゃだめなんか。
[00:57:52.520] これがきついよね。
[00:58:02.520] またここジャンプ引っ張られるんだろうな
[00:58:04.160] 。やだな。なんかしんねえけどこう
[00:58:06.319] ジャンプ引っ張られるんだよ
[00:58:10.480] な。いった。なんかやっぱおかしいからね
[00:58:12.400] 。ここだけ。ここだけ足ねっ張るからね。
[00:58:25.359] ねっぱる。
[00:58:26.359] うん。寝っ張る。ネっ張るって言わない。なんだ?ネバネバするってこと?
[00:58:37.640] 聞いたことない。
[00:58:39.920] 聞いたことない。嘘でしょ?
[00:58:42.079] 言わない。
[00:58:42.920] 言わないか。さあ、ここだよ。寝っ張る。寝っぱ。
[00:59:00.880] ネパー。
[00:59:08.319] ちょっと待って。怖くなっちゃった。怖くなっちゃった。今怖くなっちゃった。
[00:59:15.599] ここすごくはあ
[00:59:22.920] 笑笑むすぎる。もうむずい。
[00:59:37.640] ちょっともうこれさ、勘弁してくだせえよ
[00:59:41.039] 。
[00:59:44.559] これもうワン捨てクリアでセーブしようか
[00:59:46.359] な。
[00:59:56.160] ちょ、ワン捨てセーブで
[00:59:57.319] そろそろ会禁あるで
[00:59:58.599] あるよね、これもちょっと申し訳ないけど
[01:00:00.480] 今日クリアさせて。
[01:00:03.240] もう今日クリアさせて。
[01:00:07.520] ま、ルブペイクア頑張え。
[01:00:17.319] あ、くる。こんばんは。頑張れ、頑張れ。
[01:00:22.799] の神微に
[01:00:23.640] せさん、こんばんは。ちょっともう、あ、違う。これ
[01:00:28.160] 1回あれ取ってこなきゃだめだね。
[01:00:47.119] キー取ってきますわ。
[01:00:53.559] いやあ、
[01:00:58.160] なんだ、今日俺すぐクリアできると思った
[01:00:59.720] んだけどな。
[01:01:20.920] いや、そこにやめて。
[01:01:34.520] とりあえずな、とりあえずこれ持ってこう
[01:01:36.240] 。
[01:01:45.559] よしよし。
[01:01:52.839] ここのステージは大丈夫よ。ここの
[01:01:54.760] ステージは大丈夫。
[01:02:58.480] ここは簡単だな。ここ癒しだわ。ここ
[01:03:03.119] めっちゃ簡単。
[01:03:29.640] トが怖すぎる。
[01:03:30.880] よしよし。いや、ここはね、あんまりトゲないから。この次だよ。やばいのは。よしよし。いいね。ここ安定してていいね。オッケーオッケーオッケオッケー。一応回復しとくか。
[01:04:08.599] オ
[01:04:15.200] イエスイエスイエス
[01:04:21.440] ほんでよ。ほんでよ。うーん。ごめんなさい。ちょっとセーブさせてください。ちょっともうごめん。もうこれセーブさせて。もうクリアしょ。もうクリアしょね。もうクリアしょ。
[01:04:37.319] 1
[01:04:38.880] セブの名前も適当です。もうさせ
[01:04:43.880] 行き。
[01:04:45.359] 許しちゃってください。や、これ。あれ?これエ。
[01:04:51.400] ちょっとこれ許して。もう行きたい。もうクリアしよう。もう
[01:05:02.000] うすともうお別れか。
[01:05:04.039] そうよ。もう親だから。今日から今日でもでもいいゲームだったな。もうクリアした感なあ。いいゲームだったよな。
[01:05:21.000] またやりたいね。
[01:05:22.240] またつかな。忘れた頃に。もうクリアした感で言ってるけど。
[01:05:33.839] うスにないの?
[01:05:35.119] ないよ。ウシスはもうこれしかない
[01:05:39.680] もなんか
[01:05:42.839] 任天堂のあの
[01:05:45.960] スーパープリンセスピーチっていうDSの
[01:05:48.520] ゲームがあるんだけどそれはなんか何やろ
[01:05:51.160] 右者右者を真似したんじゃないかっていう
[01:05:53.920] 噂があるんだよ。あれも木怒哀楽のゲーム
[01:05:56.559] なんだよね。ピーチ姫のなんかピーチ姫が
[01:05:59.319] 起こったりなんかあれした
[01:06:01.279] りっていうような。
[01:06:02.559] それでアクションが変わるみたいな。B
[01:06:04.160] チームのアクションゲームなんだけど、なんか数、数のを参考にしてるんじゃないかみたいならしいぜ。
[01:06:18.359] 木怒哀楽特許取ってないんや。
[01:06:21.920] 無理があるだろ、これ。無理があるだろ。起動くで特許と飛んの
[01:06:25.680] マイクラとポコポケみたいな感じか。
[01:06:28.480] そう。
[01:06:30.359] 何?そうってなんだそう。
[01:06:45.480] ここもね、行くのは簡単なんです。行くの
[01:06:50.079] は簡単なんす。
[01:07:15.799] ここでどう飛んなきゃいけないというね。
[01:07:18.200] これがきついん。ここからなんだ。きつい
[01:07:19.960] のはな。
[01:07:31.920] おい、
[01:07:43.200] ここだよね。ここだよね。
[01:07:50.039] オッケー。で、開ける。いや、どうで
[01:07:53.160] 勝てるか。
[01:07:58.279] ただここ俺もう1回いや、無理。無理、
[01:08:01.680] 無理、無理。
[01:08:03.839] ここはちょっと行かせてもらうわ。いや、
[01:08:05.839] どうだ?弱いんだよな、これ。めっちゃ強
[01:08:09.359] そうなのにさ、めっちゃ弱いんだよね。
[01:08:15.319] うわ、待ってよ。なんかつめねえよ。
[01:08:25.600] おい、下は食うのやめてくれ。下は食うの
[01:08:28.759] やめてくださいよ。
[01:08:34.279] ちょっとちょっと。
[01:08:40.239] いや、
[01:08:46.040] ちょ、ちょ、ちょっとちょっとちょ待って
[01:08:47.520] 待って待って待って待って待って待って
[01:08:48.759] 待って。おお。
[01:08:59.440] 危ね。
[01:09:08.159] 待って。めっちゃむずいやろ、これ。
[01:09:13.279] ああ、もうこんなん無理。こんなん無理だ
[01:09:17.239] よ。
[01:09:20.239] これは無理だよ。
[01:09:25.679] 僕がちょムプ
[01:09:28.679] 悪魔難易度上げてきたな。
[01:09:32.159] これまずいな。
[01:10:05.840] いやあ、
[01:10:18.719] いやあ
[01:10:20.920] 、
[01:10:26.360] どうしたもんかね。ここめっちゃむずいな
[01:10:28.719] 。
[01:10:39.640] やっぱどうじゃやっぱ氷戻るべきなん
[01:10:42.600] だろうな。多分な。
[01:11:35.960] てる。
[01:11:37.639] と
[01:12:06.560] Ah.
[01:12:28.760] じゃ勝てねえよな。
[01:12:44.719] いや、どうしよう、これ。
[01:12:52.800] 危ねえ。戻るわ。
[01:12:56.960] これ無理、無理。どじゃ、絶対無理。
[01:13:04.800] 楽でも無理だな。やっぱ木まで取り戻ん
[01:13:06.960] ねえと。いや、もうどんどん死んど。
[01:13:13.840] 戻んのもこれだいぶしんどいよ。
[01:13:50.600] よしよしよしよしよしよしよし。これで
[01:13:53.400] 行こう。
[01:15:23.440] よし
[01:15:24.960] よしよしよしよしよしよしよしよしよし
[01:15:28.639] よしよしよしよしよしよ
[01:15:39.880] よしよしよしよし。これ勝つぞ。
[01:16:05.760] 下ばっか食う。下ばっか食うのやめて
[01:16:07.480] ください。
[01:16:12.639] いや、あれ無理やな。あれは無理や。
[01:16:17.600] こいつマジやば。
[01:16:23.120] ちょっと見えね、見えない。見え。
[01:16:32.480] あ、
[01:16:36.120] 1番壁際食われたの超いてえな。
[01:16:44.719] 穴の死人性。
[01:16:51.320] いや、怖くて近づけん。
[01:16:54.639] いやいやいや、ちょっと
[01:16:57.600] 危ね。
[01:17:05.880] ちょっと待ってくださいよ。ちょっと待ってくださいよ。
[01:17:19.440] やあ。
[01:17:25.560] よしよし。ブーブグーブーブグー。
[01:17:29.159] ブーブブーブーブーブーブーブーブーブー神ブあつあつあくそだなめんなよ。ちょっとすいません。セーブさせてください。
[01:17:54.440] いやあ、これやで。
[01:17:58.480] ごめんな、
[01:18:01.159] これですよ。いやあ、行きますか。よしよしよしよしよしよしよしよしよしよし。
[01:18:24.159] 次か問題は次か問題はここか。ここか問題
[01:18:30.360] はクレスで行こう。ここあれだよ。命
[01:18:34.639] 借り取るところだよね。
[01:18:48.920] ここね、確かね、もうちょっとだる。
[01:19:00.080] ま、ここは別にあのずルしていいんで。
[01:19:03.400] あ、ああ、これあれか。ちょっと待って。
[01:19:07.280] 俺がこれ木の状態だとあれなのかな?ダメ
[01:19:09.360] なのかな?
[01:19:13.159] あ、逃げてっちゃうからだめか。これ感情
[01:19:16.600] 変えなきゃだめかもね。
[01:19:27.320] 感情殺さないと。
[01:19:28.840] 感情殺さないと敵が逃げてっちゃうな。ちょだ。あ、行けるわ。行けたけたけたけ。よしよし。行けた。行けた。
[01:19:51.239] 問題はいや、いいかちゃ。
[01:19:54.960] よしよしよしよしよしよしよし。いいぞい
[01:19:57.400] ぞいいいぞ。とりあえずいいぞ。
[01:19:58.199] とりあえずいいぞぞ。とりあえずいいぞ。
[01:19:59.199] もうもうもうスピードクリアよ。
[01:20:07.239] これあります。
[01:20:10.080] ここだよね。愛だよね、ここね。
[01:20:17.800] あれ?愛の愛の感情ってどこにあんだっけ?あれ?この先に愛ってあった。なんか上で飛んなきゃダメなんだっけな?間違ったな。
[01:20:36.239] そこに愛はあるんか?
[01:20:37.719] 愛がなきゃだめだよ、これ。
[01:20:38.639] この先に愛はあるんか
[01:20:39.880] な?この先に愛はあるんか?あ、ないわ。
[01:20:47.520] そっか。ここか。この命を借り取る。
[01:21:08.480] この上で愛取んなきゃいけないんだ。
[01:21:32.480] あ、ちょっと足んね。
[01:21:41.880] ここからがしんどいんだよな。
[01:21:57.440] あ、
[01:22:01.400] こっからなんすよな。
[01:22:07.120] これじゃあさ、
[01:22:15.480] いやいやいや、めっちゃ
[01:22:22.400] さあ、来ましたよ。
[01:22:24.920] しかもここでセーブするとさ、バグるから
[01:22:27.040] ね。ここでセーブするとバグるからな。
[01:22:31.639] いやあ、
[01:22:34.000] これはどういうかだよな。
[01:22:36.960] 早すぎんねん。しかもこいつら。で、こいつはとりあえず壁際。とりあえず壁際に。いや、それ待ってマジで待って。これこれマジで言ってんの?これね、これだ。
[01:23:03.080] こんな無理じゃない?これ。
[01:23:06.480] まむ子に電話すべ。
[01:23:08.320] コなミな。コなミな。
[01:23:14.440] ダブル。笑笑。あ、
[01:23:28.239] 間を取って煙けこにしよう。
[01:23:31.639] けこに。
[01:23:33.440] ケムこに電話する。
[01:24:20.320] さあさあさあさあさあ。
[01:24:29.159] これボスは強くねえからさ。ボスまで行け
[01:24:31.719] ちゃえば。
[01:24:39.639] いや、来たよ、ここ。もうちょっとほんま
[01:24:41.920] 頼むよ。
[01:24:51.920] よし。で、ここ開けなきゃいけないねんだ
[01:24:53.840] 。もう1回やんなきゃいけないんだ、これ
[01:24:55.719] 。
[01:24:59.040] あいたたた。
[01:25:01.280] ちょっとマジ邪魔しないで。マジで邪魔しないで。ああ。ああ、もうバカ。バカ。もうなんであそこでジャンプ発するんだよ。クソだ。マジクそ。ゴミ。もう
[01:25:18.600] やだやだやだやだやだやだ。笑笑。ちゃまだりえん。ちゃまだりえん。
[01:25:31.080] ゴミやなあ、マジでこれ。
[01:25:54.360] ち
[01:25:56.360] 、
[01:25:57.960] あそこ。くそ。
[01:26:02.320] あそこやって。
[01:26:16.560] BGMはもう少し沼ていよ。やだよ。
[01:26:21.920] し、もう今日クリアすんの?もう今日
[01:26:25.320] クリアするって決めたの。
[01:26:29.520] どっちがいいかな?
[01:26:32.000] いや、ここクレスで行かせて。
[01:26:36.239] いやあ、頼むよ。もうクリアさせて
[01:26:38.880] ください。
[01:26:44.679] マジでBGM神なんだよな。
[01:26:52.600] 道中はここマジ簡単。
[01:26:56.040] あ、これ感情殺さなあかんねんな。
[01:27:04.840] だるいな。
[01:27:16.400] あ、
[01:27:18.480] 何やってんだよ、もう。
[01:27:21.560] 何やってんの?
[01:27:25.719] 焦りが出てる。焦りが出てる。
[01:27:39.000] 頑張れ、頑張れ。頑張れ、頑張れ。
[01:27:46.000] 65連続。ありがとう。
[01:28:06.400] 笑笑。
[01:28:09.199] 終わりだよ。
[01:28:11.159] がは。
[01:28:12.920] もうちょっとね、今日ちょっと今日今日もうさっさとクリアしたい。あ、間違えた。読むの間違えた。読む間違えた。
[01:28:23.880] 違うんだよね。
[01:28:24.480] 今日笑うしかねえ。
[01:28:27.000] ちょっと今日や今日ちょっと
[01:28:29.159] 12
[01:28:29.400] 時で配信終わるわ。ごめん。今日クリアできなかったらちょっと明日に回すわ。いや、今日ちょ早く寝たいんだよね。ちょっと明日早くてさ。なんだよ。今日俺絶対時間余ると思ったのに。
[01:28:46.880] 今日時間余ると思ったのに全然終わんねえやん。
[01:28:56.600] 最終回ファイナル来る眠り大事に。
[01:28:59.520] ちょ、明日朝いいんだよ。いや、だからいや、でも今日どうせすぐ終わるだろうと思ったんだけど全然終わんなそう。
[01:29:16.320] だ、まだあと未のステージが
[01:29:18.440] 1個残ってるからね。未のステージが
[01:29:27.199] 道のエリアあと23
[01:29:29.159] 分のいやもうで行くわ。
[01:30:02.400] 丁寧に、丁寧に
[01:30:31.080] 待
[01:31:00.880] เ
[01:31:20.360] 落ち着けよ。ここの上のクソえぐくない?早さ。
[01:31:34.719] いやあ、もうこれ無理だよ。
[01:31:47.360] ほんま。くっそ。
[01:31:49.040] ここほんまあかんで。
[01:31:53.480] やだ、やだ、やだ、やだ。
[01:31:59.639] 小バゲ
[01:32:11.119] ああ、違うか。
[01:32:29.520] 危ね。
[01:32:52.000] 危ないよ。
[01:33:28.040] ま
[01:33:38.960] いや、マジ頼むよ。
[01:33:45.960] 早すぎるって。
[01:33:56.040] もうほんまやめようかな。
[01:33:59.560] もうこれひどいって。これちょっとひど
[01:34:03.360] ピグサ
[01:34:06.560] ひどいよ、これ。ちょっとマジでしんどいんだけど。
[01:34:10.520] 俺かけ
[01:34:13.080] しんどいって。ここ
[01:34:15.280] うしゃうつえよ。
[01:34:17.679] いや、これどマジでむずくない?ああ、まジか。
[01:34:27.639] ここむずすぎるって。どのタイミングで
[01:34:30.360] 行きゃいいんだよ。練習もできねえからさ
[01:34:32.400] 。
[01:34:36.000] さっきでも行けたんだよな。
[01:34:52.360] 違う。まれた。
[01:34:57.960] 違って
[01:35:17.239] これさ、俺何この10倍カートリッチで
[01:35:22.000] セーブしてるけどさ、これなかったらこれ
[01:35:25.440] 死
[01:35:25.639] 死ぬほどむずいだろ、このゲーム。今のだってあのあそこで
[01:35:30.320] 2人死んだらまた最初からだからね。
[01:35:33.320] 無理ゲ。
[01:35:34.400] 無理ゲーだよな。最初からだからね。あそこで
[01:35:42.119] 2回死んだらやばすぎやろ。
[01:35:44.800] 毎回稼ぎからやるのか。
[01:35:46.400] そう。毎回9999。しかもワールド
[01:35:49.119] 1から。
[01:35:51.080] 昔の叔じたちは狂いかけていたのでは?
[01:35:53.880] 多分いや本当だよ。こんなクリアできるか?こんなもん。
[01:36:04.760] クスのゲームそんなのばっかりです。
[01:36:06.760] そんなのばっかり。やっぱ
[01:36:09.360] 10
[01:36:09.600] 倍カートリッチ持っててよかったね。持っててよかったわ。とてもじゃないけど。
[01:36:14.600] これキッズがやってたのか。
[01:36:17.239] 10
[01:36:17.480] 米カートリッチないと話になんねえわ。
[01:36:29.320] もうバカ。もう取っちゃったよ。
[01:36:41.920] おバカ。
[01:36:44.360] 大丈夫、大丈夫。
[01:37:12.080] あ、この救い、唯一の救いはボスが弱い
[01:37:14.320] こととか。これでどのボスだったらもう
[01:37:17.119] 無理やで。正味ボスまで行けば絶対負け
[01:37:20.239] ねえから。金さえあれば。
[01:37:31.040] さあ、ここですよ。
[01:37:37.880] 無理だよな。そんなずるいことできないよ
[01:37:39.280] ね、ここはね。ここはそんなずるいこと
[01:37:41.159] 危なかった。もう
[01:37:45.440] そんなのないでしょ。
[01:37:59.920] クソが危なかった。過去系うう。綺麗に
[01:38:04.520] 挟まったね
[01:38:09.760] 。
[01:38:13.760] 登ってる。ありがとう。
[01:38:53.119] 待って。
[01:39:03.440] Oh
[01:39:35.679] いや、もうちょっと、もうほんまいい加減
[01:39:37.440] せめてもう今日このステージだけでも
[01:39:49.679] これどの、どのタイミングなんだ?これ
[01:39:53.679] どのタイミングなんです
[01:40:09.679] ええ、これちょっと俺わかんねえよ。
[01:40:13.880] これ
[01:40:18.480] ワンチャン右行けんか?
[01:40:21.679] え、右行けるってどういうこと?え、あのリフトのや、無理ちゃう。それは無理ちゃう?出た。
[01:40:34.360] 出たよ、これ。
[01:40:38.880] ここでさ、文字出すとさ、なんか止まるんだよ。
[01:40:43.520] いや、さすがに無理でしょ、それは。
[01:40:47.840] それは無理でしょ。やってみる。
[01:41:25.719] リフトの右は多分無理だろう。あれは一分
[01:41:28.639] 分ないでしょ。
[01:42:24.199] ああだ。もうだるいな。マジで。
[01:42:35.320] アダもり。
[01:43:02.159] あ
[01:43:13.599] 邪魔ちつけただけ
[01:43:16.400] 飲んだ。飲んだ。はまってきてんなあ。ちょっと待ってる。
[01:43:44.119] いや、ちょっと無理だな、今日はな。ごめん、ちょっと今日もこれラストでもうこんなんかい
[01:44:01.280] 涙の最終回に。
[01:44:02.960] 本当だよ。3あるよ、これ。マジで3
[01:44:04.880] あるよって。そういうこと。うわい。レイドかい。
[01:44:08.080] レードかい。このタイミングでもう、もうちょ人様に人様に人様にっていうか、ま、俺のリスナーには見せてるんだけどよそ、よその方あのチャンネルの方たちに見せていい配信じゃないんだけど。今
[01:44:22.679] ごめん。レドありがとう。きろさんお疲れちゃん。きたちゃんお疲れ。レドありがとうな。俺今ちょっともう心が俺の俺なんで。
[01:44:30.599] レイドカラー
[01:44:31.520] レフィさんこんばんは。
[01:44:32.840] 心俺の俺なんであと今日
[01:44:35.239] 12
[01:44:35.520] 時で終わりだから俺も終わっちゃうんだけどレ
[01:44:38.159] はさんどうもこんばんは。はまさんもこんばんは。このゲームすぎてちょっとほんまにもう今日クリアできると思ったのに無理やんこれ。たちゃんお疲れがね。
[01:45:00.360] 俺もなんか疲れたから終わっちゃった。笑。
[01:45:04.159] なんか疲れる時あるよな。配信ってなんか疲れる時あるよな。
[01:45:10.880] なんか疲れる時あんねんな。何がって言われたらわかんねえんだけど。なんか疲れる時あんねんな。
[01:45:19.199] 笑笑
[01:45:20.080] あるある。分かるよ。分かるわかる。
[01:45:27.960] 月曜から頑張るもんじゃない。
[01:45:29.840] 本当だよな。マジでそう。魔物。魔物。配信には魔物が済むぜ。今日だ。これもうね、あの本当最終ステージ、最終っていうのかな?最終に来て残り
[01:45:49.880] 2ステージなんだけどあ、むずいのよ。
[01:45:55.119] いやあ、むずいのよ。ウシャスやってます
[01:45:56.920] けど。だいぶね、やってるんだけど。いや
[01:45:59.679] 、むずくてね。同じところでずっと詰まっ
[01:46:02.960] てんだよ。
[01:46:08.520] 情け容赦ない難易度なんですわ。
[01:46:18.320] 今12時で終わりだからさ、もうほんま
[01:46:20.119] これラストプレイぐらいなんだけど。
[01:46:22.199] ラストプレイなぐらいなんだけど。
[01:46:29.480] さあ、ここなんですよね。ちょ、これ初見
[01:46:32.679] の人には何のこっちゃわかんないかと思う
[01:46:34.199] けど、ここのこのなん、小犬みたいのが
[01:46:37.159] 上下してんじゃん。これに乗って上に行く
[01:46:39.560] んだけど、あの、あれのあれに挟まれると
[01:46:42.400] 一発でゲームオーバーなのよ。潰されて
[01:46:43.960] 終わっちゃうのね。あの、分かる?この命
[01:46:45.960] を借り取る形してるの分かる?この、この
[01:46:48.159] なんかさ、あの、あ、これ青森県の先っぽ
[01:46:51.560] みたいなっとるやん。あそこに引っかかっ
[01:46:53.159] たら終わりなんだけど。このもう今、あ、
[01:46:55.599] あたかもう本当に引っかけに来てますやん
[01:46:57.520] 。引っかけに来てるでしょ?あれに挟まっ
[01:47:00.040] てもう100回ぐらい死んでんで。よし。
[01:47:02.840] 行くぞ。みんな行くぞ。
[01:47:05.920] こオった
[01:47:09.199] 。これがどんくらいすごいこと多分誰にも
[01:47:12.119] 分かってもらえないんだろうな。誰にも
[01:47:13.679] 分かってもらえないんだろうな。あ、
[01:47:15.679] そりゃ
[01:47:18.239] ああたっ
[01:47:20.639] た。
[01:47:21.159] 落ちた。ちょっと勘弁して。もうカして。もう勘弁して。
[01:47:26.679] もうカして。
[01:47:27.239] あ、笑笑。
[01:47:30.040] 笑笑。
[01:47:30.840] よしよし。もうずるくてもね。なんでここ行けないの?笑笑。
[01:47:39.000] ちょっとちょっと待って。ちょっと待って。ちょっと待って。
[01:47:41.199] 笑笑。
[01:47:42.199] ちょっと待って。ちょっと待って。落ち着いて。
[01:47:45.199] 行きたい。
[01:47:46.040] 落ち着いて。落ち着いて。ちょ、ちょ、ちょ、ちょっと。
[01:47:51.159] ちょ、ほんまやめて。ちょ、ほんまに
[01:47:52.560] ほんまにやめて。ほんまに勘弁してねえ。
[01:47:54.520] なんでここ行けないの?マジでもう勘弁し
[01:47:58.119] てよ。もう
[01:48:08.400] 抜ける。
[01:48:18.199] ああ、もう
[01:48:19.719] ピネきみたいになってて草。
[01:48:22.880] ちょっとほんま笑。
[01:48:23.840] ちょっとほんまちょっとここか頼むって。もうもうやだって。もう
