[00:00:29.080] あ。
[01:09:30.480] 向こうから言われたら話してもいいんです?
[01:09:32.759] いや、そりそうよ。そう、そういう話題になった。例えば俺がここで、例えば俺がここでマーブルがよ、まブカスがさとかって言ったらマーブルの話してもいいと思うけど、急にね。いや、ま、別に、ま、な、難しいよね。別にその俺の配信別に俺は別にさ、誰の話されても別にいいんだけどさ、その俺が良くてもあっちに迷惑かけちゃうこともあるからな。
[01:10:00.199] そこ難しいんだよ。
[01:10:00.960] 人によるよね。
[01:10:01.880] うん。そこが難しい。ま、人による。うん。確かに人による。マーブルだったら別にこれでなんかなんな
[01:10:13.400] 難しいけど。ま、あのかじんちゃんとかもうさ、別にいいじゃん。うちうちハネだったらま、別こだったら別に誰の話してもさ。
[01:10:27.679] いや、俺は構わない。だからあっちの迷惑
[01:10:30.000] になるっていう。ここで話すことによって
[01:10:32.000] 。
[01:10:33.800] こんな低続なチャンネルで話すことによっ
[01:10:36.080] て。これなんか
[01:10:38.280] ね的
[01:11:00.040] には別に誰の名前出されてもさ、面白そう
[01:11:03.560] だったら拾うし、面白くなかったら無視
[01:11:06.000] するからっ
[01:11:08.480] て遊って
[01:11:12.920] でもやっぱほら色どん全部のコメントを
[01:11:15.800] 返してくれる優しい配信者からしたらさい
[01:11:18.480] にくい話題も拾わなきゃいけないわけ
[01:11:20.239] じゃんこれだけ無視するわけにいかないん
[01:11:22.440] だからさ。
[01:11:35.719] よし、これでレベル上がったらもう終わり
[01:11:36.880] にしるよ。もう、もうこれではい、もう
[01:11:38.760] これで終わりにします。
[01:11:54.360] オー、帰ろうか。
[01:11:56.920] 帰ろうかね。
[01:12:01.800] あ、本当はいや、ま、本当はもうちょっと
[01:12:05.880] 育てたいけどな。本当はもうちょっと育て
[01:12:09.199] たいけど、もう、もういいでしょ。もう
[01:12:12.239] ええでしょ。帰るわ。
[01:12:35.199] もじ行くよ。マコできるね。
[01:12:37.280] いや、マこやらない。やだどうん。どうする?ど、どうする?ま、うん。次の配信だから次のゲーム何やるかちょっと今日決めよう。これでじゃあマイ子行くよ。とばやるか。マイコじゃねえ。間違え。
[01:13:00.719] マイコじゃねえ。マイコじゃなくてなんだっけ?モンジ行くよ。いや、強すぎる。や、ミルドラさん強すぎませんか?見てこれ。やばいだろ。
[01:13:15.880] ミルドラースの安定感
[01:13:17.560] やばすぎるだろ。ベホマ、ギガデインザオリクイテスカードベホマズンギガスラッシュ自己ゴスパークビッグバンだよ。意味がわからん。意味がわからん。嫁の竜王もやばいす。
[01:13:28.840] レベル99。
[01:13:32.080] これもえぐいね。
[01:13:35.320] そして中村。中村がなもうちょっとレベル
[01:13:39.360] が上がればもうやだ。もうやりたくない。
[01:13:42.320] レベル上げ。
[01:13:45.280] いやあ、やきましたなあ。だってこいつ
[01:13:48.920] やばいもん。見る1人で勝プラス29
[01:13:52.239] だからね。
[01:13:57.199] もうさすがにもうお腹いっぱいだわ。
[01:14:01.840] 飛ばやるか。じゃあ
[01:14:11.080] えーもじ位勝てるかね。
[01:14:30.560] え、
[01:14:37.480] まあ勝てるよね。
[01:14:40.280] さすがに勝てると思うわ。はい。飛ば2分
[01:14:43.639] ね。はい。よろしく。はい、よろしく。
[01:14:49.760] まあ、勝てるよな。
[01:14:52.560] まあ、勝てると思うわ。
[01:14:54.800] さすがに負ける要素ないわ。さすがにここまでやっちゃぽかった今。
[01:15:01.040] え、何が?何がどこだ俺の喋り方?
[01:15:09.280] 防戦スタイルにならずにゴルスラ落とせればそのまま押せそうな気がします。よろしく。
[01:15:17.639] そんなことそんな感じだったっけ?よろしく。はい。よろしく。
[01:15:22.320] いや、ゴルそんななんか防戦とかなんとか
[01:15:24.960] とかないでしょ。多分普通に圧勝
[01:15:28.760] なんちゃう?
[01:15:31.199] 普通に圧勝だと思いますけども。
[01:15:40.000] あのセう中村やざり
[01:15:42.600] みたいな。ちなみに作戦は
[01:15:47.639] いやどうかな。作戦は
[01:15:50.760] 間違えて負けに3
[01:15:52.080] 万近く入れてしまっ。このパーティー
[01:15:55.400] 3回は世界壊せるやん。
[01:15:59.159] 世界壊せるよね。
[01:16:05.360] 中村は命大事にしとくか。嫁ミルタンクガンガンでもミルタンクもこいつオリクとベホマラベホマズ覚えてるからな。だってマズン持ち
[01:16:17.520] 2匹いるんだよ。
[01:16:19.880] さすがに勝つって。ザオリクとベホマズン
[01:16:23.719] 持ってて。ザオリクとベホマズン持って。
[01:16:25.360] こいつも
[01:16:29.600] さすが。あ、バイキルトとかも入れようぜ
[01:16:31.560] 。だからこいつ色々にしとこう。色々。
[01:16:36.560] 2人ガンガンでいいわな。
[01:16:40.440] あ、賢さ700あれば。
[01:16:45.639] あ、飛ばった。飛ばった。
[01:16:49.480] どれ、どれ、どれ、ちょっと見せてみ。
[01:16:51.679] よし。
[01:16:54.040] じゃあ飛ばじ
[01:16:57.840] 勝てるか?え、勝てるにかけた方名の方が
[01:17:00.440] います。トップ3万かけてくるダチ遊び。
[01:17:02.639] それは勝てますわな。多分な。え、こっち
[01:17:04.440] が1.6倍なんで勝ったら大体5万弱で
[01:17:07.920] バックですかね。え、対する負けるにかけ
[01:17:10.639] た3名の方、トップベッターが3万
[01:17:12.520] ポイントかけたフランスさん、こっちが
[01:17:13.760] 勝つとなんと3大体2.6倍なんで7
[01:17:18.040] 万ちょいぐらいでバックかな。7万ちょい
[01:17:19.960] 、7万、7万、8万弱ですかね。という
[01:17:23.840] ことで、えー、皆さん長々と本当に
[01:17:28.880] ありがとうございました。
[01:17:31.639] これにて濃厚です。これにて
[01:17:34.880] ドラゴンクエストモーザーテリー
[01:17:36.120] アンダーランドつい
[01:17:37.679] 最終回。
[01:17:39.239] こいつに勝ったらもうレベル上げしなくていいんだ。
[01:17:42.920] 敗北を知りたい。
[01:17:44.800] さすがに行けるでしょ。で
[01:17:50.040] いけると思っています。涙の最終回
[01:17:55.080] 頼むで。だからこれもうね、あの、あの命令ができないんでゴルスラを早めに落としてくれれば見せてみろ。行け。
[01:18:09.960] 敵え、死なねえ。笑。
[01:18:11.920] 死なねえ。ゴルスラ。おお、結構強い。結構強くないか?
[01:18:26.760] 余裕すぎじゃん。
[01:18:27.840] いやいやいやいやいや。いいよ、いいよ。いや、全然知らねえ。
[01:18:34.880] ゴルスラ何こいつ?
[01:18:37.120] 何こいつ?ゴルスラ全然死なねえ。
[01:18:40.679] 勝庭。
[01:18:43.159] まあまあやるやんけ。
[01:18:44.560] え、体力ありすぎるだろ。よしよしよしよしよしよしよしよしよしよしよしよしよしよし。まずはよしよし。よしかった。
[01:19:07.880] さすがにこれはいけるでしょ。危ね。あー、よかった。いや、てかね、バイキルとかめっちゃ強えわ。バイキルとかごめん。強すぎた。
[01:19:27.360] バイキルエギー。
[01:19:28.360] バイキルエギーいね。
[01:19:29.400] 負けるにかけてる人たちは何を考えてるんですか?
[01:19:32.440] ごめんね。負けるにかけた人ほんまごめん。ほんまごめん。全然勝てました。え、耐えるの?
[01:19:41.679] やっぱバイクなんよ。耐える。
[01:19:43.840] 何もいらねえや。
[01:19:44.920] 耐える。耐えるな。いやいや、耐えるね。なんだこいつ。回復しよう。回復しよう。
[01:19:58.360] やるね。
[01:20:00.600] あ、400×4だわ。だろ、
[01:20:04.040] さすがにね。あした。いや、終わった。もうやんなくていいのかにずる。
[01:20:19.000] もうやんなくていいんだ。レベル上げ。ぐ
[01:20:24.080] しんどかったな。
[01:20:25.280] このスでどう考えても負けるわけない。
[01:20:28.400] 長い戦いに収支フが
[01:20:34.520] な。モンスターG
[01:20:35.360] さんも消えてるんだけど。え、モンスター
[01:20:38.040] G
[01:20:38.239] さんことやっちゃった。どこ行った?モンスター
[01:20:41.040] Gさんも消えてる。
[01:20:43.440] 殺人。笑笑。
[01:20:47.480] もじごと消し去ったわ。ボンボンボンボン。なんでボンボンボンボン入れてねえんだ。玉が発
[01:20:56.520] ありがとうございました。
[01:20:58.920] ようやったの?モンザに勝つとはの。これ
[01:21:01.719] でそなたは小前もなしじゃな。これから
[01:21:04.080] 魔物を集める旅をしたらどうじゃ?
[01:21:05.840] モンスタージョンなら全部で何匹おるか
[01:21:07.719] 知っておろ。え、なんかないんかい、他に
[01:21:11.199] 。他になんかないんかい?特別な
[01:21:14.600] エンディングがあるとかないらしい。これ
[01:21:17.239] で終わり。これで終わりらしい。おい、
[01:21:21.239] もじ、
[01:21:24.000] おじ。わしからもう何も言うことはない。
[01:21:26.639] いっぱい揃ったもんじゃ。俺も魔物たちもな。あとお前さんたちにできるのは全ての魔物を仲間にがメジは厳しいぞ。全部で
[01:21:34.440] 312
[01:21:35.199] 種類わしにはできんかった。ま、それは俺って今何匹?俺って今何匹仲間にしてんの?俺結構仲間にしてると思うよ。もう
[01:21:43.320] 200
[01:21:43.760] ぐらいは仲間してんじゃない?旅の扉役に立ったか?立ったよ。え、おい、なんかさチ可愛いな、お前。お前ちょっとずつ可愛くなってきてる。なんか役に立てたなかった。
[01:21:57.440] えー、ちょっと見てみるか。モズカ見てみるか。モズカ。え、何匹?は集めてそう。
[01:22:07.280] 何匹とかってどこで見るの?俺何匹とか俺何匹とか
[01:22:15.320] ゴーストコ塚ゴースと魔塚俺何匹集めてるってどこで見ればいい?どこで見れるのよ
[01:22:27.560] リビングデッドの呼び声
[01:22:29.639] 160種類
[01:22:32.320] ゴビマ
[01:22:35.480] 16
[01:22:36.560] 種類って大したことない。リビングデッドの呼び声ね。ゴースト王キングな。まあ以上ですかね。
[01:22:53.000] 闇クましの白
[01:22:56.639] 攻撃力1610ね。
[01:22:58.800] 雑魚の仲間が少ないんやろな。
[01:23:01.040] ああ、多分そうだろうな。
[01:23:03.400] 確かにベロゴンとか多分仲間にしないもんね。
[01:23:06.880] 1610。
[01:23:10.840] え、何?あら。おいおいおいおい。子供にえこんな子供にお前
[01:23:20.600] あら。
[01:23:21.719] しかも本当のパフパフじゃねえかよ。
[01:23:25.040] 子供に何してんねん。性通しちゃう。事故やめてね。
[01:23:29.360] 精通やっぱパフパフに精通してしまう。
[01:23:32.639] うん。ジぽ、ジぽ、
[01:23:37.560] ジポすなあ。
[01:23:43.800] とりあえずオッケーかな?
[01:23:46.000] とりあえずオッケーかなってのんだけど、
[01:23:47.760] もう、もう終わりでいいかい?
[01:23:51.560] もう終わりでいいのかい?
[01:23:56.400] これもうエントコンテンツないよね、
[01:23:57.960] さすがに。もう
[01:23:58.480] エンディング。
[01:23:59.520] エンディングもない。もうエンディング
[01:24:01.199] ないもんだって。
[01:24:09.639] もうないよね。
[01:24:31.120] がすでにエンドコンテンツみたいな
[01:24:33.159] だよね。うーん。なんかこんなにやってきてこの終わり方はすごくあれだけど、もう終わりにしますかね。じゃあはい、このゲーム以上です。はい、このゲーム以上になります。
[01:24:48.080] ぬるっと。
[01:24:50.159] ありがとうございました。ああ、もうあの、もうあそこまで行かなくていいんだな。
[01:24:58.280] たか
[01:24:59.719] ありがござました。グルボんはいやでもやったよね。
[01:25:04.040] さらっと
[01:25:05.119] 74
[01:25:05.760] 時間やってるからね。ありがとうございました。
[01:25:09.679] いや、本当はね、本当は
[01:25:12.760] のはずが
[01:25:14.080] 本当はこのなんだ、あのダンジョン全部全部クリアしたら、まあ、このなんだっけ?あれ棒が仲間になるってもあるんだけどもういいっすわ。それはまあ別の話ということでありました。終わった。終わった。
[01:25:38.679] ああ。いやあ、まさかこんなやると思わなかったなあ。こんなやると思わんかったね。こんなやると思わんかったな。今はまた今度。
[01:25:49.239] うん。また今度とかもうとりあえず
[01:25:50.840] 解放された。放された。
[01:25:52.040] 面白かった。
[01:25:52.600] いや、面白かったね。いや、やっぱおもろいわ。おもろれかったわ。おもれかった。さてということで
[01:26:00.880] 早速ありとハえ70時間超え。
[01:26:03.400] そうだよ。70
[01:26:04.239] 時間だからね。めちゃめちゃやってるからね。
[01:26:06.719] 俺の配信のパート2数にして16
[01:26:08.760] パートだからやりすぎね。ドラゴンクエスト
[01:26:12.119] HD2D1ラ
[01:26:14.320] うん。ワ2
[01:26:15.080] 合わせてもんくらいだったからな。やったね。じゃあ次のゲーム何しよっかな。ま、ちょ、とりあえずどうする?うんとね。いや、やりたいゲームはいっぱいあるのはあるんだが。
[01:26:31.360] さてさて、どうしたものかと。どうしたもんですかと。
[01:26:36.159] スックスか。
[01:26:37.400] いや、MSX
[01:26:39.000] やりたいよ。やりたいですよ。
[01:26:40.960] MSX
[01:26:41.440] やりたいのいっぱいありますよ。え、こちらシャロムでしょ。魔上伝説もやりたいでしょ。まあでもサクっできそうなのはこのでもサクっできそうすと多分これも多分
[01:26:57.400] 56%はかるよね。多分ね。
[01:26:59.760] まあ、ま、こういうのとか
[01:27:02.199] ちょっとさ、あの、リクエスト枠ちょっと
[01:27:05.920] 見ていい?俺今リクエスト枠って何がある
[01:27:09.040] の?何が来てるの?
[01:27:11.880] 何が来てましたっけ?リクエストって
[01:27:13.880] ちょっとチャマゲームウィーク見るか。
[01:27:15.760] こういう時に助かるねんな。こういう時に
[01:27:18.199] 本当に助かるねんな。
[01:27:23.239] リクエスト待って。ちょっと待って。画面
[01:27:24.679] 出すわ。
[01:27:29.119] え、ちょっと待ってね。うい。お疲れ。よし。
[01:27:35.480] MDX
[01:27:35.840] さん、こんばんは。終わったで。クリアしたで。クリアしましたで。ちょっと待って。ああ、イライラすんな、これ。ほい。
[01:27:49.719] ロマサが。
[01:27:51.719] ちょっと待ってね。
[01:27:53.400] おお。お疲れん。
[01:27:55.199] いや、しんどかったなあ。おもろかったな。おもろかったし。
[01:27:58.480] しんどかったな。もうレベル上げが
[01:28:00.280] ちょっとすごかったわ。
[01:28:13.920] ちょこいらないな。ちょっと
[01:28:21.119] オ
[01:28:26.119] なんかカメラの画角おかしいんだこれね。
[01:28:28.520] 相愁カメラの画角がおかしい。
[01:28:31.600] ちょっと待ってくださいね。
[01:28:34.040] えー、毎回このOBSのこういうのが
[01:28:36.440] めんどくせえんだよな。よいしょ。
[01:28:40.239] よいしょ。こんなもんかな?こんなもんか
[01:28:43.119] 。オ、ちょっとじゃあわしの今の、私の今
[01:28:48.239] の、え、リクエスト状況をちょっと見ます
[01:28:50.440] か。えー、どこまでやったかとかってどれ
[01:28:54.119] かクリアしたかってさ。
[01:28:55.639] あ、終了したリクエスト。終了したリクエ。ごめんなさいって。何?何?ごめんなさいって?いや、なんなら全部ごめんなさいだけど。
[01:29:09.560] 笑笑。
[01:29:10.800] いや、なん、なんなら全部ごめんなさいだろ。
[01:29:15.440] なんでこれ?え、俺が言ったな、これ。俺が言ったの?これ俺が言ったの?これ俺が言ったんか?俺が言ったのか?これはやらないよって。
[01:29:24.560] じゃあ、じゃあ返してあげようよ。え、行きますか。えー、親ポンとかもう来てねえしな。ベオネッタ。プレステ
[01:29:34.960] 3ベオネッタ。え、プレステ
[01:29:37.119] 2
[01:29:37.400] ラ?ラチェクラ。ああ、なんか断る配信者おる。
[01:29:43.840] ああ、ラチェクラか。あ、ミスちゃんのグルミンもあるんだよ。全部買ってあるんだよね、この辺。グルポンのテトリス武踏ガ伝。
[01:29:55.159] 何それ?テトリス武踏外伝って何?え?さ
[01:30:03.400] のリクエストはやはり日本ファルコムですね。グルミン好き。
[01:30:07.280] グルイースのなんかイースのグルミンってなんかのキャラクターだっけ?違うんだっけ?なんか
[01:30:12.840] パワーワードすぎる。
[01:30:14.560] テトリス武闘外。あ、いたいたいた。
[01:30:18.159] 何これね?だから俺これもう
[01:30:20.280] 違うよ。あ、違うんだ。買った気がする。
[01:30:23.600] スーファミだよね、これ。リクエスト買っ
[01:30:26.000] たな。あ、Z版のアンチャーテッドで俺
[01:30:29.040] やんなかったっけ?え?Z版のこれ
[01:30:32.440] アンチャーテット俺やったよな?
[01:30:36.840] やったと思うんだけどこれ。
[01:30:40.080] ドカポン4モもモコラモコラの
[01:30:42.840] ドカポリされてたんや。笑
[01:30:46.719] 。しかもいい方かな。
[01:30:50.360] しかもしかもクリアまでだからね、これ。これクリアまでっていうのは当時今はなきまで
[01:30:56.800] 今はなきチマゲームガチャガチャっていうものがあってそれの
[01:31:02.639] SSR賞
[01:31:03.880] 相当な額なのでは?
[01:31:05.119] 違のクリアまでそれが当たってうわめでとうやってない。
[01:31:16.719] でやってない。
[01:31:17.719] 鬼だって長いんだもん。だって
[01:31:20.960] 景品やめろ。笑笑
[01:31:22.920] だって長いんだもん。でもアークザラット
[01:31:25.560] 2持ってるよ。
[01:31:27.239] 違法ガチャの探当たってもあんま意味なかったから正直萎えてた。笑。
[01:31:33.360] 2個の陸やって。
[01:31:34.800] ああ、2
[01:31:35.600] 個のやつね。単クレオンしんちゃん嵐呼ぶエンジン。うー。あ、これも持ってるよ。持ってる。持ってる持ってる持ってる。
[01:31:47.639] ガチャは演出好きだったんだけどな。笑。景品表示法違反ですね。
[01:31:52.880] そうだね。逮捕された方がいいよね。うん。さけるもんならさばいてみな。アリューレさんのアクトレーザー。ああ、いいですね。エンギガゾさんのシルバーサーバー。いいよ。もうなんでこう変なのばっかリクエストすんだよ。
[01:32:11.719] クリアまで暑すぎるだろ。
[01:32:15.119] 地獄だろ。
[01:32:17.239] クリアは無理。笑。
[01:32:19.400] えー、囚人さんのディープダンジョン
[01:32:22.000] 3。
[01:32:22.440] これ俺なんかリクエストしてくれてなんか配信中になんかメルカリで買ったんだよな。メルカリで買ったんだけどさ、その後なんか普通になんかブックオフとかで
[01:32:34.159] 500
[01:32:34.440] 円とかで売ってて、なんかどうやらこのゲーム超なんか結構クソゲーらしくて。クソゲーらしくて。で、俺がいつまでもやんねえから囚人さんが自分で配信でやってんの見たな。
[01:32:48.400] 中じさん1人で自分でやってたな。
[01:32:50.719] 笑笑。
[01:32:51.199] で、中かさん。中かさんのえポケモン
[01:32:56.159] XD闇の風。い
[01:32:57.840] や、
[01:32:58.800] 闇の風。
[01:32:59.760] 来た。
[01:33:00.560] 闇の扇風とか言ってた。
[01:33:02.800] ダクダークルギアいや、見たい。や、リクエスト枠はあ。
[01:33:15.760] で、ランディのパチパラ13スーパー海と
[01:33:20.239] パチプロふ運録。いや、絶対パチパラって
[01:33:24.639] おもろいんだよね。確かね、パチンコの
[01:33:26.560] ゲームなんだけどパチパラって確か面白い
[01:33:28.800] 気がする。ただこれなんかプレミアついて
[01:33:31.440] て高けえから買ない。プレミアついて高い
[01:33:35.080] からパパチパラは俺パチンコわかんないん
[01:33:37.800] だよな。
[01:33:40.119] でえやん。
[01:33:41.239] え、おもろいの?これパチパラパチンコわかんないんだよな。ま、でもちょっと、ま、手に入れるところからだな、これは。手に入れるとコの勉強に
[01:33:51.280] いや、そ勉強しないわ。で、ミスちゃんのキャプテンつ
[01:33:55.239] 2。
[01:33:55.480] あ、これも持ってんだよね。これも持ってるんだよな。で、コメちゃんのスレイザスパイア読むの?これスレスパってやつね。ああ、スレスパね。
[01:34:08.360] スレスパええやん。
[01:34:10.400] なんおもろいの?これおもろいの?持って
[01:34:13.520] ないもんでもXbox俺Xbox買う
[01:34:16.000] ところからや。えー、ミスちゃんのEース
[01:34:21.159] 確かにEース俺なんか3つ4つなんかあれ
[01:34:24.119] されたんだよな。リクエストされて結局1
[01:34:26.360] 個しかやってない。1個はやったの覚えて
[01:34:27.920] んだよな。で、のんびルさんの無限コ路。
[01:34:30.920] これも買ったよ。これも買ってるよ。
[01:34:33.320] やだら買う。ちゃんと買ってるんですよ。
[01:34:36.440] 3は分投げたね。3話
[01:34:38.520] は投げたんだっけ俺?E3なんかPS
[01:34:41.320] じゃなんかSwitch
[01:34:42.119] かなんかのやったよな。
[01:34:43.239] パチパラおもろいけどちょっと配信映えは微妙。
[01:34:46.280] あ、そうなんだ。えー、イース
[01:34:48.760] 4。
[01:34:49.239] えー、ミスちゃん。まただよ。いいっすわって言った気がする。ああ、あ。未定のまま。
[01:35:00.360] ああ。
[01:35:02.840] はい。次行きます。
[01:35:04.040] え、ワのリクエストかろシャドウリド。あ、これやった気がするんだけど俺。これやった気がするんだけどやったよね、俺。影ゲロね。シャドコリドやったと思うけどな。なんかうん。やってやって。
[01:35:20.679] コドやってなくない?
[01:35:22.040] え?やったよ。俺だっても持ってるし。え、やったような気がするけど。
[01:35:30.119] え、なんか俺
[01:35:31.960] 裏でやったんかな?出
[01:35:34.000] しちょうどええね。裏でやるか。え、なんか俺やったじゃん。なんかさ、変な追っかけられてある。
[01:35:41.159] 記憶。はい。
[01:35:42.960] 記憶ない。あれやった気がするけどな。前世の記憶かな?むか。なんか俺ハーモニカ加えてやってなかった?それ
[01:35:55.080] YouTube時代かわかんないけど。
[01:35:58.239] ランディのアフリカ
[01:36:00.320] 女とやるゲームじゃねえだろ。
[01:36:01.960] 何それ?怖い。
[01:36:03.560] アフリカプレステ
[01:36:06.400] 3のね。
[01:36:07.960] いやい
[01:36:09.400] アフリカ野郎。
[01:36:11.840] プレステ3
[01:36:12.440] のプレおいなんでまた未てレがあるんだよ。
[01:36:20.719] もうどんどんだけやんだよ。笑。
[01:36:26.320] ああ、C03のタオね。あ、タオね。
[01:36:32.679] タオね。タオも持ってるよ。タオ俺新品未
[01:36:35.600] 開封で持ってんだよな。あの頭おかしい
[01:36:38.480] ゲームね。ファミコンの。
[01:36:42.760] で、チャピの何これ?何これ?ライトイン
[01:36:48.040] ファン
[01:36:49.560] ライトインファンファントリー。何これ?
[01:36:53.719] 全然知らない。
[01:36:56.400] 全然知らないのもあるわ。いやあ、こんなにあるの?
[01:37:00.960] 最近のやつかな?
[01:37:02.520] あ、そうなのかな。ださ、でもさ、ちゃんとこんだけやってきてるからね、今まで。今までこんだけやってきてますからね。これもえらいです。
[01:37:14.440] 意外とやってら。
[01:37:15.440] 意外とやってるんだよ。だから意外とやってんだよ。
[01:37:19.040] なんかレトロフの死にゲーだった気がする。
[01:37:21.239] ええ。あ、そうなんや。
[01:37:27.119] おら、夏とか素晴らしかった。
[01:37:28.960] もう地獄だったであれ。え、こん中で
[01:37:35.199] 1番見たいの何?
[01:37:36.159] あってくだったんや。
[01:37:40.199] そうだっけ?ルーマニアてリクだった。
[01:37:44.639] シャドコリ
[01:37:46.679] アフリカ
[01:37:48.679] シャどコり
[01:37:49.719] ダークルギアその中でか
[01:37:52.320] 知りえたみてなま泣いてみたえエリチ
[01:37:55.080] 何何何何知りえた未定なま泣いてみたエリチ
[01:38:00.440] 海分おおお
[01:38:02.000] いやチャンネルぐらいだろうなあの
[01:38:04.199] うお
[01:38:04.960] このチャンネルぐらいだろうなあのブロブロックしたやつのブロックしたやつの話題笑いながら話してんの
[01:38:13.080] 笑笑。ダブル。笑。
[01:38:15.480] なかなかないだろうな。
[01:38:18.199] 笑笑。
[01:38:19.840] いや、ま、ま、エ、エチはね。いや、なんか、いや、なんかね。や、なんか申し訳ない。ごめん。申し訳ない。うん。申し訳ない。それだけ。それだけだ。それだけです。
[01:38:33.280] えー、こん中でさ、見たいのどれかな?
[01:38:42.599] 心苦しかったですか?
[01:38:44.239] いや、心苦しかった。めっちゃ悩んだよ。めっちゃ悩んだね。マーブルとかにめっちゃ相談したもんな。マーブル、マーブルもあいつエリチブロックしてるからな。まあまあまあま、それはまあ、いいとして。
[01:39:00.119] 笑笑。
[01:39:02.320] えっと、
[01:39:05.280] チまびっくり。シャドウコリドみたい。
[01:39:08.239] マジでシャドウリドやる?シャドウコリドって俺前やったけどな。
[01:39:20.760] アークと言いたいところだけど。扇風。
[01:39:25.119] ただ本当にここにこうここを見てまさ
[01:39:32.000] も親ポンのリクエストとかも多分親ポンが
[01:39:34.480] もうTwitchにいないから
[01:39:37.159] まやってもしょうがないというかまニコル
[01:39:40.599] もそうだな。ニコもいなくなっちゃった
[01:39:42.280] からな。なんやっぱ配信に来てくれてるや
[01:39:47.679] のやりやった方がいいのかなと思うけど大
[01:39:50.639] 来てんな結構みんなな。
[01:39:53.440] 結構みんな来てるな。これで結構物削れるから。かもいい。
[01:40:00.239] ああ、
[01:40:01.000] ほぼ生存しか削れん。
[01:40:06.440] コル2
[01:40:06.800] 個だけで削れんの?えー、そうだね。
[01:40:13.880] そこにテトリスがあるじゃろ。
[01:40:16.239] いや、ちょっと待って。こ、もうなんかね、生き残ってる人の前で言うの申し訳ないんだけど。
[01:40:21.599] テトリス武踏外伝多分しんどいと思うよ。俺しんどいと思うね。テトリス武ド会はなんなら今ちょっとやってみてもいいぞ。テトリス武踏概念。
[01:40:39.599] 全部朝チャップして面白そうなのやれば大して重んないって思うやん。
[01:40:46.159] いや、重んないやろ。
[01:40:48.199] テトリスと武踏ってワードくっつくことあるんや
[01:40:51.000] なあ。ちょっとやってみる。今レートフリあるし、そのテトリス武踏伝以外にもさ、全部入ってるから。ま、ちょっとこれ、あのプレステとか使うやつはちょっとできねえけど、このファミコンとかのだったらできるよ。今ちょっとやってみる。ちょっと待ってね。
[01:41:17.040] テトリス武踏ガンってな何ななんだ
[01:41:26.679] あれ?ちょっと待って。音声あれが来て
[01:41:28.920] ないな。うん。
[01:41:35.840] ちょい待ちだよ。ちょい待ち。ちょい待ち
[01:41:38.080] 。
[01:41:40.199] あ、これか。
[01:41:43.599] 久しぶり。レトルフリクつけんのも久し
[01:41:45.599] ぶりだから。
[01:41:57.119] よし。
[01:42:01.760] あ、来た、来た、来た。
[01:42:10.639] ちょっと待って。
[01:42:11.040] レトロフリークのコントローラーってどこやったっけ?やべ、久しぶりすぎてちょっと待って。時間かかる。ちょっと待って。最近レトルフリック使ってなかったもんな。よしよし。なんか音出てねえな。あ、なんか音が出てねえ。
[01:42:41.960] なんだよこれ。よいしょ。え、なんで音てないの?これ
[01:42:55.119] システム音消してなかったっけ?
[01:42:57.119] あ、システム音うるせえつって消したんか。システ音うるせえつって消したんだ。そうだ、そうだ、そうだ。
[01:43:10.960] 見づれからこっち。うん。よいしょ。
[01:43:16.800] よし。じゃあ、えー、グルポンリクエスト
[01:43:21.239] のテトリス武踏伝ちょっとやってみるか。
[01:43:27.480] テトリス武踏ガデンと俺入ってたっけ
[01:43:35.719] あれ。
[01:43:47.719] あ、1番上だ。
[01:43:51.239] 1番上に入ってたわ。
[01:43:54.480] 笑笑。
[01:43:55.320] やってみっか、じゃあ。音。
[01:44:12.840] うえー、お盆なだぞ。
[01:44:20.000] 笑笑。これ面白いです。懐かしい。わけおもろそうすぎる。
[01:44:25.520] どういうゲームなん?どういうゲームなんよ。
[01:44:30.119] え、なん、なんな、なん、何これ?なんな、なん、可愛い。技使えるテトリスです。
[01:44:39.080] 技といたずらが大好きなハロウィン。いつも
[01:44:47.840] あ、これか。
[01:44:48.639] え、何?何?何?これ有名。
[01:44:51.080] 相手の邪魔したり。
[01:44:52.719] はえ。いつもおかしなことで頭の中はいっぱいなんだ。
[01:44:56.639] この世界に住んでるドラゴンの秘密がドラゴンの秘密のお菓子が食べたくて食べたくて仕方がない。どうすればドラゴンのお菓子が食べれんのかな。本当にテトリスなの?
[01:45:08.840] の技を使って相手の盤面をぐちゃぐちゃにしたりできます。
[01:45:12.480] なんかテトレスなのになんか何?え
[01:45:19.000] 、何?
[01:45:23.000] めっちゃ中指立てるけど大丈夫?なんで
[01:45:26.480] こいつこんな
[01:45:29.080] んでめっちゃ指立てんだよ。こんな怖えな
[01:45:31.400] 。内面
[01:45:34.639] にテトリスうくなくても小で
[01:45:36.760] 勝てるってことですね。味がある。
[01:45:40.040] 笑笑ダブル
[01:45:43.159] すごいやん。くそ煽ってます。え、テトリスですよ。
[01:45:48.360] うん。
[01:45:50.400] あ、来た。え、え、何?ど、ど、俺どっち?あ、こっちか。うわ、俺これ俺テトリスあんま毒意じゃない。しかもさ、上でさ、落とせないの?これ。上でポンって落とせないの?これ。
[01:46:06.040] え、これさ、あれはあれできないの?あれキャッチできないの?キャッチ。あの、これ何これ?え、あれさ、上ボタンですって落とせないの?うわ、俺
[01:46:19.000] 光ってる弾がありますやん。
