[00:00:54.960] チまど可愛い。チまど可愛い。チまど
[00:37:37.880] か
[00:37:39.839] え、待って。これ、これさ、もしかしてさ
[00:37:41.720] 、マジで64が止まってるくせえ。映像が
[00:37:44.400] 止まってるんじゃなくて64が止まってる
[00:37:46.520] 。ちょっと、ちょっとごめんね。ちょっと
[00:37:48.079] ごめんね。なんだよ、もう。
[00:37:52.760] 64が止まってるくせえな。なんか
[00:37:58.720] ちょっと普通にちょっとモニターに移して
[00:38:01.760] 64が止まってるのか、この変換器の調子
[00:38:04.480] が悪いのか。
[00:38:24.680] ああ、
[00:38:26.880] 待って。
[00:38:29.119] え、ちょっと待って。64が止まってんだ
[00:38:31.319] けど。嘘。うわ、最悪。
[00:38:35.520] え、そんなことある?
[00:38:39.040] オーマイ。
[00:38:42.240] 嘘やん。64が止まってましたわと。ええ
[00:38:46.800] 、
[00:38:48.720] こりゃもう実期。これ俺が割れ中じゃな
[00:38:51.119] いってことが今証明されたな。今な。俺が
[00:38:55.400] 我じゃないっていうことが今証明された。
[00:38:57.319] ええ、嘘。最悪1時間ぐらいやったのに。
[00:39:02.440] くそ
[00:39:03.880] いや実機アピとかじゃないって。いやこれ
[00:39:06.599] 64止まってるよね、多分。うわ、セーブ
[00:39:09.040] してねえよ。
[00:39:11.520] まジかよ。
[00:39:17.079] 割じゃなかったんや。
[00:39:18.520] 割れじゃねえわ。うわ、最悪。嘘。全部やり直しかよ、今日。うわ、やったわ、これ。すんま、皆さん。実機の弊害が出ましたわ。
[00:39:39.160] 64
[00:39:39.640] はもうさ、実機でやるしかないんだよ。
[00:39:48.839] 64だからね。
[00:40:06.480] うわあ、まジか。
[00:40:10.319] ちょっとちょっぱ屋で戻しますわ。
[00:40:13.720] 突っぱで戻すわ。ああ、もうちょっと待って。めんどいな。あの激もシーンをもう
[00:40:26.280] 1度は心が持ちませぬ。
[00:40:35.560] なんだよ。あの激重もシーンもう
[00:40:42.440] 1回だわ。秘宝。
[00:40:45.440] くそやった。マジか。
[00:40:51.079] いや、なんでちょっと頼むよ。なんか前回
[00:40:55.240] からちょっとなんか
[00:40:58.520] いや、前回からちょっとあれが悪いと思っ
[00:41:02.520] たんだ。調子悪いと思ったんだよな。
[00:41:06.800] まジか。
[00:41:11.359] あ、もうちょっと、もうガツりさ、
[00:41:14.440] サクウり行くぞ、もう。
[00:41:20.359] うわあ
[00:41:23.040] ま、まだ良かったわ。まだでもこの開始
[00:41:25.560] 40分ぐらいで良かったよな。今日1日や
[00:41:29.200] 消えました。ちょっとほんまほんまに
[00:41:31.560] ちょっとそれは勘弁。ドットすご。
[00:41:36.280] 今
[00:41:38.000] 落ちもしだったな。今危ねえよ。内落ちも
[00:41:41.720] シアだったよ。危なかった。もうちょっと
[00:41:45.720] この辺飛ばしてくからね。戻し作業で。
[00:41:48.359] まジかよ。でもこのパールちゃん可愛いな
[00:41:51.839] 。パールちゃん可愛すぎ
[00:42:00.960] だから新度良かったんだね。うん。新度
[00:42:06.520] 今日進行してたよ。めっちゃ進行してた。
[00:42:11.319] えっと、あとどこだっけ?えっと、この後、えー、広場行ってで、ここでお祭りを一緒に見る約束をして。
[00:42:32.240] うわ、またあの病院のイベント見るんだ。またあの激も病院のイベント。
[00:42:41.240] 邪魔ゲームがめちゃ進むわけないってことだな。
[00:42:44.160] いや、もう神がもう邪魔してるだろう。いや、なんかでもね、昨日も調子悪かったんだよね。昨日もなんか
[00:42:52.119] 64の調子悪かったんだよな。
[00:42:53.680] 心に来る。
[00:42:56.079] このBGM
[00:42:56.800] ベースすぎだろ。まあまあまあ。えじゃないの。絵じゃないの。ほら、また見れたし。
[00:43:03.760] このパールネキもええ
[00:43:08.160] イベントごとにセブしよ。
[00:43:10.119] 確かにな。確かに確かにそれあれかな。そう、このゲームさ、あのシャドゲート、シャドウゲート
[00:43:19.079] 64
[00:43:19.599] と違ってさ、どこでもセーブができねえんだよね。
[00:43:22.720] シャドウゲート64
[00:43:23.880] はいいよ。あ、やべ、死ぬと思うって思ったらセーブすればいいんだから。これセーブできないのよ。すぐ家に戻んないと。
[00:43:37.400] パール可愛いよね。
[00:43:38.440] シャドウゲートにもいいところあったんだな。
[00:43:41.119] シャドウゲートもいいところはもうでもセーブできる。
[00:43:43.359] トライアゲ
[00:43:44.079] いいとこ。
[00:43:45.640] お、こんばんは。おん。いや、
[00:43:49.760] 64がぶっ壊れてさ、40
[00:43:51.400] 分ぐらいプレイしたのにさ、リセットかまされた。また最初からなっちゃった。おねコン。
[00:44:01.599] もう1回遊べるドン。
[00:44:03.200] もう1回遊べるドンになってるよ。
[00:44:10.319] 洗濯バサミの神止め可愛い。
[00:44:12.400] これあのアリエッティにもあのカぐらしのアリエッティにも継承されてるらしいぜ。同じキャラデザの人だから。
[00:44:24.119] すいませんね。この辺も見たんで1
[00:44:25.440] 回の色も変えてください。
[00:44:27.960] パンツの色も変えてください。
[00:44:30.119] 確かにありえってもそうかな。
[00:44:31.559] そうでしょ。なんかこのオレンジ色のマニパニで
[00:44:44.240] 頭染めてるなんかこの黒先いちゴみてなやつとなんか恋に落ちそうになってんねん。やだやだ。見たくない。こんなやつどこがいいねん。
[00:44:58.240] こんな緑色のコート着て。ボーダーの服着て髪オレンジ。すいません。ちょっと
[00:45:09.240] 緑の似合ういい男だろ。
[00:45:10.839] 緑の似合う。髪色だ。で
[00:45:14.920] 芯があるんだろうね。こんばんは。
[00:45:18.559] 芯があるのかな?
[00:45:20.000] ガキのぐらしのエティって改編するの一瞬だけ流行りませんでしたか。
[00:45:24.640] あになりさんこんばんは。にさんこんばんは。
[00:45:27.040] 今日もやってます。やってるんだけど
[00:45:28.440] ごめんね。ちょっと40分間今もう配信
[00:45:31.240] つけて45分なんだけど40分間なんか
[00:45:34.480] あの64もちろん僕実機でやってるんで
[00:45:37.520] ぶっ壊れまして64がフリーズか。
[00:45:39.960] 今戻し作業中ムかつく
[00:45:46.160] らりネ来た。
[00:45:48.760] 知らねえよ。なんて
[00:45:50.720] LINE
[00:45:51.000] 来たの?マリコバタフライからガキの頃まるまるぐらしの丸え開変すると一瞬だけ流行ってません。
[00:45:59.520] 急なんですが、明日の
[00:46:01.200] 21日土曜日東京都プロテインカフェにて
[00:46:06.040] 14時から17
[00:46:07.240] 時端と一緒に飲みながらお話しましょう。
[00:46:11.920] どんなイベントだよ。
[00:46:16.000] あいつ別になんか筋トレのキャラでもねえだろ。ブ太ってプロテイン気になる。
[00:46:20.920] 美味しいプロテイン飲みながら
[00:46:23.359] 14時から17
[00:46:24.359] 時結構長いし。結構長いし。
[00:46:30.800] どんなイベントだよ、それ。誰が行くねん。ま、ちょっと戻し作業なんでサクってやらせてください。ちょっとごめんね。イベント見たい人
[00:46:39.319] 買うまで出して店からもらえなさそう。行けそ。
[00:46:43.079] 行けねえ。行かねえよ。明日は行かない。明日ゲームやるから。ここも見たねん。これさっきすまんねん。
[00:46:51.640] ちょっとここはひ
[00:47:02.760] 擬人はあれなんだね。意味なく人に機害を加えてはならない。ダメなんだ。そういうプログラムになってんのや。
[00:47:12.160] で、この人が助けてくれます。
[00:47:18.280] でもさ、こいつなんかこの女の人さ、ここで助けてくれてさ、なんか俺すっかりもうこれで仲良くなったのかなと思ったらさ、この後会いに行ったら普通に死活されたわ。なんでこれイベントで仲良くなったんじゃないんだ、これ。話しかけてもなんか活された。
[00:47:39.640] それはそれ、これはこれ。
[00:47:42.680] 現実もゲームも同じだね。
[00:47:44.440] あ、そういう感じか。そういう感じか。
[00:47:51.599] 禁止カードすぎる。
[00:47:58.599] ごめんな、これ。ちょっと文章ちょっともうちょっと飛ばすね。もう見たからすいませんね。今から来た人はなんでこいつこんなパッパパやってんねんて思うかもしんないけどやったんです、僕。
[00:48:08.400] これさっき30分ぐらい前にいや、やっぱ
[00:48:14.280] 64もうガタ来てんのかな。なんか
[00:48:17.040] 64
[00:48:17.440] ガ来てんのかな?これ終わったらセーブしよっか。
[00:48:19.760] アーカイブ見るので大丈夫。
[00:48:21.240] あ、ありがとう。え、アーカイブとか見るん?見てくれてんだ。アーカイブとか見てくれてんだねえ。何?みんな意外とアーカイブあい。こん中であの茶げのアーカイブ見るよって人挙種。
[00:48:35.920] 茶まげのアーカイブ見るよって人挙種のの
[00:48:41.800] おええ意外と見るんだな
[00:48:45.359] の好きな人の正直へすま
[00:48:49.760] いやそうだ俺いや俺もだからとかいモコンとかみたいな感じでいやまでは別に見ねえだろうっていう人ばっかなんかなっと思ったけど結構見るんだねってどうどうやってんのお前それどうやってやってんの
[00:49:05.119] くってそ
[00:49:06.359] 見逃した。あれどうなったんだろう。
[00:49:08.720] あ、やべえな。やっぱその辺意識しとかんとな。その辺意識しとかんとな。後で誰か聞か見てるっていう。あの俺、あのコメント流れない時もうぶくれて文句言いながらやるじゃねえとよ。ブ
[00:49:21.440] スくれながら文句言いながらやっちゃうからだめだね。紅葉今この瞬間も未来のお前が見てると思ってて俺はやってる。
[00:49:30.720] 笑笑名人のアーカイブだけは見ました。
[00:49:34.640] あんなクソ長高いの逆にあんな
[00:49:37.240] 48
[00:49:37.680] 時間ぐらいやったやつ私のコミュニケーションやめますか?やめないよ。なんだその聞き方怖いな。
[00:49:47.839] マグロ。
[00:49:48.160] え?いや、これはいらないないない。マグロ。
[00:49:56.640] そうか。みんな見てくれてんだ。優しいね。嬉しいね。嬉しいですな。嬉しいですな。
[00:50:03.119] ちょっとじゃあ僕気をつけますわ。気をつけます。なんかそのね、アーカイブ見てた人がなんかこうやな気分にならないように
[00:50:14.040] 今見て応援してくれてる人たちに大
[00:50:16.520] いや、マジでそれよ。うん。ま、でもやっぱアーカイブよりも生で見にくれてる人はもうやっぱり嬉しいよね。やっぱね。やっぱ嬉しいよね。うん。ね。もう
[00:50:28.559] 2026年ゲームはしろ。
[00:50:31.000] あの、あれだから
[00:50:32.839] 2026
[00:50:33.240] 年チャマゲームはやっぱあの、視聴者を大切にするということを目標に
[00:50:37.520] 目標にま
[00:50:38.880] やっていきますからね。
[00:50:39.680] 生やったぜ。
[00:50:41.559] やっぱ何でも生が1
[00:50:42.680] 番だよね。何でもね、もう余分なものはいらない。え、ご輪です。
[00:50:51.799] お父さん。あ、お父さん死んじゃった。
[00:50:54.839] 病室に病室に三端のトライデント持ち込むやついるか?お前もうポセイドンじゃん。病室に
[00:51:02.280] 3
[00:51:02.760] のトライデントも落ち込まないだろ。何お前?病室に
[00:51:06.799] 生キャラメル
[00:51:07.960] んで生チョコ生キャラメルね。
[00:51:10.160] 天敵のやつかと思った。
[00:51:13.319] トライデントジョットさんすみませんか?席を外してくれませんか?
[00:51:18.240] ごめんなさい。
[00:51:20.319] この子は死というものをまだ理解していない。
[00:51:24.319] 2
[00:51:24.559] 周目だと周りも見れるからいい。トライデントに天敵引っかけれどいいね。
[00:51:31.000] そのトライデントは何なの?
[00:51:32.720] あの人漁師なんすよ。あの人漁師なの?肌見離さず浜口みたいな感じ。良い子の海へ。
[00:51:42.440] 笑
[00:51:43.480] え
[00:51:44.240] え。なくなった。死んじゃったの?死んだ。
[00:51:52.960] は
[00:51:57.280] 思い出しちゃった。ほら、おじいちゃん。おじいちゃん死んだんだよね。そういえば思い出しちゃった。
[00:52:12.000] お姉ちゃん。
[00:52:13.920] あら、おじいちゃん。
[00:52:15.280] まだし、死というものが理解できてないんですわ。
[00:52:19.640] 死ぬって何?
[00:52:21.839] 死ぬっていうのはこの世の苦しみ痛みから解放させされること。死は救いだよ。危険な思想を植えつけていく。
[00:52:32.480] 笑笑。
[00:52:33.319] 死だよ。ジョゼット悲しむことはない。おじいちゃんはね、
[00:52:38.400] 救済。
[00:52:39.240] おじいちゃんはね、痛みや苦しみ、悲しみから、あの、遠いところに行ったのさ。
[00:52:46.520] インド行って何かあったんだね。
[00:52:50.119] インド行ってさ、その私感っていうものを救
[00:52:52.480] 歳デッドバイデイライト
[00:52:57.240] くらちゃんないのかしらつまんないな。
[00:53:08.680] メメント森。
[00:53:09.720] メメント森。死を忘れるな。メメント森でまたそ、そしてまた森に行くんですよ。
[00:53:17.599] これがまたこれがメメント森ってやつです。意外と早く戻ってきた。ここでさっきクリしたんだよ。あれ違ったっけ?
[00:53:27.640] メメント森。
[00:53:29.040] メメント森。黒トン発電所から漏れてる黒ン放射能がいいんだな。アーノルド
[00:53:37.599] 64のゲームってこんなぬる?
[00:53:39.680] いや、これマジでドットぐくない?アニメーション。
[00:53:44.280] アーノルド、ここで何してる?アーノルドシュワルディネガね。
[00:53:55.240] ここでちっちゃい女の子を見なかった。
[00:53:56.680] ラミン
[00:53:58.359] この森である
[00:54:00.599] い病院のクラのことかい。
[00:54:02.559] え
[00:54:03.240] え、なぜ知ってるの?ジョットは聞いてないのかい?
[00:54:08.000] え?
[00:54:09.920] クララは原因不明の病気にかかって倒れたらしいよ。早ない?さっきまでたのに。さっきまで喋ってたのに。クラララってさっきのちっちゃい女の子だ。
[00:54:27.160] ばっかり今日めっちゃ死ぬんよ、人が。さっきもやつて思ったけど、今日めっちゃ人死ぬ。しかも死ぬんかいって。ま、死なないんだけどね。死なないんだけどなんか病気にかかっちゃったんだよね。クラルラちゃん病気なの?まあ、わざわざ来てくれたのね。心配しなくてもいいわ。クラはちょっと風をこじらせただけなのよ。本当ですか?原不明の病気じゃないんですね。ええ。そ、そうよ。
[00:54:52.079] はあ。
[00:54:53.400] 嘘ついています。クライちゃんにお大事にって言ってみてください。あっときゃいいの?あら、ずっと。親ットさん。クラちゃんのお見舞いに来ました。いや、ありがとう。
[00:55:16.880] クララも喜ぶよ。
[00:55:26.200] 足音可愛い。
[00:55:27.480] 足音めっちゃ可愛いよね。ぷにぷにぷに。もうすっかり元気なのにパパがまだ寝てるって許さの。退屈でも良かったね。ねえ、お姉ちゃん、お歌歌ってお願い。いいわよ。委員長先生。
[00:55:49.359] うむ。とにかく黒ひ君が来るの待つしか
[00:55:51.880] ありませんよ。
[00:56:08.720] これさっきのさっきの漁師ね。これ
[00:56:15.160] なんて環境の悪い島だ。
[00:56:19.079] さっきここまで見たんか?このこの漁師の
[00:56:22.000] 漁子ってかこの黒ひげのイベントまで見た
[00:56:24.119] んだよね。
[00:56:27.039] こいつが直してくれるんかなっていうとこ
[00:56:28.839] なんだ。今黒ひってやつが医者なんだけど
[00:56:32.319] 。
[00:56:44.640] 何やってる?
[00:56:47.119] ここをどこだと思ってる?
[00:56:48.160] ごめんなさい。な
[00:56:50.440] んで歌ってるだけで怒られなきゃいけねえんだよ。お前三股の槍持ち込んでるやつが怒られねえのによ。なんでちょっと歌っただけで怒られなきゃいけねえんだよ。
[00:57:08.520] やかげルール
[00:57:12.280] やかげルールなんだ。
[00:57:14.520] やかは槍りは持ち込んでいいけど大声禁止だ。確かに俺大声禁止で出来に食らったからな。よってごめんなさい。クラはどうしたんですか?
[00:57:29.880] やげで何かあったんですか?コールストリーボブ男は許して女には厳しいタイプ。あ、昔のゲームだからね。顔も似てるね、このじ。
[00:57:39.559] よく見たら顔も似てる。
[00:57:42.559] このじじ
[00:57:43.599] やかげ行ってみたい。
[00:57:45.000] いや、うん。まあいいんじゃない?行ってみても。大きな声出すと怒られるから。
[00:57:52.240] 大きな声出すと怒られるから。気をついよ。
[00:57:56.119] 待ち出金ってすげえよな。
[00:57:58.799] いや、ま、待ち出金はちょっと持ってるけどね。持ってるけどね。別に街デになったわけじゃないけど。ま、ただ、あの、もう喋るなって言われた。もう喋るなって言われて俺。
[00:58:11.559] その街の偉いなんか偉い人にそんなことある?
[00:58:15.520] 笑笑
[00:58:16.760] そんなことある?
[00:58:17.720] 禁止
[00:58:18.680] すごない?
[00:58:19.960] どうして?笑笑
[00:58:21.599] え、あのあれにさんって知らねんかな?
[00:58:25.520] いや、昔イベントがあってさ、昔俺が所属してたチームのごめんね、イベントあのごめんね。これ初めて見る。
[00:58:33.359] これ2回目だからちょっとお話すけど、
[00:58:35.760] あのチームのイベントでや長っていう街が
[00:58:39.960] あるんだけど、そこを盛り上げようって
[00:58:42.160] いうイベントだった。配信とかeスポーツ
[00:58:44.440] で、俺は配信部門で出てた。俺の仲いい
[00:58:48.079] 配信しと4人でなんか桃鉄をやる桃太郎の
[00:58:52.160] 町だからね。やげてね。桃鉄をやろうつっ
[00:58:55.680] てさ。これちょうどいいとこでBGMが
[00:58:58.559] かかるな。で、まあ、24時間配信するん
[00:59:01.839] だけど、その会場がさ、なんかその、ま、
[00:59:05.280] や長ってこう歴史をおもんじるあのセブン
[00:59:08.440] イレブンとかあのコンビニが茶色い街なの
[00:59:11.920] よ。分かる?コンビニが茶色くなる街ある
[00:59:14.160] やん。あのなんか景観を意識して昔ながら
[00:59:17.119] のやっぱeスポーツとかそういう
[00:59:21.799] あのなんていうのかなやっぱそりが合わ
[00:59:25.480] なかったんだろうね。配信っていうものに
[00:59:27.680] 俺がいつもみたいな感じでさ、ぎーみたい
[00:59:30.039] な感じ言ったらさ、24時間配信なんだ
[00:59:32.880] けど2時間の時点でおいストップ言われ
[00:59:35.039] てん
[00:59:37.079] ちょっとちゃまって言われてあのあの本当
[00:59:40.599] にお前声がでかすぎてあの早えよ
[00:59:43.599] うるさすぎて言われもう出ないでくれて
[00:59:46.760] 割と早い段階で笑
[00:59:48.960] 本当だよ本当だよかけて
[00:59:51.280] 役減まで行ったのに数円2
[00:59:52.880] 時間あと全部宿で
[00:59:55.839] 寝てた。寝てた。
[00:59:58.240] 笑笑。
[01:00:00.000] あと全部宿で寝てた。みんなの配信を見ながら。ま、昔の話なんでね。昔の話なんで別に今更とかく言うことじゃないけど、ま、もうちょっとなんかさ、事前にさ、配信ってこういうもんだよってのをさ、なんかさ、言っとくべきだったんじゃないのかなとは思いますね。
[01:00:21.079] そんな話あった気がするわ。
[01:00:25.440] ありましたね。いや、ま、この件はね、掘り返せば掘り返すほどいろんな話が出てくるんだけど、もうあえて僕は言いません。もう過去のかったですね。
[01:00:33.440] もう過去のことなんで
[01:00:35.119] 思い出したら腹立ってきた。
[01:00:36.960] いやいや、もうちょやめようやめよ。
[01:00:42.240] すり合わせて大事だね。
[01:00:44.039] うん。それどころじゃなかったからな。やめようやめようって言いたから話すんだけど。
[01:00:49.400] スペア。その
[01:00:51.520] 会場に行ったらさ、
[01:00:54.559] パソコンがポンって1個置いたって、
[01:00:56.200] パソコンとモニターが1個ポンって置いて
[01:00:57.760] あってん、あ、これでやるんだなって思っ
[01:01:00.880] たんだけどパソコン立ち上げるじゃん。4
[01:01:05.280] 時から配信開始なの。で、俺たち3時に来
[01:01:07.280] てって言われたから、もう全部準備は
[01:01:08.680] チームがやるからって言われてね。で、
[01:01:10.599] 行くじゃん。OBS入ってなかったからね
[01:01:13.319] 。
[01:01:17.359] すごいよな。
[01:01:20.000] 笑笑ダブル笑ダいすない生徒笑
[01:01:26.880] すごいやろグいもうグいねグい
[01:01:32.119] オフェス以外だとなんで配信するんですか?
[01:01:38.480] ネットは
[01:01:42.079] 24時間からね24時間配信で
[01:01:45.680] Webカメラ2台とゲームの
[01:01:48.319] ね、あれで配信しようって言ってんのにランケーブルじゃなくて、あの
[01:01:53.079] USBに刺すWi-Fi
[01:01:54.720] のコ器みたいなやつ。いや、無理、無理、無理、無理。そんなんで配信できるかい。
[01:02:01.839] 笑笑。やばい。笑笑。
[01:02:06.000] いや、あんま、あんまりでもこれ話すとなんか俺が悪になるからこれ以上言わないけど。ま、そういう感じだったんすよ。あんま話すとね、なんか良くないけど。
[01:02:17.359] まあでも本当のことなんでま、本当のことだ。
[01:02:21.319] もう遅いよ。
[01:02:26.119] お話ありがとうございます。笑。
[01:02:30.240] 怒られそう。俺大丈夫かな?ま、それ以外にも色々あるけどね。ま、それ以外にも色々ありますけど。よし、ここで戻ってきた。
[01:02:43.440] 1
[01:02:43.559] 回セーブしていいか?ごめん。一旦セーブさせてくれ。
[01:02:46.319] これで戻り作業ほぼ完じゃない?
[01:02:53.039] まあね。うん。僕以外にもいますからね。このイベントに出てた配信者はね、みんな、みんなに、ま、みんな話さないだろうけど、ちゃんと
[01:03:00.680] TP
[01:03:01.039] を湧きまえて、いや、そんな話できないよ。もう、僕ごめん。もうなんかごめん。話しちゃった。いでしょ。
[01:03:12.160] なんでお前そんなお前なんでそんなお前
[01:03:16.960] デキ食らった時で俺みたいな感じじゃん。
[01:03:18.960] 出なきゃいいんでしょ。ま、ちなみに俺も
[01:03:21.640] こんな感じ最初ジョゼットと一緒。はい。
[01:03:24.799] はい。出なきゃいいんでしょ。はい。
[01:03:28.000] 一旦セーブしよう。一旦セーブしようや。
[01:03:32.839] きつける
[01:03:34.960] みんな闇を抱えてるんやね。
[01:03:40.119] まあ、でもいい、いいになったんじゃないかな。いい研にはなったよね。うん。いい経験にはなりました。
[01:03:51.839] ジとデートいつ?
[01:03:53.039] ジとデート日曜だよ。日曜。日曜。日曜日あのマクカリー行くよ。マクハリー。
[01:03:58.039] うん。
[01:04:00.359] ほう。
[01:04:00.960] モンハン。モンハンフェスタ。全くモンハン知らないけどね。
[01:04:03.760] 次、もしああいうイベントあるならネット環境と防音周りどうなってるか聞かないと。
[01:04:08.920] あのね、それがあったおかげで。おかげでっての面なんだけど俺のイベントあったじゃない。レベルアップではもうぜ、あのね、何回かやっぱお姫やったじゃない。やっぱね、配信がおざなりなっちゃいガチだったのよ。やっぱりやっぱねイベントで俺ら行っちゃってるとね、やどうしてもっちに力しちゃうんだ。でもさ、やっぱ来れない人はネットで見てるじゃん。
[01:04:33.039] 何何何喋結構真面目かもしれない。ま、真面目な話してた。今ネットを絶対配信をおざなりにしたくなかったの。だから俺の配信ではもうめちゃめちゃ気をつけた。
[01:04:43.640] 不真面目
[01:04:45.279] 真面目だろ俺。ふ真面目って言ってた。不真面目かもしれないって言ってた。今でどこ行きゃいいの?ほんでどこ行きたいの?プ
[01:04:51.960] は神だった。
[01:04:52.799] いや、神だったよな。ぶっちゃけ申し訳ないけど神だったよな。ま、人は失敗から学ぶもんですわな。
[01:05:12.720] この子治んないんかな?
[01:05:16.119] 横浜もおもろかったけどマイクが残念。
[01:05:18.559] そう、そう、そう、そう、そう。マイクとかがやっぱ響いちゃったりとか。
[01:05:22.559] 教君にできるのは強い。
[01:05:24.480] うん。まあ、だからまあ良かったんじゃない?ま、良かったんじゃない。
[01:05:32.680] えー、どこ行こっかな?どこ行こうかな?もう
[01:05:37.000] 1回森行っていいか?もう1
[01:05:38.240] 回森行ってみよう。あ、誰もいなくなってる。
[01:05:44.760] はあ。
[01:05:45.440] 誰もいないんだ。レちゃんが心配だわ。森よ。フラちゃんを助けて。
[01:05:55.279] 全然別の場所で配信する時の環境整えめっちゃ大変だ。
[01:06:00.680] 本当にあのね、今もこうやって配信してる
[01:06:03.640] けど、あ、コルロルの森来た。やっぱね、
[01:06:06.319] このカメラのコードとかもやっぱ場所
[01:06:08.520] 変わるだけで全然違うし、マイクの設定と
[01:06:11.359] かもやっぱ場所変わるだけで同じマイク
[01:06:13.559] 持っても全然違うからね。
[01:06:20.160] なんかコルロの森来たよ。お疲れ。MDX
[01:06:23.839] さん、こんばんは。や、今日も。誰なの?
[01:06:28.440] 私を呼ぶ声は。
[01:06:30.599] 僕の名前を呼ぶのは誰?
[01:06:37.200] 遠いよで近よで。
[01:06:45.720] 耳の奥から聞こえたよ。で、空からのよう
[01:06:53.799] で。
[01:06:55.720] お、ペペロンやっぱり分かるやつはいいね
[01:06:58.200] 。
[01:07:00.240] え、ご存知でない?ポルノグラフティ。え、ポルノグラフティのこれな何て曲だっけ?俺も曲名出てこねえや。なんだっけ?曲名出てこない。なんだっけ?ポルノのこれなんだっけ?ボイス。
[01:07:11.200] わからんかった。
[01:07:12.079] ボイス。ポルノのボイスだよ。
[01:07:14.599] ボイスな。ボイスね。下くじビる感でボイス。茶まりまさん聞こえたの?ポイズンじゃねえよ。えー、
[01:07:26.760] 声よ。コロナの森の声よ。
[01:07:32.319] コルロの森の声なの?なん?コルロルモりの声が聞こえた。でででなんやねん。で、なんやねん。もう
[01:07:44.720] 1回。もう1回。
[01:07:45.480] これも聞こえる。
[01:07:46.279] 嘘。病院行った方がいい。それ思いを信じ努力する。え、なんなん?もう
[01:07:53.319] 1回病院行ってみよう。もう1
[01:07:54.640] 回病院行ってみよう。
[01:07:56.279] 笑笑。
[01:08:02.079] もう1回病院行ってみよう。
[01:08:05.640] どこかで待つ人よ。出会うべき人よ。君は
[01:08:12.319] 確かにいるな
[01:08:16.480] 。だよ。知らないの?おいおいおい。
[01:08:19.400] ポルノぐらい抑えてきてくれよ
[01:08:22.799] なあ。ポルノグラフティぐらい抑えてこ
[01:08:25.759] いって。
[01:08:29.719] ま、最近の曲全然知らないけどでもえ、どこ行こっかな?しかわかんねえや。
[01:08:35.759] ポルノはポルノめっちゃ好きだよ。ポルノきってなんか語弊があるけどポルノグラフティね。うん。心は空にね、跳馬ライね。兵ない。兵なかった。兵あるだろ。
[01:08:57.440] ポルノ好きは俺ポルノめっちゃ好きやねんて。下手し
[01:09:01.799] ban
[01:09:02.000] されるだろ。あ、ジョットのお姉ちゃんだ。およ。
[01:09:07.199] 笑笑。
[01:09:07.719] 前作の主人公。さあ、かけっこしましょう。よし。僕負けないからね。じゃあ、そこからスタートするよ。お、やるんだ。やるんだ。よい。ドン。
[01:09:23.199] え、これ何?連打とか何?連打?いや、何
[01:09:26.640] もない。
[01:09:30.960] 結構容赦ない。ガキ相手に容赦なし。
[01:09:36.960] はい。
[01:09:39.120] 手を知らない。え、いいフォーム
[01:09:42.159] なんか後ろから来たよ、もう1回。あ、
[01:09:44.600] 場面変わったんか。常にガチンコ。
[01:09:48.600] 常にガチんコね。負けちゃった。
[01:09:50.799] でもお姉ちゃん早いな。うん。僕もすごく早かったわよ。へへへ。お姉ちゃん何?
[01:10:01.159] 何?なんでもない。なんだこれ?いっこ。お前さかポッコもちょっといいなって思ってる。ポッコもちょっといいなって思ってる感じだ。
[01:10:17.120] えー、で、あとどこ行こっかな?間違えた。
[01:10:24.440] おしたとした。
[01:10:26.480] い、言わないようにしてたのに。俺もちょっとピク、俺もちょっとピクッとしたけど言わないようにしてた。
[01:10:35.560] いいね。
[01:10:36.480] 誰かあの猫にギャフンって言わせてくんねえかな。おした助きすぎだろ、お前ら。
[01:10:44.040] いいね。いい、いい。おしたきのリスナーしかない。
[01:10:50.000] はい。お疲れちゃん。リビさん、お疲れ。四号はお疲れちゃん。やってるぜ。ジョゼカス。今日はめっちゃイベント進みますわ。イベント進みますわ。ほら、このお姉ちゃんさっき一緒にさ、
[01:11:04.360] 笑。
[01:11:04.800] あれしてたのにさ、あれしてたのになんかここだともう行業しい他人になっちゃった。さっき一緒に悪をけ散らしたというのに。
[01:11:12.480] おしたは初に手導権らせたらあかんでスゴ
[01:11:17.600] おネショたソムリエもいますとおしたソムりもいますと
[01:11:23.120] これはガチ
[01:11:24.480] までもそれはそうでもまあそれはそう確かに
[01:11:37.840] おしたガち勢も見てます
[01:11:41.080] え大丈夫なん?Twitch
[01:11:42.280] 的におしたってban
[01:11:43.920] の対象じゃないの?え?おしたは許されてるの?おネショタってオッケーなん?コメント分かんないんだけど。どこまでがセーフなのか?おネしたってセーフなんか
[01:11:57.760] 飛びとはおした感用。
[01:11:59.600] 初観用なんだ。分かるとこも
[01:12:03.520] 隠されてないね。
[01:12:04.520] ああもそっか。隠されるのか本当は。
[01:12:09.719] 今チャトピがコメントしたことにみんなみんなハッとしたよな。あ、女の子を見てたんだ。
[01:12:15.800] あ、女の子もいたんか。て
[01:12:20.040] よかった。
[01:12:25.760] やさん、ちょっとこれいいよ。トークで見守ってるね。
[01:12:29.760] すいません。すいません。男ってバカやねん。男ってバカやねん。ボットチまゲームです。
[01:12:38.719] これ恋の演技できるんちゃう?
