[00:00:34.440] おす、おす。
[00:38:05.760] 3333。
[00:38:07.400] え、こちら書くと、で、2.3倍でバック
[00:38:10.280] ですので、え、大体7万ぐらいでバック
[00:38:12.319] ですかね。7万もいかないかなぐらいで
[00:38:14.319] バックだと思います。え、できないように
[00:38:15.920] かけた4名の方、トップ5万、岩オタンが
[00:38:18.920] 5万、岩オタンの5万。え、これが勝つと
[00:38:21.760] 、え、1.78倍なんで、え、大体、え、
[00:38:24.880] 8万9万ぐらいでバックすかね。わかん
[00:38:27.079] ないですけど。え、そんな感じで行きたい
[00:38:29.040] と思います。よろします。き行しています
[00:38:31.319] 。き行縛り。き構縛り。大好き男ちゃ
[00:38:36.319] ゲーム。
[00:38:39.000] キモ。
[00:38:41.680] え、
[00:38:42.960] なんかうんちゃんってあれやんな。なんかあの下ネタとか全然平気ですかなって思ったら割と普通に肝がる時あるよね。うん。割と普通に肝がる時あるよね。
[00:38:55.599] ハムじゃないんだからさ。
[00:38:58.400] チャーシューなっちゃうよ。チャーシ
[00:39:00.000] 人による
[00:39:00.680] 人による。あ、チマゲームのそれはちょっとキモかった。ちょっと解釈違いだった。
[00:39:05.760] 弾ゲームのき行りは?え、ちょっと待ってよ。
[00:39:10.319] 散らつく。
[00:39:11.839] ちょっとやめてくれよ。それは本当に気持ち悪いからちょっと本当に本当に嫌だな。それ
[00:39:17.160] 笑笑そらあかんわ。笑笑
[00:39:23.240] これはちょっとむずいか?
[00:39:27.520] 稽古から生まれたんだって毎日思ってる。
[00:39:32.359] まあまあでもそうだよ。そうそうだろ。
[00:39:35.319] ちょっと待ってね。
[00:39:40.480] それはそう。うん。ちゃんと稽古って面識あるの?
[00:39:43.960] ねえよ。だね
[00:39:45.680] ねえよ。俺のリスナーで面識あるやついねえよ。
[00:39:48.760] あれ
[00:39:49.000] あります。
[00:39:49.680] あるんだっけ?
[00:39:50.920] 笑笑
[00:39:51.640] じゃ。うんちゃんはないけど。え、俺のお母さんに会ったこ、俺稽古に会ったことあるやついるんだっけ?何人かいるよな。でもイベントでイベント見に来たからな。何人かいるよな。
[00:40:01.920] の
[00:40:02.160] え、お猫もある
[00:40:04.119] の。の
[00:40:06.240] みんなは絶対嘘。
[00:40:07.960] 稽古松いであったよ。
[00:40:11.000] ガチのやつやん。ガチでお松さんのファンだから。うちのうちの稽古は
[00:40:18.280] 横浜に来てなかった。
[00:40:19.800] 横浜来てた。横浜であってん。あってた。あった。
[00:40:33.079] ああ、でもなんかこれ
[00:40:34.960] まだご挨拶はできてない。
[00:40:37.960] 挨拶そまだあったことないんだ。なんだまだ挨拶
[00:40:40.720] みたいなこと一緒に挨拶した気がする。
[00:40:43.400] ああ、てかメも来てたんだっけあん時。あれさちょっと待って。
[00:40:48.400] このさ、上から一方的に遠巻に見てた。
[00:41:07.319] これあっち側行けないよね。
[00:41:11.359] 扉の鍵を扉の前に置いとくのってどうなんだろうね。
[00:41:14.960] これ取るのが難しいんだって。取るのが難しいんやって。うーん。いや、俺ここ登りたいんだけど登れないよね、これじゃね。
[00:41:45.480] このツハを1番上まで持っていきたいんだ
[00:41:49.040] よね。
[00:41:52.359] そんなことできない。
[00:42:02.800] うーん。
[00:42:10.960] ここ登りたいんだよ
[00:42:20.839] ねえ。むずくね
[00:42:30.280] ちゃんこんばんは。
[00:42:48.920] やべえ。全然わかんねえな。なんだこれ?
[00:42:51.720] ゴローンが鍵になりそう。
[00:42:53.440] そうなんだよ。そだと思う。俺もごめって全然わかんない。ごめんね。ゲームに集中しちゃってごめん。
[00:43:13.480] だからゴローンをどう止めるねんって話なんだよ。アイテムを持ちながら
[00:43:17.319] 持ってるからと。
[00:43:18.280] そうそうそうそうそうそうそうそう。だからこのツ橋であの扉のあるところ
[00:43:27.480] 1
[00:43:27.640] 番上の天井をどっか崩してこの四角真ん中の四角の上の
[00:43:32.599] 2つはさそうじゃないと取れないじゃん。
[00:43:36.359] 絶対そうじゃなくて取れないじゃん。あの
[00:43:37.760] 上から開けて侵入しないと。あそこ
[00:43:39.800] ジャンプして絶対乗れないから。だどうに
[00:43:42.000] かこのツハを1番上で持ってきたいんよ。
[00:43:48.400] も1回ちょっと1回死んでいい?もう1回
[00:43:50.359] 考えちょっとちょっともう1回普通最初
[00:43:52.280] からやって。うーんなんかなんか多分
[00:43:55.040] ごろうなんだろうな。なんかごろうなん
[00:43:58.000] だろうな。
[00:44:06.559] で、この右側の、右側の別笑うとこじゃないから大丈夫だ。あの、右側の、あの、なんだ、スコップとハンマーは真ん中の口、真ん中のあの四角
[00:44:18.440] 4つ入ってる四角弾が
[00:44:20.359] 4
[00:44:20.520] つ入ってる四角の天井と壁を壊すことに使わなきゃいけないんだよ。ということはこれルはどこでじゃあ使うんだろうな。
[00:44:30.960] ドリル余るんか?ドリルどこで使うんだろうね?復活なし
[00:44:40.920] ん?復活って?何?ま、こっからはい。
[00:45:02.119] ちょっと待って。なんかやな予感するぞ、
[00:45:04.359] これ。これ、これまさかまたあれか?
[00:45:09.240] まさかまたまたあれか?これ
[00:45:13.599] 大年の王年のあの
[00:45:19.000] 霊の霊のあのテクニックを使うのかこれ。
[00:45:30.040] 1
[00:45:30.280] 面ステージだから余裕みたいな顔してましたよね。
[00:45:34.599] でも比較的難しいと言っても
[00:45:37.559] 1
[00:45:37.760] 面ステージはそれでもやっぱり簡単だとは思います。
[00:45:42.599] 前に言ってたもんね。
[00:45:44.319] うん。ちょっと待って。これまたさ、あれでうまいことできるのか?壁際リジャンプであっちに行くっていう。あ、くそくそ。
[00:45:59.960] なんだよ。使っちゃった。間違えた。
[00:46:05.880] これ拾っちゃったよ。これいらないだろ、
[00:46:07.760] 多分。
[00:46:15.000] ああ。いや、無理かな。無理かな、
[00:46:24.200] これ。ギリギリ攻めてさ、ギリギリ攻め
[00:46:27.119] ていけない?行けた。
[00:46:29.520] 行けたわ。で、これはこれ、これ、
[00:46:33.440] これ、これ。
[00:46:35.559] 笑笑。ああ、
[00:46:37.960] これなのか。本当に
[00:46:41.760] るない。
[00:46:42.880] いや、だからこれ、これが成功法なのか。なんかどうなんこれってわかんない。
[00:46:56.160] どうなんこって?これってどうなの?クニックとしてな。だとしてもだよ。だとしてもむずいな、これ。あー、なるほど。だわ。リル使って。ドリル使って。ここに穴開けて。これ上に行けるようにする。
[00:47:22.640] はあ、
[00:47:25.760] 分かりました。もう行けたわ。もう行けた
[00:47:27.760] 。ただあの戦法がさ、本当に正しいかが
[00:47:33.280] わかんないで。これ本当に成功法?これ
[00:47:37.119] このステージのさ、ちょっとさ、正解見て
[00:47:39.440] きてほしいわ。教えなくていいから。ただ
[00:47:41.520] 俺とやってることが一緒なのかどうかだけ
[00:47:44.119] 教えて欲しい。
[00:47:49.040] これちょっと説明するのが難しいんだけど
[00:47:51.000] 。
[00:47:51.559] 説明するのが難しいんだけど、なんであのあそこ乗れるかって言うと
[00:47:56.040] 成功法じゃない気がします。
[00:47:57.920] いや、ま、でもそうだよね。
[00:47:58.720] けどクリアできれば良いかなと。
[00:48:00.800] それもこれもまた1
[00:48:02.079] つの知恵だよな、このゲーム。ああ、いっか。
[00:48:06.720] こんにちは。
[00:48:07.920] あ、今こお疲れちゃんやってるぜ。今日は目立せ
[00:48:10.720] 51
[00:48:11.280] まで。なんで?ああ、バカ。掘っちゃったらが取れないじゃないの?バカだれ。
[00:48:20.960] バカたれ。取る前に一貫行かなきゃあかん。死んだらあかん。人生は冒険や。死んだらあかん。行くよ。
[00:48:39.200] ピンピンコロり茶まボン
[00:48:41.720] ピンピンコロリ。あのババーたちがよく言うやつね。あの老人ホームでよく言ってるやつじゃない。
[00:48:49.680] ピンピンコロリってピンピン生きてコロリと行くとチまンゆタボンゆタボンだっけなんだっけ?
[00:49:03.040] ピンコロ自蔵とかあるんだから
[00:49:04.799] ピンコロ自蔵
[00:49:07.280] 大大大出世
[00:49:08.680] 大大大出世もう次もうこれ行くわ俺がさっきから言ってる
[00:49:18.799] 俺がさっきから言ってるこのこれ本当に
[00:49:20.960] 成功法かって言ってることをちょっと解説
[00:49:23.200] しようと思う。貴様らのためにエルギーザ
[00:49:26.480] をよくわからない貴様らのために
[00:49:31.920] 何回かここまで来るまでにも何回かそれ
[00:49:34.920] 使ってクリアしてきてるんだけどあの何が
[00:49:38.000] あれかと言いますとですねあの
[00:49:41.559] このゲームってジャンプ中の空中請求が
[00:49:44.000] 効かないんですよ。だからこうやって落ち
[00:49:45.119] ちゃったらもう左右に動けないのよ。落ち
[00:49:46.760] てる途中はね。だからここのこの上に乗り
[00:49:49.160] たくても乗れないはずなんだが。はずなん
[00:49:52.680] やが。はずなんやが
[00:49:56.799] ジャンプ制御が効かないっていうのはこの
[00:49:58.880] 例えばジャンプしてこうやって動きながら
[00:50:01.200] ジャンプするとこういう風に行くわけ
[00:50:02.799] じゃん。このジャンプ動きながらジャンプ
[00:50:05.599] するとこう
[00:50:09.200] 前に動きながら落ちるわけよ。でもそれも
[00:50:11.280] 空中制御がやつです。そうそうそう。完成
[00:50:14.000] で完成は壁に消えた後も残ってるのよ。壁
[00:50:17.680] に当たった後も残ってるの。だから壁に
[00:50:20.000] 当たってわざとジャンプでギリギリあの
[00:50:23.680] 完成ジャンプのまんま壁に当たって落ちれ
[00:50:26.160] ばそこのひまずに入れるっていうだ。これ
[00:50:29.640] は多分成功法ではない。なんかゲームの
[00:50:32.520] 仕様の穴をついた。
[00:50:37.440] これスマホゲームだったら多分あれだろう
[00:50:39.079] な。アプデで修正されるタイプの
[00:50:58.079] そんなことやんなくてもいいんじゃね?
[00:51:00.599] いや、成功法だと思う。いや、これ、これ
[00:51:04.040] 多分な。違うな。だってこれでいいじゃん
[00:51:07.000] 。これでいいじゃん。
[00:51:09.200] これでツハ持ってきゃええねん。あっちにほら、わざわざずるいことやって上飛んなくてもこれでいいじゃん。ほらほら。これでええんちゃん。これでええんちゃん。
[00:51:26.640] 結局中央で掘りますからね。
[00:51:28.480] そうなんだよ。そうなんだよね。あ、じゃあこれでいいじゃない。ただいちいちゃんの石コ待ってんのだりいいな。
[00:51:41.720] はれ
[00:52:01.559] 。
[00:52:06.040] まずは喋る。
[00:52:09.760] ほい。で、
[00:52:15.319] ま、いっか。この辺放っちゃうわ。ほんで
[00:52:18.079] ここで入っちゃダめなん。
[00:52:25.160] オケ。
[00:52:33.920] み
[00:52:35.599] 1
[00:52:35.760] つ聞いていいですか?
[00:52:36.799] 簡単じゃろがなんですか?なんですか?
[00:52:39.280] 作だね。な
[00:52:40.119] んですか?ほう。めっちゃ調子いいじゃん、今日。
[00:52:45.760] 完璧。パチパチパチパチパチパチ。なんで毎回下に戻ったん?
[00:52:51.760] え、うるせえな。うるせえ。
[00:52:56.280] うるせえ。揚げ足りばっか。うるせえ。はい。ステージ
[00:53:00.960] 50。
[00:53:05.040] えっと、
[00:53:06.400] 特有のやつだよね。大丈夫。な
[00:53:08.400] んだ、特有のやつってなんだ特有のやつって。えっと、危ないからね。
[00:53:20.079] チまさんのテクニックと岩の敵兵用でアイテム余らせることは一応可能そうではありました。あと
[00:53:26.760] 10面か。
[00:53:27.920] ちゃまさん、どうしたん?話文庫かねってやつだね。
[00:53:33.079] 何?
[00:53:39.760] なんかでもここもそんなむずくないんじゃ
[00:53:42.160] ね?なんかそんなむずくないんじゃね
[00:53:57.559] 。落ち
[00:54:00.079] 捨てるの?まジ
[00:54:00.720] ボール見えてきたな。4
[00:54:01.920] ステか。ゴール。あ、だってあと
[00:54:03.640] 10
[00:54:03.839] 捨テやで。このゲームのこのゲームのゴール自体が。
[00:54:06.680] スタート面は簡単。
[00:54:09.880] スカート面。いや、これ
[00:54:11.839] 50で一括りだから。50
[00:54:14.000] で一くりだから。ここがこのなんて言うの?このこの
[00:54:17.640] 10括くりの最後だよ。次で多分
[00:54:20.160] 51からまた新しくなると思う。で、
[00:54:28.079] ここクリアで演出が入るはずですよ。
[00:54:31.000] また文字になってそう。
[00:54:33.559] なんか文字になってる。これそこ行くべきだったんかな?いや、そこ行っちゃったら今度積むからな。
[00:54:44.240] ナック
[00:54:46.000] なナックナックナックになった。いやあ、わかんねえ、これちょっとわかんねえけど。ここ行ってみるか。ああ、でもそれやんねえ方が良かったかもな。
[00:55:00.599] やんで方がよかったか、これ。
[00:55:10.839] あ、く、くう。
[00:55:29.599] C
[00:55:29.880] じゃなくて繋がっててじかも。え、積んだか。
[00:55:35.760] まだまだだまだわからんよ。なあさんなあー。ムさん行け。
[00:55:50.920] 笑笑やわ。
[00:56:01.880] なかなかに歯たのある。
[00:56:08.039] 遊び心あるね。
[00:56:09.160] 遊び心あるね。だいぶ遊び心ね、ここ。
[00:56:27.680] あ、ここあったか。全然積んでなかったね。
[00:56:31.000] え、
[00:56:42.280] まずこれがここやでもここ掘るしかないよな。
[00:57:03.240] ほんで
[00:57:06.000] ここもさ
[00:57:08.480] ももうもももも
[00:57:15.839] えええ、
[00:57:18.480] でもこれこっち落ちたら多分罪だよね。
[00:57:25.160] 罪でもないのか。
[00:57:30.400] え、あの弾どう取るんだろう?
[00:57:36.079] いや、わからんね。
[00:57:55.960] うーん。こっち行ってみるかな。
[00:58:14.480] うん。
[00:58:15.559] う、なるほどなるほどなるほどね。なるほどね。はいはいはい。このドレルをどっかで使、使おう。
[00:58:23.960] 使う。
[00:58:26.359] うーん。マ、ここか。ここでいいんかな?
[00:58:35.079] 村かウカう。村かうかう。村かう。マカ。
[00:58:49.359] なんか違う気がする。なんか違う気がする
[00:58:53.480] よ。
[00:59:03.280] でもあのツハ、このツ橋どう使います?ていう、いいこっち行っちゃったらもうツハ拾う他なくなるねん。
[00:59:21.319] なるほどね。
[00:59:25.240] さあ、どう使おうかな。
[00:59:37.839] 迂闊に行くと積むからね。
[01:00:13.119] ええ、
[01:00:17.000] 悩んだらとりあえず取って無駄に使っちゃいます。足りなくなってから活用法を考える。
[01:00:23.319] 731フりフり
[01:00:26.280] でもなんか帰れなくなることだけ確定してるんだよね。
[01:00:30.480] 帰れなくなることだけが確定してるんだよ。いや、来てる、来てる、来てる。
[01:00:41.200] 帰れなくなるとまずいですね。
[01:00:45.000] でももうこれここしか使い道ないよな。いや、これも帰れないもんね。
[01:01:07.680] まさん、こんばんは。
[01:01:09.160] わあ、くまさん、こんばんは。えー、
[01:01:15.760] さすがちゃまげ。
[01:01:19.920] とりあえずあの金の玉取りに行くよ。
[01:01:27.640] え、でも、ま、これで取れるんだけど
[01:01:30.599] なんか納得いかない?これなんか納得いか
[01:01:34.559] ねえな。
[01:01:54.039] あ、でもいいのか。え、これはこいつは
[01:02:05.240] いや、あの1個は、あの1個はなんだ?
[01:02:08.319] 余ってたっけ?まだドリルあったっけ?
[01:02:18.119] あれはどうやって取るんだ?
[01:02:23.000] あ、
[01:02:24.720] ある。
[01:02:26.319] あるぞ。
[01:02:29.920] あるけど。あるけど。どうやって取るんだ
[01:02:33.200] 、あれ?あそこどうやっているんだ?
[01:02:38.839] こっちから行けんのか?
[01:02:43.400] あれ?どうやって取るんですか?あれ?
[01:02:46.960] あれ?
[01:02:52.160] ちょっと待って。
[01:02:57.400] あっちの上からかん?
[01:03:14.440] 違うな。
[01:03:25.000] あれ?ちょっと待って。どうやって取るの
[01:03:26.520] ?あれ、こっちか?
[01:03:33.079] あれどこ?マジでわからん。あ、こっちか
[01:03:36.760] 。ん、じゃあここか。
[01:03:42.119] あ、ここか。ああ、ここか。
[01:03:44.920] ああ、これだ。ああ、行けそう。行けそう
[01:03:46.720] 。行けそう。いいじゃん。行けるじゃん。
[01:03:50.599] 行けそうだが。
[01:03:57.160] 行けるじゃん。余裕じゃん。
[01:04:03.960] やりますね。
[01:04:04.960] 簡単じゃん。
[01:04:10.920] パチパチ
[01:04:13.799] やりますね。
[01:04:24.200] セムスゴールドやります。やります。ただただどうやってゴールゴールに行くのが難しいんだよ、これ。こっちか。あれ?あれ?これ待って。ゴール行ける?これ。
[01:04:41.799] あれ?ゴール行けるかこれ?
[01:04:53.680] え、これ行ける?ゴール。
[01:05:00.119] あ、行ける、行ける、行ける、行ける、
[01:05:01.599] 行ける、行ける、行ける。これで行けるん
[01:05:02.799] だ。
[01:05:08.599] おし、よし、よし、よし、よし。
[01:05:10.559] 何行けんじゃん。マスますが磨かれてきてる気がします。ぐーぐ
[01:05:24.279] うまいなあ。
[01:05:25.880] ぐいじゃん。
[01:05:29.440] おい、もうこれ51
[01:05:30.520] 行っちゃうんじゃない?これ51
[01:05:33.200] 行っちゃうんじゃない?
[01:05:34.880] 行っちゃうよ。行っちゃうよ。はい。
[01:05:39.160] ラスト10ステージ行くぜ。
[01:05:53.880] 行く長い
[01:06:03.119] コーンドーン
[01:06:04.720] おい、残り10ステージやがな。
[01:06:10.039] 行ってどうぞ。
[01:06:12.440] これからが本番ってことかな?おやおやおや。なんか見づれステージ。ステージ見づれえ。おいおいおいおいおいおいおいおい。一面ステージじゃねえかよ。一面ステージですか?そうですか。なんかこれ見づらい。なんか背景と同化してて。
[01:06:36.160] 背景と同化してて見ずれ。
[01:06:55.640] ま、
[01:06:57.599] ま、鳥間、鳥間ちょっととマちょっと色々
[01:07:00.079] やってみますか。
[01:07:13.839] 簡単すぎん。
[01:07:17.520] あれでもうこれ積んでるよ。ありありゃだめだ。脱ぐ。
[01:07:36.880] これ下落ちたら下落ちたら積むね。
[01:07:43.240] 降りちゃだめだ。
[01:07:53.119] え、
[01:07:55.319] もう最初
[01:08:06.559] ああ、でもだめか。ダめだ。え、何これ?
[01:08:09.440] むずくねえ
[01:08:14.920] 。難しいな。
[01:08:17.839] だってさ、どこ行っても無理じゃないか、
[01:08:20.199] これ。
[01:08:28.520] これ1
[01:08:29.040] 画面マップなら下と上繋がってます。
[01:08:32.640] ああ、そうだね。繋がってるね。
[01:08:56.279] あはあ。それで消えられちゃった。それで
[01:08:59.480] 消えられちゃったら困るんですよ。いや、
[01:09:03.080] 待って。なんだこれ?やべえ。50から
[01:09:05.000] やばいな。こっから1日1ステージの可能
[01:09:08.319] 性がビレゾン。
[01:09:11.080] 進捗が1日1ステージになるかもしれない
[01:09:13.199] 。
[01:09:15.920] あ、じゃ、持ってくか。ビレゾン。お、えんちゃんや。えんちゃんレドありがとう。えんちゃんお疲れ。えんちゃんお疲れ。ありがとう。
[01:09:29.159] なかったえんちゃんからグ
[01:09:32.120] ちゃう。サンドマンとかなんか知らんけどサンドマンの前にウルトラマンクラブで仮面ライダークラブどうしたんだよ。
[01:09:40.440] 仮面ライダークラブY
[01:09:48.839] ね。さ何マジで?あ、分かった。
[01:10:08.920] 仮面ライダー、
[01:10:10.400] そんなゲーム知らないです。
[01:10:14.000] 好きなの?いや、やってるじゃん。いつも好き楽しそうに。なんかもう逃げてさ、違うゲームやってたけどさ、やれよ。
[01:10:24.000] サンドマンはパンチアウトの敵キャラで仮面ライダクラブのずっと前からやってるゲームです。タイプだ。
[01:10:32.360] だめだよ。
[01:10:33.679] 笑笑。
[01:10:34.440] パンチアウトやる前にパンチアウトやる。え、ちょっと待って。わからん。ちょっと。あ、いや、ちゃうちゃうちゃう。あ、違うよ。えー、なんでだこれ?じこれわかんねえ。
[01:11:00.040] えんちゃん、レドありがとうね。お疲れちゃん。お疲れちゃん。ありがとう。レド、レトロゲーマー。レトロゲーマーとの会。
[01:11:07.840] おつおつ。
[01:11:08.880] ありがとうね。ちょっとむずいわ、これ。多分えんちゃんには一生かかってもクリアできないゲームをやっている。えんちゃんには多分無理だもんな。えー。お、ナイスハチありがとう。
[01:11:27.719] えんちゃんのレトロゲー配信おもろいから見てね。無理やろ。やべえ。えんちゃんにレトロゲーム、俺の選んだレトロゲームやらせる枠やりて。えんちゃんとじんちゃんにやってほしい。これ地
[01:11:40.320] 5や。1mmも進まなそう。
[01:11:43.360] 似てるちゃげ
[01:11:44.440] キングヒッポな。あのあのあれだろ。
[01:11:46.639] クリアできるゲーム探す方が難しいですからね。トライア
[01:11:51.639] エンちゃんにやってほしいな。これ
[01:11:53.880] 2
[01:11:54.080] 人でやってずっとクリアできなさい。
[01:11:56.480] 笑。
[01:11:58.639] それをゲラゲラ笑いながら見ていた。うーん。ちょっと待ってね。ちょっと待ってね。今すっごい考えてるから。今すっごい考えてるから。
[01:12:22.040] とりあえず
[01:12:30.159] 違うだけなら誰でもできるよ、
[01:12:33.320] これ。待って。マジでわかんないんだけど。あ、分かった分かった分かった。とりあえず待って。分かった分かった。分かった。分かった。ずっとここまずここの絶対合ってんだよ。ここ本は絶対合ってる。
[01:12:45.600] ここ、ここ
[01:12:49.239] 上行く。
[01:13:05.600] オッケーオッケー
[01:13:07.440] オッケーオッケー。ほんでほんでほんで
[01:13:09.760] これ何すればいいかわかんない。
[01:13:12.679] このこの金の玉があるでしょ。この金の玉がこう
[01:13:17.320] 1
[01:13:17.440] 回やったの覚えてくのゲーム本当に苦手。
[01:13:20.600] この金の玉を全部集めて真ん中のあの上のこの四角い扉の封印を解いてゴールすればクリアっていうゲームなんだよ。
[01:13:43.600] な、ほね、余裕やし。
[01:13:45.679] 絶対無理やで。で、このスコップとかドリルを使って壁とか床を壊せるんだけど、その、それが使い捨てなのよ。
[01:13:52.560] 1個につき1
[01:13:53.400] 個しか壊せないからどこをどう壊すか、どこをどう壊すかがめちゃめちゃ大事なんだよ。
[01:14:10.040] 待って。これ行ったんじゃない?待って。これ行ったんじゃない?これ行ったのでは?行ったのでは?これ。これ行ったのでは?これもうクリアしたのでは?やっぱ天才だ。やっぱり頭いいよね。チャマゲームって
[01:14:26.440] チまだリえん。
[01:14:31.600] 俺もその掘り方だと思った。
[01:14:36.320] あれ?あ、だめだ。みんなゴール行けねえや。あ、だめだ。みんなゴール行けねえや。あれ?開いたのに。開いたのにゴール行けねえや。足りねえ高さが。
[01:14:49.840] 笑笑。
[01:14:50.560] ええ、
[01:14:52.239] ファイルフィッシュ。
[01:14:53.440] これマジか。ここ壁になっちゃってんだ。
[01:14:58.480] ここがさっき開いてたのにここが壁になっちゃってんだ。だから開けとかなあかんってことやな。そこ閉じちゃうんだ。
[01:15:06.000] がったのが聞いてくるんですね。
[01:15:07.840] 塞がっちゃダメなんだ。これ難しいよ。だがもう行ける。だがもう行く。すぐ行く。土郎で有名チまゲーム。あ、嘘やつ。嘘、嘘、嘘。冗談、冗談。
[01:15:25.440] え、CBI
[01:15:29.400] キモ上に戻ってくる時は完成の
[01:15:33.239] あは順番だけ
[01:15:34.679] D
[01:15:34.880] かキモいかごめんは順だけ順番だけな上に戻ってくる時は完成効かんの?え、何?その魅力的な魅力的な提案。ここ通ると壁されちゃうんだよね。ってことは最後まで取っておかなきゃいけない。
[01:15:53.440] ここはえっとだからえっとだからだからえ、だから
[01:16:02.239] だから
[01:16:05.560] これやんな。こうやんな。こうやんな。はい。
[01:16:24.800] で、ゴールンとか通らないい。ベリーベリーくてパせ。
[01:16:43.360] ん。
[01:17:05.760] あれ?
[01:17:17.639] え?あ、え、あれ?
[01:17:21.400] あれ?あれ?行けない。あれ?行けないや
[01:17:23.560] 。行けないやん。あれ?
[01:17:26.120] あれ?なんだよ。
[01:17:36.639] はあ。
[01:17:40.159] 行かれへんやん。
[01:17:56.800] え、このドリルどうやって使うさんの提案
[01:17:59.480] 試したくなりますね。笑
[01:18:03.159] 。
[01:18:07.040] ここ通ったらあかんねんで。
[01:18:55.600] いや、
[01:18:58.040] うーん。
[01:19:02.239] 完成は残るけど。は残るけどのな。残る
[01:19:05.760] けどあんま意味ないな。
[01:19:20.719] え、あのドリル取れなくない
[01:20:03.600] アーリった。
[01:20:06.920] え?
[01:20:15.360] ええ、むずい。なんだこれ。
[01:20:32.280] ダめだな。いやあ。いや、ダめだ。わからん。
[01:20:41.639] 届けか。
[01:20:44.080] うん。ダめだね。
[01:20:48.560] おはちゃまちゃまあこんばんは。お疲れ。あ、
[01:20:51.679] 1
[01:20:51.880] マずれてるんですね。あ、そうそうそう。落ちるところからは
[01:20:57.920] 1マずやなちゃんもこんばんは。
[01:21:00.560] 残り10ステージだぞ。51ステージ目。
[01:21:04.159] 51
[01:21:04.840] ステージまで来たぞ。うい。お疲れだがしかし
[01:21:12.320] MD
[01:21:12.600] さんもこんばんは。だがしかしバカム。
[01:21:15.679] いよいよ50年代か。
[01:21:17.440] バカ無レ。
[01:21:28.639] もうクリア間近ですね。
[01:21:33.639] うーん。こっちやってみる。こっち掘ってみる。こっち掘ってみる。ま、あんま変わんねえと思うけど。
[01:21:54.000] お前、お前やばい、やばい、やばい。
[01:22:03.440] いや、ま、あんま変わんねえけどな、これ
[01:22:06.800] 別に。
[01:22:22.560] えー、なんだこれ?むずくない?むずく
[01:22:27.120] ない?結局だから俺そっちに行かなきゃ
[01:22:29.719] いけないんだ
[01:22:44.400] 間違えた。あ、ええ、何これ?むずい。
[01:22:49.280] ちょっと待って待って待って。何これ?
[01:22:50.760] ちょっとむずいな。うーん。
[01:22:58.280] ここ通っちゃうと壁ができちゃうからね。
[01:23:00.280] 通れないんだよ、ここは。
[01:23:36.400] これか。
[01:23:38.440] これなんかこれなんかこれなんか見つけた
[01:23:41.920] 感ない?これ。これなんか見つけた感ある
[01:23:45.639] な。
[01:23:47.800] ただスコップ
[01:23:50.239] たスコップ足りなくね?でもそれやっ
[01:23:53.040] ちゃうとやっちゃうとスコップ足りなく
[01:23:55.880] ないすか?
[01:24:12.320] それはどうかな?
[01:24:15.920] だって
[01:24:28.719] 道具余るくらいいるけど
[01:24:46.880] えこはだってこれ
[01:24:48.480] マップの玉の配置見てると攻略も考えて
[01:24:51.679] やるのかなえどういうぞ。
[01:25:09.239] え、もうこれ取れなくない?
[01:25:18.159] いや、もう取れないよ、これ。
[01:25:43.480] ええ、
[01:25:53.679] ああ、わかんない。わかんないな。これなんだ?掘れてドリルは横に掘れるってことよね。
[01:26:02.119] お、すごいんちゃんがひらめいてるそうなん。見てあの、ま、見てれば分かることなんだけど。エが正解。すごい。ちゃんと見てるんだ。そう。シャベルは下に掘れてドリルは横に掘れるのよ。
[01:26:15.840] 笑笑。
[01:26:17.199] 結構むずくない?これ結構むずいっしょ。
[01:26:19.719] のマーブルとは違うな。
[01:26:22.920] マーブル10
[01:26:23.600] 分ぐらい見てもゲームどうやったらクリアなんやて言たんね。全然
[01:26:29.080] 笑笑
[01:26:29.760] 全然分かってないやん、あいつ。
[01:26:31.880] 笑笑
[01:26:32.800] あいつ全然分かってなかったからな。やっぱえんちゃんはちゃんと見てくれるんだよな。えんちゃんはちゃんと見てくれてる。
[01:26:43.679] え、みんなエんちゃんのね、あのレトロゲームマジおもろいから見てほしい。
[01:26:50.800] さてさてさて絶対に取らなきゃいけない場所がある。
[01:27:06.719] いや、でもやっぱさ、
[01:27:11.119] なんかこれ、これは正解だと思うんだよな
[01:27:13.960] 。これでひま掘らないとここ登れなくなっ
[01:27:17.040] ちゃうから。で、こうやってゴールに行
[01:27:18.080] くっていう。こうやってゴールに行くって
[01:27:21.080] 感じじゃないのかな。
[01:27:27.280] だとしたらここ通ってよくね。ここ1回
[01:27:29.719] 通ると壁されちゃうんですよ。こうやって
[01:27:32.159] 、こうやって壁されちゃうんすよ。だけど
[01:27:36.280] で、絶対ここはもうさ、だってどう考えて
[01:27:39.840] もここはもうこうするしかないよな。
[01:28:03.719] あれでもそすとここが取れねえんだよ。
[01:28:11.080] いやあ、何これ?全然わかんないんです
[01:28:14.000] けど。
[01:28:23.159] はあ。わからん。ん?
[01:28:30.000] なんだここ?むずいな。やべえ。12時
[01:28:33.400] までに余裕とか言てちょっとずつちょっと
[01:28:35.520] ずつ時間がなくなってきた
[01:28:46.840] 。意外な復兵。ここやばいね。
[01:28:57.440] きっとすぐひらめくでしょう。チャソパリさんが
[01:29:01.040] 5ドルでサブ
[01:29:01.840] おありがとう。えんちゃんにえんちゃんにサブだ。サブギ札。
