[00:00:36.399] ひ下
[00:54:10.200] 取説に書いてありますがボスによってライブ突入時間があり何すると新たな装備を取ること。
[00:54:17.400] しかも俺しかもこれ今しかもなんか今なんか取ったよ。なんかなんかなんか取ったよ俺今なんか取ったよ。
[00:54:24.520] ちょっと待ってちょっと待って。コメントコメント読みたいんだけど。あ、すげえ。グラディウスの本家みたいな。危ない危ない危なんて。
[00:54:34.480] 取に書いてあるけどなんてちょっと読み
[00:54:36.000] たいんだけどさ、これスタートボタンが
[00:54:37.680] ねえからとさあいなんて取に書いてあり
[00:54:41.319] ますがボスによって内部突入時間があり中
[00:54:43.559] に入ると新たな装備を取ることができます
[00:54:45.520] 。取らずに奉仕てスルーもオッケー。
[00:54:47.200] 何それ?何?ボスによって内部突入時間。
[00:54:51.799] 何?内部突入時間中に入ると新たな装備を
[00:54:55.359] 取ることができる。何新たな装備?え、
[00:54:59.000] グラディウスっていうゲームだっけ?
[00:55:00.319] なるほど。
[00:55:01.880] グラディウスってそういうじゃあなんか、あの、さっき倒した時になんかウンつってさ、なんかちょっとあの、なんか時間があったのってそういうこと?何?あ、あの中にはいや、ちょっと待って。
[00:55:13.720] さっきフリーズしたみたいな時間があったです。
[00:55:16.599] ごめん。ここあえて最初から時間だったの。
[00:55:18.680] ごめん。ちょっとじゃあちょっとそれやりたい。それやりたい。ちょっと最初から捨せて。もうステージ
[00:55:23.000] 1
[00:55:23.119] はすぐ行けるから。え、何?そんな胸展開のすごくね?他の他のグラディウスにはないよ、そんなの。
[00:55:33.680] え、何?その少年男の子ワクワクシステム
[00:55:36.760] 。敵から装備を強奪することができんの?
[00:55:41.920] このね、MSX版の
[00:55:44.960] グラデウスのいいところってそういう
[00:55:47.280] なんて言うのかな?その
[00:55:50.440] ま、もちろんファミコンより性能は劣るし
[00:55:52.920] 、こんななんかそのガクガクスクロールだ
[00:55:55.000] し味ファミコンよりはなんかこのきなんて
[00:55:58.839] 言うのかな。
[00:55:59.520] 機能的には弱いんだけど、そういう風ななんかそれでもファミコン版には負けないぞみたいなそういうのがあっていいのよね。
[00:56:08.240] 裏にはそういった新たなミ
[00:56:10.319] そうそういうのがなんか息だなって思うわけよ。
[00:56:15.160] ファミコン版よりはもちろんなんかその弱いんだけどちょうどこれ同時期に発売されてるんだよね。
[00:56:22.680] だからやっぱファミコン版よりね、
[00:56:25.400] スクロールもガクガクだしつって比べ
[00:56:27.240] られるんだけどでもやっぱその
[00:56:30.920] ファミコン版には負けないぞと
[00:56:32.480] いう熱い熱い
[00:56:34.039] 思いみたいなもんが俺はいなと思うわけよ
[00:56:37.079] 。
[00:56:40.960] もうステージ1はもうようなもん
[00:56:46.119] 流ですね。風流マジでコナミの食もう
[00:56:51.119] NSXチームのその
[00:56:55.280] なんて言うのかな?プライドみたいなもん
[00:56:57.680] がすごい感じるわけよ。すごい良くない?
[00:57:00.559] それ。うん。てかうまいしなんかうまっ
[00:57:04.760] てるし。俺
[00:57:09.640] この顔の向きに注意すればいいんだな。顔
[00:57:11.640] の向きと反対にいれば当たることはない。
[00:57:23.880] やばい、やばい、こいつら。あとはフォースフィールド取ってきたいね。のスタイトルはえ、危ねえ。危なかった。今危なかった。危なかった。今や、まない。
[00:57:45.559] 1発で来れたよ、ここまで。そんで
[00:57:47.920] レーザーにしてしまう。
[00:57:51.880] 気をつけてね。当たるなよ、ここ。気を
[00:57:53.359] つけろよ。気をつけろよ。気をつけろ。気
[00:57:55.960] をつけろ。奴は来るからな。奴はどこまで
[00:57:58.680] も打ってくるからな。気をつけろよ。油断
[00:58:01.200] すんだ。油断。後ろ、後ろ、後ろ、後ろ、
[00:58:02.480] 後ろ。
[00:58:06.319] よしよしよし。うまい。1発。
[00:58:10.520] これよ、1回。下手くそだけど覚えちゃえ
[00:58:13.039] ば簡単なんだから。本当何倒した時のあの
[00:58:16.880] なんか待機時間みたいの中に入ればいいの
[00:58:18.920] ?中に入るってどういうこと?あのこの
[00:58:21.079] 真ん中のとこに入ればいいのね。
[00:58:24.760] 危ね。あ、危ね。今い
[00:58:34.119] よ、いいよ、いいよ。
[00:58:38.200] 危ない、危ない、危ない。
[00:58:41.079] そう
[00:58:43.280] 。
[00:58:44.960] 嘘でしょ?うざ。今行けそうだったやん。
[00:58:52.160] 邪魔びっくり。
[00:58:54.000] 今行けそうだったやん。
[00:59:03.280] だめだ。1
[00:59:04.839] 回崩れちゃったら。レフィさんこんにちはす。レフィさんこんにちっす。
[00:59:09.039] 今日はMSX実機にてグラディウス2やっ
[00:59:14.359] てます。味があるやろ、この。
[00:59:21.400] よしよし。見たる。よしよしよし。
[00:59:25.480] 気をつけて。ここ気をつけてよ。
[00:59:35.039] オプション取りたいな。オプション取っ
[00:59:36.920] ときたいな。ここね。
[00:59:39.280] よしよしよしよしよしよしよしよしよし。
[00:59:43.359] で、よく言えばここでレーザーまで行って
[00:59:45.680] おきたいけど。レーザー。あ、あ、これは
[00:59:49.480] もうオッケーよ。こんだけ武装できりゃ
[00:59:51.240] もう
[00:59:56.240] あれじゃ
[00:59:58.720] Fしちゃおうかな。
[01:00:03.319] スラグ回収ま
[01:00:07.720] 。まあま、まあ待てよ。
[01:00:12.559] 下みたいな当たり判定。
[01:00:17.119] よし。危ないって。ええ、これスピード取った方がいいのかな?一旦これで
[01:00:33.200] 1
[01:00:33.280] 回行けてるからね。これで行けてるから。
[01:00:40.240] 危ね。
[01:00:42.359] マジででかすぎなんですよな。判定が。まあまあまあまあまあまあまあ。よし。いいね。いいね。レーザーオプションまではいけないかな。早いな。敵の動きめちゃめちゃ早いや。
[01:01:09.039] オプションまでは行けない。行けた。よし
[01:01:10.640] よしよし
[01:01:14.039] よし。危ないよ。
[01:01:18.720] 早い。弾が早いよ。
[01:01:22.480] 弾が早いよ。
[01:01:25.400] 笑笑
[01:01:26.920] 一旦こもうスピード取っちゃおうかな。1
[01:01:28.520] 個ね。
[01:01:33.119] いや、おもろい。
[01:01:33.960] そ、でもいいや、でもね、でもおもろい。全然遊べるな。もう見てるみんなはちょっと退屈かもしんねえけどやってる。こちらは相当おもろいぜ、これ。
[01:01:50.920] こんにちは。
[01:01:52.200] やなちゃんこんばんは。こんちは。見てくれ。
[01:01:55.279] このMSX
[01:01:57.200] 実機によるドラえ、なんだっけ?グラ、グラディウス
[01:02:02.079] 2
[01:02:03.119] 味がありすぎる。全然倒せねえが。勝て。あ、やべ、やべ、やべ、あ。でっか当たり判定。キャラ
[01:02:12.039] 1
[01:02:12.240] 個分ぐらいずれてるやん。当たり判定が。ダブル取っちゃおうかな、ここな。こダブル取っちゃおうかな。はい。
[01:02:26.160] ちょっとちょ、ちょ、ちょっと、ちょっと
[01:02:29.240] 、ちょっと、
[01:02:39.279] ちょ、もうマジでボス行くわ。もうマジで
[01:02:41.160] 行くわ。マジで行く。マジで行く。
[01:02:48.119] 全然超えられなくなっちゃったよ。笑笑。
[01:02:51.680] 全然超えられなくなっちゃった。よし。まあまあまあまあまあまあまあまあまだまだまだまだ始まったばっかでぞ。
[01:03:05.319] どの心の支えはキャまけんだよ。
[01:03:09.359] おたこんちっす。たお疲れ。たお疲れちゃん見てくれ。グラディウス
[01:03:15.000] 2渋くね。渋いべ。グラにやってんで。
[01:03:20.039] グラに全然敵がいやあ、もうこれ無理、
[01:03:24.240] 無理、無理、無理、無理、無理よ。今のは
[01:03:25.960] 無理だわ。
[01:03:31.400] いや、なんとかここでさ、ボスに行く前に
[01:03:33.599] さ、
[01:03:35.440] オプションとさ、レーザーを獲得しとか
[01:03:38.200] なあかんねん。
[01:03:41.440] あいどええ
[01:03:47.200] やん。ええやろ。ええやろ。この味がある
[01:03:50.799] やろ。
[01:04:01.200] よしよしよしよしよしよしよしよしよし
[01:04:03.240] よし。危ないよ。危ないよ。弾が多いよ。
[01:04:08.720] よしよしよしよし。いいよしよしよしよし
[01:04:11.480] よし。いいと。よしよしよしよしよしよし
[01:04:13.520] よしよしよ。いちょうどいい。ちょい。
[01:04:17.119] レーザーまで行け。レーザーまで行こ。
[01:04:18.400] まで行こう。
[01:04:27.400] おし。
[01:04:32.520] よしよしよしよしよしよし。いいぞ。気を
[01:04:35.039] つけて。ここ気をつけてこう。気をつけて
[01:04:38.079] こ。ここ来るよ。来るよ。来るよ。思った
[01:04:40.440] より撃ってくるからね。思ったより撃って
[01:04:41.960] くる。
[01:04:49.240] ちょっとこれ天使もうほんまにもうちょほすいません皆さんちょ本当に変わり映えのない画面ばかりで申し訳ない。もう容者がない。容赦がない。
[01:05:24.079] ストリーマーの分析ダブル悪魔の招待びテドチまんはええねダブル矢印
[01:05:32.640] なんな何のあれ何のあれだの悪魔の招待懐かしいもん出してきたな危ねえは早やね
[01:05:45.119] このさ、この
[01:05:47.839] な、
[01:05:49.799] あのさ、なんか変なさ、上のやつから出て
[01:05:51.680] くるじゃん、敵が。あの速さえぐい?あの
[01:05:56.000] 、この縦に出てくる。この
[01:05:58.680] 速さがえぐい。
[01:06:01.680] めちゃめちゃ早い。
[01:06:05.359] やめてよ。盾の動き。盾の動きがえぐい。
[01:06:09.920] 早い。マジで
[01:06:10.480] ガチで殺しに来てる。
[01:06:15.680] あの、クリアさせていけないみたいな。
[01:06:19.319] クリアさせちゃいけないみたいな。早
[01:06:21.079] すぎるだろ。そのしや
[01:06:26.240] 。もう全然ボスまで行けなくなっちゃった
[01:06:28.079] よ。
[01:06:32.480] 雑こし
[01:06:35.039] シュー。
[01:06:39.880] あの青いやつのさ、
[01:06:44.599] ちょ、もうスクロールがすごいんだよ。
[01:06:47.599] ゴリゴリやく
[01:06:57.680] 。もう
[01:06:59.799] 無なああ。綾たこんばんは。
[01:07:04.279] 綾たが生まれる
[01:07:06.319] 20年ぐらい前のゲームをやってる。
[01:07:11.640] 1987
[01:07:12.680] 年だぞ。寝るシャですか?よかったと記憶してるから
[01:07:18.240] 気合を入れてね。
[01:07:19.400] めちゃくちゃむずいわ。めちゃめちゃ難しい。何?ちゃんとブランドの寝れちゃそうだよ。そうだけど何?なんか文句あんの?スピード取ろ。オッケー。オあ、いいね。ああ、いい。
[01:07:38.319] やっぱオプション1
[01:07:39.720] 個取れるとマジで安定する。
[01:07:42.279] ネルシか。
[01:07:44.279] よし。あ、これは勝てるんちゃうか、さすがに。ここ気をつけてよ。マジで。マジで気をつけてよ。ここ来るからね。来るからね。思ってるより来るからね。よしよしよしよしよしよし。来るぞ。よしよしよしよしよし。
[01:08:07.799] 危ね、危ねえ。最ごっぺが。よし。いや、
[01:08:11.960] レーザー取れなかったけど、まいっか。
[01:08:17.040] こいつオプションに任せよ。俺はあいつの
[01:08:19.040] 正面に立たないようにする。
[01:08:25.920] 当たり判定で
[01:08:28.640] う当たり判定でかい。ダブル。
[01:08:33.199] え、今や全然クリアできなくなっちゃったじゃねえかよ。お疲れ。
[01:08:45.000] エアムお疲れ。エアムお疲れ。う、
[01:08:48.679] お疲れちゃん。
[01:08:50.640] MSXのグラディウス2
[01:08:53.839] やってんねん。味があるやろ。
[01:08:55.759] このガクガクスクロール
[01:08:58.159] 逆になんで初見突破できたんよ。こんちみなんか動きがカクカクしてますね。こんちくみどうもこんばんは。フラワーさんそうやねん。そういうもこれはもうそういう仕様なのよ。
[01:09:09.799] 8
[01:09:10.080] ドットずつしかあのスクロールできないんだな。
[01:09:12.480] このMSX
[01:09:14.080] っていうのはいやどでももう芸術だからドットエがマジで
[01:09:22.199] MSXには横スクロールの
[01:09:25.359] やりにくそう。
[01:09:27.199] 横スクロールの機能が伴ってないのよ。
[01:09:29.839] だから無理やり8
[01:09:31.159] ドットずつ画面をさ、複数な、
[01:09:34.279] あの、画面をこう
[01:09:35.799] 8
[01:09:36.080] ドットずつあの描写し直すことによって横を無理やり実現しているというとんでもない変態技術である。あ、取れ。よし。いや、俺も最初はこれやりづらくてしょうがねえかなと思ったけどね。慣れたらそうでもないよ。全然遊べる。
[01:10:02.239] よし。いいね、いい。あいつ早いから気をつけて。もう早い。敵が
[01:10:08.560] てることが変態すぎる。
[01:10:10.280] すごいよね。
[01:10:11.920] 8ドットずつ画面を描写変えてるのよ。
[01:10:18.280] しかもこのゲーム
[01:10:20.239] 2じゃなくて1だと。
[01:10:22.280] それもやばいよね。それもやばいよね。そう。
[01:10:24.960] MSXうあ、もう起こせない。
[01:10:27.719] ここむすぎる。
[01:10:35.239] そう。MSXって企画が何個かあって
[01:10:38.400] MSX1,MSX2,MSXターボR、
[01:10:42.199] MSX
[01:10:43.800] 2+とかある
[01:10:47.280] ねんけど、これMSX1なんだよ。ま、
[01:10:51.640] ちょっともう言っても分からないだろう
[01:10:53.120] けど、この辺はターボRかっこい。ターボ
[01:10:56.640] Rはね、でもターボRに対応してるゲーム
[01:11:00.040] はね、1個しかないからあまりも末きすぎ
[01:11:02.440] て。
[01:11:08.679] もうちょっとやばい。いや、ちょっと
[01:11:11.040] 待本気で行きますわ。もう本気で行きます
[01:11:13.719] わ。やったりますわ。もうさすがに。もう
[01:11:16.040] さすがに1面こちますわ。専用
[01:11:22.280] ちなみRは今中古で17万ぐらいするね。
[01:11:26.480] ターボRはね、中古で17
[01:11:28.840] 万ぐらいするわ。や、もうそのそき置き土産やめて。それ
[01:11:41.639] お随分なプレミアムが
[01:11:44.239] そうなんだよね。もう
[01:11:45.840] MSXなんかもうすぎちにじゃん。
[01:11:50.159] そうだね。22ス2スイッチ2だね。
[01:11:55.760] あれは別格の性能ですからね。
[01:11:59.480] ま、と言ってもね、性能がいいと言ってもやっぱりまあ
[01:12:03.679] MSX
[01:12:04.280] だからな。そこまでそんなにさ、あれじゃないんだけど。ああ、違うよ。取るの間違えてるからね。ちょっと待っ、ちょっと本気でやらせて。ちょっとストップ。ごめん。ちょっとトイレ行ってきていい?おしっこしない。じゃ、おしっこ抱えながら。おし、匂いを抱えながらやっていなかった。笑。
[01:12:22.159] 匂いを抱えながらやっていいゲームじゃない。
[01:12:24.000] ちょっと、ちょっとおしっこください。
[01:12:24.840] ごめん。ちょ、ごめん。ちょっと待って。
[01:12:26.199] ちょ、おしこ行ってください。ごめん。
[01:12:28.000] ちょ、ごめん。あの、おしこ行ってくる
[01:12:29.880] から。ちょっと待って。マジちょ、すぐ
[01:12:32.800] 戻くんね。むじ
[01:12:49.520] や。
[01:13:50.000] プレイスキルのせいで名曲も6に聞けず
[01:13:53.040] グラディウスにムスックスネメシス2
[01:13:56.880] 時間潰しにどうぞ矢いるし
[01:14:23.120] 。
[01:14:25.320] よし。
[01:14:28.159] やるか。
[01:14:30.280] おいしょと。ヤニじゃねえって。ヤニじゃ
[01:14:33.080] ねえや。ヤじゃない。やじゃない。よし。
[01:14:36.360] やりまそう。やりまそう。
[01:14:40.480] よいしょ。あ、
[01:14:45.960] そういえばさ、そういえばさ、あの、また
[01:14:48.080] ね、今日お散歩しててね、コンビニ寄っ
[01:14:50.000] たら売ってたから、まだ売ってたからもう
[01:14:52.360] 1個買ったんだよね。もう1個買ったら
[01:14:54.560] プレステのコントローラー出た。
[01:14:56.840] 初代プレステのはい。ていうだけです。意外となんか集め始めてる俺これ。
[01:15:03.560] いいね。
[01:15:04.080] 意外と集め始めてるわ、最近。え、めっちゃいいっしょ。めっちゃいいっしょ。あとね、もう
[01:15:09.880] 1個買っ、2個買って、もう1
[01:15:11.600] 個はプレステ2
[01:15:12.920] 本体。めっちゃ良くね。なんかこれ最近はまっちゃった。これ全集めるまでやろうかな。高いんだよね。
[01:15:20.400] 1個400mんだよな。1個400
[01:15:22.679] mんだよね。
[01:15:23.920] で、このメモリーカードね、これめっちゃいい。これお気に入り。
[01:15:27.840] さすがの質感。
[01:15:29.120] 質感いい。めっちゃいいよ。
[01:15:30.400] プライースタチオントムミニチュアチャーム突き。
[01:15:33.159] そうそうそうそうそうそうそうそう。ちょっと待って。なんかお、なんかちょっと待って。ごめん。
[01:15:39.000] なんかちょっとお腹痛ってきたな。ちょっと待って。お腹痛いな。なんかお腹痛いかも。いや、ゲームやりたいのにちょっとお腹痛い。ちょっと待って。
[01:15:49.360] まさかの。笑。
[01:15:51.080] なんかお腹痛。
[01:15:52.639] なんかお腹痛くなってきた。ちょ、ちょ、ちょ、ガチガチガチ。なんかお腹痛い。やるか。大丈夫。行ける、いける。
[01:15:59.880] やい。うんちまん。
[01:16:03.280] あのね、学校とかね、学校とかでうん、トイレ
[01:16:06.960] ラす前に早く
[01:16:08.199] トイレ行ってうんち行ったこと言ったやつのことをうんちマんって呼ぶ風潮ありますけど、俺はそんなやつより学校でうんちするやつよりお腹の中にうんち溜め込んだまで持ち帰ってるやつの方がずっとうんちマだと思うわ。
[01:16:22.239] そっちの方がずっと汚ねえし。ずっとうんちマだぜ。お前腹中でうんちためたま見え帰ってんの?出した方がいいぜ。
[01:16:29.400] 出した方がいいぜ。汚ねえんちマンがそんな好きなんかうんち持ち帰えるほど。はい。ということで全国のうんちマンに今全国のうんちマに救済を与えたところで
[01:16:39.159] めコメとおなら臭くなります。
[01:16:41.000] そうとかにも出てくるからな。さやります。
[01:16:44.280] 運動の星のトイレで隠れるようにな
[01:16:48.199] んでうんちすることがアトされているんだよ。
[01:16:51.440] 君臭いで。
[01:16:53.400] なんでうんちすることがアトされているんだ?隠れるように逃げるようにうんちしなきゃいけねえんだよ。堂々としたらええねん。
[01:17:06.280] 恥ずかしいことじゃないのにね。
[01:17:08.520] なあ、アイドルだってな。うんちするんだよ。あー、幻想抱きすぎな。
[01:17:20.920] お前ら
[01:17:22.880] アイドルだってうんちします。
[01:17:31.000] みんなが見ているあの如ねん。
[01:17:42.000] 危な。
[01:17:46.480] さすがにここでオプション1個ぐらいは
[01:17:52.400] よしよしよしよし。いいぜ。
[01:17:57.199] 早い早い早い。
[01:18:06.520] よしよしよしよしよし。ふう。気をつけて
[01:18:10.159] よ。
[01:18:12.960] 思ったよりもこいつらは撃ってくるからな
[01:18:14.719] 。思ったよりも。
[01:18:19.760] この音楽が鳴ってからもまだこいつらは
[01:18:21.679] 全然来るから。全然来る。全然来る。全然
[01:18:23.440] 来る。
[01:18:26.600] よっしゃ。ナイス。
[01:18:28.880] よし、
[01:18:35.679] 行くぞ。もうさすがに。もうさすがに。
[01:18:37.320] もうさすがに行こう。
[01:18:40.600] こいつのビームはマジでマジで当たり判定
[01:18:43.320] がでかいからも正面に立とうとするな。
[01:18:45.639] よしよし。いい。これでいい。これでいい
[01:18:47.040] 。あ、これでいい。これでいい。これで
[01:18:48.360] いい。これでいい。これでいい。これで
[01:18:49.280] いい。あ、いい。もうちょっとずらしで
[01:18:51.679] 行こう。ずらしで行こう。よしよしよし
[01:18:53.880] よしよ。あ、あ、あ。
[01:19:01.480] え、危ね。危なかった。あ、あ、あ、これ。え、こ、ここ、ここ、ここ、ここ。うお。何?どうなってんの?え、どうなってんの?え、どうなってんの?これ、
[01:19:15.600] どうなってんの?え、どうなったの?え、え、え、え、え、待って。ちょっと待って。聞いてない。聞いてない。え、あ、何?スト。え、何これ?え、この中があるの?また中のステージがあるの?これ。
[01:19:27.360] 笑笑。
[01:19:28.120] 中のステージがあんの?これで。え、なるほど。やってもいいし。や
[01:19:33.760] な。やってもいいしやんなくてもいいの意味が分かった。これもしかしてここでこれめっちゃでもこれ何?新しい装備が手に入るってこと?
[01:19:40.840] ただでは武器グくれ。
[01:19:42.840] え、でもおもろいね。おもろいね。これこんなでかなかったやろ。でもえ、こんなにいや、当たり判定がでかい。
[01:19:55.320] しかもダメなんだ。1
[01:19:56.800] 発で行かなきゃダメなんだ。ええ、むずいよ。え、ギいな、それは。え、何なんだろう?新しい装備ってさ、何この今の俺のこのさ、パワーアップゲージにない何かが追加されるってことでしょ?え、欲しいよ、それ。
[01:20:23.719] それ欲しいけどな。でもまた最初からやん
[01:20:28.159] のもなあ。
[01:20:31.920] 1発か。
[01:20:35.920] ま、狙えたらでいいかな。
[01:20:41.239] おもろいね。なんかその
[01:20:43.760] システムが
[01:20:48.600] なんでこのシステム他のグラディウスじゃ
[01:20:50.520] 継承されてないんだろう。
[01:20:53.600] あってもいいけどね。
[01:21:08.600] ここ結構しんどいよ。
[01:21:12.480] 割と資金距離でこのよしよし。一応全部潰していった方がいいよね。うん。よしよし。なんかあの変な弾みたいの気になるけど取れなかった。
[01:21:47.800] いや、ここえぐい。よしよし。いい。危ねえ。よし。
[01:21:59.760] え、そういうことなんだ。
[01:22:02.159] 夜2
[01:22:10.800] よしお。なんかすげえパワーアップくれるこ。やくわ。むずい。むずいな、このステージ。いや、でも行けそう。でもなんかちょっと行けそうだった。
[01:22:27.239] むつ。
[01:22:28.320] 今の超むずかったね、これ。
[01:22:31.520] ゴテに回っちゃ。いや、もうそこはもうそこはもう済んだことかと思ったんだけどダブル。
[01:22:37.560] ここはもう済んだとこかと思った。いや、それ早い弾が。ここ武装なしは相当きついぜ、ここ。やあ、ここから立て直しは効かないんじゃないか。
[01:23:06.360] あ、危ない、危ない。
[01:23:09.000] いや、もうちょっと無理だよ、それ。
[01:23:14.000] いや、むず。めちゃコブーむずいぞ。
[01:23:35.400] にゃあ、ちょっと待って。めっちゃむずい
[01:23:37.679] な。
[01:23:40.360] BGMいいな。
[01:23:44.920] 弾の速さがさ、こ完全に俺のこの俺の時期
[01:23:48.280] のスピードをさ、量化してるからさ。
[01:23:52.280] 避けらんないよ。
[01:23:55.080] う。
[01:24:08.199] よし。
[01:24:15.280] いや、ここ全部取りたい。全部取りたい
[01:24:16.600] けど無理。
[01:24:19.080] 気をつけて。ここも6番でえー、
[01:24:23.120] 難しい。
[01:24:27.679] だで、これ
[01:24:31.080] 行く。
[01:24:43.679] いや、これ下行った方がいいぞ。
[01:24:56.000] よしよしよし。
[01:24:56.840] ああ、なんとか超えた。よしよしよしよし。いや、スピードが。う、きつい。ああ、むずいよ。これきついわ。
[01:25:13.239] 容赦ない。笑。
[01:25:14.639] いや、マジでクリアさせさせない。なんか、なんか脅されてたのかな?このゲーム作った人。
[01:25:22.560] お前が作ったゲームクリアされたらマジで
[01:25:24.560] お前の家族全員あーダコ打するみたいな
[01:25:27.600] そんくらいの殺意を感じる。
[01:25:35.320] いやもうだって避けらんないじゃん。
[01:25:37.040] そんな細いとこにピューって撃たれたら。
[01:25:50.840] ここはね、下に行った方がいいよ、マジで
[01:25:52.440] 。うん。
[01:26:04.960] いや、その黄色い玉がマジで
[01:26:09.119] マジできつい。
[01:26:11.960] あそこもうさっさと先に行かないとだめだ
[01:26:13.960] な。追い込まれる。何度でも
[01:26:16.600] トライアゲインだよ。
[01:26:20.600] いやあ、倒したかったな、ここ。だ、これコンティニューがあんのがマジ救いだわ。コンティニューあんのマジ救いだわ。これなかったら無理やろ。
[01:26:40.520] を食いた。
[01:26:41.920] また食いた。しんちゃんやめて。
[01:26:50.360] いや、もうこれで行く。でこ、ここ取りたい。ここ取りたい。いや、くば、くばれ、くばれ、くばれ、くばれ、くばれ、くばれ。危ない、危ない、危ない。スピードせ、スピード遅せえ。スピード遅いよ。ああ、無理だ。それはスピードが遅い。
[01:27:21.920] 頼まい、頼まい、頼まい。やば、ちょっともう、ちょっと待って。ちょっと頑張んなきゃずいぞ、これ。
[01:27:50.119] いや、このね、武装ゼロの状態がマジ
[01:27:52.719] きついんだよ。
[01:27:56.760] ナイス、ナイス、ナイス、ナイス、ナイス
[01:27:57.800] 、ナイス。いいぞ。ここ頑張って。ここ
[01:28:00.520] 頑張って。マジで避けて。頑張って避けて
[01:28:02.159] ね。ああ、スピードが遅い。マジで。マジ
[01:28:04.760] でスピードが遅くて無理。
[01:28:08.719] いやいやいやいやいやいやいや
[01:28:11.440] やばだやばやだ何何何何何何何何何なんか
[01:28:14.800] 伸びてきたなんだ?ああなるほどね。ある
[01:28:17.320] あるあるある。こういうのなんだっけ?
[01:28:18.400] あのあれみたいな感じ。あのサラマンダ
[01:28:20.400] サラマンダのあのサラマンダみたいな感じ
[01:28:22.320] ね。くなんかもう当たってない?それ
[01:28:25.040] なんか当たってない?それ
[01:28:29.040] なんか
[01:28:30.560] えええどどどどどえ?
[01:28:35.920] いや、むずいてむずいて。むずいて。いて
[01:28:39.520] なんか奇跡これ多分奇跡これ今これ奇跡
[01:28:43.600] です。
[01:28:47.000] ああ、抜けた。抜けた。うまいじゃない。
[01:28:49.840] あ、ボスか。あ、ボスくせえぞ。
[01:28:54.119] お、来た。よしよしよしよしよし。
[01:28:58.280] 同じやつか?同じやつかな?あ、違う。あ
[01:29:03.040] 、ち、同じやつかん?同じか?違うよね。
[01:29:07.760] でかいよね、なんか。うお。ええ。それは難しいんじゃないの?それは難しいんじゃない?危ない。今なんか情け情けを感じた。
[01:29:33.440] ちょっとあいつが動くとさ、発射した後のレーザーも一緒に動くの何?物理法則どうなってんだ?なんでお前から放たれたレーザーはお前と一緒に縦移動するの?なさん惜しい。
[01:29:50.040] 笑笑
[01:29:50.600] 惜しかった。またこっからかよ。こっからかよ。
[01:29:59.639] いや、でも大丈夫。行けそう。
[01:30:02.600] 行けそうな気。うん。
[01:30:05.159] さっきのあの植物伸びてくるところ多分
[01:30:07.920] 奇跡だったな。あれもう1回やれと言われ
[01:30:10.960] ましてもって感じなんだけど。
[01:30:15.040] ええ。だよね。そうなるよね。
[01:30:25.239] やだよ。やだよ。よし。ここもうさっさと
[01:30:29.119] 倒す。こここのこいつ。こいつこいつ
[01:30:31.000] こいつ。
[01:30:34.679] でもここももうさっさと行く。いやいや
[01:30:37.119] いや、そんな無理。やって。
[01:31:08.920] う。
[01:31:10.159] だぶ
[01:31:19.199] 危ないよ。
[01:31:24.400] ずむず。
[01:31:28.760] もうむずい。
[01:31:35.080] よし。
[01:31:38.920] こう盾の円盤のせて
[01:31:44.119] 盾の円盤の敵のさ、なんかその当たり外れ
[01:31:47.080] があるわ。縦方向で来てくれたら倒し
[01:31:49.560] やすいんだけど、横方向で1列で来られ
[01:31:51.960] たらね、相当きつい。
[01:32:01.840] 今当たり当たりのテーブル引いた。今。
[01:32:03.760] うん。あ、いいテーブル引いてるよ、これ
[01:32:06.040] 。
[01:32:07.719] あ、こうやって1個に集まってくれたらね
[01:32:09.600] 、すごい楽なんだよ。
[01:32:13.560] え、待って、待って。え、あ、ね、赤い
[01:32:15.119] 円盤来なかったんですけど、そういうこと
[01:32:16.719] もあるのね。赤い円盤なかったんだけど、
[01:32:20.080] 今もあるの?
[01:32:26.560] アイテム落とさなかったんですけど。笑
[01:32:28.960] そういうこともある。レア出勤か。あいつ
[01:32:32.760] レア出勤かもしれん。今日はいないんだ。
[01:32:36.480] あ、来た、来た、来た、来た。お前を待っ
[01:32:38.159] てたんだよ。
[01:32:42.560] あ、トリマフォースフィールドで。うん。
[01:32:45.040] オッケー。オッケー。ただこれさ、
[01:32:48.639] 鳥、これさ、ちょっともうちょっと武装
[01:32:51.000] 欲しいよね。ここもう避けることしかでき
[01:32:53.320] ないよ、これ。
[01:32:57.679] いや、始まった、始まった、始まった。
[01:32:59.199] いや、もう無理だよ。
[01:33:04.040] ああ、きっち。マジで。
[01:33:30.119] 硬。いや、硬いって。こいつ全然死な
[01:33:34.119] なかったね、今。
[01:33:37.400] 一応レーザーなんですけど、こっち。
[01:33:41.800] よしよしよしよしよし。いや、もうこの
[01:33:44.920] もう植物を盾にして進む。
[01:33:48.960] 武装はこっからだな。危ないからね。
[01:33:58.719] まジか。
[01:34:02.800] あ、やばい。
[01:34:05.000] もう一瞬でも出遅れたら終わりやん。もう
[01:34:07.480] ここすっと行かないとこう。こなルりル
[01:34:20.840] 。BGM覚えた。まあだよね。うん。ま、
[01:34:24.239] 今のは悪いわ、俺が。うん。今のは俺が
[01:34:25.880] 悪い。
[01:34:59.920] は、やだ、やだ、やだ、やだ、やだ。やめ
[01:35:02.080] て、やめて、やめて。やめて。もうこれ縦
[01:35:05.840] にする。これ。よしよしよしよし。ふう。
