[00:00:11.719] ちゃまドペペペちゃまドペペペちゃまドペ
[01:03:59.920] 笑笑笑お父さんまた怒るわよ母ちゃん黙っ
[01:04:04.039] ててくれ
[01:04:05.599] よし
[01:04:07.160] なお母様だそうです
[01:04:15.160] よちょっと怒られた方が反できるもんね
[01:04:19.319] 上杉さんて似てね誰だよ
[01:04:22.559] って今あんたの相手してらんないのよモッ
[01:04:26.160] ピーズの淳だ
[01:04:27.720] よわけわかんないこと言わないでよ
[01:04:30.119] お姉ちゃんからこれなんだよねちょっと
[01:04:32.319] もうちょっとド落すなってバカな
[01:04:35.920] 弟モッピーズよチェキ
[01:04:38.920] だろモッピーズよチェキ
[01:04:43.599] だろ姉ちゃん浅かった
[01:04:47.920] ななんですぐお母さんと家戻んだよやべえ
[01:04:51.520] 遅刻するぞそうそう
[01:04:53.440] 大吉なんで着替て
[01:04:56.680] だろ姉ちゃんちょっと大今日バイトはうん
[01:04:59.599] だから帰り遅いよほら今日はけあとゆのあ
[01:05:03.799] 姉ちゃんの彼氏が来るんだろ
[01:05:05.960] ええ大事な日だから邪魔しないでよ俺も
[01:05:09.000] 上杉さん会いたかったな邪魔だから帰って
[01:05:12.240] くんなって言われてん
[01:05:15.440] だかいすぎる
[01:05:20.039] だろやば
[01:05:22.079] すぎピーズだろ
[01:05:27.039] とかのぶ
[01:05:29.720] よ朝はこんな感じでし
[01:05:33.880] たさ学校行きましょう
[01:05:39.400] かスーパーとかプルプルタイム家
[01:05:43.160] 広い家広い
[01:05:46.200] ねこれクラスメート起こして欲しいけどな
[01:05:57.720] ちゃま
[01:06:01.160] プルプル20はの震が
[01:06:06.880] えぐいちなみにもう前回やった時にこの
[01:06:09.839] 荒いポリゴン荒いポリゴンの俺の顔はもう
[01:06:12.599] 有さが作ってくれてるからねあらいポリ
[01:06:16.160] これバージョンの俺も存在してる
[01:06:19.000] からスタンプにすんべか
[01:06:23.960] なあれか笑そうそうそうそうそうそう戸塚
[01:06:28.520] 大18歳昼クローバー
[01:06:39.000] 高校ば君も来てるか
[01:06:47.359] なあれあババ君いたババ君も来て
[01:06:53.440] ますなんだこの花は
[01:06:58.000] サラリーマン顔
[01:07:00.319] へあ吉の関にこれを置いたの
[01:07:03.760] はやべえすげえ怒っ
[01:07:10.880] てるみんな目を潰れ
[01:07:16.359] それ怒らないから正直に手を
[01:07:22.319] 上げろあったなああげたここは正直に吉
[01:07:28.599] お前がやったのか怒らねえって言った
[01:07:31.200] じゃんかよ吉田をいじめのを大概にしろ
[01:07:34.680] はいどうもすいませ
[01:07:36.520] んペナルティ腕立て100回だ10回
[01:07:44.440] だ罰上等すぎる
[01:07:48.799] だろべでか
[01:07:52.480] ハートでけえハート
[01:07:56.359] がの笑笑でバカでけえハート出た
[01:08:01.319] 今今までのドを消しにし
[01:08:06.000] たこいつ人いじめんのかよこいつ人
[01:08:09.359] いじめんの最低だ
[01:08:10.920] なさえちゃん来てねえな誰ださえちゃんて
[01:08:14.480] 友達か酒がいねえな気持ちよくなってら風
[01:08:18.400] でも引いたかなななんで風でも引いたかな
[01:08:21.440] でお前ハート出んだよ姉貴にせわしてもら
[01:08:23.880] なんだこいつ気持ち悪いあよしオッケもう
[01:08:26.120] こっからハートもらう天下のミピーに
[01:08:28.120] そんな暇ない
[01:08:31.799] かそでもアイドルがけなげに病って本当
[01:08:35.679] ならダイスクーポだよなあ友達がアイドル
[01:08:38.839] の弟なの
[01:08:40.880] かさえちゃんが来てないってってるおい
[01:08:44.120] 起こせよ固まってんだから明らかに誰が
[01:08:46.799] 起こすんだよあれプルプルスタンプにでも
[01:08:50.880] どうぞチマプル
[01:08:55.759] 授業なんかやってらんな
[01:08:58.719] いっす授業抜け出してまで踊りてえのかよ
[01:09:02.400] まみちの目線どうするんだっけな2回舐め
[01:09:05.400] てたから前列になんとか気持ち悪いキモい
[01:09:09.440] なとか君ちゃんとキモいな
[01:09:14.400] 笑もっぺDVD見直しだ
[01:09:18.359] な怖いまみダンス物にする
[01:09:23.000] ぜちゃんとキモい笑笑ハトだから幸せだよ
[01:09:33.520] な授業全然受けないああ終わったんかああ
[01:09:38.440] やっと終わっ
[01:09:42.239] たさえの様子見に行くか
[01:09:45.040] なミピいるかもなさえってやつの
[01:09:49.040] お姉ちゃんが多分アイドルなんだろう
[01:09:53.159] なえお人起こさねえじゃん何のためにやっ
[01:09:57.280] たんだよこれさえとか羨ましいな実の姉が
[01:10:00.560] アイドルだもんな遊び行ったらいたりし
[01:10:04.640] てきいなこいつ目的違うのマジで肝覚まし
[01:10:09.080] てて
[01:10:20.480] やばい誰も起こしてまま家族遅れてきたな
[01:10:25.800] 家族起こせたからまあいいか家族起こせた
[01:10:30.360] からできればなんかいろんなところのさ
[01:10:33.440] あの触れてないところ起こしたいんだよ
[01:10:36.400] なあそしたらやっぱ公園あれなんかなババ
[01:10:40.520] 君の弟次やってなんかたこ焼き屋と
[01:10:44.400] か起こした方がいいんか
[01:10:50.360] なあこのゲーム何がいいって全然あの
[01:10:53.760] なんかその
[01:10:55.880] とないからいいわ見てるだけでいいから
[01:10:58.840] お腹いっぱい食べてほしいねお腹いっぱい
[01:11:01.719] 食べてほしいなババケは
[01:11:04.679] な丸ボタン押すだけだからな
[01:11:11.280] これ塚大吉18歳夕方ブルーマンション
[01:11:15.840] 操作でつまづくことないもんね笑急所とか
[01:11:19.560] 傷とかないしね急所とか火傷とか
[01:11:22.080] マグニチュード9とかないし
[01:11:31.920] マジででもなんかアイドルとかが住んで
[01:11:33.600] そうなこのなんか
[01:11:35.120] この村まこんちみたいなマンションだな
[01:11:38.960] これ村まこの家もこういうなんかあれだよ
[01:11:41.840] なコンクリート打ちっぱなし場
[01:11:56.440] あブルーマンションに住んでたんだなえ
[01:11:59.840] ちゃんえ
[01:12:02.199] ちゃんまも出てこね多分固まってるからな
[01:12:04.840] 中でな返事がない
[01:12:09.600] なすおい
[01:12:13.480] えルスなのか
[01:12:21.080] なが出てこないか
[01:12:24.159] なしいな
[01:12:26.280] ずっとさいないのかこれ多分起きてない
[01:12:30.280] 起きてたらここでイベントが発生するん
[01:12:32.880] だまだみんな寝てるもん
[01:12:36.560] なみきの家に来たのは事実だしあ50
[01:12:40.880] 貯まった2個目いけるぞあ間違えたボタン
[01:12:45.040] 間違えた三角だった使っった
[01:12:49.280] よったよこいつにこいつに使ってこいつ
[01:12:52.719] すげえハッピーになっちゃったあ
[01:12:55.679] すげえハッピーになっちゃったこいつもう
[01:12:58.199] いいねこいつハッピーだろ常
[01:13:00.800] にで時折りこいつが邪魔に邪魔してくるん
[01:13:04.199] だ昭和の芸能雑誌ってたやばすぎだねなん
[01:13:09.719] つっ
[01:13:11.159] て僕は謎の人物
[01:13:14.920] です怪しいものではありません怪しいだろ
[01:13:18.000] 邪魔れていいんじゃない確かにいいな君の
[01:13:21.960] エンジョイぷりおじさんかなり焼いちゃう
[01:13:24.280] な
[01:13:26.880] つうわけでとか君
[01:13:29.880] を不幸のどん底ツアーにご招待お願いし
[01:13:33.400] ます理由なんて聞くなつうのうんお願い
[01:13:36.239] するわそれじゃレッツラ
[01:13:39.639] ドンゴリゴリさん来た
[01:13:43.440] ねこいつがたまにこういう風になんか
[01:13:46.080] なんか意味わかんないことしてくるんだよ
[01:13:48.520] 大吉あんた幸せなんだ動けないぞ
[01:13:54.040] にての目も気にしない
[01:13:57.040] よまそれは確かにそうお兄さんと遊ぼう
[01:14:02.719] よ一体どうなっ
[01:14:08.880] てるこなあのこうなんかこの正体不明
[01:14:13.159] アバター撃退システムえ正体不明の
[01:14:15.400] アバターの撃退プログラムを起動します
[01:14:17.120] カーソルを正体不明のアバターの移動先に
[01:14:18.840] 合わせ出現してきたアバターに対して丸
[01:14:20.920] ボタンを連打してくださいと要はなんか
[01:14:23.440] このこドを打ってくるのよこれを阻止
[01:14:27.760] するこういう風になこういう風にただこれ
[01:14:32.040] はあでもあれかめちゃめちゃ早くなるのよ
[01:14:37.719] ああああ今こんな超優しい
[01:14:41.360] けどこれがだるいんだよなこれがだるいん
[01:14:45.480] だよただイカを使ってイ感をこいつに
[01:14:48.719] ぶつければ一気にこいつを撃退することも
[01:14:50.760] できるんだ
[01:14:52.239] けどちょっともったいてさもたいなんで
[01:14:55.280] これこいつに使っちゃったんだい感マジ
[01:14:57.719] もったい
[01:14:58.719] ねえこんなやつとんでもない速さなるよね
[01:15:02.400] もう対処できんなる途中から
[01:15:05.239] ねまいっかじゃあ
[01:15:14.120] ねうん
[01:15:18.400] 悔しい次は負けないから
[01:15:21.679] ねこれたまに出てくんのよこいつが近いな
[01:15:26.719] たまに近いなこいつの造形大丈夫なのかな
[01:15:30.400] 大丈夫だろこれでバンされたらもう
[01:15:32.880] びっくりだわうんミピいなかったよサイン
[01:15:36.600] 余裕っしょアイドルネットワーク俺のこ
[01:15:40.360] なめんなよきしこいつジできしょいなこの
[01:15:44.520] 有名人と友達ムーブきい
[01:15:49.719] なさえとかさえとか行ってどこ行ったんだ
[01:15:55.760] つ行けよ明日一発問い詰めるか
[01:15:59.679] なただこいつ結構ハッピーなキャラだなめ
[01:16:02.920] の
[01:16:04.040] 独り言マジのタじゃ友達ムーブはオ千友達
[01:16:08.440] ムーはどうぞどうぞぜひして
[01:16:12.480] くださいマジのオタクじゃん
[01:16:27.320] オタクマジで独り言でかいからなこないだ
[01:16:29.840] あのレトロゲーム見にまんだだけ行ったら
[01:16:31.880] さ裏でなんかアニメのDVDブルーレイ
[01:16:34.560] みたいな見てるタ超でかい声で誰かと喋っ
[01:16:37.480] てんのかなって見たら1人で超ビビった
[01:16:39.280] もんなんかあこれはあれだなこれはなんと
[01:16:42.400] かの2だ
[01:16:43.600] はマジでやばいもなんかバラだあっと思て
[01:16:48.199] みたら1人だっ
[01:16:49.480] た笑笑怖すぎくそうくそでけえの本当にわ
[01:16:55.520] そっとしてあげて独り言とかじゃない
[01:16:57.880] なんかもうし普通にこんくらいの声でこれ
[01:17:01.800] はあれだな2期のなんとかの2期だあこれ
[01:17:05.360] は持ってるからいらないかな本当にやって
[01:17:07.600] たカードゲームコナ本当にやってたなんか
[01:17:10.320] わかんないなんかなんかDVD見てた
[01:17:12.320] わかんないけどカラオケ歌い
[01:17:14.679] マックスカラオケ歌いマックスの店員です
[01:17:17.480] 彼
[01:17:23.320] はバイトきましたよぽか
[01:17:30.600] 君おおいいねうちの地元のうちの地元の
[01:17:35.760] カラオケもこんな感じだわおお今夜は客が
[01:17:38.679] 0かコピーとか制あげてる楽だ
[01:17:43.159] な何それ
[01:17:45.159] リサちゃんも来てないなこのバイトええな
[01:17:48.320] このバイトいね楽でねオーディションに
[01:17:50.440] 行ったのか
[01:17:51.679] ないや今夜客がいないのは
[01:17:55.639] みんな寝てるから何しんの俺のマでしだ
[01:17:58.920] からなずっときいムーブしてるなこいつ噂
[01:18:03.080] 系噂系サイトもチェックしねえとたぬき
[01:18:07.480] だ嘘よこがアイスの
[01:18:11.520] CMこいつすげえハートしかシール集める
[01:18:14.719] とポスター
[01:18:15.760] くれる買う買う箱するっ
[01:18:19.120] ていいなこいつ中のアイスかしめぞ
[01:18:25.239] いなこいつマジでハートしか出さねえな
[01:18:29.040] ドクでないね
[01:18:31.360] ね幸せすぎんだろこいつ一応仕事もやっ
[01:18:35.520] ちゃうぜあたりめだろオーよし
[01:18:39.840] 次人畜無害すぎる貴いけどなオタクって
[01:18:44.040] こうなんだろうなにもんでよさそうオ
[01:18:47.840] タクって誰にも迷惑かけてないじゃんい
[01:18:51.080] いいのかもなこれだ幸せなんだからそれで
[01:18:55.199] よし完璧いい
[01:18:57.600] ね本来のオタクの形
[01:19:01.280] 少いあ歌うんだいいのそれは本当に迷惑
[01:19:05.360] かけてない幸せの硬い色だなさのビーチで
[01:19:10.520] ドリップここでフロントに踊り出るから
[01:19:14.199] そっかゆっとタッチで交代
[01:19:16.960] だすげえ溜まってく1個いい感無駄遣いし
[01:19:21.080] たの
[01:19:23.719] に極めた
[01:19:26.440] ぜもう帰ろうよとか君ライブで一緒に踊っ
[01:19:30.920] ちゃう
[01:19:34.159] ぜもう
[01:19:37.480] 帰ろう家族から帰ってくんなって言われて
[01:19:40.120] たから
[01:19:41.360] な厄介なんだろう
[01:19:44.960] な今日も実に遊意義だったなアイドルと共
[01:19:49.520] に過ごした1日だな過ごしてねえ
[01:19:53.120] よのの知識オブ
[01:19:57.400] アイドルまだまだ増え続ける
[01:20:00.120] ぜすげえもう1個貯めれるかもう1個出せ
[01:20:03.480] おおすげえこれもう1個いけるぞもう1回
[01:20:06.239] ハードが出たらあちょうど終わったやべえ
[01:20:09.080] マッククスだ歌
[01:20:17.000] マックス終わりましたと君の1日がょうも
[01:20:21.480] ねおいやよ君水しか飲んでねえのによ笑笑
[01:20:27.800] なんなんだよこの差
[01:20:29.679] はいいよ
[01:20:34.040] なAランクやったぜアイドルの神様
[01:20:38.120] ありがとう今日はマジですげえ最高だよ
[01:20:41.280] 食おこれがAランクです彼
[01:20:44.679] のくそしょうもねえマジでこんなんでいい
[01:20:48.560] のかよ全然誰も起こしてねえし家族しか
[01:20:53.159] 起こしてねえじゃねえかよ
[01:20:56.520] いやどう
[01:20:58.120] しようちょっと弟行くかちょっと公園とか
[01:21:02.600] 見てみたくないちょまだセーブしないいい
[01:21:05.440] かも
[01:21:06.360] しれ
[01:21:09.159] ちょっととかダメそ期待外れだったな
[01:21:12.120] もっといろんな人を起こしていろんな人が
[01:21:14.560] 動くようになるといろんなイベントがまで
[01:21:17.000] もなこっちもお父さんお母さんお姉ちゃん
[01:21:20.719] 起きたからな
[01:21:22.880] お父さん50歳警察警察官なんだ生活
[01:21:27.440] 厳しく頑固日本島と和の心を愛する亭主
[01:21:30.280] 関白で独裁的ながら家族を愛しているえ娘
[01:21:34.199] 戸塚ゆのえ結婚が心配相手の上杉健太がえ
[01:21:38.320] ダメ男なら結婚を許さない気でいる
[01:21:40.280] なるほどからお姉ちゃんは結婚相手を連れ
[01:21:42.880] てこようとしてるんだえ戸塚読え出版社
[01:21:45.320] 社員え同様上杉健太と熱愛中え結婚のやを
[01:21:48.880] しているえ本日上杉健太が実家に結婚の
[01:21:51.520] 挨拶に来る予定え頑固な父とかタオの反対
[01:21:54.600] に悩むえ同僚橋本瞳に橋本瞳ってどっかで
[01:21:58.239] 見たな橋本瞳に結婚ネタまでいじめ
[01:22:03.199] られるいいね人間だね橋本瞳って誰か
[01:22:09.040] なんかどっかで見たよなさっきなえ戸塚
[01:22:13.400] 信男47歳え専業主婦え夫戸塚タのえ亭主
[01:22:17.520] 白ぶりによく尽くす夫に怒られても収
[01:22:20.320] 変わらな態度で面倒を見て見るできた家庭
[01:22:22.960] 人え娘と上健太の結婚に大賛成していると
[01:22:28.520] あーお姉ちゃんちょっとやりて気もするな
[01:22:32.719] お姉ちゃんちょっと見てみたい
[01:22:34.960] ななんで息子ああなったんや本当だよな
[01:22:39.080] なんで息子こうなったのお姉ちゃん
[01:22:42.040] 行く弟とどどうするババ君
[01:22:45.360] のっお姉ちゃんちょっとやりてえそういう
[01:22:47.520] 意味じゃねえよバお姉ちゃんババくの弟と
[01:22:52.679] 笑笑のお姉ちゃんどっちがいいただ見て
[01:22:56.840] くれおいばこんななこんななこんな笑笑
[01:23:02.800] こんなねあのもう多分お金持ちですよね
[01:23:05.120] 多分お父さん結婚何あの警察官警察官で
[01:23:10.600] もうめちゃめちゃ金持ちでしょお母さんも
[01:23:12.400] 働いてないですねほんでさほんでさこいつ
[01:23:16.840] 見てくださいよこんな幸せに生きてんのに
[01:23:19.159] 幸せの置処置の幸せ49しかないんすよ
[01:23:22.880] ただ見てくださいババくの弟こんな貧乏で
[01:23:25.880] 食パ1枚しか食えなくても初期でハッピー
[01:23:28.760] エナジー83てるおじさんなんか金持ちに
[01:23:32.000] 決まってる見てくれよ幸せの感じ方ってさ
[01:23:36.639] も間違えてないかお前らなあ幸せってん
[01:23:39.960] だろうお前らさ磨きダブ靴磨きなケツ磨き
[01:23:44.480] じゃねえよダブルスコアおどっち行く
[01:23:47.719] どっちかにしようどっちかどっち
[01:23:50.239] 行こうまちょっとこっちも気になるけどね
[01:23:53.480] でも女
[01:23:55.159] ゆ行くお姉ちゃん行くじゃあお姉ちゃん
[01:23:57.440] 行くかお姉ちゃん行くか分かった
[01:23:58.920] お姉ちゃん
[01:24:00.520] 行こうお姉ちゃん行きましょう1回色々
[01:24:03.480] 捨ててみる
[01:24:05.080] かな食パ1枚でも89になれるんだよお前
[01:24:09.719] らどうだ今自分のハッピーエナジー
[01:24:13.199] なあなんかTwitterでずっと病ん
[01:24:15.920] でるなあやつとかいるよ
[01:24:19.080] ななんか君は食パンに何つけるの食パンに
[01:24:23.560] なんだろう
[01:24:26.000] まバターが1番だよねでもねバターが1番
[01:24:28.840] だと思います
[01:24:30.239] けどあジャム好きじゃねえから俺フルーツ
[01:24:33.199] 好きじゃねえからジャム嫌いなんだよあの
[01:24:35.080] よ東あの出張で東イ止まった止まった時の
[01:24:38.719] あの朝のさ朝のさあのバターとかどうやっ
[01:24:42.360] てぬんのあの冷てえパンにさあの変な体
[01:24:46.320] ちゃ塗れねえだろあれピーナッツバター
[01:24:50.040] 最高ピーナッツバターうまいけどなあと
[01:24:53.199] あのマヨネーズのチュブとか神だよな
[01:24:57.239] コーンとかちょっと入私服どんなだよ
[01:25:01.639] おき
[01:25:03.280] ます今日は朝から起きてるね起きてるから
[01:25:05.840] ねこれハート出るようだったらもう速攻俺
[01:25:08.600] 速攻タンク作っちゃう
[01:25:10.159] よ紹介したい男がいるそうだが今日れて
[01:25:14.280] 連れてくるからってみてよ彼の名前はんて
[01:25:16.840] 言うん
[01:25:23.320] だご待たないのえぐくないマジで嫌われ
[01:25:27.679] てるんだとか君かわいそう笑笑マジで嫌わ
[01:25:31.560] れてもみんなむしゃむしゃ食ってるけど
[01:25:34.280] マジで嫌われてるんだなとか君マジで
[01:25:37.440] なんかこのとかのチブとして扱われてるん
[01:25:40.480] だ笑笑マジで座敷なんだな多分な本当に
[01:25:44.520] 多分お父さんからも見放されてて悲しい
[01:25:50.360] ぜそいつはどういう男なんだんにてる
[01:25:56.239] お父さんほらお父さんに似てる人うまいな
[01:25:59.320] 娘娘うくない娘めっちゃうまくないなんか
[01:26:04.480] お父さんに似てる人なのって言ったらそれ
[01:26:06.199] ハート出るよなこれハート出るよなそれは
[01:26:09.040] なごめんこれ作るわごめんハート作ります
[01:26:11.639] いただきますあ間違えたもう間違えて
[01:26:14.639] ボタン間違えてまでもいっかまで
[01:26:18.840] もやもなりますこれは覚えておきたい
[01:26:22.159] テクニックです
[01:26:24.480] にしとくとハートいっぱい出るから幸せ
[01:26:26.880] なら
[01:26:28.040] オッハート出しとくとそれだけハートなん
[01:26:31.400] で駆け落ちでもしようか
[01:26:34.119] な70以上キープしたい生活はなんとか
[01:26:37.880] なるでもら
[01:26:41.560] 助かる健太がいれば何もいらない盲目です
[01:26:45.040] ねちょっと貯めとこう貯めとかないと
[01:26:47.320] 起こせない人
[01:26:48.480] をもっといっぱいハート出してくれあ
[01:26:51.880] お母さんお母ちゃん
[01:26:54.760] お母さん今日はよろしく
[01:26:56.639] ねお父さんのことは任せてきなさあいいね
[01:26:59.280] 味方なんだお母さんはこれでもう勝ったも
[01:27:01.320] 同然よねでもゆちゃんちゃん美人でしょ
[01:27:04.920] ちょっとガグだけどねお母さん好き絶対
[01:27:08.280] 大丈夫心配ないってあの人機嫌取るの
[01:27:11.400] 難しいのよともかく頼むわね
[01:27:14.239] お母さんやれやれうまくいくといい
[01:27:19.040] けどみちゃん色なんやめよいいのいいね
[01:27:22.719] ママと仲いいのいいね
[01:27:26.199] とか君の席おかしいだろなんでなんでお前
[01:27:30.520] そこなのえ机もあげないのこいつ
[01:27:34.639] に姉ちゃんうまくいくといいねあいい
[01:27:37.000] じゃんうん
[01:27:38.600] ありがと心配してくれてるのねあたりあで
[01:27:42.239] もいいいいいいよいいよいいよあいいよ
[01:27:44.760] いいよいいよ兄弟だね俺も影ながら祈っ
[01:27:47.719] てるよあおいいじゃない割となのではこれ
[01:27:51.960] なんでさっきと全然違うかていうと今とか
[01:27:54.719] 君がハッピーな状態で終わってるからので
[01:27:57.639] とかゆも今俺間違ってい感使ってハッピー
[01:27:59.920] になったじゃんだからこうハッピーが連鎖
[01:28:02.080] してハートたくさん出すのよでこれが
[01:28:04.719] どっちもハッピーじゃないと喧嘩とかに
[01:28:07.440] なるのそだ結構大事なのよ周りがハッピー
[01:28:10.119] になんないといけないハッピーな時は人に
[01:28:12.239] やそういうことそういうことそういうこと
[01:28:13.719] うまくできてんの
[01:28:16.199] よとか君ハッピーで終わっハッピー
[01:28:18.719] ハッピーハッピーハッピーハッピーリアル
[01:28:22.159] やな俺たちもそうだもんなそうだよ俺たち
[01:28:25.280] もそう人に優しくするにはやっぱちょっと
[01:28:27.600] 心に余裕が必要なんだよそんな影響あるの
[01:28:29.960] かそうそう
[01:28:31.760] そう変ならしほらもうすげえハート出る
[01:28:34.719] じゃんいい
[01:28:36.480] よあいいいいいいやっぱやっぱいきなりイ
[01:28:40.800] 感ぶっ込むのいいねいきなりい感ぶっ込ん
[01:28:43.800] で100にぶち上げちゃっ
[01:28:46.360] ていいぞそれなかなか
[01:28:52.040] いい常にぐらいはストックしておきたいな
[01:28:55.280] 回収できるしなうんそうその後結局回収
[01:28:57.600] できるしねちゃまくも同高い時はリスナー
[01:29:00.719] あそうそうそう同がハッピーエナジー
[01:29:02.400] みたいなもんだ
[01:29:03.920] からだからさでけえドでけえレドがいい感
[01:29:07.639] みたいなもんだよでけえレドがいい感
[01:29:10.639] みたいなもの笑笑ハッピーエナジー
[01:29:15.320] ね今もう61だからだいぶハッピーだ
[01:29:20.400] 今こいつあれこいつはあれだよいあれだよ
[01:29:24.600] あの学校行かないからね出版社で働いて
[01:29:27.280] るって言ってた
[01:29:29.880] から出版社だって
[01:29:34.400] お秋冬
[01:29:36.600] 出版新しいとこ来ましたこれ多分人が
[01:29:39.000] 固まってるあだ彼氏もここの同僚つだもん
[01:29:41.600] ね出版者の方もせそういいな近くでなやま
[01:29:47.040] 職場はねお前らね近い方がいけり近い方が
[01:29:49.840] いいぞマジで職場はジ
[01:29:53.040] で3000本しか売れてないですこれ日本
[01:29:56.520] で3000本しか売れてないこんないい
[01:30:00.360] ゲームなのにシステムほんま好きなのに
[01:30:05.280] あ行きます株式会社秋冬出版か
[01:30:11.320] ないくら近くても隣とかいあそれはやだね
[01:30:15.000] 近くすぎてもやだけどやだよな会社ずっと
[01:30:18.239] 見てんのな見えんのやだよね近と家まで来
[01:30:20.639] られるよあそれだそれだねめた聞きまずい
[01:30:23.440] よ
[01:30:24.920] ちょっと遠い車で15分とか最高じゃ
[01:30:31.000] ないはい来ましたおおいいですねえなんか
[01:30:35.520] お前社長秘書なのその席みんな固まっ
[01:30:38.840] てるみんな固まってどうした
[01:30:42.440] のなら最低でも2駅いいね仕事しないと
[01:30:47.880] 会社やばいの
[01:30:49.560] に会社やばいんだ私じゃ起こせそうに
[01:30:52.600] 起こせる起こせる話しかけろって
[01:30:55.600] 小い社長なら起こせるのかな社長ね社長来
[01:30:58.920] てないってことは多分家とかで固まってん
[01:31:00.960] だろうなわこの辺起きてからやりてえな
[01:31:04.119] いよいよお父さんと健太の対決え起こさ
[01:31:06.480] ないの起こせ
[01:31:11.159] や起こさない時もあるんだよな要は会話
[01:31:15.320] イベントが特に発生しないとやっぱタッチ
[01:31:19.080] しないのよね違う他のやつがいるんだろう
[01:31:22.840] な
[01:31:24.960] え起こしてくれてもいいと思うんだ
[01:31:27.239] けど最近明人橋本さんが何橋本
[01:31:33.679] 瞳気に触ることしたかな橋本瞳に妬まれて
[01:31:38.480] なんかどとか結婚するのひがんでるのかな
[01:31:41.760] それでハート出んのやばいな本さんだって
[01:31:44.400] いいお話来るわ
[01:31:47.920] よ本格的に会社が危ないわ早めに退職金
[01:31:52.360] 請求しといてよかったリアルだな橋本君
[01:31:58.119] さこれ会社あれやばいんだな経済にケリに
[01:32:02.639] 寝まよかったわえこれ起こしてくんないの
[01:32:06.480] ケン太動かないなあ起こすんじゃない
[01:32:09.239] ケン太ずっと固まったままねあ起こすん
[01:32:11.520] じゃない
[01:32:13.679] これ行くかなんかすごい作戦でもいや
[01:32:17.400] 起こせよ起こそうよなケン太起こそうよ
[01:32:19.600] だってじゃないとお前家に来ないぞそし
[01:32:21.600] たら家にケン太来れなくて終わるぞ
[01:32:24.560] 先にカフに行ってるよえー起こせよそれは
[01:32:28.480] まずいあまずいこれあわこれダメだこれ多
[01:32:32.639] 最高の1日にならない
[01:32:34.400] ねこういう風にキャラクターが起きてない
[01:32:37.360] と完全な1日にならないの
[01:32:40.480] よ失敗イベントかえ誰がじゃあ起こすの
[01:32:44.440] これ多他のこの中出版のやつがいてそいつ
[01:32:48.920] が起こすんだろう
[01:32:50.920] ね嘘だろ起こさないのかよ
[01:32:54.360] 社長いや分社長もどっかで固まってん
[01:32:56.880] でしょ分順番があるのか順番というか
[01:33:00.880] うんあ誰かいたあお母さんだあれ田中
[01:33:05.600] ちゃまく分かった
[01:33:13.000] えこれの者になろうやだよこんなもん時間
[01:33:18.960] かけてやんのが一番いいだろう
[01:33:20.679] かお願いやだ
[01:33:24.600] 俺はこれを時間かけてやんのがいいの
[01:33:27.679] サクサクやってもしょうがねえ
[01:33:30.480] やリジで
[01:33:32.600] てでもめっちゃ時間かかりそう多分10
[01:33:35.560] 時間ぐらいかかりそうマジいくら早いっ
[01:33:38.400] つって笑笑解説誰
[01:33:42.560] 置くレッドウッド
[01:33:49.320] カフェ健太も店員さんもいないじゃない
[01:33:54.040] 近くに有名人でも来てんのかな幸せにし
[01:33:56.600] たらどれくらいなんだろうね当んじゃない
[01:33:59.159] 絶対誰も走ってないでしょ適当にやっても
[01:34:02.560] 世界一れそうああ来た起こせる起こせる員
[01:34:06.199] やったら世界一だよちゃまく固まっ
[01:34:11.719] てるちょっと大丈夫なんでこいつらは
[01:34:14.760] 起こすのにさっきのあれ彼氏起こさねえか
[01:34:17.719] なうわ他人だからすげえ食われる他人だ
[01:34:20.239] からすげえ食われる
[01:34:25.159] ただ2人起こすたのでかいね俺他人は40
[01:34:27.600] 必要なんだよやばいよ
[01:34:32.119] ねただこれでかい
[01:34:36.159] ぞあ動い
[01:34:40.639] た員さん大丈夫です
[01:34:48.239] かちでよかったなんだか変なおいいねいい
[01:34:52.639] ねいいねいいっぱいくれいいよいいよもう
[01:34:55.199] 100%だから全部俺のもんだ
[01:34:57.760] よムーディ勝山みてえだなあいつな私の
[01:35:01.679] 幸せ伝えたいあ出たなんかこれなんかこれ
[01:35:04.280] たまにあんのよこれこれねたまにあんだ
[01:35:07.280] けどこれなんか全然なんか幸せだとなんか
[01:35:11.719] 急に知らない人でも急に褒め褒めこれこれ
[01:35:14.040] これこれこれ急に褒め出すのよ私すごく
[01:35:17.760] 幸せなんですなんだ
[01:35:19.960] それ幸せな家庭をきやべえ女だろこいつ
[01:35:24.040] やべえ女だろ他人に幸せな花嫁になるん
[01:35:27.199] ですそれはいい話です
[01:35:29.520] ねうわハトもったいないこれ
[01:35:36.360] ちょっとハート出せ
[01:35:39.360] よあや
[01:35:44.119] べ近私を目の敵にしてるし思い出しただけ
[01:35:47.560] であやばいやばいやば
[01:35:50.280] ば橋本さんってむかつくわこれ橋本さん
[01:35:54.840] 起きてる時に見てみたいねあ誰か来
[01:36:03.280] た健太どこ行ったの健太なんで起こさ
[01:36:06.719] なかったんだよ
[01:36:09.000] さっき会社から直接撃ちに行ったのかな
[01:36:12.760] 起きてねえんだ
[01:36:14.080] よお父さんともう仲良くして
[01:36:18.520] たり変なかなかやるじゃないハッピーだ
[01:36:22.360] からも都合のいい妄
