[00:00:00.199] ちゃまぷんちゃにめ
[01:17:42.560] もうむわが緊張で無理だよ。なんかもう7
[01:17:43.840] 秒とかって言われたらもうめっちゃ緊張する。
[01:17:57.920] 全然集中の時間がもうちょ7
[01:17:59.159] 秒って無理なんだけど物理的に
[01:18:02.000] まず15やままず15かぜ
[01:18:06.360] そうだ嘘を伝えればいい
[01:18:08.520] 集中伸ばしてこないと
[01:18:09.800] あそういうことかもう待ってめっちゃむずいなんかも
[01:18:18.660] [笑い]
[01:18:20.639] イライラであ、イライラする。
[01:18:34.120] なんでこれ当たって?ああ、イライラする。これむかつくか。
[01:18:45.280] やだ、やだ、やだ、やだ。
[01:18:46.760] 年かもうあ、もっと
[01:18:54.880] これ超イライラする。
[01:19:15.159] うー。あ、ああ。ああ。
[01:19:25.360] 笑笑。1
[01:19:27.320] 日も早く海に出たい。15行けてたのに。
[01:19:35.199] 大声出してもタイムは縮まらないよ。
[01:19:48.480] ここぞに弱い茶まげ。
[01:20:02.520] 死んじゃう。死んじゃう。
[01:20:04.040] そう、配ソすればいい。
[01:20:14.320] コータスやめてね。
[01:20:20.440] ああ、1
[01:20:21.679] 回やる度に起きに行ってくれる人優しいね。
[01:20:41.600] 負の集落が時間のが赤く止まるだろう。
[01:21:06.760] その調子で励め。
[01:21:23.520] 会館パチパチん
[01:21:35.400] お
[01:21:50.920] ん、これ。ん、俺今手に入れたの何?え、
[01:21:51.920] 0.2
[01:21:54.880] 秒。0.2
[01:21:57.159] 秒ってさ、伸びたって言わねえだろ。
[01:22:00.400] 集中のご会
[01:22:07.199] 貝なんてなくね?集中の5
[01:22:08.360] 分しかないよね。
[01:22:12.440] こんまにか。あれ?
[01:22:26.639] いや、ここも解除してからくればよかった。
[01:22:27.679] これ戻れないの?なんや?もしか大きいやつかな?
[01:22:47.120] まさか戻れんとは
[01:22:50.120] ね。ちゃんとこんな難しいんだったら強化してから来たのに。
[01:22:56.520] いや、ないやん。集中がどんどん強化されていくや。で、
[01:23:04.910] [音楽]
[01:23:09.120] ごめ、ゲプ出た。
[01:23:14.239] くっさ。
[01:23:26.000] これ何これだってこれ7
[01:23:27.360] 秒なんて絶対無理じゃん。今物理的に
[01:23:32.199] 死りに行くつもりかよ。
[01:23:35.040] やっぱあれか。これ多分何個もあるんでしょ。多分この
[01:23:39.520] 集中のレベル上げすべ。
[01:23:41.360] あ、そういうことか。
[01:23:44.199] もくそ。え、これさ、もう本島に帰って修行したい。本島に帰りたいよ。
[01:23:47.170] [音楽]
[01:23:59.360] そのうち戻れるべ。
[01:24:01.520] そのうち戻れるようになる。ちゃんとこれ進めれば
[01:24:07.280] 本当の雑魚が恋しい。
[01:24:11.080] 本当だよ。あ、戻れるよな。うん。うん。
[01:24:13.840] うん。うーん
[01:24:18.719] 。何?一応歌読んどくか
[01:24:22.880] 。どこで?どこ?知らどこ
[01:24:30.159] ?ね、これさ、歌ってさ、読んでなんか
[01:24:33.400] 意味あんの?歌ってなんか読んで意味あん
[01:24:36.280] の?これ
[01:24:37.760] 。あ、ま、上に戻されたわ。
[01:24:43.119] あとなんか家紋変わってね。なんか家紋
[01:24:45.880] 変わってね
[01:24:46.920] 。四つ葉のクローバーみたいな。あと
[01:24:49.280] おしっこして
[01:24:52.040] 。あとおしっこめっちゃしたい
[01:24:56.920] 。
[01:24:58.880] 弱ティア空投
[01:25:02.920] 。下る水
[01:25:06.480] や字ですけどね。下たる水や。
[01:25:12.280] ひも嫁めコケム岩石も冷えにけいいね静け水に思い静まる終わりに距離優しくなりぬ
[01:25:32.940] [音楽]
[01:25:38.760] ダジャレまだ距離
[01:25:41.679] 木ねえ。これ距離手じゃないの?これ終わりに距離手じゃねえのかよかなんて読むんだよ。じゃあ終わりに距離手じゃないの?
[01:25:52.320] 上がり手じゃない。
[01:25:53.480] 上がりってですか?え、これで上がりって読むの?これで
[01:26:03.040] 距離てだろ?権利でか?
[01:26:05.400] こぞりて
[01:26:06.719] 小僧嘘だろ?おめえらなか読める風に行って適当なこと言ってんじゃねえぞ。
[01:26:10.560] 手をあげるのあげるだね。
[01:26:12.119] でしょ?上がりてたで
[01:26:13.880] コケム岩も冷えに蹴り
[01:26:20.400] うめえな距離。笑笑。上がりて
[01:26:23.760] 距離。ええ、思い
[01:26:25.760] 上がり手だ。え、お猫って頭いいんだね。あ、全然関係ねえけどさ、お猫ってさ、あれだよね。あの
[01:26:35.760] こぞりて
[01:26:36.360] 浜岡本に似てない?ちょっと最近思ったんだよね。
[01:26:39.840] し座れましょう。
[01:26:41.719] あ、ユりじゃん。
[01:26:43.840] 力は我らのユりじゃん。おばあちゃん
[01:26:47.320] にございましょう。
[01:26:49.400] おばあちゃん。
[01:26:49.840] 誰ゆりおめかくだ浜本知らねんだよ。こ
[01:27:00.679] あのはあのダウンダウンの浜田と息子だよ。ベーシスト。
[01:27:05.560] 原服されてもまだ岩にはなれるのですね。
[01:27:09.560] ユりじゃん。
[01:27:11.520] あ、イの八巻イヤン婦かな?ユりはイヤン婦だった説。
[01:27:19.280] やめてね。何がよ
[01:27:21.600] 邪魔?原服って知ってる?
[01:27:23.639] いや、え、知らない。何原服って?
[01:27:26.239] よくわからんけのメガネ探してくる。
[01:27:28.330] [笑い]
[01:27:38.480] 似てるよね。じゃあちょっと進めますか。ちょっとちょっとダめだね。
[01:27:39.560] 今のままの俺じゃあここのあのなら上に経験してる。
[01:27:43.679] 勝てない。あ、成人ってこと?成人の日ってこと?
[01:27:51.400] 今の俺じゃ勝てねえ。
[01:27:53.480] 今の俺じゃ勝てねえんだ。
[01:27:57.080] だがつか必ずの拠点じゃなかったの?
[01:27:59.920] だがいつか必ずは15歳が成人扱い。
[01:28:06.960] これ本編じゃないって。ここだよ。こ本編こっちね。ここだから帰れねえんだよ。
[01:28:09.159] こっから。え、15歳が成人なんだ。早。
[01:28:12.960] 困っておるようだな。何があった?蒙子に家を焼かれた。家を立てるか。
[01:28:19.840] いや、息の本編するしかない。
[01:28:21.719] 頼りになる。
[01:28:22.480] あ、息の本編。あ、息の本編でしょ、これ。ああ、さっきのは違うよ。さっきの拠点はなんか
[01:28:24.190] [拍手]
[01:28:27.480] ともかも15年前にした。とか以来1
[01:28:32.840] 人で生きてきたから、また1
[01:28:33.960] 人でどうにかするんだ。
[01:28:35.880] あ、不便だと思わないで。
[01:28:37.080] 思ってねえよ。別に
[01:28:37.880] 辛いのは皆同じだ。今は在目がなくてや。
[01:28:41.560] なんかこいつTwitter
[01:28:45.000] とかでなんか自分別に1
[01:28:50.119] 人なんかなんかこうこじらせてそうな感じだね。なんかこいつね何木を
[01:28:51.119] 3つ譲る?いや、こいつ1
[01:28:52.360] 人で行けるんでしょ?サラバ周りを見ろ。
[01:28:54.360] ああ、よく励めってことか。
[01:28:56.800] こういうなんか
[01:28:57.520] しばらく木を切ることになりそうだ。
[01:29:01.719] 何こいつうぜえな。なんかあ、また1
[01:29:03.400] 人でどうにかしなきゃみたい。お前
[01:29:04.719] Twitterとか絶対やんない方がいい
[01:29:05.760] 。
[01:29:07.920] 木方の木ね。
[01:29:11.520] 大大出世の方ね
[01:29:16.920] 。あこの船ありますや
[01:29:20.440] ん。うわ、
[01:29:22.560] 何こあの動画
[01:29:27.040] 大大出世こ
[01:29:29.600] 何あれこじゃない。あ違うとこ来てる。俺
[01:29:33.320] こっちだよ。
[01:29:37.719] えと、こっち、こっちだね。
[01:29:49.040] 鳥の糞がやばそう。
[01:29:52.639] めっちゃ海し、海緑の糞ってくせえからね。魚食ってっからもうバチグソくせえらしいよ。あ、た、いた、いた、た。
[01:30:04.040] 槍川の陣
[01:30:06.320] まさか来るとはな。
[01:30:07.560] いや、来るよ。なんだっけお前名前?
[01:30:11.679] 何があった?
[01:30:13.520] ここに住んでた友人だ。仲間にしようと思ったが蒙こに先れちまった。
[01:30:21.800] せめて埋めてやろうと思ってね。
[01:30:25.000] 少し待巻じゃねえよ。
[01:30:27.639] 知らない。あんたYouTuberだ。
[01:30:31.080] 元祖YouTuber
[01:30:32.520] 好きにしな。どうです?口の中にポテトの味が広がっておしいです。それじゃ今日はこの辺にきます。
[01:30:46.800] の名前がタれぞって名前なんだ。
[01:30:48.760] そうなんだ。セレは幸せにな。
[01:30:54.000] 仏教を知っておるのだな。
[01:30:58.600] 仲間に引き合わせるという話。
[01:31:00.080] 心を決めたか。
[01:31:01.320] うん。さてね、毒はまだ回ってるんだよな。
[01:31:04.840] ああ。しかし大事ない。仲間の元へ連れて行け。俺が皆を特進させよう。
[01:31:14.400] こりゃ参った。先は長いぞ。遅れるなよ。
[01:31:21.440] お、どこへ向かう?
[01:31:23.679] 俺たちの隠れが。勝つでは侍から。今は蒙古から守ってくれてる。
[01:31:29.480] 侍を連れることに心がかりは
[01:31:32.280] そりゃあるが人では多い方がいいだろう。隠れが気をつけな。
[01:31:38.080] 酒井の集以降侍の嫌われっぷりと来たら蛇でも歯が立たないほどだ。
[01:31:44.199] 酒井の集来だと
[01:31:45.920] あの人キルは島に秩序をもたらせると思い上がりやがった。あ
[01:31:52.840] かったか。いい連中が大勢まった。
[01:31:58.800] どちらにも火があった。
[01:31:59.679] どちらにも火があったと聞くが、
[01:32:02.280] 嘘ではないな。それがってもんだ。
[01:32:07.920] うん。昔だからそのさ、こ人のお父さんは
[01:32:10.960] この先に隠れ道がある。
[01:32:12.920] この島の族を全員あれしようとしたところだね。
[01:32:21.320] 族を全部一掃しようとしたんだね。そのそれでやられちゃったと。
[01:32:26.080] シグルチメトオどうやねん。いいよ。やっちゃうよ。やっちゃうよ。やっちゃうよ。
[01:32:53.280] バ
[01:32:55.880] 任せろ。やっちゃう。
[01:32:57.679] やるね。やっちゃう。よしよし。
[01:33:01.159] やっちゃうよ。やっちゃうよ。
[01:33:04.239] 道が塞がれておる。
[01:33:13.480] 不可いいだ。もしよそ者に見つかったら入り口を塞いでそいつらを殺す。
[01:33:14.480] 1人残らず。
[01:33:15.719] 仲間の客には観葉であれば良いが
[01:33:18.960] 楽しみにしておこう。
[01:33:20.719] 他の入り口は
[01:33:21.800] 確か海辺にだが幼い頃に使ってたもんだ。残ってるかな?
[01:33:28.560] 行ってみよう。
[01:33:32.520] 小やつはいくしたのであろうな。
[01:33:35.719] 息に渡った父の刀。猫みを襲われをきなこの
[01:33:42.239] まりの中で死んでおったぞ。
[01:33:44.520] 黙れ。
[01:33:46.159] ジ、どうした?
[01:33:47.600] いや、大たの声が聞こえた。
[01:33:51.480] 心のうちで聞こえるのか?
[01:33:53.239] ああ、俺が測らずも頭に浮かべた言葉が大たの声で。
[01:34:00.639] そりゃ辛いな。
[01:34:06.239] この道武士では見つけられるわけだな。
[01:34:09.960] かられた唯一の砦出だぜ。
[01:34:12.480] え、めちゃくちゃ綺麗。
[01:34:13.880] も見つけられまい。
[01:34:19.239] これ多分あえて本編のさ、爪に道はある。
[01:34:22.880] 渡れねえや。お侍いは言うことが違うね。
[01:34:25.639] よく滑る口だな。
[01:34:27.199] 褒めてくれんな。
[01:34:30.280] これ本編とあえて色遣い変えてんだろうな。ねえ、これさ、ちょ、今だ、未だにすごいんだけど、このアダプティブトリガーくね?めっちゃ重たくなんの、これ。
[01:34:40.440] うう。
[01:34:43.800] これは壊れるわな。そっ俺にも1つくれ。
[01:34:46.159] これはなのだ。
[01:34:49.520] お、お疲れ。きとからの
[01:34:51.880] ともからの。あ、
[01:34:56.480] やっぱ津島よ。うん。
[01:35:04.560] 楽しんでる。楽しい。え、
[01:35:07.400] ま、気にすんな。を探せ。
[01:35:13.400] ここ行くしかねえのか。
[01:35:17.320] どういう原理でトリガー重くなってんだろ
[01:35:19.920] な。すごいよね、これね。まあ通りですぐ、ま、壊れる壊れるんだよ、多分。
[01:35:29.560] そんな侍見たことないぞ。
[01:35:31.400] お主も登ってこい。
[01:35:33.159] お前来れんの?来ないんか?危ねえ。
[01:35:38.800] いやいやいやいやいやい大事なくねえよ。大事なくないよ。死んだよ。
[01:35:47.040] 死んだ。死んだよ。大事ない。笑笑
[01:35:51.920] 大事な。
[01:35:59.400] よしよしよし。で気にすんな。他を探せ。
[01:36:03.400] 笑笑。え、でも今どうすればよかったの?
[01:36:06.560] どうすればよかった?これ。
[01:36:08.080] そんな侍見たことないぞ。
[01:36:09.880] お主も登ってこい。
[01:36:11.679] どうすればよかったんだ?
[01:36:15.639] もっと早く進む。はあ。あ、大事ない。
[01:36:19.199] あと少しだ。死ぬなよ。
[01:36:20.880] いや、なんでこれなんでちょ、ちょっと間違えたら死ぬ風になってんだよ。よし。何してた今?
[01:36:33.040] 鮮やか。
[01:36:35.560] 鮮やか。どうも。あやか
[01:36:39.000] 脳子供俺たちの船を狙ってる。
[01:36:41.719] おお。
[01:36:45.000] 友人か。友人とは呼ばない。
[01:36:47.520] 仲間だ。隠れろ。
[01:36:50.199] これで4層の船が沈められた。
[01:36:57.119] ここを通れるはず。ま、
[01:37:05.159] これぐらいはさ、これぐらいは手でどかしたら良くない?これぐらいは手でどかせよ。
[01:37:06.239] ダブル。こんな近くにあんだから。
[01:37:10.119] 深とはどこであった?
[01:37:11.800] 思いがけず殿の宿で
[01:37:14.679] 境砦でか。
[01:37:16.040] ひどい飯だった。首は繋がったまま帰れたが他の客は全滅だ。
[01:37:22.880] めっちゃ落ちて
[01:37:30.280] 間もなくだ。
[01:37:31.320] こやつはの末と引き込むつもりだ。
[01:37:35.000] 殺されるぞ。愛しい父のように。
[01:37:44.679] よし。
[01:37:45.639] 門を通れば引き返すことはできない。
[01:37:48.719] え?あんた次第で俺も死ぬ。
[01:37:51.159] なんで?肝に命じておけよ。
[01:37:53.560] そっか。俺、俺は嫌われてるからな。後悔はさせん。
[01:37:56.840] いらぬ心遣いをするな。後悔はさせん。
[01:37:59.760] よし。その様子なら心配ないな。
[01:38:03.800] 離れるな。あと立ちも抜くだ。あんたは黙ってりゃいい。
[01:38:09.199] そっか。侍が来たら怒られるのか。
[01:38:14.159] 心し戻ったのか。
[01:38:24.360] そいつ侍じゃねえか。頭に伝えるから待ってろ。
[01:38:28.400] いや、俺が行く。仕事に戻れ。
[01:38:32.080] 侍悪さすんなよ。そんなそんなになんか過激な人たちじゃない。気に入られろ。そうすりゃ周りも大しくなるさ。
[01:38:41.119] もしたら
[01:38:42.599] 縛られて海に落とされたやもれば船に吊されて鳥に食われたやもたな。侍だとどうなるかね。
[01:38:52.119] 負荷ってやつがここのリーダーね。
[01:38:54.880] このものら。
[01:38:55.840] こいつらも毒をられて病んじまったんだ。
[01:39:01.000] 汚れてない布はあるかい?
[01:39:02.760] 俺の着物を咲いて
[01:39:04.360] 布にすればいい。汚れてんだろ。それ
[01:39:06.880] 来たね。負荷が待ってる。お主の家か。
[01:39:10.440] 貸してやってる。あ、不可だ。ゆゆゆと見下ろしてら。
[01:39:17.159] 天ぞ。さっさと上がってきな。
[01:39:19.320] 今行く。いいな。笑顔だ。侍の教授は忘れろ。
[01:39:24.040] 笑顔の練習。
[01:39:27.320] つで様。あ、つの声。
[01:39:35.360] どういうつもりだ?
[01:39:36.719] 全然つじゃねえじゃん。な、聞いてくれ。
[01:39:39.599] 聞くともほらなぜ侍なんかを私の家に連れたのか言い分けてみろ。
[01:39:45.639] 女戦えるやつを探してただろ。
[01:39:49.280] 強そう。私らと共に戦えるものだ。
[01:39:53.280] その首が狙いなら塔に取っておる。
[01:39:58.280] お前この侍のほいた
[01:40:02.639] そうじゃないか。
[01:40:04.199] 蒙子供はも集してきた。
[01:40:07.840] 今大ばさらに従れてしまう。
[01:40:13.119] ほきにっち
[01:40:14.280] 共に大たを倒し故郷を守ろう。力を貸してくれぬか。
[01:40:20.320] 反正ぶりに聞いた日。
[01:40:22.000] 天井お前の客だ。なんとか言え。
[01:40:25.840] 助けになるか。
[01:40:27.320] または蒙この槍に疲れるか。
[01:40:29.639] よいしょ。
[01:40:30.599] 死んだとしても侍を殺したと自慢すりゃいいさ。
[01:40:33.920] 何それ?俺たちに失うものはない。
[01:40:40.119] よし。よくわかった。お前船に酔うか?次の大風の時相掛係かりの船で蒙古のサ船を襲う。
[01:40:51.080] 仲間が命を落とす。
[01:40:52.239] これやっぱあれなんかな。
[01:40:54.440] 俺が船に乗り込み沈めて見せよ。
[01:40:57.239] このダウンロードコンテンツ女がリーダーなのが多いね。
[01:41:00.360] いや、別にいいと思うんですけど。ご抜かしてるぞ
[01:41:03.440] ね。いや、大たも女だし。
[01:41:06.920] 俺たちじゃに近づけないだろう。
[01:41:09.280] い、いいと思うんだけど。
[01:41:10.119] だが数日沖に島から出てる補給見た目と言動が元船を奪い船に乗り込めばよ。なんか別に別に何もないけど。
[01:41:13.490] [音楽]
[01:41:16.970] [笑い]
[01:41:20.679] いや、だからお前に任せる。
[01:41:23.119] 男出が欲しい。陣も含めてな。
[01:41:25.800] いいだろう。
[01:41:26.960] 補給戦は島の東に止まってる。
[01:41:29.520] いいだろ。
[01:41:30.000] 崖に囲まれ。そうだから時代だなと思って。
[01:41:33.360] 笑笑時代だなと思ってさ。
[01:41:35.960] 音に切る。
[01:41:37.960] 男女共同三角社会基本法
[01:41:49.040] ね。うん。はい。はい。はい。はい
[01:41:52.400] 。お。イエー。いいね。お、やっぱ噂が
[01:41:57.679] こっちはこっちで噂が広まるん
[01:42:00.040] 。維新の子
[01:42:06.480] 。やっぱ弓強化しないときついっすわ。
[01:42:10.960] 1度で拾えるやはりの数が倍増する。
[01:42:13.360] めちゃめちゃ強いでしょ。やっぱこれ弓矢
[01:42:16.599] なんだな、やっぱり。
[01:42:20.320] 弓矢なんだな、ここからは。ちょっと弓マジ強化しよう。
[01:42:24.080] 弓マジで強化しよう。あ、うわ、待って。なんか新しいの来てる。これあれ伝承じゃん。新しい何これ?エンジンの鎧。え、待って。新しい鎧もらえるんですけど。新しい鎧もらえるんだが。これやる。これの鎧いかもな。
[01:42:49.679] あ、でもちょっと欲しいんだけど、まずは
[01:42:51.440] ちょっとストーリー進ね。これさ、
[01:42:53.040] ストーリー進めたら帰れるようになるん
[01:42:54.800] でしょ?こっちちょっとそ、ちょっとか、
[01:42:58.599] ちょっと、ちょっと進めちゃおっか。いや
[01:43:01.440] 、サブもやりてえけどさ
[01:43:03.920] 、サブめっちゃむずいような感じすんだよ
[01:43:06.639] な
[01:43:10.280] 。そして耳を切り、鼻
[01:43:14.679] をしまるまで常な男なのさ。
[01:43:18.360] 黒の陸ってのは
[01:43:21.320] 黒の陸もやるかやってみるか。こっちは旅の丘
[01:43:28.679] 何の話だ。
[01:43:29.920] 黒手の陸かして息を苦しめた海賊の不直さが墓穴から蘇ったのですよ。
[01:43:38.639] うん。琵ほ。黒手の陸琵ほって何?
[01:43:42.239] 死んだと聞いておるが
[01:43:45.239] 作用です。柏と申します。
[01:43:46.400] わしも黒手の陸の手下だったのですよ。しかしあの夜のことは今でも夢に出てくるほど
[01:43:55.000] 詳しく聞かせてもらおう。
[01:43:57.440] 喜んですに川屋には行かれましたかな?
[01:44:05.119] ええ、もう何にどうしよう。ええ、やっちゃうか。
[01:44:15.040] かつて息に凶悪なる海賊の蝶がありました。人呼びて黒の陸。陸は人を捉えてはこりにして常に人平を下べと与えたのでございます。
[01:44:24.200] [音楽]
[01:44:32.639] 横島なる真柱へ。
[01:44:34.800] トイレよ。トイレ。
[01:44:36.960] あ、トイレが神を称えて鎧いを作りますと
[01:44:41.920] 猿神の玉が宿って猿って書いて真柱って読むの
[01:44:46.360] さすれば見たのさきで陸はたけりなおも奪いとらんと襲い続け斧が名をも帰りぬあり様でございました。
[01:44:59.199] 前黒の陸画が襲ったを開けますと中にはわ辺が
[01:45:05.840] え陸は幼子を海へ投げ捨て
[01:45:08.180] [音楽]
[01:45:10.280] バの侍の川を生きたままいだのでございます。
[01:45:14.599] やば。
[01:45:15.960] 手下は片を飲み陸の柱は川を眠る地獄のあり様。
[01:45:22.360] やば。
[01:45:24.239] それがえでしょう。
[01:45:25.960] 手下どもは強乱した頭を毒で飼うといたし
[01:45:30.679] ました。まずは胸を一つき毒で目を潰して
[01:45:37.760] それでも陸は死にません。猿神の鎧いの
[01:45:42.159] おかげでありましょうか。陸は船を燃やし
[01:45:46.760] マと共に消えました。下は燃えてとなりへ
[01:45:52.199] の船
[01:45:54.080] でこきれる前に陸は柱の鎧を息の伊豆子か
[01:45:59.920] へ隠したと
[01:46:01.800] か各手陸は音量となり今わしき黒の陸の
[01:46:07.360] 鎧いを求める勇者と愚者とを等しく歩乱と
[01:46:12.080] しておるのだそうでございます。
[01:46:15.199] さても、さて。
[01:46:19.719] ふん。お。あ、まあでぶっちゃけ新しい鎧必要かな。これ始めたのはいいけど。
[01:46:34.080] て陸の下で働いたが、
[01:46:36.199] え、手にかけたということか。
[01:46:38.080] 止めねばならんかった。言え。
[01:46:40.480] 鎧からぬまなには
[01:46:42.920] 挑んだもの。いや、今の強いんだよ。
[01:46:44.840] の音量に残らず壊れちまったようです。の何?あの打ちでさという噂もわ
[01:46:54.040] では俺が用したことは知られたなが船はどこで沈んだ?
[01:47:01.480] あの夜のことはあまり覚えとらんのです。もう
[01:47:02.480] 1
[01:47:02.599] 人生き残った船のりならばあるいは港です。
[01:47:06.960] 笑
[01:47:07.400] 糸間を見つけては筋を登ってあの時の恐怖を忘れようとしとります。
[01:47:14.239] と聞いたぞ。ご用人を猿が見とりますよ。
[01:47:18.080] 猿黙れや。猿
[01:47:21.719] 全てが見えておりますよ。
[01:47:24.840] え、そしたらさあ、いや、これ話聞いたらもうは家に正面をかけた男を殺したらしいぞ。
[01:47:32.520] 少し違うな。いつはひどく
[01:47:36.599] 聞いたのに申し訳ねえんだけどさ、俺鎧い今必要かなってちょっと思っちゃったんだよね。
[01:47:42.960] だってさ、ぶっちゃけ今の夜めちゃめちゃ
[01:47:44.840] 強ない
[01:47:48.800] ?あ、俺ワープできねえんか
[01:47:52.280] ?いや、ごめん。やっぱこっちやらすね。
[01:47:55.239] うん。なんかちょっとき鎧い鎧い。うん。
[01:47:57.760] 鎧いあんま必要ない気がするんですよね
[01:48:06.480] 。どこ、どこに、どっからこれ、これ村、
[01:48:10.080] どこからあ、ここか。
[01:48:12.119] がわからん。ああ、もうしっこしたいな。ああ、おしっこしたいな。え、何これ?何これ?何これ?
[01:48:25.800] お前の息子は柱頭のバツを受けてたぞ。
[01:48:29.840] それが手だ。
[01:48:31.119] お、ここは一通り強化あるんだね。長子の野営に近づくんじゃないよ。蒙古に奪われちまった。
[01:48:41.599] 皆は無事か?
[01:48:42.719] まあね、その代わりお坊様が連れてかれたけどでもあのお方がいいなけりゃどうせのたれじぬ。
[01:48:51.040] ご生きておればここへ連れてまろう。しばし待っておれ。
[01:48:58.480] ここは一通り強化できるんだね。やっぱ戻れねえもんな。
[01:49:07.599] 集落でのどかに過ごしてられるかよ。
[01:49:10.880] はゼを払わない。出る。出るってる。え、あ、ここにワープしてくれるんだ。ここから。あ、なるほどね。ここからワープしてくれるんだ。鳥ばの森。ば。て。
[01:49:42.760] あ、意外と近いな
[01:49:44.480] 。ああ、ま、ちょっとこんだけ近いんだっ
[01:49:48.080] たらやってもいいか。まあ、ちょ、いいや
[01:49:49.639] 。そっち向かうか、とりあえず
[01:50:03.880] 。あれ?もこか
[01:50:07.599] 。待って待って待って待って待って
[01:50:10.679] 待っ待蒙
[01:50:14.480] ちゃうか
[01:50:15.840] 。おしっこしきます。すいません
[01:50:19.159] 。おしっこしきていい?ごめん。おしっこ
[01:50:22.280] したい
[01:50:23.400] 。よいしょ
[01:50:28.760] 。何時?もう1時間早えな。そんな結界
[01:50:32.239] 新寸前までもう
[01:50:35.560] 引っかよ。
[01:50:41.320] なんでそんな結界すんじば我慢しないんだよ。
[01:50:45.920] 怖い。
[01:50:57.239] 推しがま
[01:51:26.679] か。
[01:51:56.239] い。よしょ。よいしょ。あ、これ
[01:52:01.159] フットレストがさ、出してるとこの座り
[01:52:04.280] にくいんだよね。座立ったり座ったりする
[01:52:06.560] のだからちょっとめんどくさい。え、
[01:52:08.920] よいしょ。よいしょ。はい。どうも
[01:52:12.760] 。よいしょ。
[01:52:25.360] けり
[01:52:26.719] あでまゲームに熱心の時はおしっこも早いね。帰ってくんのがね。よし。ほい。もう一気打ちしていいんだけどな。別に。あ、敵じゃないんかい。しかもこれ敵じゃないんだ。
[01:52:51.159] なんだその顔は?亡霊でも見たのかよ。夕べ。
[01:52:55.360] 海敵じゃないんだね。
[01:52:57.320] 冬に船が現れて俺たちに日の屋を度も放ったんだ。故郷も何もかも失ってしまった。
[01:53:04.960] 無いな。故郷はどこだ?
[01:53:07.800] 西の海辺の中ほど気をつけろ。奴らは人と見れば襲うぞ。
[01:53:11.830] [音楽]
[01:53:13.040] ここにおれ様子を探ってこよう。
[01:53:16.000] いや、サブク駅めっちゃ発生してるんですけど。
[01:53:20.639] これほど早く灯をいたやつはこれまでなかったそうだ。
[01:53:24.800] 弓を扱う姿見たことないぞ。
[01:53:28.040] 熊から家族を救った時に腕を怪我したからな。
[01:53:31.520] あさがその誰よりも早く路を抜く男さん。
[01:53:35.920] はいはい。
[01:53:36.719] 弓の修行みたいなは多分いろんなとこにあんだよね。多分ね。
[01:53:40.400] あそこにしかないのかな?
[01:53:53.920] こっちか?あれ?あれ?蒙古じゃん。絶対。うわ、犬。だる。
[01:54:11.560] 慎重に勝負。犬だ。ありんだよな。
[01:54:19.679] おい。おほ。
[01:54:39.639] オッケー。あとはオーか。
[01:54:43.800] 戦いの後でもなお
[01:54:46.360] なんと美しいことか。
[01:54:48.960] 何これ?これ何?
[01:54:51.599] あ、え、まるで母上に笛をったところだ。
[01:54:56.119] これ何これ?てあ、あれ?これ何?死体行ってさ、欠損するの?今腕切れてたよね。あ、びっくりした。
[01:55:08.239] 母上は今日の館を当たり歩くという猫の話を愉快そうにしておった。
[01:55:15.320] 一戦したら腕飛ぶ。
[01:55:16.880] あ、そうなんだ。え、調べに合わせてこ何?おい、なんだこれ?ビートセーバーみてな。なんだこれ?これ何これ?めっちゃむずいし。
[01:55:21.960] [笑い]
[01:55:30.560] 急に笑笑。何これ
[01:55:34.560] ?おほおほほ。何これ
[01:55:40.560] ?新しいゲーム始まったんだけど
[01:55:45.880] 。あ、可愛い
[01:55:50.520] 。何これ?これ何なの?これ新しい様子
[01:55:55.159] 。
[01:55:56.239] 色々なことを教わったが時期に剣の稽古が始まった。母上は俺の手を引いて剣士の道場へ通ったが稽古させたくなかったと思う。
[01:56:09.719] ああ、
[01:56:14.760] 猫神の狩料の5
[01:56:15.920] フ連中遠くの敵を内で倒せるはめっちゃ強く。
[01:56:22.000] え、何それ?めちゃめちゃ強くない?遠くの敵をく内で倒す。
[01:56:25.960] やっべえ。
[01:56:42.119] あ、えっと連殺。うんと、だから連中に遠くの敵も区内で巻き込めるってことか。ああね。あ、またしかも強化されるんだ。何これ?
[01:56:43.119] 5歩の強化がこれできるようになるんだね。いや、でもさ、難しいよ。
[01:56:51.920] 難しいよ、これ。
[01:56:54.440] 範囲狭かったもんね、連殺。
[01:56:59.430] [音楽]
[01:57:13.239] そう、そう、そう、そう、そう。遠くまで行けるようになるんだ。うーん。ただこのね、このね、あの大きなさ、大きなこの悟をさ、何使うかって結構悩むんだよね。内の的数が
[01:57:14.239] 2
[01:57:14.440] つ増える。これもめちゃめちゃ強いしね。
[01:57:18.840] ちょ、これちょっとこれやってみるか
[01:57:21.360] 。連中に遠くの敵を
[01:57:29.719] 強いことあんの
[01:57:40.000] ?うーん
[01:57:41.840] 。
[01:57:42.880] この息の島のこの追加要素みたいな感じか。あの白い木のとこなんか絶対あるだろ。
[01:58:06.760] 絶対あの木のとこに案内してるな、この鳥。おい、蒙こいる。蒙こいるな。
[01:58:07.760] Zなんか苦の記憶。
[01:58:10.159] 何それ?え?
[01:58:13.440] うん。思い出す。ここはサだった。
