[00:00:14.599] どりゃ
[00:44:33.319] でしょほとんど僕が作ったんじゃん
[00:44:36.520] まあまあまあ早く直してファンに返事書い
[00:44:38.839] てよねあなるほどねあのファンレターの
[00:44:43.720] 返事を弟に書かせるん
[00:44:46.160] だ事務所がやれよそれは事務所がやれよ
[00:44:59.559] あ出かけるんだねちゃん
[00:45:05.000] ね買い物だっ
[00:45:08.920] けうお疲れおお疲れねえね買い物行くの
[00:45:14.240] そうだ
[00:45:15.079] けど帰りは
[00:45:17.960] 何時多分夜あまた返事サボるきちゃんとや
[00:45:22.800] るってならいいわ
[00:45:28.119] 何何何
[00:45:31.440] なんてまあい感ぶっ込むとハートが
[00:45:34.720] いっぱい出ていいねやっぱこれが大事だよ
[00:45:37.559] な最初の方なんかなめっちゃ辛かったもん
[00:45:40.559] なドクばっか出
[00:45:42.400] てあのマジあのなんだバンドマンとさどう
[00:45:46.640] しよもない女のさカップルもくそつわド
[00:45:50.200] しか出さね満でやってて半分持ってかれた
[00:45:53.839] からな半分じゃね俺のすだって100%
[00:45:57.480] だったテンション50まで下がってたから
[00:45:59.359] などうしろっつんだ
[00:46:04.119] あれ差がすごいあいついるよなでもあい
[00:46:07.760] やつないるのよまい
[00:46:13.839] かどこに出かけたん
[00:46:24.640] だどこに出かけたんだろう
[00:46:38.520] マテリアルああブティあ起こせるじゃん
[00:46:42.280] これああの変態野郎が来てるわ変態野郎が
[00:46:46.760] 来
[00:46:47.960] てるおはよう久しぶりあ友達って言ってた
[00:46:50.839] ね玉
[00:46:52.800] きごめん忙しくてさあの2人起こしてくん
[00:46:56.200] ねえか
[00:46:58.200] 最近テレビで見ないけどもうなんか買っ
[00:47:00.960] たちのアドバイス持ってきたん
[00:47:05.200] だこんな演技を今日で最後よ何何何下だき
[00:47:09.520] はもしかしてこれ吉田恵のことめっちゃ
[00:47:12.000] 嫌いとかうわ女っぺいいな多分なんか下玉
[00:47:17.760] これうざうぜえんだろうな実際れじゃん
[00:47:21.040] いいねいや大丈夫これちょっと次ハート出
[00:47:24.119] たらいやでもあれだよな
[00:47:28.280] 起こして欲しいな起こさ
[00:47:37.520] ないこいついい乳してんな救い上げように
[00:47:42.200] してこうなんでエロいエロキャラクター
[00:47:44.920] しかこの兵がええのんかうわ気持ち悪い
[00:47:47.559] 最低ほれほれ声出してもいいんだ
[00:47:50.119] きし何あいつやばいよ
[00:47:52.599] 絶対やばいよだってマネのおっぱいも
[00:47:57.359] あいつすごいよ
[00:47:59.599] あんた変な男が見
[00:48:03.040] てるニヤニヤしてる
[00:48:12.119] けどシンプル通報案件これさあの2人
[00:48:17.040] 起こせねえのか
[00:48:19.920] なあんたすごいよえ何この人とにかく魅力
[00:48:25.520] 的だねそそうか
[00:48:28.359] な女
[00:48:30.880] 最高女
[00:48:33.839] 最高笑笑女最高ですちょろ
[00:48:38.200] すぎねえねカフェ
[00:48:40.920] 行こうそうねうわカフェでお話しようよ
[00:48:46.079] うんそうねうわ下だきちょうど私も話ある
[00:48:49.240] しうわ何あそれはまあカフェ行ってから
[00:48:52.440] うわなんか玉がさ多分玉はこのアイルで上
[00:48:58.040] から目線で来るこの吉田吉田恵が嫌いなん
[00:49:02.160] だよぶち切れられてほしいなんかがっつり
[00:49:05.319] 来そうべっくり切れられそうな気が
[00:49:11.119] する食べ近いな隣り
[00:49:21.119] かおもえじゃんいいねおもろいなおもろい
[00:49:25.880] シナリオがいっぱい
[00:49:31.640] おもろいいですよやっぱキャラクター
[00:49:35.240] いっぱい起きてくるといい
[00:49:47.839] ねレッドウッドカフェ夕方
[00:49:54.200] ですいなド出そうな気がすんばい
[00:50:08.799] なああ買い物楽しかっ
[00:50:12.520] た衝動外出になっちゃったああ疲れたから
[00:50:16.920] ゆっくりコーヒーでも
[00:50:24.359] 飲もうなんだどっちが切り出すんだよあ何
[00:50:29.040] あタバコ吸ってる
[00:50:31.880] 素敵あの女の人こっち見てあ出たもこれは
[00:50:35.200] もうなんか何にもないあどどまの秀明
[00:50:38.640] じゃんえ何ですかうりしちゃうえなんで
[00:50:44.599] お前ドク出すんだよ
[00:50:47.319] 喜べよえなんでこいつドクロ出すのキモい
[00:50:52.280] な褒めるのもこういうことあるんだな褒め
[00:50:54.839] てもあんま喜ばない人あれか
[00:50:58.319] あんまり彼女以外はでねテレビ局の
[00:51:01.720] スタジオでねうんうんどうなったのねどう
[00:51:04.480] なったのけなされたいんやろそういうこと
[00:51:06.599] かふんあメールふんふん
[00:51:10.040] あははちょっと待ってねもう続き聞かせて
[00:51:13.760] よなんだこのクソたいもないクソたいも
[00:51:18.799] ないやり取りなんだ
[00:51:23.599] これでなんだっけなんで逆宇になるとすぐ
[00:51:27.880] これだお疲れおお疲れいや逆立ちすんの
[00:51:32.119] あいつボクサーだからもう働きながら
[00:51:34.160] 筋トレですよね
[00:51:39.319] ちえ何面白い話あいつかそうそうそうどう
[00:51:43.839] して私を古文扱いする
[00:51:45.920] の言いましたねえ何言ってる
[00:51:49.640] のいやだから
[00:51:52.160] その分て当然じゃないうわゴミだそうよあ
[00:51:57.960] 何言ってんのかしら
[00:51:59.920] 私アイドルの分だよ幸せ者ねマきったら
[00:52:06.000] うわあナチュラルクズ
[00:52:14.200] だもっと言ったれや買い物超楽しかった
[00:52:17.440] もういいからそれ
[00:52:19.200] はそろそろ帰ろうさえ心配だしえ何なんか
[00:52:23.319] まき私帰るわ
[00:52:26.920] うわおしかもお金もあれじゃんお金払わ
[00:52:32.880] ないん
[00:52:34.839] だえ多分あれだろうなこれ
[00:52:39.079] あのあっちの女の子側の目線でやれば
[00:52:42.079] なんか変わりそうな気が
[00:52:46.440] するで夜は多分さあれが来るぞあのなん
[00:52:51.000] だっけ
[00:52:56.760] あれ夜って来ないんだっけなんだっけ
[00:53:00.960] あの戸塚君は夕方かちょうどいねえ時に来
[00:53:04.160] てたんか
[00:53:13.480] なロードが長いんですよ
[00:53:20.280] ねクソカクカク
[00:53:24.720] 谷グラかな多分でかいなあ多分でかいん
[00:53:29.760] だろうな
[00:53:31.839] くそくそカクカク谷ま
[00:53:35.960] だちょっとなんか顔もぽっちゃりしてるし
[00:53:38.599] ねなんかそういう売り方してそうなんか
[00:53:41.359] さすがにこれはなD
[00:53:44.920] はるこのポリゴンのおっぱいで大きさ
[00:53:47.559] 見抜けるのお
[00:53:52.559] 猫え何出かけんのえあああ
[00:53:57.799] 新庄介来た道に迷ってしまってのうん道に
[00:54:03.280] ねそれより上水器いらんかい上水器別に
[00:54:07.000] 欲しく
[00:54:07.920] ないうん他行くかのよくわかんないけど
[00:54:12.000] 頑張ってねお元気100倍じゃここで
[00:54:16.000] 繋がるんだなただちょっとここでい感を
[00:54:18.799] 使うかい感にまえるかどうかちょっと
[00:54:21.480] 難しい
[00:54:25.359] なここ50ステイでもいいかもなこれさ夜
[00:54:29.920] にい感作っちゃうとさやばい夜ああいっ
[00:54:34.559] かあま夜にい感作るとさ
[00:54:39.079] うわ次の初期値が低くなるんだよ
[00:54:43.720] ね次のさ朝一キャラクター起こすとかがさ
[00:54:48.119] できなくなっちゃうんだ
[00:54:49.720] よあんま夜にい感作りたくねえんだよなま
[00:54:54.240] あのこんだけあればいいか
[00:54:58.280] 水希さんのことで頭がいっぱいです
[00:55:00.640] いっぱいいっぱいだよ俺
[00:55:03.559] はお前ド出すな
[00:55:06.520] よ哀れだなこいつら僕が返事書いてるの
[00:55:13.799] にあんたちゃんと返事書いてたのもう少し
[00:55:18.440] ちゃんと読んで返信してるから
[00:55:21.280] えらえらい私明日朝食食べてよしなんだ
[00:55:25.559] それ
[00:55:30.160] もうちょっとハート出してくれ弟不便
[00:55:32.559] すぎるかわいそすぎるマジ
[00:55:36.799] でまちょ両親がいないところを見ると
[00:55:39.640] ちょっとまた来たまた来たよ震動お前
[00:55:43.440] さっき来たばっかじゃねえかよ笑笑得すぎ
[00:55:47.400] んだろこいつあ家入ってきた上水売ってる
[00:55:50.200] んじゃがさっき来た
[00:55:53.000] じゃんお願いします買ってください
[00:55:59.359] 買ってくれんと
[00:56:01.079] わし勉強掃除したら考えてあげるわ掃除
[00:56:04.079] すればいいのか
[00:56:07.079] いうわ掃除するんだ偉いなよしやるぞあ
[00:56:11.559] 頑張ってください
[00:56:14.359] か浄水器のために頑張る
[00:56:17.359] ぞご苦労様
[00:56:20.839] ですよしこれで考えるって言っただけだし
[00:56:24.920] な買うとは言ってねえからな
[00:56:29.000] 終わりますた浄水器
[00:56:30.839] をよくやったわねえ買ったけうわ
[00:56:37.760] でっかだからこれからも掃除よろしく
[00:56:40.880] ねま金はあるんだろうな金はあるんだろう
[00:56:44.480] な多分な金はあるんだろ良かったじゃん三
[00:56:47.559] 介1個売れたじゃんまさかの笑帰れよ
[00:56:52.599] あいつあいつ何普通にこの家でくいんだ
[00:56:56.319] 掃除してる掃除してるあやべ倒れた倒れた
[00:57:02.440] やばいくさんこんばんはあさえどうしたの
[00:57:06.359] お前のせいだろうか
[00:57:08.680] あらさえしっかりいやこれ全部すああ
[00:57:12.599] ごめん大丈夫
[00:57:16.799] これまずいよ私のベッドで休んでいいよえ
[00:57:21.760] 本当
[00:57:22.799] にベッドないんだこの子かわいそすぎる
[00:57:26.480] 今日だけ特別に
[00:57:32.039] ね本当にいいのか
[00:57:40.000] なほら薬飲んでから寝なさいよ優しい
[00:57:43.640] じゃん優しいじゃんていうかそんくらいし
[00:57:45.880] てやってくれような姉ちゃん
[00:57:53.119] ありがとういつまでいるんだよこいつは
[00:57:57.240] 姉ちゃんが優しくしてくれるなんては
[00:58:04.520] 見
[00:58:06.039] 号ゲームとお姉ちゃんて仲良いんだっけは
[00:58:10.520] 今日編成会いましたこれ
[00:58:14.319] 何何の音
[00:58:16.440] これ何の音15方は見れまし
[00:58:22.160] たえこ何の
[00:58:28.119] ゲームの音
[00:58:29.880] これは
[00:58:32.160] 編何これこちょっと待ってねあゲームの音
[00:58:37.079] たなんだそれゲーム内のテレビゲームの
[00:58:40.480] テレビなんでここだけここだけフルボイス
[00:58:43.480] なんだよなんでなんでゲーム内のテレビ
[00:58:47.079] だけフルボイスなんだよ他のやつ汚ねえ
[00:58:49.640] 動物の森みたいな声なの
[00:58:53.280] になんか怖びっくりしたなんか
[00:58:57.880] 新藤京介は帰れびっくりちゃま
[00:59:02.480] びっくりここに金つぎ込んだのかもよあえ
[00:59:06.920] もやるキャラすおっぱい
[00:59:11.240] でっか
[00:59:13.920] ええめちゃ出るやんめっちゃ出るやんもう
[00:59:18.640] 多分キャラクターが起きてきてるから多分
[00:59:22.039] もう関わるキャラクターが全員起きてる
[00:59:23.960] から分出やすいんだろうねびっくりマーク
[00:59:29.599] が結構最高な1日更新してるねあなほうん
[00:59:34.079] あ
[00:59:41.160] なほこはすごく楽しかった最高ね久しぶり
[00:59:44.240] のオフ満喫しちゃっ
[00:59:53.920] たあと23人
[00:59:59.760] とか来なかったね
[01:00:02.000] 多分お姉ちゃんがいない夕方とかに来るん
[01:00:04.880] だろう
[01:00:05.920] な夕方とかに来るんだよいない時に来るん
[01:00:15.680] だえ次どこ行こうか
[01:00:22.119] な
[01:00:24.240] うんのが凍結されたそうなんだよ
[01:00:27.799] TwitterがTwitterが凍結さ
[01:00:29.160] れたゼもこんばんはうーんあのさ
[01:00:33.720] ブティック2人固まってたんだよなあれ
[01:00:36.559] 起こしたいよ
[01:00:38.520] ね2人起こせるのでかく
[01:00:46.599] ない全員おこせ確かに2人起こせるの
[01:00:50.559] でかいんだよ
[01:00:52.640] な泉田泉田みゆ
[01:00:57.200] 泉田も結構俺気になってるんだよな泉田
[01:01:02.079] 21歳出版社社員正し方あの潰れそうな
[01:01:05.680] 出版者
[01:01:06.720] な最高なあなってないなってないなって
[01:01:09.599] ないこんばんはなってないけどそろそろ
[01:01:11.440] なるんじゃないあれもう1回やったらえ
[01:01:13.599] 地味な会社員と羽ホステスの二重生活を
[01:01:16.079] 送る社長小とは愛人関係金払いの悪さに
[01:01:21.039] 不満を持ち新しいパトロンを探している
[01:01:23.000] 面白そうです
[01:01:24.200] ねえなえ地味なオのOLの顔の裏に派手な
[01:01:28.079] ホステスの顔を持つ顔あれじゃない福好
[01:01:31.039] きってことはもしかしたら行くんじゃない
[01:01:32.880] ブティック行くんじゃないかあ行かねえわ
[01:01:37.319] これでね分かるのよこれであのどこ行くか
[01:01:39.599] 分かるんだよコポみコポ三宅新中出版え
[01:01:44.880] 居酒屋いいのかなキャバクラモンロもう
[01:01:46.920] みんな起きてるなこれ多分やったこれやっ
[01:01:49.559] たら多分最高の1日になると思うみんな
[01:01:52.319] 起きてるから行く先々が
[01:01:56.039] あー面白そうであるなこれでさ見たらさ
[01:01:58.799] 分かるんだな多分
[01:02:07.400] な
[01:02:09.720] そがそがそがけそがひ小学生性格はく面倒
[01:02:16.039] みがいいえ年代別世界選手権で優勝できる
[01:02:20.079] ほどの空手の勇断者えー日々終電修練に4
[01:02:25.279] 年がないえ小学校では女子グループの
[01:02:27.640] リーダーガキ大将のえ斎藤優太と対立して
[01:02:30.799] いる
[01:02:32.599] うんちょっとここあれなんじゃないかな
[01:02:37.279] ここ起こせるんじゃないここ3人家族
[01:02:40.200] ちょっと行ってみるかなんで初期値がもう
[01:02:42.839] ハッピーエナジー100だぞ化け物
[01:02:46.839] かちょっとこれハートない時に行きてえ
[01:02:52.200] なす続けるとれにれた妻う娘にカをかぶっ
[01:02:57.359] た息子面白そうだな面白そうな一家だな
[01:03:02.200] ここもなただここはちょっとハートがない
[01:03:04.319] 時に
[01:03:07.359] 行こうさ1回ちょっと待っ
[01:03:12.599] てババ服す行ってみるババ
[01:03:18.000] 服ババケちょっと最高な1日見てえよな
[01:03:23.119] ババケの最高な1日見たくない
[01:03:26.279] ババ福42歳無職性格極めて平打で無力
[01:03:29.920] テレビすら自分ではつけないほど一切
[01:03:31.960] 動こうともまた働こうともしない全ての
[01:03:33.920] 家事仕事は息子たちにやらせ自分は寝て
[01:03:36.559] ばかりいるこいつの1日の行動を見てみ
[01:03:40.200] ましょうこいつの1日の行動見てくれ朝
[01:03:43.480] ババケ昼ババケ夕方ババケ夜ババケ
[01:03:48.039] です地獄かもな
[01:03:50.599] 笑笑1番の地獄かも
[01:03:54.279] なこが地獄かも動かないからねえどう
[01:03:59.359] しようかなやってみようかな
[01:04:02.839] ババケ俺今ハート結構あるやんハートもう
[01:04:07.480] 満タンなんだよこいつ多分ドク出しそうだ
[01:04:11.000] から行ってみるかちょっとババケ行ってみ
[01:04:14.599] ますか俺こいつの最高の1日見たいわ
[01:04:18.079] ババケの
[01:04:22.920] やっぱりちょっと行ってみるか
[01:04:26.640] やっぱババ君はね最高の1日にしてやり
[01:04:29.720] てえよ
[01:04:35.079] なた出なくなる
[01:04:54.440] のもキャラクターとか誰もいないもんね
[01:04:57.279] だってこれ
[01:04:58.799] ねババふす朝
[01:05:04.920] ババケ一応寝床があるん
[01:05:11.480] だなんかうんおいなんでおが服すぎだけ
[01:05:16.880] 待ってなんで親2人は布団があって子供
[01:05:20.760] 2人はねえゴキブいるわ朝かあお母さんも
[01:05:25.359] いる
[01:05:26.720] なんか起きる気しねえんだよ
[01:05:30.279] な殺人現場みたいな
[01:05:34.079] 畳孤独し畳み
[01:05:41.119] やこんなやつにイ感使えたかねえけど
[01:05:44.359] なあ気分いいよな父ちゃんどうしたのかな
[01:05:49.000] 気分いいぜずっとこっち見
[01:05:53.079] てこれはじなんかニコニコし
[01:06:00.200] てるどうしたんだろうこれ褒めるぞ多分
[01:06:02.839] 意味も
[01:06:05.200] なく一郎お前はいいやつだ父ちゃんどうし
[01:06:09.039] たの急に思わず歩いちまうほど
[01:06:14.000] いい思わず歩いちまうぐらいいいよお前は
[01:06:17.880] 思わず歩いちまう
[01:06:20.520] ぐらい思わず歩いちないぐらいいい息子だ
[01:06:23.400] ぜ
[01:06:26.000] こんなおいだこの先うちてどうなんの
[01:06:28.920] かしらあなるようになるんじゃねえのあ
[01:06:33.160] ババ君朝ご飯タイムです水道水いい加減
[01:06:36.000] 貧乏も長いしさ大丈夫大丈夫だっっ
[01:06:38.960] て何が大丈夫なのよガキどがなんとかして
[01:06:43.039] くれらできらそうねきっとそうよねゴミ
[01:06:48.039] すぎるゴミすぎるお前らマジくばれよクズ
[01:06:53.279] ネグレクト逮捕されろ
[01:06:59.599] めくいつも済まねえ
[01:07:03.400] な何よいきなりそんな
[01:07:06.119] ことお腹空いてるほらバ君がパンをあげて
[01:07:09.400] ます横でお前には感謝してんだよあんたも
[01:07:11.799] そんな気になるんだねでりって頼みがある
[01:07:15.039] んだがどうせ金だろ何結局そのごりなわけ
[01:07:18.839] 小遣いくんねえ
[01:07:21.359] かあるわけないでしょそんなお金
[01:07:30.480] 終わってるこの
[01:07:35.960] 家今日はなんか体が軽いぜで一応体操でも
[01:07:40.720] してみるかのか持ちなんじゃないこれでも
[01:07:44.520] 一応廃墟とかに住んてんじゃないのわかん
[01:07:47.039] ない
[01:07:48.480] けどでも今日はゴネ決めたしなあ病院学校
[01:07:53.039] 行たこれ下の子が100万てあ多分夜持っ
[01:07:56.200] てくるんじゃないあのなんだっけあの作家
[01:07:58.920] の先生と会ってるから
[01:08:01.240] ね作家の先生から100万もらうから
[01:08:04.680] なひしみたいだ
[01:08:07.680] なドイツ人の家ね
[01:08:20.719] うん石食うからね
[01:08:23.719] ドイツ人うまいうまいつってボリボリボリ
[01:08:26.440] つって石食ってるから石食ってうんこが硬
[01:08:29.279] すぎてあのあのコテが浣腸したら抜けなく
[01:08:33.400] なってさズバーって抜いたら石のうんちで
[01:08:36.080] それでなんかこう人のこと叩いてなんか
[01:08:38.520] 戦うみたいなあった
[01:08:42.040] な信じてくれ本当にあったんだよそれが
[01:08:45.960] どんな世界だよ笑笑本当にあったんだよ
[01:08:49.239] そういう話
[01:08:51.359] が最高の漫画
[01:08:56.040] 結婚なんかするんじゃなかったわ家に
[01:08:57.759] 転がり込んだのお前だろう
[01:08:59.640] があの時は仕方なかったなようわなんか
[01:09:03.400] 重い話してるお前が勝手に来たお前が悪い
[01:09:06.319] んだ
[01:09:09.199] よわここえこいつからもまこいつは俺
[01:09:12.440] あんま助けたくねえないよお腹
[01:09:17.640] 元気ばばさんちに家庭訪問す
[01:09:21.799] よお父さんをいじっちゃおいじっても何も
[01:09:24.679] 出てこねえぞこいつ1日寝てるだけだもん
[01:09:27.199] ミュージック
[01:09:31.640] スタポいてえな
[01:09:36.799] おいお父さんあんた
[01:09:39.319] 幸せまある意味幸せかも
[01:09:42.920] な子供に苦労させんなよいやいいこと言う
[01:09:47.880] まさにその
[01:09:52.199] 通りいやこれ早えんだろうなまた
[01:09:55.840] 今回ばかりは正論いいやつじゃねえ早いん
[01:09:59.040] だろうな俺またいい感使わねえ
[01:10:03.800] と
[01:10:07.360] はやお前となんか戦ってられる
[01:10:11.640] かま朝出てくれればもう別に何も後はもう
[01:10:16.040] あはもう別
[01:10:18.280] に朝出てくれたらね別
[01:10:24.320] に
[01:10:34.880] り気分いいよなめっちゃ気分いいや
[01:10:39.480] んコピめっちゃ褒める
[01:10:42.760] や変にニコニコしてる
[01:10:46.600] し気持ち悪いわ
[01:10:52.640] ねありがとう
[01:10:55.440] たお前マジで思わず歩いちまうぐらいいい
[01:10:58.480] 女房だ
[01:11:00.120] ぜとにかくありがとよちょっと嬉しくなっ
[01:11:03.800] ちゃうわねおおやっぱりさいい感ぶっ込む
[01:11:09.199] となんか
[01:11:10.760] すごい途端にぬるゲーモードになるあんた
[01:11:13.679] うちの店で働いてみないええなんだ
[01:11:20.000] それ私からは店のままに引くからさ働くの
[01:11:23.600] 面倒だな
[01:11:25.760] 人が優しくすりゃつけやがってなんだよ
[01:11:27.960] やる気が無理だろこいつ働けねえだろまだ
[01:11:31.960] 働かない
[01:11:33.600] 気うるせえババーだ
[01:11:39.600] ぜねあんた今度久しぶりにさああなんだ
[01:11:47.480] よ散歩にでも行ってみない俺いいじゃない
[01:11:50.639] 行けよ
[01:11:52.679] 行けよなんか昔思い出したくてさなんだ
[01:11:56.080] うえちょなんで
[01:11:58.000] 行けよ誰がババーですっ
[01:12:01.040] てババーだ
[01:12:06.159] けどいや行けばいいじゃん
[01:12:09.360] ねああホステスに行くのかしらキャバクラ
[01:12:14.280] に行くのか
[01:12:16.480] な雑巾がけでもしてみるか待て雑巾がけし
[01:12:21.400] そうだぞ
[01:12:22.679] こいつ掃除でもするか
[01:12:25.920] でもやっぱめんどくせえな
[01:12:30.239] お働きに出ましたお母さん
[01:12:36.400] も本当に動かないんだろうなこいつ金の
[01:12:40.920] 場所知らなさそう
[01:13:00.960] 俺もさ配信で初めてあの料理配信した時に
[01:13:06.239] 自分地に調理器具が何やるか理解してない
[01:13:09.320] のなんでだよって言われてまさか女でも
[01:13:11.320] いいのかって言われたけど普通に何も
[01:13:13.800] お母さんが買ってきたやつとがどこに
[01:13:15.520] しまったかわかんない
[01:13:17.280] けど雑巾の場所も知りませ
[01:13:22.280] ん笑笑
[01:13:27.360] 自分の家なのにあれこれあんじゃんとか
[01:13:31.360] つってあボールあるじゃん持ってる必要
[01:13:35.040] ないじゃんそう持ってる必要
[01:13:39.120] ない一応あった方がいいつ持ってきてくれ
[01:13:41.719] たんだよどっかにバンバンバンてしまって
[01:13:44.440] 全然使わない
[01:13:50.760] まんまそう夕方になった頃かし
[01:13:55.159] 点ってとこだななんで夕方で折り返し地点
[01:13:58.159] な
[01:14:02.560] んまだまだ動かず頑張れるな動かないこと
[01:14:06.360] を頑張るんだねダメダメダメダめいたお今
[01:14:09.840] すごいアイデアがこれならオマン長者
[01:14:12.880] 間違い
[01:14:17.679] ない何を見させられてんの俺がでどんな
[01:14:21.440] アイデアだっけちょっと
[01:14:25.159] マジでこれみんなのいない間にでも掃除し
[01:14:29.480] ておいたらびっくりするかいいじゃん
[01:14:31.239] しよう
[01:14:37.400] よ面倒だし一郎にやらせるか本当ごこなん
[01:14:43.080] なんなんなの
[01:14:44.639] これ何この何も本当に何もない
[01:14:48.639] じゃん本当に何も起きねえんだ
[01:15:02.320] 勝手にハート出して勝手にハート減らす
[01:15:05.360] よくわからん
[01:15:07.320] パート何もこいつに誰も何も干渉してない
[01:15:10.880] じゃんババケに光をババケ終わってるよな
[01:15:15.440] 本当になこれ
[01:15:18.520] なババクよ
[01:15:32.360] あお母さん帰ってきてん
[01:15:38.920] のこれても喉が乾いたな今日は動かでも
[01:15:43.880] 動かないって今日は決めたん
[01:15:49.600] だ水を飲むことも我慢多少のことじゃ動か
[01:15:53.080] ないぜ何なんだよそれ
[01:16:08.960] お気分いいよななんこいつ本当に何の
[01:16:14.320] イベントもなさすぎて毎回褒めるな誰かが
[01:16:17.040] いたらもうこれしかないんだろうなこいつ
[01:16:18.800] やることが誰も関わってこないし
[01:16:21.760] キャラクター
[01:16:27.719] いいよこれ見たよ
[01:16:36.520] さっきうわなんかマジハートがめっちゃ
[01:16:41.120] なんかあえあなんか今なんか兄弟が今
[01:16:44.520] 抱き合ってたぞなんか今兄弟が抱き合って
[01:16:47.960] たのなんだ兄弟がなんか今うわあっ
[01:16:52.040] てとうちゃんあおね
[01:16:57.880] なんだ
[01:17:01.320] 次郎僕知立の小学校へ行きたいはあ
[01:17:07.800] 立もえちゃんと同じ学校に行きたいのどこ
[01:17:11.960] にそんなでかいよ
[01:17:15.000] が自分で稼いでいく
[01:17:18.679] よまあせいぜい頑張れや
[01:17:34.760] あさてたまには料理で
[01:17:37.639] うええ小学生だから特待とかない
[01:17:41.719] えなんでかいなんでそでかいドを出すんだ
[01:17:46.400] よ最後に母ちゃんの料理なんて僕食べた
[01:17:49.920] ことない食べたことないんだ4歳なのに
[01:17:53.120] 生まれ20年ぶりぐらいか
[01:17:55.960] じゃお兄ちゃんも食べたことねえじゃねえ
[01:17:57.440] かじゃ一郎も食べたことねえ20
[01:18:01.280] 歳作れるんはいよお待たせえー何
[01:18:08.199] なんかなんかなんかなんかで
[01:18:13.120] もまともなご飯
[01:18:16.040] だ兄ちゃんこれ魚だ
[01:18:20.880] よ兄ちゃんこれ魚お前この料理どうしたん
[01:18:24.320] だ
[01:18:25.480] ベイのちくわのせ実は居酒屋での残り物な
[01:18:28.960] の
[01:18:29.719] よもらってきてね通りでうまいと思った
[01:18:33.120] 料理したわけじゃないんだ焼き鳥って
[01:18:35.760] おいしい
[01:18:39.159] な光見えてきた
[01:18:41.760] かこの肉じゃがもうめえ
[01:18:45.639] ぜやっぱ家族で食事は最えなんかいいいい
[01:18:49.320] ぞなんかつましい小さなあネたこんとに
[01:18:55.360] 住んなんか久々
[01:18:57.239] に家族の段落もいい
[01:19:05.600] な俺も仕事探して
[01:19:09.880] ええ今日は本当にいい1日だったぜえお
[01:19:14.520] なんかこれ俺今も怖いよ今もう来そうな気
[01:19:17.000] がするああ怖い来る来そうな気がする来る
[01:19:21.320] 来るまさかか
[01:19:24.880] こんなのでもうなんかもうこれもうだって
[01:19:27.600] もうこれば
[01:19:29.639] ええもっと幸せになれるだろう
[01:19:34.080] が来るんか
[01:19:36.120] いブーちゃんブーちゃんブーちゃんここ
[01:19:39.840] からだろう
[01:19:41.000] がえこれもしかしてババ君とかくそ親父
[01:19:44.960] 働けババ君ももしかしてこれが1番ベス
[01:19:48.840] トってことかなババ君はババ君でいい1日
[01:19:52.440] があるはずだよね多分これ別だよならしい
[01:19:56.840] 絵ふう今日のゴネは最高だこんな幸さゴネ
[01:20:01.719] があったんだ
[01:20:05.040] な何も解決してない何も解決してないし誰
[01:20:10.239] も起こしてない誰も起こしてないなんて
[01:20:14.400] 生産性のない男なん
[01:20:21.639] だ1回セーブ入れとくか
[01:20:25.560] セーブなげえから毎回毎回セーブしてたら
[01:20:27.639] さ結構時間食うんだよマジでセーブなげえ
[01:20:31.080] この
[01:20:33.360] ゲーム100人分のデータがこうセーブさ
[01:20:37.080] れるんだろう
[01:20:41.199] な長いじセーブ
[01:20:46.000] が家族ランキング作ろう家族ランキング誰
[01:20:50.679] が一番いいか
[01:20:55.520] じゃない星はいいよいい家族でしょもろは
[01:21:01.000] 星全員やっ
[01:21:02.800] た全員やったよなかった全員ももこやった
[01:21:09.639] えクやったやったすやったお母さんやった
[01:21:14.320] さっやっぱうん星めっちゃいいこれはいい
[01:21:17.639] 家族だった
[01:21:19.840] なめて誰あこれもやったねこもやった
[01:21:25.920] オタ君ね上杉上杉健太あ上杉健太
[01:21:32.400] は戸塚ゆのそっかあの警察官のお父さんに
[01:21:36.600] 挨拶しに行くあれかこの人はやってないよ
[01:21:39.840] ねやってないあれでもさあれ幸せなかあ
[01:21:43.679] 取ったなえどうなんだろうこれンタやった
[01:21:47.560] 方がいいんかな
[01:21:55.480] やった方がいいのかなまちょま見てちょ1
[01:21:59.159] 個1個見てくかえ関の25歳これカペ店員
[01:22:02.920] ねボクサーの卵
[01:22:04.639] ね誰か起こせたりすんのかなああみんな
[01:22:08.320] 起きてる
[01:22:10.639] ね近藤ミリタリーマこれもやってない
[01:22:14.280] あのあれだなえっと諸星のクコクコん
[01:22:18.239] ところのファミレスの店員ねあで
[01:22:21.239] ミリタリーマニアうん銃持って歩いてね
[01:22:23.360] こいつね
[01:22:25.080] こいつなんか誰か起こしたりしねえかな
[01:22:26.920] やっぱしない
[01:22:29.520] な映画マニアもやったあのジポねジポの
[01:22:33.920] 映画マニアねえ黒柳先生もやった穂坂みつ
[01:22:38.159] はやった
[01:22:40.800] 泉田泉田美やってない誰か起こせるやつが
[01:22:46.120] いいんだよね広瀬って誰あ工事現場の人か
[01:22:51.000] あーお前誰か起こせたりすこれで多分
[01:22:54.560] 起こせるやあの名前見てああ誰あー誰も
[01:23:00.560] 起こせないねやっぱね下田下田巻き来た
[01:23:05.480] 下田巻きレストラン店員部屋を片付けくる
