[00:00:09.599] ググググググ
[01:01:01.720] だあいやよに似
[01:01:06.000] てる似てるかわ来
[01:01:11.440] たおい
[01:01:13.640] じじなんこれ作家の先生じゃ
[01:01:24.319] ないのだだよね
[01:01:29.319] あし私作来まし
[01:01:32.880] たこれさ連打ボーナスが弱すぎるだろ
[01:01:41.039] これなんじゃ稿かなんじゃお前は死んでた
[01:01:45.200] かと思った
[01:01:47.000] ぜなんと演目でも
[01:01:51.079] ないここで固まってたんだぜうむ信じられ
[01:01:54.480] んが俺だって信じらんねえよ不思議なこと
[01:01:58.480] もあるもんだなそれでハート出し合ってる
[01:02:01.799] な気持ち悪い疲れあお疲れ今日もまったり
[01:02:05.000] 人間観察やってますもうちょい連打
[01:02:07.000] ボーナスくれてもになあ俺の連打が遅すぎ
[01:02:10.960] るってのもあるけどな俺の連打
[01:02:19.119] がなんだ訓練開始伏せろあこれなんかあれ
[01:02:23.400] かそれ戦闘服なのか
[01:02:29.880] よし目の前に目の前にこいつ
[01:02:32.559] 何さっき買ったけどなおいもん見せてやる
[01:02:36.799] ぜ秘密文書でも見つかったの
[01:02:40.119] かほらたこ焼きだ買っ
[01:02:42.799] てけよそんな売り方あるいや自分は俺の
[01:02:48.160] 焼き食えねってかザ
[01:02:51.559] じゃん
[01:02:53.359] 了解毎度あり
[01:02:56.599] 敵の罠だったのかなんだこれこの
[01:02:58.880] ミリタリー野郎なんだ面白そうだな
[01:03:01.160] ミリタリー
[01:03:02.880] 野郎売りつける作戦だ
[01:03:08.960] ねこいつここから動かねえからな出会いが
[01:03:12.359] ないよな新作にチャレンジだっ
[01:03:15.279] て新作のたこ焼き作ってんのによ
[01:03:28.000] 全然繁盛しやし
[01:03:30.680] ねだふざけんじゃねえって
[01:03:33.480] のよしできたでき
[01:03:37.799] た今度は開心の
[01:03:44.039] 新作わさび
[01:03:48.160] たこ焼き作って終わりか食わねえのかあ
[01:03:53.240] 夕方もどうせこいつここにいるんだろ1日
[01:03:56.200] ここにいるんだ焼きじゃん1日ここにいる
[01:03:59.520] んだろうな多分
[01:04:06.839] なわさびはあかんと思うぞ笑笑いうまく
[01:04:12.319] いけばなんかYouTuberとかで一瞬
[01:04:14.960] だけ有名になれるかもなロシアンたこ焼き
[01:04:17.960] やってみ
[01:04:22.680] たまそんなん別になんかやってるやつい
[01:04:25.200] そうだけど
[01:04:26.720] まだ公園にいますもう無理だよでも
[01:04:29.799] たこ焼き屋の屋台とか行ったことないから
[01:04:31.559] 行ってみたい
[01:04:35.000] な大阪にあんのかな大阪にはやっぱあんの
[01:04:38.000] いっぱいこういうのえないけど栃にこんな
[01:04:40.880] のないの
[01:04:43.319] まいお祭りお祭りはあるよさお祭りには
[01:04:46.720] ある
[01:04:48.200] けどお祭りで焼こうと思わねしトイザラス
[01:04:52.039] の
[01:04:52.960] 下これれ野なのかそれ
[01:05:01.640] そういテポ見かけないかうんあのお店は
[01:05:05.079] あるよ銀とか宮たことかそういうのはある
[01:05:07.640] けど銀しか見たことないかうん銀しかない
[01:05:10.799] 銀でも銀うまいよねたまに食うとたまにな
[01:05:14.680] この日に耐え
[01:05:16.079] て男のたこ焼きへの大一歩だ
[01:05:18.610] [音楽]
[01:05:20.680] ぜなんて生産性のないな
[01:05:26.359] 焼かないねああああ
[01:05:30.160] あああ殴るぞこれ人の
[01:05:34.480] ことやってるやっ
[01:05:36.960] てるやってますやってます新藤京介がやっ
[01:05:40.680] てますジロは萌と仲良くしてるかな怖いよ
[01:05:44.440] あの声は
[01:05:47.279] 次郎お前子供に何しとるんじゃ笑笑えっと
[01:05:51.520] これはですねおりゃう
[01:05:56.640] さすがに逮捕だろこれうわで笑笑んでもね
[01:06:01.559] んでもねああなんかもうこここここの
[01:06:04.799] シーンぐちゃぐちゃすぎて2度と2度と
[01:06:07.200] つみせんな
[01:06:09.599] ボケ2度とつみせんな
[01:06:15.920] ボケでもどうせもう1回もう1回殴ること
[01:06:20.039] になる
[01:06:21.039] じゃんもうもう1回もう1回殴るんだ
[01:06:26.950] [音楽]
[01:06:28.440] おじいちゃん萌えにえよおじい
[01:06:38.319] ちゃんうん萌の
[01:06:48.960] やつあのさかあのなんでお前のド俺が吸っ
[01:06:53.480] てやらなきゃいけねんだよ遠くから出し
[01:06:55.880] てる
[01:07:02.279] けど確かに
[01:07:04.220] [音楽]
[01:07:06.839] 笑こりゃかっぱじゃいおら関係
[01:07:12.240] ないおらおらかっぱもに
[01:07:20.319] 謝れ
[01:07:22.119] よおがに似てんだろうがもドしか出ない
[01:07:34.599] よ終わってやがるマジでマジ新藤京介地獄
[01:07:39.079] すぎるだろあいつ
[01:07:43.319] 死神死神だよあいつマジでめちゃめちゃ
[01:07:46.960] 持っていきやがるハート
[01:07:55.559] 適に捕まえる
[01:07:58.960] かベンチのとこに誰かいたっ
[01:08:04.760] けまた絡むんか
[01:08:07.640] いまたうわ遠いところ行ったなこっちかこ
[01:08:13.000] おいじじこっち来いよまだ29なんじゃ
[01:08:18.640] がやばすぎるだろ
[01:08:30.799] よ俺もうお前これあれじゃねえかよ
[01:08:34.400] これ材がさ材がたこ焼きなだけでやってる
[01:08:38.480] ことザと一緒
[01:08:40.000] だろの薬と一緒だろ笑笑材がたこ焼きな
[01:08:44.759] だけだ
[01:08:46.120] よハート死神動にたこ焼きを売り
[01:08:55.640] てるよ食事はお母さんと食べといてくれも
[01:08:58.480] お母さんとファミレス行く
[01:09:00.359] の暗いから気をつけていくんだぞうん
[01:09:03.560] ハンバーグ食べてくるねいい
[01:09:09.040] じゃん確かお花屋さんの店員とすごい仲
[01:09:12.480] いいんだよ
[01:09:13.440] なで居酒屋いいのからに行くんだね多分な
[01:09:17.359] 居酒屋いいのかな多分その横で多分バンド
[01:09:21.120] マンたちがあの解散の話をしてる
[01:09:26.719] それを横目にお酒を飲み
[01:09:38.040] ます居酒屋で誰か起こすのかないやもう
[01:09:41.120] 居酒屋のみんなはね多分ね起きてると思う
[01:09:44.080] もう起きてねえかなどうだ誰か今日何時
[01:09:47.080] までえーちょっと明日ちょっと早えんだよ
[01:09:49.440] な朝初詣で行くから家族とやっと初詣デっ
[01:09:53.679] て言うのかわかんねえけど1月終わるけど
[01:09:55.840] でちょっと9時に実家帰んなきゃいけねえ
[01:09:57.679] から8時には起きなきゃいけないから
[01:10:00.880] 居酒屋いいのかなま3時とか3時半ぐらい
[01:10:04.920] までやろうかなわかんないけどちょっとね
[01:10:07.760] やみ初めてなら初詣なのかなそれでいいの
[01:10:12.560] かな居酒屋いいのかなたなわけねえだろ車
[01:10:17.280] であ
[01:10:22.640] いる居酒屋初詣なのか
[01:10:25.810] [音楽]
[01:10:27.040] よ駅調子ど
[01:10:30.719] だまあぼちぼちてとこだな俺の方はいまい
[01:10:35.400] だ
[01:10:35.910] [音楽]
[01:10:37.840] ぜいいたこ焼きうまく行ってねえのかああ
[01:10:41.960] 全然男が見えてこねえなだ男が見えてその
[01:10:44.960] うち見つかるって気にすんなどだな俺は
[01:10:47.159] やるごめんもう悪いけどここもハート次の
[01:10:49.719] 次のあのスタートダッシュのためにハート
[01:10:52.640] めちゃめちゃ吸うぞめっちゃ早えなんだ
[01:10:54.960] あいつ
[01:10:56.510] [音楽]
[01:11:03.440] 全然会話盛り上がってないのこの
[01:11:07.080] 解大場注文いいかおおなん
[01:11:11.800] でビール頼むぜ冷えてるやつよ
[01:11:15.360] よビールだまってる
[01:11:19.400] [音楽]
[01:11:22.800] よさあ今日は飲むぞ
[01:11:25.340] [音楽]
[01:11:28.520] ヘイビールお
[01:11:33.800] 待ちいやたまん
[01:11:37.239] ねえあいいね最後に感1個作らせてくれ
[01:11:41.080] そうな
[01:11:42.600] 店多分ねキャラクターが起きてればみんな
[01:11:45.760] 来るんだよまだ全然ほら横でほら横でほら
[01:11:51.400] バンドマンた
[01:11:52.760] が杯よしだ一撃と疲れが吹っ飛ぶね仕事の
[01:11:57.960] あいいぞあいいねいいねいいねいいねいい
[01:12:01.080] ねいい
[01:12:02.280] おいよしよしよしよしよしよしよしよし
[01:12:05.760] いい感1個回復たこいつが50しか
[01:12:11.719] ない全然面白くなさそうな
[01:12:14.850] [音楽]
[01:12:22.400] 飲み会誠のやつなんかたんでんなまと
[01:12:25.960] たこ焼き食そうってのか試食を頼むぞ史の
[01:12:29.760] やつに食を頼む
[01:12:32.960] か才能ないっ
[01:12:37.520] てこいつを食わせりゃ食わせ成功すり
[01:12:42.719] ゃ男のたこ焼きまであと1歩だ
[01:12:49.679] ぜ喫煙オッケーな店だよ平成だね
[01:12:55.560] 今居酒屋でもタバコせえねえから
[01:12:57.880] な魔キャラ出てきたら
[01:13:01.639] 焼きまた食ってくれそうだ
[01:13:07.320] などうしたバカ野郎食えるか変なも入れん
[01:13:12.840] なった
[01:13:13.570] [音楽]
[01:13:21.199] だろ男のたこ焼きだったらマジで何も変な
[01:13:24.159] も入れないがいと
[01:13:26.800] か普通のたこ焼きで勝負しろ
[01:13:30.560] や今日もたこ焼き未完成だぜ完成するのか
[01:13:34.800] な多分完成するんだろうなキャラクターが
[01:13:37.760] 起きててイベントがいっぱい起きてれ
[01:13:40.840] ばあとこいつのテンションが高ければ今日
[01:13:44.520] はいつもと変わんねえ普通の1日だったよ
[01:13:52.600] なだめだったまも起こしたいやつ起こした
[01:13:56.360] からいいやちょっとわ作行くぞわ作行こう
[01:14:00.159] あれ溺れてたかな前やった時なわ作行って
[01:14:04.239] 嫁さん起こし
[01:14:06.080] ておれんだよなわ作変なもん入れるんじゃ
[01:14:10.320] ねえ答えまだ味が足りないのかな分かって
[01:14:14.600] ねえよなたこ焼きの出来栄えまあまあだっ
[01:14:17.560] たなもっともっと頑張らねえとなこうやっ
[01:14:20.440] て今ね何も起きれないやつはキャラクター
[01:14:22.679] が足りない
[01:14:29.530] [音楽]
[01:14:32.600] お席でタバコ吸え吸えないのっ
[01:14:35.480] てタバコ吸ってるやつからしたらしんどい
[01:14:38.199] よな居酒屋で吸わんかったらどこで吸う
[01:14:40.920] ねんよ
[01:14:43.340] [音楽]
[01:14:46.400] な禁煙続いてるあのね普段は吸ってない
[01:14:51.920] けどライブの時とかも吸ってたし遊び行っ
[01:14:55.520] た時はじちゃんとかが吸ったら吸っちゃう
[01:14:57.840] かもでもあの家じゃ吸って
[01:15:05.679] ないやぱなんか俺もだからのみ行ったじん
[01:15:08.960] ちゃんと飯行った時とかは付き合いタバコ
[01:15:12.120] めっきり付き合いタバコそうだね俺もそう
[01:15:14.360] だ
[01:15:15.000] わまそんくらいでいいんじゃないのかなっ
[01:15:17.639] て思う
[01:15:19.040] ねわ修作行っていいかわ
[01:15:23.960] 修作和田君え和田中作作家え生活え寛大に
[01:15:28.679] 見えるが実は気弱清えー若手作家の対等に
[01:15:32.560] 怯え過去の作品でネタ明星にすがり金を
[01:15:34.840] わらえて修義を周囲を繋ぎ止めている
[01:15:37.520] 女好きでかつ大変な酒好き笑笑みんなでお
[01:15:42.080] 酒飲みながら吸タバコがいっちゃん
[01:15:44.159] 美味しい本当だよ
[01:15:46.159] な過去の作品で得た明星にすがり金を
[01:15:49.960] ばらまいて周囲を繋ぎ止めているそり
[01:15:53.600] タバコわない
[01:15:55.960] かったら吸わないし吸のほぼ家のみ逆に
[01:16:00.520] ね家じゃ吸えないからねまず深海だから
[01:16:05.040] 喫煙所ですら探すのが大本当だよな本当だ
[01:16:10.320] よこないだじんちゃんと東京遊びった時
[01:16:14.639] あれか
[01:16:16.120] あの鬼太郎さんが東京来た時遊び行ったん
[01:16:19.120] だけど着いてさあの拠点所探したらさねえ
[01:16:24.480] のよ
[01:16:25.639] 全然そしたらなんか変な高速道路と硬化し
[01:16:28.880] たみたいなとこのすっげえすっげえなんか
[01:16:31.760] ゴミダメみたいなとこにあって
[01:16:33.679] さ喫煙者喫煙者ってもうこんな感じなんだ
[01:16:37.400] なゴミ扱いされてるんだはい技作わ
[01:16:42.000] めっちゃいい
[01:16:43.840] 家でも大混雑だったでしょそうでもなかっ
[01:16:48.040] た
[01:16:48.679] な一生懸命税してるのに残念でもなく当然
[01:16:58.159] つけに朝から酒だよ新作今度の新作で
[01:17:03.280] 思い知らせてやるか
[01:17:06.560] なあれ嫁さんってどこにいるん
[01:17:11.520] だわけ嫁さんがいいんだよ外人
[01:17:14.760] のあれ誰だこいつあいやいやこれしかとし
[01:17:19.120] てくのか品の趣味が悪いましたいましたい
[01:17:21.520] ましたおいわさが読みわさ動かんぞ
[01:17:26.760] チャンスだエッチなことして楽しむ
[01:17:30.239] ぞい出た
[01:17:33.480] 笑笑え
[01:17:39.440] あすけ
[01:17:41.520] ていや連打ボーナスが弱すぎるんだけど
[01:17:44.960] なんかこれなんおかしくない連打
[01:17:49.400] ボーナスちょっと何してる
[01:17:51.960] ねパパ勝手に触らないでよすまんつい
[01:17:57.920] むむ大金200万円腹とじねわかったほら
[01:18:00.960] 200万円じゃわいパパ大好き
[01:18:05.480] ねいいぞわさはいいぞわサはも金もらっ
[01:18:10.520] たらバカでかいハート出すからでっかいや
[01:18:14.040] これこれしかとすんのか
[01:18:16.520] よ誰か凍ってたぞ
[01:18:22.920] 今ああ彼よ生活には満足してるかうん大
[01:18:26.960] 満足
[01:18:28.120] ねそうかわしも満足
[01:18:30.920] じゃ本当結婚できて本当良かったねおわし
[01:18:35.760] のどこが好きなんじゃお金持ちで年寄りな
[01:18:38.480] ところ
[01:18:39.650] [音楽]
[01:18:41.239] ねさら年寄りは好きかうん早く遺産が
[01:18:45.800] 欲しい
[01:18:46.679] ねわしが死ぬのを待ってるのか笑笑すぐ
[01:18:50.880] 死ぬから
[01:18:52.719] ね狙いやんさ州のドンファンやんえ州の
[01:18:58.400] ドンファンってこれのこと言ってたえ加藤
[01:19:02.159] ちゃんの嫁もしかしてあもろ星来たこいつ
[01:19:05.679] だった
[01:19:07.560] わなんでこいつがわしの家でこれ連打で
[01:19:10.600] するかなおいいい加減
[01:19:12.480] 起きろ
[01:19:14.320] ちゃもう稿かかんからな加茶の嫁は加茶
[01:19:18.560] より稼いでるからあそうなの
[01:19:27.560] なんかもうこれ連打が効か
[01:19:31.199] ね確か実用かだったはずあそうなん
[01:19:37.120] だシのドファン
[01:19:40.800] かそれはまずいあれここは和田先生の家
[01:19:44.400] こなとこで何しとんじゃ編集者だ思い出し
[01:19:48.120] た先生現行や
[01:19:50.800] な現行はちょっと待て締め切りもうすぐな
[01:19:54.000] んですよドンファの夢すんじゃっ
[01:19:57.280] たドンファンの夢無罪なん
[01:20:08.760] だあここが所載なんだね無罪やね
[01:20:14.280] へえ夕方までに現行仕上げん
[01:20:21.560] といまい調子が出んの公園に行って気分
[01:20:26.040] 転換する
[01:20:28.239] かいい
[01:20:38.080] ね一応着替えて
[01:20:43.600] なま寝室だけやっぱなんかエロいもんな
[01:20:47.480] ちょっと
[01:20:48.960] なジークボックスみたいななるラブホや
[01:20:52.600] ん行ったことないんでわかんない
[01:20:58.719] でも公園も全員起きてるしなんか起きるか
[01:21:01.400] などうだろう
[01:21:05.120] な多分そこで配信してるポンと200万
[01:21:09.760] ラスじいさん発かれそうだなお金で周りを
[01:21:12.800] 繋ぎ止めてるんだ
[01:21:14.520] よ
[01:21:19.280] 悲しい級生にもいたなめっちゃ金持ちで
[01:21:23.280] ならまだ良くない金持ちなガキがいてさ
[01:21:26.360] マジでなんかえ俺がお菓子とか全部奢るよ
[01:21:30.199] とかみんなの分のお菓子買わされてそれで
[01:21:32.840] 人気もになってるって思ったやついたな
[01:21:35.679] かわいそうだったなあれ
[01:21:47.679] 哀れお久しぶりこんばんはポリゴンすごい
[01:21:51.880] な顔すごいポリゴンのゲーム
[01:21:58.639] 修ある意味パシリやんそうだ
[01:22:01.960] よネタを考える
[01:22:04.480] かうわあタバコ吸ってら灰皿ないのに時代
[01:22:10.199] だ
[01:22:11.320] ね灰皿ねえのに公園でタバコすてこんなん
[01:22:14.920] は今どんだけ白い目で見られるかステなあ
[01:22:20.320] 時代だ2004年しかしリラックスしすぎ
[01:22:23.760] ですね
[01:22:25.080] あなんだ女の子来たよ女の子が来たよ横に
[01:22:29.880] 女の子が横に横に座っても構わずタバコを
[01:22:33.280] 吸い
[01:22:34.250] [音楽]
[01:22:39.719] ますなんか何え何も起きない
[01:22:44.600] のあ買うんかいまこの場合女の子も悪い
[01:22:49.520] けどなまほうたこ焼きか
[01:22:54.920] たこ焼きと
[01:22:57.920] 文学ふむ何か広めきそうだのけよ確か
[01:23:07.800] に何もイベントが起きねえなこの
[01:23:10.640] [音楽]
[01:23:15.880] 男なんかなんか起きろよあんも起きねえの
[01:23:22.760] か知らないおじちゃん
[01:23:25.679] ださて小説のラストだが何してんのかな
[01:23:30.560] アイデアが浮かばん
[01:23:33.040] な大丈夫だよああそうじゃあいつを殺して
[01:23:37.440] いや主人公が死んじゃいかんなんか面白い
[01:23:41.440] あ
[01:23:42.400] まずいおじちゃんこんにちはあ後ろでおが
[01:23:45.639] 靴磨きしてるお
[01:23:48.639] こんにちはもお父さんのお手伝いしてるの
[01:23:51.280] ほほ心だ
[01:23:53.440] な靴みがきしてるおじちゃんは何してるの
[01:23:57.639] わしは考え事しとるんじゃすごい頭がいい
[01:24:01.080] んだねははは
[01:24:04.719] がはははは
[01:24:06.920] 100何これいらないもらっとけもらっ
[01:24:10.880] とけバカ笑笑バカもらっとけ
[01:24:15.080] 100万お次郎にもおい次郎にやってくん
[01:24:19.639] ねえかね次郎に100万円やってくんねえ
[01:24:22.159] かやべえやついる笑
[01:24:24.840] あ来たこれジ次郎あるぞ
[01:24:27.360] これあのおじちゃんお金持ちそうだな
[01:24:31.159] 靴磨きお願い
[01:24:32.850] [音楽]
[01:24:33.960] しよう銃構えてるやついるけどなんかそこ
[01:24:36.440] にやべえやついるけどな海の男ってもちと
[01:24:39.520] 古いし
[01:24:41.159] なあ靴磨きさせてください靴磨きかまあ
[01:24:46.520] いい
[01:24:51.960] だろうこちらの椅子にかけてください
[01:24:58.360] 靴てだと思サンダルじゃん磨くとこ少ねえ
[01:25:01.540] [音楽]
[01:25:03.239] だろさんいい靴ですねおいい目をしとる
[01:25:10.920] ななかなか関心な少年
[01:25:13.880] じゃこれ100万円じゃすごいお金
[01:25:18.119] だ一生遊んで暮らせるよ一は無理だけど
[01:25:23.320] なババババケに100万円が渡ったぞこれ
[01:25:27.800] でもう1回ババ君やったら100万円持っ
[01:25:30.360] て帰ってくるんだよ弟がどうなるか気に
[01:25:32.880] なるだろうまだやらないけどアイデア結構
[01:25:36.440] 出そうだった
[01:25:39.639] しあとは紙に書くだけじゃ水しか飲めない
[01:25:43.000] あの馬に
[01:25:47.840] 100万円ま確かにババケの生活だったら
[01:25:51.040] 100万あったら一生らせるわな
[01:25:54.360] の生活水準だっ
[01:25:57.239] たら水だけでいいんだもんババ君ピッコロ
[01:26:02.480] と一緒
[01:26:03.560] じゃんちょうど今ピッコロがよ今ドラゴン
[01:26:06.840] ボール見てんだけどピッコロがちょうど
[01:26:08.440] あの海王様んとこ来てさみんな飯食ってん
[01:26:12.320] のにさピッコロはさおいピッコロ何も食わ
[01:26:15.400] んのか俺は飯だけでいい俺は水だけで
[01:26:19.480] いが酒にいそうやずすぎる
[01:26:27.159] くだら俺は水だけで
[01:26:29.960] いい
[01:26:34.400] ピッコロまやっと技特選体が出てきたんだ
[01:26:37.639] よ技特選体
[01:26:40.639] があのバータじゃなくてなんだっけグルド
[01:26:43.440] かグルドを倒したとこ今おもろいな
[01:26:47.639] ドラゴンボールおもろいな普通に早だって
[01:26:51.040] めっちゃ見てる毎日風呂で結構見てるやん
[01:26:54.480] 結構見
[01:26:56.159] てるやっぱリクムに新感はいたあリクムっ
[01:27:01.040] てあのでけえやつだろ確かにちょっと似
[01:27:04.719] てる俺と髪の毛
[01:27:07.239] が俺ヤジが
[01:27:11.280] 一番帰ってきましたおもろいけど本編毎回
[01:27:14.400] 5分くらいしか進まないよねまね今ね
[01:27:17.119] まだまだ進む方で多分これからやばいん
[01:27:19.600] だろうなと
[01:27:20.719] フリーザとの戦いあたりで多分もうだろ
[01:27:25.000] あのストック
[01:27:27.080] が現の調子はどうです
[01:27:30.760] かマジでやばいよあれうむまあまあかな
[01:27:35.199] 最近ヒット先がないです
[01:27:38.159] しの方がサクサのあ回見た方がいいのかな
[01:27:43.040] ここで巻き返していやでも俺は正直俺は
[01:27:46.639] 正直そうあのそのその進まなさも楽しみ
[01:27:49.600] たいからあえて貝を見てない
[01:27:53.570] [音楽]
[01:27:55.360] あえてZであの気を貯めて1日終わりたい
[01:27:59.080] のよシュンシュンシュインシンだ
[01:28:03.480] 笑笑あのZのさえって主題違う
[01:28:09.560] の貝てあれじゃないのあなんだ違うよあ
[01:28:15.080] 違うんだじゃあだめだよエンディング
[01:28:18.320] めっちゃ好きなんだよなんかあの可愛い
[01:28:21.600] 曲てく
[01:28:25.239] モンスター
[01:28:27.600] なあれ可愛くない
[01:28:31.600] マプ全開パワーあれ可愛いあの曲めっちゃ
[01:28:39.080] 好き昨日にバイバイバイ
[01:28:43.600] ご飯めっちゃ可愛いあの曲でご飯が可愛
[01:28:47.679] すぎるんだよなご飯めっちゃ可愛いマジで
[01:28:54.520] こけるところも可愛いよ
[01:29:00.159] ね最初の何言っとるかわからん
[01:29:05.159] とみたいなとこ
[01:29:09.560] ねみいなとこでしょいつも飛ばされてみた
[01:29:13.159] ことないかも
[01:29:15.880] 笑ああれ逆生な
[01:29:22.760] のちゃう
[01:29:25.480] [音楽]
[01:29:26.800] あそうなんだまたたら稿
[01:29:30.080] だ今回
[01:29:32.040] はあるよなのあそうなんだここれはあ
[01:29:37.280] まるでダメボです
[01:29:39.199] ねあんだとバカ
[01:29:42.520] な
[01:29:44.800] 星星年彦あれ見たくね星年彦あれ見たくね
[01:29:50.800] ありの課長みたいちょっと似てる
[01:29:57.119] 早早早なんだあいつ仕事も人段落したこと
[01:30:01.360] だし今日はモンロで遊んじゃうぞ
[01:30:06.159] シシくりの宴
[01:30:10.000] じゃ主くりん
[01:30:13.199] てすごい言葉
[01:30:21.280] なけてくよアプ
[01:30:25.800] モンスターななな
[01:30:28.520] なななんちらなんちら
[01:30:33.199] エリアああれ曲好きだわなんとかなんとか
[01:30:37.560] キトなんちゃらなんちゃらなんちゃら
[01:30:40.239] 飛び切り全開パワー可愛いよねあの
[01:30:45.040] 曲あれなんかショコたんがカバーしてん
[01:30:51.840] でしょもうちょっと覚えて
[01:30:54.100] [笑い]
[01:30:56.360] ななんちゃらなんちゃら金と運なんとか
[01:30:59.440] なんとか水平戦出会って別れて出会って
[01:31:02.199] 別れて
[01:31:03.440] 大変
[01:31:05.679] あ神様も辛いよね
[01:31:10.520] ごめんあキャバクラモンロに来ましたバカ
[01:31:14.920] 凍ってやがる女
[01:31:17.239] がめちゃめちゃ凍ってるあれババキクエっ
[01:31:21.400] てババ君のお母さんじゃね
[01:31:26.159] ババくのババ君のお母さん来
[01:31:30.600] たババケ来たババケのお母さん来まし
[01:31:35.840] た
[01:31:42.560] らやった3人も起こせたここにいたんだ
[01:31:46.000] お母さんいたねここにねお母さん
[01:31:48.840] キャバクラのキャバクラのホステスだった
[01:31:51.800] んだ
[01:31:54.639] わ先生やめてくださいげ何よこの
[01:31:59.040] 本
[01:32:01.870] [拍手]
[01:32:08.600] ちゃお泉ゆゆちゃんは可愛い
[01:32:14.600] ねみゆちゃんのムチムチの肌
[01:32:18.480] に連打はきち普通に親指で
[01:32:24.000] 遅いよ俺も連打めっちゃ
[01:32:26.719] 遅いお酒が強い人ってかっこいい
[01:32:36.400] わ斎藤よしえ
[01:32:42.360] ママまた先生新作書いてるのよ
[01:32:47.560] ねおお久々の意欲作じゃよ
[01:32:55.199] いいねハートいっぱい出るねじゃないママ
[01:32:58.080] さん美人だ
[01:32:59.360] ねママの酒は格別だねいい
[01:33:09.920] ぞみんなのめのめわしのりだ何ただけが
[01:33:14.239] 読める
[01:33:14.760] [音楽]
[01:33:16.719] のつたまらんかないやどうだゲロまで飲ん
[01:33:22.040] じゃうわよ
[01:33:23.960] お前おいババきくお前が酒でゲロ吐いてる
[01:33:27.639] 間お前家じゃお前お前の息子は水しか飲ん
[01:33:31.320] でねえんだぞお前が酒飲んでる間水しか
[01:33:33.880] 飲んでない息子がいるのにくずすぎるだろ
[01:33:36.800] ババケ笑笑731号級息子は水しか飲んで
[01:33:41.600] ないのにこここいつはタバコ吸って許せ
[01:33:45.960] ねえどっちもだったそもそもホステスのお
[01:33:49.840] 酒て基本客持ちでは確かに確かにね
[01:33:55.760] おりだぞってそりそうだよ女にお酒奢りに
[01:33:58.639] 行く店じゃん
[01:34:00.000] あお金払いに行く店
[01:34:08.360] でしょこれ次のスタートダッシュのために
[01:34:10.920] ちょっと
[01:34:12.199] 貯めるあー最高の1日にはならねえだろう
[01:34:16.080] なこれ
[01:34:20.119] なかけてくよアモンスターアプモンスター
[01:34:25.400] て何なんつってんのあれ俺歌詞よく分かっ
[01:34:27.760] てねえだあれアプモンスターってなん
[01:34:33.719] だ笑笑アップル色あれアップル色って言っ
[01:34:38.159] てんのあれあれアップル色って言ってん
[01:34:43.199] の多分空耳だろうということだけわかるね
[01:34:47.080] ア色
[01:34:49.010] [音楽]
[01:34:50.679] モンスター初めて知ったって言ってんの
[01:34:54.159] あれ何アップル色モンスターなん聞いても
[01:34:57.159] よくわかんねあかけてくよアップル色
[01:35:00.360] モンスターってどういうことそうさわさ
[01:35:04.520] いって食べてたもんねご飯りありんごあだ
[01:35:08.119] からっ
[01:35:10.040] てこわさ言っていいわさこのわ修作の嫁
[01:35:14.840] わさ24歳え専業主婦お金と男を誘惑する
[01:35:19.080] ことが好き夫私作とはお金で繋がっている
[01:35:21.880] 中何かというと小遣いを食える夫を気に
[01:35:24.159] 入っている街中で男を誘惑して遊ぶ毎日を
[01:35:28.440] 送るいいね
[01:35:32.239] 行こうこういうやつが1番ハート出すんだ
[01:35:35.000] にアップル色モンスターだったしその後
[01:35:37.480] コーヒーアザウルスだったコーヒー味
[01:35:41.000] ザウルスコーヒー味
[01:35:43.719] ザウルスティラの健山みたいなじゃ
[01:35:46.760] コーヒー味ザウルス兄貴コーヒー味
[01:35:50.080] ザウルスがわからないわかんないかあれが
[01:35:53.920] ユオGX3勝ティラの剣山だ語尾が
[01:35:59.520] ザウルス
[01:36:03.679] の笑笑語尾がザウルスのキャラ
[01:36:08.159] 唯一兄貴俺とデュエルする
[01:36:12.320] ザウルスあわさ赤色とは言いきらないよだ
[01:36:16.520] と思うよ笑アップル
[01:36:18.450] [音楽]
[01:36:21.520] 色わさ行きます
[01:36:27.080] うんいい目覚めね想像する人によって緑に
[01:36:30.960] も赤にもなるなるほどな今日はいくら
[01:36:34.040] 稼げるかな欲しいものいっぱいあるね
[01:36:38.360] 中国人か
[01:36:40.000] なフィリピン人だなお金がたくさん必要
[01:36:51.199] ねよし今日は頑張って
[01:36:55.880] 1億円くらい稼ぐねのすごいね触れるん
[01:37:02.000] じゃない技先生
[01:37:11.360] がお金もらってるだけだから勝早速最初の
[01:37:15.360] お仕事
[01:37:18.320] ねおお寄ってきよった料理するのも結構
[01:37:22.480] 楽しいね
[01:37:26.199] おおグッドなでき
[01:37:28.320] ねえこれちょっと
[01:37:30.600] さこれならこの出来なら100万円か
[01:37:33.880] もいいな朝飯作って100万円
[01:37:38.599] かパパ朝食できたよ大敵はどうじゃ今日は
[01:37:43.840] とってもおいしい
[01:37:46.199] よいいよ100万円
[01:37:49.119] やろいやでけえハートがハートがでけ
[01:37:54.840] これもう迷わず行くわ迷わず行くわ迷わず
[01:37:59.119] 行くこれはいいぞわさ式充電
[01:38:02.599] 器こいつは充電器に使え
[01:38:09.520] ますあ今日も綺麗だなサよわは本当に幸せ
[01:38:15.000] もんじゃ
