[00:00:27.679] ピース
[00:31:58.840] フィジカル強いから平気だったけどバイクの前方不注意で後ろのガラス吹き飛んでた。
[00:32:04.760] サ丸4のとの日常やろ。
[00:32:13.000] ニスも
[00:32:14.639] ニョスダーニョのリズムを知ってるかいと。どうもこんばんは。ゆもこ今日もやっていく。今日もやっていく。今日は金玉が痒くないいい日だ。もうちょっとま、これ勘弁してこれ。
[00:32:33.399] もう
[00:32:34.960] メダパニとかすんなや。
[00:32:39.080] えー、生き返らせますよ。
[00:32:42.880] クッキー。
[00:32:48.679] カペしてくれよ。
[00:32:57.799] あ、俺控帰らせる時って満タで控えるんだ
[00:33:00.200] 。
[00:33:06.440] おいす。行くぜ。
[00:33:10.240] 1回止まっとく。1回止まっとくか。いや
[00:33:13.159] 、いいか。ほぼ満タで行きます。
[00:33:19.960] ちょっと今中にさ、あれだな。オスオス
[00:33:24.080] ちゃんもお疲れちゃん。そらちゃんお疲れ
[00:33:26.159] 。[音楽]今日もやというか今日は12時
[00:33:29.840] でおしまいな。12時でおしまい寝るから
[00:33:32.480] さ。
[00:33:33.760] もう深夜の深夜の12時に終わり。深夜の
[00:33:37.960] 7
[00:33:38.120] 時だからダめだってって言われたから。もう
[00:33:40.960] 7
[00:33:41.159] 時から深夜だから。これ若干だるいよな。ここ歩いてくの。
[00:33:45.720] あ、ちゃうやん。ちゃうやん。ルーラでええやん。え、待って。ルーラ勝負費
[00:33:52.039] MP0。
[00:33:55.200] これちょっとこれ
[00:34:00.440] 今頃。
[00:34:01.519] いや、全然気づなかった。8ぐらい取られ
[00:34:03.279] てると思ったよ。昔8だったよな。昔の
[00:34:06.639] ドラクエな。
[00:34:09.919] え、ルーラの消費MP0ってお前。ゼロ
[00:34:13.399] っておまゼ[音楽]
[00:34:15.560] っておまジ
[00:34:18.040] でゆりし
[00:34:19.800] 多すぎんか?おいやっぱ
[00:34:23.520] あれだな。だやっぱショート動画
[00:34:25.599] 綺麗なら適当に商売して遊んでください。
[00:34:28.919] 何の話?何の話?何の話?それ
[00:34:35.720] 行くよ。
[00:34:36.480] やっぱもうZ世代、
[00:34:39.720] Z
[00:34:40.040] 世代向きのゲームになっちまったんだ。ドラクエもショート動画世代ですよ。ショート動画世代。ショート動画世代ね。もう
[00:34:49.320] 1分以内に
[00:34:51.079] 1
[00:34:51.320] 分以内にな、あの、あれしないといけねえんだよ。
[00:34:55.520] 1
[00:34:55.720] 分以内に結果が出ないと面白くないんだよ。
[00:34:58.320] 待てないねん。もう長いドラマとか見れ
[00:35:00.040] へんねんな、今の子達って
[00:35:06.440] 映画とか1.5倍速とかで見るからな。今
[00:35:09.040] の子は信じられへん。
[00:35:18.400] 好きな曲もじゃ1.5倍で聞くんか矢印0
[00:35:21.400] イントロ9から消費0あれ9から消費0。
[00:35:24.720] あ、嘘。
[00:35:25.119] 俺、俺、俺リアルタイムでやったドラクエ
[00:35:29.200] 1
[00:35:29.359] 番最初ないんだわ。ごめん。俺、俺もゆり世代でした。僕もゆり世代でした。させん。
[00:35:33.359] [笑い]
[00:35:37.320] でもチま君もAV
[00:35:38.680] のインタビュー部分飛ばす。
[00:35:40.160] バカ飛ばすね。あ、確かに。あ、そういうことか。あ、そういうこと。あ、分かったわ。あ、確かに
[00:35:41.219] [笑い]
[00:35:48.599] AV
[00:35:48.920] のま、インタビューなんか見てられるかっちゅうね。
[00:35:54.280] それ
[00:35:55.480] ただでもたまにはでもあそこから気分を高めるってのもいいぞ。たまにはな。たまには
[00:36:02.599] 違うんだよ。なんかもう大体も
[00:36:05.000] 8割ぐらいのAV
[00:36:06.760] がね、俺もうほんま悪いんだけど
[00:36:09.119] 8割ぐらいのAV
[00:36:10.280] がもうあそこどうせ飛ばされるやろっていう気で作ってんねん。あそこ本気出せよ。じゃあ見さ、見たいと思わせてくれよ。
[00:36:18.079] じゃあもうあそこもうなんか最強の
[00:36:25.520] 2人みたいな入りにしてくれよ。
[00:36:27.359] じゃあ映画のなさ、俺の一番好きな映画
[00:36:30.160] 元芸人のは見る
[00:36:31.200] 元芸能人芸能人ってだ例えば誰よ言うて大したださよくあるやん
[00:36:31.655] [笑い]
[00:36:38.400] AV
[00:36:38.760] で元芸能人のなんちゃらってあれ大体さ全然売れなかったアイドルの端っこの方の人とかでしょそれ芸能人って言ったらそれ芸能人って言ったらあかんやろ
[00:36:57.720] 乃木坂元乃木坂のめっちゃ端っこの人とか
[00:37:01.599] これ芸能人ちゃうやろ。
[00:37:05.000] 誰山口に行こってごめん全然わかんない。芸能人にガルズバンドの子とかあったで
[00:37:11.000] バリバリガールズバンドの子。え、なん誰俺知ってるかな?ま、ま、バンドまあね。まあまあまあバンド。うん。
[00:37:21.960] ま、バンド、ま、ま、ば、まあな、バンドか。
[00:37:27.400] 悪、まあまあ人気あった子です。
[00:37:29.680] ええ、見たいかも。見よ。もちろん導入飛ばすけど。導入飛ばします。
[00:37:51.480] 神のアイドル時代は無名よ。
[00:37:54.440] ああ、三ってエブ
[00:37:56.800] 10
[00:37:57.000] でね。あ、アイドル。元アイドルなんだ。ええ、俺が知らないだけで結構いるんだなね。これ痛いやん。絶対。お前ラマなってな。よしよしよし。
[00:38:15.880] え、てかこれ何?結構どっからか風これさ
[00:38:20.480] 結構本当にちゃんとしっかりこれリオの
[00:38:23.400] シルやんなきゃいけないんだね。結構
[00:38:25.280] 長かったと思うけど。ここ
[00:38:31.280] トラマナの効果早くなん
[00:38:35.800] 結構ちゃんとしっかりしてる。
[00:38:37.440] 結構ちゃんと前回と同じ行かなきゃ
[00:38:39.200] いけないんだ、これ。
[00:38:43.599] え、こっち?え、違うよね。多分あっちだよな。あれどっちだっけ?これ忘れた。ま、いいや。ま、またありやろうじゃねえか。またあり。あと
[00:38:52.160] 1時間半しかできねえけど。早。
[00:38:54.446] [笑い]
[00:38:55.800] 2時間って早くねえか?
[00:38:57.800] 痛いでしょ。
[00:38:59.800] ここですね。
[00:39:00.839] 今回バリアめっちゃ痛そうよね。
[00:39:03.560] めっちゃ痛そう。昔なんだかよくわかんなかったけどな。昔俺初めてバリア見た時、俺ガラスかと思ったもガラスでなんでダメージ受けんねんと思った。
[00:39:11.280] くらえ。
[00:39:12.599] 何バリア?回復。もう投げ出してねえで。お前回復しろ。自分のこと。
[00:39:19.319] 私は氷かと。
[00:39:21.359] あ、冷たくてダメージってこと。ちべたくてあれ。あ、こっち行けなく。あ、これ裏行けねえんか。あっち側行けなくなってるね。ああ、じゃあこっちだ。いや、
[00:39:38.839] MSX楽しみやな。
[00:39:41.680] 今MDXさんにMDX
[00:39:45.560] さんにMSX直してもらってんの?
[00:39:50.720] 何だ?ドラフトキングっていうバンドルボコ?へえ。知らね。めっちゃもうス楽しみ。
[00:39:57.327] [笑い]
[00:40:01.079] 多分めちゃくちゃ調べてくれたんだろうな。え、なんでなんでバンドの
[00:40:05.280] 5つって5
[00:40:06.000] 分ぐらい調べて出てきたらあ、知らね。
[00:40:09.117] [笑い]
[00:40:09.760] ひどい話ですよね。多分めっちゃ調べてくれたんだろうな。まあ、知らない。なんか黄色
[00:40:18.079] うス楽しみやんな。うすな。うスやろ。うす、うす、うす。おなす。治ったらクーロンズゲートやらんて。なんかクーロンでもなんかリメイク出たんでしょ?クーロンリメイク出るらしいじゃん。出るんだか出たんだかやんねんけどな。地獄やで、あれ。
[00:40:25.493] [笑い]
[00:40:46.599] リクエストね、リクエストリクエストした
[00:40:49.960] 本人も来ないぐらい思んなかったで。あれ
[00:40:52.348] [笑い]
[00:40:55.040] リクエストした本人が見に来ないんだから
[00:40:57.319] 。
[00:41:03.599] これさ、宝取んのってもしかしてさ、1
[00:41:05.880] の勇者が取ったからでいや。
[00:41:08.079] やるか。そんなな、もう、もうええよ。難しいゲームばっかり
[00:41:14.800] 行くよ。
[00:41:15.480] でもね、やりたいな、またね。
[00:41:18.880] 本人には夜働いてるからな。まあまあまあ色々ありますわな。色々ありますわな。人生ですわな。
[00:41:32.920] なんかでもな、こうやってなんか最近配信ちょっとずつさ、やり始めてさ、またさ、なんなんだろうね。あの、
[00:41:41.400] 難しいゲームってなんでまたやりたくなるんだろうね。なんかまためちゃくちゃ難しいファミコンのゲームとかやりた。なんねんな。やってる時もう
[00:41:44.748] [笑い]
[00:41:50.119] 2
[00:41:50.280] 度とやんねえと思うんだけどな。レトルゲームやりてえ。いや、もちろんドラゲもおもろいけどな。
[00:41:58.720] これクリアしたらさ、多分クリアする子後にはさ、ドラクエ
[00:42:01.119] 7出てるんだろうけどさ。
[00:42:03.079] うん。MドMですわな。
[00:42:04.319] 平和なのもよし、鬼畜なのも。
[00:42:06.640] そうなんですよね。グルポンお疲れ。たださ、前みたいにもうさ、もう
[00:42:13.800] 24時間配信とかもうせたくないねん。
[00:42:18.400] だから程どいのやりたいな。
[00:42:28.119] 耐久しんどいやろ。
[00:42:32.040] 手ホ。
[00:42:43.240] もうなんでお前2
[00:42:44.280] 回攻撃すんだよ。じじのくせに。
[00:42:50.240] 程よいかやってみないとわからない。
[00:42:52.760] うん。で、もう今あなたが開けた2
[00:42:54.559] つはもうやってみてもう程よいどころが
[00:42:56.559] 2
[00:42:56.680] 度と触りたくないレベルの特急呪物。ま、東海道とかでもね、なんかま、なんかクリアたクリアまで寝られません的なのも
[00:42:58.109] [笑い]
[00:43:08.880] ちょっとうくねんな。やりてえなと思っちゃうんだよな。もうクロンはやらねえけどな。
[00:43:17.880] いや、あかん、あかん。やべ、俺また混乱した。やばい。俺混乱した。まずいって。
[00:43:30.640] 俺混乱した。まずいんちゃ
[00:43:32.520] まずい。
[00:43:33.000] ほら、もうこれあかんやろ。これ先に
[00:43:38.839] 感謝大爆発です。りゃ
[00:43:43.800] いた。
[00:43:44.520] やべ、強い。
[00:43:47.400] ちょ、お前か。おい、もうこれもうなんとあ、もうくらえ。
[00:43:52.839] こんなあかんて。ニコた。おら、もう
[00:44:00.990] [笑い]
[00:44:04.599] これなんだよな。ニコ、ニコなんよね。やっぱり
[00:44:13.359] やっぱ猫たなんよ。
[00:44:15.480] カービーが嫌やがる。俺のコメント欄カービーなよ。
[00:44:20.599] ああ、もう自殺しちゃったよ。
[00:44:22.040] チャマキュンは俺の中で生きてるよ。
[00:44:24.440] バカ。お前栃木県で生きてるわ。なんや俺の中で生きてるって。栃木県で生きてるわ。濁やってんの?ゲーム最近何やってんの?そうだね。俺配信時間変わっちゃったから。ニコたの配信が始まるより前に終わっちゃってるからレードまできねえんだよな。
[00:44:44.480] ニコにほんまにあのさ、目立パに
[00:44:58.559] よニコに高すぎな
[00:44:59.839] んやねん。それ答えろや。せめて[笑い]
[00:45:04.880] なんて誰にもしてないやん。
[00:45:06.480] ニコがやってたらもう今んとこ毎日ニコにしてるところだからな。
[00:45:11.599] レイドって機能いらないと思って。お疲れ。
[00:45:20.480] またね。
[00:45:21.920] 回復します。
[00:45:24.119] えー、もうちょっと、もう強いよ。
[00:45:28.720] 強い。どうなっとん。
[00:45:35.280] 手ホいみ。
[00:45:42.800] 来なかんわ。
[00:45:51.599] 間に合った。
[00:45:52.880] いや、もう強すぎるって。
[00:45:58.680] これ何?え、これ何?これ何がダメ?これね。
[00:46:04.240] これ何がダメ?俺の何が俺の何がダメなんだよ?教えてよ。直すから。俺の何がやだったの?教えて。直すから。なちゃんお疲れ。ナちゃんお疲れ。俺ナちゃんお疲れって言ってねえよな。わかんない。挨拶したかしたかどうかがもうわからん。えー。え、これめっちゃ強いよね。敵ね。これね。
[00:46:31.680] ドブとタバコ。
[00:46:34.240] 何?何?何?あ、俺のダメなとこ。こんなするわけないじゃないすか。こんなんするわけないやん。いや、これ勘弁してほしいな。
[00:46:36.882] [笑い]
[00:46:46.599] トイレ立ってするとこだよ。
[00:46:49.400] バカ。お前ほんまにな。しべタ立ってするやつ。ほん立ってする男。いや、いえね。で、自分地でするのは俺んち遊び来てしべてするやつまぶん殴くるからな。
[00:47:01.040] 本当になんでお前の飛び散った汚ね俺が掃除せなあかんねん。掃除して帰れ。だ、準じあいつ
[00:47:12.599] 笑笑
[00:47:16.240] リビングでも聞こえんねん。あいつのしべのスロート音。ジョバジバジバジバジバジバジバジバみてな。バカ野郎。あいつ汚ねえ。
[00:47:25.920] 殴られてします。
[00:47:28.160] この
[00:47:28.960] お、あいつ俺、あいつ、そ、そういえば俺あいつの
[00:47:32.720] LINE今2
[00:47:34.000] 日間ぐらい仕方としてるな。なんかに出たら小便だってしたくない。
[00:47:39.040] いや、外に出たら別にええよ。外に出たらさ、勝ってするためのさ、小便器があるわけじゃないですか。それはいいんじゃない?そういうものなんだから。わ、あの、様式便所に向かって、
[00:47:50.079] あのね、あの、しかもあいつうちに遊びに来てさ、ティッシュとかさ、使い終わるとするやん。
[00:47:57.160] ティッシュとか使い終わって箱き箱そのまんま潰しもしねえでそのままゴミ箱に突っ込んで帰るからね。ほんま逮捕されるでそのうち本当に逮捕されても文句言わ言えへんやろ。
[00:48:10.680] だる笑
[00:48:12.119] いやマジであれだりよな。いやマジでほんまに
[00:48:17.480] 犯罪やん。
[00:48:18.599] 犯罪やで。ボックスティッシュ潰さんで捨てるの人で。
[00:48:23.880] あれのおかげであれせいでゴミゴミが満タ
[00:48:27.760] になる時間がめちゃくちゃ短くんね。
[00:48:32.960] 3日ぐらいゴミ満タになるまで行けんの?
[00:48:35.280] あ、2日。あいつ1日ぐらい潰れんね。
[00:48:37.599] あいつのああ潰さないだけで。こら。
[00:48:43.119] あ、だと思ったんだよ。実家の田舎
[00:48:47.400] いいな。商便器ある家だったらいいよな。
[00:48:50.040] そりゃ別[音楽]にそういうもなんだから
[00:48:52.480] 。やっちゃえ。
[00:48:56.520] いや、ち
[00:49:00.240] え、待て、待て、め、待て、待ね。おかしいよ、これ。難易度おかしなってきたよ、また。
[00:49:06.119] ここですね。
[00:49:07.319] 難易度おかしなってきた。で、
[00:49:11.400] だから俺今もうじ々の
[00:49:14.440] LINE3日間ぐらい仕んね。あ、
[00:49:17.359] [笑い]
[00:49:18.440] でもたまにしたくないわ。
[00:49:22.319] いバラじゃないよね。
[00:49:23.599] いバラじゃないとこノーマルだよ。立ってしたくなる時って何家で?いや、外ではさ、会社とかではそら男は分かるけどさ、小便器があるわけじゃないですか?たち用の。それは立ってするさえ。そういうもんだもんだって。
[00:49:51.839] これMP
[00:49:52.400] 足んねえ。きついなあ。ここめっちゃ強いわ。
[00:49:57.559] 次はなんて子供に座ってやらせると便ザ裏につくんだけど
[00:50:11.760] めちゃめちゃ勢いよく証明してんじゃない?座ってやらせるとな。
[00:50:13.689] [笑い]
[00:50:19.920] やっぱ若さがやっぱおしっこの勢いにも現れてるんちゃうん?ジはなんて言って
[00:50:24.169] [笑い]
[00:50:27.359] アクジェットアクアジェットでぶっ飛ばしてけモヤモヤ気分り払いしてロックライブほラ乗り越えたらグースマイルみんなグッグスマイルちゃうねん
[00:50:46.440] すまん。本当です。
[00:50:57.400] ポケットモンスターダイヤモンドパールオープニングテーマ。名前は忘れたけど。順から
[00:51:11.200] LINEがなんか来てさ。
[00:51:13.799] 世界はピーポ。なんだ世界はピーポって
[00:51:20.440] なんか
[00:51:23.440] 何にも言わずにさ、俺、俺の写真なんか
[00:51:27.880] 多分動画を送信しましたって通知来たから
[00:51:31.960] 多分なんか俺の動画なんか俺の遊んでる時
[00:51:35.559] に俺のことを盗撮した動画をAIで多分
[00:51:38.280] なんか動画作ったんやろな。なんかあるや
[00:51:39.839] ん。
[00:51:40.640] ま、それをなんかすっごいもう3
[00:51:42.280] 個ぐらいなんか送ってきて見て
[00:51:45.480] 見てない。
[00:51:47.355] [笑い]
[00:51:48.839] 3
[00:51:49.000] 日ぐらいそれを仕とし続けてる。俺は既読もつけてない。
[00:51:52.599] 笑笑
[00:51:55.400] なんかもう今時今時そ
[00:52:00.319] AI動画でキャピキャピ
[00:52:04.359] おめやっとるね。コールスト
[00:52:06.559] おにん中かさんどうもこんばんは。
[00:52:09.280] やってるかい?今日もやっていきますから。今日もシクシクとやってんねん。
[00:52:15.839] いいぞ。準重視もっとやれ。
[00:52:18.880] あいつ、あいつ今、今やっと
[00:52:21.839] AI
[00:52:22.119] で動画作って喜んでるぐらいやで。遅い?もうだいぶ
[00:52:24.691] [笑い]
[00:52:27.240] AI
[00:52:27.599] で動画作れるって別にもうそんなトピックじゃないで。そんなにピックじゃないよ。
[00:52:33.206] [笑い]
[00:52:40.040] なんか説明不要で笑うと思ってさ、何も言わずに
[00:52:43.240] 3
[00:52:43.440] つぐらい送ってきてんねん。なんかもう別にどうせどうせしょうもないだろうし。
[00:52:44.996] [笑い]
[00:52:50.559] 1
[00:52:50.680] 周回って愛怖い。
[00:52:55.280] 相当おもろいのができたのか。
[00:53:00.839] なんかドムで茶まキュンの画像送ってきたよ。
[00:53:03.480] 順じ
[00:53:04.160] 何それ?え、なん何何?やべ、
[00:53:10.720] MPがねえって。
[00:53:12.960] みんなで見よぜ。
[00:53:15.126] [笑い]
[00:53:17.079] みんなで見る。
[00:53:21.640] 安心して。
[00:53:25.400] パソコンに映せねえよ。でもパソコンに
[00:53:26.640] LINE入ってねえから。
[00:53:29.079] 画面直取りでと
[00:53:30.920] 3人で遊んだ時のやつじゃないかな。な
[00:53:33.880] んでなんでそれ送ったの?ディも俺宝箱とか多分ねえだろう。
[00:53:55.359] ワンの時やくない?
[00:53:59.280] え、何?やばいとかあんの?いや、もう
[00:54:01.839] MPないの?
[00:54:04.000] Mがすっから感じじゃ。
[00:54:07.200] MPがうめえ。えー、魔法の精水ってさ、
[00:54:11.200] MP15
[00:54:12.040] だったっけ?回復。もっと回復してたよな。祈りの指輪や。え?祈りの指輪チャレンジしない。ないね。
[00:54:22.480] 魔法の設ったらええねん。つこたらええ
[00:54:25.079] ねん。こんなんでレベルアップすんじゃ
[00:54:26.680] ねえの?しねえか。
[00:54:35.720] どんくらいでレベルアップ?どんくらいで
[00:54:37.440] レベル?300200あ、これは最後
[00:54:40.880] まで使わないやつこういう時はあい
[00:54:45.760] ラスボスの前で使いましたけどワンの時は
[00:54:49.000] もらいます
[00:54:51.280] 。
[00:54:57.280] ラスボスの前だと壊れないね。ラスボスの前は壊れないから。
[00:54:59.928] [笑い]
[00:55:04.880] 手ホ
[00:55:07.079] 綿ない。ないねん。そう。こういう時は壊れんねん。こういう時は壊れんねん。こういう時は壊れる。し、レベルアップ。
[00:55:20.079] よし、レベルアップ。なんか覚えたけど
[00:55:22.839] 見えなかった。じゃあいいよ。ツコ太郎や
[00:55:26.200] ないかい。じゃあじゃあツコ太郎やないか
[00:55:29.079] い。そんな言うんやったら魔人覚えた。
[00:55:32.880] やったぜ。やったぜ。スコ太郎やか。これ
[00:55:36.640] 満タまで行ったろやないかい。
[00:55:38.359] あ、配信者魂見せたろは。ああ
[00:55:42.503] [笑い]
[00:55:44.000] あ。
[00:55:45.640] 早いよ。
[00:55:47.359] ダブル。
[00:55:49.760] はい。もうちょっと引っ張ってから壊れろよ。まだ振りも言い終わってないのに。まだ振りも言い終わってないやん。早い。
[00:55:58.878] [笑い]
[00:56:03.920] 結構頑張ったと思うけど。
[00:56:05.680] 嘘。こんな早い?こんな早い。1の時
[00:56:10.480] もっとめっちゃ使えてたと思うけど。
[00:56:13.960] しかもより、しかもよりにもやって
[00:56:15.640] クッキーの方回復しちゃった。俺プリンや
[00:56:17.440] ん。絶対回復させるんだったら[笑い]
[00:56:20.640] 別にクッキーそんな魔法そんなやし。ええ
[00:56:26.319] 。祈りの指輪ってどうやっ
[00:56:29.720] ?
[00:56:31.280] もったいねえなあ。
[00:56:38.520] いや、これはどう解釈していいか微妙な。笑。
[00:56:42.119] クッキーって役のイゴ?
[00:56:44.359] ん?クッキーってもういいね。お前ばっかり。
[00:56:50.799] この
[00:56:52.119] お前ばっかりや。
[00:56:53.000] やっちゃえ。
[00:56:54.720] もうやめろお前。それ
[00:56:59.000] 敵
[00:56:59.599] てかさ、普通に命令させろにすればいいんじゃねえのっていうのはある。ぶっちゃけ。
[00:57:04.880] 命令させろにすればいいんじゃないのってのは正直あるよ。分かるわかる
[00:57:09.240] わかんねんだよ。
[00:57:09.880] 意味
[00:57:11.119] わかんだけどさ。それ
[00:57:14.400] よし。オッケー。
[00:57:15.559] やたらタフなんだよな。こいつ
[00:57:18.559] めっちゃでもめっちゃ経験値生まない。
[00:57:20.839] 66あ、6の6の6の6の6の6
[00:57:23.799] のじゃん、これ。よし。
[00:57:28.559] 6の6の6うわ、めっちゃいい。精神統一
[00:57:34.680] って何?MP回復だっけ?精神統一って
[00:57:36.839] MP回復か?
[00:57:42.799] 精神統一って何だっけ?あ、MP回復した
[00:57:45.200] 。やったぜ。やったぜ。
[00:57:50.960] 投稿時間7時13分。
[00:57:57.039] しかもこれマジックバリアって仲間全員なん。
[00:57:59.760] やったぜ。
[00:58:05.960] 原の土手の下で。え、ま、何覚えたって言ってんだっけ?何覚えたんだっけ俺?今何?
[00:58:11.845] [笑い]
[00:58:14.480] あ、
[00:58:15.000] 精神統一はあれか特技か
[00:58:17.960] テリワンだと2
[00:58:18.880] 回行動できたよな。精神統一。
[00:58:21.079] あ、そういうか。あ、違う。
[00:58:24.799] あ、MPを回復させるんだ。
[00:58:29.680] ドバーっと回復するんだな。ドバーっと。
[00:58:36.359] テリワンもやりてえしな。
[00:58:39.160] テリワンもやりやん。
[00:58:43.285] [笑い]
[00:58:44.200] 来たで。ほらゆうたらレだから
[00:58:48.760] 来たで。ほら、
[00:58:51.000] ナれ。
[00:58:52.160] あ、なめちゃん、どうもこんばんは。レドありがとう。さちゃん、ありがとう。ごめん。今日は金玉痒くねえわ。今日は金玉痒くねえわ。ごめんな。
[00:58:59.005] [笑い]
[00:59:02.599] マギマ。
[00:59:06.119] 笑笑。
[00:59:09.640] キャだからこんばんは。
[00:59:12.200] あちけさん、どうもこんばんは。やべえ、俺あれだな。あれだわ。
[00:59:16.400] これあのレドあれだな。
[00:59:19.039] あのさちゃんからレドもらった。
[00:59:21.760] の意味がわからない。[笑い]
[00:59:24.680] めっちゃ笑うねん。もう俺が金玉の話したら年に
[00:59:28.680] 1
[00:59:28.920] 回ぐらい死ぬほど金玉痒い日あんねんって言ったらもう大爆笑いすぎやろ。あんまだからでも良くないねんな。ああ、なんかいる。ボスやん。絶対。笑。デリケートな話。笑。特に夏場。
[00:59:47.039] 夏場な群れるから。想像以上に群れるから
[00:59:51.160] な。金玉ってのはよ。あ、レート
[00:59:53.280] ありがとうございます。すいません。なん
[00:59:54.200] か汚い話。汚い話ばっかりで。こりんジョ
[00:59:56.680] さん、うわ、プライムサブスか。あざす。
[00:59:58.480] こさん、ありがとう。ごめんね。
[01:00:01.000] ありがとうね。なんかごめん。なんか私は
[01:00:04.039] 冬場。[笑い]
[01:00:07.000] 様々な金玉が金玉にも様々なタイプがあり
[01:00:11.440] ます。ま、夏場だよな。俺だわ。
[01:00:14.680] もらいます。
[01:00:16.240] 想像以上にごめん。本当女の子からレイドもらった瞬間にこんな話してでも
[01:00:23.000] れ
[01:00:23.160] でもあれやんねんな。でもあれやねんな。あのほんまこの話するとさちゃん絶対笑うね。レドしようと思います。感想か群れか。
[01:00:32.039] 今はこれくらいしかできませんがずれしようと思います。よしじゃレドしたら金ても話しよう。大丈夫。
[01:00:37.911] [笑い]
[01:00:40.119] なんかさちゃんのファンからさ、なんかさ
[01:00:43.839] ちゃんの看板にも俺泥塗ってない?今
[01:00:45.920] 大丈夫?え、さくちゃんて金玉の話する男
[01:00:51.079] にレドするんだみたいな[笑い]。そこで
[01:00:54.119] しかもめっちゃ草生やんみたいな。せや
[01:00:57.440] ねんでさちゃんのファン見てるちゃん金玉
[01:01:01.079] 大好きなんだ。レドる[笑い]に金の話
[01:01:05.480] する配信者。金玉配信金玉痒くなんね。
[01:01:10.440] 金玉変えらんね。よし。
[01:01:11.920] もうこびりついたに説明されたのがそれだったからだ。
[01:01:16.200] あ、か、もう事前に予習されてんね。
[01:01:19.177] [笑い]
[01:01:20.079] あ、配信で配信で。あ、じゃあじゃあいいね。じゃあいい。じゃあうん。じゃあいい。いいね。なんねんて。いや、もう男、
[01:01:30.160] 男は分かるでしょ。何の年に
[01:01:33.640] 1
[01:01:33.720] 回ぐらい信じられないほど群れるんだから。
[01:01:36.920] 本当に信じられないぐらい群れるんだよ、本当にな。なんでハイプトレイン来んの?このタイミングで。辛いけど。ク
[01:01:44.722] [笑い]
[01:01:45.960] なんかハイプトレーン来たわ。
[01:01:48.160] なんかハイプトレーン来たわ。ですよね。
[01:01:51.440] クリームパンみたいに可愛いって。よく言われんの。俺手見て。俺の握り拳。もうクリームパンやん、これ。
[01:01:59.400] ゴールデンハイプ。笑笑。
[01:02:01.200] 何?ゴールデンハイプって何?ゴールデンハイプってハイプト久々に来たわ。
[01:02:08.599] ゲームやるよ。私ゲームやるよ。
[01:02:11.079] せっかくこっちがベリアル様の指示通り誘ってやったってのによ。の金玉の毛それところあるよ。何虫になるじゃん。
[01:02:22.057] [笑い]
[01:02:25.039] なんてなんて。ああ、断るなんざ何様のつもりだ。
[01:02:29.880] 仲間にならないだら殺すつもりだったか。
[01:02:34.279] 帰りうちに会っちまうとはな。あれが竜王
[01:02:37.359] の力か。
[01:02:39.760] まあいいさ。次は大勢引きずれてこようぜ
[01:02:42.799] 。今日はか今日のこと必ず後悔してやる。
[01:02:47.520] させてしてやるってなんだ。させてやる。
[01:02:51.839] ゲームドラクエやるよ。ドラクエもええ
[01:02:53.920] ねん。金玉
[01:02:55.680] なんでこんなとこに人間が嫌がる。
[01:02:58.480] あ、ドラクエ2
[01:02:59.119] っていうゲームやってます。はい、よろしく。はい、よろしく。えー、今の話はと言うと、リエは君たちの敵なの?そうさ、そうさ。ハーゴン様に従いやつがみんな殺すまでだ。とんでもねえな。とんでもねえ。見たことない敵いる。なんかこのクソ外れ野郎だと思ってたよ。いや、もう回復すんの忘れてるし。あ、もう命令させろにしてないし。これだ。ええやん。あ、
[01:03:25.359] 1
[01:03:25.520] 回ちょっとこれさ、命令なしで。あ、だめかも。
[01:03:28.868] [笑い]
[01:03:29.480] あ、いや、や、あ、え、めっちゃこれめ、これ強すぎないやつは全員。
[01:03:35.200] これ強すぎませんか?ちょっとな、一撃で半分削られたら無理やってる。
[01:03:46.559] おい、やめてよ。
[01:03:50.400] やめて。
[01:03:51.640] 加護や。
[01:03:56.440] めっちゃ強くね、マジで。
[01:04:01.079] ちょっともう展開が早すぎるからちょっと展開ちょっと早いです。
[01:04:05.000] 目。
[01:04:07.160] はい。え、全然あいつダメージ入んないんだけど。芋こさんは現在
[01:04:18.440] 10連視聴中です。
[01:04:20.119] じゃ、それがだからもう無理やってこれホリーこれほんまにこれチェックしたんかこれホリーこらちょ
[01:04:22.579] [笑い]
[01:04:38.079] ほんまに無理やこれ
[01:04:42.640] いやもうこれ無理やろ
[01:04:44.480] ホイミ
[01:04:45.960] お帰らせて
[01:04:46.720] 感謝大爆発です
[01:04:48.079] ええねんなお
[01:04:49.599] 攻撃してもザオリせや。
[01:04:54.160] ちょっと命令しよう。命令しよう。もうだめやこいつら。
[01:04:56.279] AIが。AI
[01:04:57.760] 俺以下か。もうやめた。あ、もういい。もうやめ。もう無理やね。これ
[01:05:03.480] 分かるけどやたら簡単なドラにもいらない。
[01:05:06.039] いや、ま、そうなんだよね。ま、確かにそう。こんくらいこんくらいかまして欲しい。俺もいる。こ、もう無理やで、これ。こんくらいかまして欲しい。俺もいんねんな。
[01:05:07.119] [笑い]
[01:05:21.680] 気出してったな。な、
[01:05:23.880] ここまでサクサクだったのにね。もう終わりや。めっちゃむずいで。ほんまこれちょっと待って。これさすがにオートセーブからにしよう。でもレベル上げしに行こうぜ。はい。今日レベル上げです。はい。今日
[01:05:36.240] 12
