[00:00:08.400] う、
[00:52:32.160] ネタバレ配慮助かる。
[00:52:34.516] [笑い]
[00:52:35.680] あ。
[00:52:37.799] ギャル出てきた。ギャル
[00:52:39.480] 妖精族のです。
[00:52:41.440] 魔物の現実に囚われていましたが
[00:52:45.040] 自由になることができました。
[00:52:46.599] 負けイベかと思ったらマジで攻撃当たらなかっただけ。
[00:52:50.359] マジでマジで俺の運が悪くて攻撃外してただけ。そんそんな結構外してたけど。
[00:52:54.166] [笑い]
[00:52:59.440] 声に聞き覚えがあるのは当然です。
[00:53:02.280] ああ、
[00:53:03.040] 私は
[00:53:04.160] 夢の中で行く度も
[00:53:05.640] そうだよ。
[00:53:06.200] あなたにかけてきたのですから。
[00:53:09.280] 相当運なかったな、俺。
[00:53:10.960] 2回外してたぞ、攻撃。
[00:53:12.720] 族長様、
[00:53:14.720] 私はレダドームの王女ローラと申します。
[00:53:18.599] うん。ねえ、何その俺を通じて会話もできるの?
[00:53:21.079] リス様の予言にあった大地に再び加護をもたらす術を知る方とはあなたなのですか?はい。
[00:53:35.960] それにはどうしても
[00:53:37.040] お互いで話せ本当だよな。なんで俺を通じて話してんね。はどんどん強くなっています。
[00:53:39.362] [笑い]
[00:53:47.720] あ、
[00:53:48.040] 急がねばなりませ。
[00:53:51.960] どうした?
[00:53:55.920] ごめんなさい。
[00:53:58.280] 長い間現実に
[00:54:00.319] 当たりにくい上にボスのくにどう個体を仲間呼びするイカボスといれボスだよな。よかった思いをされたのです。
[00:54:08.640] あの必殺技見つけてなかったら絶対勝ててなかったよね。
[00:54:11.400] 勇者様、まずは族長様を休ませないと妖精の里をお連れしましょう。お姫様こしないんかいそこは。
[00:54:12.112] [笑い]
[00:54:30.400] あ、俗長様。
[00:54:37.002] [音楽]
[00:54:40.079] やばいやん。なんか
[00:54:46.000] みんな俗長様を奥に運んで。薬と手当ての
[00:54:48.280] 用意を。
[00:54:55.200] 俗長様は眠られたわ。少し休めば話せる
[00:54:57.599] ようになると思う。
[00:55:01.480] それにしても俗長様を救い出すなんて全く
[00:55:03.680] あなたって人は私の予想を超えすぎないで
[00:55:05.640] 欲しいわね。
[00:55:16.303] [音楽]
[00:55:17.040] 俗様はあなたに話さなければならないこと
[00:55:18.680] があるとおっしゃっていたわ。しばらく
[00:55:20.400] このに待っていて。いつお水になるか
[00:55:22.119] わかんないから外には出ちゃだめよ。
[00:55:25.473] [音楽]
[00:55:26.920] この妖精可愛いよな。
[00:55:31.839] あ、まだダメなんだ。
[00:55:45.200] ふーん。
[00:55:47.799] 続者さんは夢を通して人間と話すことが
[00:55:49.720] できるの。ずっと昔にその力で勇者ロト
[00:55:51.673] [音楽]を導いたんだって。あと性格診断
[00:55:53.880] が得意で意外に口が悪る。ああ、
[00:55:57.920] これあれなんだ。3の3の1番最初のあの
[00:56:02.319] さ、
[00:56:04.079] 勇者のあの性格決める声の人なんだ、これ
[00:56:08.839] 。へえ。
[00:56:11.720] あの変な滝みたいなとこでさ、性格
[00:56:13.300] [音楽]診断やるじゃん。あれの声なんだ
[00:56:16.440] 。へえ。へえらんかっ
[00:56:21.720] た。
[00:56:26.960] 結構確かにあれ独絶なんだよな。
[00:56:31.400] あれって3HD2にもあったっけ?あった
[00:56:35.160] よな。
[00:56:39.599] 何これ?どうすればいいの?どうやったらどうやったらこれ進むの?これ全員と話さなきゃ進まないみたいな。そういう
[00:56:50.440] あなたはおっちょこちょい。
[00:56:52.589] [音楽]
[00:56:53.640] 結構そういうのあるよね。
[00:56:55.440] あなたは臆病物だとかなんか
[00:57:03.039] これなん?何すればいいの?これ
[00:57:06.799] ん?
[00:57:08.760] 誰か話しかければいいのかな?そろそろ
[00:57:11.640] 俗張が目をああ、来た来た来た来た。なん
[00:57:14.280] か宝箱あるじゃねえかよ。
[00:57:17.160] こっち行こう。
[00:57:22.960] 風人の盾。
[00:57:24.520] これ絶対これもっと早く手に入れるべきだった。これ風人の盾爆発の呪文攻撃を軽減するしたけえ。守備力守備力がたけえ。
[00:57:35.164] [笑い]
[00:57:38.440] 20ぐらいあかんじゃねえかけえ。
[00:57:42.200] クソえや。
[00:57:43.200] クソ強えやん。これじゃん。絶対なんかなんか俺色々なんか取り逃ししてそうだな。色々取り逃ししてそうやね。
[00:57:55.400] どうもこんばんは。どもこん。
[00:58:02.200] まず俺を言わせてください。よくかの魔物
[00:58:04.440] を倒してくれました。たまたまだったけど
[00:58:06.400] な。完全に現実によって私は動きを封じ
[00:58:09.720] られ自分がどこに取られているのかも
[00:58:11.319] 分からなくなってしまいました。それゆえ
[00:58:13.280] モてる力を振り絞って容事者とルビス様の
[00:58:15.880] 予言予言を受けたローラ姫を
[00:58:17.880] 巡り合わせようとしたのです。ほう。
[00:58:21.680] 私たちも感謝してるわ。族長様を助けて
[00:58:23.559] くれと。[音楽]
[00:58:27.079] しかしルミス様が予言され、予言に託され
[00:58:29.440] た真の願いはまだ外されていません。
[00:58:31.440] 私たちが本当になさればならないのは精霊
[00:58:33.640] ルビス様はこのように呼び出し、え、
[00:58:35.640] 呼び戻し大地の加護をもたらすこと。
[00:58:42.119] こことは違う遠い世界にいてそんな時に
[00:58:44.359] 竜王現れてこの世界に闇の力に広まっ
[00:58:46.440] ちゃった。それがおそれで戻れなくなっ
[00:58:48.280] ちゃったって。
[00:58:51.079] を失った大地は、え、闇に蝕ばまれて魔の
[00:58:53.720] 島に渡るために必要な、え、雨、太陽、虹
[00:58:56.599] の力も失われています。失われかけてい
[00:58:58.599] ます。こんなでは竜王の元へにたどりこと
[00:59:00.400] すらなくなってしまうでしょう。
[00:59:10.000] どうすれば良いのでしょうか?
[00:59:14.520] 今アレフガルドにルイス様を召喚するには
[00:59:16.680] 多くの品を用いと特殊な儀式を持ち、え、
[00:59:19.160] や、行なければなりません。まず必要なの
[00:59:21.240] 妖精の笛。え、ルビス様に呼びかける特殊
[00:59:23.960] な、え、聖なる調べを奏でることができる
[00:59:26.559] 唯率の武器です。あれ?銀の建事。あー、
[00:59:31.160] 妖精の笛ってどこで手に入れるんだっけな
[00:59:32.920] ?銀の建事はあのお墓だよな。ガのお墓だ
[00:59:36.359] よね。
[00:59:46.821] [音楽]
[00:59:48.400] 通の紋章妖精の笛と銀の立て
[00:59:53.440] 全てを集めればルビス様がおになりにえ
[00:59:56.400] 大地に過護が持たさらせるでしょう。え、
[00:59:59.240] 竜王そして光の玉に至る道も開けるはず
[01:00:01.760] ですと。
[01:00:05.720] ちょっと会話長いな。妖精の笛のありかは
[01:00:08.920] 分かりません。かつて勇者アレフガルノの
[01:00:10.880] 東の字に隠したと言われていますが銀の
[01:00:13.799] 建事も行方が知りません。メルキドあ、
[01:00:15.839] メルキド。ん、メルキドに行けばいいのね
[01:00:18.920] 。オッケー。
[01:00:24.000] なんかドラクエって笛えと建てこ好きだよ
[01:00:26.280] な。なんかドラクエ11にも出てきたよね
[01:00:28.680] 。
[01:00:31.200] これのおマージだったりすんのかな?
[01:00:32.839] ドラクエ11時もさ、なんだっけ?
[01:00:35.559] ベロニカとなんだっけ?ペーニャ?
[01:00:38.799] ベロニカとペーニャのさ、建事と笛えだっ
[01:00:41.559] たよな。あれな。
[01:00:47.799] で、どこに行けって言ってた?メルキドに行けばいいの?こっちはおマージュだね。
[01:00:54.680] あ、やっぱそうなんだ。メルキド。あ、メルキドってここね。いや、遠いな。ここ行ってまたここぐるっと回っこからぐわっていくんか。これがメルキドですね。ああ、ゴーレムだよ。次多分レム戦ですよね。
[01:01:15.520] でもドラクエ11ってマジでおマジ
[01:01:17.559] えぐかったよな。あのなんか変なクジラ
[01:01:21.559] みたいなやつ復活させる時にあの大空を
[01:01:24.400] 飛ぶ流れた時もほんまにしべちびったね。
[01:01:28.119] ほんまにしべちびった。時良すぎ
[01:01:31.920] て。あとあの
[01:01:35.119] ドラクエ3のフィールドの曲が流れた時
[01:01:38.079] めちゃめちゃ
[01:01:39.240] しびれた。
[01:01:39.839] あれぐかったよな。ああ、あれ神エースだよな。
[01:01:53.480] あとあのドラクエ6
[01:01:54.960] の勇者のテーマが流れる時もね、パパラパあの曲がかっこよすぎるねんな。
[01:02:02.279] まずドラクエ
[01:02:04.079] 6のあの勇者のテーマ
[01:02:07.079] 全然ダメージが与えられる
[01:02:10.319] お前頼むってもういえもうなんやねんマジやる気ないなら帰れ何もしないなら帰れ前で分かるんだよなそうそうそうララララララララララ
[01:02:36.520] ほんまにさ、ビーストモード
[01:02:40.000] もうで、これおかしくねえか、これ。おい、これおかしいだろ。
[01:02:46.200] ダブル
[01:02:47.200] あんなに1
[01:02:48.079] ダメージも与えらんなかったぞ。何もしないなら帰れじゃん。
[01:02:56.079] ピロリピロリ
[01:02:57.079] ピロリピロリだったな、今。
[01:02:59.160] すごない?4匹いて1
[01:03:00.680] 回もダメージ与えられなかったよ。どんだけだよ。アイヤでもレベル不足って感じでもねえしな。レベル不足なのかな俺って。
[01:03:30.880] 単純に難しすぎるだけだと思うんだよね、
[01:03:32.599] このゲームは。
[01:03:46.359] パパラパラタラやべ
[01:03:52.359] 、こいつ見るとマジで間違った。防御やっ
[01:03:55.440] ちゃったった。
[01:03:58.079] アンドレアルと配合したくなる。こいつ見るとや。
[01:04:17.559] し、もういい。もういい。もういい。もういい。もういい。もういい。
[01:04:44.880] あれ?妖精の笛ってドラクエ1でさ、どう
[01:04:48.520] やってさ、
[01:04:51.279] 手に入れるんだっけね。
[01:04:54.760] あのゴーレムと戦う前に妖精の笛って手に
[01:04:57.680] 入ってたよな、確かな。なんか眠らせて
[01:04:59.559] 戦うんだもんね、あれってね。え、まだ
[01:05:03.039] そこそこ投げえし。迷いの森。まだ
[01:05:06.000] そこそこ投げえし、これ。
[01:05:10.920] いや、覚えてねえな。
[01:05:15.240] これはまずいでしょ。これはまずいよ。
[01:05:27.359] もう宝箱もこ受けてみろ。
[01:05:30.119] 本当だよね。うわ、これでビーストモードって何?あれが
[01:05:33.320] [笑い]
[01:05:37.400] 2回発動するんだ。
[01:05:38.359] きっと思い出せる。
[01:05:40.240] いや、もう思い出せねえよ。
[01:05:42.359] あ、
[01:05:44.480] ドラクエ1のストーリーなんか全然覚えて
[01:05:46.319] ないよ。合ってねえようなもんだかな。
[01:05:50.440] あれな。どうすんだったかな。メルキドっ
[01:05:54.000] てあれだよね。ゴーレムがいるとこだよね
[01:05:56.440] 。あのなんか武器要塞都市みたいなとこ。
[01:06:00.480] そこ行っちゃまずいんじゃないのかな。
[01:06:04.200] 多分眠らせないと勝てないと思うよ。けて
[01:06:06.440] みろ。いやんで与えない。いやもうもう
[01:06:09.920] 強いんだよな。いちいち敵が本当に
[01:06:15.400] ベホイ
[01:06:16.599] あもうベホイじゃ回復が足りねえから
[01:06:23.559] ベホイ
[01:06:26.520] もガツ売り回復したいよもうなんで
[01:06:29.039] 2回行動するのこだへ
[01:06:41.640] や、
[01:06:44.319] 強いって君ちいち
[01:06:46.880] 制圧
[01:06:55.039] やべえ。全然
[01:06:56.599] MPやばいよ。もうむずい。
[01:07:07.359] あー、
[01:07:09.480] やっぱ薬草買っとこう。できるだけMP
[01:07:11.839] 使いたくねえわ。道中
[01:07:16.440] なんかあるよ。あ、紋章の道具じゃね。
[01:07:21.240] まあ、多分そうだよな。
[01:07:29.559] 受けてみろ。
[01:07:32.880] グランドクロスゲーになっちゃったよ。
[01:07:41.359] 時々鳴き声みたいな声出すね。
[01:07:44.321] [笑い]
[01:07:45.039] 俺鳴き声みたいな声出してる。無意識だわ。ごめん。もう人面ジ嫌なんですけどもうやだ。
[01:07:59.200] ビーストモード入ってる。入ってる
[01:08:01.799] ちゃん。なちゃんこんばんは。
[01:08:04.880] 食らうか。
[01:08:08.000] うちの猫ちゃん反応しまくる。
[01:08:10.920] やだ、もう人やだ。
[01:08:17.759] もうボス的並みに強えんだってこいつ。本当に
[01:08:22.640] ボスキャラだってこれ。
[01:08:28.920] もうしかも美味しくない。経験値が割に合ってない。
[01:08:30.827] [笑い]
[01:08:37.560] 全然割に合ってないんだよ、これ。本当に。
[01:08:41.359] いや、これ居原の道だと相当きついよね、これ。ノーマルでこれだぜ。絶対この奥なんかあるやん。
[01:08:58.679] 精神の巻き物。何?精神って?
[01:09:02.719] 精神って何?
[01:09:08.040] 精神統一って何だっけ?
[01:09:19.600] 精神統一ってな?んだ?
[01:09:28.880] ん
[01:09:30.759] しばらくのターンマイターンMPええ、
[01:09:33.239] 強くね?そんな、え、そんなん強いんだっ
[01:09:35.759] け?精神統一って。
[01:09:38.960] じゃあやろう。
[01:09:45.498] [笑い]
[01:09:46.279] 精神統一発すのにMP使うんかい
[01:09:51.040] 。
[01:09:51.279] それ意味あるか、それ?じゃあ精神統一って意味あんのか、それ?
[01:09:56.120] これでどうだ?
[01:09:58.080] どうぞ。どんくらい回復するかにもよるよな。え、今どんくらい回復した?
[01:10:01.679] 5しか回復しねんかい?え、
[01:10:04.480] 5しか回復しねんだったら8
[01:10:06.239] 使いたくねえよ、俺。あ、まあでもア
[01:10:12.000] まや、あんまりうまくねえな、これ。あんまりお味しくないね、これ。雑魚せ、雑魚戦でやって。で、リターンだね。
[01:10:18.400] だから、ま、ボス敵と戦う時に
[01:10:21.199] プラスに
[01:10:22.520] ボス敵と戦う時にちょっと余裕あればやってもいいかなぐらいのもうええでこいつも強いねんな。こいつも強いんですよ。
[01:10:38.040] あ、あ、じゃあさ、じゃあそれことじゃね。
[01:10:49.280] あ、いいね、いいね。
[01:10:54.120] お、いいね、いいね、いいね、いいね、いいね。
[01:10:58.719] お、いいじゃない。いいじゃない。結構いいよ。美味しいよ。おいしいよ、ここ。いいね。いいね。精神全然回復しねえな。
[01:11:05.409] [笑い]
[01:11:07.480] 20しか回復しねえのかよ。8使って20
[01:11:10.239] しか回復しねえの。12しかあれじゃねえ
[01:11:12.040] かよ。
[01:11:13.880] 12しか回復しねえじゃねえかよ。これ
[01:11:15.520] 意味ねえよ。
[01:11:18.600] 意味ねえよ。それ
[01:11:28.120] ここだ。
[01:11:31.000] ちょん
[01:11:34.199] だかねえんだかわかんねえな。
[01:11:37.280] あ、祈りありがてえ。祈りの指輪もう最高。何個あってもいい。祈りの指輪はもうね、何個あってもいいよ。使おう。
[01:11:53.520] 生命戦。
[01:11:54.320] 生命戦だね。やっと終わる。ここ長かった。
[01:12:09.199] 影のターバン。
[01:12:14.840] うわ、こっちの方が強い。こっちのが強い
[01:12:17.719] けどさ、ファントムマスクの方が良くね、
[01:12:19.719] 2しか変わんないんだけど、こっち特殊な
[01:12:21.760] 効果ないよね。
[01:12:24.040] 敵の攻撃をかわしやすくなる方がいいよね
[01:12:26.080] 。うん。ちょっとこっちの方行こう。
[01:12:30.000] もう
[01:12:31.880] こいつだるいんだけど。
[01:12:33.880] マジでもうやだよ。うね。これもう
[01:12:50.865] [笑い]
[01:12:54.880] 1
[01:12:55.040] 回これで勝てると思う?ゾンビあのグランドクロスで勝てるよね。俺半分行ってるってことだもんな。行ける行ける。勝つ。
[01:13:01.239] これで勝つ。殺、これで勝殺す。殺す。
[01:13:05.560] よっしゃ。できろ。やれろ。
[01:13:12.440] 危ねえ。
[01:13:15.080] よし。ちょうどレベルアップして体力も
[01:13:17.120] 満タ。最高計算通り
[01:13:20.199] 。よし。全回復アざす。あざす。全回復
[01:13:25.920] で荒らす。
[01:13:28.719] 回復荒らすでどこ行けって?
[01:13:33.480] また遠いんだよ。遠いしなんかここなんか
[01:13:36.480] あるしちょっとそっちも見ておきたいし。
[01:13:40.719] ななな。これ何?メルキド
[01:13:47.679] な。
[01:13:50.639] お前のこと好きや。おしびれ揚げハ。
[01:13:59.639] 左と前遊ぶようにぬるぬるあげち
[01:14:06.920] お
[01:14:08.880] 気持ちいい
[01:14:11.400] ね。呪文暴走考えたやつ頭良すぎるよな。
[01:14:16.199] 何これ?
[01:14:21.360] できたら
[01:14:25.239] ラッパのみ。
[01:14:27.639] やっぱのみだよ。あ、いいね。回復しよう
[01:14:30.280] 。
[01:14:32.080] やべ、めっちゃ金溜まってんじゃん。
[01:14:34.840] めっちゃかま金溜まってんじゃん。ナルト
[01:14:38.239] じゃん。
[01:14:43.960] 主人の宿屋の主人に井戸に潜って点検して
[01:14:46.480] こいって言われたんです。でも僕怖い
[01:14:47.719] ところが怖くていいよ。言ってあげる。
[01:14:49.800] あと金ぼせよ。
[01:14:53.960] うわ、なんかあるやん。
[01:14:57.440] ああ、まだ鍵があれなんだ。
[01:15:01.840] ああ、鍵がまだ開かないね、ここね。
[01:15:13.656] [音楽]
[01:15:17.880] スライムピアスラララララララうなみか枯れてるドでお腹壊してきた会があった。な
[01:15:18.897] [音楽]
[01:15:31.960] んだあるん。
[01:15:37.560] お前
[01:15:40.000] の
[01:15:41.960] こと
[01:15:44.360] 好き
[01:15:46.960] お前
[01:15:49.840] の
[01:15:52.320] お前のことが好き
[01:15:58.560] な。これ全部売っていいか?
[01:16:00.000] 謎のラブソング始まった。[笑い]
[01:16:02.320] これ全部売っていい?もうだっていらない
[01:16:04.280] もんね。鋼の鞭チなんかもういらねえよ。
[01:16:08.000] うわ、買い取り額安いな。4400円した
[01:16:10.600] のに。4400円したのに800円になっ
[01:16:14.280] てた。ブックオフじゃん。ブックオフ
[01:16:17.159] みたいな買い取り価格してんな。お前んち
[01:16:22.239] 俺お前のことが好きだぜ。ララ。お前の
[01:16:28.960] ことが好きなんだぜ。
[01:16:32.320] 前のことが好きなんだならなら。これも売っちゃっていい?もう全部売っちゃうよ、俺。これ売っちゃうよ。売っちゃうよ。な
[01:16:42.679] 告白は女の子の特
[01:16:44.703] [笑い]
[01:16:47.000] 俺お前のこと好き。俺お前のことが好きやで。お前のこと好き。
[01:16:59.719] お前のこと、俺お前のことす
[01:17:04.880] いやねん。全部ちゃう。え、影のターバン
[01:17:08.080] もいらないよね。いるんかな、これ。
[01:17:10.248] [音楽]
[01:17:11.159] お前のこと好きよ。ゆうじ
[01:17:17.400] やっぱ[音楽]裕ジが好きだから俺は。俺
[01:17:19.400] やっぱ裕二が好きだから。
[01:17:24.239] えー、全然金ねえよ、これ。
[01:17:26.320] もこんだけ売っても全然ホーリー
[01:17:30.440] U[音楽]
[01:17:32.440] ホーリージ
[01:17:34.480] 俺はあるぜ
[01:17:37.880] やるぜ祈り投げる。うーん。もうこれこれでぶっちゃけさもうさの装備全部いらないよね。過去の装備取っておく必要ないよね。ね、これ過去のさ、装備って取っとく必要ないよね。
[01:17:54.679] これ売っていいよね。
[01:18:00.440] 売っていいよね。これ全部ね。
[01:18:04.440] これいらないっしょ。
[01:18:07.280] なんで何も言わないの?みんな
[01:18:11.480] 売らない方がいいこと。
[01:18:15.440] もう賢者の精水とかせ賢者の精水ベリーくてファで何も答えは沈黙
[01:18:22.954] [音楽]
[01:18:25.080] いやグニティキラーやお金がいくらあってもだしようん金いくらあっても足りへんやんけはいこで
[01:18:39.840] 5万円貯めるまでここでレベル上げします。
[01:18:43.320] 今日はもうレベル、もう今日はストーリー進まん。もう今日ここでもうレベル上げ。
[01:18:47.320] この世界もえ安かよ。
[01:18:50.679] 世界強高すぎる。マジで。えー、
[01:18:55.600] 5
[01:18:55.960] 万円もこれやどうしよう。炎の盾で買っとく。え、どうしようかな。
[01:19:03.639] この辺で金稼ぎしてたな。
[01:19:05.840] ゴールドマン出ねえの?ゴールドマン。ルドマンは出ないの?ルドマンはこれ出るよね。
[01:19:12.800] 確かの辺ゴールドマンって好き。結構好き。このモンスター。
[01:19:23.239] ルドマン
[01:19:25.600] ゴールドマン
[01:19:27.360] せア
[01:19:30.000] ルドマンってもしかしてゴールドマンから取ってんのかね?金持ちだし。
[01:19:37.480] そういう由来だったんだ
[01:19:39.440] ね。そうそうっぽいよね。違うかな?ルド
[01:19:41.719] マンってさ、あの金持ちのルドマンってさ
[01:19:44.080] 、ルミさん、こんばんは。ゴールドマン
[01:19:46.920] から取ってんのかな?親切地獄
[01:19:50.320] の鎧い。
[01:19:52.920] 今日もやってるぜ。ええ。
[01:20:04.040] いや、もう痛いの好きじゃないから。
[01:20:06.679] もうかわいそうなのは抜けないって言ってるよね、ずっと。
[01:20:12.880] ここだ。決める
[01:20:15.280] なあ。
[01:20:33.639] どうすればいいんだ?
[01:20:36.360] どうすればねえ。ビーストモードさ、必殺技打てるんだけど、これどうなるんだ?やってみようぜ。分身。あ、分身。あ、終わった。分身したけど終わった。
[01:20:48.365] [笑い]
[01:20:52.000] 分身できるんや。
[01:20:53.600] 笑笑。
[01:20:54.960] え、分身なんて最強やん、絶対。あの神のやつでしょ?神の
[01:20:59.840] 意味なくて草。
[01:21:01.080] 神のやつでしょ?神の強いな。敵がな。
[01:21:19.960] ちょっと種全部食っちゃおっかな。
[01:21:34.679] まい。ちょっとメルキドに行くだけ行って
[01:21:37.760] みる。
[01:21:46.560] おお、出た。出マンタ。
[01:21:57.159] 快感、快感、快感。
[01:21:59.280] こりゃいいよ。バカつえ。お、バカつえや。
[01:22:03.691] [笑い]
[01:22:12.000] クソつえや。クソえや。
[01:22:14.826] [笑い]
[01:22:17.960] くそつえ。耐える、耐える、耐える。だめだ。おい、これ全然勝てねえぞ。これデッキどうなってんだよ。
[01:22:31.000] つんよ。
[01:22:37.239] え、16会感。
[01:22:40.520] これむ。ええ、
[01:22:44.400] ちょっとむずすぎるよ、これ。
[01:22:47.760] うわ、やっぱもうダめだよ、これ。勝て
[01:22:49.920] ねえよ。
[01:22:52.120] ええ、
[01:22:53.840] やっぱレベルアップするしかねえんかな。
[01:22:56.280] 金もねえんだけど。
[01:23:02.040] え、どうする?
[01:23:07.320] やっぱドラゴンキラーと炎の盾ぐらい買う
[01:23:09.719] かも。
[01:23:10.159] なんかどうにかもうあり金作ってもうタマて買ってもうちょっとさ渡り合えるぐらいにならないとこれつけちょっとちょっとちょっとちょっとちょっとちょっとちょっとちょっとちょっとちょっとちょっとちょっとおこげだ
[01:23:39.600] ダ
[01:23:50.880] ザタッチも出ますよと。
[01:23:56.199] 俺ザタッチと中学校一緒だからな。焼酎ってザタッチと一緒だぜ。
[01:24:10.719] そうなんや。笑。
[01:24:12.320] 地元一緒なんだ。ザタッチの家知ってるもん。ザタッチの実家知ってるよ、俺。
[01:24:17.313] [笑い]
[01:24:19.278] [音楽]
[01:24:30.920] いやあ、ちょっとこれまずいんじゃないの?
[01:24:52.880] せ、
[01:24:57.560] どうしたもんかね。やっぱメタル狩りするしかねえんかな。
[01:25:16.360] いや、もうこれ過去の装備全部売るからね
[01:25:18.280] 。もう俺知らないからね。全部売るからね
[01:25:20.679] 。本当にいらんいらんいらん。いらないよ
[01:25:22.960] ね。ね、これいらないよね。昔の装備って
[01:25:26.520] ね、全部いらないよね。
[01:25:31.760] 後で錬金が出てくるとかないよね
[01:25:36.080] 。いらんいらん
[01:25:37.239] いらんいらんいらん。それをでもそれを売ってしまうともう
[01:25:42.119] 2
[01:25:42.239] 度と手に入らないかもしれませんよ。なんでそういうこと言うの?いらないだろ。死の首飾りなんかいらねえ。いらんいらんいらん。こんなもん。
[01:25:42.464] [笑い]
[01:25:49.669] [音楽]
[01:26:06.400] もう賢者の整水も売りてえ。
[01:26:09.974] [音楽]
[01:26:12.080] なんとか2万円まで入れた。
[01:26:15.760] いや、もうドラグニティキラー買おうかな
[01:26:17.920] 、マジで。ドラゴンキラー
[01:26:23.360] 炎の盾。炎の盾買うか。いやあ、でも最大
[01:26:28.639] の攻撃攻撃は最大の防御なんで
[01:26:46.639] あ、妖精の剣は売れないんだ。
[01:26:53.560] ま、ちょっとこれで、や、レベルアップしてくるしかないかな。
[01:27:00.600] 本日もドラグニティ。
[01:27:02.320] 本日もドラグニティ。ドラグニティクエスティやってます。もうめっちゃむずいで、これ。いやあ、どうしよう。お金も欲しいけどレベルも上げなきゃいけないけど。
[01:27:23.639] どうしよう。
[01:27:30.360] ゴールドマン単体と出てこないかな。
[01:27:45.960] 間違えて防御やっちゃった
[01:27:51.239] 。
[01:27:52.440] ああ、上がったね。食らうか。ちゃんと手にな、もうやっぱちょっとま、メタルスライム行くわ。メタスラ行こう。だめ強すぎる。メタ行きます。ちょっとすいません。ちょっと皆さんにはちょっとあの、あの面白くない絵面が続くかおと思いますけども黙って見とけよ。
[01:28:20.520] メタのスラ、
[01:28:21.920] メタのスラがり行くわ。ちゃんと手にはめるタイプのあれだったな。あのドラゴン、ドラゴンキラーだったな。ドラゴンキラーは最初こういうタイプの武器だったんだから。今剣だけどメタ行かせてください。
[01:28:36.719] はい。メタら行かせてください。もうめんどくさいんでメタすら行かせてください。頼むよ。もうこういうめんどくさい敵は全部めんどくさい。
[01:28:47.199] 全部これや。い、
[01:28:51.880] おら。なめんじゃねえぞ。なめんなよ。メタ出たら分身してさ。
[01:29:01.960] メタすら出たら分身してさ、
[01:29:04.119] 3連をお見舞いすればええか。
[01:29:06.800] えんちゃんなめんなよ。
[01:29:10.280] おお、ここだ。うお。
[01:29:19.560] メタラ出てきて。マジでもうパッとレベル上げて済みたいねん。俺
[01:29:24.159] 紋章そんなことできんだ。
[01:29:26.000] そうなんだよ。紋章必殺技みたいのできんね。もうただ
[01:29:32.679] MPの消費が激しすぎる。
[01:29:35.080] ここだ。受けてみろ。
[01:29:38.600] いや、こ、こうでもしないとさ、
[01:29:41.719] 1対3
[01:29:42.360] の敵なんて無理だよ。あ、メタルスライム。
[01:29:49.760] 今26使ったぞ。
[01:29:52.000] 今26使ってた。
[01:29:54.320] 26。
[01:29:54.920] あ、来た。これはなんかわざわざ分身するまでまや。分身しよっか。逃げんなよ。だね、これ。
[01:30:09.280] 頼むよ。あ、いやー。
[01:30:18.360] 1
[01:30:18.560] 匹の時はわざわざ別に分身じゃなくていいかもな。ほ、これを待っていたんだ。
[01:30:32.560] 僕はこの瞬間を待ち望んで来たんだ。ここまで。
[01:30:43.040] これでどうだ?
[01:30:45.280] 殺すぞ。ちょっとほんまほんまにほんまにやめて。
[01:30:52.679] もうこれおかしいって。分身の効果早。
[01:30:57.920] 笑笑。ダブル。えい。
[01:31:06.560] ズこ。当たらなすぎやろ。なくなった。
[01:31:23.119] 解散。
[01:31:25.199] 今日ここまでにしようかな。
[01:31:27.760] うんすか。こんなに当たらないことある攻撃ね。当たんなすぎじゃない?当たらなさすぎでは今日
[01:31:36.168] [笑い]
[01:31:38.760] 1発も当てられてないんだけど、その今日
[01:31:41.440] 1日を通してまだ1
[01:31:42.800] 回もメタルスライムに攻撃当ててないんですけど。
[01:31:46.480] そんなことある?
[01:31:49.360] そんなことあるか?
[01:31:52.719] なんか、なんかバグってない?なんか
[01:31:55.719] おかしくないか?
[01:32:09.639] ちゃうね。
[01:32:16.320] 再起動すべ。
[01:32:18.440] なんか、え、マジで再起動濃厚。
[01:32:23.639] 再起動してなんかさ、乱数
[01:32:25.360] 1回リセットした方がいいかな。
[01:32:33.560] おっと。
[01:32:39.360] もうだるいって。ちこいつ
[01:32:41.960] 引いてるよ。
[01:32:43.159] ダメラン数引いてる。これ
[01:32:45.880] 、え、マジで1回リセットしようかな。こ
[01:33:08.480] やめて。
[01:33:17.000] もう体力半分以下にして早く。もうめんどいことばっかやってくんな。
[01:33:37.360] 魔人切りないんか?
[01:33:40.159] ああね。なんかそういうのあればね。いや、でもさ、メタルスライムぐらいさ、ちょ頑張ってか。よろし、よろしい。頼んます。
[01:34:22.199] まだ間に合うこだ。
[01:34:32.440] せや。
[01:34:33.719] おれ。おい。全員感。
[01:34:41.535] [笑い]
[01:34:43.800] 全員逃げたね。一瞬で。いや、なんか、なんかさ、こ、ここんだけ頑張ってそれって感じなんだけど。
[01:34:53.080] え、なんかさ、もっとさ、これ、はぐれメタル出ねえな。はぐれメタルはいい。
[01:35:10.600] ま、これはこれでレベル上げになるか。でもあとどんくらいでレベル上がんの?これ
[01:35:15.595] [音楽]
