[00:00:41.360] いつもより早いし、平日は暑い。
[00:36:36.880] え、お姉ちゃんまだここに戻ってきてない
[00:36:38.680] 。
[00:36:40.200] その前にその学校はどうした?それになぜ
[00:36:42.119] 連王子と共にいるんだ?あ、やべ、
[00:36:44.760] ちょっとお兄ちゃん坂ちが手伝ってるだけ
[00:36:46.079] 。それよりお兄ちゃんまだ戻ってこないの
[00:36:47.520] ?うむ。勇者のいで会えなかったのか?
[00:36:51.440] そうなのよ。ローレシによったみたいなん
[00:36:52.960] だけど、そこにもいなくてもうええて。
[00:36:57.359] ええて、もうちっちきち。もうあのこっ
[00:36:59.960] たらまた寄り道かしら。しょうがないわね
[00:37:03.119] 。探してくる。
[00:37:08.000] ちょ、ちょ、ちょ待ってい。
[00:37:09.800] ちょ待っていマカロン。なぜお前まで当然のようにまったついていくのだ。お兄ちゃん見つけるのは妹当然の義務でしょ。お兄ちゃん連れ戻すだけだから
[00:37:20.560] と思ってた。王上しますせでええのに。
[00:37:24.119] 何どういうことでもうわからなんかもうえ何何何王助しますせって何それ?どういう?ちょっと本当にやばい本当にわからもかあやべなかだめだ。
[00:37:38.119] じじすぎてついていけねえ。あの
[00:37:42.440] 漫才の世界
[00:37:43.280] わかんないけど言わせてもらいますけど多分だけど王城し末せでええことないと思う。あ、わ
[00:37:49.480] からのか
[00:37:50.200] 王しませでもダメだと思うよ。多分かんないけど本当にわかんない。ごめん。本当にわかんない。
[00:38:00.680] 誰そう言われればなんでそれが面白かったんだろう。
[00:38:04.760] あさんこんばんは。さんこんばんは。
[00:38:06.200] ありがとう。いや、
[00:38:08.079] ちキちの前や。し、そんな知ってるわけねえだろ。俺生まれてねえだろ、それ。ちっちきちの前ってどういうこと?ちっちきちの前そんなあんの?そんな
[00:38:21.040] 笑笑
[00:38:22.560] どんだけ前の話やねん、それわ。ちっちキちの前あるんだ。時期によって推しのゲが。うん。
[00:38:36.160] レ、すまんな。逆に面倒をかけるやもしれん。ええで、可愛いから許す。ほら大丈夫だって。お兄ちゃん探してくるから。パパちょっと待っててね。この妹可愛くねえか?ちっちぎち。そんなことないやろ。ちっちぎち。しませ。
[00:38:56.760] くそ滑るやん、こんな。基本そんなやつおれへんやろ。そうだ。そんな、そんなやつおれへんやろうでしょ。うん。そ、ちょっと知ってん。
[00:39:05.400] ごめん。知らないふりした。ごめん。若く見られたくてごめん。ちょっと知らないふりしたけどちょっと知ってる。いやね絶対見るじゃん。だ正月しか見なくないの話が広がるとは思わなかった。笑
[00:39:21.000] おい仕込んどこうかな。ここに
[00:39:23.680] 似てたし。
[00:39:25.240] 似てた。そんなやつおらへんやろ。
[00:39:33.640] 俺もじじだと思われる。チマのち
[00:39:39.079] 大阪住んでご覧。毎日見るよ。
[00:39:41.520] あ、へえ。毎日見るんだ。あの人たち関東だとさ、正月しか見ないよ。正月になんか
[00:39:49.079] そんなやつおったら王しませで終わる。
[00:39:55.280] なんかおもろ、そのなんかお子だなんとか師匠は知らないけどなんかその分おもろくない。
[00:40:01.359] この文がおもろいわ。そんなやつおったら王しませわる。どういうこと?なんかその文章がおもろいわ。
[00:40:10.079] 原はかなた師匠
[00:40:11.520] 誰だよ、それ。もうもう知らんやつ師匠って言いたないねん。こんなん誰やねんそれ。今原はか彼師匠。そんなやつおらへんやろうで終わる。
[00:40:29.079] もうちょっともうやめてくれ。昭和の笑いわからんから。昭和の笑い笑わんわからん。何そのベニハルカ師匠みたいな誰それ?そんなやつ終わったら王しませで終わる。
[00:40:46.119] 名門のウ原一問なんやがな。
[00:40:48.760] 知らねえよ。
[00:40:49.960] 名門って何?名門って?何の名門?芸人のあ、なんだ
[00:41:00.760] 安よともこ。
[00:41:02.319] もうちょほんまやめて。そのなんかあの超簡単なコンビ名やめて。その昭和特有の何と何みたいなさ。このくそ簡単すぎない?なんかそれやめて。さっきから知らんねん。
[00:41:15.720] なんかな、なんなその名前つげただけみたいな。
[00:41:20.440] 今稲原安よともこは平成もええ知らん。
[00:41:23.280] 稲原ちさとバ理とかわからんやろな。
[00:41:25.680] ほんまや。もうるああいやあ、もう勘弁してもうるせえ。もうほんまもう何を言うてさっきから。
[00:41:36.160] 上沼えみ子やで。笑笑
[00:41:38.359] あえ沼えみこ。神沼みこして知ってるよ。
[00:41:42.359] 昔ネタ振られてかいそ可いいね。
[00:41:44.720] ほかいそうでしょ。本当でしょ?
[00:41:46.680] の女帝や
[00:41:47.640] のきちゃんこんばんは。関西の女帝あも芸人であのそのか芸人で上沼えゆえみ子に嫌われたら終わるってのはなんか分かる。なんとなくわかる。ま、お兄ちゃんを探そう。オッケー。これ宿屋にいるんじゃなかったっけ?違ったっけ?俺やっぱそうや。
[00:42:15.599] いた。おい、てめえどんだけお前ふざけんなよ、マジで。
[00:42:22.839] お、
[00:42:23.520] あ、
[00:42:23.800] いやあ、探しましたよ。ローレシア王子
[00:42:27.440] えた。
[00:42:28.880] 君のお父上より聞きました。
[00:42:31.280] 大名言。
[00:42:32.079] ブルクのこと心配ですよね。
[00:42:33.800] 大名言ですよ、これ。
[00:42:34.680] 是非僕もご一緒させてください。
[00:42:37.559] 勇者の血を償ぐ同士。びっくりした。
[00:42:40.079] なんかさ、力を合わせましょう。
[00:42:41.760] て、音出てらびっくりした。なんかテレビから音出てた。危ね。あれ?お前まで一緒に来たの?
[00:42:50.920] 私も聞いたの。ムーンブルクのこと。だからせめてお兄ちゃんを探すくらい手伝いたくて。
[00:42:58.800] そっか。ごめん。
[00:43:01.839] チまゲームはたまお姉さん好き。たまお姉さんは好き。
[00:43:05.520] 愛石食堂を見てからたまお姉さんめっちゃ好き。
[00:43:07.800] あの人おによずい女優さんもくらい攻めてはこれからよろしくお願いしますね。
[00:43:14.480] え、何?何?何?くれない?え、本当に?それそうやって読むの?え、くれない。
[00:43:24.520] 卵パンてXうん。
[00:43:26.960] すごいね。あ、ベニーなんだ。ベニなんだ。やば。タマ用パンティクス。
[00:43:36.559] 3枚よ。パンティク私も。
[00:43:40.559] え、仲間になんの?
[00:43:47.760] 仲間って感じ。
[00:43:49.200] 可愛い。
[00:44:00.480] えー。はいはいはい。仲間になったぜ。
[00:44:05.160] いや、仲間なってないんや。あ、仲間になってないんだ、こいつ。あ、で、じき々きに王様に話しに行くのか。これでこれ開かないんだっけ?開かねえわ。もう俺ドラクエ
[00:44:19.280] 2
[00:44:19.559] もさ、正直全然ストーリー覚えてねえんだよな。
[00:44:22.480] そう。妹可いいかいい。
[00:44:25.000] 今作でドラゴンクエスト。
[00:44:26.480] あ、これさんもやったの?これやったんだ。やったんだ、これ。うわ、くっち。あれじゃん。
[00:44:34.079] 本も覚えてんじゃん。本みニフラも覚えて
[00:44:36.359] んじゃん。いいね。
[00:44:41.079] ポロポパポ
[00:44:48.359] 。めちゃくちゃこの曲好き。パーパ
[00:44:52.839] 。やべえ。もう早くも3人パーティーじゃ
[00:44:55.599] ねえか。
[00:44:58.400] 6の塔。6
[00:45:00.040] の塔は誰?シの塔どうだっけ?デレてデレててデレデレデレてデレデレプデレデレレデレレデレレてね。
[00:45:12.079] 1
[00:45:12.240] 番かっこいい曲ね。ドラクエで。ドラクエで
[00:45:14.599] 1番かっこいい曲。ドラゴンクエスト
[00:45:16.400] 6の塔山高一あれだからな。塔当の
[00:45:23.440] BGMで本気出しがちだから。
[00:45:29.319] 口での再現力高くて好き。
[00:45:31.680] 俺なんかそういうの得意なんだよな。ポケモンの鳴き声とか
[00:45:35.440] BGM
[00:45:36.040] とかなんか細かいとこまでなんか覚えちゃうんだよな。
[00:45:58.240] なんか変な形の白じゃない?ここんちの城の形おかしいだろ?これ変な形の白何これ?
[00:46:14.720] 父さんのスの時の簡単すぎるってこ
[00:46:19.240] ムーンブルクのこと聞きましたよ。ポメトロイト大好き。メトロイト。ちょっと今ちょっとも迷惑をかけただろ。
[00:46:32.599] 何王の手かけ娘も迷惑なんかかけてない。可愛いからよし。
[00:46:38.079] そんなことないよ。
[00:46:38.880] むしろ超助かったもんね。
[00:46:40.920] 可いいなこいつ。2
[00:46:42.000] 人ともごめんね。そもそも僕を探すために。
[00:46:46.160] 本当だよ。
[00:46:47.520] まあ良い。
[00:46:49.400] 今はそれどころではない。聞いての通り何か恐ろしい出来事がムーンブルクを襲ったようだ。何が起きたのかをその目で確かめ。
[00:46:59.880] うん。
[00:47:00.319] ムーンブルク王と王女が救いを必要としているならば連れて帰る。ロシアをにお前も同行し
[00:47:09.880] そのお役目を手助けするのだ。
[00:47:12.720] 良いな息子よ。
[00:47:15.359] わかりました。
[00:47:16.920] 元よりそのつもりです。僕も勇者の地を継ぐ者の
[00:47:20.319] 1人ですからね。
[00:47:21.280] 本当かよ。
[00:47:22.520] ムーンブルクへ向かうには南性にあるローラの門を抜けねば。
[00:47:26.839] ローラの
[00:47:27.559] 門はサマルトリアの兵が警備しています。
[00:47:30.359] そんなのあった?なかったよな。
[00:47:31.880] の通行症をお渡ししておきましょう。
[00:47:34.000] ローラのもんなんかなかったよな。ローラの門通行症。
[00:47:44.359] なんで門ひらがなんだ?
[00:47:47.040] 2
[00:47:47.200] 人とも気をつけて。
[00:47:49.200] 3
[00:47:49.359] 人。あ、まだそっか。一緒に行くって言ってないのか。え、一緒に行こうよ。
[00:47:57.000] お兄ちゃん行ってらっしゃい。
[00:48:00.440] え、なんで粘れよ、お前も。あ、え、あ、これここで一旦あれなパターンね。一旦お別れして後からどうせなんか一緒に行くパターンになるんや、多分。そうやろかい。
[00:48:14.599] そうやろかい。あ、そういなくなっちゃう
[00:48:17.599] んだ。
[00:48:20.800] 一旦ここでお別れして多分後でストーリー
[00:48:23.440] 的になんか
[00:48:26.640] 分かった分かったけど言わない。わかわめ
[00:48:30.800] めっちゃなんかほらせやろ
[00:48:32.960] おじさんやめて。懐かしいな。せヤろガ
[00:48:35.760] おじさん。
[00:48:38.720] せヤロガおじさんなんかああ変な動画の人
[00:48:41.079] だよね。
[00:48:41.440] なんかね、なん政治に切り込む人でしょ。なんかなんとかなんとか税金はなんとかなんとかでつあのカメラめっちゃ引くやつね。
[00:48:50.440] うん。
[00:48:52.160] 最近見ないな。え、ムーンブルコはローレシア王や私よりズほ。そういうことね。もう俺分かったんだよね。分かっちゃったんだよね。この妹が加入するタイミング。
[00:49:10.359] ま、ネタバレになるので言えませんがね。ネタバレになるので言えませんがね。
[00:49:19.359] がね、
[00:49:20.440] ガね。あ、パパ。お前の装備を整えなきゃいかんのとか。お前の装備を整えないかんのっちゃうか。どうせ弱いんだろ。どうせ。
[00:49:39.799] わ、せ、鉄の槍りどね、これまさかさ、あれだよな。ファミコン版のドラクエ
[00:49:47.240] 2の時はさ、ファミコン版のドラクエ
[00:49:49.880] 2の時はさ、
[00:49:51.319] いきなり最強装備だよ。
[00:49:53.160] そう、クッキーのこのマルトリア王子の最強装備ってこの鉄の槍りだったんですよ。まさかそんなことねえよな。まさかそんなことねえよな。こんなクッキーさん最強。
[00:50:06.760] 鉄の槍。
[00:50:09.799] どつるっちゃおう。ルル
[00:50:14.000] ななな
[00:50:16.920] なな。あ、甲羅の鎧いとかさ、こういうの
[00:50:21.720] あるやん。
[00:50:23.880] ちょっとぼじゃちょぼぶぼ武器
[00:50:26.520] だけ買わせて武器だけ買わせて
[00:50:30.920] どうしようかなこれ。クッキーに装備させ
[00:50:33.119] てああげようっかな。お前なんて高が知れ
[00:50:35.400] てるやろ。
[00:50:37.240] どうなでもさすがにちょっとは強化されて
[00:50:39.480] んじゃないの?
[00:50:42.880] たん。
[00:50:44.960] 甲羅の鎧装備できんじゃない?これできる
[00:50:47.720] やんけ。お前は甲ーラでもしってなさい。
[00:50:50.960] カイトバックラーはだめだ。俺持ってる
[00:50:53.160] から。
[00:50:55.839] あ、龍の動いな。
[00:51:07.040] 川の鎧いもそろそろなんか買わねえとな。
[00:51:10.960] 金が全然ねえんだよな。金ねえんだわ。
[00:51:16.359] で、どこに行けって言ってた?もうあれだ
[00:51:18.319] 。ムーンブルク行っちゃうんだよね。多分
[00:51:19.640] ね。ちょっとじゃあ行ってみましょうか。
[00:51:23.000] 行ってみようかね。
[00:51:26.880] むえ。あ、ここがローラの門なんだ。
[00:51:30.200] 何?どうなの?ムーンブルクってどこなん?うわ、アレフガルドや、これ。アレフガルドやろ。これ
[00:51:45.119] 忘れた。
[00:51:46.839] これもうアレフガルドやん。すっげえち
[00:51:51.160] そうだよ。
[00:51:52.119] すげえちっちゃくねえか。アレフガルドだってこんなちっちゃくなかったよな。パパ。
[00:52:01.000] プンプンぷンプ
[00:52:08.640] アレフガルドの南頭がムーンブルク。
[00:52:10.880] 南頭がムーンブルクね。オッケー。
[00:52:15.079] かっこいい。
[00:52:15.960] はあ。
[00:52:17.799] クッキーの声可愛いな。はあ。
[00:52:28.200] パララ。ここいいってね。
[00:52:36.000] なんかあるんじゃんけ?ここ
[00:52:41.440] チーメダ。あざす。いや、もうチーメダの
[00:52:44.280] さ、早くこれさ、盗賊の、
[00:52:47.240] 盗賊の花ってどこで手に入れんの?これさ
[00:52:49.240] 、いつになったら盗賊の花できんの?また
[00:52:52.400] もううずうずしてるんだよね。
[00:52:54.000] 盗賊の花がやりたくて早く。盗賊の花とさ、インパスインパスじゃなっけ?なんだっけ?レミラーマが欲しいんだけどなんかねえか?この辺ねか。
[00:53:09.119] 花とレミラ欲しいよね。
[00:53:10.599] 欲しい。早いうちに欲しい。色ハさんが
[00:53:15.400] 5度サブスクしまいた。
[00:53:17.440] 平日にもしてもらえるんですか?
[00:53:19.520] え?平日にもしてもらえるんですか?
[00:53:22.920] ちゃまくこんばんは。
[00:53:24.559] サブスコありがとう。
[00:53:27.040] 42ヶ月
[00:53:30.559] 丸やきです。
[00:53:32.359] 丸焼きです。なんね、お前の声?
[00:53:35.359] え?何が?誰の生まれて?何が?なんか真似した俺今。おわちゃんこんばんは。いろわちゃんこんばんは。
[00:53:44.839] 42ヶ月なかなかになってきた。
[00:53:46.960] 42ヶ月でない。サブスカありがとう。
[00:53:50.079] あと半年で4
[00:53:51.119] 年か。ずっと押してくれる人が大事にするんやで。た
[00:53:59.400] いやいやいや。さんもずっと押すんだよ。俺のこと。そうでしょ?お前らずっと俺押すんだよ。バカたれ。もやって視聴者選別しようよ。
[00:54:09.559] うん。でもそれまあれしか来なくなる。
[00:54:11.440] 4パチマンしか来なくなるから俺は夏は
[00:54:14.520] 4
[00:54:14.760] パチマンしかコメントしなかったからずっと押すんだよ。
[00:54:18.559] そうだ。お前らも全員俺のことずっと押せよ。
[00:54:25.799] 4パチマンあのオラナ
[00:54:27.920] はなの
[00:54:29.200] おなめちゃんこんばんは。なめちゃんこんばんは。久しぶり。久しぶり。じゃ、
[00:54:33.200] 4パチマンは違うな。違
[00:54:35.640] 4パチマンは
[00:54:37.480] 操作。
[00:54:39.000] いや、あれはみんなもういや、あれ正直言わせてもらうけど、幸福官喜べない茶まゲーのリスナーは茶ゲーのリスナーじゃないからね。
[00:54:49.040] 俺がたまにあるああいうわけのわからないゲームで喜べないやつは
[00:54:52.680] たあんた王上ちっちきちドラゴンクエスト
[00:54:56.599] 2ドラゴンクエスト1ア2
[00:54:59.720] こんなやつおらんやろ
[00:55:01.880] クエストマ
[00:55:04.240] 2dけ笑
[00:55:08.240] のゲームをした神さん幸福
[00:55:11.640] やったかな俺ホテのゲーム
[00:55:13.400] 幸復操作感ぬほど面白かっただろうが
[00:55:16.359] やっめっちゃおもろかった
[00:55:20.160] あれ最近値段上がってきてるからな。
[00:55:22.960] 3000
[00:55:23.400] 本しか売れてないで有名。初集売り上げ
[00:55:29.000] 3000本とか全然売れてないんだよ。
[00:55:31.520] バンドの貝が好きなかったかもしれない。
[00:55:35.720] あ、そうなんだ。なんか確かに綾鷹いない時期あったな。俺と揉めてた時期だっけ?
[00:55:41.039] 省略
[00:55:41.799] 何これ?
[00:55:43.400] チま君の幸福捜査感がおもろすぎて買ったんだぞ、私は。
[00:55:47.559] 買ったのかよ。
[00:55:48.480] 笑。
[00:55:50.359] 何これ?あ、ドラクエモダン。これな、何?急にこの何これ?何これ?
[00:55:59.319] 寝かしてる
[00:56:01.039] なん?なんのな?何これ?え?何これ?なんでこれを今貼ったの?俺に。
[00:56:08.559] すやっすやだね。毎晩もかけてあげてる。
[00:56:14.200] めっちゃいいけど。
[00:56:14.880] 県立淡路島公園アニメパーク
[00:56:17.520] 2次元の森ホテル
[00:56:20.280] 行けねえよ。兵庫県アーダコーダ
[00:56:22.839] 1回行ったけどな。コラボ部だ。
[00:56:24.640] 1
[00:56:24.760] 回1回行ったけどな。
[00:56:29.359] 1回行ったけどな。
[00:56:34.119] 大丈夫ですか?何があったんですか?言ったのかな?
[00:56:37.240] 別に何か誰と言ったって別の?別にマーブルとポンポゴミとハリボテだけどすいません。えー、魔物に突破されてしまいました。
[00:56:50.039] あ、
[00:56:51.000] なんで?あ、あって言うだよ。別に別にいいだろうが。
[00:56:53.640] 本当に息してない。う
[00:56:55.960] ん。ね。どう何してんだろうね、最近ね。
[00:56:57.880] 知らんけど、この辺りは見たことないような。見ないような魔物が
[00:57:03.359] 2
[00:57:03.520] 体突然現れてきたやつと差しで止まろうぜ。
[00:57:06.680] みんなでとって予約できたやつと差しで止まどういうこと?どういうこと?どういこと?みんなでとって予約できたやつ差して止まる。それそんこそれこんなにここあれなの?こんなにここあの競争率高いの?
[00:57:21.280] 旅館じゃないの?笑笑
[00:57:24.119] あいやどうなんだろうね。
[00:57:27.960] 別にみんな取ろうと思取れんじゃないのかな。ここはスマイド地近地下道地下道で応戦したのですが力を呼ばずなんなんのもんて。奴らが大暴れしたせいでえ壁面が壊れ水が流れ込みあたりなくなっちゃったんだ。
[00:57:46.599] 限定って書いてあったからさぞ人気なのかと。床がひんやりしてるから寝そう。
[00:57:53.599] あ、これこっちの話ちょっとなんかあ、こんから買ってきた。
[00:57:56.319] なんだな。なんだ。
[00:58:01.880] 黙るね。笑
[00:58:05.599] いや、黙んなくてもいいけどさ、別に。何言ってるの?頑張ってくれてありがとう。命があってありがとう。命があって本当に良かったです。
[00:58:14.799] こづく今だと思っちゃった。
[00:58:17.200] 何何何でも困りましたね。これじゃムーンブルクに行けないですね。ぐに申し訳ありません。
[00:58:30.599] あ、いえ、皆さんを攻めるつもりはなくて
[00:58:32.280] 、あ、もうこういううわあ、もうじん
[00:58:34.799] ちゃんにそっくり。
[00:58:37.839] じんちゃんにそっくり。クッキーのこう
[00:58:40.079] いうとこ
[00:58:43.039] あるで。じんちゃんこういうとこね。僕
[00:58:45.960] いいこと思い出しましたよ。こっから北に
[00:58:48.400] 住んだ湖の洞窟に乾きの壺ってのがあるん
[00:58:51.760] です。みんながチま君を好きすぎる説。
[00:58:55.760] うん。ま、その割にはね、その割にはあの
[00:58:58.520] 、皆さん、あの、俺が配信してない間あれ
[00:59:01.839] でしたけどね、あの、サブスク切られて
[00:59:04.520] ましたけどもね。
[00:59:07.240] いやいや、いいんですけど。冗談、冗談、
[00:59:09.760] 冗談。9人
[00:59:12.880] でサブスクが配信配信配信してない時も9
[00:59:18.000] 人。9人。
[00:59:21.480] あれ、もう9人。仮にその9
[00:59:24.280] 人全員女だったら全員だけるからな。そんくらい好きでしょ、俺のこと。
[00:59:28.680] 俺の他にいたんだ。
[00:59:30.520] あら1
[00:59:30.920] 人お前かよ。お前はか。え、乾川きの壺は、え、サマルトリアの国報で無限の乾きと無限の潤いをもたらすものと言われています。
[00:59:40.520] 笑笑。
[00:59:42.079] 小さな壺なのに無人島に水を吸いっちゃうですよ。以
[00:59:45.119] 上の何かがあるってこと?
[00:59:46.920] ないわ。
[00:59:49.200] おえ、父さんにここで起きたことを報告したら僕は乾きの壺を探していきますね。
[00:59:54.920] 抱かい。なんでこんなおっさんダがなあかんねん。あ、まずいよ。抱けはまずいんじゃない?いえ、国陛会への、え、報告は自分たちがせめてそのくらいお任せを。さん、南の西の湖へ向かってください。
[01:00:13.200] さよなら。みんな
[01:00:14.720] 大丈夫だろ?そんこれ。え、浮島に洞窟がある湖です。お間違いないようにお願いします。乾きの壺がなければこの地下道の復旧は不可能でしょうから。お前が飲むんだよ。全部この水。君たちはその気が大丈夫?はい。お気遣いありがとうございます。魔物に破れは遅れ取りましたが、え、この通り名しではありません。どうかお任せください。ええてええて。そんな流せばレないばれない。え、分かりました。では父さんの報告お願いします。
[01:00:44.119] 僕たちはここから北製にある、えー、湖の洞窟へ急ぎましょう。分かりました。なんかないの?この辺しか出れないんだ。なんかありそうでないか?
[01:01:00.520] はず。お前らが飲むんだよが好きすぎてずっと笑ってる。
[01:01:06.880] ま、ずっと笑ってると言ってもまだ言ってから
[01:01:09.079] 10秒ぐらいしか取ってないけどね。
[01:01:11.880] ま、まだ、ま、まだずっと笑ってるという
[01:01:14.400] ほど時間は経過してないようにも思えます
[01:01:16.280] が、嬉しいですね。
[01:01:20.039] 面白いと言ってもらえるのは嬉しいこと
[01:01:21.680] です。はい。
[01:01:28.760] あ、もう今、今、今BGM始まるとこやっ
[01:01:31.960] たやろか。
[01:01:35.920] いや、強やべ。クッキー
[01:01:41.160] MPなさすぎるだろ。
[01:01:42.280] このお化けの見た目好き。
[01:01:45.280] このゴースト系統な。メトロゴーストつって思っきり地上に出てますけどもね。
[01:01:51.760] はい。
[01:01:55.599] MP
[01:01:56.000] ないで。いや、一旦帰ろうよ。これ洞窟行くのちょっと無理やろ。これ一旦帰ろうや。
[01:02:08.599] パパパパンパンパンパンなるきちゃこんばんパパンパンパパンパパンパンパンどうもこんばんは寝る前にこんばんはもうほんまに今日早く寝るからな。もう今日
[01:02:26.920] 12時に終わりにするから12
[01:02:29.039] 時でも長いぐらいやわ。
[01:02:34.200] 早すぎ。
[01:02:37.279] お前明日学校だろ?ガキこら寝ろ。え?何?皆さんはお仕事とかなされてないんですか?
[01:02:46.960] 夜じゃボケカす。
[01:02:48.359] 夜じゃボケカす。なんやねんそれ?どういうこと?夜じゃボケキャスって何?
[01:02:55.520] お仕事してないと悪いんですか?
[01:02:57.480] そんなこと言った?こと言ってねえだろ。
[01:02:59.640] 学校は夜。
[01:03:00.680] ああ、そういうことね。
[01:03:01.520] あ、お前そんなこと言ったっけ?
[01:03:03.359] 昼は仕事そうだよ。
[01:03:05.440] へえ。
[01:03:06.240] あなた何されてる方?
[01:03:07.559] あなた何されてる方なの?お仕事してないと悪いんですか?もうすいません。本当に配慮の足りない発言をしてしまえ申し訳ございません。けえな。
[01:03:30.680] 320ドル
[01:03:37.799] チマゲームに配慮の文字入らないよ。
[01:03:40.400] うん。ていうのもさ。うん。そう。最初はそんなそういう感じだったけどやっぱ時代じゃん。時代じゃない。やっぱり俺も最初の方はそうだったんだけどさ、やっぱやな思いするやがるじゃん。
[01:03:53.319] 己時代。
[01:03:55.200] そう。こういう風にどんどんおろなくなってくねんな、色々。
[01:04:05.319] くらえ。ま君はもっと配慮せず一部から嫌われてほしいよ。
[01:04:10.160] サラいは女の仕事とかね。いや、冗談ですよ。冗談、冗談。ネタ、ネタ。いや、冗談じゃないですか。
[01:04:17.200] 笑笑。
[01:04:20.640] 冗談、冗談、冗談。
[01:04:21.640] 笑。
[01:04:22.319] 冗談やん。いや、冗談やろかい。
[01:04:25.000] 俺たちがその愛よ。
[01:04:27.039] 冗談やろかい。
[01:04:28.520] ネタやい。ネタやいね。ネタでしょ。冗談でしょ。うん。
[01:04:36.160] ん、それ
[01:04:37.720] そんなことないってやつ。そんなことないよ。そんなことない。そんなことない。いや、マジでもうちょっと俺を悪物にするな。みんなで俺を悪物にするなよね。
[01:04:57.319] 全部冗談じゃん。
[01:05:01.960] とる猫であったからよ。
[01:05:06.880] あ、やは
[01:05:10.640] 何何何であったからよ。何が?
[01:05:14.400] 丸焼きです。
[01:05:19.760] 何?ちょっとなんか今日やなんかさ、今日さム見ないとよ。
[01:05:24.319] 今日なんかお前らとコメント噛み合わないかも。なんか何言ってかわかんない。みんながなんかなんかあんまりあんま噛み合わないんだけど。なんかみんなと今日コメントがあんま合ってないかも。うん。なんかもうこの平日のやり方忘れたな。なんか何であったからの話しないね。
[01:05:47.240] 本当だよな。ドラクエを見ろっちゅうんじゃ。
[01:05:51.680] 平日はみんな疲れてるから。
[01:05:54.799] た丸焼きです。
[01:05:56.920] 丸焼きです。だ、チまゲームがなんだかその話たね。チマゲームが変なゲームをやった。
[01:06:10.720] やった時に
[01:06:11.880] クッキーの丸焼き
[01:06:13.359] あのあのねやっちゃえした。
[01:06:32.839] 今なんかあのロード時間入ってた。
[01:06:38.359] 今ちょっと
[01:06:39.599] ロード、ロード、ロード時間入ってる。今なんかオーバーフローした。コメントがいっぱい来たから。石、石のつを敵全体にぶっつけ。いや、こんなあるんか?いや、めっちゃえの技覚えてますやん。
[01:07:10.039] ええやん。
[01:07:18.160] 腹立つくらいに曲いいな。
[01:07:20.200] うん。めちゃめちゃいいよね、曲。
[01:07:22.400] 腹立ってきた。
[01:07:23.640] ブんブんブンブンブんブんくんくん。
[01:07:32.599] お前らいっつもやられてんな。
[01:07:35.680] 大丈夫ですか?しっかりしてください。か
[01:07:38.279] 、体が冷たい。
[01:07:43.480] そんなどうして?
[01:07:46.680] 我が国の兵です。ここの見張りをしていた
[01:07:48.880] のですが、どうして
[01:07:52.880] よ人して住みましょう。
[01:07:55.400] ムーンブルクにローラのもん。そしてここ
[01:07:57.119] まで。僕たちが思ってる以上に良くない
[01:07:59.079] ことが起きてんのかもしれません。
[01:08:13.039] 今日ここクリアできるかな?
[01:08:25.719] ちょ、お前MP使いすぎんなって。
[01:08:31.199] それ今回は宝箱はもう逃さず行くからな。ドラクエ
[01:08:49.640] 1
[01:08:49.799] の時死ぬほど取り逃したから。ガバタンのガバタンに継ぐガバタン。
[01:08:56.839] 入った。
[01:09:04.000] それ
[01:09:10.199] よし。
[01:09:14.239] え、待って。MP今HP20ぐらい伸び
[01:09:16.759] なかった?
[01:09:19.759] めっちゃHP伸びたな、今。
[01:09:22.759] なんかありそう。いや、違うな。
[01:09:32.839] おれ。それ
[01:09:37.759] おやっぱこれドラク1
[01:09:39.159] より簡単だよ。だって2人いるんだもん。
[01:09:44.000] もらいます。
[01:09:47.560] なんかこれサマルのお子様がおじ様たまに何言ってくかわかんない時あるよね。今なんつったの?羽帽子いいじゃん。
[01:09:59.719] 今全滅フラグ立った。笑。
[01:10:05.520] 全滅フラグ立ってた。俺簡単って言ったから。いや、やっぱだっちさ
[01:10:12.840] 1の時別にさ、
[01:10:15.960] 簡単だもんって。笑。簡
[01:10:17.600] 簡単。いや、2人いたらそり簡単。
[01:10:23.520] だってさ、めっちゃむずかったじゃん。
[01:10:26.280] ドラクエ1。
[01:10:29.560] これじゃこいつこあ、ブーメランにし
[01:10:33.120] ちゃう。いや、ブーメラン
[01:10:36.880] やいか。
[01:10:39.640] イバラはやばいだろうね。イバラはやばい
[01:10:41.760] だろうけどさ。
[01:10:45.719] やっちゃえ。
[01:10:56.640] だるいて。
[01:11:08.360] いや、でもこれマジでさ、クリア相当時間かかるだろうね。なんか色々やりたいゲームだよな。
[01:11:20.880] 色々やりたいゲームあんだけどな。え、
[01:11:30.199] 暑いですよ。
[01:11:33.480] やりたいゲームあんだけどでもこれはクリアしとかないと嘘だもんな。あんな手叩いてさ、発表された時さ、友ありがとうみたいなこと言ってたしね。
[01:11:46.679] ソロモンの鍵に
[01:11:48.239] わ、やりてえ。そういうゲームソロモンの鍵
[01:11:53.320] 2
[01:11:53.520] とかやりてえ。おもろかったよね。みんなで毎晩あれをさ、ああじゃねえ、こうじゃねえ言いながらさ、やってる時間あれもろかったよね。そのもんの鍵もろかったな。
[01:12:17.639] まあでもうどんのかね。
[01:12:26.199] 何?エモエモの川よ。あれおもろかったんだよね。
[01:12:36.840] そういう思い出が。
[01:12:38.520] ああ、そう。あ、あのゲームすげえなんかおもろかった。
