[00:00:14.879] やり漫画な。
[00:40:15.040] 勇者の歌を高成に残し、我が宝と共にとに眠ろう。光の根色を奏でる宝。この銀の建事を未来に伝えるために。
[00:40:40.839] ちょうど探してますねん、それ。
[00:40:42.960] うん。今のは勇者ロトの時代にこの町にいたガイという銀勇詩人の死です。父さんは彼の死が好きで子供の頃を教えてくれたんですよ。もうすぐ火がくれる。
[00:41:01.880] 宿を用意したから休んでいってくれ。
[00:41:05.640] 資殿を連れ返ってくれたせめてものお礼じゃ。是非そうしてくだされ。
[00:41:13.308] [音楽]
[00:41:13.960] で、宴を開け。俺を称える宴を開け。お一方その頃のよ。
[00:41:31.720] わしに従えなんかここだけ見たら
[00:41:58.000] DSの画質だ
[00:41:59.814] [笑い]
[00:42:00.960] なんかここだけ見たらDS
[00:42:02.520] の画質じゃない?なんか城のなんかこのミニチュア感っていうか。
[00:42:08.160] 勇者よ。見えますか?竜王の力が溢れ出しています。
[00:42:14.440] おお。
[00:42:15.640] これまでより強く深い闇がアレフガルドを飲み込もうとしている。
[00:42:33.400] あれやばいやん。
[00:42:58.109] [音楽]
[00:43:21.359] やばいや。あらららら。
[00:43:25.619] [音楽]
[00:43:34.760] 逃げた。あらららららららららららららら。これまずいんじゃない?何?俺助けに行くんかい?これ
[00:43:46.920] 妖精の里も闇に飲まれかけています。
[00:43:51.440] このままでは全てが
[00:43:59.025] [音楽]
[00:44:16.880] 妖精の里行くんかい?多分だけどあれだよ
[00:44:21.119] 多分だけど戦闘になりますよね、これ。
[00:44:24.440] ここ何なんだっけ?メルキド。ここはでも
[00:44:27.520] まああれだよな。あ、あー防牛ヘルムだけ
[00:44:31.440] 買おうかな。どうしようかな。
[00:44:34.480] 防牛ヘルム買おうかな。ここまだ買って
[00:44:37.960] ない装備あるんだよな。
[00:44:48.640] 違う。ここじゃねえ。
[00:44:56.666] [音楽]
[00:45:09.800] これは買おうかな。11上がんのでかいよ
[00:45:13.480] ね。防御力11上がるって結構でかいよな
[00:45:15.920] 。
[00:45:20.079] いやあ、買う。
[00:45:24.280] 買おう。ファントムマスク。
[00:45:27.599] うん。これ買う。[音楽]
[00:45:30.319] はい。
[00:45:33.800] ま、少しでもちょっと高い方がいいもんな
[00:45:35.720] 。防御力はな。こいだら
[00:45:39.440] じゃ妖精の村行きますか。
[00:45:56.880] 絶対ボスだろうな、これ。
[00:46:06.599] 私が食い止める。あなたたちは逃げなさい。
[00:46:15.280] 結構躊躇なく逃げたな。
[00:46:17.232] [笑い]
[00:46:18.400] 一緒に戦ってやれよ。様、
[00:46:26.160] 諦めちゃだめ。急いで助けを呼べまだ。う、
[00:46:32.760] もういっぱいいるんだこいつ。
[00:46:36.480] 僕の呪文で眠れ。
[00:46:46.480] やった。聞いた。早くみんな逃げ。
[00:46:53.119] あららららら。
[00:46:54.960] ダめダめ
[00:46:57.640] ダめダめ。これ
[00:47:02.319] え。
[00:47:03.480] 何?死んだ。死んだ。
[00:47:06.760] り。
[00:47:07.839] あら。こんなのだめ。やだや。
[00:47:13.960] 結構
[00:47:14.839] 借金に逃げて。
[00:47:18.960] まずいよ。
[00:47:20.200] 私も男わからん。やだよ。りな
[00:47:28.160] んや。りんて。
[00:47:30.640] 今言うことじゃないけど俺ずっと思ってたけどりってなんやね。遅い。
[00:47:37.200] 毎回思うけど、人足遅い。
[00:47:40.599] 毎回思うねんけど、お前一足遅いねん。
[00:47:44.119] これさ、ゾンビ系だよな、こいつは。
[00:47:46.240] ゾンビ系だよね。ドラゴン系どっち
[00:47:49.119] だわかんない。赤いことは多分聞いてるん
[00:47:51.800] だよね。
[00:47:53.880] なんでちょっと回復した?今[音楽]
[00:47:56.800] ここだ。てことは体力が半分以外になっ
[00:48:01.880] たらあれをしていいことだよな。
[00:48:05.920] ここだ。
[00:48:07.640] こいつ強ない?
[00:48:10.280] 来た来た来た来た来た来た。なんで
[00:48:12.440] 2
[00:48:12.599] 回もやんの?ってことはこういうことでらくばれ。え、なんかあんまり効かねえ。なんかあんまり効かなかった。なんで?やべえ。死ぬわ。終わった。なんだよそれ。なんで?
[00:48:25.613] [笑い]
[00:48:30.000] 学し。
[00:48:30.920] なんで?全然聞か
[00:48:33.400] 70ぐらいしか聞かった。今必殺技。
[00:48:36.240] 終わった。な
[00:48:36.960] んやねん。それなんでちょらせてなんで今聞かなかったの?普通に戦った方が良さげなんですけど。ていうかじゃフバーハかけようよ。だ、
[00:48:51.640] こういうデ爆がやっぱこいつ強えんだ。デラコマ君お疲れ。こいつ強いんだ。やっぱりこういう風にさ、デバフとかやってかなきゃダメなわけですよ。
[00:49:04.720] これ本当に不バーハ入ってるか、これ。え、で、え、もうビーストモードとかやって。いやあ、もうちょ、ま、強いって。えー、一旦回復しようか。一旦回復しようか。
[00:49:29.079] これさ、2
[00:49:29.559] 回攻撃なのはいいんだけどさ、選びたいよね。
[00:49:32.760] 自分が何するか
[00:49:36.799] からのからのジもうゾンビ
[00:49:41.559] 切り2回はやぶさ切りの方がいいのかな。
[00:49:44.119] ゾンビ切り2回の方がいいのかな。ゾンビ
[00:49:47.359] 切り2回のなんだかんだ楽しかったな。
[00:49:51.280] 難じい。これ本当に敵めっちゃ強いよ。せい
[00:50:00.720] 2
[00:50:00.960] の方が簡単なんじゃねえかなと思っちゃう。なんかパーティーだしさ。回復も俺がやんなきゃいけねえしとか結構大変なんだよね。
[00:50:11.839] ここだ。
[00:50:13.000] オよしよしよし。まず
[00:50:15.880] 1匹。まず1匹。まず1
[00:50:16.760] 匹。いいよ。いいよ。やべえ。フバーハ切れてる。
[00:50:20.400] フバーハが切れてるんですけど、まずはベホイムで回復。ここらったな。
[00:50:27.520] ちょっと待って。ちゃんとでも整えなきゃ。ここ整えろ。焦るなよ。焦るなよ。ちゃんと整えていけ。まずはグバーハ。グバーハ来てたら赤。だ
[00:50:37.760] オオ。でもでもでも痛てえな。でも痛てえけどな。ほんでまあもう
[00:50:46.400] 1回ベホイブ入れとこか。ここ
[00:50:48.559] 焦らず。
[00:50:51.400] オッケー。オッケー。オッケー。んで、
[00:50:54.400] さらにビーストモード発動。
[00:50:59.760] オッケー。オッケー、オッケー。いいよ、
[00:51:01.440] いいよ、いいよ、いいよ、いいよ。からの
[00:51:04.000] ゾンビ切り2回と。よいしょ。
[00:51:08.359] よいしょ。オッケー。いいね。
[00:51:11.119] これ勝ったな。これ勝ったな。
[00:51:14.799] これ甘い息で眠ったら終わりだよな。ここ
[00:51:16.760] だ。ここだ。
[00:51:19.599] いいね。どうすっかな?もう一旦行けるかな?これで終わるかな?これで終わればいい。
[00:51:27.240] 終われ。終わんない。まずい。ええ?なんで死んだ?今刃の鎧で死んでったな。こいつなんかな?え、とどめさしたかったな。刃の鎧で死んだな。
[00:51:34.910] [笑い]
[00:51:43.520] パチパチない。
[00:51:45.520] 情けない終わり方した。
[00:51:55.520] モりん死んじゃうの?いや、割と他にも
[00:51:58.359] いっぱい死んでる。
[00:52:03.640] 毎回人足遅いねんな、この勇者。
[00:52:19.200] 佐藤さの意識はまだ戻りませんが一名は取り止めける時だけはめっちゃ推
[00:52:27.240] ありがとう勇者よ。
[00:52:29.599] あなたが来てくれなければ私たちは今頃
[00:52:34.079] まあき不幸中の幸い
[00:52:37.359] だけどいくら茶が強く勇者が強く
[00:52:40.960] 1
[00:52:41.119] 人じゃこの世界全部は守れないでしょ。
[00:52:44.680] もうそれ友に言ってくれよ。俺も思ってんだよ。
[00:52:47.520] 1人じゃきついって。
[00:52:50.119] こんな小さな里だって埋れなかったじゃん。
[00:52:54.599] めっちゃ攻められてる。なんで俺が悪いみたいになってんだよ。は、ふざけんなよお前。
[00:52:59.839] ごめん、ごめんなさい。
[00:53:04.520] まあまあ、
[00:53:05.799] 僕は
[00:53:06.599] モりんが死んじゃったからな。
[00:53:08.200] ただ
[00:53:12.240] 俺が悪いんじゃない。痛いよ。
[00:53:15.880] 仲間になりそうなのいっぱいいたじゃん。
[00:53:18.079] 本当だよな。仲間になりそうでみんなならないんだよ。いや、木りんのことは悪かったってでも保じが悪いよ、これ。俺を
[00:53:28.920] 1
[00:53:29.040] 人で旅出させた堀裕が悪い。逃げ出したら今回の悲劇が世界中で起こるようになるのです。
[00:53:35.432] [音楽]
[00:53:37.880] 辛くても今は前に進まなければ。
[00:53:42.839] 今世界は竜王が生み出す闇に飲み込ま
[00:53:44.880] れようとしています。
[00:53:47.640] それを防ぐにはルビス様のお力が欠かせ
[00:53:49.559] ません。ルビス様の召喚の準備を急いで
[00:53:52.799] ください。はい、ありがとうございます。
[00:54:02.799] ごめんな。ちゃま、ひどいこと言って
[00:54:05.480] ごめん。今は少しになりたいんだ。ごめん
[00:54:07.480] 。
[00:54:17.520] じゃああれかな?これで
[00:54:20.400] 連して。あ、
[00:54:24.119] ひどない?これ妖精のさ、砂糖さだけこう
[00:54:26.880] やってなんかやっぱりな、あれなんだろう
[00:54:29.280] な。
[00:54:29.480] やっぱ獣賃はこうやって治療されるけど木林みたいなあの火球の妖精は誰も助けてくれないんだ。こいつだけだ。こうやって治療されてんの。え、どうすればいいの?ゆかりの地で銀の建を探す。各地の様子を見に行く。
[00:54:49.599] 火級戦士勇者と妖精の配合で強いの生まれそう。
[00:54:55.839] 配合って言うな。おい、[音楽]
[00:54:58.599] 人の営人の営めを廃合って言うのよ。
[00:55:06.000] 大事なことなんやからね。
[00:55:09.920] どこに行けばいいの?ガに行けばいいのだ
[00:55:11.680] 。俺最後の鍵持ってねえからさ。ガ行もさ
[00:55:14.400] 、ガの墓入入れないぜ。
[00:55:17.240] にもなんか印ついてるけど行ってみる。
[00:55:19.559] 邪魔はドヤ顔でグランドクロスをったドラゴンドラゴン
[00:55:22.198] [笑い]
[00:55:26.039] 1ア2マダ入ったけ
[00:55:33.880] なんでここマルツさんだ?あ、なんかイベントある。え、ちょっとバトル無理だよ。回復してないよ。おいおいおいちょっと待って。俺バトルは無理だって。
[00:55:46.760] ドラゴンフライ。お前どっち先食う?
[00:55:51.720] 喋れるんだ。子供肉うまい。俺だから親先
[00:55:59.000] 食う。
[00:56:01.880] そうか。子供デザート。お前天才。お先
[00:56:08.240] お役
[00:56:12.640] 仕事ねえかな。
[00:56:14.680] 机にさん、いいっすよ。次出す時俺モンスターの声やるからさ。俺モンスターの声やりますよ。ま、うお、俺の家族から離れろ。
[00:56:19.183] [音楽]
[00:56:29.880] ブ橋も取れん。
[00:56:38.559] チマゲームじゃなくてな、声優の時だけは本名義でやるやつね。
[00:56:43.280] なんか意識高い芸人みたいな。芸人の時は
[00:56:46.799] 芸名があるけど、あの俳優やる時だけは
[00:56:49.720] あのはまちゃんみたいな浜田正都になるん
[00:56:53.200] だよな。
[00:56:56.760] え、なんか今あ、またお前かよ。待って。
[00:57:02.680] 俺今無理だよ。お前と戦えねえぞ。うん。
[00:57:06.280] 感動の再開。家族の再開感動的だね。
[00:57:11.720] せっかく再開できたんだ。全員仲良くあの
[00:57:14.559] ように送ってやろう。
[00:57:19.799] いや、待てて。俺回復してねえって。
[00:57:25.640] え、マジか。え、ここで戦いになんのかよ
[00:57:28.119] 。おいおい。全然回復してねえじゃねえか
[00:57:31.000] 。これ無理だよ。
[00:57:33.559] これは無理でしょ。
[00:57:39.400] まずね、これね。MP足んねえぞ、多分。
[00:57:50.760] いやあ、どうしようかしらね。
[00:57:57.079] 1回これ回復させてくんねえかな。
[00:58:01.720] 回復させてくんない?これ。
[00:58:06.599] いや、だる。え、だる。
[00:58:13.960] うん。ま、フハ入れとくっか。いや、だるいな。なんやねん。それ
[00:58:20.319] これでなんで2回間違った。
[00:58:30.840] [音楽]
[00:58:36.079] やばい。
[00:58:36.839] ここだ。
[00:58:39.559] あ、やばい。間違ってる。ああ。え、MP
[00:58:42.319] がいや、もう、もう1
[00:58:43.640] 回やり直させてくれ。もう、もう分かった。もういい。分かった。もう、もう
[00:58:45.839] 1回しろ。1
[00:58:46.359] 回しろ。無理、無理、無理。これ無理よ。こんなんだって聞いてないもん。こんなとこで戦うなんて言っといて。先に回復してくるわ。回復してきますわ。そんなんだったら。そんなことするんだったら。オートセーブからってこれ。
[00:59:06.839] オートセーブからってどっからなん?これ
[00:59:08.400] 。
[00:59:18.799] あ、よかった、よかった、よかった。
[00:59:20.520] オートセーブってこっからなのね。これ
[00:59:22.799] 宿屋行けないよね。でもね、どうかこれ
[00:59:24.551] [笑い]宿屋行けないよな。宿屋行くと
[00:59:26.680] 絶対イベント踏むよね、これ。これ周り道
[00:59:29.280] してばいけない。行けんのかな?[音楽]
[00:59:31.920] これ真ん中の井戸のとこ行ったら多分
[00:59:33.520] さっきのイベント始まっちゃうからこっち
[00:59:36.480] 遠回りして宿屋。この右上の宿屋に行けば
[00:59:40.839] いいんだろ?これ行けんのかな?これ。あ
[00:59:43.760] 、行けないのかよ。もうあんたよ。行け
[00:59:47.160] ないのかよ。
[00:59:49.920] もう無理やんじゃん。
[00:59:55.000] もうなんだ早送りってこれ早くしてこれ。
[01:00:00.520] もう無理だよ。ま、無理だ。無理。無理。無理。無理だけど一応戦おう。
[01:00:09.520] ベホイム。
[01:00:14.839] うーん。
[01:00:18.359] これでどうだ?ええ。
[01:00:29.400] え、お前ベゴマラーも使えんの?
[01:00:33.640] ここからだ。
[01:00:42.760] だるい。
[01:00:44.440] ここだ。せい。
[01:00:54.319] ここだ。せい。は。
[01:00:59.960] うーん。これやっぱMP
[01:01:01.400] 満タじゃないときついな。せい。
[01:01:12.680] うん。無理だな。ちょっとあんまりにも
[01:01:20.200] MPが足んない。
[01:01:33.079] なんでここで戦うことになんねん?
[01:01:37.280] ちょっとオートセーブからちょっと待って
[01:01:38.720] 。1回ここ抜けるわ。
[01:01:50.480] かと言ってガイ行ってもしゃあなしな。
[01:02:17.473] [音楽]
[01:02:17.520] 一旦回復し
[01:02:33.640] んで、もう1回行ってみる。
[01:02:47.599] ああ、でもなあ、ま、行ってみるか。行ってみますかね。
[01:03:02.640] 橋本、こんばんは。[音楽]
[01:03:03.760] おるみさん、こんばんは。愛も変わらずドラグリティークエストやってます。
[01:03:19.079] おえどこれちゃリーンじゃなくて飛ばせないんだ。いよし行こう。よし行こう。次は曲げなんよ。えー、とりあえずま、妖精の妖精の笛で寝たりしないよ。敵許様。
[01:03:44.160] 本当だよね。こっち1
[01:03:44.880] 人なのにね。で、フバーハも入れよう。もうやっぱデバフ大事。
[01:03:54.960] これでどうだ
[01:03:57.559] からの塊り魂の新作はどうなの?
[01:04:02.079] え?何それ?やってないよ。全然やってないけど。そんなの俺。おい、仕組みやがんなよ。それはあかんわ。
[01:04:03.584] [笑い]
[01:04:15.520] これでどうだ?
[01:04:20.319] ドラゴン切り。これドラゴンフライに
[01:04:23.480] 1
[01:04:23.559] 発で多分落ちるよね。周りから片付けよう。誰かい。
[01:04:30.760] よし。
[01:04:31.520] ここだ。
[01:04:32.520] よしよ。いいね。いいね。いい。周りからやればいい。周りからやればいい。ブレス体勢切消えんの。はい。ね。これさ、デバフ早ない?切れんの
[01:04:40.160] 3
[01:04:40.440] ターンとかで切れちゃうんだ。早いって。
[01:04:42.480] いや、もうやめて。
[01:04:48.720] ここだ。
[01:04:51.680] デバフが切れんのがね、一戦早いんですよ。や、やばい。こだ。
[01:05:01.880] [音楽]
[01:05:09.599] よしよしよしよし。
[01:05:13.680] えー、ビーストモードも切れた。だからもう
[01:05:15.799] 1
[01:05:15.920] 回ここで防御力。あ、俺防御力って今どうなってる?まだ上がってるんだっけ?ま、そんくらいはいい。
[01:05:28.680] これでどうだ?
[01:05:29.680] はい。えー、で、またフバーかけて。はい、はい、はい、はい、はい。
[01:05:40.720] ほんでまたビーストモードぶち抜いてオ
[01:05:48.960] これでどうだ
[01:05:51.520] からのえドラゴン切りこれもうエイリアンフライに入れちゃおうん。よしよし。いいよ。いいよ。これでいい。
[01:06:04.559] これれてるからのここに。オ、
[01:06:13.240] ここだ。
[01:06:14.359] いいね。いいですよ。もう
[01:06:17.680] 1回。もう1回。もう1回。
[01:06:22.680] ここだ。ここだ。
[01:06:27.640] どうしよう。ここで。
[01:06:29.680] ここで回復入れとくべきなのかな?ここで
[01:06:32.839] ドラゴン切りの必殺技入れちゃおうか。
[01:06:36.160] いやあ、お前それはあかん。それはあかん
[01:06:39.039] て。それはあかんわ。
[01:06:42.440] そこで驚き上がっちゃうんだから。あかん
[01:06:45.200] よ。それは
[01:06:50.839] せい決める。
[01:06:54.720] 全然死なないんですけど。
[01:07:01.520] 頼む。
[01:07:05.720] うわ、これでまだ半分か。い、受けてみろ。
[01:07:16.119] 全然削れない。う、
[01:07:20.640] やばい。
[01:07:21.599] ここだ。
[01:07:25.680] いえ、こいつめっちゃ強くね。
[01:07:29.079] あ、仕事なの?こんな時も大変だな。お疲れさんありがとね。来年もよろしくね。し、
[01:07:39.599] うわ、語れへん。なんやこいつ。勝てない。強い。
[01:07:48.960] 何こいつ?もう
[01:07:53.520] 1回やらせてもらってよかですか?もう
[01:07:55.456] [笑い]
[01:07:56.880] 1期やらせてもらってよかですかね。
[01:08:05.160] 行け行け。
[01:08:06.480] こいつめっちゃむずいぞ。
[01:08:07.720] でもやっぱ欲場って変な風にたくさんダメージ与えるのダめかな?ちゃんとこういうの
[01:08:23.920] これでどうだ?
[01:08:24.759] ちゃんとこういう風に丁寧にやってかなきゃだめか。
[01:08:42.239] い。うん。まあまあまあまあまあ出てくるわな。そういうのはな。
[01:08:51.080] ここだせい。
[01:08:58.400] これMP
[01:08:59.120] がなくなっちゃうんだよな。でもな。
[01:09:01.640] ここだ。
[01:09:11.960] ここだ。せい。
[01:09:18.000] 強い。ここからだ。
[01:09:35.239] ここからだ。ここからだ。これでもドラゴン切りどうなんだろうな。ビーストモードやんないで。これでチクチク削ってた方がまだいいのかな。せい。
[01:10:00.840] いいね。出てきたらビーストモード打って。こ
[01:10:10.719] いや、これM
[01:10:11.560] 使いな感じもするんだよね。せい。
[01:10:33.080] ここだ。うお。ち
[01:10:41.000] うーん。やっぱMP
[01:10:42.440] が足んねえな。ここからだ。
[01:11:00.159] これでどうだ?ここ。
[01:11:13.960] いやあ、うぜえなあ。
[01:11:24.360] せい
[01:11:31.800] 強いこう。
[01:11:47.480] ちょいとこれは厳しいなあ。
[01:11:50.480] ここからだ。
[01:11:52.360] ありがてえ。
[01:11:54.360] MPないなあ。
[01:12:02.400] これでどうだ?
[01:12:23.480] もう祈りの指輪使う。
[01:12:35.600] ここからだ。いや、厳しい。食らうか。
[01:12:59.199] 厳しいね。どうすっかな。
[01:13:06.360] これでどうだ?
[01:13:21.760] あ、間違って踏た。ちげえ。間違った。俺
[01:13:23.639] がやりたいのそうじゃない。俺がやりたい
[01:13:25.440] のそうじゃない。
[01:13:28.760] 井部屋じゃなくて妖精の剣やりだから。
[01:13:32.719] いや、もういきなり殺しに来るやん、
[01:13:34.880] めっちゃ。
[01:13:39.120] ちょっとやばいなあ。
[01:13:44.840] ナイス。
[01:14:07.120] せい。
[01:14:11.800] これはどうしたもんかな。強い。やばい。
[01:14:45.239] や
[01:15:07.560] ここだ。決める。
[01:15:17.120] やばい。
[01:15:26.960] ああ、強すぎる。
[01:15:28.722] [笑い]
[01:15:31.600] マジなんだ?強いって。
[01:15:40.320] まジかこれ勝てねえ。
[01:15:44.600] だめだ。
[01:15:47.480] 強いよ。もうめっちゃもうなんやなん
[01:15:51.639] こいつ。
[01:16:00.162] [音楽]
[01:16:03.159] いや、ガラ行ってもしゃあねえしな。
[01:16:11.400] 頑張れ、頑張れ。
[01:16:13.159] あ、なんかイベントや。あら、これで街を襲ってきた奴らは全員片付いたな。
[01:16:31.520] 久しぶりじゃん。
[01:16:37.360] お前の強心配ねえと思ったけど無事確認
[01:16:39.639] できてほっとしたぜ。
[01:16:45.520] なんか変な切り方が出てきて嫌な予感がし
[01:16:47.199] たからよ。この町へ来てみたんだ。そし
[01:16:49.360] たらお魔物が大軍で押しをってきたんで
[01:16:59.040] 魔物たちは俺様に恐れをなして全員逃げ
[01:17:01.040] てっちまったから、もうこの町は大丈夫だ
[01:17:02.719] ぜ。
[01:17:04.920] 駆け出し冒険者。俺たちもちゃんと戦った
[01:17:07.440] ぜ。
[01:17:09.360] ああ、みんないる。
[01:17:13.560] 自分1人で戦ってみたいに言いやがって。
[01:17:15.360] なんて調子のいいやつなんだ。
[01:17:22.239] またあったな。噂は聞いてるぜ。ローラ姫
[01:17:24.679] を救い出した勇者ってのはお前なんだろ。
[01:17:28.280] 君はもっと世界がこうなった原因をな何と
[01:17:30.280] かしようとしてるんだよな。君はきっとか
[01:17:32.199] 。
[01:17:33.880] 俺たちだってここまで伊達に修行してきた
[01:17:36.159] わけじゃない。俺たちじゃ正一杯やっても
[01:17:38.520] この町を守れるかどうかってところだが君
[01:17:41.040] は勇者ロの地と意思を告げ継ぐもの。本物
[01:17:43.199] の勇者だ[音楽]。今ならそれが分かるさ
[01:17:44.920] 。
[01:17:47.040] つまりこの町は私らに任せてさっさと世界
[01:17:49.280] を救っ[音楽]てきたいってこと。
[01:17:51.719] まあ、そういうことだ。
[01:17:54.960] この世界へを頼んだぞ。
[01:17:58.679] うん。ええね。
[01:18:01.800] それはいいんだけど。それはいいんだけど
[01:18:04.719] 。[音楽]
[01:18:17.360] 理性のリング。いやあ、さっきのなんか
[01:18:21.440] 全然[音楽]勝てそうにねえんだけど、
[01:18:22.960] あいつ。ま、もうちょっとな感じもするん
[01:18:25.400] だけど。
[01:18:29.840] あ、これガラの墓っちか。
[01:18:36.840] はいはいはいはい。うわ、これ原作っぽい
[01:18:38.960] 。原作っぽい。このガイのハの場所。
[01:18:47.040] ただこれ多分最後の鍵がないとダめだよね
[01:18:49.239] 。だ、やっぱりだからあの変なドラゴン
[01:18:50.920] みたいの倒さなきゃいけないんだよな。
[01:18:52.320] 多分
[01:18:53.880] クソひれやマップが
[01:18:56.920] やめた。えー、じゃまたレベル上げし
[01:18:59.159] なきゃいけねえんじゃねえの?もういいて
[01:19:01.920] 。
[01:19:04.000] またレベル上げじゃねえかよ。もう
[01:19:11.960] だって単純にレベルが足りてない気がする
[01:19:14.440] 。
[01:19:15.360] 普通に強すぎたもん敵が。またレベル上げですか?もうま、ま、ドラクエってそういうゲームなんだけどな。
[01:19:26.239] 口笛の時間だ。
[01:19:28.120] 口笛ないねん、これ。ま、ドラクエ
[01:19:31.960] 1
[01:19:32.199] ってレベル上げがなんかそのゲームだもんな。なんかレベル上げていっちゃレベル上げが本編みたいなもんだからな。
[01:19:41.639] ドラて
[01:19:44.639] またやりますか?ここでレベル上げをしこ
[01:19:48.760] レベル上げしますわ。ここで
[01:19:53.600] 全くね、年の最後2025年最後の最後
[01:19:57.080] までレベル上げた。あ、いきなり来た。
[01:19:59.120] いきなり来たね。
[01:20:02.760] いきなりいいのが来たよ。
[01:20:10.159] これさ、はぐれメタルとか出てこねえのかよ。
[01:20:23.679] メタル止まりだろうね。
[01:20:25.880] やっぱこれこいつらしか出てこないんか。そこは原作に忠実なんだな。
[01:20:30.600] せア
[01:20:35.239] メタルスライム止まりか。
[01:20:38.560] あとどんくらいでレベルわかんの?あと
[01:20:41.320] 9000だぜ。[笑い]
[01:20:44.920] もう30何レベ俺?今35までじゃレベル
[01:20:48.719] 上げよう。2レベ上げます。2レベ。今
[01:20:50.800] からもうそれで今日終わりそうなんだけど
[01:20:52.920] 。
[01:20:59.120] なんだよ。全くよ。これ
[01:21:04.120] 毒沼って近くにないかないな。
[01:21:39.080] 全然出てこんし。
[01:21:57.320] 全然出てこねえじゃん。
[01:22:03.600] なんかもっと効率のいいレベル上げの場所
[01:22:05.639] ねえのかよ。
[01:22:30.547] [音楽]
[01:22:44.560] しんど
[01:22:56.747] [笑い]
[01:22:58.320] 出なすぎだろうよ。にしても。
[01:23:09.120] あ、来た、来た、来た、来た、来た。よし、よし、よし、よし、よし、よし、よし、よし、よし、よし、よし、よし。このペースじゃ困るって。もうちょっとさ、もうちょっと出てきてくんねえとさ。あ、
[01:23:28.280] え、刃の鎧めっちゃ良くない?メタルにもダメージ返すんだ。めちゃめちゃいいじゃん。
[01:23:39.040] オ、いいね。出てくりゃ倒せんだよな。出てくればな。出てこない。か戦出てくればなんとか倒せんのや。おお、出れてきた。出れてきた。いいよ。
[01:23:49.148] [笑い]
[01:24:00.159] おった。ここからだ。
[01:24:08.320] ここだ。せい。頼む。俺がダメージ受けないから倒せないんじゃないの?これ。結構回心出るな。いいね。いいね。コンクレントペースで
[01:24:24.600] 1000
[01:24:24.800] ずつ稼げるんだったら全然いいよ。もうバンバン出てきていいんだから。頼むよ。ゴミ。
[01:25:01.960] うわ。
[01:25:05.159] こういうのよ。こういうの。これはもうビーストモードやる価値あるでしょ。
[01:25:16.800] いや、もうちょっとちょっとちょっとちょっとなんでこれ俺のターン来るまでにこんな逃げてんだよ。いい
[01:25:26.199] 頼むよ。逃げんなよ。
[01:25:33.679] いや、もう
[01:25:35.760] あんだけ行って1匹かい。1回回復しよう
[01:25:39.320] 。MPがね。てかマジでこのゲームMPが
[01:25:43.119] 枯渇しすぎる。マジで。
[01:25:47.049] [音楽]
[01:25:56.440] なんかさっきもらってた不思議なボレロっ
[01:25:58.440] てなんだ。さっきこのここのじじから
[01:26:00.760] もらしてたけど不思議なボレロって何?
[01:26:06.880] 呪文や特技の消費MPが半分になる効果を
[01:26:10.159] 持ったクソ
[01:26:12.600] え、これでいいじゃん。え、何これ?半分
[01:26:15.040] になるって。
[01:26:17.679] ああ、守備力低いんか?ああ、守備力低い
[01:26:21.400] んか。
[01:26:26.119] 半分はでかいな。でもな。
[01:26:31.560] 半分になるんだって。
[01:26:34.920] めっちゃ強いな。MP消費半分はでかい
[01:26:37.719] けど
[01:26:40.199] 防御力下がんのもそれはそれで痛いしな。
[01:26:44.440] よくできてんじゃねえか。裕ジいいゲーム
[01:26:46.920] 作るね
[01:26:55.920] 。しかも今、しかもこの
[01:26:57.440] めたりけなしたり
[01:26:59.100] [笑い]
[01:27:02.800] ケなしてるのもやっぱ愛情の現れだから
[01:27:05.520] ここだ。
[01:27:06.760] 好きだからけなすねんで。
[01:27:10.080] 好きだからお前のこと思ってるから怒ってんねんて。どうでも良かったら怒らんもんな。こだ。お、めっちゃ回心出る。
[01:27:28.880] 頼むよ。全然当たらん。昭和の会社。
[01:27:33.815] [笑い]
[01:27:35.719] やっぱ普段からそういう会社に勤めてくからさ。怒られてるうちは花。何も言われなくなったら終わりなんだから。怒られてるうちは花だよ。よし。
[01:27:42.985] [笑い]
[01:27:50.600] おい、やめろ。
[01:27:52.119] 何がだよ。お前のこと思って怒ってんねんで。こっちは殴る方も痛いねんで。殴る方の手も痛いねんで。
[01:28:05.159] は、どうなの?
[01:28:06.280] 何が何が殴る方の手も痛いんだよってことをね、今日は皆さんあの覚えて帰ってほしい。
[01:28:20.040] どうでもよかったら怒らない。
[01:28:21.679] こっちも殴ってもいいか?
[01:28:24.159] だめだよ。先輩の言うことはよく聞けよ。
[01:28:31.760] ここからだ。
[01:28:33.679] ま、頼ま。[音楽]
[01:28:36.000] ここだ。
[01:28:37.400] 頼む。
[01:28:38.040] ここだ。
[01:28:39.239] いいね。ま、
[01:28:41.239] 1
[01:28:41.400] 匹倒せりゃいいよ。まだレベル上がんない。もう
[01:28:45.840] 9匹ぐらい倒しただろう。
[01:28:49.440] あとあと2500もあんのか。いいね。
[01:29:03.119] ここだ。
[01:29:04.560] ナイス。
[01:29:09.880] いいか?どっからパンチが飛んでくるかわからんからな。いいか先輩のことを思ってやってるんだぞ。
[01:29:16.651] [音楽]
[01:29:22.960] 不思議なボレロ着ようかな。どうしよっか
[01:29:24.880] な。
[01:29:28.000] あえてあの防御力下げた方があ、でもいい
[01:29:30.679] ないか。
[01:29:32.760] 鎧いのさ、今刃の鎧いでさ、ダメージ
