[00:00:13.910] んで裏地を
[00:29:36.870] 笑お前河原辛いでに俺はいい
[00:29:39.640] 先にイッちゃうよっていうまあ笑えばいけないけどねうんくらい皆さんについてきて
[00:29:45.760] 欲しいんですよね
[00:29:47.399] はいじゃないですかねぇ
[00:29:48.390] [音楽]
[00:29:52.190] ts ねれーっ
[00:29:54.210] 集団という
[00:29:56.370] うんそうだねー creator なんか増配審査とか実況さ
[00:30:03.309] とかやる上で
[00:30:06.950] なんかこうねっ何が提供できるところというか
[00:30:11.000] はぁんん
[00:30:12.960] まあ度ソナ姉なんかそういうのも具体意義に自分の中で
[00:30:19.140] 考えてあればねもうちょっとうーんそうそうそれはまずいのか話しかけられないけど
[00:30:25.890] んーなんかそのその中でフリー素材的なね
[00:30:28.890] こんなシーントランディションの動画作ったから勝手に使っていいよとあーなー
[00:30:35.150] 背景の素材とかって人に作ったからでよかったら使ってとかさ
[00:30:39.720] はぁああああああん
[00:30:41.250] できればなあっていう
[00:30:43.320] なるほどね
[00:30:44.730] 蛍光ねそういう夢はいっぱいあるんですよ
[00:30:48.480] 前はやりたいことが多いとなあもういいね王様いっぱいある
[00:30:52.320] この dji 者ももちろんこれやる客パーやるんだけども
[00:30:57.950] ああああああ
[00:30:59.590] やりたいこと多いなーおいねー
[00:31:03.309] おいねー時間が足りねーなーてえなあまあ言い訳でしかないんだけどね
[00:31:09.030] まあ
[00:31:10.010] わかるよ時間が足りないって言ってるうちはまだまだできると思うよ
[00:31:15.290] ん
[00:31:16.500] なろぐ
[00:31:17.730] な言い訳だよねっ
[00:31:19.510] dj 配信はなる1あるんですか
[00:31:22.820] あだからそのそれでそのて来い礼儀噛んでい
[00:31:27.740] まぁ毎回配信でもこれは結構行ってきてくるまあ今日その告知がある釣ったのは
[00:31:33.779] またで1周カー
[00:31:36.350] シャイ新休もうかなと
[00:31:39.240] うんその期間にチャンネル名とか
[00:31:42.510] チャンネルの
[00:31:43.830] あっあのバナーとか
[00:31:46.800] その全部切り替えて一週間なの準備の家へ
[00:31:51.480] 準備ののっち
[00:31:53.430] 甘いがで際回答
[00:31:55.800] いう形たいなぁ
[00:31:57.639] その後の黒く5月いっぱいは妄想かな
[00:32:01.119] 5月入っちゃいませんさよならして6月あたまから
[00:32:06.559] らぁぁ
[00:32:07.789] うーんとそうだねあれしたいなーと思ってて
[00:32:12.039] そう
[00:32:13.010] ねそうも復活一発目に
[00:32:16.640] bj 廃止にしようかなとなるほど
[00:32:20.100] ちょっと考えている今
[00:32:22.119] 考えてるのねそうってうん
[00:32:25.070] 絶対 r でね絶対やるよな
[00:32:28.250] 何があっ
[00:32:29.770] あの雑談配信とかやるなぁ学んだかんだねやるんだなんだかんだやる何何やるんだな
[00:32:36.700] あっヒアンて言われちゃってへ家でも大丈夫大丈夫じゃあもう絶なぁね結局ざー配信と
[00:32:48.010] かをつけるかも知れぬふ寂しい
[00:32:49.789] くなってやっちゃうんだなぁ
[00:32:52.039] 連携や1週間だかな
[00:32:55.270] 言ってねー愛し1週間もないですよそんな
[00:32:59.410] バッハん言ってさあのから家のイすぐやりますよ
[00:33:04.480] よって1週間よみんな言うじゃないか
[00:33:07.820] テコ入れってがなんとかなんとかで3ヶ月を得ずにもらえますどうぞ
[00:33:12.920] ありますね8月からやりますと
[00:33:16.160] ん
[00:33:17.440] 山田のまんま
[00:33:18.899] ないそんな休み期間僕はいらないです
[00:33:22.260] 医師会元1週間で戻ってきますよってああ
[00:33:27.220] いや俺の予想4日ぐらいで帰ってくんであります
[00:33:30.340] ガチャ運や普通に多分配信をつけると思うんだけどそう帰ってくるというのはそうね
[00:33:35.289] はい人はするんじゃないかな
[00:33:38.659] 踏んでます
[00:33:40.190] 万な感じなんすよ
[00:33:42.600] これからの dba 娘 dba むす名前はもうなくなるんですけどこれからお
[00:33:46.289] ちゃまに
[00:33:46.860] の動向に
[00:33:48.429] 期待大ということで
[00:33:51.090] ダイエット配信ないと寂しいじゃあ俺が住んでいる1週間代わりに下水金と純ちゃんが
[00:33:57.180] 配信します
[00:33:58.530] マジであるそれじゃあまだべまじでくれね駄目それ
[00:34:02.700] 上を見に行くけどそしたらいいんんんッ
[00:34:06.100] 純ちゃんのその配信にてんだったら3連のこのラジオでもずっと言ってるよねー
[00:34:11.350] ずっと言ってるねみんな見たいよだ分
[00:34:15.580] もし無理ですよしっぱねえしょっぴけ
[00:34:19.180] 引っ張られすぎて駄文長とハードル上がってるぜ
[00:34:23.669] いやいや
[00:34:25.179] いや普通にやるだけで別にええ
[00:34:28.050] 入らわーっ超見てそれ
[00:34:31.410] ない自然京見てられんそれこそはられる感じでした見てこれ見たいッテジュンサンが夜
[00:34:37.440] の大屋根やや
[00:34:39.300] 品なんでやんなよ
[00:34:41.850] なんでやなルーンやううーん
[00:34:44.320] なんで合う色
[00:34:47.190] へっでやらないの方ながらが難しい事言うじゃんの飲んでおめでをやんない浦語版でも
[00:34:53.520] 配信やんない理由がこんな面白いる
[00:34:56.760] いやそのも白いっていうのはやっぱ難しいんだよ
[00:35:02.730] あっはっは
[00:35:03.780] なぎーお城いってのは小難しい来て
[00:35:07.590] on
[00:35:07.910] [音楽]
[00:35:09.180] 説明しようとするとつまらなくなるんだ
[00:35:13.530] あーその面白いっていうものをねそうそうそう
[00:35:16.560] まあそれはなんとなくわかるね何が面白いろって言われたら何やったらいいんだよな
[00:35:21.090] そうねそこに取り巻くこの空気感っていうか
[00:35:25.500] それを事細かに言葉にしてしまうと
[00:35:28.980] そのその単にからくりがわかったようになって
[00:35:32.570] まあそれはなんとなくわかるけどこいつ勝手にすべてるはぐらいの子が面白いじゃんん
[00:35:39.390] [音楽]
[00:35:41.160] なんか作り込まれたものまあそれもそれをとっすは多分重要だってそうだねようん
[00:35:48.150] グッズプロじゃないしん
[00:35:50.470] なんか適当なことをしゃべって
[00:35:52.480] [音楽]
[00:35:53.800] 1人破ってるっていうねやれやれやるんかそれやれ
[00:36:02.270] いやー面白いんかな面白いよ俺だから廃人早くしたもんだからさあ村最近ずっと準備
[00:36:08.360] 期間やってるからガッツリゲームをやってないじゃんドラッグエモやんなくなったし
[00:36:12.520] なぁ
[00:36:13.940] 雑談つけるかちょっとへ pinks 1時間ぐらいやるかぐらいのアイシンしかし
[00:36:18.380] じゃなくてやーもやっぱり俺ああいうゲームもやりたいって
[00:36:21.230] ドラ蹴鞠たい
[00:36:22.260] がっつり9時から1時までドラッグやりたいってかさ
[00:36:25.640] 配信でやりてあっていう欲が今すごく出てきている
[00:36:30.289] ああなのだダウンさや利益もいっぱいあるまずあまり対し
[00:36:34.969] 薄毛ありたいゲームいっぱいあるんだけどもちろんそのエーペックスも配信でがっつり
[00:36:39.140] やりたいし
[00:36:40.069] うんそうですプラム型すごいやりたいなーって思ってるんだけどとりあえずその準備
[00:36:45.319] 期間中は我慢しなきゃだ
[00:36:48.430] 我慢せそうだがらすごくいま良い良い風が俺の中で吹いてる
[00:36:53.290] そのゲームやりてーっていう
[00:36:56.570] いい風ねいいかなら取るそのやりたくなくてやらないんじゃなくてやりたいんだけど
[00:37:00.770] できないも除名だからもうこのあ
[00:37:03.269] あれだからねぇいいじゃん
[00:37:06.180] ドラクエ ra てエイペックスをやるんねえぶつやるエイベックスの名前やてだね
[00:37:11.280] 行ってましたねえべくも上よ
[00:37:13.580] ただ fx うーん雨部痛
[00:37:19.170] お前参加語ってちょっと怖いなく大丈夫手のひらあの壊れてない
[00:37:24.420] this 風知ってる流れうんやー
[00:37:28.130] エピックファーやりやるんだけど
[00:37:31.890] どこじゃあやり方に問題があるよね
[00:37:35.880] どうなんだろうねぇマイ人とやるとさ
[00:37:40.380] 足引っ張るじゃない
[00:37:42.530] まあですねスタ難しいよね
[00:37:45.630] 参加型って行ってもん
[00:37:49.080] どうなんだろうかね
[00:37:50.770] 幼女このを創造同じ力で同じ力ずたたがエイペックスと面白いんだよなぁ
[00:37:59.220] おねそうだお願いをエイベックスひとりだってとすげー思う
[00:38:03.000] こいつヘたくさんっていうといっぱいるわけですやっぱり下手苦痛のなんか幼稚園児の
[00:38:08.640] 砂場みたいなとこに集まり言ってからさーああ x 国を張ってやってるからさ
[00:38:27.650] ブーバーンすごい者上手い人はもうジャンプして避けてたまあ変えてる間はすっ
[00:38:46.120] [笑い]
[00:38:48.180] ブーバーこれやりますかーみたいな2そういう
[00:38:53.780] エイペックスだから参加型行ったところで多分こんなレベル低いのもいいかねやって
[00:38:58.580] 思われちゃうじゃないけど
[00:39:00.230] my big の設置もするよと
[00:39:02.190] 3人固まってなんか爆弾投げられて終わるみたいな賞も列車よ
[00:39:09.619] 角栄て0 px などは楽しくなくはないんだけどやってる分には楽しいんだけどその
[00:39:15.619] 申し上げない感が出てくるんだよなうわぁ森のせいでもボロ負けなごめんみたいな
[00:39:21.049] ジャパン人いるうちの一人がそれなだけでかなりやっぱ違う
[00:39:25.250] なるほどねまあねそっか3人そっか3人しかできないんだなぁ
[00:39:30.980] なの滝使うよねー弱い方がいう中で
[00:39:34.910] ん
[00:39:35.300] 気遣うよねーごめん4本あって
[00:39:38.880] 強い人もキーツ患者のすぎ使うかなあまあそうだよねー
[00:39:43.190] あ処分いけない子ね俺女
[00:39:45.460] そうだね同じサプレボックス当たっちゃうしねうんあので弾の種類も被ったとき
[00:39:54.369] つか調子ね
[00:39:55.910] なるほどねーライフラインパッケージもわけわかんないどこに出して欲しいね
[00:40:02.930] 音ない俺この好きか読んだ
[00:40:05.150] うーん山なもん的にここにいますよって言ってるようなもんだからなそのだね前に技や
[00:40:10.430] 良いところに出すなぁと思うんだよね
[00:40:13.140] なろぐ
[00:40:14.260] [音楽]
[00:40:17.050] ん吉家よなぁ
[00:40:20.090] 江南ねイライラさせたくもないし
[00:40:24.349] ネイビー x てゲーム自体はものすごく面白い最近だからずっとやってるんだよ
[00:40:29.190] nana が羽化治りしたんで仲直りシャナ上手くなってんだにゃうまくはだってない
[00:40:33.930] けどやっぱなってなきゃいいよ
[00:40:35.940] 上手くなってないのにランクがどんどん上がっていっちゃうからさあすぎ焦るんだよ
[00:40:39.480] ねー
[00:40:40.260] おいおい俺まだ全然上手くなってねーっそう思いながらどんどんランクが19
[00:40:45.089] 20二十一二十二違ってってさんっ
[00:40:48.869] ok
[00:40:49.180] 何も変わってないんですけどアレすぎ焦るんだよな
[00:40:53.339] あれは別にゲーム上のシステムのムーン
[00:40:56.819] だ
[00:40:57.950] まーすぷらはいいじゃん
[00:41:00.950] なんかスプラトゥーンとよくないん
[00:41:03.420] ね響ジャズんなんかなんとかなぁ
[00:41:08.730] 参加が第一してもいい
[00:41:10.940] なんかあんまり迷惑かけないっていうかああそういうことねそう死んだら終わりじゃ
[00:41:15.380] ないしね
[00:41:16.549] あーうー帰ってくるからねそうそうだ奪い1つめはアーって行っても何かその
[00:41:21.890] なんつーかね
[00:41:23.380] あれは何か良いやれるすごく
[00:41:27.730] 夏プレートもやるし
[00:41:29.970] 入ってこれるからねリスポーンスマーフレスまあそういうなんカスプレイヤースキルが
[00:41:36.390] 関係ない位
[00:41:37.930] 天春とかな
[00:41:40.330] なあそういううーんやれまあまあ
[00:41:44.050] ゲームスキルをかける洒落ってゲーム好きいる
[00:41:48.450] いや関係あるでーしょん関係ねーだろある子
[00:41:51.750] コンピュータースククリアできねえんもうそれではあ
[00:41:54.839] 洒落たすくってでもずっとっての順ちゃんくらいかな
[00:41:58.560] マジでだからだそれも盾スキル者や姉だってアレだって追われだねチェンジャー生姜超
[00:42:05.490] 学生がなんかあの
[00:42:07.349] パソコンの勉強し
[00:42:08.440] 使用しましょうぐらいの中ホなんかじゃあ違います
[00:42:14.830] あれ餅太郎スマイルぐらいのパーカー誰もが手なら
[00:42:18.160] 一太郎スマイルとかでやってさあのクリックゲーぐらいのレベルじゃねえのアレ
[00:42:22.500] いやいやいやいやだというのんなこのタスクっていうのはたまにあるあるーるわかん
[00:42:27.090] ないと怒る始めてそろそろされながらさあめっちゃくっちゃ変わったらしいよねうん何
[00:42:32.160] かね
[00:42:32.610] うーんまぁやってないけどだからちょっときいなってるにょそうそう
[00:42:40.260] はないみたいなと
[00:42:42.900] だから絶対もうそれでも
[00:42:45.310] さっきやっている人と
[00:42:47.300] やってない人者様つく者それはまああるかもしれないな
[00:42:51.790] でも別結局アレのきもってさどう嘘ついてどうだまあさ向けるかじゃ
[00:43:00.410] そうだねそこはもうさー
[00:43:02.810] ゲームの甘さの関係なくなってくるんだよ a 者に何の甘さが必要な
[00:43:07.490] や毛布は人間のだます力ですよね
[00:43:11.109] 悪に悪人が確認が勝つですよそういうのが面白いね
[00:43:16.049] 茶マークにながらのだからそんなことないでしょ
[00:43:19.520] 同じ馬鹿正直に
[00:43:22.270] 向き合っている人いないでしょ配信に
[00:43:26.099] あ
[00:43:27.040] そっかー4だよっ
[00:43:29.039] なぁ微妙な空気なぜ止めます
[00:43:32.640] だけあるん
[00:43:33.640] [音楽]
[00:43:34.940] うんかっ
[00:43:36.750] なるほどねうーんますますみたいで見たいでしょう
[00:43:42.210] あ漫画さあね行ってみたいに行ってみたいなまたねうん
[00:43:46.140] 久しぶりのような
[00:43:48.970] そうだね
[00:43:51.440] 入った俺じゃないっていいようにゃああ
[00:43:54.760] 俺絶対殺してない左右ですよな
[00:43:58.570] あそっかーふらー皆言う
[00:44:00.760] そっか逆に逆に俺殺しちゃったわ
[00:44:05.590] すっ
[00:44:06.750] 言ってみたらどうなんだ通報されてをはんじゃないでいいん
[00:44:13.590] まぁそんな感じですねー
[00:44:15.380] 一番ダメなやつじゃん
[00:44:17.759] ならまあその
[00:44:19.790] あれしますよと
[00:44:21.120] [音楽]
[00:44:22.180] これからガンガンいくんでー
[00:44:24.750] ねっ
[00:44:26.340] そうだねー年目に特に車ちゃまちゃんもよろしくお願いしますと
[00:44:30.390] はいちゃめちゃんってことぐうたら塩もね宜しくお願いしますか
[00:44:34.500] そうですねそれは月イチで焼く
[00:44:37.819] というところで僕の話はおしまいにしようかなと
[00:44:42.559] ハード循環
[00:44:43.880] キュンちゃんよろしく
[00:44:46.560] お礼の話大丈夫かなぁんね1個でそうなんで一気同人だけどか言いながら
[00:44:52.559] いやこの間山かさ
[00:45:10.780] ブーバーマジじゃーんっ前に笑えない
[00:45:14.730] て帰ってきたもんねうん
[00:45:17.019] ほんとだよああ
[00:45:19.530] いやーのですね
[00:45:21.750] 先々週荷重
[00:45:34.400] ブーブー1本まーぬーまあまあ
[00:45:44.829] なんだ
[00:45:46.490] まあ
[00:45:47.610] 不整脈で倒れたんですよはいはいね
[00:45:52.380] 単純に安全にね断然に言えば倒れたって話
[00:45:58.200] 本当にさ
[00:46:00.430] 無理しないで目
[00:46:02.589] まあまあねうーん
[00:46:05.060] 寝てるちゃんとご飯食べてる寝てる寝てるでご飯食べてる
[00:46:09.680] 頼むよホントにホントにこんな時間にラジオや鉄大丈夫なんですか
[00:46:14.850] あーもうまあこれは定期的なさんなんで
[00:46:18.390] う
[00:46:19.950] まあねえ増税を買うそうですねーまた倒れたのか
[00:46:24.359] アースなぜもうねぇあるねえ
[00:46:27.570] 僕は以前ちゃんと何年も付き合ってるからあれなんだけど
[00:46:32.040] もう手がくん去年知り合ったシュガーくんですがまたっ
[00:46:36.330] また倒れたためにも2回目なんでね
[00:46:40.849] 日本2回目倒れているそうだよにかやだあれだろ
[00:46:44.569] 前田それこそアマンガスの住人であるとき潤ちゃんが良かったじゃん
[00:46:48.640] 有馬ようにしてるけど
[00:46:50.690] ある打ってトイレで打ったるサージャー
[00:46:54.580] その双方にあるのじゃねえだろ
[00:46:58.350] アリアンパワー
[00:47:01.029] あって所
[00:47:02.750] あればマジなんうん
[00:47:05.060] まじの姉美女ゲラーあったら寝不足分
[00:47:09.380] あれな方あれ倒れたなうーんあのねぇ
[00:47:12.980] あれは今ではないけれど今だから言うけどさ
[00:47:16.910] あの住人アマン月ちゃまん月やってた時に
[00:47:20.480] ソジュンちゃんがずっと来なくてみんなであれ順ちゃん何で来ないんだろうねぇみたい
[00:47:25.460] なしたんだよってやってる最中実は純ちゃんから line きて
[00:47:31.269] はい
[00:47:32.150] はいの方から初めて聞く話みたいななんてにざーず line がきてさあ
[00:47:39.079] あの
[00:47:40.920] 僕ねぶっ倒れさは釣ってアサード3時ぐらい
[00:47:44.580] 惨事じゃぐライブに
[00:47:47.720] でそれでガンガンまでやってたんだよ
[00:47:50.280] 88人とかでうーんガムはマンカスどころじゃなくなっちゃって俺もう
[00:47:55.490] わたぼうれ委員ポスターより汗てたんじゃないかなところで寝入っながらスターよる
[00:47:59.780] 挙動が怪しかったと思う
[00:48:01.970] まじかーこいつって思って
[00:48:04.790] 大丈夫かなろうねなるほど女じゃないから
[00:48:07.880] うん
[00:48:09.070] ヤン時はため入院入院てがあのしてないないだろう
[00:48:12.910] 建装そんな今回は外芸者に運ばれました
[00:48:19.740] えっあっはぁ笑4 a
[00:48:23.490] 同数値回顧録うっぜ
[00:48:26.420] 俺もそれを最初聞いたときはマジでバカ笑えねーよと思ったけど
[00:48:31.320] えんぷりねー
[00:48:33.260] 本当にネ早期傾斜そうね読んでもらったから家になるんだけど
[00:48:39.780] そそがその前日に総連となんだよ1回のよそうそうそうそう
[00:48:44.900] そうそう村で色々やってて
[00:48:47.720] かえるん
[00:48:48.920] 12時過ぎとかに入っ何時に帰ったのはなんだっけ朝がどういったんだっけ
[00:48:54.540] あったねー家に着いたのは朝5時くらいだっはい
[00:49:00.170] その後に倒れたっていうツアロボローンと思う俺が適任感じじゃってさぁ
[00:49:06.750] 大丈夫でそれはまた違うからん
[00:49:10.640] 家やなガラス新た the 昼夜逆転寸
[00:49:13.730] 私は多いんじゃないかなと
[00:49:15.510] 何けど昼夜逆転してるんじゃないかね別にしてるだろう
[00:49:19.600] いやいやしれないしないやしてるかも色どっちだ
[00:49:23.140] えっ
[00:49:25.019] ねえだから
[00:49:26.360] んで次の日さあ遭遇それでその後思って焦ったのが
[00:49:30.680] んやっぱ運ばれて病院に入れてないんきた蛇
[00:49:34.530] おおもう俺がさあを抱い集会はつつすげー line 送っていてそ中から帰って来
[00:49:39.330] なかったじゃあ
[00:49:40.930] あ倉庫で俺超焦っちゃってすげえなんか
[00:49:46.250] 大丈夫こいつのんで
[00:49:49.230] ライブライブしーなーねっ
[00:49:54.750] を
[00:49:55.530] いやぁまぁねぇ
[00:49:58.160] そこでネエ系経営者で運ばれてまあまあ原因原因としては
[00:50:04.480] あの
[00:50:06.220] なんだ
[00:50:07.569] 頻脈になっちゃって
[00:50:09.980] 何それ金脈ってのは脈が速くなっちゃう
[00:50:15.280] だから144ぐらいも流れ a
[00:50:20.239] そうそうそうで
[00:50:22.770] なんだっけな
[00:50:24.380] なんとそう頭と心臓が
[00:50:27.250] ほんと血液を送れなくなっちゃうんで全身に
[00:50:32.380] 1回の度君が弱くなるかあぁなるほどちょっととっととってなってるから
[00:50:39.690] そので低血圧になって
[00:50:43.040] なんかそのまま
[00:50:45.690] ピーポーみたいな感じ額何吸っていいかって有効なんだけどピーポーカーっていうそう
[00:50:51.850] あピーポなんですけどそうれあれマジで焦ったあー
[00:50:56.640] 頭に調子面外したわー
[00:51:00.480] 普段の愛編しか振らざる俺からいっぱいラインきてただろう
[00:51:04.799] じゃあねれたあんまり俺こうやっていると自分の交換だ限定じゃねえかっていうか思わ
[00:51:10.990] れるんじゃないかね思われてそうだから嫌だけど勇気
[00:51:14.800] 普通にう2だってみーみんなしないもんねっオフダミーもしない a だよああライン
[00:51:21.130] めちゃくちゃいいへい大丈夫
[00:51:26.500] 見えなかったっていうのは正直なんだけどねだ
[00:51:30.289] 寝てたねああああそうですねそれは曹操曹操が寝てもらわないとこっちも困るんです
[00:51:36.709] けど
[00:51:37.910] うそんでさあまた面白いアジェ人とさあその中に
[00:51:42.260] その笑える一切処分できずけこえー最初によりそれはられるとかあるし
[00:51:48.020] 笑える順ちゃん基準でじゃないかでみんな基準でだからね
[00:51:51.260] 0大丈夫俺議員ではないからあああそりゃあメロそうなあーーやてぃえええ
[00:51:58.190] あの前はうとりあえず救命救急に運ばれて
[00:52:03.150] もれるドラマでしか聞いたことないわよねその9メニュー9
[00:52:07.550] そう脳に運ばれましていっ
[00:52:10.740] 泥正版は救命救急の声打ち込む打ち込まれるとか皆菊の怖がってる自分って怖いやっ端
[00:52:20.130] 面白いからデー
[00:52:21.880] ほんとーう
[00:52:24.049] まあまあ脈が速いときに
[00:52:27.670] どれを治すかっていう話になるバードイツのオゾン
[00:52:31.869] あのねぇ
[00:52:33.339] 一つまあ2種類方法があってひとつはテンペ機を
[00:52:38.829] まぁねぇ伝的で薬入れる方法を
[00:52:43.740] あともう一度電気ショックっていう
[00:52:46.170] ああそれじゃやがヤバいじゃんあるんだけど
[00:52:51.000] で自分の場合はなく結構やばかったらしくて
[00:52:55.370] [音楽]
[00:52:56.730] あの
[00:52:58.220] 薬だと周りが遅いからなはいはいはいはいはいはい
[00:53:02.270] やっぱり
[00:53:03.980] そのだからもうなんか電気ショックやっちゃうんだよなノリで
[00:53:07.940] うん
[00:53:08.839] ノリでで法へ
[00:53:11.510] で電気ショックを
[00:53:13.700] やることになって
[00:53:32.920] ブーブー
[00:53:34.700] そうそれであの電気ショックする時だみんながこう
[00:53:40.550] ドラマで見てるようなさ b りぃ
[00:53:43.849] みたいな愛んじゃねぇとガウンみたいなねじゃないくて
[00:53:48.760] あのよくさそこらへんにを今置いてあんじゃなんだっけ ad
[00:53:53.650] 添え ed 通りの方が詳しいんだよ運河の saas が
[00:53:57.340] をつあつがしたいんだよ熟知し統計と ad みたいな感じでやるんだけど
[00:54:04.859] あるってあの
[00:54:06.589] なんだ
[00:54:08.190] 体に貼るんでなんか貼っつけてやつだねそうそうそうそうで俺もそれ
[00:54:14.160] 病院で何かうーんまつけられるうーん
[00:54:17.600] でちょっと電気ショック痛いカラー
[00:54:21.400] あのちょっと
[00:54:23.360] 寝ましょうねって言われてあまだその時は順調なやスキャル式ある ic も載ってて
[00:54:29.570] あむきっでもそん時ってやばいんじゃないの
[00:54:34.010] だ脈んすごい速いの自分でもわかるし
[00:54:37.839] あのなんつーかなぁ
[00:54:40.750] 体だるい感じなんだよね動きねーみたいな
[00:54:45.519] そう血液回ってないからさ
[00:54:49.110] それけど意識があるんだけど4ンスもっとんでそべつに
[00:54:53.610] 車ベレーよ喋ろうとすればしゃべれる
[00:54:56.730] 間だけであるんん
[00:54:59.440] すごい不思議な感覚 air
[00:55:01.970] [音楽]
[00:55:03.150] でえっなんでやろ
[00:55:05.760] ラジーばのなんかさー
[00:55:16.400] ブーブー言いちょちまあ今日自慢じゃあね
[00:55:28.420] ああいいいいいいすごいしーなー感覚だよ
[00:55:32.710] なるほどねそうそうはーいでその電話電飾やりますと
[00:55:37.750] はい
[00:55:38.670] であの
[00:55:41.119] ちょっとなんだ
[00:55:43.990] 抜くなりますねって言われて
[00:55:46.760] なくずーっとますね人は松井マイルはまずいですよ
[00:55:51.540] 松井するねって言われん
[00:55:54.070] で分かりましたみたい分かったとは言えないんだけど
[00:55:58.270] わーっに振ることができるじゃん
[00:56:01.400] できたまずいと思って赤穂きたまま梅雨おるぞ
[00:56:06.130] んでグータラ上名物草こりきたよ潤ジャン versus 麻酔の話
[00:56:11.650] その
[00:56:12.640] リベンジマッチそうこれは姉あつしかないだろれ
[00:56:18.430] その状態で行っちゃまだな者が普段のとき山だから元気ではないよもちろん手術に切り
[00:56:25.690] で元気じゃないけどさ
[00:56:27.579] 意識朦朧とは室内じゃそりゃシューズまあまあ
[00:56:31.599] 臨機な状態で手術し回入ってきたしグッズ2
[00:56:35.170] まあまあそうだねうんがそんな判例を
[00:56:38.420] 酔った状態でかけ使う
[00:56:40.859] いやあのね今回はねぇ
[00:56:43.920] 判定基準がすごく難しかっ難しくてバレたレベまーすよね判定基準とがあんのかよ
[00:56:51.119] えっ
[00:56:52.000] 西山ルールみたいなえっ
[00:56:56.120] あのなんだまずいを入れられるじゃん
[00:57:00.290] で入れられたときに
[00:57:03.250] あの頭の中グルグルするのはわかっわかったんだよ
[00:57:07.770] ナキタキタコレコレと思ったよ
[00:57:10.980] たこれまっ水だと思って
[00:57:13.600] で俺もぜってぇ負けねぇよと思う bgm 終わっちゃって
[00:57:17.500] ああ
[00:57:19.910] はいで絶対負けないよともっと o
[00:57:24.780] で今やっぱ前も言ったけど目をつぶったら負けなんすよ
[00:57:30.980] ハァハァ
[00:57:31.820] 負けなのねそうだねうんだから
[00:57:35.530] ずーっと目挙げたのん
[00:57:38.890] 運もないように
[00:57:42.289] そんでそしたら
[00:57:44.450] 気づいたらん
[00:57:46.589] 気づいたら電気職をは終わりましたよ
[00:57:50.940] えほんとにほんとにねー
[00:57:53.329] ス結果から言うと負けたん
[00:57:56.239] いや俺がね開いてたよえっちゃんとわかってたよ
[00:58:00.110] エレコそのビリってきたのはしちゃう
[00:58:03.670] あそれでねぐらいバスいたんじゃないでしょ
[00:58:06.420] 何眠らない麻酔局所も誰曲射まずやまぁそこらへんはねぇ
[00:58:12.559] わかんねーんだけど一つ痛かったところがあって
[00:58:18.079] あーう
[00:58:19.300] 鼠径部ってわかるいっ
[00:58:21.560] わかるよあの整形分
[00:58:24.770] 足の付け根な脚の付け根姉のところに
[00:58:29.540] めちゃめちゃ何回針を刺されたんだよ
[00:58:33.600] 超痛かったれ
[00:58:35.380] sony 内に駐車等々
[00:58:38.090] ダウンねそこ動脈があるから太いていくんだねそう大動脈注射で入れたんじゃねぇかな
[00:58:44.960] とは思っての fe 4
[00:58:46.910] 今日一定の
[00:58:48.960] 私大和田から
[00:58:50.560] ごめんなさいねほんとにこんな時間だから言うけどうーん
[00:58:54.789] 大事なものがあるじゃないよ起き存知ですね男には大事なものがあるとそのすぐ横
[00:59:01.329] ちょっていうねそれまあそうだね
[00:59:03.579] そこに
[00:59:05.740] ちゅうちゃんを打ち込まれて打ち込まれて
[00:59:09.769] だとで多分いやランスやはりが超痛かった
[00:59:14.200] それはあるように一位じゃられたらその麻酔
[00:59:17.829] アーム個ついて
[00:59:20.600] 病院ついて
[00:59:23.750] でじゃあ電飾やりますかってなって
[00:59:28.650] 駐車入れられたって感じ
[00:59:31.369] a
[00:59:32.840] がもうしたのいいで
[00:59:34.900] あぁそうそう暗所あのねぇいつもよねあのねえっ
[00:59:39.730] 着変だよね全部ねぬアドレスたのよ全部じゃないけど
[00:59:45.009] したもう負担2も含めて
[00:59:48.090] 生まれたままの姿が良かったしな翼
[00:59:52.410] 自分のその時相手店にジーパンじゃないけど
[00:59:57.300] それがあの
[01:00:00.180] 膝 g に下がったから2
[01:00:02.370] ああそう本当その元額はあるんでその感覚がある当たり前なんだけども
[01:00:08.140] そうそうそうそう
[01:00:13.970] [笑い]
[01:00:28.279] ブーブーいやああああっっっ
[01:00:30.099] バッハなんやなんかあるなんかジャンヌがしますよとかさ
[01:00:35.289] ああああなもないんだなあ普通にペロッといったんだからやだからじゃやっぱそうだ
[01:00:39.460] からあるんじゃないの
[01:00:40.390] おっなんか目開けてたって言うけど絶対落ちてたんだよんであまりいいや俺おれもさ
[01:00:46.749] 手術した方誰かあっあれってめっちゃいい
[01:00:50.090] しゅんじゃん
[01:00:52.020] 寝てるで死ぬんだなんてないでしょ案内あのなんかだ
[01:00:56.700] あの本凸電しますいってさーあの読む
[01:00:59.970] 寝て朝起きる感覚ってさぁまあどんな一瞬に感じるじゃん米てる i ターンでも実た
[01:01:05.160] 感あるじゃん
[01:01:07.140] アレ泣くない天真ます1
[01:01:10.190] ね人魔前ないねあのーを3日市津したんだけどさ
[01:01:14.630] な眠くなりますよーって言われてあって思ったらもう終わってるんでね
[01:01:19.760] 終わってるあのは年金に何か時間がこんな感じ
[01:01:23.480] はい
[01:01:25.000] なんかアーネたなぁとじゃなくて
