[00:00:07.480] あれこれ行ってる
[00:41:53.960] めっちゃテンション上がる時もうやばくて
[00:41:57.599] あのもう俺は最強なんだみたいなもう俺に
[00:42:00.880] 逆らえるやつはいねえつってあの自衛隊員
[00:42:04.240] だったんだけどおお急にねあの自評
[00:42:07.480] 叩きつけてやめてきちゃったのでお貯金
[00:42:12.000] なんだかわかんないけどなんかしんない
[00:42:13.280] けど車を買って帰ってきたんだよ仕事やめ
[00:42:15.839] て車買って帰ってきただある日もうやばい
[00:42:18.440] じゃんうちだってそんなお金あったわけ
[00:42:20.520] じゃんまま親父がいた頃はあったんかも
[00:42:23.040] わかんないけどそま一応自衛隊員でさま
[00:42:25.319] 公務員だからうんま給料も良かったかなと
[00:42:28.280] 思うんだけど急に新車で車買ってきちゃっ
[00:42:30.280] て一括でおおあで俺仕事やめてレーサーに
[00:42:33.839] なるわつって
[00:42:35.760] おおすごいっしょきれなすごいまそういう
[00:42:39.920] ま病気なんだよね躁鬱まそれうんまそれ
[00:42:42.640] だけが原因なのかつらわかんないんだけど
[00:42:45.079] あそうですねそうそうそうでさまそれそう
[00:42:49.400] いうのが繰り返し色々なことがあってま俺
[00:42:52.359] の母もまもう無理ってなってさ離婚した
[00:42:55.520] わけようんうんそれこそその本当切れたら
[00:42:58.680] 暴力とかも振ってたし
[00:43:01.319] ああDVってやつそうそうそうそう
[00:43:04.000] そうそうそうそうそんでさま離婚してでも
[00:43:07.839] ねあの本当に俺の母親俺はあこれこんなね
[00:43:12.599] もうあんまりこういうこのネットで言うと
[00:43:14.359] さあとあとさマザこんだなんだとか言われ
[00:43:16.359] ても俺何にも気にしてないから言うけど
[00:43:18.680] 母親好きなんだよ俺ねそりそうじゃんいや
[00:43:22.520] そりゃそうだあのシングルマザーま片親で
[00:43:25.400] さ俺とねちゃんのここまで育つてくれて
[00:43:28.880] いやそれこそ本当にあの人強い人でうん
[00:43:32.160] ごめんね話これすごい長くなる
[00:43:34.440] わめ昨日あった話とかつってま全然過去の
[00:43:38.119] まあまあまいずれそっちに行くからま待っ
[00:43:40.000] てって色々こうなうんうんでさうちの母
[00:43:43.559] 本当すごい人でさそのま離婚するじゃん
[00:43:47.440] うんうんでまあそうなったら働かなきゃ
[00:43:51.160] いけないわけうちの母親がそれまでパート
[00:43:53.720] やってたんだけどうんまあ月6万ぐらい
[00:43:57.520] だったらしいのねパートの給料って
[00:44:00.640] なるほどでそんなん払えるわけないじゃん
[00:44:02.839] うんだからで本当またそれでクズなんだ
[00:44:05.640] けどうちの父親がうんあの養育費1回も
[00:44:08.680] 払ってないのね俺と姉ちゃん2人分1回
[00:44:11.520] も
[00:44:13.040] えっとねクズなわけよそういう今時やと
[00:44:16.839] あったわまままそういうクズなね本当に
[00:44:20.119] 本当にバカでクズでしょうもないやつなん
[00:44:22.319] だけどなるほどそうそうでもまあ養育費
[00:44:26.119] もらってさやっぱお金もらってるとさその
[00:44:29.079] 付き合わなきゃいけないわけじゃん別れた
[00:44:30.599] 後もなんかねその養育もらってななんか
[00:44:34.720] 息子を合わせなきゃいけないとか俺の
[00:44:36.839] 姉ちゃんをあんなやつに合わせるうん
[00:44:39.559] 合わせるぐらいだったら金いらないから
[00:44:41.440] もう一生うちに関わらないでくれっていう
[00:44:43.800] いい話てあもお金いらないから一そうそう
[00:44:47.160] 俺らうちの家庭に関わらないでくれってい
[00:44:50.359] ね言ったりとかもするま強い人だったんだ
[00:44:52.480] けどまでもさあるじゃんもう裁判のうん
[00:44:56.880] まあまあまあそういうのはよくわかんない
[00:44:59.000] んだけどさでま働きに出るってなった時に
[00:45:04.160] うちの母はさあのなんて言うんだろうあの
[00:45:08.319] 免許持ってないのね車の免許持ってないん
[00:45:10.680] だよ今
[00:45:13.079] もうんでね持ってなくてでまうち田舎じゃ
[00:45:19.000] ないどことは言わないけど田舎だからさ車
[00:45:22.880] がないと働きにも出れないんだようんうん
[00:45:25.200] うんうんからもう
[00:45:27.319] ほ昨日ねまそういう話しててさま苦の決断
[00:45:30.760] だったんだよ当時はつってま東京にね
[00:45:33.319] 出稼ぎに行くことになったのはあそれこそ
[00:45:36.480] 本当半年に1回帰ってこれるとかさそう
[00:45:38.839] いうレベルで当時俺が小学2年生の時だっ
[00:45:41.559] たんだけどは8歳でさで姉ちゃんが小学5
[00:45:45.079] 年生ぐらいの時にでもう8歳てはあ
[00:45:48.640] なるほどうんでさそのまあいなくなっ
[00:45:52.280] ちゃうわけお母さんが急にね俺はそん時さ
[00:45:56.119] ガキだったから離婚なんてわかんないんだ
[00:45:58.240] よある日突然お父さんがいなくなってある
[00:46:00.880] 日突然お母さんもいなくなってでおばあ
[00:46:03.160] ちゃんに預けられておばあちゃんに育て
[00:46:05.200] られたの俺と姉ちゃんはねうんうんうん
[00:46:07.280] うんうんうんだから本当おばあちゃん子で
[00:46:09.160] もあるんだけどうんうんうんまあまあそう
[00:46:11.480] いう生活が続いてさずっとでま俺が中学
[00:46:16.559] 卒業するあいやもっとあれか姉ちゃんが
[00:46:19.280] 高校
[00:46:21.640] あいやあのまこれもまた後々話すんだけど
[00:46:25.880] 俺のお姉ちゃんあのま中退してんのよ高校
[00:46:29.280] うんうんうんでさそのま中退したのと同時
[00:46:33.960] にまそのもうそういうのやめよってなって
[00:46:36.680] ま俺の母ちゃんが帰ってくることになるん
[00:46:39.119] だけどはいはいうんでさまあおばあちゃん
[00:46:42.359] に育てられたわけようんでま昨日それで
[00:46:45.880] 飲み行ったっつたじゃんうんそういう昔の
[00:46:48.040] 話になるわけ姉ちゃんと会うの久しぶりだ
[00:46:49.920] からうんでなんとなく昔の話しててその
[00:46:53.680] 当時昔はさおばあちゃんにさあのお昼ご飯
[00:46:57.440] 台を1000円2人でもらってあの
[00:47:00.200] 500円500円で分けてさつってでその
[00:47:04.599] なんて言うの2人で手繋いで買い物行った
[00:47:07.960] よねみたいな話をしながらあ懐かしいね
[00:47:10.040] なんて話しててでそのねお昼ご飯を1番
[00:47:14.640] 安いのにしようつって子供の2人俺ると
[00:47:17.160] 姉ちゃんがうんで100円の
[00:47:20.359] あの何ボンカレーですよボンカレーを2人
[00:47:24.760] で買って
[00:47:26.839] 200円で残り800円400円を俺は
[00:47:30.040] ガチャガチャに使ったりね姉ちゃんはお
[00:47:31.920] 菓子のなんかさ分かるかなあのうん指輪と
[00:47:35.680] かネックレスとかがさはいはい
[00:47:37.839] プラスチックのあれがついてると買ったり
[00:47:39.839] してたのていうのをしてたずるがしこい
[00:47:41.720] ことしてたよねあははなんつって話してた
[00:47:44.640] のようんうんそしたらうん横でね母親が
[00:47:50.000] 泣き出した
[00:47:51.960] のこれガチでうんあの号泣し始めたのよあ
[00:47:58.920] ガチの号泣だガチの号泣あのなんかそう
[00:48:02.960] いう昔の話でまあさ俺も母親が泣いてるの
[00:48:07.359] なんてここ24年間俺あの人の方で本当
[00:48:10.000] 強い女性だなと思ってるから泣くとこ見ん
[00:48:13.880] の初めてでさえそのことは母ちゃんは知ら
[00:48:17.599] なかった知らない知らない知らない
[00:48:19.559] そうそうそれで泣いてたんだその昔の話を
[00:48:22.760] しててさあのお年玉をさ2人でなんか
[00:48:26.000] 買い物行ってさなんつってなんか変ななん
[00:48:28.880] つうの家ん中にさそのおもちゃの家で遊ん
[00:48:31.720] だよねみたいな感じで話したらはいもう
[00:48:34.319] 本当に泣き出しちゃってうん私がね
[00:48:39.319] あのこの年になって初めてあんたたちの
[00:48:43.400] そういうちっちゃい頃の思い出とかそう
[00:48:46.680] いうことしてたんだなっていうのを知った
[00:48:49.319] よっつってで本当私そういうの何にも知ら
[00:48:52.640] なくてていやだって知るはずもうんそう
[00:48:56.160] そう出稼ぎでずっといなかったから本当に
[00:48:58.240] ごめんねってあの俺とか姉ちゃんもそうな
[00:49:00.920] んだけどま特に俺なんかちっちゃくて
[00:49:02.839] わかんなかったのにもうほったらかしにし
[00:49:04.920] ちゃって本当に悪いことしたって言ってで
[00:49:08.280] このずっとま俺が小学2年生の頃だからま
[00:49:12.599] 8歳かだから16年前なんだけど16年間
[00:49:16.359] もうずっといつか謝んなきゃなと思ってた
[00:49:19.280] つってうん泣いて俺に謝ってきたのようん
[00:49:23.960] うんで別に俺も姉ちゃんももさそんな別に
[00:49:27.119] さ俺も姉ちゃんも俺の親父のことねうんク
[00:49:32.280] やろうって分かってたしちっちゃいながら
[00:49:33.799] にうん暴力振るってのを見せたからうん
[00:49:36.559] うんそうだから別れて当然別れて今今当時
[00:49:40.960] は俺分かんなかったけど離婚とかうん今は
[00:49:43.280] 別にお父さんに会いたいとも一切思わない
[00:49:45.480] しもう離婚してよかったって思ってるわけ
[00:49:47.160] ようんでお母さんにもすげえ感謝してる
[00:49:49.359] からつってもうそんな自分を攻めるのやめ
[00:49:51.760] てよつってうんうんもう俺ら2人はもう
[00:49:55.559] さんのとこに生まれて後悔なんかしてない
[00:49:57.880] よって言ったのようんしたらもうももう
[00:50:02.680] もうわけわかんぐらい泣いちゃったんだよ
[00:50:04.559] ね泣くでしょ俺も今泣きそうだもんうん
[00:50:07.960] そうでま姉ちゃんがね姉ちゃんがそう
[00:50:12.559] 姉ちゃんもそれで釣られて泣いちゃったの
[00:50:15.079] ね泣くようんうん泣いちゃったんだよそれ
[00:50:17.640] でで姉ちゃんがまさっき言ったんだけど
[00:50:21.119] あのお姉ちゃんがね
[00:50:22.920] あのま高校中退してるんだよ
[00:50:27.280] うんまそこ理由はそうま色々あるんだけど
[00:50:31.000] そのなんて言うのかなまうんま女の子のさ
[00:50:35.040] そういう時期ってま色々すごいあれじゃ
[00:50:37.720] ない難しいんだよ高校の時でそのちょうど
[00:50:41.599] 姉ちゃんが高校行った頃がちょうど1番
[00:50:44.680] うちが厳しかった時なのようん俺も中学校
[00:50:48.720] あかだし上上がるか上がんないあまだ
[00:50:51.599] 上がんないか4歳離れてるからギリギリ
[00:50:54.359] 上がんない来年上がるとかそういう時に
[00:50:56.720] 上がったんだけどでもそっからもう
[00:50:58.440] めちゃくちゃ仲悪くなるわけ俺の姉ちゃん
[00:51:00.799] と母俺のお母さんがうん毎晩顔を見合わせ
[00:51:06.079] たら喧嘩してたしはいはい姉ちゃんそう
[00:51:09.520] そう全然あのなんて言うんだろあの学校
[00:51:13.000] 行かなくなっちゃったしあで極めつけには
[00:51:16.680] あのなんて言うの修学旅行でうんあの貯め
[00:51:21.280] たお金うんを姉ちゃんパクってうん認め
[00:51:25.760] たりエクステつけたりとかしてたりそれを
[00:51:29.200] あもうヤチヤチになってそうそうそうそう
[00:51:32.359] そうそうそうそれですちょっとあのアウト
[00:51:34.559] ローに行ったわけまあまあそういうわけよ
[00:51:36.559] でまあゆくゆくは退学することになるんだ
[00:51:39.440] けどうんうんうんうんんでねそん時にお金
[00:51:43.200] ちょうだいつってうんなんかと全然帰って
[00:51:47.319] こなかったんだけど家に姉ちゃんはね
[00:51:49.079] 姉ちゃんがうんその当時ねうん帰ってきて
[00:51:51.960] お金ちょうだいってだけ母親に言うんだよ
[00:51:54.559] 高校の時昔ねそん時に何に使うのっつっ
[00:51:58.799] たら髪染めたいってでエクステつけたいだ
[00:52:02.359] から2万円ちょうだいっていうわけおおで
[00:52:05.680] もうもう母ちゃんももうなんかもうすごい
[00:52:09.960] 怒ってもこんなお金あげられないしあげ
[00:52:13.400] られるお金ないからうちにはって言うんだ
[00:52:16.200] よそしたらもう姉ちゃんももうなんかもう
[00:52:20.319] まあさ姉ちゃんがそういう風になったらも
[00:52:22.200] いろんな家庭の条件色々あるじゃんうんね
[00:52:25.880] まそういうのがぐちゃぐちゃになっちゃっ
[00:52:27.200] て思ってもないのに言っちゃったんだって
[00:52:29.799] あの本当にもうお母さんのとこになんか
[00:52:32.280] 生まれてこなきゃよかったって言っちゃっ
[00:52:34.280] たんだっさ俺はそれ実際に見てないから
[00:52:36.880] 知らないんだけどそううんそうそれを
[00:52:40.440] 姉ちゃんもずっと後悔してるつって昨日
[00:52:44.400] なんかこう泣きながら謝ってたうん俺を
[00:52:48.079] それ俺それ見ててさそん時初めて泣い
[00:52:51.319] ちゃったの俺もねなんかいろんな俺もさ
[00:52:55.400] ことがあったよ俺もま別にそんなんでさ
[00:52:59.200] 不幸だなと思っても来なかったけど俺は
[00:53:01.960] うんうんでもなんかそういうの見てなん
[00:53:04.160] か3人で泣いたの居酒屋
[00:53:08.640] で個室だったから良かったけどもああそう
[00:53:12.640] だね3人で泣いたね昨日はんでまいけど
[00:53:16.000] 泣くでしょそれは泣泣く初めてだ親子3人
[00:53:19.480] でさ涙流しながらなんか話したの本当に
[00:53:23.200] 初めてでなんかびっくりしちゃってさそう
[00:53:25.839] いいあれだね俺はだからマジで家族って
[00:53:29.839] もう本当大切にしなきゃだめだな本当に
[00:53:32.400] うんマジで思った昨日はガチでこんなこと
[00:53:35.200] ねあの恥ずかしくて絶対言わないよ普段は
[00:53:38.720] でも知ってる家族マジであの大切にしよう
[00:53:43.000] と思っ
[00:53:44.079] たねも自分ができた時も大切にした方が
[00:53:48.119] いいよって話だよねうんそうそうそうでま
[00:53:51.599] うんうんうんうんそうなんだよねすげえ
[00:53:56.000] なんかあったかくなっちゃったんだよね
[00:53:58.160] 昨日んでさもうなんか溢れる思いがさ
[00:54:01.160] 止まんなくてさ昨日さ3時頃から生放送
[00:54:04.400] つけてこれ同じこと喋ったわ誰も聞いて
[00:54:08.079] ない誰も聞いてないけどとりあえず黙って
[00:54:10.599] 俺の話を聞いてくれつってえ俺知らねえわ
[00:54:14.079] それそれはそうだろうなうんそうそうそう
[00:54:17.680] あの溢れる思いがもう帰ってきてどうし
[00:54:20.119] ようってもうこのこのなんか道溢れる愛の
[00:54:24.400] パワーをなんか形に残したいと思って
[00:54:27.720] なるほどねそういつかまた何年後かにその
[00:54:30.160] 動画見て思い出せたらななんて思ってさあ
[00:54:33.000] そう残しとこうと思ってこの気持ちをと
[00:54:35.319] 思ってこれはあでねでねそうでもまその3
[00:54:41.240] 人で泣いたんだけどもま姉ちゃんはそう
[00:54:43.880] いう風にさま色々謝ってまあれなまね謝っ
[00:54:48.200] たりしてまそういうのあったんだけど俺は
[00:54:50.000] さそのまもちろんね母親のこと好きだし
[00:54:54.440] うんしてるし感謝もしてるようんていうの
[00:54:57.119] は軽く伝えたんだけどやっぱなんか
[00:54:58.559] ちょっと最初にねあの俺なんか本当に
[00:55:02.040] ちっちゃかったから本当にほったらかして
[00:55:03.599] ごめんって言われた時になんかそん時にさ
[00:55:06.160] 普通さこうなんか気の聞いた言葉なんか
[00:55:08.880] かけてあげゃいいじゃんなんていうのかな
[00:55:12.040] 難しいなでもなんかその時なんか俺もまだ
[00:55:14.599] そん時恥ずかしくてさあのなんか言え
[00:55:17.839] なかったのよそういう風に流れ的には
[00:55:20.680] 気持ちは伝えたつもりだけどうん俺の言葉
[00:55:23.599] ではなんかしっかり伝えらたんだねバだ
[00:55:25.799] から俺も本当にちょっと後悔してんだけど
[00:55:27.520] その時言って別に気にしてないよって言え
[00:55:30.280] ばよかったんじゃないのいやまとは言った
[00:55:32.400] んだけどなんかそこでなんかさねこうだ
[00:55:35.359] からちょっともこの場で言わせてほしいわ
[00:55:37.440] ああどうぞ残しといていいちょっと俺の
[00:55:39.559] 気持ちうんえじゃあいいすかちょBGM
[00:55:43.079] 消そうはいえお母さんあの本当にね24
[00:55:48.640] 年間ま18までだけど本当になんて言うの
[00:55:52.280] かなあのね親父がいなくなって
[00:55:55.520] ね出稼ぎして頑張ってくれてたの本当に
[00:55:59.480] 分かってる分かってるし本当にお母さんの
[00:56:03.440] とこに生まれて良かったなって俺は本当に
[00:56:05.039] 今でも思ってるから自分を責めないで
[00:56:07.640] ほしいなやっぱりね果過ぎてもさ迷惑かけ
[00:56:12.960] ていろんなことね心配してくれてる
[00:56:15.480] けど本当にあのこれからね少しでもこのを
[00:56:20.200] 返せるように頑張っていこうと思ってる
[00:56:22.039] から
[00:56:23.440] えっとなんかな長いして
[00:56:27.680] くださいわかんないよくわかんないわ
[00:56:30.760] わかんねえよなんだよこれはいそんな感じ
[00:56:33.319] ですいやあいいんじゃないですかちょっと
[00:56:37.240] お涙ポロリじゃないこれああそうだねね
[00:56:41.119] そうでしょちょっとちょっとうると来た
[00:56:43.920] だろうんそこは分かるうるとくるわけなと
[00:56:48.920] 異常なあれ光景だったぜ3人でさヒンヒン
[00:56:53.880] 言ってないたわ
[00:56:55.599] 俺はそこまで泣いてないけど俺とねあ俺の
[00:56:58.839] 母ちゃんと姉ちゃんやばかったわグズグズ
[00:57:01.799] になって泣いてた女性人がねそうそうで俺
[00:57:05.240] もそれで泣いちゃったそれを見てだからさ
[00:57:07.359] そのちょうど泣いてる時に店員がさ個室だ
[00:57:09.760] から全然わかんねえガラガラガラつって
[00:57:12.680] コースだからさうんうんあローストビーフ
[00:57:15.400] ですとかつって持ってきてうるせえよつっ
[00:57:18.440] たでもうへえとかってなってんだようんも
[00:57:23.000] 店員もえみたいななるねこ置いてきます
[00:57:26.799] つって
[00:57:28.200] から1番店員さんに謝んなきゃいけないか
[00:57:31.160] もしんないわそうだねそうそうそうそんな
[00:57:34.520] 感じなんですよあーいやマジであのね親父
[00:57:40.880] これラジオわかんない絶対届いてはないと
[00:57:43.520] 思うけどいつか俺が有名になってねこの
[00:57:45.599] タイムシフトとかもさいろんな人に見
[00:57:47.440] られるようになってもし親父の耳に届い
[00:57:50.160] たらあれかもしんないけどマジでお前許さ
[00:57:51.920] ねえかんな本当にぶっ飛ばすぽけこら
[00:57:55.559] はいていう話
[00:57:57.799] ね本当に誰も悪くないから俺のさお母さん
[00:58:02.200] は昨日自分のことすげえ攻めてたの本当に
[00:58:05.240] あの本当幼いあんたたち残して仕事に行く
[00:58:07.920] の本当に辛くてってでねあの俺がそのそれ
[00:58:14.160] は小学2年生だからお母さん好きじゃん
[00:58:16.079] めちゃくちゃまそうだねだからその当時
[00:58:20.440] あの2階建てに住んでてさ2階が俺の部屋
[00:58:24.119] だったんだよ
[00:58:25.559] でベランダがあってで東京に出稼ぎに行く
[00:58:28.760] お母さんをベランダから見えなくなるまで
[00:58:31.599] 手振ってたんだって俺はもう記憶残って
[00:58:33.280] ないんだけどおおめっちゃ可いじゃんそれ
[00:58:36.160] が本当に辛くてもう泣きながら言ってた
[00:58:39.440] らしいのね俺は見えなかったよでも本当に
[00:58:42.799] あれが辛かったって言って言ってくれて
[00:58:46.039] もうもうやめてよもうみたいなもうわかん
[00:58:50.319] ないそんな話ですやめよこの話泣きそう
[00:58:53.240] マジでなるほどね
[00:58:56.119] まあねだから親っていうのはやっぱ子供に
[00:59:00.280] なんかあると辛いものよねうんやっぱまじ
[00:59:05.200] さんもさま親
[00:59:07.200] じゃん親だねあのなんていうのかなどう
[00:59:12.760] こんな
[00:59:14.000] 話あのね俺も自分
[00:59:19.000] のおおうちおかんて言うんだけどうんうん
[00:59:23.599] 呼び方はんだっいけどなんだんてまま
[00:59:26.039] お母さんおかにおかねそうあの中学ぐらい
[00:59:30.760] の時かなうんやっぱねちゃまのお姉ちゃん
[00:59:34.119] と同じような言葉を発したわけよああえ
[00:59:38.319] 結構さじさんは何結構さあの反抗機あった
[00:59:43.640] あったんじゃないかな
[00:59:46.400] へえ意外携帯に投げつけたたよマジで最低
[00:59:51.599] じゃん
[00:59:53.640] ねえ
[00:59:55.640] そん時あのPHSだったんだけどの場はい
[00:59:58.920] はいはいうんうんで高校の時でなんか喧嘩
[01:00:03.640] してうるせえなつってンって投げていやま
[01:00:09.839] 当たらないように多分投げたうんうんうん
[01:00:12.200] うん当ててたらもう俺が今俺が今ぶつけに
[01:00:15.160] 行くよ
[01:00:16.400] スマホやらつっ
[01:00:18.880] てでなんか壁にブシュて触ったんだよあの
[01:00:24.880] テナ
[01:00:27.799] あるそうそうそうでそれがま前の前の実家
[01:00:31.760] の家なんですはいはいはいはいはいそこを
[01:00:35.280] なんかお米でこうちょっと穴埋めてたおを
[01:00:39.520] 覚え
[01:00:40.440] てる何お米でいや
[01:00:44.799] あのりっぽくなるじゃんあなる
[01:00:50.200] そうおい何それ
[01:00:53.520] ね療法みたいなお米炊いたお米でそうそう
[01:00:59.359] そうそうそうなんだよそれうまいこと直し
[01:01:02.480] てんなと思っていやもう何じゃ俺これだ
[01:01:07.640] から言いたいあのねうんYouTube
[01:01:11.000] やってる人ま分かんないけどま結構さ中高
[01:01:13.680] 生が多いじゃないあ若い人が多いよねうん
[01:01:17.240] で結構Twitterのタムラ見てもいる
[01:01:19.599] んだようんうんなんかお母さんうざくてと
[01:01:23.000] かお父さんうざくてとかさお前ら本当に
[01:01:27.960] あと10年したら本当に後悔すっかんな
[01:01:30.880] 本当にそんなこと言ってた自分ぶん殴り
[01:01:33.319] たいよ俺言ったことないけどもい僕はあり
[01:01:36.359] ますけどうんでまあなんて言うんだろうな
[01:01:39.640] まなんつうの特に俺は片親だからそういう
[01:01:43.240] 風に思うかもわかんないけどそうこと言っ
[01:01:45.680] ちゃだめ本当にうんうん本当にうちの
[01:01:50.079] お母さんもその姉ちゃんにそういうこと
[01:01:51.559] 言われててうんでもやっぱ
[01:01:55.319] ねそういうこと言われても仕方ないなと
[01:01:57.640] 思ってたから言い返せなかったんだよって
[01:01:59.880] 言ってたからなるほどねそんなお前させん
[01:02:02.799] じゃねえよお前さあの腹痛めて産んでくれ
[01:02:06.920] たお母さんにさうぜえだのさ
[01:02:10.559] ほとバカ野郎
[01:02:14.200] がそんな感じです別にいいです僕このね
[01:02:18.720] このねあのタイムシフトだなんだろこう
[01:02:21.440] ネットに配信するってことは一生残るわけ
[01:02:23.480] じゃん残るねうん別にいいよこれで俺が
[01:02:27.160] マザコンだなんだとか言われてもへでもね
[01:02:29.319] 別にいいよマザコンで別に俺は別に本当に
[01:02:33.079] 感謝してるしうんねあの尊敬してる女性だ
[01:02:38.240] からうんこれからも大事にして行きます
[01:02:40.920] けどもうんいいんですかあなたたちは
[01:02:43.799] そんなあの僕のことまこんだなんだね馬鹿
[01:02:47.319] にするのも自由ですけれどもいなくなって
[01:02:49.599] 初めて気づくものもあるんじゃないですか
[01:02:52.640] ねそれはと思ううんうんうん俺はだからね
[01:02:56.400] すげえ思ったの昨日本当にでそうそう1年
[01:02:59.680] ぶりに会ったわけよその母親にねその1年
[01:03:02.880] ってのも結構でかいよねやあのね
[01:03:05.119] びっっくりするほど後ろ姿がおばあちゃん
[01:03:08.119] なのねもうああな俺それもさなんかすげえ
[01:03:13.599] なんか嘘でしょってってなるほどおばあ
[01:03:17.720] ちゃんじゃんていやまそれはなそうなもう
[01:03:21.960] そうもううちの母やらもう50過ぎてから
[01:03:25.240] うんうんもうなんかそれ見てうわあと思っ
[01:03:29.920] ちゃってまあまあまあねそうそうそうで
[01:03:32.880] 自分でも言ってたけどもうあんたもね大人
[01:03:35.760] になってもうあの自分の手元から離れた
[01:03:38.039] からもう私はもう私の人生だからねあの何
[01:03:42.079] もその心配することないんだけどやっぱ
[01:03:45.200] こう特にうちの母親なんかさあのもうい
[01:03:48.400] ないわけじゃん夫がうんだからこう俺が俺
[01:03:51.559] もお姉ちゃんもいなくなってさまばあ
[01:03:53.160] ちゃんと一緒に住んでるだだけど実家で
[01:03:55.559] 2人でねだからそのまばあちゃんだって
[01:03:58.160] もう80過ぎだからこんなこと言ったらや
[01:04:00.279] だよそ俺もばあちゃんに育てられてるから
[01:04:01.960] ばあちゃんのことも大好きだからこんな
[01:04:03.480] ことあれだけどまうんうちの母よりは先に
[01:04:07.799] なくなっちゃうじゃんうんそれは分かっ
[01:04:09.680] てることじゃんま順番だね順番そうそう
[01:04:12.240] そうだからそうなった時にさ母親が1人に
[01:04:14.400] なっちゃうでしょうんそういうのもその
[01:04:17.240] 母親も考えてまあんたらに迷惑かけない
[01:04:20.359] ようなとかって言ってんだよ俺もうちの絵
[01:04:23.480] も言ってるわ俺もうさいのねあなたに
[01:04:27.440] 私たちどんだけ助けられてねどんだけ
[01:04:30.039] あなたたちがあなたが頑張って俺のこと
[01:04:32.559] ここまで育つてくれて何をねその老後の
[01:04:36.119] 心配であなたたちに迷惑かけたくないな
[01:04:38.279] そんなこと言わないでく
[01:04:40.720] れってもう任せてよそこはってもうだから
[01:04:45.160] 本当にもう俺が面倒見るじゃないけどま俺
[01:04:47.440] も姉ちゃんもねもうお互いにそのま母親の
[01:04:50.359] ことそういうことで感謝してるからその辺
[01:04:52.480] は心配すんなよって
[01:04:56.279] 思ったあそうだねねだってさこんなに
[01:05:00.960] 頑張ってくれてさこれまたあれだうちの母
[01:05:03.760] の強いエピソードあ離婚して3年ぐらいし
[01:05:09.119] てうんとあるねあのはがきが届くんだよ
[01:05:13.640] うち
[01:05:14.440] にうちっていうのは俺俺の実家にね母親
[01:05:18.839] 宛てに何て思ってみたら東京裁判所から来
[01:05:23.119] てるわけ
[01:05:25.079] あなたに出定を命じますってなんであの
[01:05:29.760] あなたが保証人になっている借金があって
[01:05:33.799] それがもう箕面でもうそのあっちの借金
[01:05:37.240] 会社から訴えられかけてるとあうちの父親
[01:05:43.000] が勝手に保証人にしてたのをずっと黙って
[01:05:46.760] てなるほどねうんでそれが400万あった
[01:05:49.640] のはあ東京裁判所結構じゃねわかんない
[01:05:54.720] ごめん東京裁判所かわかんないけど裁判所
[01:05:57.000] から来てたそこ話ちょっと持っちゃったわ
[01:05:59.559] 分かんないなんか言っちゃった勢いま裁判
[01:06:01.799] 所どっかの裁判所から来てたわけよ簡その
[01:06:04.520] 地ままま地方裁判所なんかなわかんない
[01:06:06.680] けど簡裁判あまあわかんないそのその馬鹿
[01:06:10.079] だからちょっとバカ高校卒業のとあんまり
[01:06:13.279] 俺のよあんまり恥ずかしい過去をばらすな
[01:06:16.359] 俺は名前書けばうかるて有名なとこ卒業な
[01:06:19.440] んだからおおああもうだめだ俺そういうの
[01:06:21.920] バカだからまそれはいいとしてさあまあ
[01:06:24.559] そういうのありますよてもうそれで愕然と
[01:06:27.119] するわけよ当時俺も中学校だったから
[01:06:29.720] 分かるのよそんなのうんうんそんなもんさ
[01:06:33.000] でも親父にも怒りしかないの未だにもう
[01:06:37.079] それはもうそう母さんがね1人で払ったよ
[01:06:42.079] うんそるしかないもんねないんだようん
[01:06:45.119] 払うしかないよねって言ってうんね
[01:06:48.279] せっかくさ姉ちゃんももう実家ね出てって
[01:06:52.240] 働いてるんだけどそん時はねせっかくね
[01:06:55.880] お姉ちゃん手あいてあれかなと思ったんだ
[01:06:58.039] けどねなんて言いながら俺まだ中学生だ
[01:07:01.799] から俺のこと育てながらも本当に働いてた
[01:07:05.480] あの人は
[01:07:07.400] ずっとそれをずっと俺は見てきてるからさ
[01:07:11.359] 横で姉ちゃんよりもずっと見てきてるから
[01:07:13.839] ななら昨日さそんなんで横で泣かれたら
[01:07:17.760] もう俺もうもいや本当にも涙出てくる今で
[01:07:21.680] もマジでうちゃの母ちゃんに会いに行く
[01:07:25.920] わ会いに来てよ会いに来ていいよマジで
[01:07:29.400] うんもう本当に涙が出る本当にうん色々
[01:07:32.960] なんか通ずるものがあるかもしれないも
[01:07:35.000] 本当にあのクソ親父マジ一発ぶん殴りたい
[01:07:38.799] でも生きてるか死んでるかも本当にわかん
[01:07:40.440] ないまあそこはあれでしょ別に知ろうとも
[01:07:44.400] 思わないうん思ってない思ってない思って
[01:07:46.039] ないしまあの父親の方のあの実家もま知っ
[01:07:49.640] てるよ俺はうん当時はねあの実家ま正月と
[01:07:53.200] か行ってたからああなるほど覚えてはいる
[01:07:55.359] けど別にそこ行ったろうとも思わないし
[01:07:58.039] うんうんうん俺も関わりたくない
[01:08:02.279] うん本当マジで死ぬまでもういいもう療育
[01:08:07.240] 費ねあの払わなかったこととかも全部何も
[01:08:11.839] 言わないからお願いだからもう関わるな
[01:08:14.880] よってうちの母親
[01:08:17.120] にまそうだ
