[00:00:15.210] 持った
[01:32:43.320] からそんだけなそれはいいとして
[01:32:46.280] あのへっイングビットん
[01:32:49.269] はいリングフィットアドベンチャーって
[01:32:51.579] いうのがまあ
[01:32:52.869] スイッチのあるぬ
[01:32:54.279] じゃあ何て言うかな変なあの所いくを外し
[01:32:57.789] て変なリングみたいのでいいくっつけケア
[01:33:00.639] を年米は勝った方のガッキーが専念して
[01:33:03.069] るって麻生そうそうなある大会そんな奴
[01:33:06.159] ばっ言ってよ夜間ないじゃんなんでわかる
[01:33:09.260] よそれは貼ったって楽器卵子したじゃあ
[01:33:11.690] あの上げてないけど
[01:33:13.429] 上げてないとこの話すのやめてやけど
[01:33:15.860] まあまあよればいいですよねその穴やな
[01:33:18.840] ねそれを web がー
[01:33:21.840] 真っ白は6時
[01:33:24.550] まっしゅるしかもちょぴっち君のちょっと
[01:33:27.130] ピッチピッチ君の
[01:33:29.360] パンクトップしてやるは者
[01:33:31.860] それをあの
[01:33:33.590] 動画 net そうそう
[01:33:35.630] 一番でやべえやべえでそれ本当に安定だけ
[01:33:39.349] になるが
[01:33:41.380] ごめんねあの youtube
[01:33:43.150] コンプライアンスに引っかかって削除され
[01:33:44.860] たらそれはそれで面白いね
[01:33:48.910] よかったいやでもいいじゃじゃあいう
[01:33:51.989] じゃあこの good ラジオなぁ
[01:33:54.440] あの再生数
[01:33:56.540] ついてー地調査し2っていうのがまあ
[01:33:59.660] 見れるじゃあの3年そのポッドキャストの
[01:34:02.810] 方でそれがじゃあ線に行ったらいつかやる
[01:34:05.960] わ
[01:34:07.040] 1002台ず逃げたけどあ
[01:34:10.430] 大分入りましてたなぁ
[01:34:14.030] ナロン
[01:34:15.520] ちょっと comment by 動画な
[01:34:17.370] リングフィットアドベンチャー今あるか
[01:34:20.770] 相方がやってるとあのきりくんか赤君の愛
[01:34:24.970] 加奈切り君が今やってるんだねえそれで
[01:34:28.690] さあ
[01:34:29.680] ピークで顔出ししてたっけ
[01:34:32.650] あれってだってさ
[01:34:34.120] 結構プレイしてるところを映さないとじゃ
[01:34:36.850] ない
[01:34:37.969] どなんかなまぁ上手いことなんか縛りとか
[01:34:40.190] でやってるのかな
[01:34:42.030] 普通に普通にやってるんじゃない
[01:34:44.590] あ何もなしでああそれで良いのか
[01:34:47.940] そっかをごめん俺デブに引っ張られすぎて
[01:34:51.630] でもがやるんだったらやっぱ出さなきゃっ
[01:34:53.340] ていい乗せごめん俺の物差しで測ってたと
[01:34:56.219] か普通の人は普通にやっても面白いのか
[01:34:58.530] だけど誰もナマホいしんなまなまアイシン
[01:35:02.040] なんだ
[01:35:03.400] なるほどねー
[01:35:04.739] な考えやねうんうーん
[01:35:08.199] そうかーでも俺もやるんだったら生配信か
[01:35:10.719] な
[01:35:11.909] 名前人道あのデーブが汗かいてるところ見
[01:35:14.429] たいでしょ人
[01:35:15.870] 大丈夫らの
[01:35:18.230] 被害被らない何の
[01:35:20.260] ずっと隣から苦情くるとかあっはぁ
[01:35:23.690] ねうるせードタバタドタバタぜーぜーぜー
[01:35:25.940] ぜーぜーぜーぜーぜーぜーぜーぜーぜー
[01:35:26.480] ぜー
[01:35:27.170] ねぇ
[01:35:27.949] うるせ汗くせいと言われるかも知れ隣の
[01:35:30.110] 部屋に入ってる
[01:35:31.300] 日本にを今れちゃーん
[01:35:33.460] いや倍もやばいねだからクーラー18度
[01:35:36.099] 出かけてやるわ
[01:35:37.690] me
[01:35:39.120] そうだのよねぇうーん
[01:35:41.219] なるほどなるほど沿っがーでも
[01:35:43.769] リングビット今売ってないよねあれ
[01:35:46.290] [音楽]
[01:35:47.590] 売れないどこ行ってもあのなんて論売って
[01:35:51.790] ないのよ
[01:35:53.360] でないそれ知ってるアレってたって
[01:35:55.100] ダウンロードないもんねその専用の
[01:35:57.020] コントローラーが必要だからね
[01:35:59.700] そっかそれを手に入れるのもちょっと考え
[01:36:01.710] ないとなぁ
[01:36:04.130] なろうぜか楽器んだのも
[01:36:07.010] ほらまだも
[01:36:08.760] 出てるよ
[01:36:10.440] アホ発言が出ている
[01:36:14.360] ラッキーください二それはちょっと
[01:36:17.090] ガッキーが欲しい見たがってるけどな
[01:36:25.890] [音楽]
[01:36:27.059] ブービーたいな
[01:36:34.090] [音楽]
[01:36:36.119] チャパティちゃんヌー
[01:36:39.800] ネコチャンプスてないとこが淳さんの良い
[01:36:41.719] ところというかね
[01:36:43.099] ないなんですけども
[01:36:46.139] そうそうそうなのよ
[01:36:47.939] でなんだっけそうリングフィット
[01:36:49.949] アドベンチャー売ってない言ってないん
[01:36:52.769] まあまあでもねその俺がやるコロンやタブ
[01:36:55.409] 売ってるでしょうわかんないけど
[01:36:57.690] まあねえけどある
[01:36:59.730] デブ脳に打ってほしいよねな1 day
[01:37:02.100] 風呂でメール web ge はロング
[01:37:05.310] web にさ優先的に打ってほしいよね
[01:37:07.530] 任天堂も川原でない中80キロ以上の方
[01:37:11.340] 優先で販売しまーすみたいな
[01:37:26.690] [音楽]
[01:37:31.219] ブーブー言う2人分俺の3分の1ぐらいな
[01:37:34.659] もんね相談ガリガリだからな
[01:37:37.450] 9エアにもばいい
[01:37:40.570] デーブにでぶー
[01:37:42.340] 優先塗ってほしいですよねー bar オフ
[01:37:45.400] はなんや90円もっとからあでまぁない
[01:37:48.099] だろうな
[01:37:48.940] まあそれいいんだけどデブあるあるという
[01:37:51.610] かまだちょっと言いたいのがあって
[01:37:53.930] うーんあのねぇ
[01:37:55.580] この間何かな
[01:37:57.560] なんか
[01:37:58.900] ネットの記事かなんかで
[01:38:01.290] ローランドっているじゃん
[01:38:04.110] 知らないアイリスまあホスト
[01:38:07.500] なんだあの金髪なるとうとうそうそう
[01:38:10.650] ローランドなんかあのみたいなローラーの
[01:38:13.500] 名言みたいな
[01:38:14.949] そんな中にねちょっとありましたここで
[01:38:17.530] 紹介させてください
[01:38:18.969] 愛ので roland デブは甘え
[01:38:21.820] 普通にいたら太らないみたいな
[01:38:25.269] いやもうこれ俺あのハットもうね
[01:38:29.440] なんでへあのさぁ
[01:38:31.560] 別にいいんだよそう思うのは予算
[01:38:34.770] デブは甘えぷ2にいたら
[01:38:38.100] 太らないっていうかその普通っていうのが
[01:38:40.290] 違うじゃない
[01:38:42.000] 俺とローランド車
[01:38:43.680] それはね
[01:38:44.610] 20年あの子なんさー知らないけど
[01:38:47.250] じゃあね2310歳でしょうかその何十年
[01:38:50.250] もねカップえっとイケメンで生きてんだと
[01:38:52.440] 24年デブで生きてきている頃僕の普通の
[01:38:56.929] ものさしのさあと言いますかはい
[01:38:59.550] あなたの普通はそうでしょうけど私の普通
[01:39:02.370] はこれなんですね
[01:39:05.130] 別のが甘えてね太ってるわけじゃないんだ
[01:39:08.040] よ
[01:39:10.080] なのでもう元から web だよって二つ
[01:39:12.870] サツそう生まれてもながら方
[01:39:15.820] まあ別技やセロテープって言われたらもう
[01:39:19.030] それまでなんだけどああっっ
[01:39:23.390] やもねー
[01:39:24.730] そうものさしのさってのがあるわけよ
[01:39:28.280] なるほどねその普通って言ってもさその人
[01:39:32.000] の中の普通とさ
[01:39:34.139] なんていうのその人の中の常識と
[01:39:36.929] ネタ人の常識というのは違うわけで
[01:39:39.419] うんそうそこでまた一つつながるっていう
[01:39:41.459] か一個話したいのがんだけど
[01:39:44.340] この間さなんかあテレビのグルメ番組みて
[01:39:47.369] てテレビでもてレアの食い物をあれ見てる
[01:39:50.820] のかって感じなんだけど12デーブだか
[01:39:52.800] なさいグルメ番組よく見るんだけど
[01:39:55.740] このその時の特集がさ
[01:39:58.080] なんていうんだろうあの
[01:39:59.310] [音楽]
[01:40:00.920] 数なんだっけカンパチ
[01:40:03.199] かな
[01:40:04.190] だいぶ前だからこのあんま覚えてないけど
[01:40:06.140] 魚だったよ
[01:40:07.750] 魚の超極上
[01:40:10.840] なんとか
[01:40:11.860] 刺身食べ較べみたいなさ謎なやったん特集
[01:40:16.450] で
[01:40:17.200] んでだとある芸人がねこう
[01:40:20.020] 食べるじゃない
[01:40:21.680] きたらこういったのあのまあリポートと
[01:40:24.110] いうかさ
[01:40:25.130] 食レポの食レポでさ
[01:40:26.870] あのいやーこれ
[01:40:28.700] こんなも肉ですよみたいな
[01:40:31.250] 魚じゃないっすよ見くくってるみたいです
[01:40:33.740] みたいな
[01:40:35.050] 大声で言うなよ
[01:40:37.000] や貼って
[01:40:38.770] うんおかしくれって
[01:40:41.739] あのねその芸人はまあ保免上として一生
[01:40:46.179] 懸命そう言ってるんだろうけど
[01:40:48.369] そのまぁそのなんてのはその食レポしてる
[01:40:50.679] のもその漁師この道50年減量しが横で
[01:40:54.760] 言ってるわけ俺の自慢の刺身を食ってくれ
[01:40:57.820] みたいな感じで
[01:40:59.289] だしてんのになぁあの肉みたいですって
[01:41:02.989] 言われて漁師どう思う
[01:41:05.849] だってさこの道50年で俺が突き詰めた
[01:41:10.439] この刺身度を1本突き進んだ
[01:41:13.829] やれを盗んて出してるのに
[01:41:16.079] 肉みたいですこんな魚じゃないですよと
[01:41:18.510] 言われて喜ぶ
[01:41:21.340] [音楽]
[01:41:22.420] いや喜ばないんだよね普通さ
[01:41:25.330] だからこれもその人の常識というかそのね
[01:41:28.720] 芸人芸人の中では魚よりも肉のほうが上と
[01:41:33.460] いう物差しで測った上でのトーク者
[01:41:37.840] もしそれがなんかちょっと
[01:41:40.310] なんかちげーなと思って
[01:41:42.450] まああげるものをうんそうだねなんか育て
[01:41:45.330] さ
[01:41:46.050] ねえ俺はこの魚という道でこれがと一番
[01:41:50.880] なんての俺の謎
[01:41:53.190] 俺が今の俺の実力なって出してるのに
[01:41:56.790] うこれすごく南区
[01:41:59.880] ジューシーデーでもお肉食べてるみたいな
[01:42:03.090] んですよと言っててエアー
[01:42:05.730] いやいやいやだったらにくーっ
[01:42:08.370] 魚として褒めたりようよって言うなるのね
[01:42:11.820] なら我々もね
[01:42:13.179] ますこうなんていうの
[01:42:15.780] その道一本で極めてさ行きたいね母猫がで
[01:42:21.059] 無理やりなんかうば我々につなげたけど
[01:42:23.340] ムロアジをやるてさ
[01:42:25.220] なんか
[01:42:26.620] 5
[01:42:27.520] ラジオっていう肩書でやってんじゃ
[01:42:30.139] まだまだ the 距離 tr だけど
[01:42:33.450] だからこうなんていうんだろう
[01:42:35.370] あの人たちの雑談面白いよねじゃなくてさ
[01:42:39.349] ラジオとしてしなんか有名になりたいよね
[01:42:42.320] なんて思ったり思わなかったり
[01:42:44.789] どちらにいや思います
[01:42:47.099] ああ
[01:42:47.860] そうそうそうだからなんかそのね漁師も
[01:42:51.130] なんか微妙な顔してたうんもう
[01:42:54.389] そうだねさからとして出してねーへ行って
[01:42:57.119] その道50年でさぁやってきて肉には敵わ
[01:43:01.229] ない言われてるもんじゃ
[01:43:02.849] まあほぼ半世紀かけたら本当にあの原因は
[01:43:06.300] ちょっと考えた方がいい
[01:43:08.000] あのやろ
[01:43:09.670] た不足レポのうん
[01:43:12.690] レベルの話ぬんなんか
[01:43:16.330] とりあえず大声で言えばいいやみたいなさ
[01:43:19.360] 弱チャを受けたに言うんだよ
[01:43:22.310] だけそれは米言わなきゃダメだっていうの
[01:43:24.770] はまあまあ撮れが仕事ってとこもあるけど
[01:43:26.570] ね
[01:43:27.080] [音楽]
[01:43:28.340] まだもうちょっとなんかあるんじゃないか
[01:43:30.889] なっていうまあこれは多分デブならではの
[01:43:33.860] 視点なのかがわかんないけども
[01:43:36.610] まぁそんな感じですわね
[01:43:40.040] デーブはねそういう植物植物で食べ物
[01:43:44.090] 阿部もののねあの
[01:43:47.200] なんぞ食べ物のそういうのにすぐ反応する
[01:43:49.720] から
[01:43:51.090] なるほどねー
[01:43:54.090] 食べ物
[01:43:55.440] 地湧さんはどう食べ物
[01:43:57.659] 俺食欲がないん
[01:43:59.980] 別にああ食欲はあるけど腹減るだろう
[01:44:04.789] あらは減るけど
[01:44:06.499] こだわりがないんだよね
[01:44:08.059] こだわりないねぇ
[01:44:09.840] 別にあの本当に
[01:44:14.010] [音楽]
[01:44:14.040] ん
[01:44:15.980] なんか何に好きなクリームも
[01:44:19.449] きな食べ物は
[01:44:22.980] 阿部時に
[01:44:25.200] 焼肉
[01:44:28.290] そこは楽器みてぇだな
[01:44:30.000] えっプーッとおっさんオスだんって言うん
[01:44:32.310] だけどそこはガキみてーなもんなんで
[01:44:35.220] 八木に空好きなんだ
[01:44:37.219] 一番好きなお肉
[01:44:39.390] かるびあ
[01:44:42.750] めっちゃ小学生じゃ
[01:44:45.360] 部屋のねー
[01:44:46.440] 普通30歳つてるさ
[01:44:48.840] いやーもう油者はもうちょっとお腹に来る
[01:44:52.350] からな俺はちょっと
[01:44:54.060] ターンとかその辺
[01:44:56.430] 者が違うんだよないないね猫のはこれ方
[01:44:59.380] これこそはあのちゃまがおっさんに懐い
[01:45:02.560] てる
[01:45:03.460] もうもの尺なんだよこれあっ
[01:45:05.880] はーんソーラやべ俺自分の面物差しで測っ
[01:45:09.730] てたわおっさん=胃もたれと思うよごめん
[01:45:12.670] そうですよあーーやべハッとした今
[01:45:15.610] マーニーオンスターのラーメン好きなぜか
[01:45:17.260] いっぱいいるでしょたしかねぇ
[01:45:19.090] [音楽]
[01:45:20.470] うわぁちょっとごめーんんわ
[01:45:27.320] bouvet やまずいぞ
[01:45:29.639] だ俺まぁ難しいがおっしゃった
[01:45:34.340] ブーブーいやあああそうかーっ
[01:45:39.960] ブーバー全然いいか
[01:45:43.110] あっ n
[01:45:56.400] 4マンところまだ20
[01:45:59.240] 年生きてきてまださ
[01:46:00.770] その
[01:46:01.730] ないよにもたれて感じたことないのはどう
[01:46:03.950] いう韓国なんかなっていう
[01:46:05.830] をも胃もたれはないのぱ9がもう一度も絵
[01:46:08.740] になるうんそれは何13が鈍いからあの
[01:46:12.010] 気づいてないだけじゃなくて
[01:46:14.369] 鈍いから気づかないっていうということで
[01:46:17.119] ちょいもたれほんだしてんのに何かペロン
[01:46:20.039] としてなんかお腹の著書悪いなーみたいな
[01:46:24.289] アーマーその可能性もあるけど
[01:46:28.210] あーでもぞーなんだそういうダジャレを胃
[01:46:30.580] にもたれって思わないですねんもんだい
[01:46:32.860] じゃねーか
[01:46:33.969] そっかじゃあ全然油っぽいも意見だ
[01:46:36.840] 彫塑前年大丈夫だむ
[01:46:39.020] でも3両を食わないでしょ13はや食べる
[01:46:42.080] 食べずーっとあるで s そうだよね
[01:46:45.170] ほんと中道ガリガリじょんだろすっとかさ
[01:46:49.580] うん最初に絶対なに
[01:46:52.570] パンチをはいはいはい
[01:46:54.520] 食べたりっていうのがルールがある
[01:46:56.020] ジャンル
[01:46:57.100] ルールったら足枠ので暗黙の了解がん僕の
[01:47:00.940] やっ一般的ななぁ
[01:47:03.660] 全どうでもいいよね
[01:47:05.910] 最初からから見たんだあっ本当にアレだね
[01:47:09.660] 焼肉に関してはガキみてえな食い方すんだ
[01:47:11.820] ね
[01:47:13.680] 最初からかかるんですよ
[01:47:15.850] 相馬いかんねある日は馬頭ネットからに
[01:47:18.580] 最後も本気
[01:47:21.440] えーなんで他の肉はターン
[01:47:24.950] ターンはまああれば食べる
[01:47:28.490] あれは受け側にローロースはほぼて付け
[01:47:31.310] ないあんと
[01:47:34.340] [音楽]
[01:47:36.510] ロースあのロース好きな人いたらごめんだ
[01:47:39.989] けど
[01:47:41.070] 通すは分からない
[01:47:43.159] a でもさー
[01:47:45.079] あの
[01:47:46.290] 結構くえんなじゃあ
[01:47:48.290] 食べる食べ終えるいた
[01:47:53.710] 大食いか
[01:47:55.039] 大栗んやる者へ俺さぁそんなことを
[01:47:59.239] まさか俺そんなね自分のね
[01:48:01.999] 体重の半分の音1/2の人間にそんなこと
[01:48:06.409] 言われると思うと俺に向かって言ってる
[01:48:08.869] それでもしくあるあれだただずっとから
[01:48:11.749] myojo
[01:48:13.299] ウッディ中で野菜やられても前あのむしろ
[01:48:16.530] 版でつけてあげようか
[01:48:18.410] をマジック13にいくだけでいい
[01:48:23.550] えっ肉だけのきつくないが逆に
[01:48:26.489] んまあまあ目油がね
[01:48:29.300] ただまぁ量を測るならまぁまぁまぁまぁ
[01:48:31.880] まぁまぁいつかやろうよじゃあぐうたら
[01:48:34.670] 中央の近くパンがへんねん
[01:48:37.930] そうだね
[01:48:39.070] まぁまぁまぁこんな感じでね
[01:48:41.260] コメントを返しましょう
[01:48:44.619] と
[01:48:46.400] 元調理師としては味覚の会赤赤くんって
[01:48:50.120] 調理しなのもと
[01:48:53.110] 味覚の語彙力をつけてくれたはうれしいと
[01:48:56.139] 思うカルビ夢うまいねアルミうまいねー
[01:49:00.969] いくら何でもそりゃ割れと一緒だ俺もに
[01:49:03.489] 行くならぶっちゃけ何でもいいです
[01:49:06.380] なるほどまあ肉ならなんでもいいよね
[01:49:10.219] ぶっちゃけあの
[01:49:12.340] あれだから焼き肉のたれつ入ったら便美酒
[01:49:14.770] だからん
[01:49:16.420] まあまあその絵は分かるんだからさぁ結構
[01:49:19.690] あるよねあのなんていうの
[01:49:21.580] 塩で食べるみたいな2わー
[01:49:24.740] え年肉をそう
[01:49:26.990] に空路味を楽しむために見たいな
[01:49:30.239] ええええ
[01:49:31.750] もったいね
[01:49:32.960] もったいなくもないけど結構うまいけどね
[01:49:35.300] 塩こしょうでクールも
[01:49:37.150] おおなんか俺そういうオシャレな食べ方を
[01:49:41.620] 雪に
[01:49:43.300] いやあのね
[01:49:44.680] あれ塩で肉喰うのオシャレって思ってる
[01:49:47.710] とこがなんか違うわ
[01:49:50.380] あっうんそれはもう部分に空でしょ
[01:49:53.200] ダラダラ団地しようとかってさあ
[01:49:56.380] レモン汁ってくる者位牌
[01:49:59.470] 俺関係ないもたれつけるイイマジで
[01:50:04.230] えっ本当に
[01:50:07.309] 阿部問中でも食べられるけど
[01:50:09.769] 分
[01:50:10.950] だからもう本当に
[01:50:13.290] なんでもいいんでえマジかよだからそう
[01:50:16.740] いう意味では食欲ないよねあらそういう
[01:50:18.660] こだわりねえんだ別にと食に欲がない
[01:50:22.260] ビューワー
[01:50:23.430] だってさぶっちゃけさ
[01:50:25.770] 食べ得ることがいやーこれね別に13だけ
[01:50:28.620] じゃないは痩せてる人に言いたい全世界の
[01:50:31.280] 全世界のやってる人間にいたい
[01:50:34.630] 食べることが楽しみじゃなかったら何が
[01:50:36.850] 楽しみで生きてるん
[01:50:37.880] [音楽]
[01:50:41.160] 4だろうねぇ
[01:50:44.090] 以下13さあ
[01:50:45.840] 何が楽しみで枚一生活地点のあああっっ
[01:50:50.070] これ行くから便可ジェンコ銀プラ質問者が
[01:50:53.010] 中3の人生を指定しかけないとお前の人生
[01:50:57.300] なんだ夏やラッパえっじゃあさあ趣味は何
[01:51:02.639] ですか
[01:51:04.410] 普通に動画作ったなるほどね
[01:51:08.389] 御学友のことやったりだろうなるほど
[01:51:12.180] それがでもさ
[01:51:14.040] 楽しみで
[01:51:15.750] イール得るんだ
[01:51:17.850] 入れる指はそれは羨ましいわ結構制作作業
[01:51:22.080] やるけどねたくさんするけど
[01:51:24.560] 女のさよね思っちゃういやそれは面倒くさ
[01:51:27.680] いう
[01:51:28.520] うーん
[01:51:29.690] 魔法
[01:51:30.890] ね俺ら2人結構
[01:51:32.930] なぁまぁ裏方の仕事じゃないけどね結構
[01:51:36.680] そういうのをしてきたじゃないバンド時代
[01:51:38.390] もさぁ俺ら2人でねカメラマンやったり
[01:51:41.239] 動画作ったりいろいろしてきましたけども
[01:51:44.750] ああ
[01:51:45.869] 制作作業はいつになってもめんどくさい
[01:51:48.269] ねー
[01:51:49.320] 何年かた妹
[01:51:52.260] そのヒット国人のために作るってめんど
[01:51:54.600] くさいね
[01:51:57.440] もうねこれはあんまりねこういうことを
[01:52:01.139] 言うのもあれだけど
[01:52:02.829] 僕もこのなんていうのかな
[01:52:05.169] まあバンドの m v とか
[01:52:07.089] リリックビデオ作ってきたじゃないの
[01:52:09.249] はいね人のために
[01:52:12.989] 木綿の穴じゃなかった
[01:52:15.869] あっはあうん
[01:52:19.040] これまぁ一応なんていうのかなチャンと
[01:52:21.500] 依頼を受けてさぁやってるからね仕事じゃ
[01:52:25.160] ない一応それなにお金でももらってね
[01:52:28.220] 以来としてやってるからアレだけど
[01:52:31.620] めんどくさいわやっぱ
[01:52:33.030] 動画作りなんていう余計
[01:52:36.070] 何ね以来けど以来としてやってるわけ
[01:52:38.650] でしょそうだからそういうことを言っちゃ
[01:52:40.119] いけないよ言っちゃいけないけどね本当は
[01:52:41.980] いけないってわかってるけどね
[01:52:43.510] 雇用がじゃーん
[01:52:45.219] rude ラジオだから言っちゃ特別団
[01:52:47.409] ルートラジオは
[01:52:49.560] このちゃまのこんな豆腐が聴けるのは
[01:52:52.290] goot ラジオだけ
[01:52:54.710] そそう今と切り抜いてくれ
[01:52:58.730] 需要ねーよ別に
[01:53:00.920] まあまあだからさ
[01:53:02.870] だらすごいねそういう作業がさあの
[01:53:06.530] なんていうの楽しみでできるっていう手も
[01:53:09.900] あの俺も人のために作るのめんどくさいと
[01:53:11.760] いったけど自分のためにやっぱ動画作るの
[01:53:14.429] はちょっと楽しいなって思う
[01:53:16.610] ちょっと楽しいなんてが楽しいよね
[01:53:19.010] アジュンさんは何自分のために作っている
[01:53:21.019] の
[01:53:21.869] 動画制作に立って自
[01:53:24.510] 誰のためにっていうのは特に考えたこと
[01:53:27.329] ないじゃあもう一ための依頼とかでももう
[01:53:30.090] 楽しみでやってるんだ楽しく円もいいやー
[01:53:32.699] それは裏も羨ましいっていうかミラうべき
[01:53:35.280] なねえやめんだくさいって思うのはたぶん
[01:53:38.039] 何でも一緒なんだけどうーん
[01:53:40.210] それをそういったるっ
[01:53:41.800] あるじゃんアベルのめんどくせーという時
[01:53:43.960] もあるしいい
[01:53:46.120] やるんだよねーよええ
[01:53:48.409] あるんだねーよ
[01:53:50.280] あるねーよっ
[01:53:53.460] 名誉お互いのモノサス池平
[01:53:56.970] 猛威は物差しでチャンバラじゃないかな
[01:53:59.370] ブーブー小学生だいい大容量 j 滝へ
[01:54:05.360] ぺろんっ
[01:54:07.110] そうなんですねッパ
[01:54:10.540] いやぁまぁでもさあこのまあ
[01:54:12.730] 生放送でしかまあわからないと思うけど
[01:54:14.410] このまあまあポッドキャストもそうかこう
[01:54:17.140] 言うね今画面に出てる
[01:54:19.690] このネオンのようなこのシャレオツな俺の
[01:54:23.970] センスあくるそうですねこれも俺が作った
[01:54:27.790] んだけども
[01:54:29.190] 楽しかったやっぱ久しぶりにこういう制作
[01:54:31.800] するのそれもさ自分のためじゃ自分のた
[01:54:34.860] めって言う方の自分らの誰のために知って
[01:54:37.610] 作ったんだけどやっぱ楽しいね
[01:54:41.230] こういうの作るのは
[01:54:43.680] そうだね自分じぶんのため自分の好きで
[01:54:46.770] 自分のペースで銀者納期も弁財ないしない
[01:54:50.130] ね音なんですあーこれこれね夏休みの宿題
[01:54:54.300] といっしょなんだけど
[01:54:55.920] 納期があると
[01:54:58.370] これ最終日まで何にもいけないんだよね
[01:55:01.130] これずっとそう小学生の時から最終便なん
[01:55:04.580] で泣きながら宿題あるみたいな大人になっ
[01:55:08.120] てもそうでああ
[01:55:09.170] その m v の納期1か月スンジャ
[01:55:12.980] 岩盤の最後の3日間みたいな
[01:55:16.230] だめだよねー
[01:55:17.840] 結構
[01:55:19.010] 先延ばしにしちゃうんだよ
[01:55:22.250] なるほどうーん降らねえなおかなきゃなと
[01:55:25.430] 思うんだけどね結構危険だよねー危険だね
[01:55:28.820] 間だよ
[01:55:30.290] 分かってんだけどねあ
[01:55:32.750] 先に行って向こうに先先手打っちゃえば
[01:55:37.310] まあねいう考え方だから俺はねやー
[01:55:40.760] そりゃあ素晴らしい
[01:55:42.500] 大人だねやっぱ8位に
[01:55:45.410] は店長の五弾ディングオベーション
[01:55:47.500] 大人だはやっぱり俺より10年以上を長く
[01:55:50.560] 生きてないわ立てや位
[01:55:53.600] オトナだよ
[01:55:55.949] はだから今も誘いなんだろう
[01:55:59.349] ホームページとかいい写真加工とかって
[01:56:02.289] いうのちょっと話しもらったりしてるんだ
[01:56:05.530] けど
[01:56:07.719] 無線てるってんが無効かなもちろん素材が
[01:56:11.920] 送られてくるじゃんはいはい
[01:56:13.599] ん
[01:56:14.300] で
[01:56:15.200] もうもちろんこういう風にしてください
[01:56:17.600] っていうのはあるんだけど
[01:56:19.610] 向こうも俺が何ができるのかわかんないし
[01:56:22.369] うん
[01:56:24.160] で向こうも本当抽象的な感じだからうん
[01:56:28.360] 先にこっちからこういう感じだったらでき
[01:56:30.730] ますっていうのを
[01:56:32.270] 藍天カー置いとく訳
[01:56:34.590] [音楽]
[01:56:35.960] 米1回そっかーアカちゃんありがとう来て
[01:56:38.450] くれておやすみごめんねこんな長い時間
[01:56:41.030] まで付き合ってくれてあっありがとう
[01:56:42.980] ございまーふぃーので寝るときまで
[01:56:44.630] ありがとうであのポッドキャストもいつ何
[01:56:47.810] 上がるんで今日の聞き逃してやつそんな
[01:56:50.330] ヒマなときにでも聞いて下さいまた次も
[01:56:52.190] これぞならクルーゼだってありがとうあ
[01:56:54.570] 本当に俺は赤ちゃんなしでは生きていけ
[01:56:57.420] ません
[01:56:58.770] そんな感じでお休み本当にありがとう
[01:57:01.020] 味見なさーい
[01:57:02.429] またね
[01:57:04.400] はいじゃあ続き道路が
[01:57:06.969] ってそう
[01:57:09.130] だから
[01:57:10.739] なんだっけ
[01:57:11.820] [音楽]
[01:57:14.810] えっあうんにゃんって本当におい俺鶏と
[01:57:19.430] ラジオしてるのけなんだかねぇ
[01:57:21.950] ロケっこいつじゃ順番の頭よみんな新しい
[01:57:26.400] で入れたら1本て出ちゃうみたいな
[01:57:28.860] ロケット鉛筆いい体な頭してんな
[01:57:32.060] うまいねー
[01:57:35.210] ムカつく
[01:57:37.150] ムカつく合間のんか
[01:57:40.580] うもうう
[01:57:43.159] うまいねーぜめんだに
[01:57:45.369] なんで4妻ロケッチャううーん
[01:57:48.760] ロケットインチだったらいいんだロケそこ
[01:57:51.490] に変えずいてくらいでさっきの話の続き白
[01:57:54.400] スパいいよぽてっと鉛筆が割れにくいつい
[01:57:57.490] てこないで
[01:57:58.800] そちらは来んなっちゃったごめんねこれで
[01:58:01.980] まあまあ4話以来ねー
[01:58:05.159] はい
[01:58:06.869] で向こうも俺が何できるかわかんないしん
[01:58:11.590] あの大爪を高いわからないことだらけじゃ
[01:58:14.740] ないはい
[01:58:16.300] だからこっちがどういうことできるの
[01:58:19.300] かっていうのを先に渡しちゃうみたいな
[01:58:22.840] うーん
[01:58:24.150] こういう感じだったらできますよあの自分
[01:58:27.480] の作品とかを見せるとプアわかるそれは俺
[01:58:30.929] もやるは自分 m v 作る時も自分今
[01:58:33.929] までまぁだいたいいる人がでもさー俺に
[01:58:36.090] 依頼してくるってことは俺のやつを見てさ
[01:58:39.760] だからまぁだいたいはアレなんだろうけど
[01:58:43.680] けどその威厳の考え方も結構危険だなって
[01:58:47.670] つない思うなんでー
[01:58:50.000] いやだって
[01:58:53.060] 均じゃん飲んだよええ
[01:58:56.230] 何対何て言えばいいんだろうあーまぁでも
[01:58:59.200] なんというか
[01:59:01.610] 自分でそれをやってちょっと不安になる時
[01:59:05.179] はある
[01:59:06.139] 自分のセンス絶対にうわかるわかるわかる
[01:59:08.869] あのファやってる感じが soon あ
[01:59:11.719] 必ずしもそのクオリティが出せるわけじゃ
[01:59:13.880] ないじゃんうんそれは変わるはこんなん
[01:59:17.300] さー制作作業なんか自分だってさ
[01:59:19.850] どんなもんができるかその状態ではまだは
[01:59:21.630] 館内車
[01:59:22.560] そそれは怖いね例えばた m v 作るに
[01:59:25.080] してもさその人の曲も知らないしどんな人
[01:59:28.350] らも知らないしイメージも湧かないしその
